[00:00:00.134 --> 00:00:00.955]  This is our chance
[00:24:33.581 --> 00:24:36.702]  For more than 3 million people invading the swamp.
[00:24:38.883 --> 00:24:41.343]  That is a big deal.
[00:24:41.983 --> 00:24:44.084]  And let me give you the inside baseball on that.
[00:24:45.044 --> 00:24:57.348]  Secret service sources tell InfoWars that travel industry metrics indicate between 2 and 4 million people are beginning to now enter D.C.
[00:24:58.499 --> 00:25:01.160]  I wrote that headline very, very quickly myself this morning before I went live.
[00:25:01.180 --> 00:25:02.040]  Let's rewrite that.
[00:25:02.481 --> 00:25:14.805]  Secret service sources tell InfoWars that the travel industry metrics indicate between 2 and 4 million people are planning to attend events in DC on the 5th and 6th.
[00:25:16.906 --> 00:25:26.890]  Continuing, tune in to the number one pro-human broadcast in the world and spread this link to transcend the censors.
[00:25:32.196 --> 00:25:33.557]  Now let's go ahead and get into it.
[00:25:36.919 --> 00:25:37.660]  Let's talk about it.
[00:25:40.882 --> 00:25:45.606]  Yesterday they started running around like they got a fire drill going on.
[00:25:45.766 --> 00:25:55.293]  Oh my gosh, can you believe Trump said just find me the 11,000 votes out of an hour and four minute conversation.
[00:25:56.257 --> 00:26:02.220]  That was supposedly a mediation that was a legal discussion about lawsuits and what Trump was planning to do.
[00:26:02.580 --> 00:26:04.001]  And they knew that before they did the call.
[00:26:05.822 --> 00:26:08.523]  And so it's very uncivil because it's a national security issue.
[00:26:08.563 --> 00:26:09.463]  It's probably a crime.
[00:26:10.364 --> 00:26:19.048]  And Jack Posobiec is reporting that Trump is referring the Secretary of State Raffensperger
[00:26:20.506 --> 00:26:26.091]  For a national security investigation, because the evidence says he's up to his eyeballs with the Chai comms, just like the governors.
[00:26:26.111 --> 00:26:29.194]  I mean, the Chai comms are taking this baby over, folks.
[00:26:30.815 --> 00:26:35.639]  The question is, who isn't a Chinese agent, not who is?
[00:26:39.342 --> 00:26:41.244]  The globalists set China up for this.
[00:26:41.324 --> 00:26:41.905]  Green lit it.
[00:26:42.165 --> 00:26:44.767]  Gave them unlimited capital from Goldman Sachs and JP Morgan.
[00:26:44.787 --> 00:26:45.588]  That's what's happening.
[00:26:47.025 --> 00:26:54.005]  And so listening to what Trump actually said in this hour plus long talk made me like Trump even more.
[00:26:55.182 --> 00:26:57.083]  Because there he is, fighting hard.
[00:26:57.203 --> 00:27:01.285]  There he is, laying all this out and saying the American people aren't buying this.
[00:27:02.065 --> 00:27:05.767]  Just remember, he's stonewalling because he engaged in the fraud.
[00:27:06.047 --> 00:27:08.789]  He's stonewalling because he knows it's all coming out.
[00:27:09.069 --> 00:27:12.931]  He's stonewalling because he knows they illegally did these mail-in ballots.
[00:27:12.951 --> 00:27:14.832]  The legislature didn't agree to it under law.
[00:27:15.232 --> 00:27:17.293]  He knows that they didn't check the signatures.
[00:27:17.353 --> 00:27:22.016]  He knows that where they did spot checks, they found all the votes were being taken from Trump and given to Biden.
[00:27:22.316 --> 00:27:24.537]  He knows Trump won by probably millions of votes.
[00:27:25.503 --> 00:27:27.904]  It's a giant political realignment, a huge awakening.
[00:27:28.204 --> 00:27:32.965]  They have to repudiate that and gaslight you to not believe what evidence shows you.
[00:27:34.086 --> 00:27:37.066]  Triple the number of black males voting for Trump in polls?
[00:27:38.347 --> 00:27:39.567]  Double the number of black females?
[00:27:39.927 --> 00:27:40.888]  Double the number of Hispanics?
[00:27:44.069 --> 00:27:45.369]  They would have us believe
[00:27:48.612 --> 00:27:51.295]  That white males crossed over and voted against Trump.
[00:27:51.376 --> 00:27:51.876]  That's right.
[00:27:52.036 --> 00:27:54.920]  White males are the ones that elected Biden.
[00:27:55.180 --> 00:27:57.123]  Total horse manure.
[00:27:57.143 --> 00:28:03.110]  Because remember, all the Trump supporters are white supremacists.
[00:28:03.551 --> 00:28:04.873]  There's nothing worse than a white male.
[00:28:06.158 --> 00:28:15.688]  I have an article here where major federal courts in Virginia are taking down photos and paintings of white judges saying it's racist.
[00:28:16.348 --> 00:28:17.169]  I'm not joking.
[00:28:18.050 --> 00:28:22.014]  And now they had a prayer instead of saying amen, which means so let it be.
[00:28:22.034 --> 00:28:23.476]  Has nothing to do with men.
[00:28:24.991 --> 00:28:29.576]  But because it sounded like that, like Ottoman, they'll call it a woman.
[00:28:30.116 --> 00:28:32.518]  Don't call that an Ottoman piece of fur, call it a woman.
[00:28:33.199 --> 00:28:35.762]  It's, oh, that word's scary, man.
[00:28:36.562 --> 00:28:43.650]  So now they said, a woman, instead of amen.
[00:28:44.771 --> 00:28:48.815]  At the congressional event with Nancy Pelosi,
[00:28:50.370 --> 00:28:51.971]  Hell, let's just hear the audio first of this.
[00:28:52.011 --> 00:28:52.932]  I mean, you can't make this up.
[00:28:52.952 --> 00:28:53.492]  Go ahead and roll it.
[00:28:53.512 --> 00:28:57.676]  May the Lord make his face to shine upon us and be gracious unto us.
[00:28:59.337 --> 00:29:03.320]  May the Lord lift up the light of his countenance upon us and give us peace.
[00:29:04.040 --> 00:29:12.046]  Peace in our families, peace across this land, and dare I ask, O Lord, peace even in this chamber, now and evermore.
[00:29:12.787 --> 00:29:15.049]  We ask it in the name of the monotheistic God,
[00:29:15.839 --> 00:29:20.944]  Brahma and God known by many names by many different faiths.
[00:29:22.605 --> 00:29:24.707]  A man and a woman.
[00:29:27.990 --> 00:29:31.474]  So now Ebonics has made its way into things.
[00:29:32.475 --> 00:29:33.736]  That sounds like a man.
[00:29:33.796 --> 00:29:35.678]  We're not gonna have a man around here, it's a woman!
[00:29:37.110 --> 00:29:44.095]  This is idiocracy on steroids, but Pelosi in the new House rules says, do not say man or woman or boy or girl.
[00:29:44.415 --> 00:29:45.656]  Someone might not identify as that.
[00:29:45.696 --> 00:29:46.236]  It's hurtful.
[00:29:46.817 --> 00:29:48.478]  This is the anti-human mind control.
[00:29:48.498 --> 00:29:51.500]  You know, I'm going to do this.
[00:29:51.540 --> 00:29:52.561]  I'm going to start the next hour.
[00:29:52.581 --> 00:29:58.705]  So I have 30 minutes ahead of our guest getting into the huge COVID-19 bombshell, biggest news of the last 11 months on this subject.
[00:29:58.785 --> 00:30:00.126]  It is the biggest, make no mistake.
[00:30:01.347 --> 00:30:02.848]  And I'll continue with the Trump speech.
[00:30:04.187 --> 00:30:07.308]  And the Trump call where he lays out all the fraud beautifully.
[00:30:08.208 --> 00:30:14.729]  They try to grab victory from the jaws of their defeat as Trump begins the big reveal the next few days of the fraud.
[00:30:14.749 --> 00:30:16.589]  It's already been brought out, but now it's all codified.
[00:30:16.989 --> 00:30:22.950]  Now they've got specifics, the witnesses, all the affidavits, top scientists, top number crunchers.
[00:30:23.010 --> 00:30:23.490]  It's incredible.
[00:30:23.790 --> 00:30:32.172]  But speaking of masks, if you're a radio listener, you missed the house chaplain saying that, amen woman.
[00:30:34.807 --> 00:30:35.927]  Was wearing two masks.
[00:30:36.427 --> 00:30:37.448]  Well, why not wear three?
[00:30:37.528 --> 00:30:38.468]  Why not wear four?
[00:30:38.548 --> 00:30:39.488]  Why not wear five?
[00:30:40.548 --> 00:30:41.849]  Why not wear one on top of your head?
[00:30:42.429 --> 00:30:43.789]  How about not stand on your head?
[00:30:48.150 --> 00:30:50.731]  Well, what did Eric Swallowswell do?
[00:30:51.291 --> 00:30:52.851]  The Chinese Communist agent on record.
[00:30:53.612 --> 00:30:58.633]  He came out and said that Trump is a danger to America and the rest of it, and on TV wore a mask.
[00:30:59.986 --> 00:31:01.647]  Again, all of it is total theater.
[00:31:01.767 --> 00:31:02.847]  All of it is total fraud.
[00:31:03.167 --> 00:31:04.227]  They've caught him in hot mics.
[00:31:04.247 --> 00:31:06.288]  Democrats are like, wear your mask on stage.
[00:31:06.328 --> 00:31:06.728]  Put it on.
[00:31:06.768 --> 00:31:10.089]  Yeah, it will really scare the hell out of these idiots.
[00:31:10.449 --> 00:31:11.289]  That's all this is!
[00:31:12.190 --> 00:31:17.811]  And it's up to those of us that are leaders to go to the stores, go to the businesses, and speak out and say no to this.
[00:31:18.692 --> 00:31:20.092]  This is such a criminal power grab.
[00:31:20.372 --> 00:31:23.233]  Here's Eric Swallowswell, the Chi Com agent.
[00:31:25.609 --> 00:31:26.990]  Wearing a mask on TV.
[00:31:27.030 --> 00:31:27.410]  Here it is.
[00:31:27.610 --> 00:31:33.835]  Congressman, what was your initial reaction when you first heard the audio of the president and Brad Raffensperger?
[00:31:34.875 --> 00:31:36.316]  That's not America, Alicia.
[00:31:36.356 --> 00:31:38.198]  That's my initial reaction.
[00:31:38.558 --> 00:31:42.020]  As a former prosecutor, I'd say, legally, it was criminal.
[00:31:42.501 --> 00:31:44.062]  Morally, it was repugnant.
[00:31:44.182 --> 00:31:47.925]  And institutionally, as a member of a democratic body, it's corrosive.
[00:31:48.525 --> 00:31:49.626]  But more importantly,
[00:31:50.166 --> 00:31:57.888]  He's going to be gone in 13 days, but the damage that he has done, the wrecking ball he has taken to our institutions, will not be gone.
[00:31:57.968 --> 00:32:04.130]  And I really think it's incumbent upon us in Congress to take an MRI to all the corruption, because you know that this was not the only call.
[00:32:04.490 --> 00:32:08.131]  The Zelensky call just, you know, a year and a half ago was not the only call.
[00:32:08.651 --> 00:32:14.113]  That he has likely made calls like this to so many people to try and exert corrupt influence.
[00:32:14.153 --> 00:32:17.233]  There is a cult leader wearing a mask to keep you in fear.
[00:32:17.653 --> 00:32:19.034]  And he's wearing a Black Lives Matter
[00:32:20.239 --> 00:32:20.899]  Mask as well.
[00:32:21.459 --> 00:32:22.720]  Oh, they really matter, don't they?
[00:32:23.360 --> 00:32:27.781]  The shutdown the UN admits has starved over, now it's over 3 million people to death.
[00:32:28.781 --> 00:32:30.602]  200 million are on the verge.
[00:32:30.902 --> 00:32:32.402]  287 million on the verge of starvation.
[00:32:32.482 --> 00:32:33.603]  Billions sliding into it.
[00:32:34.063 --> 00:32:36.163]  Oh, but he loves the black people.
[00:32:38.704 --> 00:32:41.925]  He loves the black people so much it makes him cry at night.
[00:32:44.482 --> 00:32:45.102]  We're going to go to break.
[00:32:45.763 --> 00:32:46.423]  We're going to come back.
[00:32:46.443 --> 00:32:47.604]  I want to thank you all for your support.
[00:32:47.624 --> 00:32:48.865]  I want to thank you all for your prayers.
[00:32:49.745 --> 00:32:55.369]  You are making all this possible, including the big event on the evening of the 5th in D.C.
[00:32:57.190 --> 00:32:57.970]  at Freedom Plaza.
[00:32:58.270 --> 00:33:00.432]  Please tell everyone you know to be there, even if you can't be there.
[00:33:00.992 --> 00:33:05.435]  And of course, on the 6th on the elliptic just south of the White House.
[00:33:06.035 --> 00:33:07.856]  This is not America's last stand.
[00:33:08.697 --> 00:33:13.140]  This is America rallying to the challenge of the globalists.
[00:33:14.062 --> 00:33:17.044]  And taking action and letting them know we will not submit to their tyranny.
[00:33:17.084 --> 00:33:18.184]  It's a beautiful awakening.
[00:33:18.505 --> 00:33:21.586]  It's huge if we make lemonade out of these lemons.
[00:33:22.087 --> 00:33:34.734]  Please don't forget, a lot of products that were sold out are back in stock like Pollen Block, like X2, like Super Mel Vitality, and also Natural Defense, and so many others are now back in stock like
[00:33:36.641 --> 00:33:39.723]  Alpha Power at infowarestore.com.
[00:33:39.763 --> 00:33:40.664]  Thank you for your support.
[00:33:40.904 --> 00:33:41.985]  That's how we fund this operation.
[00:33:42.105 --> 00:33:44.687]  It's called themarchtosaveamerica.com.
[00:33:47.149 --> 00:33:49.551]  January 5th, 1 p.m., Freedom Plaza.
[00:33:50.912 --> 00:33:52.874]  January 6th, The Ellipse, 9 a.m.
[00:33:53.294 --> 00:33:53.794]  to 1.
[00:33:54.535 --> 00:33:59.319]  January 6th, 1 p.m., Capitol Building, Northeast Side.
[00:33:59.359 --> 00:34:00.840]  I'll be leading that march.
[00:34:02.093 --> 00:34:03.553]  And I'm just going to leave it at that.
[00:34:03.653 --> 00:34:04.474]  But can you imagine?
[00:34:04.954 --> 00:34:07.594]  Jones, you will then lead the march after the president speaks.
[00:34:07.694 --> 00:34:07.954]  OK.
[00:34:09.135 --> 00:34:10.735]  So that's what's going on.
[00:34:10.775 --> 00:34:12.295]  I don't want to... The enemy's watching.
