[00:00:00.289 --> 00:00:01.090]  Thursday Live!
[00:22:27.875 --> 00:22:29.017]  We're only doing 100 of these.
[00:22:29.057 --> 00:22:30.118]  They went up for sale yesterday.
[00:22:30.138 --> 00:22:31.400]  We've already sold 15 of them.
[00:22:32.261 --> 00:22:34.525]  People like individual art, individual mementos.
[00:22:34.545 --> 00:22:35.246]  Well, we've done that.
[00:22:35.306 --> 00:22:38.731]  I have a special thank you card that goes out to 100 people.
[00:22:39.412 --> 00:22:43.218]  And it's got some original art that I came up with that is the wolf chasing the sheep.
[00:22:43.638 --> 00:22:50.441]  We'll have another special card we're going to put out in a month that is the Sheepdog Changing the Sheep, but this is 100 of 100 and 1 of 100.
[00:22:50.481 --> 00:23:00.286]  There's 100 of these cards, and it says, as we continue our historic efforts to fight for truth, I wanted to reach out and thank you for your generous support in the fight against the globalists.
[00:23:00.326 --> 00:23:05.769]  Together, we can continue to grow in a worldwide operation geared towards promoting freedom and patriotism.
[00:23:06.149 --> 00:23:12.232]  As one of our top supporters, the people that are ordering this film, I would like to personally thank you for your contributions to the Infowar.
[00:23:12.452 --> 00:23:12.913]  Without you,
[00:23:14.255 --> 00:23:16.276]  Information war would be already lost.
[00:23:16.537 --> 00:23:19.939]  But because of your actions and God's providence, we will be victorious.
[00:23:20.019 --> 00:23:23.141]  And remember, if you are receiving this message, you are the resistance.
[00:23:23.301 --> 00:23:29.926]  So we're selling 100 DVDs with 100 postcards of this original art signed by me.
[00:23:30.386 --> 00:23:30.986]  And that's it.
[00:23:31.086 --> 00:23:31.727]  So there's 100 of 100.
[00:23:31.827 --> 00:23:34.589]  And my thank you to you and my signature.
[00:23:34.609 --> 00:23:35.990]  People have been requesting this.
[00:23:37.162 --> 00:23:42.064]  And here is one of 100 at m4warstore.com.
[00:23:42.165 --> 00:23:45.286]  Get these if you'd like to be special boosters of the transmission.
[00:23:45.326 --> 00:23:50.649]  That's what it takes to find that one of the only major independent media groups is pro-human on the face of terra firma.
[00:23:51.069 --> 00:23:57.032]  We shall return in T-minus four minutes with massive news and intel for free humanity.
[00:23:58.353 --> 00:24:02.677]  We're going to be covering some very important information with David Icke in the second hour.
[00:24:02.737 --> 00:24:06.440]  He's been knocking it out of the park, and boy, has he been proven right.
[00:24:07.161 --> 00:24:20.113]  In fact, guys, re-pull me that big article we covered yesterday with the seven universities that tested tens of thousands of COVID samples and found out that they were influenza, A, B, others, and that they were other pneumonia viruses.
[00:24:20.213 --> 00:24:21.674]  None of it was what they said.
[00:24:21.694 --> 00:24:22.535]  The virus wasn't even there.
[00:24:24.002 --> 00:24:25.744]  But almost all cases, it's not even that.
[00:24:25.764 --> 00:24:27.085]  Well, then why'd they release it from Mulan?
[00:24:27.505 --> 00:24:28.726]  Because Bill Gates wants to own it?
[00:24:30.127 --> 00:24:37.954]  And because Bill Gates has signaled, and I've studied all of their different, not all their different, but a lot of their different John Hopkins and Rockefeller Foundation documents.
[00:24:37.974 --> 00:24:39.215]  We've all done it together here on air.
[00:24:40.636 --> 00:24:43.919]  And you learn the rhythm of how they operate.
[00:24:43.939 --> 00:24:45.761]  You learn the tempo.
[00:24:48.377 --> 00:24:57.644]  And so before Gates and Fauci and all of them said, oh, another bigger pandemic's coming, this is really just an exercise to make sure we're ready.
[00:24:58.404 --> 00:25:02.007]  Well, that's because their own people know it's a fraud, their own doctors and scientists.
[00:25:02.327 --> 00:25:17.058]  That's why you see thousands of prominent scientists and doctors and epidemiologists and the former head scientist of Pfizer and the head of the EU Advisory Commission, Wolfgang Wudarg, and just every... because those are normal doctors and normal scientists, and they say this is all a giant fraud.
[00:25:18.663 --> 00:25:22.706]  But the ones at Big Pharma and the ones at the institutions carrying it out, they need a cover story.
[00:25:22.726 --> 00:25:26.308]  So they're told internally, okay, it's really a drill.
[00:25:26.869 --> 00:25:28.350]  Terrorist was stole.
[00:25:29.090 --> 00:25:31.552]  Bioweapons research we were doing to cure stuff.
[00:25:31.852 --> 00:25:35.394]  We were working on hypothetical weapons that might attack us.
[00:25:35.414 --> 00:25:36.895]  That's their cover for creating the weapons.
[00:25:36.915 --> 00:25:37.636]  That's a fact.
[00:25:37.656 --> 00:25:39.197]  And then they say,
[00:25:41.502 --> 00:25:46.867]  So we've gotta go ahead and do the global lockdown drill to make sure humanity's ready when we get hit.
[00:25:46.887 --> 00:25:52.132]  And they're like, oh, okay, we're in on the group, then we're doing this bad thing, so we're ready.
[00:25:52.192 --> 00:25:54.054]  It's evil for good.
[00:25:54.094 --> 00:25:55.735]  It's in justifies the means.
[00:25:55.855 --> 00:25:57.397]  And then they've got them.
[00:26:02.181 --> 00:26:05.985]  And that's how they run this major scam.
[00:26:07.665 --> 00:26:09.446]  In fact, that's only like a three-minute video.
[00:26:09.466 --> 00:26:10.467]  Will you cue that back up?
[00:26:10.527 --> 00:26:14.569]  Where a great narrator is actually reading what the scientist, what the doctor said, and I'll play that in a moment.
[00:26:15.009 --> 00:26:17.370]  But first, hear it from Biden yesterday.
[00:26:19.411 --> 00:26:24.554]  Biden chillingly saying, oh, we've got to get rid of this pandemic.
[00:26:25.055 --> 00:26:26.015]  He's got to be our savior.
[00:26:26.195 --> 00:26:31.598]  And we got to take the vaccine and get tracker systems and show our IDs and leave our houses and be non-essential.
[00:26:31.898 --> 00:26:34.760]  And because, you know, this was all just a drill for the big one.
[00:26:36.104 --> 00:26:38.205]  And then they practice covering up vaccine deaths.
[00:26:38.265 --> 00:26:40.246]  They practice covering up the origin of it.
[00:26:40.326 --> 00:26:42.107]  It's all a giant test.
[00:26:42.127 --> 00:26:46.409]  And when you read the different John Hopkins and Rockefeller documents, they even tell you it's a drill.
[00:26:48.230 --> 00:26:54.433]  And then he even goes on CNN and goes on Colbert, Bill Gates, and says, oh, this was really just a test.
[00:26:55.353 --> 00:26:58.215]  Hell, LaSwab wrote six months ago, he said,
[00:26:59.943 --> 00:27:02.105]  COVID-19 is not an existential threat.
[00:27:02.445 --> 00:27:03.826]  Just saying to investors, don't worry.
[00:27:03.866 --> 00:27:07.789]  This is really just us bringing in a carbon lockdown system.
[00:27:08.229 --> 00:27:12.732]  And then months later, they were in the news saying, we need carbon lockdowns to save the earth.
[00:27:13.253 --> 00:27:18.256]  We need to eat bugs and we need to drink synthetic meat.
[00:27:18.937 --> 00:27:22.640]  It's like meat slurpees and we need to eat weeds.
[00:27:23.697 --> 00:27:29.879]  And they're just giving you dystopia and saying, we'll give you some free credit after we bankrupt you and make you obsolete.
[00:27:29.899 --> 00:27:32.000]  You're in a small farm, small businesses, you're in a mainstream.
[00:27:32.360 --> 00:27:41.984]  And then when you behave and do what we say, sterilize yourself, sterilize your children, you take the psychotropic, say you're disabled, say you're a loser, then we'll give you enough to live.
[00:27:42.364 --> 00:27:44.124]  But it'll be synthetic poison that kills you.
[00:27:45.925 --> 00:27:49.366]  And they admit that's their plan to phase us out and take over.
[00:27:49.607 --> 00:27:50.667]  It's all soft kill.
[00:27:53.547 --> 00:27:55.288]  So you're ready for the climate lockdowns?
[00:27:55.328 --> 00:27:58.769]  I told you over a year before they announced that in February, that's exactly what this was.
[00:28:00.329 --> 00:28:00.909]  How did I know?
[00:28:00.989 --> 00:28:02.230]  Klaus Schwab said it!
[00:28:04.450 --> 00:28:10.632]  Oh, but Mr. Greenblatt over at the ADL will call you an anti-Semite if you cover that.
[00:28:10.692 --> 00:28:12.853]  Like, what the hell did Jews have to do
[00:28:13.971 --> 00:28:19.037]  With a global government and euthanasia and sterilization, but that's how this works.
[00:28:19.237 --> 00:28:24.804]  Oh, you want to have an audit of the 10.6 billion Black Lives Matter groups got last year?
[00:28:25.044 --> 00:28:26.586]  Oh my God, you're a white supremacist!
[00:28:27.487 --> 00:28:30.311]  Even though mainly old white people like George Soros got the money.
[00:28:32.639 --> 00:28:36.764]  Welcome to 2030, I own nothing, I have no privacy, and life's never been better.
[00:28:36.844 --> 00:28:37.605]  Who said that?
[00:28:37.885 --> 00:28:38.806]  What, Alex Jones?
[00:28:39.567 --> 00:28:46.655]  Oh, Jones is crazy, he says we'll own nothing, have no privacy, have no freedom, we'll love it in 15 years.
[00:28:47.275 --> 00:28:49.358]  That's when they said this, a few years ago.
[00:28:50.953 --> 00:28:53.995]  Now it's ten years away, now it's nine years away, and now you're learning, you see?
[00:28:54.136 --> 00:28:55.116]  No, I didn't say that!
[00:28:55.817 --> 00:29:08.667]  Klaus Schwab said that while Leonardo DiCaprio looks like a total psycho in the front row, and everyone's getting off on, they're at the head of the table, they're the global elite, they're gonna get rid of us, they're gonna test all the biotech on us.
[00:29:12.050 --> 00:29:16.554]  But let's put up the headline for the live show today, before I get into this news, and I'll get into it in a moment, before I even play by it.
[00:29:17.625 --> 00:29:22.967]  Thursday live, alien life forms are secretly being created in labs across the world.
[00:29:25.888 --> 00:29:31.750]  Every time I put a headline out like that, the media bites and they make a joke.
[00:29:31.770 --> 00:29:33.550]  They go, Jones claims there's aliens.
[00:29:35.471 --> 00:29:39.192]  And no, they didn't come from Elvis and Terry's little tinfoil flying disc.
[00:29:43.354 --> 00:29:45.774]  If you, here's an example, and I've used this example a lot.
[00:29:45.794 --> 00:29:46.895]  You know, I'll cover it next segment.
[00:29:48.439 --> 00:29:49.260]  Remember the movie?
[00:29:49.760 --> 00:29:50.361]  Print it off for me.
[00:29:50.381 --> 00:29:51.562]  It's a cheesy B-movie.
[00:29:52.302 --> 00:29:54.244]  Had the attractive blonde model in it.
[00:29:54.684 --> 00:29:55.165]  Species.
[00:29:55.465 --> 00:29:56.366]  Came out like 20 years ago.
[00:29:56.626 --> 00:29:58.748]  Guys, will you print me the IMDb on that?
[00:29:59.649 --> 00:30:07.075]  But they've got a radio telescope aimed at a distant star system and they get a transmission back that's from an intelligent life form.
[00:30:08.018 --> 00:30:13.279]  That is the human genome with a few little changes to it that says, make this.
[00:30:13.999 --> 00:30:17.080]  And they have gene editing power because it's set in the near future.
[00:30:17.500 --> 00:30:18.540]  And they edit it together.
[00:30:18.560 --> 00:30:20.061]  It looks like a little girl, but it's not.
[00:30:21.061 --> 00:30:22.861]  Now see, that's an alien.
[00:30:23.682 --> 00:30:31.083]  And if we got a transmission from deep space that told us how to build something that wasn't from here, we would be building an alien.
[00:30:31.724 --> 00:30:32.004]  You understand?
[00:30:32.024 --> 00:30:33.104]  Because it's not of this world.
[00:30:34.295 --> 00:30:36.476]  Well that's a movie made, what was it, 20 years ago?
[00:30:36.496 --> 00:30:38.196]  I don't remember, 25 years ago?
[00:30:39.717 --> 00:30:52.721]  But that's the reality of thousands and thousands and thousands of labs everywhere with gene guns just randomly mixing animal and human DNA, but that's not enough.
[00:30:53.041 --> 00:30:55.762]  Now they're creating random computer-created
[00:30:56.562 --> 00:31:12.288]  New life forms that don't come from the reptiles, don't come from amphibians, don't come from pinnipeds, don't come from mammals, don't come from fungus, don't come from anything of this world, and they're just randomly injecting it into every life form you can imagine.
[00:31:12.689 --> 00:31:21.112]  And they found if they inject it into a colony creature, like a jellyfish, they can have the jellyfish genes, I was reading a study, jump through into mammals.
[00:31:21.392 --> 00:31:25.794]  So that's why whenever they're mixing together in these vaccines, they're adding jellyfish genes to the Pfizer,
[00:31:26.454 --> 00:31:30.058]  So he can carry something not of this world into you.
[00:31:30.078 --> 00:31:33.461]  I said I'd cover it next segment.
