[00:00:00.169 --> 00:00:06.154]  And so I got up at 2 a.m., and I've been up since 2 a.m., and I read this whole document.
[00:28:21.138 --> 00:28:39.100]  The only really good chance we've got of avoiding a lot of this is for people like Senator Paul and Senator Cruz and everybody else to do what Tucker Carlson's done and realize that we're telling the truth here and get hardcore and rally people against this and to absolutely stop the election fraud they're gonna try to pull next year and more.
[00:28:40.718 --> 00:28:47.881]  And really get serious about these people and start having our own civil disobedience and not minding one damn thing they say.
[00:28:48.161 --> 00:28:56.145]  I mean, if they get us on the leash, if they get the ball and chain on us, if they get us in those handcuffs and tie up our legs and feet, they got us.
[00:28:56.645 --> 00:28:58.846]  And that's what a digital domestic passport is.
[00:28:59.086 --> 00:29:01.888]  They're going to build the carbon tax climate core on.
[00:29:02.528 --> 00:29:04.349]  And then it's Katie bar the door.
[00:29:04.509 --> 00:29:04.729]  I mean,
[00:29:08.680 --> 00:29:10.201]  This is going to be horrible.
[00:29:10.942 --> 00:29:13.984]  And if you resist, you're a racist.
[00:29:14.924 --> 00:29:31.616]  And if you resist, the Climate Corps people that come to your house, one'll be white, one'll be black, one'll be Hispanic, you'll be put on the news that, well, this man was shot and killed, he didn't let the climate force on his farm, and he didn't take refugees, so they had to take the racist out.
[00:29:32.597 --> 00:29:34.498]  You can be black, you can be white, they're gonna kill you.
[00:29:35.739 --> 00:29:36.620]  And they're training to kill you.
[00:29:38.459 --> 00:29:44.661]  And I know a lot of big gun stores here in Austin, the owners have told me, they said, don't say our name, but it's the three or four I've talked to.
[00:29:45.702 --> 00:29:50.584]  When the left comes into these gun stores, these shooting ranges, people say, what are you getting guns for?
[00:29:50.604 --> 00:29:52.845]  And they say, we're getting ready to take out the Trump people.
[00:29:55.566 --> 00:30:00.607]  And so, and I've got all the UN clips saying, we're coming in your house and we're gonna take your kids out.
[00:30:00.667 --> 00:30:01.968]  Well, that's the UN talking.
[00:30:02.228 --> 00:30:03.128]  They've done it all over the world.
[00:30:03.489 --> 00:30:06.870]  Now it's in a CDC document here in America.
[00:30:08.831 --> 00:30:09.812]  All right, so I'm behind.
[00:30:09.892 --> 00:30:10.553]  I'm not behind.
[00:30:10.613 --> 00:30:18.082]  I've been saying a lot of important things, but I need to play clips of what it's going to look like here from Australia, from England, from France.
[00:30:18.502 --> 00:30:28.454]  And I need to play this doctor who's done the best job yet in just six and a half minutes at an Indiana Mount Vernon city council.
[00:30:30.384 --> 00:30:33.645]  And it's going to be doctors like this speaking up that are going to turn the tide as well.
[00:30:34.125 --> 00:30:41.068]  It's going to be farmers and ranchers and machine shop owners and police officers and just pastors.
[00:30:41.148 --> 00:30:46.210]  But I'm telling you, ladies and gentlemen, you better get going now.
[00:30:47.151 --> 00:30:50.412]  What we saw from Rand Paul is the spirit of what we need.
[00:30:50.912 --> 00:30:51.672]  This is an attack.
[00:30:51.692 --> 00:30:52.393]  This is a fraud.
[00:30:52.413 --> 00:30:53.093]  These are criminals.
[00:30:53.373 --> 00:30:53.873]  Reject them.
[00:30:54.113 --> 00:30:57.675]  But he's got to go further that they've captured the military leadership.
[00:30:59.053 --> 00:31:14.940]  They're now purging the military, they're now purging the police, they're doing everything you do in a takeover, and they're admittedly doing a takeover, and they're paying people not to work to permanently shut down the economy so that people don't have a choice but to submit to this because they don't know any better.
[00:31:15.741 --> 00:31:17.181]  That's how the communists get control.
[00:31:17.221 --> 00:31:18.642]  They shut the damn food off.
[00:31:22.819 --> 00:31:29.722]  Again, every bit of my energy, because I'm not a coward, but I love my children and my family, and I don't like putting them in harm's way.
[00:31:30.062 --> 00:31:36.584]  And every bit of my energy is holding myself here still on air and not selling every damn thing I got and just disappearing.
[00:31:37.704 --> 00:31:40.465]  Of course, I know they're going to hunt me down particularly, so there's no point.
[00:31:40.906 --> 00:31:46.968]  The best place for my family is at the front line, top of the mountain, fighting them, trusting in all of you.
[00:31:47.008 --> 00:31:49.909]  But my flesh, my spirit's willing, my flesh,
[00:31:51.261 --> 00:31:57.085]  Is Jones, you need to get down because this is bad.
[00:31:57.685 --> 00:31:58.786]  This is guaranteed.
[00:31:59.106 --> 00:32:00.287]  They're making their move.
[00:32:00.347 --> 00:32:04.049]  You can guarantee we're not going to be on the air next year if we don't stop this now.
[00:32:04.350 --> 00:32:06.591]  You can guarantee they're going to start coming to your house.
[00:32:06.891 --> 00:32:08.872]  You can guarantee they're coming for your guns.
[00:32:09.173 --> 00:32:14.376]  You can guarantee they're going to give your neighbors credits on their debit card if they lie about you and turn you in.
[00:32:14.996 --> 00:32:18.659]  You can guarantee in two years a lot of you are going to be in forced labor camps or dead.
[00:32:20.222 --> 00:32:22.885]  I mean this is the real deal!
[00:32:25.328 --> 00:32:29.773]  Like you hear banging on the door at 2am and you get up and some big guy just broke through your door with a gun.
[00:32:29.993 --> 00:32:31.414]  You're not happy it happened, but he's there.
[00:32:31.434 --> 00:32:32.055]  What are you going to do?
[00:32:35.779 --> 00:32:40.264]  You going to get on the ground in a fetal position and hope he doesn't tie you and your wife up and rape you and kill you?
[00:32:40.424 --> 00:32:41.245]  Or are you going to just...
[00:32:44.309 --> 00:32:46.690]  Wish you had a gun at the ready, huh?
[00:32:46.890 --> 00:32:47.811]  Maybe you did have a gun at the ready.
[00:32:47.831 --> 00:32:48.711]  Maybe you got a baseball bat.
[00:32:49.031 --> 00:32:51.332]  The point is it's better to be prepared now.
[00:32:52.233 --> 00:32:57.235]  Because I got footage of police viciously beating men, women, and children all over the world while their borders are wide open.
[00:32:57.675 --> 00:33:01.137]  And these police will take you to a FEMA camp in 10 seconds.
[00:33:01.197 --> 00:33:02.097]  These are followers.
[00:33:02.397 --> 00:33:04.538]  These are soulless people in blue cities.
[00:33:05.699 --> 00:33:10.581]  So the police can be good if they're constitutional, but the minute the left runs them, they are cancer.
[00:33:11.721 --> 00:33:13.022]  So you're not going to be able to count on them.
[00:33:15.742 --> 00:33:17.924]  I'm going to go to break, and I'm going to come back and lay all this out.
[00:33:18.144 --> 00:33:19.966]  And I'm not trying to be doom and gloom for everybody.
[00:33:20.366 --> 00:33:22.328]  I just have to understand, this is a real takeover.
[00:33:22.368 --> 00:33:22.768]  It's happened.
[00:33:24.469 --> 00:33:27.852]  Oh, we have some very, very, very, very, very exciting news.
[00:33:31.475 --> 00:33:35.779]  And by the way, as negative as I've been, I meant to start the whole show off with, there's a way to stop this.
[00:33:36.279 --> 00:33:38.021]  But you have to know what that is.
[00:33:38.041 --> 00:33:39.862]  You have to know how much trouble you're in before.
[00:33:40.848 --> 00:33:42.209]  There's any shot to turn this around.
[00:33:42.249 --> 00:33:46.091]  I mean, the whole point in beating it is to admit that it's bad.
[00:33:46.131 --> 00:33:46.611]  You understand?
[00:33:48.452 --> 00:33:53.094]  Like Owen was in Missouri for a week visiting family plates, golf with folks, this and that.
[00:33:53.534 --> 00:33:55.495]  And he said they still think this is America.
[00:33:55.715 --> 00:33:57.476]  They don't know it's a globalist communist takeover.
[00:33:57.496 --> 00:33:59.137]  They don't know we're in the middle of a full swing takeover.
[00:33:59.297 --> 00:34:00.578]  They don't know we're in the middle of a damn war.
[00:34:02.113 --> 00:34:05.675]  So I intend to be on air in a year, and I intend to hold these people off.
[00:34:05.955 --> 00:34:11.519]  They may swallow up the rest of the world, but I believe America and certain states in our system, we're going to be able to stop these people.
[00:34:11.559 --> 00:34:14.800]  But it's going to be an incredible fight, politically and energetically.
[00:34:14.820 --> 00:34:19.923]  And it's going to take banner hangs and protests and non-violent civil disobedience, and it's going to take money.
[00:34:20.564 --> 00:34:25.447]  Speaking of that, it's been sold out for months, and thank God the supply chain finally worked for a minute.
[00:34:26.167 --> 00:34:31.629]  We got a limited amount of the Dr. Jones Naturals Activated Charcoal Mouthwash with all the essential oils.
[00:34:31.669 --> 00:34:33.529]  Such a great, clean, quality mouthwash.
[00:34:33.549 --> 00:34:34.430]  It gets back in stock.
[00:34:35.410 --> 00:34:37.251]  And we also have the toothpaste back in stock.
[00:34:37.351 --> 00:34:38.531]  Activated Charcoal Toothpaste.
[00:34:38.571 --> 00:34:39.111]  Everybody wanted.
[00:34:39.531 --> 00:34:40.612]  Natural, fluoride-free.
[00:34:41.572 --> 00:34:42.472]  Gently cleanses teeth.
[00:34:42.832 --> 00:34:43.373]  Fresh breath.
[00:34:43.793 --> 00:34:44.193]  Enamel.
[00:34:44.233 --> 00:34:44.513]  Safe.
[00:34:44.553 --> 00:34:45.593]  Thank you all for your support.
[00:34:46.454 --> 00:34:47.234]  And real peppermint.
[00:34:48.513 --> 00:34:49.993]  It's available at InfoWarsTore.com.
[00:34:50.013 --> 00:34:51.674]  We got a bunch of new t-shirts.
[00:34:51.794 --> 00:34:52.814]  Everybody likes t-shirts.
[00:34:52.834 --> 00:34:56.275]  They're sold all over Amazon, everywhere else with a bunch of my faces on them acting goofy.
[00:34:56.835 --> 00:34:58.675]  Got a nice black and white shirt came in with that.
[00:34:59.235 --> 00:35:02.776]  Got some new Trump 1 shirts that came in that are really good looking.
[00:35:03.316 --> 00:35:11.618]  And we've also got the liquid turmeric formula for 50% off back in stock at InfoWarsTore.com.
[00:35:11.678 --> 00:35:18.099]  And you got four days left in the sale for the privacy pouches at 50% off of the 11 free bumper stickers.
[00:35:18.916 --> 00:35:24.499]  Hello, I'm Mike Lindell, and I'm coming to you with the most important commercial that I've ever done.
[00:35:24.979 --> 00:35:31.642]  All of you know what my pillow and myself have gone through in the last five months in my efforts to bring the truth forward.
