[00:00:00.329 --> 00:00:01.449]  So there's today's headline.
[00:22:46.082 --> 00:22:50.344]  And when you support us by buying high-quality products, StemFootworkStore.com, you make this all possible.
[00:22:50.684 --> 00:22:54.726]  Also, to make it easy to do, we've got the highest quality D3 for your immune system and your body.
[00:22:55.686 --> 00:22:56.606]  Essential for everybody.
[00:22:57.347 --> 00:22:58.567]  You absorb it when you take it under the tongue.
[00:22:58.587 --> 00:22:59.687]  It tastes sweet naturally.
[00:23:00.188 --> 00:23:01.148]  It's 50% off.
[00:23:01.188 --> 00:23:02.709]  That sale will end Sunday night.
[00:23:03.269 --> 00:23:06.810]  Ultra 12 is pharmaceutical-grade vitamin B12.
[00:23:06.950 --> 00:23:07.550]  Highest quality.
[00:23:07.590 --> 00:23:08.250]  Take it under the tongue.
[00:23:08.631 --> 00:23:09.671]  It tastes sweet naturally.
[00:23:09.731 --> 00:23:10.311]  Both these do.
[00:23:11.131 --> 00:23:11.932]  There's no sweetener in it.
[00:23:11.952 --> 00:23:13.512]  This is how they taste when they're real and organic.
[00:23:15.133 --> 00:23:17.094]  They are both 50% off.
[00:23:17.114 --> 00:23:17.854]  And look at those reviews.
[00:23:17.874 --> 00:23:17.854]  97%, 4.8%.
[00:23:22.099 --> 00:23:23.381]  Stars by Power Reviews.
[00:23:24.022 --> 00:23:30.534]  Infowarsstore.com or 888-253-3139.
[00:23:31.215 --> 00:23:33.058]  And we also have Polynblock back in stock.
[00:23:33.098 --> 00:23:38.814]   We also have back in stock the Activated charcoal, concentrate, toothpaste, and mouthwash with essential oils.
[00:23:38.834 --> 00:23:39.635]  Talk about cleaning your teeth.
[00:23:39.775 --> 00:23:41.836]  It is incredible without damaging your teeth.
[00:23:42.317 --> 00:23:45.218]  Bodies is not back in yet, but I'm told it's back in next week.
[00:23:45.238 --> 00:23:45.779]  That's exciting.
[00:23:46.019 --> 00:23:49.361]  But we do have our super concentrated liquid turmeric that's just as good.
[00:23:49.721 --> 00:23:51.262]  That is discounted as well.
[00:23:51.383 --> 00:23:52.743]  And of course, survival shield X2.
[00:23:53.144 --> 00:23:53.944]  Talk about essential.
[00:23:54.044 --> 00:23:57.507]  So many people are deficient in iodine or they get iodine that is bound.
[00:23:57.907 --> 00:23:59.548]  So that is also in stock, discounted.
[00:23:59.928 --> 00:24:00.509]  Info Wars.
[00:24:01.129 --> 00:24:01.770]  Store.com.
[00:24:02.070 --> 00:24:03.211]  Twice the vitamin D power.
[00:24:03.251 --> 00:24:03.691]  Winner 70% off.
[00:24:03.772 --> 00:24:06.474]  Experience the power of B12 Ultra.
[00:24:06.494 --> 00:24:06.674]  12% off.
[00:24:07.095 --> 00:24:08.296]  Infowarstore.com.
[00:24:08.135 --> 00:24:11.735]   Okay, the big news when we come back, then I'm gonna shift gears out of Wuhan
[00:24:11.735 --> 00:24:14.735]   and the bio attack, and we're gonna move into everything else.
[00:24:14.735 --> 00:24:17.315]  (upbeat music)
[00:24:17.315 --> 00:24:23.135]   If you are receiving this transmission, you are a citizen.
[00:24:23.135 --> 00:24:25.974]  Peace out of the storm.
[00:24:25.974 --> 00:24:34.735]   And we are back, ladies and gentlemen, on this September 23rd, Thursday transmission.
[00:24:34.851 --> 00:24:36.953]  So let me just calmly go through this as best I can.
[00:24:36.973 --> 00:24:38.214]  I'm already giving the backstory.
[00:24:39.615 --> 00:24:44.940]  We're gonna go back into that as well, but let's just get the 35,000-foot view.
[00:24:46.101 --> 00:24:50.104]  Here's RT, Associated Press, Washington Times, it's everywhere, Washington Post.
[00:24:50.624 --> 00:24:52.926]  COVID-19 appeared in the U.S.
[00:24:53.927 --> 00:24:54.788]  before Wuhan.
[00:24:57.116 --> 00:24:59.758]  Chinese scientist's claim in new research paper.
[00:25:01.720 --> 00:25:15.510]  And we also have the IMF World Bank document saying in 2019, it was already seen in 2018 in the Italian sewer lines that had already been identified and named COVID-19.
[00:25:15.530 --> 00:25:16.511]  That's mainstream news.
[00:25:17.131 --> 00:25:18.152]  We'll look more at that in a moment.
[00:25:18.732 --> 00:25:19.793]  Then there's this big story.
[00:25:19.873 --> 00:25:21.695]  Jamie White wrote about it from pollwars.com.
[00:25:22.175 --> 00:25:25.418]  Chinese whistleblower claims COVID outbreak intentional.
[00:25:26.465 --> 00:25:29.328]  Happened in October of 2019 at Military World Games.
[00:25:31.190 --> 00:25:32.351]  And then they give no evidence.
[00:25:32.832 --> 00:25:38.137]  They say a Chinese detector, defector heard rumors.
[00:25:40.840 --> 00:25:44.163]  Well, we don't have rumors.
[00:25:45.097 --> 00:25:45.957]  We have the documents.
[00:25:45.997 --> 00:25:46.717]  I'll show you in a moment.
[00:25:47.277 --> 00:25:53.119]  CCP defector says China deliberately spread COVID at military event in 2019.
[00:25:53.279 --> 00:25:56.339]  This is all over every channel.
[00:25:57.199 --> 00:26:06.181]  But not about the documents from DARPA and the Pentagon about Fauci and Daszak wanting to release COVID-19 virus.
[00:26:06.221 --> 00:26:07.021]  It's the same virus.
[00:26:07.042 --> 00:26:14.123]  They described all the insurgents, the same virus, the same P shuttle genes, the same HIV delivery system.
[00:26:17.435 --> 00:26:18.035]  Continuing.
[00:26:18.375 --> 00:26:18.475]  Oh!
[00:26:19.335 --> 00:26:19.875]  Let's look at this.
[00:26:19.955 --> 00:26:22.716]  A federal ban on making lethal viruses is lifted.
[00:26:22.736 --> 00:26:22.716]  2017.
[00:26:23.096 --> 00:26:28.177]  One of the things they slipped through on Trump.
[00:26:29.537 --> 00:26:30.617]  Here's another one under Obama.
[00:26:30.677 --> 00:26:32.258]  Lab-made coronavirus triggers debate.
[00:26:32.298 --> 00:26:32.858]  The scientist.
[00:26:33.218 --> 00:26:35.218]  They moved it from North Carolina to Wuhan.
[00:26:36.659 --> 00:26:37.339]  But here it is.
[00:26:37.439 --> 00:26:53.583]   Here's the proposal, Volume 1, from Peter Daszak, funded directly and run by Fauci, Dr. Peter Daszak, PhD, EcoHealth Alliance, 460 West 34th Street, 17th Floor, New York City.
[00:26:55.143 --> 00:27:01.265]  And you read this, it's to merge HIV with four animal coronaviruses and make it work and infect humans.
[00:27:04.726 --> 00:27:07.147]  And the bats fly over and they give it to you.
[00:27:09.770 --> 00:27:14.291]  Coronavirus contains HIV insertion, stoking fears over artificially created bioweapon.
[00:27:14.711 --> 00:27:17.231]  That was February 1st of last year, 2020.
[00:27:17.591 --> 00:27:20.272]  It was in Zero Hedge.
[00:27:20.312 --> 00:27:21.212]  It was on InfoWars.
[00:27:21.232 --> 00:27:22.812]  We had bioweapons experts on.
[00:27:22.872 --> 00:27:23.912]  We had all the documents.
[00:27:23.952 --> 00:27:30.394]  We knew that Peter Dadzik and Fauci were involved then in gain of function because they'd given speeches and admitted it.
[00:27:30.634 --> 00:27:32.334]  There'd been a big debate five years before.
[00:27:32.354 --> 00:27:37.554]   Well, here we are six and a half years later, and we have the actual document where they
[00:27:37.554 --> 00:27:43.994]   made it all, and where they proposed it to DARPA that creates the new weapons and makes
[00:27:43.994 --> 00:27:46.473]  the main decisions at the Pentagon.
[00:27:46.473 --> 00:27:50.712]   They go to Congress to get the funding, but that's the brain of the Pentagon, is DARPA.
[00:27:50.712 --> 00:27:53.953]   Formerly ARPA that created the Internet and all the rest of it in 1961.
[00:27:53.953 --> 00:27:57.453]   So here it is, ladies and gentlemen, and this has been released.
[00:27:57.453 --> 00:28:02.712]   So it's not a rumor of the Chinese whistleblower, and you read the whole article, "Oh, he's
[00:28:02.712 --> 00:28:07.793]   in Australia, and he just says that he heard maybe they did it."
[00:28:08.568 --> 00:28:12.969]   Well funny, I've got Fauci right here doing it, and then I've got him running the UN response,
[00:28:12.969 --> 00:28:17.528]   running the American response, and members of the Senate can't criticize him or they get censored
[00:28:17.528 --> 00:28:24.729]  off YouTube. Or no, you can...
[00:28:24.960 --> 00:28:28.761]  Criticize Xi Jinping all day, but you can't criticize who's in charge.
[00:28:29.241 --> 00:28:34.982]  Bill Gates, and Fauci, and Klaus Schwab, and the globalists, because they are in charge.
[00:28:35.022 --> 00:28:42.004]  And their granddaddies set up Mao Zedong and defeated Chiang Kai-shek.
[00:28:44.204 --> 00:28:45.104]  And they run the planet!
[00:28:46.725 --> 00:28:47.805]  So, here it is, see?
[00:28:49.065 --> 00:28:51.205]  This is the London Independent, a few U.S.
[00:28:51.246 --> 00:28:52.746]  newspapers, which is dry headlines.
[00:28:52.766 --> 00:28:53.226]  Like, oh!
[00:28:54.522 --> 00:28:54.982]  Yeah.
[00:28:56.903 --> 00:29:01.844]  Fauci and Daszak sought money from the military to really sit in China.
[00:29:02.504 --> 00:29:03.525]  But it wasn't for people.
[00:29:03.585 --> 00:29:05.425]  And the military said that'll probably infect humans.
[00:29:05.485 --> 00:29:05.625]  No.
[00:29:05.945 --> 00:29:06.226]  Really?
[00:29:06.266 --> 00:29:06.666]  Think so?
[00:29:10.647 --> 00:29:12.227]  So that's their cover story.
[00:29:12.287 --> 00:29:13.808]  They wanted to get the Pentagon on board.
[00:29:13.848 --> 00:29:15.888]  They did get the Chinese government on board to make this.
[00:29:17.269 --> 00:29:20.630]  That's in the 900 pages came out two weeks ago that the intercept suit got.
[00:29:23.103 --> 00:29:37.371]  And so when that came out, that Fauci and Dietz had gained a function, build it, do it, and that the Chinese were involved, it's in the emails that their government approving it, our government gets a foyer and says, you can actually have that.
[00:29:37.471 --> 00:29:39.913]  We said no to it.
[00:29:41.323 --> 00:29:45.885]  Now, our government is a consortium of globalists at the top, and it has good people in it.
[00:29:46.445 --> 00:29:52.207]  And the globalists see America as its main enemy because the people might get control of the government again, and then there goes their New World Order.
[00:29:52.807 --> 00:29:57.369]  Just like the Chinese people might overthrow Xi Jinping, and that'd be it for the New World Order if they set up a good system.
[00:29:58.649 --> 00:30:01.390]  But it doesn't mean Xi Jinping is now in line with the globalists.
[00:30:01.410 --> 00:30:03.631]  He's not, and that's why you see all hell breaking loose.
[00:30:05.109 --> 00:30:11.151]  Oh, China could be the preeminent force in all this stuff, as long as they didn't expand their military outside the South China Sea.
[00:30:11.372 --> 00:30:11.972]  But they did.
[00:30:12.252 --> 00:30:17.514]  So they broke their deal under Obama with the globalists, which is smart, because you don't ever want to make a deal with them.
[00:30:17.814 --> 00:30:19.315]  They're even more evil than the chi-comps.
[00:30:21.376 --> 00:30:27.878]  And so remember, Xi Jinping's paying people to have three children now, instead of killing anyone over one baby.
[00:30:29.239 --> 00:30:31.560]  Xi Jinping's putting homosexuals in prison.
[00:30:33.801 --> 00:30:42.674]   What does George Soros calls Xi Jinping the number one threat in the world, the most evil man on earth.
[00:30:43.855 --> 00:30:45.878]  He calls him Hitler 2.0.
[00:30:46.479 --> 00:30:48.161]  Well, he didn't work for Hitler like you.
[00:30:48.181 --> 00:30:50.445]  And I'm not, don't like Xi Jinping.
[00:30:52.952 --> 00:30:56.593]  I'm explaining, it's like in World War II, Stalin and Hitler didn't like each other.
[00:30:56.873 --> 00:30:58.313]  I don't like Stalin, I don't like Hitler.
[00:30:58.833 --> 00:31:09.916]  I'm just explaining, there's a major split here, and they admit it, and it's real, and then magically, they got Trump, who's a problem, who the Chinese absolutely respect, he was very popular there, with the people, like he stands up for his people.
