[00:00:00.229 --> 00:00:01.850]  The world is rejecting the globalists.
[00:23:18.689 --> 00:23:19.949]  It is a tool of the ruling class.
[00:23:20.269 --> 00:23:23.830]  It was created by British intelligence to get rid of their czar cousins.
[00:23:24.010 --> 00:23:24.671]  It is the enemy.
[00:23:25.111 --> 00:23:25.691]  Russia had it.
[00:23:27.382 --> 00:23:29.264]  And I think when you see what happened in St.
[00:23:29.304 --> 00:23:33.927]  Louis County, where they just had a vote of seven people on a board, just aye, yay or nay, do we have mandated masks?
[00:23:33.947 --> 00:23:34.928]  And they five to two said no.
[00:23:35.188 --> 00:23:35.749]  That's the real America.
[00:23:35.769 --> 00:23:36.229]  We're back here live.
[00:23:54.181 --> 00:23:55.202]  It's the Alex Jones Show.
[00:23:55.242 --> 00:23:56.483]  Owen Schroer sitting in studio.
[00:23:56.563 --> 00:23:57.643]  Alex with us on the phone.
[00:23:57.683 --> 00:24:10.632]  He thinks he's about to say goodbye, but I don't think he's going to be able to because I'm about to bring up a couple stories here that I'm not sure you've seen yet, Alex, that are really indicative of the times that we're living in.
[00:24:11.112 --> 00:24:14.034]  First, you have this story out of the Rolling Stone.
[00:24:14.995 --> 00:24:19.756]  I specialize in toilet play, and I can't do it with people who are unvaccinated.
[00:24:20.016 --> 00:24:27.018]  So bragging about how they like to have sex around the area where they defecate, oh, but they need you to be vaccinated to do it.
[00:24:27.038 --> 00:24:27.818]  But here's the kicker.
[00:24:28.418 --> 00:24:38.000]  It's all about these dominatrixes, as they call them, who dominate their sexual partners, saying they have to be vaccinated, and it's part of their dominatrix strategy to dominate them with the vaccine.
[00:24:38.820 --> 00:24:45.206]  Alex, this is the entire globalist paradigm boiled down into one perverted story.
[00:24:45.707 --> 00:24:48.269]  They are the dominatrix of culture.
[00:24:48.349 --> 00:24:50.191]  They're the dominatrix of society.
[00:24:50.451 --> 00:25:01.762]  They're the dominatrix of civilization wanting to dominate us with their vaccines in some sort of weird sexual torture masochism ritual and they don't even realize that
[00:25:02.142 --> 00:25:07.885]  This story in the Rolling Stone, meet the dominatrixes who are demanding their submissives get vaxxed.
[00:25:08.025 --> 00:25:08.565]  That's us!
[00:25:08.985 --> 00:25:11.027]  We're the submissives of the New World Order.
[00:25:11.547 --> 00:25:13.228]  Then you have a New York Times story.
[00:25:14.028 --> 00:25:16.189]  What's the best way to protect sex workers?
[00:25:17.130 --> 00:25:23.773]  And then it promotes and says it's a good thing for 13 year olds to be prostitutes.
[00:25:25.174 --> 00:25:27.175]  All in the news today, Alex.
[00:25:28.195 --> 00:25:28.996]  Absolutely, Owen.
[00:25:29.616 --> 00:25:31.657]  They call it their New World Order.
[00:25:32.416 --> 00:25:38.838]  And now when people come to the preschool and say, why are you teaching my three-year-old about how to give oral sex?
[00:25:39.398 --> 00:25:40.938]  They say, we're in a new world now.
[00:25:41.438 --> 00:25:49.280]  And so all these organizations and groups are just behaving in criminal action to overwhelm us and break our will right now and just bring this in.
[00:25:49.440 --> 00:25:53.061]  And absolutely, toilet play means they like to play with poop.
[00:25:53.661 --> 00:25:55.121]  So this is a religion.
[00:25:56.101 --> 00:25:58.182]  The media and the government are the high priest.
[00:25:59.358 --> 00:26:06.720]  And all the left that are in the religion and they take the sacrament that humans are dirty, humans are bad, and it's all a sick cult.
[00:26:06.740 --> 00:26:09.841]  These people have been turned over to a dark spiritual energy.
[00:26:10.261 --> 00:26:18.403]  I mean, if you randomly go to the Facebook or the Instagram pages of people posting that they got their shot, we're not editing these to find freaks.
[00:26:19.143 --> 00:26:25.425]  You go click on it, it looks like a giant spaceship with a million clowns landed or something.
[00:26:25.465 --> 00:26:26.825]  I mean, it looks like something out of a
[00:26:28.088 --> 00:26:33.550]  Rob Zombie Nightmare movie, you cannot copy this psychotic crazy look that they've got.
[00:26:33.570 --> 00:26:34.431]  You can't fake it.
[00:26:34.811 --> 00:26:36.672]  Why does Brian Stelter look like a satanic demon?
[00:26:36.952 --> 00:26:38.092]  Why is he so sanctimonious?
[00:26:38.132 --> 00:26:43.814]  Because that's the Joker-like spirit of these people and they want to watch the world burn.
[00:26:43.854 --> 00:26:47.816]  They want to pull it down while we're in straitjackets and can't resist them.
[00:26:47.876 --> 00:26:52.618]  So yes, this is a spiritual planetary demonic possession.
[00:26:52.658 --> 00:26:55.739]  Call it a radio channel, they tune us to, whatever you want to call it.
[00:26:56.363 --> 00:27:10.548]  Globalists are trying to forcibly force our consciousness down into this satanic bandwidth and fully control us because to them what Ed Buck did, Ed Buck's lawyer argued that him doing black magic rituals
[00:27:11.292 --> 00:27:14.295]  Trying to suck the spirits of black men was just a fun thing he did.
[00:27:14.655 --> 00:27:15.936]  It's okay that a couple of them died.
[00:27:16.356 --> 00:27:19.019]  That's actually in the LA Times today, during the trial.
[00:27:19.940 --> 00:27:21.741]  They're defending it as a lifestyle.
[00:27:22.161 --> 00:27:26.886]  He would get desperate black men who didn't want drugs and say, I'll give you $200 if you inject meth.
[00:27:27.346 --> 00:27:32.010]  He would then give them lethal doses of it to then give them other drugs to reanimate them.
[00:27:32.671 --> 00:27:35.573]  So, so, and he said, I'm doing a ritual to suck their energy.
[00:27:36.034 --> 00:27:38.396]  That's who these people are.
[00:27:38.456 --> 00:27:40.938]  And yes, they're sucking our energy in mass.
[00:27:40.958 --> 00:27:42.299]  They know exactly what they're doing.
[00:27:42.539 --> 00:27:44.661]  This is all a gigantic satanic ritual.
[00:27:45.891 --> 00:27:52.736]  And look at this exact quote, because this ties directly into Drag Queen Storytime and everything InfoWars has been warning you about.
[00:27:52.776 --> 00:27:54.297]  This is again from the New York Times.
[00:27:54.978 --> 00:27:57.380]  Candy first traded sex at age 13.
[00:27:57.440 --> 00:27:58.661]  Notice how they massage that.
[00:27:58.761 --> 00:27:59.702]  Oh, traded sex.
[00:28:00.282 --> 00:28:01.923]  No, no, she was made a sex slave.
[00:28:02.103 --> 00:28:03.725]  But oh, she traded sex, as they say.
[00:28:04.105 --> 00:28:07.688]  And then this is where it all ties into the Drag Queen Storytime pedophile time.
[00:28:08.388 --> 00:28:19.772]  To survive, she decided to lie about her age, taking refuge with a group of older transgender women, that's perverted pedophile men, who became her mentors.
[00:28:20.072 --> 00:28:22.553]  They taught her how to support herself through sex.
[00:28:23.393 --> 00:28:25.834]  And so, I mean, there it is all right there, Alex!
[00:28:26.234 --> 00:28:28.095]  They're coming out of the ground!
[00:28:28.335 --> 00:28:30.156]  They're crawling out of hell!
[00:28:30.176 --> 00:28:34.557]  I mean, this is the demonic, satanic takeover that we've been afraid of!
[00:28:35.797 --> 00:28:36.998]  Well, in Revelation it says,
[00:28:37.972 --> 00:28:45.154]  That the public will become like zombies, and that the gates of hell will be opened, and that they'll basically triple the demons on the earth that were everywhere.
[00:28:45.554 --> 00:28:47.995]  I think we're seeing the beginnings of this.
[00:28:48.295 --> 00:28:50.575]  Folks, you've seen nothing yet.
[00:28:51.656 --> 00:28:56.477]  It's going to be people with torches coming to your house, banging on the door, just like in Sodom and Gomorrah demanding your children.
[00:28:57.237 --> 00:28:58.637]  I mean, that is who they are.
[00:28:59.418 --> 00:29:00.298]  That is what they're doing.
[00:29:00.934 --> 00:29:04.797]  And it's happened in other cultures, it's happened in other societies, and it's why the societies fall.
[00:29:04.837 --> 00:29:14.065]  You can say it's spiritual, you can say it's something ingrained in our subconscious if you're a sick psychologist, but at the end of the day, how crazy is it, Owen?
[00:29:14.445 --> 00:29:18.008]  And thank God the listeners are keeping us on air and all the great affiliates, everybody, because we've been vindicated.
[00:29:18.549 --> 00:29:29.558]  How incredible is it that we're now living in the New World Order, still on air barely, the same Democratic Party law firm that has sued Remington into bankruptcy
[00:29:30.282 --> 00:29:34.923]  Remington offered them $33 million, even though they're bankrupt, because nobody really buys Remingtons anymore.
[00:29:34.943 --> 00:29:35.203]  The U.S.
[00:29:35.243 --> 00:29:36.203]  military doesn't buy them anymore.
[00:29:37.204 --> 00:29:46.946]  And they said, no, we want a billion dollars and $200 million for each family member, because Adam Lanza's mother gave him a semi-automatic rifle.
[00:29:47.086 --> 00:29:48.066]  It's Remington's fault.
[00:29:48.426 --> 00:29:55.528]  That's the same group suing us in key jurisdictions with the express goal of taking us off the air.
[00:29:55.948 --> 00:29:59.149]  See, they're going after the First Amendment and the Second Amendment, because once they've got that,
[00:29:59.995 --> 00:30:03.336]  Once they've got that, we're chained down under their control and they can go to work on us.
[00:30:04.396 --> 00:30:08.397]  And what's the common thread there with what we're seeing today from the medical tyranny?
[00:30:08.817 --> 00:30:25.880]  Big pharmaceutical drug manufacturers where, I mean, they don't give you the numbers because they don't want to talk about this in the news, but I mean, as far as we know, whenever we have the research done, every major mass shooter was on some form of major big pharmaceutical
[00:30:26.400 --> 00:30:28.901]  Psychotropic drugs, including Adam Lanza.
[00:30:29.121 --> 00:30:32.642]  You can see that the pills he was taking just sucked the soul out of him.
[00:30:32.662 --> 00:30:35.543]  He's just a mindless zombie because he's taking these pills all day.
[00:30:36.063 --> 00:30:41.004]  And it even says, as the side effects, suicidal thoughts, dangerous tendencies, all this stuff.
[00:30:41.304 --> 00:30:43.285]  And the media never reports on that angle.
[00:30:43.905 --> 00:30:44.665]  Same old why?
[00:30:44.965 --> 00:30:47.986]  Because the media is funded by big pharmaceutical drug manufacturers.
[00:30:48.006 --> 00:30:50.107]  I intend to make that... I mean, I don't want to give away everything, but...
[00:30:50.615 --> 00:30:51.936]  You know, the Lord works mysterious ways.
[00:30:51.976 --> 00:30:53.976]  That's all the information that's going to be coming out.
[00:30:54.096 --> 00:30:55.737]  And I'm going to have to leave it at that.
[00:30:56.237 --> 00:30:57.418]  And just a lot of other things that are going on.
[00:30:57.438 --> 00:31:00.959]  But yeah, it's the drug companies that are actually funding the anti-gun movement.
[00:31:02.040 --> 00:31:04.841]  Because they don't want their drugs to be blamed.
[00:31:05.121 --> 00:31:06.442]  They want to blame the inanimate tool.
[00:31:06.522 --> 00:31:08.783]  But let me just say this, and then I'm going to let you get back to your important work.
[00:31:09.803 --> 00:31:11.964]  History is happening now, right in front of us.
