[00:00:00.425 --> 00:00:01.425]  So here's the big announcement.
[00:28:43.501 --> 00:28:46.543]  We know this happened because Roberts has admitted he did it.
[00:28:46.723 --> 00:28:47.904]  He also said why he did it.
[00:28:48.485 --> 00:28:54.229]  In his confession, police say Roberts, quote, explained that throughout his life, specifically, white males had taken from him.
[00:28:54.690 --> 00:28:55.831]  So he decided to kill them.
[00:28:56.471 --> 00:29:02.435]  In one case, Robert Roberts walked up behind a white man, a total stranger, as he was getting out of his car and shot him in the back.
[00:29:03.316 --> 00:29:06.718]  By any definition, these were crimes of viciousness motivated by race hate.
[00:29:06.798 --> 00:29:09.139]  They're not unique in this country, not by a long shot.
[00:29:09.640 --> 00:29:14.063]  If we wanted to, and we don't want to, we could do a whole show on crimes like these.
[00:29:14.603 --> 00:29:16.985]  Nor are they especially surprising, really, when you think about it.
[00:29:17.185 --> 00:29:25.330]  If you really believed what the Democratic Party and BLM were telling you, that white males are intentionally destroying the world, you might be motivated to hurt someone.
[00:29:25.590 --> 00:29:26.191]  Why wouldn't you?
[00:29:27.011 --> 00:29:31.413]  What's striking is how little attention Justin Tyrone Roberts' shooting spree has received.
[00:29:31.453 --> 00:29:33.274]  Imagine if the colors were reversed here.
[00:29:33.834 --> 00:29:35.494]  Roberts will be leading every newscast tonight.
[00:29:35.635 --> 00:29:36.695]  Needless to say, he's not.
[00:29:36.835 --> 00:29:39.116]  In fact, this may be the last time you hear his name on television.
[00:29:40.676 --> 00:29:42.397]  Okay, let's hit pause right there for a moment.
[00:29:43.137 --> 00:29:43.958]  Because, oh, guess what?
[00:29:43.978 --> 00:29:48.539]  Just to back up what Tucker's saying, look what came out today, ABC News.
[00:29:48.559 --> 00:29:54.282]  17-year-old suspect arrested in Austin mass shooting that left one dead, 13 injured.
[00:29:56.189 --> 00:29:56.909]  Well, guess what?
[00:29:57.890 --> 00:30:00.551]  He was black, 17 years old, along with his accomplice.
[00:30:01.171 --> 00:30:04.853]  And so the statesman said, we will not show the race because it perpetuates stereotypes.
[00:30:05.293 --> 00:30:08.554]  And they would not say the description.
[00:30:08.574 --> 00:30:10.975]  And neither would any of the other local news except for Fox.
[00:30:11.735 --> 00:30:17.538]  So that's the control where you don't show a suspect when he's at large if he's the wrong color.
[00:30:19.212 --> 00:30:21.995]  There you go, and I've got a bunch more examples.
[00:30:22.316 --> 00:30:31.467]  So my point is, this doesn't fit with, oh, there's white supremacists killing people everywhere, so the media like lapdogs all over the country won't tell you.
[00:30:31.527 --> 00:30:38.776]  Oh, by the way, I've got five more articles I wasn't even looking for of black-on-white crime, but it's just a little footnote.
[00:30:40.199 --> 00:30:50.103]  Just cold-blooded executions because the media said that the whites of this army of devils killing everyone and some young black folks didn't believe it's the right thing to do!
[00:30:50.943 --> 00:30:55.645]  And that's the FBI and the media and all of it pushing that narrative to get white people killed!
[00:30:56.645 --> 00:30:58.026]  Because that's gonna be their new war!
[00:30:58.426 --> 00:31:04.268]  Holding white people hostage by turning a race war loose on them that if you don't come with your hat in your hand to Joe Biden
[00:31:05.899 --> 00:31:07.621]  He'll turn these groups loose on you.
[00:31:07.641 --> 00:31:10.204]  Remember, if you don't vote for Joe Biden, you ain't black!
[00:31:10.464 --> 00:31:11.145]  He owns you!
[00:31:11.165 --> 00:31:13.347]  And he's selling white people, he owns you too!
[00:31:13.648 --> 00:31:14.569]  Let's continue with Tucker Carlson.
[00:31:16.255 --> 00:31:17.856]  Well, honestly, that is fine with us.
[00:31:18.537 --> 00:31:21.839]  Picking at the wound, America's wound, is unwise.
[00:31:21.980 --> 00:31:22.980]  We've always thought that.
[00:31:23.020 --> 00:31:24.401]  We think it more now than ever.
[00:31:25.122 --> 00:31:29.946]  A multiracial country can only survive if it self-consciously de-emphasizes race.
[00:31:30.606 --> 00:31:36.331]  If it treats every person as an individual and not a member of some larger group that's guilty or innocent.
[00:31:37.011 --> 00:31:40.814]  So that should be the goal, that's our history, and we ought to get back to it as soon as we can.
[00:31:41.815 --> 00:31:44.876]  But that is exactly the opposite of what our leaders are doing.
[00:31:45.557 --> 00:31:49.378]  They're working hard to divide us into warring camps and they're using lies to do it.
[00:31:50.019 --> 00:31:54.921]  They're telling us a story that is completely and very much intentionally disconnected from reality.
[00:31:55.721 --> 00:32:03.684]  They're claiming that something called white supremacy, and that's a term they never define, is the single greatest threat we face, a greater threat than Al Qaeda or ISIS.
[00:32:04.505 --> 00:32:09.347]  Here's our thoroughly craven Attorney General telling us that very lie today.
[00:32:11.124 --> 00:32:23.717]  In the FBI's view, the top domestic violent extremist threat comes from racially or ethnically motivated violent extremists, specifically those who advocate for the superiority of the white race.
[00:32:25.188 --> 00:32:30.269]  Alright, that's the Attorney General of the United States making a statement of fact, backed up by the FBI.
[00:32:30.789 --> 00:32:32.350]  So it's fair to ask obvious questions.
[00:32:32.550 --> 00:32:34.850]  Who exactly are these violent white supremacists?
[00:32:35.210 --> 00:32:36.130]  What are their names?
[00:32:36.691 --> 00:32:38.391]  What crimes under the U.S.
[00:32:38.471 --> 00:32:39.511]  Code have they committed?
[00:32:40.351 --> 00:32:41.111]  We still don't know.
[00:32:41.492 --> 00:32:43.112]  Merrick Garland didn't tell us today.
[00:32:43.572 --> 00:32:51.314]  Instead, he spent most of his time talking about the riot at the Capitol on January 6th, an event that had nothing whatsoever to do with race.
[00:32:51.334 --> 00:32:52.074]  Alright, let's stop there.
[00:32:53.100 --> 00:32:53.740]  We're going to come back.
[00:32:53.820 --> 00:32:54.661]  It's really powerful.
[00:32:54.681 --> 00:32:56.962]  And then he exposes who's really behind it, the FBI.
[00:32:57.042 --> 00:33:02.745]  And we have that investigative journalist coming on for a whole hour to go through the names, the background, the documents, everything.
[00:33:03.086 --> 00:33:07.588]  But understand, I've got the new counterterrorism report, the new policy of the, quote, U.S.
[00:33:07.608 --> 00:33:11.350]  government that's run by these CHICOM agents that now control our FBI.
[00:33:12.771 --> 00:33:17.612]  And they tell us the main threat and the entire posture of the CIA, the U.S.
[00:33:17.692 --> 00:33:25.154]  military, the Navy SEALs, the Army, everybody, is white people, which are then gun owners and Republicans.
[00:33:25.494 --> 00:33:28.435]  So it's literally the government declaring war on Trump voters.
[00:33:29.995 --> 00:33:35.456]  And saying everything we always were concerned about, police state, CIA, secret arrests.
[00:33:35.656 --> 00:33:37.157]  They said they're going to arrest members of Congress.
[00:33:37.277 --> 00:33:38.257]  They said they're going to kill them.
[00:33:38.437 --> 00:33:41.858]  They said we're going to interdict these terror networks run by the Congress.
[00:33:43.740 --> 00:33:49.682]  I mean, look, you don't say that unless you're planning to kill the Republican leadership.
[00:33:50.423 --> 00:33:55.925]  And I believe that they're going to actually make a move and that they're going to try to kill myself, Tucker Carlson, the Republican leadership, everybody else.
[00:33:56.965 --> 00:33:58.286]  And Tucker thinks that too, by the way.
[00:33:58.426 --> 00:33:58.906]  We'll be right back.
[00:34:00.447 --> 00:34:01.867]  Welcome back to the Alex Jones Show.
[00:34:01.927 --> 00:34:03.068]  I just saw John Harmon.
[00:34:03.368 --> 00:34:04.368]  He's been here 18 years.
[00:34:06.186 --> 00:34:07.347]  He worked for GCN before.
[00:34:07.367 --> 00:34:11.170]  He's been here, I guess, about five, but he's the longest-serving guy at InfoWars.
[00:34:12.190 --> 00:34:16.954]  And he said, man, you've been setting the stage for this for 25 years, saying this was coming.
[00:34:16.974 --> 00:34:18.895]  And I said, no, I've been watching them build the stage.
[00:34:19.456 --> 00:34:25.981]  And now they finally are putting America's head in the guillotine, and they're hauling up that big blade right now, getting ready to pull the switch.
[00:34:27.003 --> 00:34:28.544]  And man, they look scared, too.
[00:34:28.584 --> 00:34:35.610]  When you look at the Attorney General and the FBI Director and all of them, they look really scared, because, I mean, they're gutting America.
[00:34:35.630 --> 00:34:36.231]  I mean, they are.
[00:34:36.471 --> 00:34:38.953]  They're shipping in kidnapped kids out of Latin America.
[00:34:39.333 --> 00:34:40.815]  They're committing massive crimes.
[00:34:40.835 --> 00:34:42.096]  They're bankrupting the nation.
[00:34:43.437 --> 00:34:46.259]  I mean, they are just involved in hardcore crime.
[00:34:46.459 --> 00:34:50.143]  They're breaking records right now for American crime.
[00:34:51.212 --> 00:34:52.173]  Stalin, Hitler, Mao.
[00:34:52.193 --> 00:34:53.614]  They killed a lot more people than these guys have.
[00:34:53.654 --> 00:34:55.115]  But they're definitely doing it.
[00:34:55.435 --> 00:34:57.757]  And they're all a bunch of jerk lawyers.
[00:34:59.098 --> 00:35:01.139]  Now playing psycho general.
[00:35:02.440 --> 00:35:04.782]  So, we're in a lot of danger, ladies and gentlemen.
[00:35:04.902 --> 00:35:05.862]  A lot of danger.
[00:35:06.343 --> 00:35:08.104]  People say, well then why the hell are you fighting them?
[00:35:08.444 --> 00:35:11.426]  I'm not doing it as an act of macho.
[00:35:11.446 --> 00:35:15.389]  I understand that there's no way out of this except staying known to these people.
[00:35:16.090 --> 00:35:18.551]  And it's a great opportunity to actually be able to stand up against evil, folks.
[00:35:18.591 --> 00:35:20.152]  So, what can you do?
