[00:00:01.348 --> 00:00:02.509]  The corrupt U.S.
[00:25:41.568 --> 00:25:42.950]  That's going to be done to everybody, folks.
[00:25:42.990 --> 00:25:44.611]  That's the social credit score.
[00:25:45.731 --> 00:25:47.312]  That's how this stuff works, okay?
[00:25:47.852 --> 00:25:50.333]  So, this is so dangerous.
[00:25:50.393 --> 00:25:51.594]  That's the technocracy.
[00:25:52.694 --> 00:26:00.778]  I don't want to block the Catholics, the Jews, the Muslims, the agnostics, anybody, where they go in and say, we're blocking you from coming into college.
[00:26:00.798 --> 00:26:04.860]  Remember Evergreen College and they blocked the professors that were white from coming in?
[00:26:06.621 --> 00:26:07.861]  That was like six years ago.
[00:26:09.242 --> 00:26:13.824]  This is the plan everywhere, with big struggle session mobs of leftists.
[00:26:16.021 --> 00:26:17.361]  Trying to take your free speech away.
[00:26:17.381 --> 00:26:19.322]  All right, we're going to go to break.
[00:26:20.942 --> 00:26:23.363]  And I'm going to come back and plow into the huge Elon Musk news.
[00:26:23.423 --> 00:26:24.943]  I mean, it's it's wild.
[00:26:25.023 --> 00:26:30.105]  Elon Musk has been really successful at is really getting the establishment to come out in the open and admit what they want.
[00:26:30.165 --> 00:26:30.845]  And boy, are they.
[00:26:31.785 --> 00:26:33.346]  We want Elon Musk arrested.
[00:26:33.386 --> 00:26:34.746]  He's got too much power.
[00:26:38.612 --> 00:26:41.133]  That means you got too much power and so much more.
[00:26:41.173 --> 00:26:48.435]  Before we do that, we have some great products that are back in stock at DrJonesNaturals.com and that's Next Level Foundational Energy.
[00:26:48.996 --> 00:26:54.678]  Next Level Foundational Energy is the breakdown of folic acid that most people don't fully absorb.
[00:26:54.698 --> 00:26:55.858]  A lot of folks almost none of it.
[00:26:57.358 --> 00:27:00.381]  And it isn't a stimulant, but it has a stimulant effect.
[00:27:00.461 --> 00:27:10.051]  Believe me, be careful when you first take it, because if you already had deficiencies in this and if your body wasn't processing folic acid right, you're going to think that you just, you know, drank 14 cups of coffee.
[00:27:10.932 --> 00:27:14.615]  But it doesn't have any letdown because it's not a stimulant of the neurons.
[00:27:14.695 --> 00:27:17.358]  It just lets the cells operate at a higher energy level.
[00:27:17.758 --> 00:27:19.140]  That creates a huge foundation.
[00:27:20.669 --> 00:27:22.730]  I cannot tell you how amazing this product is.
[00:27:22.750 --> 00:27:26.071]  It's not just the methylfolate, it's got other key compounds that accelerate it into the cells.
[00:27:26.451 --> 00:27:26.911]  You need it.
[00:27:27.151 --> 00:27:27.971]  It's back in stock.
[00:27:29.492 --> 00:27:40.075]  No reviews yet at drjonesnaturals.com, because it was over at imploreshore.com, but now it's exclusively available at drjonesnaturals.com.
[00:27:40.675 --> 00:27:42.936]  That's drjonesnaturals.com.
[00:27:43.436 --> 00:27:49.398]  And there's also other great products at drjonesnaturals.com, like all of the nano silver products, like the nano silver toothpaste.
[00:27:50.942 --> 00:27:54.504]  Super Bloom with the tea tree and the organic.
[00:27:55.549 --> 00:27:59.451]  Other compounds, it's fluoride-free and it has iodine as well.
[00:27:59.831 --> 00:28:00.632]  So good for your gums.
[00:28:01.032 --> 00:28:05.634]  Super blue and other amazing products at drjonesnaturals.com.
[00:28:05.674 --> 00:28:07.855]  Just drjonesnaturals.com.
[00:28:08.456 --> 00:28:09.256]  We're going to go to break.
[00:28:09.436 --> 00:28:14.559]  I also want to just let everybody know that if you go to infoworkstore.com, everybody should be taking Vitamineral Fusion.
[00:28:14.579 --> 00:28:16.840]  It's been sold out for, I think it's six months or longer.
[00:28:17.741 --> 00:28:18.501]  It's five, six months.
[00:28:19.101 --> 00:28:21.923]  The point is, it's got all the vitamins, all the minerals, the key amino acids.
[00:28:22.543 --> 00:28:35.555]  Put a scoop of it in a pitcher, stir it up, taste great, fruit punch, put it in the refrigerator, drink it in the morning on ice, the evening on ice, everything you need in a liquid form for better, way better absorption.
[00:28:36.015 --> 00:28:39.939]  It's 40% off at infowarrestore.com and
[00:28:41.400 --> 00:28:49.306]  It's 40% off RainForce Ultra, the liquid that kicks in quick, works quick, dissipates quick with no letdown.
[00:28:50.107 --> 00:28:53.509]  RainForce Ultra is 40% off at infowarestore.com.
[00:28:53.549 --> 00:28:54.590]  And thank you all for your support.
[00:28:59.574 --> 00:29:03.097]  So what I really want to ask you to do is pray for myself and the crew and my family.
[00:29:03.137 --> 00:29:03.877]  That's number one.
[00:29:03.937 --> 00:29:04.658]  I want that.
[00:29:04.758 --> 00:29:05.178]  I need that.
[00:29:05.538 --> 00:29:06.599]  It's your prayer that's doing it.
[00:29:06.879 --> 00:29:07.760]  That's why this surfaced.
[00:29:07.780 --> 00:29:08.641]  That's why this happened.
[00:29:08.661 --> 00:29:10.082]  I need the prayer.
[00:29:11.092 --> 00:29:18.650]  That I need you to take the articles, the videos, the posts we make at Real Alex Jones, recopy them, share them, post them yourself, do whatever, just get it out there.
[00:29:19.512 --> 00:29:20.114]  And I need you...
[00:29:21.383 --> 00:29:25.466]  To go to infowarstore.com, and I need you to get great products you already need.
[00:29:25.486 --> 00:29:26.807]  There's a bunch of sales going.
[00:29:27.468 --> 00:29:30.110]  DNA Force Plus is so good for your entire body.
[00:29:30.490 --> 00:29:40.659]  Flushes out your mitochondria and your cells with the PQQ, the CoQ10, the ELV ATP, the Organic Reishi, the Stragalus Mineralis Root, and even more for 50% off.
[00:29:40.699 --> 00:29:41.640]  I haven't done that in a while.
[00:29:41.660 --> 00:29:42.320]  That's amazing.
[00:29:43.401 --> 00:29:46.343]  Discover the power of Tri-Iodine, Deep Earth Crystal Iodine, X3, 40% off.
[00:29:48.525 --> 00:29:57.163]  Bobby's Ultimate Turmeric Formula 40% off and TurboForce 10-hour clean energy is 40% off at Infowarrestore.com.
[00:29:57.203 --> 00:29:57.985]  TurboForce!
[00:29:58.285 --> 00:29:58.786]  We'll be right back.
[00:29:59.542 --> 00:30:04.627]  Survival Shield X3, now back and better than ever with a whopping 40% discount.
[00:30:05.027 --> 00:30:09.651]  It's your ticket to a healthier you, powered by the might of activated triiodine.
[00:30:10.111 --> 00:30:19.860]  Picture this, a product that derives from ancient sea salts buried deep beneath the earth, harnessing a cutting-edge process that stabilizes iodine in a groundbreaking triiodine formula.
[00:30:20.320 --> 00:30:22.183]  Imagine waking up feeling rejuvenated.
[00:30:22.403 --> 00:30:27.470]  Your body's processes humming smoothly like a well-oiled machine, all thanks to Survival Shield X3.
[00:30:27.951 --> 00:30:35.542]  This isn't just a step up from the old mason iodine system, it's a quantum leap in health supplementation, designed with you, the patriot, in mind.
[00:30:36.062 --> 00:30:41.605]  Survival Shield Axe 3 has got your back, providing peace of mind and body in these uncertain times.
[00:30:41.625 --> 00:30:45.607]  Head over to InfoWarsStore.com and witness the transformation for yourself.
[00:30:46.007 --> 00:30:47.328]  This is more than just a supplement.
[00:30:47.688 --> 00:30:51.110]  It's your shield, your protector, your Survival Shield Axe 3.
[00:30:51.430 --> 00:30:51.910]  Don't wait.
[00:30:52.250 --> 00:30:55.592]  Take control of your health today and step into a brighter, healthier future.
[00:30:56.032 --> 00:30:59.274]  Visit InfoWarsStore.com and get yours today.
[00:31:00.001 --> 00:31:06.063]  I know, as viewers and listeners, you've heard callers call in and talk about how X3 has changed their life.
[00:31:06.723 --> 00:31:10.324]  You've heard listeners talk about how incredible 10-hour clean energy TurboForce is.
[00:31:10.964 --> 00:31:13.305]  Well, both products are back in stock right now.
[00:31:13.605 --> 00:31:23.727]  In fact, X3 has been sold out for more than six months, but despite that, it is 40% off, because I want the people who have never tried the product to try it.
[00:31:23.868 --> 00:31:27.709]  Our regular listeners and the folks that have already tried it are chomping at the bit to get it.
[00:31:28.009 --> 00:31:28.809]  We appreciate them.
[00:31:29.549 --> 00:31:32.690]  But less than 1% of you ever buy a product at InfoWarsTore.com.
[00:31:33.251 --> 00:31:33.731]  Go there.
[00:31:33.931 --> 00:31:35.211]  Try X3.
[00:31:35.592 --> 00:31:39.573]  Get the missing link that's essential to all electrochemical activity in your body.
[00:31:39.913 --> 00:31:43.215]  This is the purest, highest quality tri-iodine out there.
[00:31:43.775 --> 00:31:47.496]  You owe it to yourself to get a bottle and experience it for yourself.
[00:31:47.556 --> 00:31:48.837]  Takes a few weeks to kick in.
[00:31:49.317 --> 00:31:50.497]  On average, get X3.
[00:31:50.778 --> 00:31:56.180]  And while you're at it, get TurboForce 10-hour clean energy at InfoWarsTore.com.
[00:31:56.560 --> 00:31:58.441]  Both of them discounted right now.
[00:31:59.491 --> 00:32:01.752]  Hey, let me start by saying you do a great show.
[00:32:01.932 --> 00:32:02.273]  Thank you.
[00:32:02.473 --> 00:32:05.014]  Hey, let me point out that I took X2 iodine.
[00:32:05.094 --> 00:32:06.355]  I started taking that stuff.
[00:32:06.415 --> 00:32:09.577]  The best iodine I think I ever found is what you guys are selling.
[00:32:09.697 --> 00:32:10.597]  When did you start taking it?
[00:32:10.878 --> 00:32:14.820]  About four years ago, I had high blood pressure and I was on blood pressure medicine.
[00:32:15.440 --> 00:32:15.581]  Mm-hmm.
[00:32:31.818 --> 00:32:45.701]  And even though I do think all your other products are good, I recommend to anybody that they start with X2 Iodine because it detoxifies your body and kind of kicks your natural DNA into full force.
[00:32:45.781 --> 00:32:49.242]  So, in my life, I found X2 Iodine to be best.
[00:32:49.722 --> 00:32:53.162]  I tried other iodines and they didn't have the same effect.
[00:32:53.462 --> 00:32:55.763]  So, X2 Iodine, I really wanted to point that out.
[00:33:00.979 --> 00:33:05.063]  Leading a frontal assault on the lies of the New World Order.
[00:33:05.584 --> 00:33:06.905]  It's Alex Jones.
[00:33:18.736 --> 00:33:23.261]  If you're receiving this transmission, you are the resistance.
[00:33:26.189 --> 00:33:30.076]  If you are receiving this transmission, you are the resistance.
[00:33:31.158 --> 00:33:35.926]  Live from the InfoWars.com studios, it's Alex Jones.
[00:33:36.347 --> 00:33:37.529]  Alright, I want to air this quick.
[00:33:38.337 --> 00:33:41.360]  Boil down of the Joe Rogan and Tucker Carlson interview.
[00:33:41.620 --> 00:33:43.081]  This thing's solid gold.
[00:33:43.522 --> 00:33:49.347]  I may do like a Saturday show for like four hours and start and stop and comment on the whole thing.
[00:33:49.387 --> 00:33:53.030]  It's just, Tucker Carlson's just absolutely solid gold.
[00:33:53.871 --> 00:33:55.653]  He's sitting on all cylinders, praise God for him.
[00:33:56.073 --> 00:33:57.554]  What a soldier in the fight against tyranny.
[00:33:58.295 --> 00:34:00.477]  And then I'm going to get into arrest Elon Musk.
[00:34:02.387 --> 00:34:06.190]  And it's over the stabbing video of the priest being stabbed in the face.
[00:34:06.630 --> 00:34:12.374]  Who, by the way, is a listener of the show, exposed to the world order, and super popular all over the world and Australia, and has a giant church.
[00:34:13.415 --> 00:34:14.376]  And is a Trump supporter.
[00:34:14.596 --> 00:34:15.937]  And then a Muslim attacks him.
[00:34:16.477 --> 00:34:20.480]  And they want to put you in jail for showing this.
[00:34:20.640 --> 00:34:23.282]  But they selectively show the footage they want.
