[00:00:01.025 --> 00:00:01.886]  You can feel it.
[00:32:33.771 --> 00:32:36.233]  And this book is even thicker and even more powerful.
[00:32:36.613 --> 00:32:41.037]  Get your copy of The Great Awakening today at InfoWarsStore.com.
[00:32:41.358 --> 00:32:44.841]  Either signed as a fundraiser, not thinking for the support, or unsigned.
[00:32:45.041 --> 00:32:47.163]  But whatever you do, take action now.
[00:32:47.504 --> 00:32:50.647]  We're fighting for you, but we can't keep on if you don't support us.
[00:32:50.927 --> 00:32:53.089]  So please, get the historic book now.
[00:32:53.469 --> 00:32:56.993]  Go now to InfoWarsStore.com and get The Great Awakening.
[00:32:57.253 --> 00:32:58.915]  The Great Awakening at InfoWarsStore.
[00:33:01.303 --> 00:33:07.224]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:33:11.451 --> 00:33:30.124]  From the front lines of the information war, it's Alex Jones.
[00:33:30.444 --> 00:33:37.810]  All right, next hour, I'm going to plunge into The Globalist, making more announcements about all the food and commodities they're going to cut off.
[00:33:38.717 --> 00:33:41.439]  Including coffee to save the planet.
[00:33:42.020 --> 00:33:46.003]  We've got the big news, obviously, on the New Hampshire primary coming up tomorrow.
[00:33:46.723 --> 00:33:49.986]  We've got massive military news and so much more.
[00:33:50.006 --> 00:33:55.711]  And I'm going to get more into the globalists in their own publications saying, we're done, we're being destroyed, everyone hates us.
[00:33:57.052 --> 00:34:07.941]  Oh, you haven't figured it out yet that I've seen videos on Instagram with 40 million views and you've got hundreds of thousands of comments and I can't find one that doesn't hate Klaus Schwab and Bill Gates and the New World Order?
[00:34:08.985 --> 00:34:10.566]  Yeah, you guys are screwed.
[00:34:11.986 --> 00:34:13.407]  Roger Stone talked about it yesterday on air.
[00:34:14.247 --> 00:34:15.688]  Everywhere he goes, everybody just loves him.
[00:34:15.748 --> 00:34:17.189]  Black, white, Hispanic, old, young.
[00:34:17.209 --> 00:34:18.289]  He used to get tons of hate.
[00:34:18.609 --> 00:34:19.129]  Same with me.
[00:34:20.050 --> 00:34:23.251]  In the last year and a half, I think I've been yelled at twice.
[00:34:23.271 --> 00:34:24.872]  It used to happen every time I went out in public.
[00:34:26.113 --> 00:34:27.493]  This is a big deal, folks.
[00:34:27.653 --> 00:34:32.535]  And world leaders confronting the globalists and saying they're criminals to their faces last week?
[00:34:34.076 --> 00:34:36.097]  But they need to gain the world's trust back.
[00:34:37.076 --> 00:34:38.118]  Now, they're not going to give up, though.
[00:34:38.719 --> 00:34:40.661]  They're going to stage crises, launch wars.
[00:34:40.701 --> 00:34:42.624]  They're trying to launch a race war here in America.
[00:34:43.005 --> 00:34:48.093]  They've got the Fed front running around to create this illusion of masked right-wing supremacists out there.
[00:34:49.600 --> 00:34:49.940]  We're good to go.
[00:34:49.981 --> 00:34:50.181]  I think?
[00:35:14.594 --> 00:35:15.354]  We're good to go.
[00:35:15.375 --> 00:35:15.695]  I think?
[00:35:44.424 --> 00:35:52.987]  There's an amazing push to damage control, but I think the regime understands that it can't be entirely contained at this point.
[00:35:53.327 --> 00:36:03.010]  There's a whole universe of investigation that we created related to the pipe bomb over the course of years of major groundbreaking reports.
[00:36:03.670 --> 00:36:08.191]  But this latest breakthrough comes courtesy of a Capitol Police video.
[00:36:08.231 --> 00:36:13.153]  Now, there's been a lot of talk about, oh, the Capitol Police footage and the new speaker had
[00:36:13.814 --> 00:36:18.801]  I promised to release the full 40,000 hours, but initially released something like 90.
[00:36:19.482 --> 00:36:24.188]  And there was all this talk about it, you know, the Capitol Police or the flashbangs and this or that.
[00:36:24.749 --> 00:36:30.517]  And my attitude toward the release footage has always been it's very useful in terms of.
[00:36:31.001 --> 00:36:31.602]  We're good to go.
[00:36:49.571 --> 00:37:01.873]  There's one piece of footage, however, that until recently went largely unnoticed that comes courtesy of Thomas Massey, which I think amounts to a true breakthrough in the pipe bomb case.
[00:37:02.403 --> 00:37:02.623]  I think?
[00:37:23.326 --> 00:37:24.127]  So here it is.
[00:37:24.207 --> 00:37:32.315]  And this is the clip that's the subject of a mega viral thread and that I contextualize in a really bombshell piece on Revolver.News.
[00:37:32.375 --> 00:37:36.279]  And so I'll walk your audience through it a little bit.
[00:37:37.440 --> 00:37:41.905]  So it starts out and I see you guys are a little bit ahead of me on the B-roll.
[00:37:41.945 --> 00:37:42.846]  So I don't know if you can
[00:37:43.769 --> 00:37:46.650]  You can start from the beginning if you want.
[00:37:46.670 --> 00:37:50.351]  We'll start from the beginning in a minute, but explain to people why this is so big.
[00:37:50.891 --> 00:37:55.973]  And again, the response of the panic shows you where there's smoke, there's fire, just like they would try to sue anybody.
[00:37:55.993 --> 00:38:00.014]  We're talking about Seth Rich, and now we know there was a cover-up in that.
[00:38:00.094 --> 00:38:03.835]  So they are very afraid of this, just like we saw around Ray Epps.
[00:38:05.723 --> 00:38:06.324]  Absolutely.
[00:38:06.344 --> 00:38:11.848]  I mean, I've always said, based on our research, there's two smoking guns of the Fed's erection.
[00:38:12.368 --> 00:38:14.670]  One is Ray Epps, the other is the pipe bomb.
[00:38:15.030 --> 00:38:26.719]  And incidentally, these two stories, as the pipe bomb story unfolds and unravels with finality, the Ray Epps story and the pipe bomb story will converge.
[00:38:27.160 --> 00:38:30.022]  Perhaps not necessarily with Ray Epps himself,
[00:38:30.785 --> 00:38:53.552]  But the story of that first, that initial attack on the west perimeter of the Capitol by the Peace Monument at 1253, that story will converge with the pipe bomb story because one of the smoking guns of the pipe bomb story, which we've reported on extensively for years, is the remarkably coincidental timing of the pipe bombs' discovery.
[00:38:54.392 --> 00:38:55.532]  We're good to go.
[00:38:55.592 --> 00:38:55.972]  I think?
[00:39:24.790 --> 00:39:30.315]  That's three minutes before the Ray Epps breach on the west perimeter.
[00:39:30.735 --> 00:39:37.901]  That iconic footage by the bike rack where Ray Epps is whispering in a guy's ear, that occurred at 1253.
[00:39:38.362 --> 00:39:42.585]  Capitol Police begin responding to the first pipe bomb at 1250.
[00:39:43.726 --> 00:39:45.307]  Three-minute time span.
[00:39:45.748 --> 00:39:52.073]  And then, as we see in this new footage, which is footage of the DNC bomb being discovered, this begins at 105.
[00:39:54.654 --> 00:40:03.904]  So, scarcely 15 minutes after that first pipe bomb is discovered, the second one is discovered in a video that I'll explain shortly.
[00:40:03.924 --> 00:40:08.429]  And for those that are missing it, for Democrats that are tuned in, I understand they have low IQs, I'm serious.
[00:40:08.929 --> 00:40:10.371]  This shows coordination.
[00:40:10.951 --> 00:40:12.733]  It's all been coordinated for that time.
[00:40:13.654 --> 00:40:15.116]  Well, Alex, let me tell you this.
[00:40:15.609 --> 00:40:34.461]  The timing was so profoundly, the synchronicity was so profoundly striking that the publicly endorsed theory by then head of the Capitol Police Steve Sun was that the pipe bombs were never intended to go off, but rather they were implanted.
[00:40:34.943 --> 00:40:39.167]  Yeah, for those that don't know, an egg timer isn't digital, so it only is an hour long.
[00:40:39.187 --> 00:40:40.628]  So again, it's ridiculous.
[00:40:40.648 --> 00:40:40.728]  Yeah.
[00:41:04.295 --> 00:41:09.116]  Forensics explosive report, there's no remote detonation capability.
[00:41:09.196 --> 00:41:15.417]  So if the person actually intended for the bomb to go off, it would have gone off at most an hour after being planted.
[00:41:15.497 --> 00:41:17.377]  So around 9 p.m.
[00:41:17.417 --> 00:41:20.558]  in a back alley would be a total dud, totally meaningless.
[00:41:21.258 --> 00:41:31.480]  So the theory that these were planted as a diversion corresponds with the mechanical timer issue and also, most strikingly, with the timing of their discovery.
[00:41:31.780 --> 00:41:32.880]  What are the chances?
[00:41:33.305 --> 00:41:51.439]  That these pipe bombs are sitting around, the DNC one sitting around for 17 hours, the RNC one for 16 hours, undiscovered, and then magically both are discovered within a 15-minute window of the initial attack on the Capitol and certification proceeding.
[00:41:51.819 --> 00:41:54.061]  There's simply no way that that's a coincidence.
[00:41:54.401 --> 00:41:55.262]  The only problem is...
[00:41:56.184 --> 00:42:07.007]  If these were planted as an intended diversion, how did the pipe bomber count on, one, a random pedestrian, and two, a plainclothes Capitol Police officer?
[00:42:07.027 --> 00:42:12.269]  How did he count on these people discovering the bomb within a 15-minute timeframe?
[00:42:12.729 --> 00:42:17.717]  And then you talk about the footage and we'll get to that.
[00:42:17.797 --> 00:42:20.621]  That question I will leave as an exercise for the reader.
[00:42:21.062 --> 00:42:27.852]  So now let's go to the video footage that is so explosive and even as a self-contained matter, the footage is remarkable.
[00:42:28.292 --> 00:42:42.324]  So the footage begins at around 1.05, again, scarcely 15 minutes after the first one was discovered, where an individual with a backpack comes into frame and walks over to a Metro PD SUV.
[00:42:43.105 --> 00:42:48.790]  Now, both the Metro PD SUV and the black SUV are part of Kamala Harris's
[00:42:49.912 --> 00:42:51.892]  Protection detail in the Secret Service.
[00:42:51.952 --> 00:42:56.633]  Kamala Harris, then VP-elect, was in the building, the DNC building at the time.
[00:42:57.033 --> 00:42:58.954]  So here's the guy we can watch in real time.
[00:42:58.974 --> 00:43:10.476]  He's approaching the vehicle, and he informs both cars, both Secret Service details, that there's a pipe bomb within feet of them.
[00:43:11.616 --> 00:43:14.017]  Now, the thing that's striking about this...
[00:43:14.813 --> 00:43:20.155]  Is that there's zero concern whatsoever in reaction to this information.
[00:43:20.415 --> 00:43:22.635]  Now, the first thing you do is you move the vehicles away.
[00:43:22.655 --> 00:43:25.756]  You tell everybody in the building, evacuate.
[00:43:26.577 --> 00:43:31.918]  And the clips are on my Twitter thread, so possibly your guys can, like, B-roll it along.
[00:43:32.078 --> 00:43:34.999]  So here are the guys informing the vehicles.
[00:43:35.619 --> 00:43:40.941]  Now it's going to be over a minute before they even bother getting out of the vehicles.
[00:43:41.577 --> 00:43:42.058]  We're good to go.
[00:44:03.820 --> 00:44:04.421]  Right by that bench.
[00:44:28.485 --> 00:44:46.112]  So either they have no preservation instincts and completely and flagrantly violate protocol that would pertain to the discovery of a bomb as a Secret Service agent, or somehow they knew that the bomb was fake.
[00:44:46.712 --> 00:44:49.753]  And then again, another troubling question emerges.
[00:44:50.714 --> 00:44:51.934]  How do they know it's fake?
[00:44:51.974 --> 00:44:53.635]  Look at them just casually standing around.
[00:44:53.715 --> 00:44:54.155]  Look at it.
[00:44:55.445 --> 00:44:59.748]  They're letting this group of children cross the street and walk within feet of where the bomb is.
[00:45:00.088 --> 00:45:02.810]  Do these people look at all concerned about the bomb?
[00:45:03.270 --> 00:45:03.531]  No.
[00:45:03.811 --> 00:45:05.292]  How do they know it's fake?
[00:45:06.994 --> 00:45:08.054]  How do they know that?
[00:45:08.074 --> 00:45:12.695]  I mean, their body language is like they are walking over to a snow cone stand or something.
[00:45:13.635 --> 00:45:14.536]  How do they know that?
[00:45:14.816 --> 00:45:15.616]  Now watch this.
[00:45:15.976 --> 00:45:20.917]  Shortly after, there's going to be a Capitol Police officer that comes into the right side of the frame.
[00:45:21.257 --> 00:45:23.378]  He's going to walk right up to it and take a picture.
