[00:00:01.277 --> 00:00:01.598]  The End.
[00:26:20.566 --> 00:26:25.549]  I'm going to play first a John Bowne report, because this report is so key to all of this.
[00:26:26.870 --> 00:26:29.191]  Then I'm going to play most of Bukele.
[00:26:30.111 --> 00:26:32.953]  And then Tucker nailed it to a 20-minute breakdown.
[00:26:32.973 --> 00:26:33.673]  I'm only here in the first 10.
[00:26:35.074 --> 00:26:38.996]  It will take at least the next hour and a half to get to all this.
[00:26:40.496 --> 00:26:47.120]  And then we're going to open up, not the phones, but we're going to do a live Spaces on X.
[00:26:51.920 --> 00:27:01.145]  On the Great Awakening, and on Google AI and their Bud Light moment, and why that's also so important to the big victory.
[00:27:02.045 --> 00:27:06.107]  When we come back, I'm going to air the COVID Vax tyrants run to their bunkers.
[00:27:10.670 --> 00:27:11.330]  Hey, I got an idea.
[00:27:12.851 --> 00:27:15.132]  Society collapses, don't go to their bunkers and kill them.
[00:27:16.496 --> 00:27:21.558]  Just don't deliver them food, don't give them service, and don't help them, and then it'll be their own prisons.
[00:27:23.559 --> 00:27:29.702]  It's like Zuckerberg and all these executives and these globalists have built their own tombs, like the pharaohs.
[00:27:32.304 --> 00:27:33.945]  Underground, under the pyramid.
[00:27:35.025 --> 00:27:39.427]  They want to be up on top of the pyramid with all the power, but really, you just buried your asses under the pyramid.
[00:27:41.168 --> 00:27:42.789]  For your delusion of your new world order.
[00:27:44.178 --> 00:27:45.478]  Please remember, we're listener-supported.
[00:27:45.518 --> 00:27:47.279]  We've got great t-shirts, books, films.
[00:27:48.159 --> 00:27:50.840]  The best supplements out there, it's all at InfoWarsTore.com.
[00:27:50.900 --> 00:27:52.081]  Body's Ultimate Turmeric Formula.
[00:27:52.481 --> 00:27:53.461]  It's massively discounted.
[00:27:53.501 --> 00:27:54.362]  Finally back in stock.
[00:27:54.542 --> 00:27:56.202]  The strongest curcuminoid out there.
[00:27:56.222 --> 00:27:57.343]  That's the extract of turmeric.
[00:27:57.783 --> 00:27:58.563]  So good for your body.
[00:27:58.703 --> 00:27:59.603]  So good for inflammation.
[00:28:00.044 --> 00:28:01.244]  Body's Ultimate Turmeric Formula.
[00:28:02.765 --> 00:28:06.386]  InfoWarsTore.com or 888-253-3139.
[00:28:06.846 --> 00:28:10.067]  While you're there, get the best, cleanest 10-hour clean energy.
[00:28:10.467 --> 00:28:12.008]  It's called Turbo Force.
[00:28:12.895 --> 00:28:14.475]  Doesn't have to let down, doesn't have to crash.
[00:28:14.535 --> 00:28:17.096]  It's so high-end and natural and amazing.
[00:28:17.116 --> 00:28:19.396]  I only take like half a dose when I need it.
[00:28:20.256 --> 00:28:22.277]  But don't take it in the afternoon, you won't be able to sleep at night.
[00:28:22.697 --> 00:28:24.817]  Take it in the morning or whenever you're in a long haul.
[00:28:25.457 --> 00:28:27.597]  TurboForce, TurboForce, TurboForce.
[00:28:28.098 --> 00:28:31.958]  Infowarsstore.com or 888-253-3139.
[00:28:31.998 --> 00:28:35.159]  There's other great products that are also back in stock.
[00:28:35.179 --> 00:28:36.059]  40% off, but not for long.
[00:28:36.459 --> 00:28:41.900]  And that is Nitric Boost to clean out your heart, your arteries, your veins, your capillaries, your cardiovascular system.
[00:28:43.010 --> 00:28:43.811]  Nitric Boost.
[00:28:44.451 --> 00:28:47.674]  Never offered it 40% off before, but we went right to the source we were getting it.
[00:28:47.934 --> 00:28:52.137]  Got a discount, so the sale right now is 40% off on Nitric Boost.
[00:28:52.778 --> 00:28:53.679]  We're funded by the people.
[00:28:53.699 --> 00:28:54.559]  Thanks for your support.
[00:28:54.880 --> 00:28:55.540]  Be right back.
[00:29:03.967 --> 00:29:08.791]  InfoWars is listener supported and we appreciate your donations.
[00:29:09.411 --> 00:29:12.114]  But buy a product and support your health too.
[00:29:14.580 --> 00:29:20.442]  The curcuminoids in turmeric is one of nature's most powerful and beneficial medicines.
[00:29:21.062 --> 00:29:25.523]  Raw turmeric root contains about 5% of this incredible medicine.
[00:29:26.644 --> 00:29:31.705]  But our bodies has been formulated to contain over 95%.
[00:29:32.785 --> 00:29:38.147]  This makes bodies one of the most powerful natural antioxidants in the world.
[00:29:40.177 --> 00:29:47.459]  Combined with other natural herbs, bodies will help improve mobility, flexibility, and immunity.
[00:29:49.199 --> 00:29:50.100]  Get some today.
[00:29:50.960 --> 00:29:52.280]  Now 40% off.
[00:29:53.381 --> 00:29:57.602]  Support your health and support the InfoWar at InfoWarStore.com
[00:29:59.312 --> 00:30:04.694]  But folks, we're standing up for our rights, we're standing up for your rights, we're standing up for all of our freedoms and our children.
[00:30:04.894 --> 00:30:13.676]  If you don't spread the word about the broadcast, if you don't share the links, if you don't buy products at Infowarshore.com, then I'm not bribing at you, I'm just saying, what are you doing?
[00:30:14.757 --> 00:30:18.038]  Less than 1% of you ever buy a product at Infowarshore.com.
[00:30:18.965 --> 00:30:25.930]  If just a half a percent more would go buy a book, or a film, or a t-shirt, or get some of our great supplements, then reorder them, because they really work.
[00:30:26.270 --> 00:30:26.830]  Just try it!
[00:30:27.471 --> 00:30:29.392]  We would be able to do so many things.
[00:30:29.772 --> 00:30:33.535]  I'm praying to God that he'll touch your heart to decide to support us.
[00:30:34.075 --> 00:30:35.816]  Infowarstore.com
[00:30:37.961 --> 00:30:40.704]  It's been sold out, it's back in stock, reformulated even stronger.
[00:30:41.505 --> 00:30:43.367]  Nitric boosts to clean out your blood and your whole body.
[00:30:43.828 --> 00:30:44.909]  Vasodilation.
[00:30:44.929 --> 00:30:48.032]  It's got a lot of wonderful side effects, and I mean good ones.
[00:30:48.433 --> 00:30:49.174]  I'm going to leave it at that.
[00:30:49.794 --> 00:30:51.656]  It is powerful, so be careful with it.
[00:30:52.017 --> 00:30:55.941]  Next Level Foundational Energy, InfoWarsTore.com or 888-253-3139.
[00:30:59.594 --> 00:31:05.299]  I'm not perfect, and I'm under a lot of stress, but if I didn't have the supplements we have, and we promote, I wouldn't be able to continue to be on air.
[00:31:05.879 --> 00:31:14.006]  And when you go to mFullWarStore.com, you are funding the tip of the spear in the fight against the globalists in an operation that the enemy admits has been the most effective at exposing them.
[00:31:14.226 --> 00:31:15.787]  Because we're fearless, and we don't back down.
[00:31:16.168 --> 00:31:17.109]  We got God on our side.
[00:31:17.449 --> 00:31:18.950]  But God needs to work through you.
[00:31:19.310 --> 00:31:24.615]  You've got to make the decision to get great products you already need at mFullWarStore.com, and that is a 360 win.
[00:31:25.215 --> 00:31:28.178]  Nitric Boost, without even knowing, became our number three bestseller.
[00:31:28.838 --> 00:31:30.439]  Because people loved it so much.
[00:31:30.459 --> 00:31:31.399]  They had such great effects.
[00:31:31.700 --> 00:31:37.863]  Got all these natural compounds that clean out the blood, open up your arteries and veins, encapillators, clean out your heart, your brain, everything.
[00:31:38.683 --> 00:31:40.424]  Well, we got an even better manufacturer.
[00:31:40.444 --> 00:31:45.267]  The other one was great, but one that's even better with even higher quality ingredients at a lower price.
[00:31:46.267 --> 00:31:50.148]  So I could never offer Nitric Boost, because it cost us so much to make.
[00:31:50.969 --> 00:31:53.209]  And now we can offer it for 40% off.
[00:31:53.729 --> 00:31:57.531]  Infowarsstore.com Nitric Boost, finally back in stock.
[00:31:57.551 --> 00:31:59.491]  40% off, out of the gates.
[00:31:59.831 --> 00:32:00.792]  29 years on air.
[00:32:01.112 --> 00:32:04.073]  All I wanted to do was warn the people about the Globalist.
[00:32:04.813 --> 00:32:10.135]  And I've done the best job I can to tell the truth and be accurate, and we are on record as the most accurate there are.
[00:32:10.515 --> 00:32:16.977]  And I've tried to sell products to fund ourselves, unlike other communist revolutionaries that rob banks and kidnap people.
[00:32:17.197 --> 00:32:17.878]  We don't do that.
[00:32:18.358 --> 00:32:20.238]  We try to bring you products that really work.
[00:32:20.619 --> 00:32:22.639]  And ladies and gentlemen, I'm scared of this product.
[00:32:22.679 --> 00:32:23.300]  It's so powerful.
[00:32:24.200 --> 00:32:29.182]  This is the breakdown product, after your cells process it, of folic acid.
[00:32:29.762 --> 00:32:32.643]  Methylfolate with high quality organic.
[00:32:33.423 --> 00:32:34.224]  Be complex.
[00:32:34.704 --> 00:32:35.964]  This stuff is rocket fuel.
[00:32:35.984 --> 00:32:37.165]  It's not a stimulant.
[00:32:37.285 --> 00:32:41.988]  It energizes your cells and then everything else you take just supercharges it.
[00:32:42.008 --> 00:32:42.848]  It's so insane.
[00:32:43.188 --> 00:32:44.729]  It's foundational energy.
[00:32:45.169 --> 00:32:49.331]  The strongest formula out there at InfoWarsTore.com.
[00:32:49.692 --> 00:32:53.734]  It doesn't just energize this operation against the tyrants, it energizes you.
[00:32:54.014 --> 00:32:55.414]  Get foundational energy now!
[00:33:15.931 --> 00:33:21.453]  Broadcasting worldwide from Keeper in the Heart of Texas.
[00:33:21.513 --> 00:33:28.155]  Live from the Infowars.com studios, you're listening to the Alex Jones Show.
[00:33:30.996 --> 00:33:32.276]  We are the cutting edge.
[00:33:32.836 --> 00:33:33.857]  We are the tip of the sphere.
[00:33:33.897 --> 00:33:36.857]  That means our listeners, our guests, our crew.
[00:33:38.038 --> 00:33:41.579]  Recognized by friend and foe as the best there is.
[00:33:43.517 --> 00:33:58.062]  We say that because we're humble but we also have to recognize the position God has put all of us in at this critical time in history and we're far from out of the woods but we are beginning to win the fight and we have God as our North Star to give us navigation.
[00:34:00.202 --> 00:34:06.704]  Okay let me stop pontificating and let's get into the victories here right now as fast as I can.
[00:34:06.724 --> 00:34:11.426]  There's a lot of clips I want to get to but first is this report by John Bowne that
[00:34:12.332 --> 00:34:17.474]  I don't want to just link on X. I'm telling the crew, I want to upload it by itself.
[00:34:17.494 --> 00:34:18.674]  There's 10 times the views.
[00:34:19.254 --> 00:34:28.817]  I'm asking everybody when this goes up in the next 30 minutes to reel Alex Jones on X. To share with everybody, you know, also go to band up video where you can find it.
[00:34:30.197 --> 00:34:33.578]  The COVID Vax tyrants run to their bunkers.
[00:34:35.839 --> 00:34:42.041]  So I want to start as we go into the evidence of how the globalists know they've screwed the pooch with this incredibly important
[00:34:44.605 --> 00:34:47.848]  Condensed short report showing how they're getting their asses kicked.
[00:34:48.368 --> 00:34:48.728]  Here it is.
[00:34:53.292 --> 00:34:57.915]  You heard what?
[00:34:58.296 --> 00:34:59.497]  On who's podcast?
[00:35:00.057 --> 00:35:00.918]  Is he a doctor?
[00:35:01.538 --> 00:35:01.698]  No?
[00:35:03.314 --> 00:35:04.455]  Medical professional.
[00:35:04.555 --> 00:35:08.456]  Everything we've learned about the vaccine since they've come out is horrifying.
[00:35:08.936 --> 00:35:12.758]  There's not a single study showing that the messenger RNA is broken down.
[00:35:12.858 --> 00:35:14.919]  There's not a study showing it leaves the body.
[00:35:15.099 --> 00:35:24.683]  I wish to apologize for any harm I've done, any people who've incurred harm in any way from my actions as a partner and a manager in a vaccine center.
[00:35:24.983 --> 00:35:30.089]  The New World Order zealots are feverishly digging themselves out of a bottomless pit.
[00:35:30.249 --> 00:35:31.050]  Let me be clear.
[00:35:31.410 --> 00:35:38.038]  WHO did not impose anything on anyone during the COVID-19 pandemic.
[00:35:38.398 --> 00:35:39.179]  Not lockdowns.
[00:35:40.160 --> 00:35:43.044]  Not mask mandates, not vaccine mandates.
[00:35:43.524 --> 00:35:45.186]  We don't have the power to do that.
[00:35:45.727 --> 00:35:46.648]  We don't want it.
[00:35:47.308 --> 00:35:48.750]  And we're not trying to get it.
[00:35:49.431 --> 00:35:54.617]  There is out there a deliberate undermining of mainstream media.
[00:35:54.957 --> 00:36:07.361]  There are the conspiracy theorists, there are the social media drivers who are trying to do everything they can to keep people in their little filter bubbles, to prevent people from actually agreeing on a common set of facts.
