[00:00:01.325 --> 00:00:02.465]  The corrupt U.S.
[00:26:36.150 --> 00:26:38.031]  Say a person has a sound constitution.
[00:26:38.051 --> 00:26:39.132]  Here's a sound structure.
[00:26:39.592 --> 00:26:41.814]  The real constitution of the Soviet Union.
[00:26:42.930 --> 00:26:47.333]  Which is what our framers debated that whole summer in Philadelphia in 1787.
[00:26:47.633 --> 00:26:50.055]  They didn't talk about the Bill of Rights.
[00:26:50.095 --> 00:26:51.776]  That was an afterthought, wasn't it?
[00:26:53.117 --> 00:27:01.682]  That constitution of the Soviet Union did not prevent the centralization of power in one person or in one party.
[00:27:02.583 --> 00:27:04.684]  And when that happens, the game is over.
[00:27:05.084 --> 00:27:10.248]  The Bill of Rights is just what our framers would call a parchment guarantee.
[00:27:11.078 --> 00:27:14.760]  Alright folks, so we're about ready to go to a short break, and I'm going to dive more into this.
[00:27:14.800 --> 00:27:17.842]  There's so much news around this agenda.
[00:27:18.203 --> 00:27:22.305]  But before we do, I want to talk to you a little bit about Next Level Foundational Energy.
[00:27:22.485 --> 00:27:25.948]  Now, you can find this product at drjonesnaturals.com.
[00:27:25.968 --> 00:27:28.769]  Again, that's drjonesnaturals.com.
[00:27:28.789 --> 00:27:30.951]  That's drjonesnaturals.com.
[00:27:30.971 --> 00:27:33.032]  Not all the way spelled out, just the abbreviation of doctor.
[00:27:33.412 --> 00:27:36.955]  Now, Next Level Foundational Energy elevates your energy levels.
[00:27:37.495 --> 00:27:48.221]  We typically think of things like Adderall or coffee or energy drinks, these stimulants, as the source of energy in our lives and our daily routine and our consumption.
[00:27:48.562 --> 00:27:53.905]  But the thing that's really intriguing and amazing about this product is that it's not a stimulant in the same way that those are.
[00:27:53.925 --> 00:27:55.886]  It doesn't have the crash that those have.
[00:27:55.946 --> 00:27:58.988]  This is the natural flushing out of your cells and the
[00:27:59.828 --> 00:28:04.372]  Empowerment of your mitochondria, which is the powerhouse of your cells.
[00:28:04.392 --> 00:28:08.416]  This will give you next-level foundational energy in a way that you won't crash.
[00:28:08.436 --> 00:28:15.723]  And now it's more important than ever that you buy products like this at DrJonesNaturals.com because freedom of speech is under attack.
[00:28:16.043 --> 00:28:17.504]  InfoWars is under attack.
[00:28:17.624 --> 00:28:21.668]  Alex Jones is under attack and his family is under attack by the Deep State.
[00:28:21.688 --> 00:28:22.709]  We've known this for years.
[00:28:23.009 --> 00:28:25.752]  It was proven just weeks ago with that CIA leak.
[00:28:26.132 --> 00:28:30.994]  So visit drjonesnaturals.com and check out Next Level Foundational Energy.
[00:28:31.354 --> 00:28:40.298]  It's got the essential vitamins you need and you can say goodbye to energy crashes and welcome sustained vitality throughout the day because this is that foundational energy you need.
[00:28:40.338 --> 00:28:46.981]  It's not just tricking your brain into thinking that you have energy, it's actually providing foundational energy that simply will not go away.
[00:28:47.261 --> 00:28:50.702]  Be the reason that we are still on the air and visit drjonesnaturals.com.
[00:28:50.862 --> 00:28:52.023]  More news on the other side.
[00:28:59.318 --> 00:29:02.499]  So what I really want to ask you to do is pray for myself and the crew and my family.
[00:29:02.859 --> 00:29:03.599]  That's number one.
[00:29:03.659 --> 00:29:04.380]  I want that.
[00:29:04.480 --> 00:29:04.900]  I need that.
[00:29:05.260 --> 00:29:06.300]  It's your prayer that's doing it.
[00:29:06.600 --> 00:29:07.481]  That's why this surfaced.
[00:29:07.501 --> 00:29:08.361]  That's why this happened.
[00:29:08.381 --> 00:29:17.364]  I need the prayer that I need you to take the articles, the videos, the posts we make at Real Alex Jones, recopy them, share them, post them yourself, do whatever.
[00:29:17.384 --> 00:29:18.384]  Just get it out there.
[00:29:19.225 --> 00:29:19.845]  And I need you
[00:29:21.129 --> 00:29:25.210]  To go to InfoWarsStore.com and I need you to get great products you already need.
[00:29:25.230 --> 00:29:26.551]  There's a bunch of sales going.
[00:29:27.211 --> 00:29:29.852]  DNA Force Plus is so good for your entire body.
[00:29:30.232 --> 00:29:40.395]  Flushes out your mitochondria and your cells with the PQQ, the CoQ10, the ELV ATP, the Organic Reishi, the Stragalus Membranos Root, and even more for 50% off.
[00:29:40.415 --> 00:29:41.356]  I haven't done that in a while.
[00:29:41.396 --> 00:29:42.036]  That's amazing.
[00:29:43.136 --> 00:29:46.077]  Discover the power of Tri-Iodine, Deep Earth Crystal, Iodine X3, 40% off.
[00:29:48.558 --> 00:30:03.548]  I talk a lot about the great successes InfoWars has had.
[00:30:03.568 --> 00:30:05.129]  I don't think anybody can deny it.
[00:30:05.890 --> 00:30:08.932]  And it is because of listeners and viewers supporting us.
[00:30:09.812 --> 00:30:13.755]  When we talk about the crew at InfoWars, people behind the scenes, the researchers, the writers,
[00:30:15.171 --> 00:30:17.895]  They really have been the MVPs in this fight.
[00:30:18.736 --> 00:30:24.703]  And we look at Harrison Smith and Owen Schroer and the hard work they engage in every day, five, six, seven days a week.
[00:30:25.625 --> 00:30:26.526]  It's really just incredible.
[00:30:27.555 --> 00:30:30.436]  So for myself and the whole InfoWars crew, I thank you for your past support.
[00:30:31.157 --> 00:30:36.199]  I only encourage you now to realize that InfoWars cannot stay on air if you do not support us.
[00:30:36.979 --> 00:30:39.981]  I know you spread the word, I know you pray for us, and that's wonderful, keep doing it.
[00:30:40.001 --> 00:30:48.285]  But most viewers and listeners never go to InfoWarsStore.com, and you never buy great products that enrich and empower your life, while at the same time keeping us on air.
[00:30:48.945 --> 00:30:52.327]  I know that less than 1% of our listeners actually go buy products at InfoWarsStore.com.
[00:30:53.247 --> 00:30:57.853]  If just 1% more of you took action and went to InfoWars.com, our funding problems will be over.
[00:30:58.193 --> 00:30:59.054]  Please take action now.
[00:31:03.640 --> 00:31:08.466]  InfoWars is listener supported and we appreciate your donations.
[00:31:09.086 --> 00:31:11.789]  But buy a product and support your health too.
[00:31:14.241 --> 00:31:20.123]  The curcuminoids in turmeric is one of nature's most powerful and beneficial medicines.
[00:31:20.723 --> 00:31:25.205]  Raw turmeric root contains about 5% of this incredible medicine.
[00:31:26.325 --> 00:31:30.867]  But our bodies has been formulated to contain over 95%.
[00:31:31.347 --> 00:31:37.809]  This makes bodies one of the most powerful natural antioxidants in the world.
[00:31:39.838 --> 00:31:47.127]  Combined with other natural herbs, bodies will help improve mobility, flexibility, and immunity.
[00:31:48.889 --> 00:31:49.770]  Get some today.
[00:31:50.651 --> 00:31:51.953]  Now 40% off.
[00:31:53.054 --> 00:31:57.279]  Support your health and support the InfoWar at InfoWarStore.com
[00:31:59.187 --> 00:32:08.712]  Unless you've been living under a rock, you've heard how amazing turmeric is for inflammation for your joints, your bones, your blood, your organs, your mind, everything.
[00:32:09.192 --> 00:32:13.915]  Well, we have Body's Ultimate Turmeric Formula with 95% curcuminoid extract.
[00:32:14.355 --> 00:32:16.837]  No one that we know of has it even above 85%.
[00:32:16.877 --> 00:32:24.802]  This is the strongest formula on the market, and it's way lower priced than some of the top brands out there that are 75%, 80% human oil.
[00:32:25.983 --> 00:32:28.765]  Body's Ultimate Turmeric Formula is amazing.
[00:32:29.025 --> 00:32:30.266]  You're missing out if you don't try it.
[00:32:30.566 --> 00:32:36.150]  It's discounted right now, 40% off at Infowarshaw.com, and it funds the Info War, a total 360 win.
[00:32:36.390 --> 00:32:38.231]  You owe it to yourself to try Body's.
[00:32:38.511 --> 00:32:39.352]  I know you'll be amazed.
[00:32:39.632 --> 00:32:40.613]  Get yours right now.
[00:32:40.973 --> 00:32:45.495]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones.
[00:33:23.037 --> 00:33:25.178]  The voice the globalists want silenced.
[00:33:25.478 --> 00:33:27.399]  Welcome to the Alex Jones Show!
[00:33:29.807 --> 00:33:31.829]  Welcome back to the Alex Jones Show, folks.
[00:33:31.889 --> 00:33:33.631]  I am your host today, Chase Geiser.
[00:33:33.911 --> 00:33:38.356]  Alex called me this morning and is undergoing an emergency family issue.
[00:33:39.357 --> 00:33:39.957]  Dealing with that.
[00:33:39.977 --> 00:33:42.680]  So he'll be back in studio as soon as possible, but he asked me to cover for him.
[00:33:42.940 --> 00:33:46.464]  We do have the great Harrison Smith, our host from the American Journal and the Morning Show.
[00:33:46.824 --> 00:33:51.007]  Coming in at the top of the hour, and then an hour later, we have the great Owen Schroer coming in as well.
[00:33:51.387 --> 00:33:57.632]  So this is going to be a medley, a wild card, the A-team of InfoWars here throughout the show today.
[00:33:57.672 --> 00:34:01.835]  Now, I was able to touch on this story a little bit at the end of the last segment, and I want to dive in here.
[00:34:02.215 --> 00:34:06.258]  Ex-Joe Biden stenographer, CIA collaborated with China to release COVID-19.
[00:34:06.278 --> 00:34:08.780]  We're going to run clip number 19 here in a moment.
[00:34:09.340 --> 00:34:15.965]  Mike McCormick, a whistleblower who used to be Joe Biden's stenographer, joined the Benny Johnson Show, the Benny Show.
[00:34:17.205 --> 00:34:19.988]  This week for a wide-ranging discussion.
[00:34:20.188 --> 00:34:28.916]  A viral moment from the interview came when McCormick claimed the CIA worked alongside the Chinese military to intentionally release COVID-19 into the world.
[00:34:28.996 --> 00:34:29.997]  Let's go ahead and see this clip.
[00:34:33.385 --> 00:34:34.426]  What's the fix here?
[00:34:34.466 --> 00:34:37.871]  Because it seems like the fix is what Donald Trump was heading towards, right?
[00:34:37.911 --> 00:34:40.995]  Which was, you should investigate these people.
[00:34:41.015 --> 00:34:42.737]  Somebody should investigate these people.
[00:34:43.197 --> 00:34:48.924]  Victor Shokin has gone on Fox News and said, Joe Biden got me fired because I was looking into the corruption of his family.
[00:34:49.965 --> 00:35:04.650]  And if you have any hope, and I'm not trying to black pill here, but the more you see that the Bidens are effectively cutouts for the CIA and the intel agencies, the less hope I have that any of them will ever be prosecuted meaningfully.
