[00:00:00.009 --> 00:00:01.510]  ["Pomp and Circumstance"]
[00:23:02.216 --> 00:23:03.597]  And when I told the listeners, hey, we're in trouble.
[00:23:03.617 --> 00:23:04.438]  We're about to be shut down.
[00:23:04.458 --> 00:23:05.179]  They're like, oh yeah, right.
[00:23:05.199 --> 00:23:05.719]  You're always there.
[00:23:06.059 --> 00:23:07.060]  Alex Jones never gets shut down.
[00:23:07.601 --> 00:23:09.963]  When we actually get shut down, it's going to be insane.
[00:23:10.423 --> 00:23:15.528]  Like, I mean, I don't get up here and bluff people.
[00:23:15.848 --> 00:23:16.849]  You guys have been up here and seen it.
[00:23:16.869 --> 00:23:17.589]  Like this is going on.
[00:23:17.649 --> 00:23:18.470]  Well, that's why we're here.
[00:23:19.631 --> 00:23:20.292]  That's why we're here.
[00:23:22.407 --> 00:23:24.709]  I just can't believe the left thinks they can do whatever they want.
[00:23:24.749 --> 00:23:32.173]  I mean, this guy, this CRO, runs around the office saying I'm a horrible person and Trump's a horrible person, and in my face goes, Oh, I love you.
[00:23:32.233 --> 00:23:32.754]  I love Trump.
[00:23:32.914 --> 00:23:34.455]  The guy is a, it's a fricking nightmare.
[00:23:37.337 --> 00:23:39.758]  Guys, call John Harmon, oldest employee here.
[00:23:40.619 --> 00:23:42.140]  Bored up when he was like 18 years old.
[00:23:42.220 --> 00:23:43.501]  He's 40 something years old now.
[00:23:44.437 --> 00:23:46.058]  He's an affiliate relations director, sales guy.
[00:23:46.379 --> 00:23:46.959]  Call him.
[00:23:46.979 --> 00:23:47.900]  He doesn't know I'm on air right now.
[00:23:48.320 --> 00:23:50.662]  And just get him to say, because other people told me they don't want to go on air.
[00:23:50.682 --> 00:23:51.582]  But he said he'll talk about it.
[00:23:51.602 --> 00:23:52.843]  He goes into the office like two weeks ago.
[00:23:52.863 --> 00:23:54.605]  He goes, that guy ought to be in jail.
[00:23:54.625 --> 00:23:55.505]  This show sucks.
[00:23:55.545 --> 00:23:56.706]  Everybody should be made to take the shot.
[00:23:56.746 --> 00:23:57.507]  The shot works great.
[00:23:58.047 --> 00:23:59.008]  That's what he thinks of us.
[00:24:00.029 --> 00:24:03.952]  He thinks he can creep around and make up a bunch of shit about me and I'm supposed to just take it.
[00:24:05.053 --> 00:24:06.694]  No, I ain't taking no more of it.
[00:24:07.639 --> 00:24:10.924]  Well, I'll just say that I love this crew.
[00:24:10.944 --> 00:24:12.386]  I love this audience.
[00:24:12.646 --> 00:24:16.832]  There is no other place I'd rather be than InfoWars when I broke into politics.
[00:24:17.393 --> 00:24:18.815]  It's been a hell of a ride, I'll tell you that.
[00:24:21.203 --> 00:24:22.284]  It's like being in a dream.
[00:24:22.384 --> 00:24:27.727]  I used to watch Alex Jones in middle school, and here I am sitting on what may be the last broadcast of InfoWars.
[00:24:27.767 --> 00:24:30.148]  It's like a weird out-of-body experience.
[00:24:30.168 --> 00:24:34.791]  This place is absolutely legendary, and it's a microcosm of what's happening in the rest of the world.
[00:24:35.572 --> 00:24:40.735]  Which is what I think is so powerful about you showing the recordings and stuff, is people don't believe the evil.
[00:24:40.755 --> 00:24:41.915]  They don't believe the tricks.
[00:24:41.976 --> 00:24:43.877]  They don't believe how blatant the lies are.
[00:24:44.217 --> 00:24:45.378]  They need to be exposed.
[00:24:46.038 --> 00:24:49.080]  I don't even know more than half the stuff going on here.
[00:24:49.320 --> 00:24:49.700]  Thank God.
[00:24:49.720 --> 00:24:50.581]  He falls in court.
[00:24:51.201 --> 00:24:54.363]  That I'm stealing money when it's filed with the court already.
[00:24:54.863 --> 00:24:57.264]  And on record, we're trying to declare bankruptcy.
[00:24:57.284 --> 00:24:58.545]  I have a separate sponsor to bring it in.
[00:24:59.285 --> 00:25:04.228]  And then he does it again with a secret report and tells me, Alex, we didn't do that.
[00:25:05.028 --> 00:25:06.489]  The next week is the court saying I filed that.
[00:25:07.486 --> 00:25:11.608]  Well, it's like we always say about, you know, people can't recognize the evil around them because they're not evil.
[00:25:11.648 --> 00:25:16.071]  The average person wouldn't screw over humanity like that, so it's hard for them to imagine anybody else doing that.
[00:25:16.371 --> 00:25:17.772]  It works the same way the opposite direction.
[00:25:17.812 --> 00:25:23.875]  People that are Machiavellian and tricky and constantly trying to pull one over on you can't understand somebody that's not doing that.
[00:25:24.196 --> 00:25:25.536]  So he thinks he's outsmarting you.
[00:25:25.576 --> 00:25:34.562]  He thinks, you know, he's in some Machiavellian contest with you, when in reality you're just doing things normally and being honest, and he's, you know, scheming behind the scenes.
[00:25:35.302 --> 00:25:38.665]  And it's because being honest and straightforward is what we do.
[00:25:39.246 --> 00:25:40.106]  That's normal.
[00:25:40.547 --> 00:25:41.928]  Like, I want to have integrity.
[00:25:42.008 --> 00:25:43.249]  I want to be direct.
[00:25:43.409 --> 00:25:45.211]  I want to be like, this is what you're getting.
[00:25:45.571 --> 00:25:45.771]  Yeah.
[00:25:46.112 --> 00:25:52.137]  Well, it's crazy, too, because what I've learned over the years, again, it kind of goes back to what you said, Harrison, our instinct is honesty.
[00:25:52.157 --> 00:25:53.518]  Like, my instinct is to tell the truth.
[00:25:53.578 --> 00:25:55.520]  I don't have an instinct to deceive, an instinct to lie.
[00:25:55.961 --> 00:25:59.464]  The people in the mainstream media, they have the instinct is to lie.
[00:25:59.864 --> 00:26:07.872]  There are people that are out there, whether it's any, most people in the mainstream now, big pharma, government, media, their instinct is to lie.
[00:26:07.912 --> 00:26:09.553]  Their instinct is to deceive.
[00:26:09.674 --> 00:26:10.835]  Ours is the exact opposite.
[00:26:10.895 --> 00:26:15.539]  It's like, I have to go through a whole process if I'm going to deceive you.
[00:26:15.579 --> 00:26:17.521]  It's like, this is a whole process, and okay.
[00:26:17.841 --> 00:26:20.164]  For me, it's just like, no, here's just the honesty.
[00:26:20.184 --> 00:26:21.345]  Here's just the guy's honesty.
[00:26:21.445 --> 00:26:23.967]  And I do it occasionally, like when I'm sitting there.
[00:26:24.648 --> 00:26:26.869]  And I don't say, I'm recording, but it still feels weird to do it.
[00:26:26.889 --> 00:26:28.069]  I have to like, I don't even record apps.
[00:26:28.089 --> 00:26:29.389]  Somebody else got a phone, we gotta record this.
[00:26:29.709 --> 00:26:30.950]  But I'm like, this person's deceiving me.
[00:26:30.990 --> 00:26:31.830]  I gotta document this.
[00:26:33.590 --> 00:26:43.433]  So that's what's, uh, you know, it's so unfamiliar to the average person who doesn't think about deception, who doesn't operate at that level of deception instinctually.
[00:26:43.453 --> 00:26:44.513]  Well, it takes over your bandwidth.
[00:26:45.609 --> 00:26:49.631]  Like, the fact that I'm trying to be as accurate as possible makes your brain get more and more accurate.
[00:26:50.151 --> 00:26:51.692]  And then you just, it becomes neurotic.
[00:26:52.432 --> 00:26:54.293]  Like, the cops pulled me over three years ago, they go, have you been drinking?
[00:26:54.313 --> 00:26:55.353]  I said, yeah, I had a bad bottle of wine.
[00:26:55.373 --> 00:26:56.013]  Boom, you're arrested.
[00:26:56.513 --> 00:26:57.114]  And I blew under.
[00:26:57.154 --> 00:26:59.775]  I said, I don't think after two glasses of wine, officer, that might have gone to jail.
[00:26:59.915 --> 00:27:00.535]  You know what's funny?
[00:27:00.915 --> 00:27:01.956]  The point is, I couldn't help it.
[00:27:02.336 --> 00:27:04.917]  That exact same thing happened to me when I was 20, Alex.
[00:27:05.257 --> 00:27:05.477]  I was 20.
[00:27:06.758 --> 00:27:11.220]  And I blew under, but I was, I was, I was like, he pulled me over, he was like, hey, how are you?
[00:27:11.240 --> 00:27:12.940]  I was like, yeah, I had a beer like an hour ago.
[00:27:13.140 --> 00:27:14.301]  He was like, oh, you're 20.
[00:27:15.181 --> 00:27:16.262]  I'm like, well, I'm sorry.
[00:27:16.302 --> 00:27:17.102]  I just tell the truth.
[00:27:17.122 --> 00:27:18.683]  He's like, well, you got to come with us.
[00:27:18.763 --> 00:27:19.283]  I blew under.
[00:27:20.083 --> 00:27:22.364]  But so you'd call it dumb when I was sitting there about to tell a lie.
[00:27:22.384 --> 00:27:22.704]  I just went.
[00:27:23.865 --> 00:27:25.405]  You don't even think it's just instinct.
[00:27:25.445 --> 00:27:25.805]  Honesty.
[00:27:26.466 --> 00:27:26.646]  Yeah.
[00:27:26.966 --> 00:27:27.546]  Just instinct.
[00:27:27.606 --> 00:27:27.826]  Real.
[00:27:30.367 --> 00:27:32.828]  And why should not be able to go to a restaurant under glass when I wasn't driving back?
[00:27:35.909 --> 00:27:40.271]  Well, nowadays you got all kinds of constitutional issues dealing with checkpoints and.
[00:27:40.611 --> 00:27:41.832]  Yeah, but I mean, it's just like.
[00:27:45.748 --> 00:27:47.169]  I don't know, it's just so powerful.
[00:27:47.189 --> 00:27:48.549]  Your wife goes, oh, you like that woman?
[00:27:48.569 --> 00:27:49.190]  Yeah, she's really hot.
[00:27:49.210 --> 00:27:53.392]  I mean, I just don't lie anymore.
[00:27:53.472 --> 00:27:56.373]  It's true, though.
[00:27:56.413 --> 00:27:57.294]  That's not good advice.
[00:27:57.354 --> 00:27:58.974]  I don't know.
[00:27:59.014 --> 00:28:00.535]  Oh, you're clothes torn off.
[00:28:01.316 --> 00:28:04.297]  Anyways, the point is, I've gotten neurotic about it.
[00:28:05.171 --> 00:28:06.593]  It's just instinct though, that's the thing.
[00:28:06.633 --> 00:28:09.135]  It's just like, it's an instinct, you accept it, you don't fight it.
[00:28:09.556 --> 00:28:10.116]  That's what I'm saying.
[00:28:10.156 --> 00:28:15.382]  It's like, if you want to be dishonest and deceptive, to me it's like, that's a whole process that you have to go through.
[00:28:15.422 --> 00:28:18.105]  And then you have to manage all the lies.
[00:28:18.565 --> 00:28:19.626]  It's like a web of lies.
[00:28:19.786 --> 00:28:23.470]  Look, all three of us do three hour shows daily, live, no teleprompter.
[00:28:23.831 --> 00:28:26.333]  If we start trying to lie about things and, you know,
[00:28:28.076 --> 00:28:29.879]  Or Gaslight People.
[00:28:30.419 --> 00:28:31.802]  Our whole audience is going to call it on us.
[00:28:32.042 --> 00:28:34.406]  Look at Chris Cuomo.
[00:28:34.486 --> 00:28:36.168]  We get so much love for the truth.
[00:28:36.329 --> 00:28:38.832]  I was always trying to tell the truth, but it just gets better and better.
[00:28:39.053 --> 00:28:41.216]  Cuomo's like, oh, I'm a vaccine side effect.
[00:28:41.236 --> 00:28:42.078]  We got bad information.
[00:28:42.478 --> 00:28:43.539]  What do you mean, we?
[00:28:43.579 --> 00:28:46.020]  He went on to say, I was never trying to make you take this.
[00:28:46.160 --> 00:28:47.681]  That's a lie, dude.
[00:28:47.901 --> 00:28:48.461]  Like, what do you think?
[00:28:48.601 --> 00:28:50.002]  Your show is on TV.
[00:28:50.282 --> 00:28:53.664]  Right, and he's running with the whole, well, everybody thought, everybody knew.
[00:28:53.704 --> 00:28:57.987]  Fauci's like, I was never for masks, never made you take the shot, never for lockdowns.
[00:28:58.127 --> 00:28:59.328]  I ordered the lockdown.
[00:28:59.388 --> 00:29:01.769]  Fauci has a hearing on Monday.
[00:29:02.609 --> 00:29:03.670]  Hope we're still here to cover it.
[00:29:04.010 --> 00:29:05.111]  Let me see if I can get John Harmon.
[00:29:05.691 --> 00:29:07.092]  I want people to hear this story.
[00:29:07.112 --> 00:29:08.373]  We've got Hunter Biden in court.
[00:29:08.413 --> 00:29:09.413]  I'm not going to tell them stories here.
[00:29:09.433 --> 00:29:10.514]  This is the stuff going on around here.
[00:29:11.789 --> 00:29:20.576]  I mean, where this guy's literally a leftist woker running around in here and, oh no, all your advertising's gone, all your funding's cut off, it's just like, shrinking it's down.
[00:29:22.438 --> 00:29:23.379]  Do you know I'm live, John?
[00:29:24.139 --> 00:29:24.880]  Do you know I'm live, John?
[00:29:26.061 --> 00:29:26.381]  Do what?
[00:29:27.342 --> 00:29:28.943]  I'm live on air right now, I want you to know that.
[00:29:29.764 --> 00:29:30.144]  Oh, okay.
[00:29:30.945 --> 00:29:34.328]  I asked the crew to call you on your cell phone, are you guys able to call him before we go to spacious comments?
[00:29:36.619 --> 00:29:38.179]  I asked the crew to call you, they didn't.
[00:29:38.219 --> 00:29:38.780]  I'm not mad at them.
[00:29:39.180 --> 00:29:41.540]  I just show them how fast I can call someone or pull up a story.
[00:29:41.580 --> 00:29:42.521]  It's kind of an erotic thing.
[00:29:43.001 --> 00:29:44.061]  Can you guys call John Harmon?
[00:29:44.081 --> 00:29:44.601]  I want to get him on air.
