[00:00:07.751 --> 00:00:13.372]  Just about every major government has been guilty of false flag operations to foment war.
[01:43:21.625 --> 01:43:30.715]  The summer peak you get on rolling out the vaccine there is from what they called vaccine equity, which meant they hired thousands of people in the U.S.
[01:43:30.735 --> 01:43:39.844]  to go and vaccinate everyone who hadn't been vaccinated yet, who was resisting or who was far away in a care home, and they aggressively went and vaccinated all those people.
[01:43:39.904 --> 01:43:40.845]  Yeah, stop it again.
[01:43:40.865 --> 01:43:41.726]  Back in five seconds.
[01:43:41.806 --> 01:43:42.888]  This is so important.
[01:43:43.408 --> 01:43:48.651]  I want to take this, because it's a great presentation, great facility, but of course, the sound guy, there's a buzz on it.
[01:43:49.071 --> 01:43:53.614]  We're going to put this out again on Band-Aid video on Facebook or Twitter tomorrow.
[01:43:55.134 --> 01:43:55.915]  We'll fix the buzz.
[01:43:56.355 --> 01:43:58.656]  But the point is, this is all solid information.
[01:44:00.197 --> 01:44:01.638]  I'm going to get clips.
[01:44:02.199 --> 01:44:04.440]  Remember, oh, we're going to give it to the black people.
[01:44:04.500 --> 01:44:06.842]  The poor, they get it first.
[01:44:06.922 --> 01:44:12.666]  And Moderna said, or Pfizer, I'm not going to take it until the poor get it first.
[01:44:12.726 --> 01:44:16.469]  And it was like, the poor get it first, and the women, and the minorities.
[01:44:16.569 --> 01:44:17.770]  Isn't it liberal?
[01:44:18.710 --> 01:44:19.911]  It's so loving.
[01:44:20.411 --> 01:44:22.273]  And then that's who they got.
[01:44:22.293 --> 01:44:27.857]  They also bombed conservative areas with the hot doses that even had more of the poison in it.
[01:44:28.137 --> 01:44:28.937]  We've documented that.
[01:44:28.957 --> 01:44:29.438]  Let's continue.
[01:44:31.613 --> 01:44:33.975]  Which meant they hired thousands of people in the U.S.
[01:44:33.995 --> 01:44:40.420]  to go and vaccinate everyone who hadn't been vaccinated yet, who was resisting or who was far away in a care home.
[01:44:40.801 --> 01:44:43.062]  And they aggressively went and vaccinated all those people.
[01:44:43.102 --> 01:44:45.124]  It was funded by Gates and all those people.
[01:44:45.825 --> 01:44:49.708]  And they produced that huge peak of mortality in the U.S.
[01:44:49.748 --> 01:44:49.968]  there.
[01:44:50.408 --> 01:44:51.589]  So that's what the U.S.
[01:44:52.030 --> 01:44:54.992]  mortality in recent times COVID looks like.
[01:44:56.193 --> 01:44:58.535]  If you look at now mortality in the U.S.
[01:44:58.635 --> 01:45:03.620]  by age group, you can see the age groups there, 0 to 24 years, 25 to 44, and so on.
[01:45:04.200 --> 01:45:15.270]  Before they vaccinate, the percent increase, the excess mortality expressed as a percent of the baseline mortality for the age group looks like that on top.
[01:45:15.870 --> 01:45:23.317]  And in the vaccination period, the age structure of mortality changes dramatically and shifts towards younger individuals.
[01:45:25.814 --> 01:45:29.157]  That doesn't mean that quantitatively the elderly were not dying.
[01:45:29.657 --> 01:45:35.682]  Most of the deaths are in the elderly, as you would expect, but this is expressed as a percentage of the baseline.
[01:45:36.082 --> 01:45:38.725]  So in those terms, it shifts to younger people.
[01:45:40.166 --> 01:45:43.388]  And in the U.S., the total excess mortality in
[01:45:44.736 --> 01:45:51.980]  The COVID period as a whole correlates perfectly with poverty in the state for the 50 states in the United States.
[01:45:52.680 --> 01:45:55.842]  You will never see this in social science, such a strong correlation.
[01:45:55.882 --> 01:45:56.482]  It's very rare.
[01:45:57.162 --> 01:46:08.408]  And not only is it a strong correlation, we call it, it's technically called a very good correlation when it's that value of the correlation coefficient, and it goes through the origin.
[01:46:09.028 --> 01:46:12.730]  Which means it's not just a correlation, it's a proportionality.
[01:46:13.230 --> 01:46:16.412]  The more poor you had in the state, the more people died in that state.
[01:46:17.073 --> 01:46:18.173]  Directly proportional.
[01:46:19.194 --> 01:46:22.176]  So this tells you, that's another thing that viruses don't do.
[01:46:22.216 --> 01:46:24.797]  They don't select to only kill poor people.
[01:46:25.397 --> 01:46:26.518]  That doesn't happen.
[01:46:26.558 --> 01:46:29.920]  That's not a signature of a viral infection.
[01:46:31.948 --> 01:46:40.634]  So our model of what's been going on to cause mortality in the great majority of jurisdictions that we saw is the following model.
[01:46:41.695 --> 01:46:46.118]  We stress the literature, well first of all, there is what governments did.
[01:46:46.799 --> 01:46:55.405]  The socio-economic impact, many people lost their jobs, lost their social contacts, lost their regular activities, lost their position in society.
[01:46:57.208 --> 01:46:59.530]  So incredible stress related to that.
[01:47:00.150 --> 01:47:03.012]  There was regulatory rules of all kinds.
[01:47:03.112 --> 01:47:05.734]  There was institutional pressures put on people.
[01:47:05.754 --> 01:47:07.836]  There were all kinds of conditions that you know about.
[01:47:08.056 --> 01:47:10.898]  And in some countries, it was much more violent than others.
[01:47:11.359 --> 01:47:14.641]  In Peru, they hired 10,000, they called in 10,000 military reservists.
[01:47:18.496 --> 01:47:26.799]  To go and find all the people that could be found that would test positive for COVID, and they would extract them from their families, no matter how old they were, and isolate them.
[01:47:27.399 --> 01:47:32.581]  And there's a huge mortality peak in Peru as a result of that practice.
[01:47:33.202 --> 01:47:35.242]  So there was aggression.
[01:47:35.823 --> 01:47:38.864]  It caused psychological stress and social isolation.
[01:47:39.324 --> 01:47:44.826]  And scientifically, that is known to depress the immune system dramatically.
[01:47:45.146 --> 01:47:46.688]  This is very well established.
[01:47:46.708 --> 01:47:51.172]  It's a whole area of science to study this, this relationship with stress.
[01:47:51.913 --> 01:47:58.619]  And so therefore you have that reduction in the immune system, and so you are more vulnerable to every kind of infection.
[01:47:59.580 --> 01:48:01.922]  And when you have, in a large population,
[01:48:02.903 --> 01:48:04.044]  Depressed immunity.
[01:48:04.445 --> 01:48:20.038]  One of the organs that's most susceptible to immediately being infected is the lungs, because you already have an entire ecosystem of bacteria and everything in your own mouth and in your respiratory tract, and many of those can become quite dangerous to your lungs.
[01:48:20.078 --> 01:48:22.781]  So you get bacterial pneumonia.
[01:48:23.201 --> 01:48:25.963]  And my time's up, and I didn't even get to the vaccines or Romania.
[01:48:26.383 --> 01:48:29.625]  So I'll just show you the Romania data, okay?
[01:48:31.126 --> 01:48:42.693]  So again, this is years of work, more than 30 scientific reports about science related to COVID that you can find on my various websites, on our websites.
[01:48:42.873 --> 01:48:44.094]  All right, let's stop right there.
[01:48:44.814 --> 01:48:50.918]  I've decided, Chase Geiser is here ready to come in the next two hours, but I've decided to host into the next hour until this is all complete.
[01:48:50.938 --> 01:48:52.239]  I got a lot that I haven't hit.
[01:48:52.819 --> 01:48:55.361]  And it'll just be the same feed, InfoWars.com forward slash show.
[01:48:56.121 --> 01:48:57.863]  The feed at RealAlexJones on Twitter.
[01:48:58.343 --> 01:49:00.144]  Some radio stations don't carry Sunday Night Live.
[01:49:00.725 --> 01:49:01.425]  We love those stations.
[01:49:01.445 --> 01:49:02.006]  Please support them.
[01:49:02.026 --> 01:49:09.531]  But if they don't cover the 6 to 8 o'clock Sunday show, everybody needs to go find this at RealAlexJones and InfoWars.com.
[01:49:10.612 --> 01:49:13.674]  I'll actually have all these videos posted in the live show feed.
[01:49:14.095 --> 01:49:15.416]  There's a bunch I haven't gotten to.
[01:49:16.897 --> 01:49:19.879]  And you can go to RealAlexJones and find my post.
[01:49:21.281 --> 01:49:25.206]  On Twitter, formerly TwitterX, and share this, okay?
[01:49:25.667 --> 01:49:38.803]  So the one reason I'm so mad is I spent a lot of time yesterday, even though we had the live debate, after the debate, watching this, and this morning, and I just, I've learned to control my anger, but this is the first time in many years I'm like completely pissed off right now.
[01:49:40.364 --> 01:49:42.165]  But that's a normal response, folks.
[01:49:42.185 --> 01:49:43.685]  But we don't want to just be angry.
[01:49:43.745 --> 01:49:47.387]  We want to expose these murderers and stop them from doing it again.
[01:49:47.407 --> 01:49:48.727]  And that's a whole other area of discussion.
[01:49:49.007 --> 01:49:49.587]  You've seen them.
[01:49:49.627 --> 01:49:51.808]  They're running around, giggling, laughing.
[01:49:52.048 --> 01:49:54.029]  Ha ha ha, new pandemic's coming, much worse.
[01:49:54.289 --> 01:49:55.389]  This one's going to hit the children.
[01:49:56.009 --> 01:49:56.570]  Watch it, Will.
[01:49:57.950 --> 01:49:59.751]  And then the shot will hit them even worse.
[01:49:59.791 --> 01:50:01.471]  And they'll say, oh, it's the disease doing it.
[01:50:01.971 --> 01:50:03.392]  Oh, COVID's causing heart attacks.
[01:50:03.652 --> 01:50:04.732]  Didn't do it the first year.
[01:50:05.192 --> 01:50:06.733]  The minute the shots come in, it does.
[01:50:08.143 --> 01:50:11.290]  Alright, now he did a really good job in a nice 10 minute synopsis.
[01:50:11.310 --> 01:50:12.492]  We'll play it at the start of the next hour.
[01:50:13.479 --> 01:50:15.981]  to the press where he just boiled it all down into 10 minutes.
[01:50:16.041 --> 01:50:17.401]  That's really the most powerful video.
[01:50:17.722 --> 01:50:19.022]  But for some reason, I didn't send it to us.
[01:50:19.042 --> 01:50:19.863]  We didn't play that first.
[01:50:20.323 --> 01:50:21.544]  But he continues on through here.
[01:50:22.064 --> 01:50:27.047]  There were several days of this that Brett Weinstein went to and others went to, and they checked all the data.
[01:50:27.327 --> 01:50:27.788]  It's all there.
[01:50:27.808 --> 01:50:32.531]  Like I said, there's nine other major groups I know of that have put out basically the same data.
[01:50:32.991 --> 01:50:34.352]  But the numbers are usually even higher.
[01:50:34.392 --> 01:50:35.592]  This is a very conservative.
[01:50:35.933 --> 01:50:37.233]  We're talking 20 plus million debt.
[01:50:37.253 --> 01:50:38.894]  OK, and it's continuing.
[01:50:39.755 --> 01:50:42.897]  OK, so most people die in the first month.
[01:50:44.420 --> 01:50:47.563]  Okay, that's the most dramatic, or that's the highest spike.
[01:50:48.503 --> 01:50:53.747]  But actually, the majority of the death comes in the next year, and we don't know further out.
[01:50:54.308 --> 01:50:58.511]  We're almost three years into this, okay, of the shots.
[01:50:58.831 --> 01:51:01.273]  Four years into the release of it, as we speak.
[01:51:02.214 --> 01:51:03.675]  So, this is it.
[01:51:03.875 --> 01:51:05.196]  This is the decision to kill everybody.
[01:51:09.578 --> 01:51:13.701]  Let's, let's, again, most people have a psychological defense mechanism.
[01:51:14.021 --> 01:51:15.342]  This is not a Netflix show.
[01:51:15.742 --> 01:51:16.943]  This is not 12 Monkeys.
[01:51:17.244 --> 01:51:18.244]  This is not entertainment.
[01:51:19.205 --> 01:51:21.727]  And I have no fear risking my life to do this.
[01:51:21.847 --> 01:51:22.748]  And it's not because I'm a hero.
[01:51:26.371 --> 01:51:28.672]  I have no fear because we're all dead.
[01:51:28.953 --> 01:51:30.654]  Most of us are dead under this plan.
[01:51:31.074 --> 01:51:32.395]  The only chance we have is fighting this.
[01:51:32.435 --> 01:51:33.316]  People need to understand that.
[01:51:34.077 --> 01:51:35.498]  That's why when people call and say, you're a hero,
[01:51:36.685 --> 01:51:40.789]  I shut them down because that's not what this is.
[01:51:41.330 --> 01:51:42.891]  This is survival instinct, okay?
[01:51:43.252 --> 01:51:44.012]  This is normal.
[01:51:44.353 --> 01:51:46.194]  This is the normal response, okay?
[01:51:46.875 --> 01:51:50.078]  And speaking of that, the crew was reminding me because when I don't plug, we're going to be shut down.
[01:51:51.760 --> 01:51:53.101]  We need funds to continue to operate.
[01:51:53.201 --> 01:51:54.302]  I told you we'll stay on air.
[01:51:54.463 --> 01:51:55.463]  I told you we're going to win.
[01:51:55.584 --> 01:51:56.665]  I told you we've got a plan.
[01:51:56.785 --> 01:51:57.666]  I told you it's working.
[01:51:59.309 --> 01:52:05.935]  And they said, no, he's being shut down, millions of dollars, all that crap, none of that's going to happen as long as you support us.
[01:52:06.535 --> 01:52:06.776]  Alright?
[01:52:07.336 --> 01:52:15.703]  And then you also saw the dual lie that Jones has $400 million in court, no documents, no evidence, financial expert, never saw our books.
[01:52:16.224 --> 01:52:21.268]  We could not respond in Texas or Connecticut when they put these people on the stand to say Jones has $400 million.
[01:52:23.666 --> 01:52:32.032]  Now you pull up Alex Jones Bankruptcy, it's like, well, outside accounting firms looked at it and Jones made $3 million a year and paid half of it in taxes.
[01:52:32.412 --> 01:52:38.716]  And then the money I had was for infrastructure, lawyers, I got a nice house, decent car, I mean, I'm wearing, you know, eight, seven, eight-year-old shirts.
[01:52:38.816 --> 01:52:39.837]  I don't do this for money.
[01:52:40.337 --> 01:52:42.979]  I do this for liberty and freedom, but I need money to fight.
[01:52:43.559 --> 01:52:53.243]  So now I'm, it's $4 million in the hole, I was $3 million a few months ago, I'm $4 million in the hole personally, because the judge in the bankruptcy thing makes me pay half the legal bills of free speech.
[01:52:53.503 --> 01:52:55.984]  But that's all coming to an end, the judge said, in February.
[01:52:56.304 --> 01:52:56.564]  Okay?
[01:52:57.845 --> 01:52:58.105]  So.
[01:53:00.025 --> 01:53:01.446]  And they still have not increased my pay.
[01:53:01.706 --> 01:53:02.186]  I'm paid $600,000 a year.
[01:53:04.531 --> 01:53:07.292]  I'm not complaining, I'm telling you, the state of M4 is where I come back with all this.
[01:53:08.872 --> 01:53:14.913]  So I'm given $600,000 a year, and the legal bills are about $5 million a year for me.
[01:53:15.273 --> 01:53:16.693]  Fighting the Deep State Democratic Party.
[01:53:16.853 --> 01:53:17.573]  That's cheap, folks.
[01:53:17.773 --> 01:53:23.575]  Trump spent like $600 million as of months ago, I don't know what it is now, on lawyers, in the last four years.
[01:53:23.595 --> 01:53:25.215]  I mean, they just come after you.
[01:53:25.275 --> 01:53:26.195]  But it's okay.
[01:53:26.495 --> 01:53:31.016]  As long as you support us and get great products that enrich and empower your life,
[01:53:32.495 --> 01:53:34.496]  Then, we stay on air, alright?
[01:53:35.656 --> 01:53:38.438]  So, get a copy of The Great Awakening, or The Great Reset.
[01:53:39.018 --> 01:53:39.818]  Great Reset's part one.
[01:53:40.099 --> 01:53:41.439]  Get a signed copy, it's a fundraiser.
[01:53:41.739 --> 01:53:47.962]  The judge has graciously let's me keep part of the money for the book to pay legal bills.
[01:53:48.242 --> 01:53:52.244]  They just kinda chose, they said, you may have your book, and you may pay your bills with that.
[01:53:52.704 --> 01:53:53.685]  Well, it's not paying the bills.
[01:53:54.345 --> 01:53:58.087]  So, you have to understand, I don't get the money from the other products.
[01:53:59.232 --> 01:54:03.795]  I get the money from the book and that's the chink in the armor because I can't pay my bills.
[01:54:04.316 --> 01:54:04.596]  Alright?
[01:54:05.116 --> 01:54:09.079]  I literally, it's $100,000 a month.
[01:54:09.139 --> 01:54:17.946]  That's the money of me spending savings that's gone to pay the legal bills.
[01:54:18.066 --> 01:54:19.387]  And it doesn't pay a third of them.
[01:54:19.527 --> 01:54:20.768]  So, I'm going to stop bitching.
[01:54:20.808 --> 01:54:21.308]  I'm not bitching.
[01:54:21.508 --> 01:54:22.229]  I'm giving you an update.
[01:54:23.362 --> 01:54:27.825]  Go get a signed or unsigned copy of The Great Awakening at InfoWarsStore.com.
[01:54:27.905 --> 01:54:30.106]  That's the place that I get funds.
[01:54:31.046 --> 01:54:49.677]  And there's, the judge also said, since you put your own money, when I sold my house, into buying InfoWars Platinum Line, 7076 testosterone boosts, Pain MD, and HGH Max Boost, I, because I put the money in, I get a little part of it.
[01:54:50.672 --> 01:54:55.297]  So, that's what I'm paid, along with the $600,000 to pay legal bills.
[01:54:55.778 --> 01:55:06.170]  So, even if we sell out of all of the Enforced Platinum Line, which is an amazing private label of already three best sellers in the country, and then it's basically sold out, that doesn't even pay
[01:55:07.887 --> 01:55:08.728]  Up to half of what I owe.
[01:55:08.888 --> 01:55:09.388]  It's okay.
[01:55:09.428 --> 01:55:10.329]  God's going to come through.
[01:55:10.709 --> 01:55:11.249]  It's okay.
[01:55:11.750 --> 01:55:12.890]  Free speech is making enough money.
[01:55:13.111 --> 01:55:14.091]  They're in the black a little bit.
[01:55:15.472 --> 01:55:19.095]  Some of the crew hadn't had bonuses in years and hadn't had raises.
[01:55:19.135 --> 01:55:20.516]  A few of them actually got raises around here.
[01:55:21.096 --> 01:55:21.736]  So that's great.
[01:55:22.317 --> 01:55:31.103]  But the point is, is that if you really want to fund the tip of the spear and really want to support, I need support getting my book and getting the Infowars Platinum products.
[01:55:31.423 --> 01:55:34.085]  PayneMD, which is natural, powerful, works great.
[01:55:34.945 --> 01:55:41.387]  7076 testosterone boost, which is a national bestseller, under the name I came up with, private labeled, it's amazing, and HHH Max Boost.
[01:55:41.627 --> 01:55:43.447]  The HHH Max Boost is almost sold out.
[01:55:43.928 --> 01:55:45.828]  It'll be gone in like a week, okay?
[01:55:46.968 --> 01:55:50.289]  And I don't even have the money, the judge says I can do this, to reorder it.
[01:55:51.310 --> 01:55:59.312]  You see, because I sold my house, bought that product a year ago, it came in six months ago, and so I'm in a catch-22.
[01:55:59.612 --> 01:56:00.132]  Not complaining.
[01:56:01.308 --> 01:56:01.928]  That's where I'm at.
[01:56:02.368 --> 01:56:09.270]  You can also go to DefendJones.com and you can make a straight up donation of $5, $100, whatever you can.
[01:56:09.290 --> 01:56:10.510]  And I appreciate the folks that have done it.
[01:56:10.750 --> 01:56:14.231]  And you don't hear me plug it a lot because I don't want to waste time talking about me.
[01:56:14.791 --> 01:56:19.273]  But then I'm in accounting meetings and they're like, dude, you need to find out how to get some money.
[01:56:20.053 --> 01:56:20.333]  Okay.
[01:56:20.773 --> 01:56:22.313]  So these judges are arbitrary.
[01:56:22.353 --> 01:56:23.154]  It's how they operate.
[01:56:23.194 --> 01:56:23.494]  Whatever.
[01:56:23.694 --> 01:56:23.934]  Great.
[01:56:24.134 --> 01:56:24.734]  It's God's plan.
[01:56:25.984 --> 01:56:26.444]  Hallelujah!
[01:56:27.024 --> 01:56:38.148]  But I need God to work through you and have you go to DefendJones.com, make a donation, or get the book, or get the InfoWars Platinum Products at InfoWarsStore.com.
[01:56:38.808 --> 01:56:40.508]  InfoWarsStore.com or 888-253-33139.
[01:56:40.728 --> 01:56:43.149]  All right, we're going to go to break here.
[01:56:44.009 --> 01:56:45.310]  The show will just continue on.
[01:56:45.370 --> 01:56:46.670]  Chase Keiser is a gracious guy.
[01:56:46.690 --> 01:56:47.891]  He understands I need the time.
[01:56:48.711 --> 01:56:51.992]  And I'm going to then finish up with this video, play a few more.
[01:56:53.772 --> 01:56:55.694]  Show some more documents and then I'm going to show you.
[01:56:57.476 --> 01:56:59.057]  You've all heard of Harari bragging about this.
[01:57:00.159 --> 01:57:05.745]  So it's not just Brett Weinstein's analysis or my analysis or countless other people.
[01:57:06.486 --> 01:57:07.487]  It's not just your analysis.
[01:57:07.587 --> 01:57:08.588]  It's them bragging about it.
[01:57:08.668 --> 01:57:08.888]  All right.
[01:57:09.629 --> 01:57:10.951]  So that's coming up.
[01:57:12.346 --> 01:57:14.868]  This is the Alex Jones Show, Saturday nights at 4 or 6 p.m.
[01:57:15.349 --> 01:57:17.611]  Saturday Night Live, we launched before the last midterm.
[01:57:17.871 --> 01:57:18.732]  It's popular, we do it.
[01:57:19.052 --> 01:57:21.354]  It's got half the commercials of my show.
[01:57:22.095 --> 01:57:25.979]  We're not phasing out of talk radio, but talk radio clocks 14 minutes ads an hour.
[01:57:26.099 --> 01:57:26.659]  I don't like that.
[01:57:27.220 --> 01:57:27.900]  People say, why is that?
[01:57:27.920 --> 01:57:29.102]  Because that's how talk radio is.
[01:57:29.682 --> 01:57:32.643]  But we've got a lot of stations where we just don't run network ads for ourselves.
[01:57:33.104 --> 01:57:35.184]  The stations just get their seven minutes ads an hour.
[01:57:35.585 --> 01:57:37.686]  And so that's what Sunday Night Live is, is the new model we're going to do.
[01:57:37.906 --> 01:57:41.207]  And I intend soon, you see me skipping the breaks, to go to that model completely.
[01:57:41.467 --> 01:57:42.027]  We've already done it.
[01:57:42.208 --> 01:57:42.968]  So, there you go.
[01:57:42.988 --> 01:57:44.248]  We've already cut the ads basically in half.
[01:57:44.549 --> 01:57:46.549]  We'll be right back with the next broadcast.
[01:57:46.810 --> 01:57:47.130]  Stay with us.
[01:57:48.810 --> 01:57:50.831]  Ladies and gentlemen, it's happening.
[01:57:51.311 --> 01:57:52.632]  Two years in the making.
[01:57:52.652 --> 01:57:54.513]  And we didn't plan it like this, because we didn't know.
[01:57:55.347 --> 01:58:03.493]  To release Alex Jones New World Order Wars, that's all about fighting Epstein, and Clinton, and Hillary, and the Deep State, and the pedo-rigs.
[01:58:03.633 --> 01:58:07.796]  Whole levels just dealing with that, because that's the truth of how they operate.
[01:58:08.076 --> 01:58:12.980]  And now the game went on Steam, the biggest online platform of video games in the world.
[01:58:13.000 --> 01:58:17.283]  150 million users a week, and it already shot to number one.
[01:58:17.563 --> 01:58:23.287]  So find the link to Steam at alexjonesgame.com or search Alex Jones New World Order Wars
[01:58:23.667 --> 01:58:26.209]  Get it at Steam and get it for yourself.
[01:58:26.390 --> 01:58:30.853]  It's got an incredible 97% reviews.
[01:58:31.074 --> 01:58:35.157]  We'll put the link to Steam on screen and to AlexJonesGame.com.
[01:58:35.537 --> 01:58:35.838]  Get it.
[01:58:36.638 --> 01:58:38.000]  We are taking back the culture.
[01:58:38.040 --> 01:58:39.061]  We are taking things back.
[01:58:39.361 --> 01:58:42.163]  This will fund the Info War going into the election in the next 10 months.
[01:58:42.604 --> 01:58:44.285]  Don't let me fail you if you don't take action.
[01:58:44.345 --> 01:58:47.067]  Get New World Order Wars by Alex Jones now!
[01:58:48.499 --> 01:58:53.803]  A lot of listeners have complained in the last two years that our amazing, high-quality coffee has not been available.
[01:58:54.263 --> 01:58:58.647]  And that's because the prices went up too high for the raw beans and the quality had gone down some.
[01:58:59.087 --> 01:59:01.549]  I turned down so many companies that wanted to work with us.
[01:59:02.109 --> 01:59:11.497]  But now, we have brought back the coffee and it's even better from a national supplier that's veteran-owned and veteran-operated.
[01:59:11.697 --> 01:59:14.279]  It's powered by the company Minuteman Coffee.
[01:59:14.939 --> 01:59:22.961]  Ladies and gentlemen, this is the best-tasting, best-smelling, strongest coffee that I have ever drank.
[01:59:23.442 --> 01:59:24.842]  It is game-changing.
[01:59:25.302 --> 01:59:27.483]  All you gotta do is buy a bag of it and try it.
[01:59:27.543 --> 01:59:30.644]  I know you're gonna be hooked, which will then fund your Operation A360 win.
[01:59:30.884 --> 01:59:34.885]  Go to InfoWarsTore.com right now for Escape the Prison Planet Light Roast.
[01:59:34.925 --> 01:59:35.705]  That's the strongest.
[01:59:35.965 --> 01:59:38.366]  The amazing medium-roast wig of America.
[01:59:38.826 --> 01:59:46.075]  And finally, the best tasting Dark Roast Tip of the Spear, now exclusively available at InfoWarsTore.com.
[01:59:46.336 --> 01:59:47.157]  Get your coffee now.
[01:59:52.083 --> 01:59:55.968]  If you are receiving this transmission, you are the resistance.
