[00:00:04.685 --> 00:00:07.868]  On FISA, there are a couple of amendments that are being considered.
[00:30:00.990 --> 00:30:04.111]  I talk a lot about the great successes InfoWars has had.
[00:30:04.131 --> 00:30:05.651]  I don't think anybody can deny it.
[00:30:06.432 --> 00:30:09.473]  And it is because of listeners and viewers supporting us.
[00:30:10.353 --> 00:30:18.455]  When we talk about the crew at InfoWars, people behind the scenes, the researchers, the writers, they really have been the MVPs in this fight.
[00:30:19.296 --> 00:30:27.078]  And when you look at Harrison Smith and Owen Schroer and the hard work they engage in every day, five, six, seven days a week, it's really just incredible.
[00:30:28.115 --> 00:30:30.997]  So for myself and the whole InfoWars crew, I thank you for your past support.
[00:30:31.737 --> 00:30:36.741]  I only encourage you now to realize that InfoWars cannot stay on air if you do not support us.
[00:30:37.541 --> 00:30:40.543]  I know you spread the word, I know you pray for us, and that's wonderful, keep doing it.
[00:30:40.583 --> 00:30:48.809]  But most viewers and listeners, never go to InfoWarsStore.com, and you never buy great products that enrich and empower your life, while at the same time keeping us on air.
[00:30:49.449 --> 00:30:53.173]  I know that less than 1% of our listeners actually go buy products at InfoWars.com.
[00:30:53.814 --> 00:30:58.438]  If just 1% more of you took action and went to InfoWars.com, our funding problems will be over.
[00:30:58.759 --> 00:30:59.620]  Please take action now.
[00:31:04.204 --> 00:31:09.029]  InfoWars is listener supported and we appreciate your donations.
[00:31:09.650 --> 00:31:12.353]  But buy a product and support your health too.
[00:31:14.821 --> 00:31:20.683]  The curcuminoids in turmeric is one of nature's most powerful and beneficial medicines.
[00:31:21.283 --> 00:31:25.765]  Raw turmeric root contains about 5% of this incredible medicine.
[00:31:26.885 --> 00:31:30.706]  But our bodies has been formulated to contain over 95%.
[00:31:31.907 --> 00:31:38.369]  This makes bodies one of the most powerful natural antioxidants in the world.
[00:31:40.402 --> 00:31:47.686]  Combined with other natural herbs, bodies will help improve mobility, flexibility, and immunity.
[00:31:49.447 --> 00:31:50.328]  Get some today.
[00:31:51.208 --> 00:31:52.509]  Now 40% off.
[00:31:53.610 --> 00:31:57.812]  Support your health and support the InfoWar at infowarestore.com.
[00:31:59.844 --> 00:32:02.406]  Ladies and gentlemen, we're in a war against the globalists.
[00:32:02.766 --> 00:32:05.128]  And people can't identify who's a patron and who isn't.
[00:32:05.449 --> 00:32:08.591]  We want to identify as pro-human and anti-globalists.
[00:32:08.651 --> 00:32:11.554]  We want to let people know we're 1776 Part 2.
[00:32:11.794 --> 00:32:22.383]  That's why I designed this amazing 1776 red, white, and blue Gadsden flag shirt so you can support the Info War and meet like-minded people everywhere when you wear it.
[00:32:22.503 --> 00:32:28.127]  When you wear these shirts, it creates an amazing amount of energy, and it's quite the adventure.
[00:32:28.428 --> 00:32:32.691]  So get your 1776 shirt right now at InfoWarsTore.com.
[00:32:32.831 --> 00:32:38.555]  And get your Team Humanity InfoWars Limited Edition shirt right now at InfoWarsTore.com.
[00:32:38.876 --> 00:32:44.120]  Ladies and gentlemen, this is antithetical, the complete opposite of what the Globalists are pushing.
[00:32:44.380 --> 00:32:52.086]  So get both the Team Humanity and the 1776 Gadsden Snake shirts Limited Edition at InfoWarsTore.com right now.
[00:32:52.526 --> 00:32:58.409]  Spread the word, meet like-minded people, and fund the 1776 revolution worldwide!
[00:33:01.311 --> 00:33:07.194]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[00:33:20.154 --> 00:33:20.875]  Big Brother.
[00:33:21.316 --> 00:33:22.617]  Mainstream media.
[00:33:23.098 --> 00:33:24.119]  Government cover-ups.
[00:33:25.041 --> 00:33:26.422]  You want to stop tyranny?
[00:33:26.703 --> 00:33:27.824]  Well, so does he.
[00:33:28.485 --> 00:33:34.754]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:34:04.159 --> 00:34:11.601]  2,000 plus years ago, agents of God on this planet warned of the days we are now entering.
[00:34:12.761 --> 00:34:17.302]  The New World Order and all the hell that comes with it is not coming.
[00:34:18.503 --> 00:34:19.263]  It's here.
[00:34:20.123 --> 00:34:20.683]  Now.
[00:34:22.144 --> 00:34:23.124]  Prepare yourselves.
[00:34:23.944 --> 00:34:24.844]  Get close to God.
[00:34:25.405 --> 00:34:26.385]  Get your soul ready.
[00:34:27.589 --> 00:34:31.570]  And pass the test to ascend from the third dimension.
[00:34:32.471 --> 00:34:34.251]  If not, you will fall.
[00:34:34.271 --> 00:34:51.216]  The people you see running the New World Order, the King of England, the Rothschilds, the globalists are the losers.
[00:34:52.437 --> 00:34:53.457]  They're the sellouts.
[00:34:54.437 --> 00:34:55.798]  They're the kings of failure.
[00:34:57.794 --> 00:35:02.158]  And the bell tolls for them.
[00:35:08.665 --> 00:35:12.589]  So, the AI systems are already in control.
[00:35:14.891 --> 00:35:16.453]  Governments and corporations are one.
[00:35:19.115 --> 00:35:21.458]  Rolling out their attack on humanity.
[00:35:23.280 --> 00:35:27.684]  They feed us purposely nothing but pure lies to jam and confuse us.
[00:35:28.726 --> 00:35:38.115]  While they have data on everything we do and use the data to cheat us and hurt us and poison us and kill us at every turn.
[00:35:39.937 --> 00:35:42.679]  So now Fox News is reporting.
[00:35:44.096 --> 00:35:55.524]  That the IRS is in all your financial transactions, in all your bank accounts, with AI crunching the numbers and all the data and matching it up with what you do.
[00:35:55.985 --> 00:36:09.174]  So they know if you're a masseuse that can't pay for your children unless you have a cash business, or they know if you're a farmer selling produce on the side so you can pay your bills.
[00:36:10.151 --> 00:36:12.512]  And maybe go out to dinner every few weeks.
[00:36:13.172 --> 00:36:16.233]  That's all going to be shut down if we continue to comply.
[00:36:16.554 --> 00:36:19.535]  The answer is go to the underground economy now when you can.
[00:36:19.935 --> 00:36:22.276]  The answer is build alternative economies of barter.
[00:36:22.956 --> 00:36:33.820]  The answer is reject all the new systems and new gadgetry and new cars where even the rear view mirror is a TV screen and where there's no buttons in the car.
[00:36:35.581 --> 00:36:38.082]  The new cell phones are about to roll out in the next year.
[00:36:39.173 --> 00:36:49.921]  AI driven, AI run, no buttons on them, or one button, and you simply talk to them, so that you have no instrumentality, no control.
[00:36:50.201 --> 00:36:53.664]  For decades, the new cars, you can't work on them, you can't fix them.
[00:36:54.144 --> 00:37:05.453]  All of it is about removing humans from the control, dumbing humans down, turning us into pure commodities, human resources.
[00:37:07.354 --> 00:37:08.475]  And that's the full horror.
[00:37:10.498 --> 00:37:18.760]  So, pervasive financial surveillance, house probes, IRS allegedly spying on citizens with AI.
[00:37:19.220 --> 00:37:23.802]  There's no allegedly about it, it's all been admitted, it's all come out for years.
[00:37:24.622 --> 00:37:26.442]  And it's hidden in plain view, they're doing it.
[00:37:26.803 --> 00:37:38.806]  They've built giant NSA centers all over the United States, not just Fort Meade, Maryland, but Austin, Texas, and San Antonio, Texas, and Dallas, Texas, and Houston, Texas, just where I live, have giant NSA bases.
[00:37:40.575 --> 00:37:53.838]  Colorado Springs and Denver and Los Angeles, San Francisco, Portland, Chicago, New York, Trenton, Miami, everywhere, every major city.
[00:37:55.078 --> 00:37:59.699]  They're called telecommunications buildings and then they run through their major hubs that are NSA themselves.
[00:38:03.340 --> 00:38:05.801]  One of the biggest is in Salt Lake City, Utah.
[00:38:07.759 --> 00:38:11.522]  They all integrate into this system worldwide to game it and to rig it.
[00:38:11.542 --> 00:38:18.847]  You think going to a casino where it's rigged 65% on average against the player, the chump?
[00:38:21.549 --> 00:38:24.051]  This system's rigged 100% against you.
[00:38:25.592 --> 00:38:26.953]  The whole system is the enemy.
[00:38:28.314 --> 00:38:36.841]  The Bible tells us they're going to bring the system in for a short period, it's going to look great for a while, you'll own nothing and be happy, and then all hell breaks loose.
[00:38:38.032 --> 00:38:39.193]  And the whole thing collapses.
[00:38:41.635 --> 00:38:43.296]  So that's where we are, ladies and gentlemen.
[00:38:44.237 --> 00:38:51.602]  A government, a corporate structure that has a breakaway civilization that sees us as not just expendable, but as bad for the earth.
[00:38:52.243 --> 00:38:56.006]  Carbon is the enemy and you're the carbon they want to reduce.
[00:38:58.888 --> 00:38:59.989]  So here's part of the report.
[00:39:01.184 --> 00:39:07.147]  On the IRS committing massive crimes, billions and trillions of crimes a day.
[00:39:07.667 --> 00:39:15.692]  Everything they monitor and do without a warrant is a felony, but that's the old system they haven't completely swept away yet.
[00:39:16.052 --> 00:39:20.194]  Kind of like it's a felony to create gain of function, but Fauci brags he did it.
[00:39:20.394 --> 00:39:20.934]  They all do it.
[00:39:22.095 --> 00:39:23.856]  They're just doing whatever they want.
[00:39:25.100 --> 00:39:36.004]  Dotsie Bragg in 2018 on C-SPAN with federal regulators that they're going to, quote, blow up the old system using a new virus, and then mRNA would be the savior, and then they'd roll out mRNA for everything.
[00:39:36.044 --> 00:39:37.025]  But it's not even mRNA.
[00:39:37.285 --> 00:39:40.206]  It's anything they want to put in your body, they call it a vaccine.
[00:39:40.386 --> 00:39:49.410]  They could load up a hypodermic needle full of cyanide, or arsenic, or battery acid, and call it a vaccine.
[00:39:49.990 --> 00:39:52.711]  They've changed the definition to anything they want to put in your ass.
[00:39:54.653 --> 00:39:56.215]  And you sit there and you watch it.
[00:39:56.956 --> 00:39:58.297]  You think it couldn't be this bad.
[00:39:58.357 --> 00:40:00.099]  No, it's worse than you can imagine.
[00:40:00.820 --> 00:40:02.402]  It's worse than I can comprehend.
[00:40:02.982 --> 00:40:05.225]  It's organized scientific evil.
[00:40:08.609 --> 00:40:10.331]  Here's the breaking news, here it is.
[00:40:11.408 --> 00:40:24.353]  What we have learned is that the IRS in fact has been using AI to access bank accounts of American citizens without any kind of a search warrant or even without any specific claim that they have committed a crime.
