[00:00:04.646 --> 00:00:05.011]  What the fuck?
[00:28:10.782 --> 00:28:15.346]  And we have these great specials running right now for Memorial Day.
[00:28:16.967 --> 00:28:19.589]  Megasale, they're going to run right through next Monday.
[00:28:21.314 --> 00:28:21.934]  Or Tuesday.
[00:28:22.915 --> 00:28:25.577]  And this is the biggest sale ever on ExtendoWise.
[00:28:26.117 --> 00:28:30.861]  We don't ever discount ExtendoWise, because people know it's a very good heart and cardiovascular formula.
[00:28:31.581 --> 00:28:34.583]  It's basically like some of the best sellers out there, but even stronger at a better price.
[00:28:34.964 --> 00:28:37.365]  Well, we want you to see how great it is.
[00:28:37.385 --> 00:28:38.726]  60% off ExtendoWise right now.
[00:28:39.126 --> 00:28:40.327]  MycoZX, which is the...
[00:28:41.668 --> 00:28:44.471]  Again, the end of probiotic that most people miss.
[00:28:44.491 --> 00:28:46.534]  It goes up for fungus, candida, mold in the gut.
[00:28:46.814 --> 00:28:47.334]  Very important.
[00:28:47.354 --> 00:28:49.256]  60% off.
[00:28:49.617 --> 00:28:49.857]  50% off.
[00:28:50.558 --> 00:28:53.141]  Bodies, ultimate turmeric formula, and a bunch of other stuff.
[00:28:53.501 --> 00:28:54.542]  I don't have time to get to.
[00:28:54.562 --> 00:28:56.845]  Just check it out at InfoWarsLife.com.
[00:28:56.885 --> 00:28:57.906]  And thank you for your support.
[00:28:58.186 --> 00:28:58.747]  We'll be right back.
[00:29:03.129 --> 00:29:05.810]  I'm gonna grow a magnificent pair of breasts.
[00:29:06.731 --> 00:29:09.432]  I'm going to transition into a woman.
[00:29:09.832 --> 00:29:10.532]  It'll be great!
[00:29:10.793 --> 00:29:23.438]  You should crawl back into your mother's rancid womb, gestate for a few more hours, slime back out, and then learn something about not being an entitled, white, piece of s**t!
[00:29:23.658 --> 00:29:24.699]  This is Trump, people!
[00:29:25.479 --> 00:29:26.860]  When the rubber meets the road?
[00:29:27.560 --> 00:29:27.880]  Pussies!
[00:29:28.021 --> 00:29:29.461]  Yeah, you're a f***ing idiot.
[00:29:29.481 --> 00:29:30.402]  F*** you, capitalism!
[00:29:30.422 --> 00:29:31.622]  F*** you, f***ing president!
[00:29:31.903 --> 00:29:34.244]  He's a racist, stupid piece of s***!
[00:29:34.444 --> 00:29:38.166]  If you guys are working for Alex Jones, you're working for a murderer!
[00:29:38.306 --> 00:29:40.407]  Alex Jones is an a**hole.
[00:29:40.627 --> 00:29:42.989]  Danfoe Wards is fake news!
[00:29:46.360 --> 00:29:47.260]  I got a chair going.
[00:29:47.440 --> 00:29:52.463]  If you had to choose one prominent person to be banned next, who would you choose?
[00:29:52.903 --> 00:29:53.163]  You.
[00:29:53.683 --> 00:29:56.004]  Give me my money back.
[00:29:56.084 --> 00:29:57.645]  Excuse me, sir.
[00:29:57.685 --> 00:29:58.726]  Excuse me, it's ma'am.
[00:29:58.846 --> 00:30:00.967]  This is what's happening to the men in our country.
[00:30:01.007 --> 00:30:02.267]  Where are the men?
[00:30:02.287 --> 00:30:03.748]  Stop touching my stuff.
[00:30:03.808 --> 00:30:04.708]  I'm backing away.
[00:30:05.089 --> 00:30:05.569]  Stop.
[00:30:05.789 --> 00:30:06.249]  Dude, stop!
[00:30:10.133 --> 00:30:11.434]  What are you doing mother f***er?
[00:30:11.534 --> 00:30:12.615]  What are you doing?
[00:30:12.635 --> 00:30:15.357]  Get the f***ing stuff in and don't film me!
[00:30:15.377 --> 00:30:16.878]  You're not allowed!
[00:30:16.898 --> 00:30:19.680]  You can't use this!
[00:30:19.720 --> 00:30:20.981]  Please do not touch me!
[00:30:21.241 --> 00:30:22.442]  Please do not touch me!
[00:30:22.462 --> 00:30:23.722]  Once again it's me!
[00:30:23.742 --> 00:30:25.564]  I actually said both of you guys.
[00:30:25.764 --> 00:30:28.225]  Right beforehand you f***ing said sir!
[00:30:28.606 --> 00:30:28.806]  Trump!
[00:30:31.909 --> 00:30:32.989]  Pussies!
[00:30:33.450 --> 00:30:34.410]  Mother f***ing pussies!
[00:30:34.450 --> 00:30:35.631]  Mother f***er!
[00:30:35.731 --> 00:30:36.871]  Take it outside!
[00:30:36.951 --> 00:30:39.772]  I can show you what f*** you deserve!
[00:30:39.872 --> 00:30:42.253]  Mother f***er!
[00:30:42.754 --> 00:30:45.135]  Get the f*** out of my face!
[00:30:45.195 --> 00:30:45.435]  Go home!
[00:30:45.455 --> 00:30:45.915]  Go home!
[00:30:46.175 --> 00:30:47.116]  Go home!
[00:30:47.156 --> 00:30:48.516]  What's your f***ing problem?
[00:30:48.936 --> 00:30:50.657]  Film it, bro.
[00:30:50.677 --> 00:30:51.157]  Film it.
[00:30:51.197 --> 00:30:52.298]  Yeah, I'm filming it.
[00:30:57.332 --> 00:30:58.212]  What's this?
[00:30:58.452 --> 00:31:00.593]  Are you farting at me?
[00:31:00.613 --> 00:31:06.316]  Get the hell out of here!
[00:31:06.356 --> 00:31:08.917]  Get these people the hell out of here right now!
[00:31:09.077 --> 00:31:10.337]  Fuck off!
[00:31:10.397 --> 00:31:13.379]  I don't give a fuck!
[00:31:14.379 --> 00:31:15.039]  Get out!
[00:31:15.119 --> 00:31:16.020]  Oh, shit!
[00:31:18.681 --> 00:31:20.922]  Please!
[00:31:21.102 --> 00:31:21.722]  Please!
[00:31:21.762 --> 00:31:22.402]  Please!
[00:31:41.058 --> 00:31:41.979]  Eric in Colorado.
[00:31:42.039 --> 00:31:43.019]  Eric, thanks for holding.
[00:31:43.380 --> 00:31:44.240]  I really appreciate you.
[00:31:44.260 --> 00:31:44.740]  You're on the air.
[00:31:44.780 --> 00:31:45.061]  Go ahead.
[00:31:45.141 --> 00:31:47.682]  Yeah, I really appreciate you, and it's an honor to talk to you.
[00:31:47.762 --> 00:31:52.605]  And I do, before I start, I also wanted to do a plug for a couple of your products that I really love.
[00:31:52.685 --> 00:31:53.346]  Changed my life.
[00:31:53.406 --> 00:31:55.767]  The DNA Force is one, and X2.
[00:31:55.907 --> 00:31:57.608]  You know, I do a lot of construction.
[00:31:57.828 --> 00:32:01.030]  Using the tools that you're using, it just really wreaks havoc on your body.
[00:32:01.070 --> 00:32:05.313]  And I had three of my fingers starting to go numb, and I didn't think there was anything going to work on it.
[00:32:06.814 --> 00:32:11.938]  Well, thank you, brother.
[00:32:11.958 --> 00:32:19.483]  I mean, we want to sell you stuff that works.
[00:32:19.523 --> 00:32:26.088]  You want to order it again, but PQQ CoQ10 has been proven to make telomeres last longer, to make nerves regrow.
[00:32:26.228 --> 00:32:28.409]  It really is an amazing product for anybody above 40.
[00:32:28.650 --> 00:32:31.772]  Young people can take it as well, but yes, DNA Force Plus is amazing.
[00:32:31.792 --> 00:32:32.973]  What did you think of the X2?
[00:32:33.493 --> 00:32:34.334]  I love that, too.
[00:32:34.354 --> 00:32:38.577]  Like, after a few months of being on that, I felt like I wasn't searching for words.
[00:32:38.677 --> 00:32:50.926]  You know, there was a time in my life where I felt like, man, I don't, you know, I don't know if I'm just too exhausted or what, but, you know, you feel like you want to get in a conversation and you're pausing and you can't find the word to say, and I swear, man, that X2 really helps with cognition.
[00:32:50.946 --> 00:32:53.729]  Well, that's because the synapses in the brain operate off of it.
[00:32:53.749 --> 00:32:54.449]  It's electrochemical.
[00:32:54.469 --> 00:32:55.250]  You're absolutely right.
[00:32:55.290 --> 00:32:58.993]  When I forget to take X2 every couple days, sometimes I forget for like a week because I get busy.
[00:32:59.113 --> 00:33:01.655]  Then I feel it and I take it and it really is amazing.
[00:33:01.735 --> 00:33:02.856]  So thank you for the support, brother.
[00:33:06.498 --> 00:33:09.139]  You're listening to The Alex Jones Show!
[00:33:23.357 --> 00:33:28.138]  Big Brother, mainstream media, government cover-ups.
[00:33:28.158 --> 00:33:29.579]  You want to stop tyranny?
[00:33:29.859 --> 00:33:31.159]  Well, so does he.
[00:33:31.639 --> 00:33:39.921]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:33:39.981 --> 00:33:46.443]  The verboten websites are newswars.com, infowars.com, and prisonplanet.com.
[00:33:48.107 --> 00:33:49.930]  Double-edged sword promoting InfoWars.
[00:33:50.231 --> 00:33:52.755]  You can say, hey, it's the forbidden site, what you're not supposed to look at.
[00:33:53.216 --> 00:33:54.137]  Why don't you go watch it?
[00:33:54.217 --> 00:33:55.179]  Why don't you go listen to it?
[00:33:55.559 --> 00:33:56.401]  Decide for yourself.
[00:33:56.601 --> 00:33:58.103]  Find out why it's so under attack.
[00:33:58.845 --> 00:34:01.689]  If you live in a local town or city, you can hear us on local radio.
[00:34:02.608 --> 00:34:03.908]  Tell folks how they can tune into that.
[00:34:03.968 --> 00:34:05.229]  Say, hear it for yourself.
[00:34:05.289 --> 00:34:06.009]  You're an American.
[00:34:06.369 --> 00:34:08.210]  You have a right to check it out for yourself.
[00:34:08.610 --> 00:34:11.591]  Not just believe CNN and the Democratic Party.
[00:34:12.331 --> 00:34:18.533]  But when it comes to promoting Infowars.com online, on the big tech giants, Facebook, YouTube, Twitter,
[00:34:19.741 --> 00:34:22.622]  They have a lot of algorithms that either totally block it or restrict it.
[00:34:22.702 --> 00:34:26.544]  That's why News Wars and Prison Planet still gets past most of it.
[00:34:27.004 --> 00:34:32.807]  And then Paul, of course, has launched Summit.News, which gets through the censors as well.
[00:34:32.827 --> 00:34:40.290]  It has a lot of original content on it as well, because this is an information war.
[00:34:40.330 --> 00:34:43.051]  So please remember, this is not a spectator sport.
[00:34:43.471 --> 00:34:44.972]  You are men and women in the arena.
[00:34:45.412 --> 00:34:49.274]  And I salute you and thank you for everything you do.
[00:34:51.880 --> 00:34:59.606]  Let me hit this first, and then the bizarre behavior of people like Anderson Cooper that is not bizarre behavior at all.
[00:34:59.626 --> 00:35:01.628]  I'm going to cover that next segment.
[00:35:02.288 --> 00:35:07.833]  And then I'm going to get into even Fox News says, don't have children, it's bad for the planet.
[00:35:08.673 --> 00:35:10.715]  And then, oh, you'll be much happier if you don't have children.
[00:35:11.316 --> 00:35:13.117]  And then, oh, let's abort children after they're born.
[00:35:13.677 --> 00:35:14.998]  Oh, let's kill children up to age three.
[00:35:15.018 --> 00:35:16.640]  Well, now CBS News.
[00:35:18.513 --> 00:35:22.237]  Disconnecting to spend time with your kids could sabotage your career.
[00:35:22.257 --> 00:35:24.260]  That's right.
[00:35:24.280 --> 00:35:27.023]  You need to work 18 hours a day for the system.
[00:35:27.964 --> 00:35:33.911]  You don't want to have a family because, well, that'll sabotage your selfish life.
[00:35:33.951 --> 00:35:36.014]  But even if you have children, just turn them over.
[00:35:37.779 --> 00:35:43.080]  You talk about low IQ, you talk about depressed, you talk about sad, you talk about suicide.
[00:35:43.100 --> 00:35:44.040]  These are like robots.
[00:35:44.080 --> 00:35:44.700]  Big study out today.
[00:36:07.503 --> 00:36:10.505]  All developed countries' IQs are plunging.
[00:36:11.465 --> 00:36:17.248]  And it's not just bringing in the lowest IQ from third world countries, which that is it.
[00:36:17.748 --> 00:36:24.572]  We get the lowest IQ of the third world, but everyone's IQs are dropping very, very quickly.
[00:36:24.592 --> 00:36:30.154]  IQ rates are dropping in many developed countries, and that doesn't bode well for humanity.
[00:36:30.374 --> 00:36:30.875]  Oh, really?
[00:36:30.895 --> 00:36:35.397]  But all of the policies are to do that.
[00:36:39.793 --> 00:36:41.815]  Now, let's get back to this.
[00:36:43.797 --> 00:36:44.738]  The Electoral College.
[00:36:44.758 --> 00:36:50.504]  The United States has been the apple of the world's eye for 244 years because our electoral
[00:36:54.688 --> 00:37:09.958]  system fused ancient Roman, ancient Greek, ancient British common law, ancient Judaic law, Iroquois nation system from the Iroquois Federation in the Northwest in the Canada.
[00:37:10.839 --> 00:37:12.740]  That was all there.
[00:37:14.321 --> 00:37:15.242]  That is the system.
[00:37:16.994 --> 00:37:18.175]  And it was so balanced.
[00:37:18.255 --> 00:37:19.916]  It was so, so good.
[00:37:19.936 --> 00:37:21.617]  It had checks and balances.
[00:37:22.117 --> 00:37:23.638]  It didn't allow for dictators.
[00:37:23.658 --> 00:37:26.279]  It didn't allow for too much concentration of power.
[00:37:27.100 --> 00:37:36.545]  And what were you going to do if the North of the United States had three times the population of the South, but that geographically
