[00:00:01.058 --> 00:00:02.919]  Well, ladies and gentlemen,
[00:22:16.099 --> 00:22:18.421]  Food shortages drive prices up for everyone.
[00:22:18.721 --> 00:22:27.006]  You might not be able to control Mother Nature, but you can control your food prices by freezing the cost and availability of your food supply with eFoods Direct.
[00:22:27.206 --> 00:22:28.427]  Be prepared before you need it.
[00:22:28.607 --> 00:22:31.769]  With nutrient-dense food you can store for up to 25 years.
[00:22:32.049 --> 00:22:34.291]  You can hope for the best, but hope won't feed you.
[00:22:34.411 --> 00:22:38.813]  Do what I've done and get your own supply of the best storable foods out there from eFoods Direct.
[00:22:38.953 --> 00:22:44.797]  Call 800-409-5633 or visit them on the web at efoodsdirect.com forward slash Alex.
[00:22:45.057 --> 00:22:46.480]  And check out their spring specials.
[00:22:46.700 --> 00:22:52.952]  Again, that number is 800-409-5633 or on the web at efoodsdirect.com forward slash Alex.
[00:22:53.192 --> 00:22:55.056]  You can bet your life on eFoodsDirect.
[00:22:59.795 --> 00:23:01.436]  Curious about what comes next?
[00:23:02.216 --> 00:23:08.420]  Next is the feeling of vulnerability you get after you arrive home to discover your house has been ransacked by burglars.
[00:23:08.900 --> 00:23:11.942]  Fool the bad guys with a new improved fake TV.
[00:23:12.282 --> 00:23:18.546]  You asked for it, we listened, and we made our new fake TV three times brighter than our previous model.
[00:23:18.766 --> 00:23:22.108]  The brightness of our new fake TV is equivalent to a 40-inch TV.
[00:23:22.828 --> 00:23:27.630]  It simulates the color and motion of a real TV while you're away from home.
[00:23:28.150 --> 00:23:34.292]  And when burglars think someone is home watching television, they're likely to pass your house and move on to an easier target.
[00:23:34.632 --> 00:23:39.033]  The new Brighter Fake TV is only $39.95 and includes free shipping.
[00:23:39.433 --> 00:23:42.034]  Go to Faketv.com or call 1-877-5-FAKETV.
[00:23:44.955 --> 00:23:45.817]  That's 877-532-5388 or go to Faketv.com.
[00:23:45.837 --> 00:23:46.899]  Faketv, the burglar deterrent.
[00:23:59.975 --> 00:24:02.056]  Alright, your host Alex Jones here, back live.
[00:24:02.236 --> 00:24:03.397]  Gerald Solente coming up.
[00:24:03.417 --> 00:24:11.320]  In the next segment I'm going to analyze Janet Reno, I mean Janet Napolitano, I mean Rachel Maddow, on her show demonizing us.
[00:24:11.601 --> 00:24:13.562]  That is all, that is all coming up.
[00:24:13.582 --> 00:24:21.365]  And how dare us say government might ever let terrorists attack us, or might provocateur them, even though it's in the New York Times and Associated Press and well known.
[00:24:21.825 --> 00:24:23.506]  I mean, how dare us!
[00:24:24.587 --> 00:24:28.769]  How dare you say I had sex with that woman, Monica Lewinsky.
[00:24:29.557 --> 00:24:30.558]  How dare you?
[00:24:30.658 --> 00:24:31.539]  How dare you?
[00:24:32.240 --> 00:24:40.688]  How dare you say they lied about mobile anthrax labs they knew good and well were for pumping up hot air balloons to direct artillery from the Iran-Iraq war that the U.S.
[00:24:40.748 --> 00:24:42.730]  sold them via the British?
[00:24:44.912 --> 00:24:49.556]  I went and looked up those trucks in Jane's Weapons Quarterly and they were hydrogen blimps.
[00:24:50.097 --> 00:24:50.957]  Hydrogen pumps.
[00:24:51.840 --> 00:24:52.400]  But oh no!
[00:24:53.021 --> 00:24:56.423]  We broke, by the way, that those were not Anthrax mobile labs.
[00:24:56.443 --> 00:24:57.624]  You're like, what do you like, Saddam?
[00:24:57.905 --> 00:25:01.807]  No, I don't like fake wars, blaming a country for 9-11 that wasn't involved.
[00:25:04.670 --> 00:25:09.313]  I mean, now, if it turns out Saudi Arabians were involved in this, will we attack Greenland?
[00:25:10.134 --> 00:25:15.918]  Maybe, you know, spin the wheel, spin the globe, and put a, like, pin the tail on the donkey, and just go up and pick a country to attack?
[00:25:19.226 --> 00:25:19.927]  Here's the big one.
[00:25:20.187 --> 00:25:21.429]  Hagel has now come out.
[00:25:21.529 --> 00:25:25.774]  I saw this right when I went live and then I was just watching him on CNN with Wolf Blitzer during the break.
[00:25:26.014 --> 00:25:28.578]  Hagel says evidence chemical weapons were used in Syria.
[00:25:28.858 --> 00:25:29.259]  That's right.
[00:25:29.279 --> 00:25:33.844]  We a year ago saw Al Qaeda testing chemical weapons in Syria saying we're going to use it.
[00:25:34.881 --> 00:25:38.344]  And the West is inserting Al-Qaeda, attacking the country, it's done nothing.
[00:25:38.604 --> 00:25:44.830]  And now they're saying we've got to attack and bomb Syria because they've got chemical weapons and are going to use them and did use them.
[00:25:45.250 --> 00:25:50.955]  And we said a year ago with Syrian girl, whose family's anti-Assad, lives in Australia.
[00:25:51.255 --> 00:25:52.617]  She's been on national TV there.
[00:25:52.957 --> 00:25:55.159]  We still call her Syrian girl even though her identity is now in public.
[00:25:55.779 --> 00:25:59.463]  And you know her family was part of the top government before that, before Assad.
[00:26:00.942 --> 00:26:05.286]  And she's a Sunni, not a Shiite, but she says Al-Qaeda is evil and bad.
[00:26:06.506 --> 00:26:12.851]  And everything she told us is true because she is jacked in directly to the real international Syrian community.
[00:26:12.871 --> 00:26:19.877]  In fact, I want Syrian girl back on tomorrow, Ron Paul's on tomorrow, but I want to get her back on for 15-20 minutes sometime tomorrow.
[00:26:22.406 --> 00:26:25.107]  And, you know, I said I'd get to the other Maddow thing.
[00:26:25.127 --> 00:26:26.567]  I'm going to get to that next segment.
[00:26:27.367 --> 00:26:28.527]  Let me start getting into this now.
[00:26:29.648 --> 00:26:36.309]  You saw last, it was Thursday, Big Sis got asked, you know, like for six, seven minutes, I'm going to play just a few minutes of it, the full clip's online.
[00:26:36.929 --> 00:26:38.729]  Just type in Big Sis says drugs not credible.
[00:26:38.930 --> 00:26:41.550]  And they were brought up, hey, these Saudi Arabians reportedly on the no-fly list.
[00:26:41.890 --> 00:26:43.070]  They were taken off that list.
[00:26:43.410 --> 00:26:44.691]  He's being deported next week.
[00:26:44.731 --> 00:26:45.991]  We have the deportation order.
[00:26:46.971 --> 00:26:49.232]  He was reportedly visited, you know, all this stuff.
[00:26:49.252 --> 00:26:50.532]  She's like, that is not credible.
[00:26:51.272 --> 00:26:52.212]  That is not credible.
[00:26:52.733 --> 00:26:54.913]  There it is, Napolitano, Drudge Report is not credible.
[00:26:55.013 --> 00:26:55.793]  Washington Examiner.
[00:26:57.934 --> 00:26:59.555]  And then, this week, it all came out.
[00:27:00.075 --> 00:27:01.115]  InfoWars.com.
[00:27:01.355 --> 00:27:12.679]  Suspected Saudi terrorist Al Harabi visited White House numerous times, and sometimes, sometimes spent most of the day there, or the night there.
[00:27:12.699 --> 00:27:14.159]  I mean, this is like incredible.
[00:27:14.199 --> 00:27:15.060]  What was going on?
[00:27:15.080 --> 00:27:17.200]  I mean, what were you doing?
[00:27:17.280 --> 00:27:18.741]  Planning some Mission Impossible thing?
[00:27:20.029 --> 00:27:21.131]  I mean, this is incredible.
[00:27:22.734 --> 00:27:25.480]  And all of this has now come out, and she's been caught lying about it.
[00:27:26.722 --> 00:27:31.692]  And InfoWars.com was the article Drudge linked to, and then The Blaze as well.
[00:27:33.035 --> 00:27:38.778]  And now they're saying, well it must be photoshopped, even though it doesn't look photoshopped, even though she was in town at the time, going to visit this guy.
[00:27:38.798 --> 00:27:41.399]  Is that why high-level ambassadors went to visit him?
[00:27:41.419 --> 00:27:44.020]  Is that why the foreign minister went to visit the White House that night?
[00:27:44.361 --> 00:27:46.522]  Is that why this guy's been to the White House?
[00:27:46.882 --> 00:27:48.783]  Is that why he's jacked into the royal family?
[00:27:49.043 --> 00:27:51.804]  Is that why he was on the terrorist no-fly list?
[00:27:52.505 --> 00:27:52.985]  Watch list?
[00:27:54.500 --> 00:27:56.401]  Let's go ahead and go to Big Sissy.
[00:27:56.441 --> 00:27:56.881]  Here it is.
[00:27:57.261 --> 00:28:04.864]  I will tell you we found it so inherently unbelievable that those statements would be made.
[00:28:06.124 --> 00:28:12.527]  It was hard to ascribe credibility to them and I don't know if I would put Forbes and Drudge in the same sentence but
[00:28:15.049 --> 00:28:16.750]  Let me be as clear as I can be.
[00:28:16.770 --> 00:28:18.171]  Well, just leave Drudge out of it.
[00:28:18.231 --> 00:28:18.571]  I wouldn't.
[00:28:18.611 --> 00:28:19.392]  I think they're credible.
[00:28:19.432 --> 00:28:22.054]  But Forbes is definitely a credible magazine.
[00:28:22.074 --> 00:28:33.422]  And so when they use that number and then we hear silence from the department and Americans see the ammo shelves empty, you know, all that feeds that... Well, like I said, it got into the blogosphere and it went viral.
[00:28:33.462 --> 00:28:34.342]  We understand that.
[00:28:34.362 --> 00:28:38.065]  And as I was with Senator Johnson, let me be as clear as I can be.
[00:28:38.085 --> 00:28:38.925]  Yeah, and again, that's enough.
[00:28:39.466 --> 00:28:42.308]  That particular clip, that particular clip's about the ammo thing.
[00:28:43.898 --> 00:28:45.740]  Because separately, they were discrediting that.
[00:28:45.780 --> 00:28:49.243]  But if you go watch the full clip, it's also about Saudi Arabians and those stories.
[00:28:49.403 --> 00:28:53.747]  By the way, I keep seeing online, Alex Jones got caught in the ammo hoax.
[00:28:55.389 --> 00:28:59.993]  It's now 2,200,000,000 plus bullets in the last year and a half.
[00:29:00.954 --> 00:29:02.515]  Armored vehicles, it's all real.
[00:29:03.596 --> 00:29:05.138]  And they think you're so stupid.
[00:29:06.260 --> 00:29:08.400]  They get up there and say none of this is real.
[00:29:08.460 --> 00:29:18.203]  Ladies and gentlemen, Homeland Security has taken delivery in the last year and a half of a billion rounds and they've got a billion two hundred million on order that they can't even get delivered.
[00:29:18.343 --> 00:29:24.264]  So they're buying so much that all these factories, for two years out now, can't sell to anybody else.
[00:29:24.484 --> 00:29:28.745]  And as soon as they expand capacity, they double down and buy even more to try to dry up ammo.
[00:29:29.025 --> 00:29:31.446]  Is ammo being dried up right now in the calibers they're buying?
[00:29:31.926 --> 00:29:32.706]  Yes, you can't get it.
[00:29:33.793 --> 00:29:40.440]  9mm, .40 caliber, .308, .223, all the things the federales use, the globalates.
[00:29:41.101 --> 00:29:42.262]  They're not even feds, they're globalists.
[00:29:42.282 --> 00:29:45.325]  All right, we're going to come back with the big news, the proof.
[00:29:45.626 --> 00:29:48.629]  We're on the march, the empire's on the run.
[00:29:49.550 --> 00:29:52.232]  Alex Jones and the GCN Radio Network.
[00:29:56.235 --> 00:29:58.977]  Alex Jones here with a message to fellow freedom lovers.
[00:29:59.257 --> 00:30:04.081]  The prognosis for the entire planetary economic system runs from bad to worse.
[00:30:04.281 --> 00:30:11.447]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[00:30:11.567 --> 00:30:16.989]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[00:30:17.209 --> 00:30:20.950]  These are items that I did research on, that I personally use.
[00:30:21.230 --> 00:30:25.772]  You've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[00:30:25.972 --> 00:30:31.174]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[00:30:31.434 --> 00:30:34.516]  Strategic Relocation 3rd Edition by Joel Skousen.
[00:30:34.676 --> 00:30:36.917]  When Disaster Strikes by Matthew Stein.
[00:30:37.177 --> 00:30:41.740]  Therosafe used by Homeland Security to protect yourself during any radiological event.
[00:30:41.920 --> 00:30:44.381]  Hand crank shortwave AM FM radios.
[00:30:44.821 --> 00:30:51.845]  Everything that we've researched and found to be the best is available at Infowarshop.com and your purchase makes our Infowar possible.
[00:30:52.025 --> 00:30:53.065]  We're getting prepared.
[00:30:53.286 --> 00:30:53.706]  Are you?
[00:30:53.966 --> 00:30:54.746]  Infowarshop.com
[00:30:58.200 --> 00:31:05.887]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:31:06.307 --> 00:31:09.951]  Alex and his staff have used these pure soap products for years.
[00:31:10.391 --> 00:31:17.217]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:31:17.697 --> 00:31:20.180]  See them on the web at 5starsoap.com.
[00:31:20.720 --> 00:31:25.222]  Or call 800-340-7091 for a free catalog.
[00:31:25.542 --> 00:31:31.205]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:31:31.485 --> 00:31:36.588]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:31:36.888 --> 00:31:38.528]  This is an amazing deal.
[00:31:38.869 --> 00:31:43.431]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:31:44.091 --> 00:31:47.297]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[00:31:56.280 --> 00:31:59.341]  You prepare by purchasing gold, food, and firearms.
[00:31:59.681 --> 00:32:05.143]  But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
