[00:00:02.591 --> 00:00:04.892]  Thank you for listening to GCN.
[00:24:33.370 --> 00:24:37.172]  People are very sensitive about that, especially in Germany, because it's come out that
[00:24:38.252 --> 00:24:41.055]  We were conducting massive spying on Germany as well.
[00:24:41.876 --> 00:24:46.340]  And they don't like to be spied on because they have this tradition of the Gestapo and the Stasi.
[00:24:46.920 --> 00:24:58.792]  And as one person wrote in the Financial Times, her name was Constance Stellensmuller, she wrote, our grandparents' generation feared the early morning knock on the door of the Gestapo.
[00:24:58.872 --> 00:24:59.552]  Well, you know what?
[00:25:00.353 --> 00:25:01.794]  At least the Gestapo knocked.
[00:25:02.795 --> 00:25:06.238]  That's not the case with the American Gestapo, the Schwat teams, right?
[00:25:06.878 --> 00:25:10.580]  I guess we should call them the Schwat teams because it sounds a bit more German.
[00:25:11.821 --> 00:25:13.202]  They just bust the door down.
[00:25:13.502 --> 00:25:18.906]  They throw in grenades, flash-gun grenades, and they shoot anybody who doesn't understand that they're the police.
[00:25:19.727 --> 00:25:24.970]  You know, if somebody kicks in your door in the middle of the night, your first reaction is going to be to take defensive action, to grab a gun or something.
[00:25:24.990 --> 00:25:27.071]  They kill people over and over again for that.
[00:25:27.712 --> 00:25:29.773]  But that's become standard operating procedure now.
[00:25:30.814 --> 00:25:31.374]  She said that
[00:25:32.635 --> 00:25:40.158]  It was only after the fall of the wall in 1989 that people really understood how much terror was being perpetrated on them.
[00:25:40.198 --> 00:25:42.459]  You know, people in America still don't understand that.
[00:25:42.859 --> 00:25:53.203]  And one of the things she mentioned about this was that in Germany, she said, we have a better reason to fear the secret state than most people.
[00:25:53.323 --> 00:25:56.104]  She said they don't like closed-circuit television cameras.
[00:25:56.164 --> 00:25:59.345]  We're perfectly comfortable with them in America because we don't understand how they're being used.
[00:25:59.705 --> 00:26:08.673]  It's also why our Constitutional Court enshrined a fundamental right of data privacy and declared it illegal for Germany to implement an EU directive on preventative data storage.
[00:26:09.474 --> 00:26:20.623]  You know, if you remember that comedy video, Alex talked to the fellow who did it, I don't recall his name right now, but he was following people, he was a comedian, he was following people around in public places.
[00:26:20.663 --> 00:26:24.827]  He had a big boom mic and he had some fake earbuds on.
[00:26:25.928 --> 00:26:27.128]  Tom Mabe, thank you.
[00:26:27.809 --> 00:26:34.711]  And he had some fake earmugs on and he's dressed with sunglasses and a suit like a CIA agent.
[00:26:34.931 --> 00:26:38.512]  And he puts this microphone in people's faces and they're like, hey, get out of here.
[00:26:39.533 --> 00:26:42.214]  When you understand the surveillance is very abhorrent.
[00:26:42.654 --> 00:26:47.676]  And it was abhorrent to the people in Germany because they understood it was being done by people.
[00:26:48.256 --> 00:26:51.317]  When it's completely automated, when it is completely
[00:26:52.358 --> 00:26:52.898]  Transparent.
[00:26:52.938 --> 00:26:54.020]  You don't notice the surveillance.
[00:26:54.060 --> 00:26:55.041]  You don't notice the cameras.
[00:26:55.121 --> 00:26:56.203]  People don't object to it.
[00:26:56.303 --> 00:26:58.265]  And that's the very dangerous situation.
[00:26:59.387 --> 00:27:00.989]  Even things like free speech.
[00:27:01.249 --> 00:27:02.911]  This is an article on InfoWars.
[00:27:03.052 --> 00:27:07.097]  Paul says 34% of Americans say the First Amendment is too extreme.
[00:27:07.137 --> 00:27:07.477]  That's right.
[00:27:08.078 --> 00:27:09.879]  We don't need our First Amendment freedom.
[00:27:10.099 --> 00:27:12.881]  I mean, why would you not want to have freedom of speech?
[00:27:13.341 --> 00:27:15.002]  I mean, that's the most amazing thing to me.
[00:27:15.062 --> 00:27:21.185]  I mean, that's not anything that... How could you make a case against freedom of speech?
[00:27:21.445 --> 00:27:31.830]  I mean, people have been totally brainwashed by the state, by the state media, the state-controlled mainstream media, to think that they have to give up everything for their freedom.
[00:27:31.871 --> 00:27:35.032]  But you know, the opposite of liberty is not security.
[00:27:35.052 --> 00:27:36.033]  It's slavery.
[00:27:36.926 --> 00:27:38.711]  And liberty and security go together.
[00:27:38.751 --> 00:27:41.277]  You can't have one without the other, as Thomas Jefferson said.
[00:27:42.265 --> 00:27:43.666]  about life and liberty.
[00:27:44.046 --> 00:27:47.768]  He said the hand of force can destroy them, but cannot disjoin them.
[00:27:48.268 --> 00:27:50.069]  That's the same thing with liberty and security.
[00:27:50.429 --> 00:27:55.431]  You know, you can have a government that destroys both your liberty and your security, but you can't have one without the other.
[00:27:56.072 --> 00:28:06.357]  Now, the interesting thing about this, this is a survey that was conducted by the Newseum, that's a news museum, and they do an annual survey about people's attitude toward the First Amendment, and what they found was
[00:28:06.937 --> 00:28:14.640]  That it was up from 13% who really didn't think that we should have free press, or free speech.
[00:28:15.140 --> 00:28:23.023]  It jumped from 13% to 34%, so more than a third of the people don't think we should have a free press, or free speech, or freedom of religion.
[00:28:23.423 --> 00:28:27.705]  And it extends to other things as well, as we've said all along about this fight for the Second Amendment.
[00:28:28.405 --> 00:28:32.068]  If people don't respect the Second Amendment, they're not going to respect any of the other freedoms either.
[00:28:32.108 --> 00:28:32.548]  The government.
[00:28:32.669 --> 00:28:34.510]  If they don't respect that, they're not going to respect the others.
[00:28:35.010 --> 00:28:41.636]  And interestingly enough, only 4% of the people valued the Second Amendment.
[00:28:41.716 --> 00:28:45.339]  So they don't really understand their freedoms.
[00:28:45.359 --> 00:28:47.260]  They don't understand what they're about to lose.
[00:28:48.121 --> 00:28:57.649]  Now, we've got this contest that we're going through feverishly trying to come up with a finalist and look at all these different films and give them a fair viewing, multiple viewings.
[00:28:58.329 --> 00:29:03.073]  One of the ones that I saw just recently was a film called Dream, A Dream Revered.
[00:29:03.573 --> 00:29:07.456]  And you can see these films at Infowars.com forward slash Paul Revere.
[00:29:08.357 --> 00:29:10.439]  Or just forward slash P I think takes you there as well.
[00:29:11.039 --> 00:29:21.591]  Now, in this particular film, what got me about it was that it starts with the person's personal recollection about how his jobs have gone.
[00:29:22.212 --> 00:29:23.193]  They've left this country.
[00:29:23.554 --> 00:29:24.655]  They've gone to other countries.
[00:29:24.695 --> 00:29:29.541]  He worked in Detroit, and he's driving through Detroit and saying, this is your future, America.
[00:29:30.281 --> 00:29:32.862]  And we're going to be talking about that right after we come back.
[00:29:33.322 --> 00:29:35.203]  He talks about how the jobs have gone.
[00:29:35.263 --> 00:29:38.664]  He talks about the great sucking sound that Ross Perot warned us about.
[00:29:39.164 --> 00:29:41.325]  And he talks about what's being put in its place.
[00:29:41.485 --> 00:29:43.466]  And we'll talk about that right after we return.
[00:29:43.646 --> 00:29:44.046]  Stay tuned.
[00:29:58.991 --> 00:30:01.980]  We're on the march, the empire's on the run.
[00:30:02.903 --> 00:30:05.610]  Alex Jones and the GCN Radio Network.
[00:30:09.471 --> 00:30:20.619]  Cal Bend Soap Company can save you thousands of dollars and give you good old-fashioned real soap that is triple concentrated and made from the highest quality vegetable and coconut oils.
[00:30:21.259 --> 00:30:32.407]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a free catalog and buy American-made products.
[00:30:32.687 --> 00:30:38.912]  Order the sampler, a 1-2 month supply or get a 1-2 year supply of soaps for all your cleaning needs.
[00:30:39.352 --> 00:30:42.353]  You're getting soap products twice as good as what you're using now.
[00:30:42.893 --> 00:30:47.315]  This is an amazing deal and you will love the way real soap makes your skin feel.
[00:30:47.555 --> 00:30:54.618]  Call 1-800-340-7091 or visit www.5starsoap.com.
[00:30:54.918 --> 00:30:59.020]  Alex and his staff have used these earth-friendly pure soaps for years.
[00:30:59.560 --> 00:31:04.402]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a catalog.
[00:31:10.014 --> 00:31:12.776]  Protecting your home with a security system is a must.
[00:31:12.996 --> 00:31:19.040]  But when it comes to protecting your family, your home, and belongings, there's no need to sign a long-term contract.
[00:31:19.380 --> 00:31:25.764]  Listen, there is some real scum in the alarm business cashing in by locking you into long, punishing contracts.
[00:31:26.164 --> 00:31:28.125]  Not with SimpliSafe Home Security.
[00:31:28.466 --> 00:31:29.506]  They're the good guys.
[00:31:29.807 --> 00:31:32.508]  You can trust SimpliSafe to protect your family.
[00:31:32.869 --> 00:31:37.171]  SimpliSafe was created by a Harvard Business School engineer and it's revolutionary.
[00:31:37.392 --> 00:31:40.674]  You'll get 24-hour protection for just $14.99 a month.
[00:31:40.934 --> 00:31:43.656]  There are no hidden fees and no contracts.
[00:31:43.856 --> 00:31:44.817]  You'll save thousands.
[00:31:45.077 --> 00:31:48.139]  Plus, you're protected by their 100% money-back guarantee.
[00:31:48.479 --> 00:31:51.541]  Protect yourself against home invasions and break-ins.
[00:31:51.901 --> 00:31:55.844]  Order your SimpliSafe system now and receive a wireless keychain remote.
[00:31:56.104 --> 00:31:58.025]  A $25 gift, free.
[00:31:58.445 --> 00:32:01.066]  So don't waste your time dealing with scum.
[00:32:01.427 --> 00:32:07.770]  Visit GetSimplySafe.com GetSimplySafe.com GetSimplySafe.com
[00:32:09.369 --> 00:32:13.955]  Why does the United States spend the largest percentage of GDP in the world on healthcare?
[00:32:14.096 --> 00:32:17.060]  Why do we have the highest cancer rates on the planet?
[00:32:17.220 --> 00:32:22.447]  The highest rates of diabetes, autism, and every other major disease.
[00:32:22.788 --> 00:32:24.450]  It all comes down to one thing.
[00:32:24.731 --> 00:32:25.992]  We are what we eat.
[00:32:26.493 --> 00:32:30.676]  Our food is devoid of nutrition and processed with poisons and additives.
[00:32:30.996 --> 00:32:34.978]  Our water is filled with toxic poisons and big pharma runoff.
[00:32:35.219 --> 00:32:37.560]  All of this has been engineered by design.
[00:32:37.780 --> 00:32:43.704]  We can turn the tide against the eugenicist by giving ourselves the nutrients our body desperately needs.
[00:32:44.024 --> 00:32:46.266]  To learn more visit InfoWarsHealth.com
[00:32:46.966 --> 00:32:53.890]  The site is literally packed with audio and video featuring top health professionals who don't bow down to Big Pharma.
[00:32:54.050 --> 00:32:59.854]  The fight against the New World Order starts with you, and you can't stand against the machine of your sick, tired, and obese.
[00:33:00.094 --> 00:33:06.017]  When you visit InfoWarsHealth.com, be sure and check out the catalog with nearly 400 life-changing products.
