[00:00:00.089 --> 00:00:07.235]  I'm here.
[00:24:56.731 --> 00:24:58.512]  These are people that can't build anything.
[00:24:59.272 --> 00:25:02.273]  So they see their empires building as they take you over.
[00:25:02.773 --> 00:25:04.034]  These are slave masters.
[00:25:05.674 --> 00:25:14.081]  Who want to be able to, like the UN has pushed and Jocelyn Elders, quote, reach down and show the kids how to do it.
[00:25:14.421 --> 00:25:15.742]  And you're like, that's outrageous.
[00:25:15.823 --> 00:25:17.704]  Why are they so outrageous?
[00:25:18.325 --> 00:25:19.866]  Because it's about breaking you.
[00:25:21.127 --> 00:25:22.788]  It's about Stockholm Syndrome.
[00:25:23.049 --> 00:25:29.074]  It's about going for it all, and then going for it all again, and going, they're like hopping around demons.
[00:25:30.462 --> 00:25:35.367]  People that hate you having a nice family, hate your swimming pool, hate your wealth.
[00:25:35.407 --> 00:25:36.348]  That's all they talk about.
[00:25:36.668 --> 00:25:40.272]  Disgusting America with all its wealth and people that have things.
[00:25:40.913 --> 00:25:41.333]  You hear it.
[00:25:41.593 --> 00:25:45.077]  Meanwhile, they're in helicopters and jets and giant government buildings.
[00:25:45.357 --> 00:25:46.618]  They hate you.
[00:25:46.819 --> 00:25:48.981]  They have an instinct towards total domination.
[00:25:49.561 --> 00:25:53.886]  They have an instinct that if you gain something, they're losing something because they're predators.
[00:25:56.803 --> 00:25:59.385]  These people are total and complete predators.
[00:25:59.405 --> 00:26:05.971]  The reason I'm bringing up Jocelyn Elders is I was talking about how the state controls your kids, and one of the IT guys that was up here last night, he goes, remember Jocelyn Elders?
[00:26:07.312 --> 00:26:10.415]  Going, reach down and help the kindergartners.
[00:26:11.216 --> 00:26:12.657]  That voice.
[00:26:13.117 --> 00:26:14.418]  Reach down and help them.
[00:26:14.478 --> 00:26:16.500]  I mean, it's just like, what?
[00:26:17.161 --> 00:26:18.702]  Is there no end to you people?
[00:26:19.743 --> 00:26:21.645]  And now we've got Melissa Harris Perry
[00:26:23.064 --> 00:26:26.106]  Engaged in total neuro-linguistic programming.
[00:26:26.406 --> 00:26:27.726]  People always asking me, do you know about this?
[00:26:27.746 --> 00:26:28.267]  Do you know about that?
[00:26:28.287 --> 00:26:28.967]  So I went and studied it.
[00:26:29.267 --> 00:26:33.609]  It's a quack science they use that I guess only works on people that are unconscious.
[00:26:34.830 --> 00:26:38.091]  And they'll say something that they know is what people agree with.
[00:26:38.411 --> 00:26:44.835]  Your children belong to you to trigger synapses in the brain that go, that's right, they do, they're mine.
[00:26:45.635 --> 00:26:46.936]  A normal mammalian response.
[00:26:47.898 --> 00:26:50.520]  But actually, we need to strengthen public education.
[00:26:50.720 --> 00:26:52.901]  We haven't supported it, which is a lie.
[00:26:53.982 --> 00:26:58.985]  More funding to communist education, government re-education camps than any other nation in the history of the world.
[00:26:59.266 --> 00:27:03.869]  Meant to take over society in their own documents that Charlotte Isserby details in her book, Deliberate Dumbing Down.
[00:27:05.270 --> 00:27:08.312]  So first she says something that's true to get you, then she gives you a lie.
[00:27:08.352 --> 00:27:09.773]  It's all scripted off a teleprompter.
[00:27:10.693 --> 00:27:12.054]  Official MSNBC ad.
[00:27:12.775 --> 00:27:13.995]  Your kids belong to you.
[00:27:14.016 --> 00:27:15.977]  And they're your responsibility.
[00:27:17.597 --> 00:27:20.800]  And then, by the way, we haven't been supportive of public education.
[00:27:21.601 --> 00:27:28.588]  But now that's all over, because your kids belong to the whole community, and she sells it like, oh, we're going to take a weight off you.
[00:27:29.029 --> 00:27:32.312]  Let your kids stay till 8 at night at the public school, like they're now pushing.
[00:27:32.913 --> 00:27:34.214]  Let's have over the summer.
[00:27:34.614 --> 00:27:35.435]  You know what?
[00:27:35.616 --> 00:27:38.619]  All the time, all the time, all the time.
[00:27:40.250 --> 00:27:50.373]  The whole thing is a psych warfare event with a crazed nobody that goes to Delphi Technique and Rand Corporation events.
[00:27:50.773 --> 00:27:51.774]  They're all funded by this.
[00:27:51.814 --> 00:27:52.414]  It's on record.
[00:27:52.694 --> 00:27:53.314]  You can look it up.
[00:27:53.374 --> 00:27:54.875]  All these federal bureaucrats at that level.
[00:27:55.015 --> 00:27:56.815]  That's a federal agent you're looking at right there.
[00:27:57.115 --> 00:27:58.556]  MSNBC is a globalist.
[00:27:58.996 --> 00:28:05.246]  Propaganda command base raining down racial and cultural division with the government as the unifier.
[00:28:05.487 --> 00:28:09.694]  The Roman model of balkanize everybody and then it bundles the sticks together.
[00:28:10.054 --> 00:28:13.380]  True fascism is the sticks bundled together, tied together.
[00:28:14.588 --> 00:28:15.348]  The fasci.
[00:28:15.768 --> 00:28:17.089]  That's what fascism comes from.
[00:28:17.649 --> 00:28:23.151]  Break us into pieces so we're not strong, and then the state ties us together with hatchets above it.
[00:28:23.391 --> 00:28:25.792]  The sword, the weapon, the gun.
[00:28:26.052 --> 00:28:28.133]  You don't have a gun, the state has the gun.
[00:28:28.373 --> 00:28:34.636]  These are naked, conscious authoritarians, running around with their tongues hanging out like wild wolves.
[00:28:35.436 --> 00:28:40.758]  And you're in such a trance, people are like, the government loves me, Obama wants to give me something free.
[00:28:41.058 --> 00:28:50.122]  Obama is CIA raised from birth, Ford Foundation, Rockefeller Foundation, literal Manchurian candidate of the New World Order to bring in hell and death.
[00:28:53.303 --> 00:28:57.465]  Ladies and gentlemen, he rides the white horse of pestilence and death.
[00:29:02.230 --> 00:29:04.394]  Now let's go ahead and go to this clip.
[00:29:04.414 --> 00:29:05.938]  We're going to go to break and come back with it.
[00:29:06.499 --> 00:29:07.020]  We got time.
[00:29:07.060 --> 00:29:07.801]  Go out to break with it.
[00:29:07.841 --> 00:29:08.322]  Here's the evil.
[00:29:09.781 --> 00:29:16.265]  We have never invested as much in public education as we should have because we've always had kind of a private notion of children.
[00:29:16.385 --> 00:29:19.626]  Your kid is yours and totally your responsibility.
[00:29:19.947 --> 00:29:23.208]  We haven't had a very collective notion of these are our children.
[00:29:23.469 --> 00:29:31.353]  So part of it is we have to break through our kind of private idea that kids belong to their parents or kids belong to their families and recognize that kids belong to whole communities.
[00:29:31.753 --> 00:29:36.736]  Once it's everybody's responsibility and not just the households, then we start making better investments.
[00:29:40.811 --> 00:29:42.372]  Alright folks, we'll be right back.
[00:29:42.432 --> 00:29:44.053]  That's official MSNBC.
[00:29:44.513 --> 00:29:47.635]  And courts have said in California your kids don't belong to you.
[00:29:48.415 --> 00:29:51.477]  And they've also come out and said they'll give kids shots without your consent.
[00:29:52.197 --> 00:29:53.098]  We're on the march.
[00:29:53.598 --> 00:29:55.199]  The Empire's on the run.
[00:29:56.139 --> 00:29:58.821]  Alex Jones and the GCN Radio Network.
[00:30:02.836 --> 00:30:04.757]  In the last two years alone, the U.S.
[00:30:04.777 --> 00:30:06.718]  has seen huge losses to our food supply.
[00:30:06.938 --> 00:30:12.440]  In 2011, storms and floods raged across the U.S., costing us $20 billion in lost crops alone.
[00:30:12.660 --> 00:30:16.422]  In 2012, we saw the largest drought in the country in more than 50 years.
[00:30:16.702 --> 00:30:20.464]  You may think out of sight, out of mind, and so you don't think you will be affected.
[00:30:20.624 --> 00:30:21.824]  The fact is, you are.
[00:30:22.024 --> 00:30:22.805]  We all are.
[00:30:23.045 --> 00:30:25.386]  Food shortages drive prices up for everyone.
[00:30:25.686 --> 00:30:34.034]  You might not be able to control Mother Nature, but you can control your food prices by freezing the cost and availability of your food supply with eFoodsDirect.
[00:30:34.254 --> 00:30:35.455]  Be prepared before you need it.
[00:30:35.635 --> 00:30:38.818]  With nutrient-dense food you can store for up to 25 years.
[00:30:39.098 --> 00:30:41.360]  You can hope for the best, but hope won't feed you.
[00:30:41.500 --> 00:30:45.924]  Do what I've done and get your own supply of the best storable foods out there from eFoodsDirect.
[00:30:46.065 --> 00:30:51.950]  Call 800-409-5633 or visit them on the web at efoodsdirect.com forward slash Alex.
[00:30:52.190 --> 00:30:53.611]  And check out their spring specials.
[00:30:53.851 --> 00:31:00.135]  Again, that number is 800-409-5633 or on the web at efoodsdirect.com forward slash Alex.
[00:31:00.356 --> 00:31:02.257]  You can bet your life on eFoodsDirect.
[00:31:04.992 --> 00:31:12.679]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:31:13.119 --> 00:31:16.743]  Alex and his staff have used these pure soap products for years.
[00:31:17.183 --> 00:31:24.009]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:31:24.489 --> 00:31:27.272]  See them on the web at 5starsoap.com.
[00:31:27.512 --> 00:31:32.015]  Or call 800-340-7091 for a free catalog.
[00:31:32.335 --> 00:31:37.999]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:31:38.279 --> 00:31:43.382]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:31:43.683 --> 00:31:45.324]  This is an amazing deal.
[00:31:45.684 --> 00:31:50.287]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:31:50.907 --> 00:31:53.389]  See them on the web at 5starsoap.com
[00:31:53.629 --> 00:31:55.413]  Or call 800-340-7091 for a free catalog.
[00:32:03.007 --> 00:32:11.253]  Devastating events like earthquakes, tornadoes, floods, hurricanes, or the threat of martial law have highlighted the need for Americans to prepare for emergencies.
[00:32:11.553 --> 00:32:14.995]  As a result, millions are stockpiling food, gold, and weapons.
[00:32:15.236 --> 00:32:19.398]  But how will these items help if you or one of your loved ones becomes ill?
[00:32:19.699 --> 00:32:24.402]  Supernatural silver is the ultimate tool to prepare you for a medical emergency.
[00:32:24.722 --> 00:32:34.631]  Supernatural Silver is a natural antibiotic that is uniquely effective against bacteria, viruses, moles, and fungus, and is remarkable for wound care.
[00:32:34.871 --> 00:32:40.036]  Taken internally or used topically, it can help keep you safe from deadly pathogens.
[00:32:40.276 --> 00:32:48.839]  Supernatural Silver has over 500 different uses and a long-term shelf life, making it the number one choice of preppers across the country.
[00:32:49.079 --> 00:32:56.021]  To find out how this amazing new technology can help you be prepared, go to SupernaturalSilver.com.
[00:32:56.301 --> 00:33:00.202]  Use the promo code PREPARED for 20% off your entire order.
[00:33:00.423 --> 00:33:01.583]  And like us on Facebook!
[00:33:05.410 --> 00:33:06.191]  The answer to 1984 is 1776.
[00:33:06.271 --> 00:33:08.432]  You're listening to The Alex Jones Show.
[00:33:08.552 --> 00:33:10.274]  Hangman, hangman, hold it a little while.
[00:33:10.294 --> 00:33:12.515]  I think I see my friends comin' right a-many a-mile.
[00:33:12.535 --> 00:33:15.718]  I think I see my friends comin' right a-many a-mile.
[00:33:15.738 --> 00:33:17.519]  I think I see my friends comin' right a-many a-mile.
[00:33:17.539 --> 00:33:18.760]  I think I see my friends comin' right a-many a-mile.
[00:33:18.780 --> 00:33:20.301]  I think I see my friends comin' right a-many a-mile.
[00:33:20.441 --> 00:33:22.183]  I think I see my friends comin' right a-many a-mile.
[00:33:22.203 --> 00:33:23.304]  I think I see my friends comin' right a-many a-mile.
[00:33:23.324 --> 00:33:24.384]  I think I see my friends comin' right a-many a-mile.
[00:33:24.404 --> 00:33:25.525]  I think I see my friends comin' right a-many a-mile.
[00:33:25.545 --> 00:33:31.089]  I think I see my friends comin' right a-many a-mile.
[00:33:31.109 --> 00:33:32.210]  I think I see my friends comin' right a-many a-mile.
[00:33:32.230 --> 00:33:32.851]  I think I see my friends comin'
[00:33:35.832 --> 00:33:36.893]  Monday through Friday.
[00:33:41.760 --> 00:33:42.461]  From 11 a.m.
[00:33:42.501 --> 00:33:43.382]  until 2 p.m.
[00:33:43.502 --> 00:33:44.764]  Central Standard Time.
[00:33:46.366 --> 00:33:48.770]  We are here live, ladies and gentlemen.
[00:33:50.615 --> 00:33:54.677]  And we, of course, are back weeknight, seven o'clock, with InfoWars Nightly News.
[00:33:55.357 --> 00:34:05.022]  I'm just going to get a ten-minute update from Dr. Steve Pucinich here, and then I'm going to get back into all the world news and the incredible attacks that are accelerating on the First Amendment, you name it.
[00:34:05.062 --> 00:34:14.207]  The ATF on the federal website has put out the bid for data mining to spy illegally on all gun owners and your web activity.
[00:34:14.787 --> 00:34:18.629]  Google, the NSA front, is breaking into all the computers with its Google cars.
