[00:00:05.603 --> 00:00:07.105]  Mark your calendars.
[00:25:25.972 --> 00:25:31.094]  I see the way our streets are burning under a violent socialist revolution in our streets.
[00:25:31.094 --> 00:25:34.175]  And therefore, the sooner I could speak out, the better.
[00:25:34.175 --> 00:25:35.695]  I cannot stand the idea
[00:25:36.315 --> 00:25:44.802]  That I will either be six feet under or incarcerated in October of 2020 when I need to be on the battlefield.
[00:25:44.802 --> 00:25:47.024]  That's why I decided to speak out today.
[00:25:47.024 --> 00:25:52.148]  And you told me that in confidence, but now you're just throwing it all to the wind, which I really respect you even more now.
[00:25:52.148 --> 00:25:53.869]  I want you to say it in your own words.
[00:25:53.869 --> 00:25:57.712]  You're not here for you because you know you'll be penalized by this judge and others for speaking out.
[00:25:57.972 --> 00:25:59.654]  You're here because you're really worried about Trump.
[00:25:59.654 --> 00:26:02.276]  This isn't like some leftist, oh Trump's in trouble.
[00:26:02.276 --> 00:26:06.660]  We need to be honest just like you were 120 something days out last time to Trump.
[00:26:06.660 --> 00:26:10.263]  You need to warn him and undoubtedly the president is going to get this message from you.
[00:26:10.263 --> 00:26:13.366]  So let's finish up with what happened to you, where this is all going.
[00:26:13.366 --> 00:26:14.587]  It's part of the Russiagate hoax.
[00:26:15.208 --> 00:26:24.176]  And then let's tie it into what Trump needs to do, because believe me, obviously, you issue a message to President Trump here on the Alex Jones Show, he's going to get it, and he needs your counsel.
[00:26:24.176 --> 00:26:32.222]  I wish he would just pardon you, not just clemency, immediately, and then put it in their face and put you in the White House, where Bannon was.
[00:26:32.222 --> 00:26:33.884]  He would win the election, I have no doubt.
[00:26:34.324 --> 00:26:38.448]  He needs to double down and own it instead of running away from you, which he's not been doing.
[00:26:38.448 --> 00:26:41.932]  He's been saying Stone's innocent and tweeting how it's all fraud.
[00:26:41.932 --> 00:26:44.615]  So Trump gets he's in the fight of his life right now.
[00:26:44.615 --> 00:26:45.436]  We're all in it.
[00:26:45.436 --> 00:26:45.976]  Stay with us.
[00:26:45.976 --> 00:26:47.177]  Roger Stone straight ahead.
[00:26:56.638 --> 00:27:08.368]  As we enter the critical month of July, it is very important for listeners and viewers to understand that all of the major storable food companies have been sold out of food for months.
[00:27:08.368 --> 00:27:17.135]  My Patriot Supply, our supplier, was out to an eight-week wait, not because they didn't have food, but because their four plants were backed up, packaging, and getting it out.
[00:27:17.515 --> 00:27:21.219]  Now, they are at three to four weeks right now.
[00:27:21.219 --> 00:27:22.841]  They've gotten over the hump.
[00:27:22.841 --> 00:27:27.266]  Their other competitors are completely sold out or selling old garbage.
[00:27:27.266 --> 00:27:28.688]  This is high quality food.
[00:27:28.688 --> 00:27:38.239]  I would advise everyone to do what I'm doing and buy more storable food now before the next big hump comes because if you think things are about to settle down, think again.
[00:27:38.579 --> 00:27:40.742]  The world is only going to get more insane.
[00:27:40.742 --> 00:27:42.463]  I've been telling you this for six months.
[00:27:42.463 --> 00:27:45.647]  Ladies and gentlemen, if you don't have firearms and ammo and water filtration, you better get it.
[00:27:45.647 --> 00:27:47.709]  If you don't have storable food, you better get it.
[00:27:47.709 --> 00:27:51.794]  Go to infowarshore.com to take care of the water filtration and to take care of the storable foods.
[00:27:51.794 --> 00:27:53.796]  Get your orders in now before the next big rush.
[00:27:56.311 --> 00:27:58.052]  Let's go to Juan in Connecticut.
[00:27:58.052 --> 00:27:58.532]  You're on the air.
[00:27:58.532 --> 00:28:00.132]  Thanks for calling.
[00:28:00.132 --> 00:28:00.773]  I sure can, sir.
[00:28:00.773 --> 00:28:01.093]  Thank you.
[00:28:01.093 --> 00:28:03.934]  Sir, it's an honor to talk to you, brother.
[00:28:12.097 --> 00:28:13.558]  I just want to plug in.
[00:28:13.558 --> 00:28:17.982]  I'm a truck driver and two of the fours have changed the way I drive.
[00:28:17.982 --> 00:28:19.924]  Me and my brothers that drive.
[00:28:19.924 --> 00:28:20.925]  There's a couple of us.
[00:28:20.925 --> 00:28:24.608]  We're all Hispanics, Cubans, Puerto Ricans.
[00:28:24.608 --> 00:28:32.955]  We used to be on Monster and Red Bull and all that and I have lost weight because I stopped drinking all that sugar and I just want to thank you for that.
[00:28:33.375 --> 00:28:39.021]  Well, brother, we put more in this than any other long-term, high-quality energy powder there is.
[00:28:39.021 --> 00:28:41.283]  So this was designed by one of the top guys in the country.
[00:28:41.283 --> 00:28:43.786]  He didn't want his name on it because, obviously, the political issues.
[00:28:43.786 --> 00:28:46.448]  But we had to pay a lot of money for this formulation just for the design of it.
[00:28:46.448 --> 00:28:50.472]  And we believe it is the best, strongest, but healthiest energy out there.
[00:28:50.472 --> 00:28:53.015]  And you're saying that it's made your life better, so that means a lot to me.
[00:28:53.015 --> 00:28:53.355]  Thank you.
[00:28:53.355 --> 00:28:54.777]  To all your truck drivers, we love you.
[00:28:55.177 --> 00:28:57.118]  The 4th of July, 2020.
[00:28:57.118 --> 00:29:11.242]  We are here, and despite all the globalist attacks, you the viewers and listeners of this transmission have supported us by prayer, by word of mouth, and by buying the products, and you have done all of this.
[00:29:11.242 --> 00:29:15.964]  So when you look at the huge effect InfoWars has had, I want you to understand
[00:29:16.804 --> 00:29:19.825]  That it's because of what you have done.
[00:29:19.825 --> 00:29:25.907]  And myself and the whole crew salute you on this July 4th, 2020.
[00:29:25.907 --> 00:29:33.950]  We've got a lot of our best-selling products that were sold out, DNA Force Plus, Bodies, Ultra 12, and others that have been sold out for months, back in stock.
[00:29:35.210 --> 00:29:37.091]  50% off for the 4th of July.
[00:29:37.091 --> 00:29:38.572]  We're running a special.
[00:29:38.572 --> 00:29:42.774]  I want to encourage you to get these products because they have enriched my life so much.
[00:29:42.774 --> 00:29:44.355]  I know they'll enrich your life.
[00:29:44.355 --> 00:29:48.738]  And regardless, it's a total 360 win because it funds the info war.
[00:29:48.738 --> 00:29:51.019]  The only way we fail is when you don't take action.
[00:29:51.019 --> 00:29:52.340]  I don't need to tell you that.
[00:29:52.340 --> 00:29:53.660]  You already took action.
[00:29:53.660 --> 00:29:58.463]  And I salute and thank you.
[00:29:58.463 --> 00:30:01.084]  You're listening to the Alex Jones Show.
[00:30:08.319 --> 00:30:21.344]  And Roger Stone is here with us exclusively because he's so worried about President Trump and the country and what's happened in the election.
[00:30:21.344 --> 00:30:24.405]  They want him in prison for helping get Trump elected.
[00:30:24.405 --> 00:30:27.286]  They want him in prison for getting Trump to run.
[00:30:27.286 --> 00:30:28.987]  And they want to send a message to everybody else.
[00:30:29.787 --> 00:30:36.233]  I've dealt with General Flynn and Manafort, everybody, and how they're trying to indict me and put me in jail and sue me to death.
[00:30:36.233 --> 00:30:38.556]  That you don't stand up for America, I will punish you.
[00:30:38.556 --> 00:30:41.819]  That's why this election is so important for this country and the world.
[00:30:41.819 --> 00:30:53.690]  So Roger Stone, I want to finish up with the persecution you've gone through and what's happening and the death sentence this judge is trying to send you to in two weeks, and what happened in the trial, and then what people really want to hear your expertise on.
[00:30:54.991 --> 00:30:59.073]  The 2020 contest and what you think President Trump needs to do.
[00:30:59.073 --> 00:31:00.033]  So, Roger, please continue.
[00:31:00.033 --> 00:31:01.094]  All right.
[00:31:01.094 --> 00:31:02.074]  Thank you, Alex.
[00:31:02.074 --> 00:31:04.295]  Again, it's great to be back.
[00:31:04.295 --> 00:31:12.198]  First, let me say that my affection and loyalty and support for this president have never flagged for a nanosecond.
[00:31:12.198 --> 00:31:23.082]  If you go back through his tweets at the time my house was charged by 29 heavily armed FBI agents to the time I was wrongfully convicted
[00:31:23.782 --> 00:31:49.723]  To the time I was subjected to the corruption of this jury forewoman as recently as last Saturday morning when at 7am the President retweeted a tweet by Lori Hendry urging people to sign the petition at FreeRogerStone.com to the President urging that he grant an act of clemency and either a pardon
[00:31:50.283 --> 00:31:52.905]  Uh, or a commutation of sentence.
[00:31:52.905 --> 00:31:58.369]  The President has correctly recognized my persecution as a miscarriage of justice.
[00:31:58.369 --> 00:32:12.458]  His words, uh, he has said as recently as last week on Sean Hannity's terrific show, uh, that I was treated very, very unfairly, that my conviction should have been thrown out, I should have been declared a mistrial.
[00:32:12.458 --> 00:32:15.620]  So I have no complaints about the President, uh, whatsoever.
[00:32:15.620 --> 00:32:19.103]  Uh, I stand with him and I think ultimately, I pray ultimately,
[00:32:19.423 --> 00:32:22.325]  That he will stand with me.
[00:32:22.325 --> 00:32:29.489]  As for my trial, you know that first thing they had to do was to slap a gag order on me.
[00:32:29.489 --> 00:32:35.873]  An unconstitutional gag order that held that I could not defend myself in any public forum.
[00:32:35.873 --> 00:32:40.596]  Not InfoWars, not social media, not Fox, nowhere.
[00:32:40.596 --> 00:32:41.737]  And that's because
[00:32:42.858 --> 00:32:50.428]  They claimed that any social media commentary or defense of me might taint the jury.
[00:32:50.428 --> 00:32:54.974]  This is an absurd argument for which the judge offered no evidence, no proof.
[00:32:54.974 --> 00:32:59.040]  In fact, what about the tainting of the jury by the Washington Post?
[00:32:59.580 --> 00:33:03.861]  Or by CNN, the tsunami of fake news.
[00:33:03.861 --> 00:33:07.762]  Which, if you go back and look, for 16 months, what did they say?
[00:33:07.762 --> 00:33:10.042]  Roger Stone will be indicted for treason.
[00:33:10.042 --> 00:33:13.203]  Roger Stone will be charged by Mueller for conspiracy.
[00:33:13.203 --> 00:33:16.064]  Roger Stone will be charged for conspiracy against the United States.
[00:33:16.064 --> 00:33:18.784]  And they've had to admit no Russian collusion.
[00:33:18.784 --> 00:33:19.664]  Barr has come out.
[00:33:19.664 --> 00:33:22.485]  They've confirmed no Russian collusion by any U.S.
[00:33:22.485 --> 00:33:23.145]  citizen.
[00:33:23.145 --> 00:33:25.326]  What an incredibly loyal country.
[00:33:25.326 --> 00:33:27.246]  All you did was get Trump elected.
[00:33:28.359 --> 00:33:30.144]  Well, Trump got Trump elected.
[00:33:30.144 --> 00:33:34.153]  All I did was support Donald Trump and never flagged in that support.
[00:33:34.153 --> 00:33:35.818]  Look, I admit that going back to 1988.
[00:33:37.242 --> 00:33:59.731]  Maybe I was one of the first people, right after former President Nixon, to recognize that Donald Trump had the courage, and the bravado, and the audacity, and the independence, and the energy, and the stamina, and the anti-globalist worldview to be not only a great candidate for president, but a truly great president.
[00:33:59.731 --> 00:34:00.532]  He also had the looks.
[00:34:01.840 --> 00:34:02.800]  He's charismatic.
[00:34:02.800 --> 00:34:05.601]  He understood television in the television age.
[00:34:05.601 --> 00:34:09.382]  But let's be honest, he delivered in spades.
[00:34:09.382 --> 00:34:14.204]  They said when he became president, look, America's greatest days are behind us.
