[00:00:13.725 --> 00:00:15.045]  Oh, I'm sorry.
[00:27:41.240 --> 00:27:50.326]  Because this isn't our media, this is globalist media that controls China, that's trying to bring down the US, that had control of Russia, but is losing power.
[00:27:50.326 --> 00:27:59.052]  But now you see them using their final desperate measure, a hyped up pandemic, while in California.
[00:27:59.052 --> 00:28:05.376]  And in New York, and in a whole bunch of other states like Arizona and Nevada.
[00:28:06.567 --> 00:28:13.034]  The Democrats are coming out saying, ban hydroxychloroquine, ban Z-Pak.
[00:28:14.178 --> 00:28:17.341]  Don't let people have treatments that totally worked in Europe.
[00:28:17.341 --> 00:28:20.203]  And doctors, don't tell them vitamin C or zinc.
[00:28:20.203 --> 00:28:21.264]  I have a stack of articles.
[00:28:21.264 --> 00:28:23.065]  They say zinc won't help you.
[00:28:23.065 --> 00:28:24.967]  Vitamin C won't help you.
[00:28:24.967 --> 00:28:27.789]  Hydroxychloroquine won't help you.
[00:28:27.789 --> 00:28:28.950]  Nothing will help you.
[00:28:28.950 --> 00:28:30.371]  You're desperate.
[00:28:30.371 --> 00:28:31.272]  Stay in your house.
[00:28:31.272 --> 00:28:33.053]  The economy's almost gone.
[00:28:33.053 --> 00:28:35.255]  America's almost burning down.
[00:28:35.255 --> 00:28:36.856]  We've almost defeated it.
[00:28:36.856 --> 00:28:39.638]  We're going to show flyover country who's boss.
[00:28:39.638 --> 00:28:42.661]  But they've got to stop Trump first and blame him for every death.
[00:28:43.948 --> 00:28:45.971]  As he tries to stop us from going into a depression.
[00:28:45.971 --> 00:28:47.973]  This is their next attack.
[00:28:47.973 --> 00:28:49.495]  And it's the biggest ever.
[00:28:49.495 --> 00:28:55.862]  Get the word out and expose these monstrous anti-Americans in league with a foreign communist murderous state.
[00:28:58.635 --> 00:29:01.277]  Hunters, anglers, campers and survivalists.
[00:29:01.277 --> 00:29:02.378]  Get back to nature.
[00:29:02.378 --> 00:29:09.682]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[00:29:09.682 --> 00:29:13.085]  Slingbow products are compact and models start from just 1798.
[00:29:13.085 --> 00:29:16.667]  They're perfect for your bug out bag or storing in your vehicle.
[00:29:16.667 --> 00:29:20.830]  Give yourself and your loved ones the excitement and tradition of slingbow.
[00:29:20.830 --> 00:29:25.413]  A new frontier in archery and truly modern twist on this primitive survival tool.
[00:29:25.413 --> 00:29:28.075]  Feel the thrill only at slingbow.com.
[00:29:28.735 --> 00:29:29.955]  Hi, I'm Dan Pilla.
[00:29:29.955 --> 00:29:33.876]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[00:29:33.876 --> 00:29:35.416]  I sued the IRS and won.
[00:29:35.416 --> 00:29:38.377]  I beat the IRS then, and I've been beating them ever since.
[00:29:38.377 --> 00:29:43.918]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[00:29:43.918 --> 00:29:45.118]  I can help you, too.
[00:29:45.118 --> 00:29:48.059]  If you owe taxes you can't pay, don't wait another day.
[00:29:48.059 --> 00:29:50.279]  There's no such thing as a hopeless tax case.
[00:29:50.279 --> 00:29:54.720]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[00:29:54.720 --> 00:29:57.021]  That's danpilla.com, danpilla.com.
[00:29:59.810 --> 00:30:05.432]  Newtonian physics documents the fact that for every action there's an opposite and equal reaction.
[00:30:05.432 --> 00:30:10.394]  And that matter is not destroyed, it is simply transferred into another form.
[00:30:10.394 --> 00:30:12.295]  Well, we're seeing that happen right now.
[00:30:12.295 --> 00:30:24.880]  The globalists are openly trying to hype up the coronavirus, trying to kill our economy, and trying to have martial law shut down around the country, and trying to stampede Trump into implementing it so they can blame the imploding economy on him.
[00:30:25.100 --> 00:30:34.204]  But Trump has seen through it, and so he's let them implement the draconian controls, and is saying, do you really want a depression for something that's killed far less than the flu?
[00:30:34.204 --> 00:30:36.725]  Ladies and gentlemen, now is the fight of our lives.
[00:30:36.725 --> 00:30:43.789]  And the good news is, their attack on humanity and on independent media has caused a lot of people to start thinking for themselves.
[00:30:43.789 --> 00:30:50.312]  And so the traffic to InfoWars.com and Band.Video is triple our previous records right now.
[00:30:50.612 --> 00:30:57.825]  So you're doing a great job spreading the word and people are tuning in to find out the truth like never before because of you, the Modern Paul Reveres.
[00:30:59.787 --> 00:31:05.171]  For more than eight weeks, InfoWars has researched this deadly coronavirus, and it is deadly.
[00:31:05.171 --> 00:31:11.636]  It targets those who already have pre-existing conditions, compromised immune systems, and those over 70 particularly bad.
[00:31:11.636 --> 00:31:19.422]  It is deadly, but the globalists are hyping it as an economic and psychological warfare weapon to implement martial law and throw Trump out of office.
[00:31:19.422 --> 00:31:27.408]  But regardless, the mainstream media will not tell you about natural compounds that are known to be extremely antiviral, like zinc.
[00:31:27.708 --> 00:31:32.611]  So I don't care where you get zinc for yourself, your parents, your grandparents, your children.
[00:31:32.611 --> 00:31:39.734]  Please go out and research zinc and then know that we have three different formulas that have zinc in them at a very nice dosage level.
[00:31:39.734 --> 00:31:43.476]  Real Red Pill, Real Red Pill Plus, and Vitamin Mineral Fusion.
[00:31:43.476 --> 00:31:51.200]  And all of these products are 40 and 50% off right now at InfoWareStore.com, even though we're very, very close to selling them out.
[00:31:51.200 --> 00:31:56.683]  We ship within 24 hours, so secure yours today and boost your defense at InfoWareStore.com.
[00:32:00.131 --> 00:32:07.135]  Every week, every day, every hour, every minute, every second right now is critical.
[00:32:07.135 --> 00:32:10.778]  History is happening right in front of us and we can't be spectators.
[00:32:10.778 --> 00:32:15.600]  We've got to be men and women in the arena regardless of race, color, creed, age, sexual preference.
[00:32:15.600 --> 00:32:16.441]  It doesn't matter.
[00:32:16.641 --> 00:32:22.165]  The globalists with the Chai comms and others are openly trying to plunge our economy and start a new depression.
[00:32:22.165 --> 00:32:29.190]  China, who hyped up this virus, is now back to work and ramping up their economy, while ours is going into a free fall spiral.
[00:32:29.190 --> 00:32:32.873]  And Trump's desperately trying to restart it and create confidence.
[00:32:32.873 --> 00:32:38.737]  And the globalist corporate media that was worshipping China just a month or so ago, and their response is saying Trump
[00:32:39.037 --> 00:32:40.458]  You're listening to the Alex Jones Show!
[00:33:11.016 --> 00:33:14.200]  This is a global pandemic.
[00:33:14.200 --> 00:33:24.993]  We have been in frequent contact with our allies, and we are marshalling the full power of the federal government and the private sector to protect the American people.
[00:33:24.993 --> 00:33:26.294]  Close your window.
[00:33:26.294 --> 00:33:28.257]  Go back inside your house.
[00:33:28.257 --> 00:33:28.997]  What do I do, Lord?
[00:33:28.997 --> 00:33:29.678]  Plan, people.
[00:33:29.678 --> 00:33:31.020]  These are demons.
[00:33:32.805 --> 00:33:36.589]  It's basically an intergalactic invasion into this space through people.
[00:33:36.589 --> 00:33:41.093]  I'm telling you, it's what all the ancients said, it's what they warned us, it's what we're dealing with.
[00:33:41.093 --> 00:33:42.174]  They're demons.
[00:33:42.174 --> 00:33:44.496]  They're frickin' interdimensional invaders, okay?
[00:33:44.496 --> 00:33:49.841]  I'll just say it, make fun of me all you want on CNN or wherever, but everyone already innately knows this.
[00:33:49.841 --> 00:33:52.504]  These people are not frickin' humans, okay?
[00:34:14.465 --> 00:34:26.809]  From the front lines of the Information War, it's Alex Jones.
[00:34:26.809 --> 00:34:30.570]  Does it look like the land of the free, home of the brave to you?
[00:34:30.570 --> 00:34:33.071]  No, it looks like a bunch of lemmings running off the edge of a cliff.
[00:34:33.071 --> 00:34:37.813]  A bunch of cows that have been stampeded by a truck's backfire, running over each other.
[00:34:39.028 --> 00:34:42.911]  Mindlessly braying and breaking their legs and backs.
[00:34:42.911 --> 00:34:47.215]  Blood spilling out of their noses.
[00:34:47.215 --> 00:34:50.478]  Well, we killed 62 million babies.
[00:34:50.478 --> 00:34:54.421]  We let Nambla openly run Drag Queen Storytime.
[00:34:54.421 --> 00:34:59.666]  Where they openly say in their own words, we're grooming children for a lifestyle with us.
[00:34:59.666 --> 00:35:00.847]  And you will not stop us.
[00:35:00.847 --> 00:35:02.228]  Your children are ours.
[00:35:04.738 --> 00:35:13.649]  You watch the drug company ads where it tells you there's happy people dancing and rewarding that it can cause a heart attack or cancer or death or insanity.
[00:35:13.649 --> 00:35:14.711]  Ask your doctor about it.
[00:35:22.185 --> 00:35:25.026]  Yes, the depopulation is coming.
[00:35:25.026 --> 00:35:27.807]  And you're begging for it.
[00:35:27.807 --> 00:35:44.112]  This is only a test to make sure when the globalists really release their deadly bioweapons in the future that you're in a shelter in place and die in your homes and not cause them any trouble while they do it.
[00:35:44.112 --> 00:35:48.873]  And of course, government will decide what businesses can operate and what businesses can't.
[00:35:51.201 --> 00:36:04.425]  And every Democrat city, every Democrat state, is now banning firearm sales and saying your regular right to keep and bear them, to transport them, is banned!
[00:36:04.425 --> 00:36:10.806]  It's all pre-programmed, all pre-prepared.
[00:36:10.806 --> 00:36:15.327]  And I was telling my wife just last night, I said, yeah, no, the UN, all of them, they want 18 months.
[00:36:15.327 --> 00:36:17.168]  That's when the fake vaccine comes out.
[00:36:18.131 --> 00:36:20.432]  That's when the travel IDs and the apps will be on your phones.
[00:36:20.432 --> 00:36:21.252]  China's already done it.
[00:36:21.252 --> 00:36:23.153]  They're already beta testing it here.
[00:36:23.153 --> 00:36:25.253]  But it's a process of enslavement.
[00:36:25.253 --> 00:36:28.134]  You come in not appreciating your rights.
[00:36:28.134 --> 00:36:31.095]  You come out not having them.
[00:36:31.095 --> 00:36:35.537]  Tough measures to stem the coronavirus outbreak could be in place for 18 months.
[00:36:35.537 --> 00:36:38.858]  Scientists say, Time Magazine.
[00:36:38.858 --> 00:36:40.178]  Who expert?
[00:36:40.178 --> 00:36:41.779]  Finding and distributing
[00:36:43.510 --> 00:36:46.170]  COVID-19 vaccine, 18 months would be historic.
[00:36:46.170 --> 00:36:47.751]  It's all scripted.
[00:36:47.751 --> 00:36:52.092]  Coronavirus timeline, how the world will change over the next 18 months, Esquire.
[00:36:52.092 --> 00:36:54.652]  Modeling study, 18 months of coronavirus.
[00:36:54.652 --> 00:36:58.053]  Social distancing, much disruption.
[00:36:58.053 --> 00:37:02.353]  Tough measures to stem the coronavirus outbreak can be in place for 18 months.
[00:37:02.353 --> 00:37:10.395]  Sorry, America, the full lockdown's coming, says the Council on Foreign Relations.
[00:37:10.395 --> 00:37:11.475]  Isn't that sweet?
[00:37:13.672 --> 00:37:31.380]  And then here is the Democrats getting used to siege and holding the states, counties, and cities hostage against the economy, against the people, against the president until there's a full depression and the president is driven from power.
[00:37:31.380 --> 00:37:32.500]  The mayor of L.A.
[00:37:32.500 --> 00:37:36.342]  announces water and power will be shut off for non-essential L.A.
[00:37:36.342 --> 00:37:39.003]  businesses that don't close.
[00:37:39.003 --> 00:37:40.464]  That's called siege.
[00:37:41.789 --> 00:37:50.836]  And they've got citizen block captains that report you, you still have your business running, and well, your water and power gets turned off.
[00:37:50.836 --> 00:37:58.082]  Virginia Governor Ralph Northam, who keeps the babies comfortable, omits gun stores from list of essential businesses.
[00:37:58.082 --> 00:37:59.603]  Ha ha!
[00:37:59.603 --> 00:38:01.725]  Oh, you killed his gun confiscation bills?
[00:38:01.725 --> 00:38:04.167]  Ah, he'll show you!
[00:38:04.167 --> 00:38:07.049]  I'll get you and your little dog too!
[00:38:08.755 --> 00:38:08.995]  L.A.
[00:38:08.995 --> 00:38:11.878]  County Sheriff orders gun stores to close.
[00:38:11.878 --> 00:38:14.121]  He says people don't know how to use them properly.
[00:38:14.121 --> 00:38:15.482]  That's a quote.
[00:38:15.482 --> 00:38:18.845]  Adds 1,300 deputies to patrol to make sure you submit.
[00:38:18.845 --> 00:38:19.887]  They let all the criminals out.
[00:38:21.257 --> 00:38:24.678]  Constitutional crisis as they take the guns.
[00:38:24.678 --> 00:38:24.878]  L.A.
[00:38:24.878 --> 00:38:27.999]  mayor to cut off the water from selfish people.
[00:38:27.999 --> 00:38:29.459]  Meanwhile, shock video.
