[00:00:01.495 --> 00:00:03.896]  It's Monday, August 24th.
[00:25:34.963 --> 00:25:42.686]  That's a total of 265 million people.
[00:25:42.686 --> 00:25:47.868]  This is after a food distribution organised by an opposition leader led to a stampede.
[00:25:48.903 --> 00:25:54.849]  The World Food Programme says 20% of the continent's population are already undernourished.
[00:25:54.849 --> 00:26:02.676]  And now, the reliance on imported food and widespread poverty, made worse by COVID-19 measures, could prove deadly.
[00:26:02.676 --> 00:26:07.561]  Definitely, this hunger of staying at home will kill people.
[00:26:07.561 --> 00:26:08.502]  Because let me tell you,
[00:26:10.114 --> 00:26:12.695]  Most of my people, they don't eat.
[00:26:12.695 --> 00:26:26.038]  UN food chief warns famine of biblical proportions looms for humanity due to COVID-19 that normally 10 million starve to death a year that they predict 18 million will starve to death this year.
[00:26:26.038 --> 00:26:27.158]  There's another one, Fox News.
[00:26:27.158 --> 00:26:30.979]  UN warns coronavirus fallout will lead to the next pandemic, global starvation.
[00:26:30.979 --> 00:26:34.419]  Yeah, it's not coronavirus doing it, it's the panic and the hysteria.
[00:26:34.419 --> 00:26:36.200]  8 million extra dead people.
[00:26:36.974 --> 00:26:40.596]  When Corona hasn't even killed a million worldwide with fudge numbers.
[00:26:40.596 --> 00:26:45.257]  States get money and the locales get money for every Corona death.
[00:26:45.257 --> 00:26:46.798]  All set up by the UN.
[00:26:46.798 --> 00:26:52.200]  I have no reason to doubt the fatality numbers that we're using in the state of Washington right now.
[00:26:52.200 --> 00:26:58.163]  The problem is you got some people out there who are fanning these conspiracy claims from the planet Pluto.
[00:26:59.048 --> 00:27:10.119]  And it's just disgusting what they're trying to say of all these crazy deep state malarkey who are kind of suggest that this is not a problem in our state.
[00:27:10.119 --> 00:27:13.041]  I find that hard to accept with the number of dead in our state.
[00:27:13.041 --> 00:27:17.405]  Virginia plans mandatory COVID-19 vaccines for all residents.
[00:27:17.405 --> 00:27:22.550]  You presumably still are the Commissioner of Health when a vaccine is made available to the public.
[00:27:22.550 --> 00:27:24.012]  Do you intend on mandating it?
[00:27:25.465 --> 00:27:26.306]  Uh, yes.
[00:27:26.306 --> 00:27:31.451]  A new poll suggests more than one in three Americans aren't interested in getting a coronavirus vaccine.
[00:27:31.451 --> 00:27:36.597]  Dr. Oliver says in the case of the coronavirus, public health should take precedent over choice.
[00:27:36.597 --> 00:27:41.502]  He shouldn't actually be the one person to make a decision for all of Virginians.
[00:27:41.502 --> 00:27:42.063]  Joe Biden!
[00:27:43.558 --> 00:27:43.698]  That's
[00:28:06.625 --> 00:28:08.946]  Use the deaths of people without other things is covered.
[00:28:08.946 --> 00:28:13.348]  He's the one that has first told us don't wear masks, now wear masks.
[00:28:13.348 --> 00:28:22.692]  We're supposed to with Fauci and the United Nations tell us no matter if it's a death sentence for the third world and a poverty sentence for us in the first world.
[00:28:22.692 --> 00:28:26.794]  I would shut country down again if recommended by scientists.
[00:28:26.794 --> 00:28:29.395]  So what does that translate to?
[00:28:29.395 --> 00:28:30.156]  He would kill
[00:28:31.323 --> 00:28:45.954]  An additional 8 million people the UN projects will starve to death this year and millions more after that to save a few hundred thousand who are obese, have diabetes, are super old and don't take care of themselves.
[00:28:45.954 --> 00:28:47.114]  The average death age is 85.
[00:28:47.114 --> 00:28:52.598]  All right, folks, I have settled down now.
[00:28:52.598 --> 00:28:57.021]  I had to go off air for a while because I was about to blow up, but I'm under control now.
[00:28:57.021 --> 00:28:57.422]  Stay with us.
[00:28:58.962 --> 00:29:00.803]  Attention radio listeners!
[00:29:00.803 --> 00:29:08.525]  Have you ever wanted to be independent of the utility companies and actually generate your own supply of off-grid electrical power?
[00:29:08.525 --> 00:29:12.667]  If so, this is going to be the most important message you'll ever hear.
[00:29:12.667 --> 00:29:13.627]  Here's why.
[00:29:13.627 --> 00:29:18.789]  A limited number of solar-powered backup generators are back in stock and now available.
[00:29:18.789 --> 00:29:23.811]  These emergency backup systems provide life-saving electrical power when you need it most.
[00:29:24.551 --> 00:29:33.976]  And unlike gas generators, a solar generator runs quietly, emits no fumes, and produces an endless supply of free electricity from the sun.
[00:29:33.976 --> 00:29:39.278]  It's like having an electric power plant running silently, secretly, in your own home.
[00:29:39.278 --> 00:29:43.861]  Run sump pumps, shortwave radios, computers, even keep food from spoiling.
[00:29:43.861 --> 00:29:46.182]  Go to MySolarBackup.com to learn more.
[00:29:46.182 --> 00:29:47.803]  That's MySolarBackup.com.
[00:29:49.272 --> 00:29:54.715]  Supplies are still limited and are available on a first-come, first-served basis only.
[00:29:54.715 --> 00:30:01.079]  MySolarBackup.com.
[00:30:01.079 --> 00:30:11.345]  I don't have to tell you that fish oil is known to be so good for your brain, so good for your heart, so good for your cells, your cardiovascular system, your lungs, your sleep.
[00:30:11.345 --> 00:30:12.646]  It's amazing.
[00:30:12.646 --> 00:30:16.928]  Well, we set out a few years ago to go out and develop with top
[00:30:17.268 --> 00:30:22.032]  Manufacturers, the strongest, highest quality, purest fish oil out there.
[00:30:22.032 --> 00:30:24.174]  And this blend is amazing.
[00:30:24.174 --> 00:30:28.057]  Ultimate fish oil, back in stock at importwarshore.com.
[00:30:28.057 --> 00:30:30.839]  Wild anchovy purified fish oil.
[00:30:30.839 --> 00:30:33.101]  Ultra pure Arctic krill oil.
[00:30:33.101 --> 00:30:35.283]  High quality wild caught salmon oil.
[00:30:35.703 --> 00:30:39.465]  Vitamin D. Vitamin E. Supports optimal heart health.
[00:30:39.465 --> 00:30:40.766]  Supports optimal joint health.
[00:30:40.766 --> 00:30:42.527]  Supports optimal cognitive health.
[00:30:42.527 --> 00:30:43.688]  Supports immune function.
[00:30:43.688 --> 00:30:44.888]  Supports vascular health.
[00:30:44.888 --> 00:30:46.449]  Supports circulatory health.
[00:30:46.449 --> 00:30:47.530]  It goes on and on.
[00:30:47.530 --> 00:30:54.014]  Get your Ultimate Fish Oil discounted with free shipping right now at InfoWarstore.com and Ultimate Critical Oil as well.
[00:30:54.014 --> 00:30:54.874]  InfoWarstore.com.
[00:30:59.155 --> 00:31:04.701]  The New World Order is a planetary corporate plan for world government.
[00:31:04.701 --> 00:31:07.985]  But world government is only the control grid.
[00:31:07.985 --> 00:31:15.113]  Now, inner members of the cult are told that they are going to transcend and become gods and attain immortality.
[00:31:15.513 --> 00:31:22.521]  But the price for that is to carry out the orderly extermination of all carbon-based life forms.
[00:31:22.521 --> 00:31:24.764]  That's why they say carbon is bad.
[00:31:24.764 --> 00:31:28.508]  They are rewriting the entire genetic code of the planet.
[00:31:28.508 --> 00:31:29.709]  They are playing God.
[00:31:30.370 --> 00:31:40.262]  They believe they have been inspired by interdimensional entities that are giving them advanced technology to carry out this transformation.
[00:31:40.262 --> 00:31:45.569]  I know this sounds insane, but if you read the writings of the Globalist, it's all on record.
[00:31:45.569 --> 00:31:46.690]  You have been warned.
[00:31:47.992 --> 00:31:52.457]  You have been given the information to say no to this plan.
[00:31:52.457 --> 00:31:56.041]  This is the end of all life on Earth as we know it.
[00:31:56.041 --> 00:31:59.244]  This is the alien takeover of Earth.
[00:31:59.244 --> 00:32:03.849]  Attention, attention, attention to anyone that still wants to live in a free country.
[00:32:04.369 --> 00:32:14.192]  The New World Order, CHICOM, Globalist Syndicate is making its move to implode the dollar and thrust the United States into a civil war by contesting the election.
[00:32:14.192 --> 00:32:18.014]  They are openly wargaming this at the highest levels of the Democratic Party.
[00:32:18.014 --> 00:32:22.415]  Nancy Pelosi and others have gone on television and said they will contest the election.
[00:32:22.415 --> 00:32:23.316]  Trump is going.
[00:32:23.316 --> 00:32:27.417]  They will hold a separate inauguration for Biden and Kamala Harris.
[00:32:27.777 --> 00:32:30.359]  And then anyone challenging that will be called a racist.
[00:32:30.359 --> 00:32:35.983]  They will then trigger race riots and violence they've already beta tested around the country.
[00:32:35.983 --> 00:32:37.904]  We are not living in normal times.
[00:33:02.381 --> 00:33:05.004]  You're listening to the Alex Jones Show!
[00:33:18.015 --> 00:33:19.956]  The New World Order's in trouble!
[00:33:19.956 --> 00:33:21.196]  You've found it.
[00:33:21.196 --> 00:33:23.217]  The tip of the spear.
[00:33:23.217 --> 00:33:25.838]  It is the Alex Jones Show.
[00:33:25.838 --> 00:33:27.959]  Yes, it looks like we're in trouble.
[00:33:27.959 --> 00:33:30.880]  But it's only because we've engaged the enemy.
[00:33:30.880 --> 00:33:32.461]  And they're burning down.
[00:33:32.461 --> 00:33:36.042]  And their whole world government's in trouble!
[00:33:36.042 --> 00:33:43.525]  The seeds of their destruction have now grown up into giant trees and are bearing fruit.
[00:33:45.640 --> 00:33:56.386]  And the beginning of their fall has begun, as foretold by John the Revelator.
[00:33:56.386 --> 00:34:01.069]  But it's gonna be rough first, because we deserve to pay for what we've done.
[00:34:01.069 --> 00:34:08.854]  The angel of death will not pass over those of you that worship Satan.
[00:34:08.854 --> 00:34:13.257]  Fear not of he who kills the body, but he who can kill the soul!
[00:34:15.276 --> 00:34:21.880]  All right, let's get into it right now.
[00:34:21.880 --> 00:34:25.022]  Nancy Pelosi is letting you know the score.
[00:34:25.022 --> 00:34:34.948]  It's a war by the deep state globalist system that is absolutely, totally, and completely allied
[00:34:39.360 --> 00:34:47.463]  With all the different criminal entities on the planet that want to loot and control and bring the United States to heel.
[00:34:47.463 --> 00:34:52.525]  We're the big slick gunfighter that's won a hundred battles.
[00:34:52.525 --> 00:34:56.447]  We're the castle on the hill the barbarians want to loot.
[00:34:56.447 --> 00:34:59.228]  They want our head mounted to the wall.
[00:34:59.228 --> 00:35:03.830]  And because of our weakness and our corruption we were so close to being taken over from within.
[00:35:03.830 --> 00:35:05.891]  But right at the last minute we got a president in
[00:35:07.188 --> 00:35:14.893]  A night on the field to try to rally the troops and now we have the New World Order in check.
[00:35:14.893 --> 00:35:16.774]  But they have us in check as well.
[00:35:16.774 --> 00:35:22.157]  So the next moves are critical on who is going to go into checkmate.
[00:35:22.157 --> 00:35:25.639]  That's why Obama says this is the most important election in history.
[00:35:25.639 --> 00:35:27.700]  He's telling the truth for a change.
[00:35:27.700 --> 00:35:28.981]  That's why Trump's saying it.
[00:35:28.981 --> 00:35:30.382]  Telling the truth as he always does.
[00:35:32.008 --> 00:35:34.529]  Because it's here, ladies and gentlemen, destiny.
[00:35:34.529 --> 00:35:43.855]  So Pelosi is on MSNBC, Microsoft NBC, and she's telling you that he's an enemy of the state.
[00:35:45.443 --> 00:35:56.249]  80 million ballots randomly sent out, dumped everywhere, to engage in total fraud to gum up the system so that it's so clouded, who really won, it will be contested.
[00:35:56.249 --> 00:35:57.990]  They say they will contest.
[00:35:57.990 --> 00:35:59.871]  They know there's a landslide against them.
[00:35:59.871 --> 00:36:01.252]  They know they're going to lose.
[00:36:01.252 --> 00:36:03.313]  Trump will probably win the popular vote.
[00:36:03.313 --> 00:36:04.734]  That's what all the internal polls show you.
[00:36:04.734 --> 00:36:07.875]  I told you this time, four years ago, Trump was going to win.
[00:36:07.875 --> 00:36:11.197]  And I've got my ear to the ground now.
[00:36:11.197 --> 00:36:12.478]  He's going to win even bigger.
[00:36:15.523 --> 00:36:17.907]  So what are they going to do when Trump wins?
[00:36:17.907 --> 00:36:18.969]  They're going to say he didn't win.
[00:36:21.684 --> 00:36:27.307]  And they're going to have multiple states secede, led by California and New York, saying they're the real America.
[00:36:27.307 --> 00:36:41.013]  And if they can't get the military to remove Trump, which they say they want him to, Atlantic Monthly CFR, that's the official plan, they're going to have their new country in all the blue cities and states and inaugurate Joe Biden and Kamala Harris.
