[00:00:00.233 --> 00:00:00.314]  Oh.
[00:26:16.373 --> 00:26:25.456]  As long as you're gay, and hop around in a little black sweater, like, you know, Bill Gates' little pink sweater, it's like, h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h
[00:26:29.497 --> 00:26:31.438]  They're like, oh, I'm Tim Cook.
[00:26:31.438 --> 00:26:33.198]  Oh, and the UN.
[00:26:33.198 --> 00:26:34.739]  Oh, UNICEF.
[00:26:34.739 --> 00:26:36.199]  Oh, it loves the children.
[00:26:36.199 --> 00:26:37.580]  Oh, oh, it's so good.
[00:26:37.580 --> 00:26:38.360]  It's so sweet.
[00:26:38.360 --> 00:26:43.042]  It's so, keep the baby comfortable like Governor Northam does.
[00:26:43.042 --> 00:26:44.502]  And we're under the UN control.
[00:26:44.502 --> 00:26:52.085]  There's a lot more I want to get to, but I'm going to talk about the secret to defeating the New World Order, the secret to defeating the globalists straight ahead.
[00:26:52.085 --> 00:26:54.046]  I'm Alex Jones, friend of the LiveLinks.
[00:26:56.778 --> 00:27:01.604]  I don't have to tell you that fish oil is known to be so good for your brain, so good
[00:27:12.418 --> 00:27:17.763]  Top manufacturers, the strongest, highest quality, purest fish oil out there.
[00:27:17.763 --> 00:27:19.886]  And this blend is amazing.
[00:27:19.886 --> 00:27:23.769]  Ultimate fish oil, back in stock at importwarshaw.com.
[00:27:23.769 --> 00:27:31.017]  Wild anchovy purified fish oil, ultra pure arctic krill oil, high quality wild caught salmon oil,
[00:27:31.417 --> 00:27:35.179]  Vitamin D, Vitamin E. Supports optimal heart health.
[00:27:35.179 --> 00:27:36.659]  Supports optimal joint health.
[00:27:36.659 --> 00:27:38.240]  Supports optimal cognitive health.
[00:27:38.240 --> 00:27:39.401]  Supports immune function.
[00:27:39.401 --> 00:27:40.601]  Supports vascular health.
[00:27:40.601 --> 00:27:42.182]  Supports circulatory health.
[00:27:42.182 --> 00:27:43.262]  It goes on and on.
[00:27:43.262 --> 00:27:49.725]  Get your Ultimate Fish Oil discounted with free shipping right now at InfoWarsore.com and Ultimate Crude Oil as well.
[00:27:49.725 --> 00:27:54.907]  InfoWarsore.com.
[00:27:54.907 --> 00:27:55.768]  Incrementalism.
[00:27:56.653 --> 00:27:57.713]  The Inchworm Effect!
[00:28:14.838 --> 00:28:15.338]  I think?
[00:28:35.094 --> 00:28:37.716]  This is the medical tyranny takeover.
[00:28:37.716 --> 00:28:40.519]  These are not classic vaccines that have their own problems.
[00:28:40.519 --> 00:28:46.685]  These are DNA vaccines that change your DNA and are having massive, serious side effects.
[00:28:46.685 --> 00:28:47.665]  Guaranteed.
[00:28:47.665 --> 00:28:49.327]  This is about depopulation.
[00:28:49.327 --> 00:28:50.748]  Bill Gates admits that.
[00:28:50.748 --> 00:28:51.969]  This is an emergency.
[00:28:51.969 --> 00:28:53.371]  Resist or die.
[00:28:53.371 --> 00:28:54.412]  The new world order is here.
[00:28:55.072 --> 00:29:02.057]  It was in the Telecommunications Act of 1996 that all new cell phones would track your GPS location.
[00:29:02.057 --> 00:29:07.501]  I read from the federal law and listeners couldn't believe me because that was un-American.
[00:29:07.501 --> 00:29:24.234]  Now the media admits that almost every app and every company that are on Apple and on Droids don't just track your location, but your surfing history, where you go, who you talk to, your relationships, and they all share the data with each other of what you're doing on the apps as well.
[00:29:24.614 --> 00:29:36.842]  Including having apps turn on and listen to what you're saying, just like Siri or Alexa do, and then putting databases, transcripts of everything you say into those systems to be saved forever.
[00:29:36.842 --> 00:29:42.105]  Your phone is spying on you and companies are generating secret surveillance scores based on information.
[00:29:42.105 --> 00:29:45.227]  This is the Global Chinese Communist Social Credit Score.
[00:29:45.227 --> 00:29:52.012]  Get your protection privacy pockets at InfoWarstore.com and cut Big Brother off dead in his filthy tracks.
[00:29:52.012 --> 00:29:53.193]  InfoWarstore.com.
[00:29:58.112 --> 00:30:07.420]  You're listening to The Alex Jones Show.
[00:30:07.420 --> 00:30:09.542]  The Alex Jones Show.
[00:30:09.542 --> 00:30:10.743]  Because there is a war on.
[00:30:10.743 --> 00:30:20.651]  For your mind.
[00:30:20.651 --> 00:30:23.474]  You know, I've been meaning to do this for a long time.
[00:30:24.639 --> 00:30:26.540]  And I kind of feel like I should come in with a drum roll.
[00:30:26.540 --> 00:30:39.450]  I kind of feel like I should come in with the old Fox searchlight intro from the start of a Fox produced movie.
[00:30:39.450 --> 00:30:43.053]  Because this really is the key to everything.
[00:30:43.053 --> 00:30:46.135]  And it hit me about an hour before the show that I wanted to come on air and do this.
[00:30:46.135 --> 00:30:50.218]  And then I got busy and never could really sit down and write up a few notes of the points.
[00:30:51.988 --> 00:31:17.555]  Because you can have self-help books, you can have, you know, things that give people a lot of insight into things, but a lot of times they're written by people that really plagiarize what somebody else has said and then it gets twisted and it doesn't really carry the same weight because there's not the same historical perspective and a lot of other nuances that go into it.
[00:31:17.555 --> 00:31:20.616]  But my experience and what I've learned in life
[00:31:23.681 --> 00:31:40.107]  If it could be truly imparted to people, would be very, very important for the future of humanity and very, very important for the future of you individually, just from a purely monetary place, even if you don't care about saving the world.
[00:31:40.107 --> 00:31:43.128]  Because if you're not trying to save the world, we're going to destroy the world.
[00:31:43.128 --> 00:31:47.450]  You got to care and try to save it, or we're going to lose it.
[00:31:47.450 --> 00:31:49.811]  Sociopaths are like cancer.
[00:31:49.811 --> 00:31:52.192]  If cancer had a consciousness or intelligence,
[00:31:54.397 --> 00:32:00.142]  A self-awareness, it would realize it was killing its host, but it doesn't have a self-awareness.
[00:32:00.142 --> 00:32:02.664]  It's a malfunction.
[00:32:02.664 --> 00:32:04.805]  And so I'm not building this up.
[00:32:04.805 --> 00:32:09.429]  I'm going to take a few minutes off because I've got some special reports that need to be aired anyways.
[00:32:09.429 --> 00:32:19.998]  And then I'm going to go sit in the coffee room and write a few notes up on this because I had it all codified in my head and I was ready to do it today and I still am, but I, this is big mojo.
[00:32:19.998 --> 00:32:20.998]  This is big medicine.
[00:32:20.998 --> 00:32:23.480]  This is, this is, this is big wampum.
[00:32:24.628 --> 00:32:28.309]  And a lot of what I'm going to say you're already going to know.
[00:32:28.309 --> 00:32:36.271]  But it's really true and it's the impetus of it and the action of it and the understanding that it isn't work.
[00:32:36.271 --> 00:32:37.771]  It is growth.
[00:32:37.771 --> 00:32:40.612]  It is empowerment.
[00:32:40.612 --> 00:32:42.192]  And it's the only way.
[00:32:42.192 --> 00:32:46.893]  So Caitlin Bennett's done just a really good job with her latest report.
[00:32:46.893 --> 00:32:48.614]  Caitlin Bennett Destroys BLM Radicals.
[00:32:48.614 --> 00:32:50.254]  It's posted at Band.Video.
[00:32:51.550 --> 00:32:52.611]  It's a very important report.
[00:32:52.611 --> 00:32:55.614]  I don't have time to air the whole thing, but I'm going to air part of it here.
[00:32:55.614 --> 00:32:57.817]  And then I'm going to come back and get into the big secret.
[00:32:57.817 --> 00:33:03.243]  And then we'll open the phones up next hour and get into all the other big issues.
[00:33:03.243 --> 00:33:05.025]  But I'm going to talk about...
[00:33:06.876 --> 00:33:13.142]  Key philosophy to how the world really works, that you'll only discover if you've been through a bunch of stuff.
[00:33:13.142 --> 00:33:15.664]  It's not like native intelligence would know all this.
[00:33:15.664 --> 00:33:26.753]  You have to have native intelligence, but then also interface with it, and then have these long-term experiences of it, to really know what we're contending with.
[00:33:26.753 --> 00:33:34.500]  And it makes it very easy to defeat the New World Order, until you realize one thing.
[00:33:34.500 --> 00:33:34.700]  So,
[00:33:37.363 --> 00:33:39.804]  We'll talk about leadership in the next segment.
[00:33:39.804 --> 00:33:45.368]  Here's part of Caitlin Bennett when she destroys the George Soros, almost completely white.
[00:33:45.368 --> 00:33:46.788]  And again, nothing against white people.
[00:33:46.788 --> 00:33:55.713]  It's just a bunch of horrible communist white people that try to go into black neighborhoods to stir up young black kids and mainly white child molesters.
[00:33:55.713 --> 00:34:05.499]  I mean, I told you Antifa is almost all child molesters and now the dead guys, child molesters, devil worshipers, you name it.
[00:34:07.398 --> 00:34:09.359]  Armed burglars.
[00:34:09.359 --> 00:34:12.501]  I mean, I don't just say they're devil-worshipping child molesters.
[00:34:12.501 --> 00:34:15.462]  I don't just pull that out of the sky just to say it.
[00:34:15.462 --> 00:34:24.507]  I'm telling you what I have, in 20 plus years, 26 years, 30 years on the ground almost, what I have observed.
[00:34:24.507 --> 00:34:29.210]  And now that you're seeing it come out from under the floorboards, you're like, oh, that's exactly what he said.
[00:34:29.210 --> 00:34:32.091]  I've been down in the floorboards.
[00:34:32.091 --> 00:34:34.573]  There's even nastier stuff starting to crawl out.
[00:34:34.573 --> 00:34:34.973]  Believe it.
[00:34:36.049 --> 00:34:38.110]  Because you're going to see it.
[00:34:38.110 --> 00:34:39.671]  That's one good thing about all this.
[00:34:39.671 --> 00:34:42.713]  Time for denial's over, baby!
[00:34:42.713 --> 00:34:44.955]  We tried to stop all this before it got rolling.
[00:34:44.955 --> 00:34:47.156]  It's rolling down the hill on us.
[00:34:47.156 --> 00:34:49.657]  It's bad.
[00:34:49.657 --> 00:34:52.699]  It's fiery, but mostly peaceful, though.
[00:34:52.699 --> 00:34:53.580]  Here's part of our report.
[00:34:54.517 --> 00:34:58.278]  Do you think autism deserves to be looted and burned to the ground?
[00:34:58.278 --> 00:35:00.799]  Well, it is a big corporation and they have insurance.
[00:35:00.799 --> 00:35:03.440]  Can you give me the definition of systemic racism?
[00:35:03.440 --> 00:35:04.721]  I don't know the exact definition.
[00:35:04.721 --> 00:35:06.701]  I don't read the exact definition.
[00:35:06.701 --> 00:35:09.902]  So you don't know the definition, but you're going to tell me that it exists?
[00:35:09.902 --> 00:35:11.483]  Yes, it definitely does.
[00:35:11.483 --> 00:35:13.564]  So where is a systemic issue?
[00:35:13.564 --> 00:35:15.985]  Where is a law that's in the system?
[00:35:15.985 --> 00:35:20.346]  Where is a policy that's in the system of systemic racism in our country?
[00:35:20.346 --> 00:35:22.527]  I don't want to talk anymore.
[00:35:26.530 --> 00:35:28.151]  What do you think of the Black Lives Matter riots?
[00:35:28.151 --> 00:35:28.952]  Are they good?
[00:35:28.952 --> 00:35:29.832]  Bad?
[00:35:29.832 --> 00:35:35.076]  I think they're well-deserved because there definitely is a lot of systematic racism still in the country.
[00:35:35.076 --> 00:35:39.059]  Do you think Autism deserved to be looted and burned to the ground?
[00:35:39.059 --> 00:35:41.701]  Well, it is a big corporation and they have insurance.
[00:35:41.701 --> 00:35:46.945]  So it didn't should be like I can't I can't speak on that because I'm not black and I can't say
[00:35:47.725 --> 00:35:50.926]  What's right and what's wrong because I don't experience the racism that they do.
[00:35:50.926 --> 00:35:58.407]  So because you're not black, you can't say that AutoZone and their workers didn't do anything to deserve to be burned to the ground?
[00:35:58.407 --> 00:35:59.948]  I can't say how other people feel.
[00:35:59.948 --> 00:36:02.908]  It's not me experiencing racism.
[00:36:02.908 --> 00:36:11.810]  So if someone came to your home, burnt your car, took your money, burnt your house down, would you say, well I can't tell them what's right and wrong because I'm not black, I don't know how that feels?
[00:36:12.426 --> 00:36:15.087]  No, because then at that point, it becomes personal.
[00:36:15.087 --> 00:36:15.507]  Okay.
[00:36:15.507 --> 00:36:18.988]  But at their point, it's their personal note of what's happening.
[00:36:18.988 --> 00:36:26.490]  Is it not personal for the manager or the workers that work there for their stuff to be destroyed, their workplaces to be burnt to the ground?
[00:36:26.490 --> 00:36:27.690]  Do you see what I'm saying?
[00:36:27.690 --> 00:36:28.770]  But they'll be compensated.
[00:36:28.770 --> 00:36:32.251]  You won't be compensated if your house burned down, but they'll be compensated from the company.
[00:36:33.510 --> 00:36:35.011]  Do you know how insurance works?
[00:36:35.011 --> 00:36:37.172]  I mean, have you investigated that?
[00:36:37.172 --> 00:36:38.932]  Are you, like, for sure that's gonna happen?
