[00:00:06.602 --> 00:00:08.624]  It's Monday, October 12th.
[00:25:59.931 --> 00:26:01.993]  The infant would be delivered.
[00:26:01.993 --> 00:26:04.415]  The infant would be kept comfortable.
[00:26:04.415 --> 00:26:09.541]  The infant would be resuscitated, if that's what the mother and the family desired.
[00:26:09.541 --> 00:26:13.826]  And then a discussion would ensue between the physicians and the mothers.
[00:26:13.826 --> 00:26:17.730]  And telling us that the future is too grim for us to think about raising a family.
[00:26:17.990 --> 00:26:23.793]  There's scientific consensus that the lives of children are going to be very difficult.
[00:26:23.793 --> 00:26:25.833]  Is it okay to still have children?
[00:26:25.833 --> 00:26:29.835]  How far is this going to go before humanity has enough?
[00:26:29.835 --> 00:26:39.560]  For NewsWars.com, this is Greg Reese.
[00:26:39.560 --> 00:26:42.041]  All right, only way this dog hunts is you take action.
[00:26:42.990 --> 00:26:46.777]  It's on InfoWars.com and NewsWars.com and Band.Video.
[00:26:46.777 --> 00:26:48.760]  Bubble Awakening Adrenochrome Drug.
[00:26:48.760 --> 00:26:50.363]  Terrifies Satanic Elite.
[00:26:50.363 --> 00:26:51.965]  I suggest you use this weapon!
[00:26:55.450 --> 00:27:09.003]  For more than a hundred years, the Rockefeller Foundation has worked to establish world government, abolish nation states, dumb down the population by taking control of education, and most importantly, taking control of Western medicine.
[00:27:09.003 --> 00:27:11.005]  Now, they had a bad name by the 1920s.
[00:27:11.005 --> 00:27:19.474]  They started converting over and funding other organizations and groups, like IBM, to continue on with their eugenics operations.
[00:27:20.174 --> 00:27:30.320]  Fast forward to the 1980s, the baton is handed by IBM via his mother on the board of directors to Bill Gates III, his father, of course, being the head of Planned Parenthood.
[00:27:30.320 --> 00:27:38.325]  And now he's been able to position himself over almost every health department in the world, every national health system.
[00:27:38.325 --> 00:27:40.387]  Bill Gates is in control.
[00:27:40.387 --> 00:27:40.907]  They have spent
[00:27:41.287 --> 00:27:48.293]  A hundred plus years getting positioned to be able to control what happens to your body when it goes in your body.
[00:27:48.293 --> 00:27:54.518]  This is the holy grail of their operations and now they're normalizing putting a new type of DNA in your body.
[00:27:55.765 --> 00:28:02.290]  There are almost no free independent media infrastructures in the United States, much less in the entire world.
[00:28:02.290 --> 00:28:08.315]  InfoWars is standalone with our own radio and TV satellite uplinks at hundreds of stations picking us up.
[00:28:08.315 --> 00:28:18.763]  Almost no one else has that, especially anybody covering real issues of global populism, the right to self-defense, and exposing the anti-human globalist death agenda.
[00:28:19.543 --> 00:28:23.785]  That's why when we go out and shoot videos, they're at Band.Video.
[00:28:23.785 --> 00:28:28.228]  They're not allowed to be on Twitter, on YouTube, on Facebook.
[00:28:28.228 --> 00:28:36.632]  That's why it's so precious, because the censorship expands to everyone, which it is now, with AI monitoring and controlling what you can say and do.
[00:28:36.632 --> 00:28:43.556]  It's going to be the OACs like Band.Video and the now redesigned Infowars.com that become more and more important, which they are.
[00:28:43.996 --> 00:28:51.586]  And the enemy is suing us, attacking us, hacking us, lying about us, sabotaging us, infiltrating us, trying to shut us down right now.
[00:28:51.586 --> 00:28:53.468]  They're coming after everyone.
[00:28:53.468 --> 00:28:55.310]  So spread the word now.
[00:28:55.310 --> 00:28:59.856]  Introducing InfoWars Life Pure Turmeric Extract.
[00:28:59.856 --> 00:29:01.438]  This is taken under the tongue.
[00:29:02.381 --> 00:29:04.563]  It is pure turmeric.
[00:29:04.563 --> 00:29:13.773]  It goes together very well with our body's ultimate turmeric formula that is taken as a powdered capsule and absorbed in the stomach and intestines.
[00:29:13.773 --> 00:29:19.619]  This is absorbed under the tongue, into the bloodstream, and then the remaining also is then absorbed by the stomach.
[00:29:19.619 --> 00:29:21.782]  So it's more of an intense delivery system.
[00:29:22.222 --> 00:29:25.444]  The two formulas are different, but both are concentrates.
[00:29:25.444 --> 00:29:27.305]  And our first product got rave reviews.
[00:29:27.305 --> 00:29:29.426]  We've now been testing this out for several months.
[00:29:29.426 --> 00:29:31.607]  Some of our staff like it more than bodies.
[00:29:31.607 --> 00:29:32.968]  Some like bodies better.
[00:29:32.968 --> 00:29:37.090]  For me, they're both amazing for their anti-inflammatory action and so much more.
[00:29:37.090 --> 00:29:38.290]  And they fund the InfoWar.
[00:29:38.290 --> 00:29:42.873]  So get our new liquid turmeric extract exclusively at InfoWarStore.com today.
[00:29:42.873 --> 00:29:43.893]  Get an additional 25% off.
[00:29:43.893 --> 00:29:44.273]  This is a 360 win.
[00:29:47.395 --> 00:29:52.485]  Tumeric is renowned for what it does for all of our bodies, for inflammation and so much more.
[00:29:52.485 --> 00:29:57.293]  Get yours today at InfoWarsLife.com.
[00:29:57.293 --> 00:29:59.918]  You're listening to the Alex Jones Show!
[00:30:21.311 --> 00:30:24.392]  It's called a big Trump win.
[00:30:24.392 --> 00:30:30.895]  And it's in 21 days that it's going to be contested.
[00:30:30.895 --> 00:30:32.395]  And the globalists are going to try to block it.
[00:30:32.395 --> 00:30:36.357]  They're going to try to obfuscate, try to break the country up.
[00:30:36.357 --> 00:30:38.137]  But they're not Americans.
[00:30:38.137 --> 00:30:39.618]  They believe the country shouldn't even exist.
[00:30:39.618 --> 00:30:42.839]  They're globalists.
[00:30:42.839 --> 00:30:44.080]  Get on your host Alex Jones.
[00:30:44.080 --> 00:30:46.641]  We've got so much to cover, so much to get into.
[00:30:46.641 --> 00:30:48.781]  Let me do this.
[00:30:48.781 --> 00:30:50.122]  Just to give you an idea of what we got on the
[00:30:52.543 --> 00:30:53.744]  On the table here in front of us.
[00:30:53.744 --> 00:30:59.870]  We've got Laura Loomer joining us in the third hour because she had Skype problems last week.
[00:30:59.870 --> 00:31:01.992]  She had a lot of news to break.
[00:31:01.992 --> 00:31:05.655]  We're going to open the phones up.
[00:31:05.655 --> 00:31:11.941]  We're going to be taking your phone calls coming up next hour.
[00:31:11.941 --> 00:31:13.283]  And we're going to be getting into
[00:31:14.764 --> 00:31:15.885]  Not just that the U.N.
[00:31:15.885 --> 00:31:29.457]  has officially come out and said the lockdown's killing way more people, and the checkpoints, and the masks, and just all the breakdown of society, and the shutdown of businesses is killing way more than COVID-19 ever dreamed of.
[00:31:29.457 --> 00:31:41.087]  Even The Nation magazine has come out against Bill Gates, and now he really is tax-exempt because he gives money to other companies he owns as a way to get around taxes.
[00:31:41.766 --> 00:31:44.207]  And that's how he's become one of the richest men on earth.
[00:31:44.207 --> 00:31:46.728]  While the poor get sick, Bill Gates gets richer.
[00:31:46.728 --> 00:31:50.570]  Just incredible to have them actually telling the truth about that.
[00:31:50.570 --> 00:31:54.212]  It makes the heads spin.
[00:31:54.212 --> 00:31:57.473]  Meanwhile, the social unrest that the globalists have going on.
[00:31:57.473 --> 00:32:01.075]  Rioters topple Abraham Lincoln, Teddy Roosevelt statues in Portland.
[00:32:01.075 --> 00:32:02.796]  Museum windows smashed out.
[00:32:03.769 --> 00:32:15.414]  The next segment, I'm going to cover an article out of the New York Times saying, in search of Antifa, in search of looters, in search of rioters, and the New York Times says it doesn't exist.
[00:32:15.414 --> 00:32:18.075]  Well, I've got a video that's going to go with that that shows you.
[00:32:20.074 --> 00:32:24.440]  Shows you how that doesn't exist.
[00:32:24.440 --> 00:32:35.414]  Meanwhile, China holds military invasion drills of Hong Kong and Taiwan amid tensions with Taiwan is doing fighter bomber flyovers of the city's provocative
[00:32:38.706 --> 00:32:56.372]  Attack run test and are threatening to attack US ships that they say are in Chinese waters that the Chinese just declared the entire South China Sea basically to be theirs all the way up to the north of Japan and the islands to the Spratlys down into the Philippines.
[00:32:56.372 --> 00:33:05.154]  They've even been attacking Vietnamese waters and ships and taking oil rigs that are in waters 400 miles from
[00:33:07.645 --> 00:33:10.867]  The coast of China.
[00:33:10.867 --> 00:33:15.191]  You look at China, it's right here, and then there's Vietnam down below it.
[00:33:15.191 --> 00:33:22.837]  I mean, they're down in southern Vietnam, grabbing, sending troops in and killing everybody on oil rigs and taking them over.
[00:33:22.837 --> 00:33:25.719]  I mean, China is out of control.
[00:33:25.719 --> 00:33:33.024]  Imagine the United States just randomly pulled up somebody's oil rigs without declaring war, just blew up the
[00:33:34.420 --> 00:33:35.600]  Command Center and took it over.
[00:33:35.600 --> 00:33:45.262]  That's what's going on on a routine basis, but it barely even hits the news.
[00:33:45.262 --> 00:33:50.963]  But you can look at it, you know, Chinese takeover of Vietnamese oil rigs.
[00:33:50.963 --> 00:33:51.964]  Kill those on board.
[00:33:51.964 --> 00:34:00.565]  And they're building all these islands out there and then claiming that they've got hundreds of square miles around each island is now theirs.
[00:34:00.565 --> 00:34:03.366]  And they're putting all these weapons systems and missile launchers on them.
[00:34:05.401 --> 00:34:05.901]  Crazy!
[00:34:05.901 --> 00:34:14.968]  And then Trump says we shouldn't roll over to it, and oh, he's a bad guy, ladies and gentlemen.
[00:34:14.968 --> 00:34:22.393]  No, he's getting us out of wars that we shouldn't be in, and standing up to people that are trying to push the entire planet around.
[00:34:22.393 --> 00:34:28.477]  It's like Japan 2.0, but this time it's the communist Chinese.
[00:34:30.060 --> 00:34:38.602]  That are doing it because they've been greenlit by elites here in the West to do it, who believe they can get rid of Trump and believe China can push us around.
[00:34:38.602 --> 00:34:41.243]  It's outrageous.
[00:34:41.243 --> 00:34:47.845]  Now, I've got more than 30 incredible clips, but again, I maybe once a week, we'll play a clip twice in a row.
[00:34:47.845 --> 00:34:48.705]  I'm about to do that now.
[00:34:48.705 --> 00:34:50.545]  I started the show with it.
[00:34:50.545 --> 00:34:51.225]  You may have missed it.
[00:34:51.225 --> 00:34:56.527]  It's a big deal because when I saw this clip yesterday and then I saw that it was on Infowars.com,
[00:34:59.505 --> 00:35:08.230]  It made me think to what we saw with our ancestors, many of ours leaving Europe to get away from the kings and oppression and served them to come here.
[00:35:08.230 --> 00:35:14.333]  That many other folks came to America seeking a better life, seeking basic freedoms.
[00:35:14.333 --> 00:35:25.059]  And how when you hear about an exodus out of California, it's not really an exodus out of California, it's an exodus, a fleeing from a political oppressive system.
[00:35:27.614 --> 00:35:32.135]  And so Bill Maher is finally recognizing that there's a supposed exodus.
[00:35:32.135 --> 00:35:36.517]  He's postulating, is there an exodus?
[00:35:36.517 --> 00:35:41.258]  There's been a brain drain and a financial drain for 20 years out of California.
[00:35:41.258 --> 00:35:50.661]  It was once a vibrant red state, once very populous, once very pro-American, once beautiful and clean and good and a world destination.
[00:35:50.661 --> 00:35:55.382]  Much of California now represents a dystopic science fiction nightmare.
[00:35:56.476 --> 00:36:01.618]  I don't have to go over all that for you, but it's because the globalists are trying to bankrupt all of America.
