[00:00:02.431 --> 00:00:04.673]  January 21st, 2020.
[00:27:22.398 --> 00:27:28.503]  is a peaceful society or assembly because people don't start throwing punches.
[00:27:28.503 --> 00:27:31.665]  That's one of the reasons why Antifa didn't show up.
[00:27:31.665 --> 00:27:35.669]  One person said, today the sheer numbers here speak for itself.
[00:27:35.669 --> 00:27:37.510]  I hope our legislators will back off.
[00:27:37.510 --> 00:27:40.592]  Today was the civil rights march of my life.
[00:27:40.592 --> 00:27:48.819]  Now, when Ralph Northam took credit for saving Virginia, one of the things he said was, I will continue to listen to the voices of Virginians.
[00:27:50.817 --> 00:27:52.418]  And that's not what he's doing.
[00:27:52.418 --> 00:27:58.701]  The Democrats have said now, openly said, Speaker of the House and others, we're moving forward with all this gun legislation.
[00:27:58.701 --> 00:28:02.383]  We don't care about tens of thousands of people.
[00:28:02.383 --> 00:28:09.626]  Law enforcement is admitting that it's 22,000 or the Virginia government that counted the people.
[00:28:09.626 --> 00:28:10.887]  I believe it was much more than that.
[00:28:11.698 --> 00:28:23.902]  And that was in spite of Northern using Northern, it could be Northern, I don't know, but no, anyway, using this so-called threat of violence against everybody.
[00:28:23.902 --> 00:28:27.463]  Anybody shows up, it's going to be civil war in the streets, don't show up!
[00:28:27.463 --> 00:28:30.164]  Using that to scare people away.
[00:28:30.164 --> 00:28:32.545]  Well, it didn't scare away these people.
[00:28:32.545 --> 00:28:39.767]  One individual said, whenever there's a large group like the one here carrying firearms about safety, you know, we never have any problems.
[00:28:40.563 --> 00:28:42.906]  It's a sense of security, he says.
[00:28:42.906 --> 00:28:44.428]  And that's exactly what it was.
[00:28:44.428 --> 00:28:46.350]  Alright, we're going to be right back.
[00:28:46.350 --> 00:28:55.460]  We've got some more clips of what happened yesterday, and then Alex Jones is going to be joining us this hour to talk about the beginning of the impeachment hoax.
[00:28:55.460 --> 00:28:56.501]  Hashtag impeachment hoax.
[00:28:57.682 --> 00:29:03.407]  Finally, there's a way for you to get into the blockchain, the hottest financial sector without all the speculation.
[00:29:03.407 --> 00:29:08.511]  Now, enjoy a 27% annualized payment each month without the ups and downs of Bitcoin.
[00:29:08.511 --> 00:29:16.237]  Seen on programs broadcast on Fox Business News, blockchain data centers offer an equipment leasing program in the explosive digital asset marketplace.
[00:29:16.237 --> 00:29:24.124]  Inspired by entrepreneurs who sold picks and shovels during the gold rush, the money is in the mining equipment used to manufacture dozens of critical digital assets.
[00:29:24.284 --> 00:29:26.085]  Not a security IPO or note.
[00:29:26.085 --> 00:29:35.589]  Blockchain data centers have a proven turnkey equipment sale leaseback program with a 27% annualized lease payment deposited into your bank account each month.
[00:29:35.589 --> 00:29:36.450]  Don't miss this one.
[00:29:36.450 --> 00:29:37.750]  Stake your claim today.
[00:29:37.750 --> 00:29:38.010]  Call 800-600-3388.
[00:29:38.010 --> 00:29:38.350]  That's 800-600-3388.
[00:29:38.350 --> 00:29:40.431]  These valuable lease contracts won't last long.
[00:29:40.431 --> 00:29:40.671]  Call now.
[00:29:40.671 --> 00:29:40.731]  800-600-3388.
[00:29:40.731 --> 00:29:40.771]  800-600-3388.
[00:29:51.857 --> 00:30:02.822]  I would thank you for everything you've done for the Infowar, but I know you're like me.
[00:30:02.822 --> 00:30:04.743]  You don't want my thanks.
[00:30:04.743 --> 00:30:10.705]  You want victory over the globalists and these devil worship and child molesters, and you want them off your back and off your children's back.
[00:30:10.705 --> 00:30:11.826]  And you know what?
[00:30:11.826 --> 00:30:15.168]  I'm the same way, and that's why we're on the same damn team.
[00:30:15.168 --> 00:30:19.450]  And it's why Infowars has been delivering time and time again, when it's clutch time.
[00:30:20.461 --> 00:30:24.482]  To focus the people on taking action against the globalists.
[00:30:24.482 --> 00:30:28.223]  Because I'm committed to a future for humanity.
[00:30:28.223 --> 00:30:29.843]  And I know you are as well.
[00:30:29.843 --> 00:30:33.424]  So thank you in 2019 for standing with us because you are the Infowar.
[00:30:33.424 --> 00:30:37.946]  And I want to thank you for committing to stand with us in 2020 however you can.
[00:30:37.946 --> 00:30:44.547]  From the bottom of my heart, from my family, and from the great crew at Infowars, I want to thank you all because you are the Infowar.
[00:30:44.547 --> 00:30:46.648]  And you know that's not just words, that's reality.
[00:30:47.702 --> 00:30:49.323]  You have made history.
[00:30:49.323 --> 00:30:50.523]  We have made history together.
[00:30:50.523 --> 00:30:55.765]  Infowars.com only has power because of you.
[00:30:55.765 --> 00:30:58.186]  And I suggest you use it.
[00:30:58.186 --> 00:31:01.328]  I've got to really hand it to the listeners and viewers of Infowars.
[00:31:02.355 --> 00:31:12.726]  Your support and your help in rebooting Americana as a challenge to the globalist system of corporate tyranny has really caught hold, not just here in the U.S., but worldwide.
[00:31:12.726 --> 00:31:19.493]  And President Trump's fearlessness when it comes to promoting Americana and basic liberty is amazing as well.
[00:31:20.254 --> 00:31:30.012]  He's still lacking on the big tech censorship, taking action against that and some other areas, but trying to end the wars, boosting our economy, speaking out against communist China.
[00:31:30.012 --> 00:31:32.716]  Trump's been doing an amazing job, but now more than ever.
[00:31:33.558 --> 00:31:38.722]  We really have to realize that we're being targeted because we are effective.
[00:31:38.722 --> 00:31:43.687]  And the globalists are beginning to lose their war against humanity in a big way.
[00:31:43.687 --> 00:31:46.069]  And so we're going to see some major fireworks out of them.
[00:31:46.069 --> 00:31:51.833]  But it's critical to not let ourselves get down when we see all the poison they spray at us.
[00:31:51.833 --> 00:31:53.835]  That's an attempt to demoralize us.
[00:31:53.835 --> 00:31:56.938]  We've got to remember that and stay focused and stay happy.
[00:31:58.453 --> 00:32:08.536]  It is I, the leader of Cobra, here for a message to President Trump, the American people, and Alex Jones of InfoWars.
[00:32:08.536 --> 00:32:14.517]  Our operations with our partners, the Communist Chinese, have bought control of your media.
[00:32:14.517 --> 00:32:16.337]  But it's true.
[00:32:16.337 --> 00:32:19.518]  Your people are beginning to awaken.
[00:32:19.518 --> 00:32:22.619]  That's why Cobra is launching Operation
[00:32:22.679 --> 00:32:23.640]  We're good to go.
[00:32:41.295 --> 00:32:55.264]  You see, when you expose our false flags and fake media, I will carry out attacks and then blame you, like we've done with Alex Jones, blaming him for mass shootings we committed!
[00:32:55.264 --> 00:32:56.464]  Ha ha!
[00:32:56.464 --> 00:33:01.147]  Hail Cobra!
[00:33:01.147 --> 00:33:03.789]  You're listening to the Alex Jones Show.
[00:33:20.157 --> 00:33:24.219]  Infowars.com is tomorrow's news.
[00:33:24.219 --> 00:33:33.584]  Today, you're listening to the Alex Jones Show.
[00:33:33.584 --> 00:33:41.869]  Ladies and gentlemen of Virginia!
[00:33:41.869 --> 00:33:47.572]  Today you show your cowardly governor that he is not going to take away your rights!
[00:33:52.274 --> 00:34:01.543]  Today you show the corrupt Democrat Party they're not going to take away your rights.
[00:34:01.543 --> 00:34:10.712]  And today we show the anti-American media that we're not going to be silenced.
[00:34:10.712 --> 00:34:12.194]  And you know damn well
[00:34:13.112 --> 00:34:22.899]  You know damn well the only reason that Governor Northam declared a state of emergency is because his own reputation as governor is in a state of emergency.
[00:34:26.697 --> 00:34:40.212]  And you know, he didn't want all these people covering every bit of green grass on the Capitol grounds because those optics would totally defeat him.
[00:34:40.212 --> 00:34:41.954]  And so he lied.
[00:34:41.954 --> 00:34:44.817]  And he said that he knew of imminent danger here.
[00:34:44.817 --> 00:34:47.900]  But all I see is God-fearing, American-loving
[00:34:54.474 --> 00:34:59.837]  And so wherever that chicken shit governor is hiding, make sure he hears you right now!
[00:34:59.837 --> 00:35:00.158]  USA!
[00:35:00.158 --> 00:35:00.518]  USA!
[00:35:00.518 --> 00:35:00.658]  USA!
[00:35:06.852 --> 00:35:07.052]  USA!
[00:35:07.052 --> 00:35:08.053]  USA!
[00:35:08.053 --> 00:35:08.573]  USA!
[00:35:08.573 --> 00:35:08.833]  USA!
[00:35:25.525 --> 00:35:26.946]  USA!
[00:35:26.946 --> 00:35:28.367]  USA!
[00:35:28.367 --> 00:35:29.768]  USA!
[00:35:29.768 --> 00:35:30.549]  USA!
[00:35:30.549 --> 00:35:35.613]  Now you know, you know the media is going to lie about what happened out here today.
[00:35:35.613 --> 00:35:39.496]  But you guys are all out here to tell the truth.
[00:35:39.496 --> 00:35:44.720]  And you guys are out here filming and you're going to tell your friends and family the truth about what happened in Virginia today.
[00:35:45.743 --> 00:35:53.790]  This is a total victory for the United States of America, and this is a total victory for free speech.
[00:35:53.790 --> 00:36:05.039]  And whatever they want to do, and whatever they want to do in the halls of that building, if they take away your rights, it will not be done without a resistance
[00:36:13.686 --> 00:36:16.047]  Yeah, dead people voting, yeah.
[00:36:37.156 --> 00:36:37.877]  Yeah, Bloomberg.
[00:36:37.877 --> 00:36:42.004]  Well, I think it's pretty obvious that Ralph Northam should resign here today.
[00:36:48.018 --> 00:36:49.379]  Re-sign Brown!
[00:37:11.725 --> 00:37:29.535]  I've been to a lot of different protests, but I've never seen the energy that I've seen here today, except maybe at a Trump rally.
[00:37:29.535 --> 00:37:36.579]  So this is what America looks like, and the reason why Ralph Northam isn't here today is because he's scared to death of America!
[00:37:39.628 --> 00:37:44.649]  And we know that Ralph Northam is corrupt, and we know he's trying to set your free speech.
[00:37:44.649 --> 00:37:49.950]  That's why he bought this off of the Capitol grounds, and we know he's trying to take your Second Amendment rights.
[00:37:49.950 --> 00:37:52.050]  That's why they're working on registration.
[00:37:52.050 --> 00:37:57.211]  But he heard that hundreds of thousands of people were going to be out here, so he's hiding in a hole today.
[00:37:57.211 --> 00:37:59.071]  That coward didn't even come out here today.
[00:37:59.071 --> 00:38:00.252]  Can you believe that?
[00:38:00.252 --> 00:38:00.652]  He is?
[00:38:09.995 --> 00:38:11.976]  So God bless Virginia.
[00:38:11.976 --> 00:38:14.357]  God bless the United States of America.
[00:38:14.357 --> 00:38:21.101]  And one more time, whatever hole that Pollard Ralph Northam is hiding in right now, make sure he can hear you.
[00:38:21.101 --> 00:38:21.441]  USA!
[00:38:21.441 --> 00:38:21.902]  USA!
[00:38:21.902 --> 00:38:22.222]  USA!
[00:38:26.364 --> 00:38:26.865]  USA!
[00:38:26.865 --> 00:38:27.005]  USA!
[00:38:27.005 --> 00:38:27.265]  USA!
[00:38:27.265 --> 00:38:27.325]  USA!
[00:38:46.240 --> 00:38:57.283]  Alright, you can see there's a crowd there, and yet we have the AP saying, I was prepared, this is a gun control advocate that they quote, the Associated Press, just to push back on all of this.
[00:38:57.283 --> 00:39:01.584]  I was prepared to see a whole lot more people show up than actually did.
[00:39:01.584 --> 00:39:04.425]  I don't think they could fit any more people there.
[00:39:04.425 --> 00:39:09.026]  And I think it's an indication that a lot of this rhetoric is bluster, quite frankly.
[00:39:10.458 --> 00:39:19.021]  It doesn't matter that virtually every county has declared itself in defiance of the Democrats' plans to remove the Second Amendment.
[00:39:19.021 --> 00:39:19.961]  That's just bluster.
[00:39:19.961 --> 00:39:25.462]  It doesn't matter that the sheriffs have said they're going to deputize people, that they're not going to enforce the law.
[00:39:25.462 --> 00:39:27.703]  It's just bluster.
[00:39:27.703 --> 00:39:37.046]  And you have Democrat lawmakers, including House Speaker Eileen Fillercorn, a hyphenated female, and Senate Majority Leader Dick Saslaw.
