[00:00:12.403 --> 00:00:14.684]  Wednesday, February 12, 2020.
[00:27:15.211 --> 00:27:17.312]  You think it made the American people want to back down?
[00:27:18.214 --> 00:27:19.676]  It did the opposite.
[00:27:19.676 --> 00:27:23.402]  It made us really want to get our hands around your throats.
[00:27:25.103 --> 00:27:25.703]  That's what it did.
[00:27:25.703 --> 00:27:31.727]  It made me work even more hours, and have more energy, and get in better shape, and get closer to God.
[00:27:31.727 --> 00:27:35.270]  And your persecution made me stronger.
[00:27:35.270 --> 00:27:36.390]  Frederick Nietzsche's right.
[00:27:36.390 --> 00:27:38.772]  That which does not kill you only makes you stronger.
[00:27:38.772 --> 00:27:47.237]  But only because of God, and God working through the audience that supported us, just like I have that spirit, you have that spirit, viewers.
[00:27:47.237 --> 00:27:51.160]  That's why when you call in and thank me, are you kidding me?
[00:27:51.160 --> 00:27:52.761]  Thank you!
[00:27:52.761 --> 00:27:54.122]  Because I've got a heart to fight.
[00:27:57.193 --> 00:28:00.314]  But you had to keep us in the game and we're not out of the woods yet.
[00:28:00.314 --> 00:28:05.736]  But let me tell you, I can kind of see some openings and see some pretty green hills out there.
[00:28:05.736 --> 00:28:06.856]  We're getting close.
[00:28:06.856 --> 00:28:08.677]  There'll be more woods we got across later.
[00:28:08.677 --> 00:28:09.677]  That's the way life is.
[00:28:09.677 --> 00:28:12.018]  There's no utopia we're offering like Bernie Sanders does.
[00:28:14.167 --> 00:28:19.709]  America's been down on its knees a long time, and America's starting to stand up.
[00:28:19.709 --> 00:28:21.590]  And that is a beautiful, beautiful thing.
[00:28:21.590 --> 00:28:23.191]  So we're going to come back, play a bunch of clips.
[00:28:23.191 --> 00:28:24.891]  I'm going to give the number out.
[00:28:24.891 --> 00:28:32.314]  First-time callers, again, I want to get your take on the world, what you think of Trump beginning to move forward against the deep state, what else he needs to do, how they're going to counter-strike.
[00:28:32.314 --> 00:28:32.694]  877-789-ALEX.
[00:28:32.694 --> 00:28:32.754]  877-789-2539.
[00:28:32.754 --> 00:28:34.295]  International line, your country code, 512-646.
[00:28:42.019 --> 00:28:44.022]  1776, but make no mistake.
[00:28:44.022 --> 00:28:45.023]  This is the tip of the spear.
[00:28:45.023 --> 00:28:48.508]  This is the epicenter of the global populist awakening.
[00:28:48.508 --> 00:28:52.414]  The audience of this broadcast is not an audience.
[00:28:52.414 --> 00:28:55.278]  You are the men and women at the center of the arena.
[00:28:55.278 --> 00:28:56.600]  You are amazing.
[00:28:57.805 --> 00:28:59.767]  Heart disease is on the rise.
[00:28:59.767 --> 00:29:05.090]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:29:05.090 --> 00:29:06.672]  But the symptoms are there.
[00:29:06.672 --> 00:29:15.038]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:29:15.038 --> 00:29:20.722]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:29:20.882 --> 00:29:22.704]  My blood pressure has normalized.
[00:29:22.704 --> 00:29:24.987]  My diabetes has totally improved.
[00:29:24.987 --> 00:29:29.373]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[00:29:29.373 --> 00:29:31.575]  I recommend Heart and Body Extract to everyone.
[00:29:31.575 --> 00:29:39.425]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:29:39.465 --> 00:29:43.627]  Order your two month supply today by calling 8 6 6 2 9 5 5 3 0 5.
[00:29:43.627 --> 00:29:47.509]  That's 8 6 6 2 9 5 5 3 0 5.
[00:29:47.509 --> 00:29:48.729]  Or order online.
[00:29:48.729 --> 00:29:52.811]  HB extract .com heart and body extract 8 6 6 2 9 5 5 3 0 5 or HB extract .com
[00:30:00.902 --> 00:30:11.348]  Cobra Commander here reminding you to not own firearms, to not take supplements, to not get sunshine, and to not love Jesus.
[00:30:11.348 --> 00:30:19.852]  And of course, do not get storable foods or any other types of colloidal nano-silver at InfoWarsTore.com.
[00:30:19.852 --> 00:30:21.753]  Do not do it.
[00:30:21.753 --> 00:30:26.956]  Trust CNN, trust MSNBC, drink fluoridated water,
[00:30:27.456 --> 00:30:36.441]  Just like the loving kiss of a king cobra pumping deadly, I mean loving, helpful nutrients into your body.
[00:30:36.441 --> 00:30:38.223]  Hug the cobra.
[00:30:38.223 --> 00:30:40.004]  Love the cobra.
[00:30:40.004 --> 00:30:41.504]  Kiss the cobra.
[00:30:41.504 --> 00:30:49.249]  But never, never go to InfoWars.com or InfoWarsStore.com!
[00:30:49.249 --> 00:30:52.171]  Do not order those products!
[00:30:52.171 --> 00:30:53.692]  Silence Jones!
[00:30:59.827 --> 00:31:05.050]  Allergies, dander, asthma, germs, toxins.
[00:31:05.050 --> 00:31:09.332]  There are many reasons why we need to think about what is really in the air around us.
[00:31:09.332 --> 00:31:13.774]  We may not be able to stop breathing, but we can control what's in the air we breathe.
[00:31:13.774 --> 00:31:22.178]  The revolutionary Alexa Pure Breathe air filtration system is a powerful ally in the fight against the dangerous toxins and viruses in the air.
[00:31:22.178 --> 00:31:29.402]  Powerful, quiet, and effective, the Breathe uses a four-step purification process to help you breathe easier and cleaner.
[00:31:29.822 --> 00:31:33.425]  Similar systems could cost hundreds to even thousands of dollars.
[00:31:33.425 --> 00:31:38.749]  But the Alexa Pure Breeze air purification is the best and most affordable bar none.
[00:31:38.749 --> 00:31:46.815]  The breeze and the ion cluster patented technology used in the system eliminate up to 99.97% of airborne contaminants.
[00:31:46.815 --> 00:31:52.199]  Get the Alexa Pure Breeze today and save big on a world-class air filtration system for your home.
[00:31:52.199 --> 00:31:54.461]  Don't keep breathing toxic or dangerous air.
[00:31:54.461 --> 00:31:56.502]  Get this special today at Infowarsstore.com.
[00:31:58.377 --> 00:32:11.828]  I have confirmed with high-level sources that President Trump is intending to either pardon Roger Stone after his sentencing or give him clemency, saying the conviction stands but you now basically don't go to jail.
[00:32:11.828 --> 00:32:14.210]  Either way, this is incredibly good news.
[00:32:15.071 --> 00:32:17.113]  Let's not forget Julian Assange.
[00:32:17.113 --> 00:32:22.177]  That's one of the biggest black marks on Trump is that he famously said, I don't know who got the emails.
[00:32:22.177 --> 00:32:23.478]  I don't know where they came from.
[00:32:23.478 --> 00:32:26.040]  The Russians, a fat dude in his mom's basement.
[00:32:26.040 --> 00:32:27.701]  Whoever's got them, release them.
[00:32:27.701 --> 00:32:31.124]  It's about Hillary committing a crime, not who has the emails.
[00:32:31.124 --> 00:32:32.365]  Don't change the subject.
[00:32:32.365 --> 00:32:35.387]  Well, Julian Assange undoubtedly took Trump over the top.
[00:32:35.387 --> 00:32:37.069]  The Wikileaks exposed the deep state.
[00:32:37.069 --> 00:32:38.290]  The man is a hero.
[00:32:38.290 --> 00:32:39.691]  Daniel Ellsberg was a hero.
[00:32:40.231 --> 00:32:45.753]  Assange is even a bigger hero and he's rotting in solitary confinement and the court hearings can barely talk.
[00:32:45.753 --> 00:32:52.175]  President Trump, do the right thing and ask the British to release Julian Assange and give him a medal.
[00:32:52.175 --> 00:32:55.196]  President Trump, you must release Julian Assange!
[00:32:55.196 --> 00:32:56.816]  Free Julian Assange!
[00:32:56.816 --> 00:33:01.558]  Free Julian Assange!
[00:33:01.558 --> 00:33:04.199]  You're listening to the Alex Jones Show.
[00:33:30.575 --> 00:33:33.498]  I don't care what mainstream media calls me.
[00:33:33.498 --> 00:33:38.483]  The same mainstream media caught launching hoaxes routinely.
[00:33:38.483 --> 00:33:40.344]  But I do care about what God thinks.
[00:33:40.344 --> 00:33:42.386]  I do care about what you think.
[00:33:42.386 --> 00:33:43.788]  I do care about what my children think.
[00:33:43.788 --> 00:33:49.133]  I want to be a man that they know stands up for what he knows is right.
[00:33:49.133 --> 00:33:50.374]  He doesn't back down from a fight.
[00:33:51.727 --> 00:33:53.508]  Because that's really what this life's all about.
[00:33:53.508 --> 00:33:57.670]  It's a test to see who you are.
[00:33:57.670 --> 00:33:59.331]  Selling out doesn't feel good, folks.
[00:33:59.331 --> 00:34:02.032]  Fighting back, having integrity.
[00:34:02.032 --> 00:34:03.232]  Well, it's what it's all about.
[00:34:03.232 --> 00:34:09.996]  The toll-free number to join us is 877-789-2539.
[00:34:09.996 --> 00:34:12.797]  877-789-ALEX.
[00:34:12.797 --> 00:34:16.639]  Got a lot of clips, a lot of news to cover, but I really just want to start taking a lot of your calls.
[00:34:16.639 --> 00:34:19.820]  But I want to just pull back and get back to what I was saying last segment.
[00:34:19.820 --> 00:34:21.301]  Because it cannot be overstated.
[00:34:24.485 --> 00:34:28.088]  The Democrats control their blue cities.
[00:34:28.088 --> 00:34:29.929]  They're hated.
[00:34:29.929 --> 00:34:31.290]  No one really votes for them.
[00:34:31.290 --> 00:34:33.772]  They're a total fraud.
[00:34:33.772 --> 00:34:39.856]  They do have some of the brainwashed college students and people that think they're part of the establishment that are useful idiots that go along with it.
[00:34:39.856 --> 00:34:51.245]  And they ruthlessly work with organized crime from MS-13 to the Chinese triads to bleed off all the money, to launder it, and to basically engage in crimes never before seen at this scale.
[00:34:53.834 --> 00:35:04.061]  And the blue blood Republicans went along with this for the last 50, 60 years, but they're being removed from power and they are systematically dying off right now.
[00:35:04.061 --> 00:35:09.445]  And so yes, President Trump is beginning to strike back and remove a lot of the deep staters.
[00:35:09.445 --> 00:35:14.269]  That's beautiful and wonderful, but we've got to keep the pressure now on Trump to make sure he does the right thing.
[00:35:14.269 --> 00:35:17.531]  And that leads me to this next point.
[00:35:17.531 --> 00:35:21.674]  There are two big reports out today that nexus together.
[00:35:24.346 --> 00:35:28.910]  And that's the fact that Russiagate was a premeditated hoax.
[00:35:28.910 --> 00:35:34.555]  Even the Federal FISA Court's own Inspector General has said that.
[00:35:34.555 --> 00:35:39.639]  And that it was done to illegally spy on the President.
[00:35:39.639 --> 00:35:51.330]  Well, if you watch the Congressional hearings, through which the Democrats gave the public orders, via Senator Blumenthal and others, to remove yours truly from the Internet,
[00:35:52.628 --> 00:36:12.166]  That was the precedent setting to do it to everybody else, and they did it in the Intelligence Committee in the Senate, and the House Armed Services Committee in the House, and the Judiciary Committee in the House, with hearings for hours, talking about myself, Roger Stone, and many others, saying, we work for the Russians.
[00:36:12.166 --> 00:36:14.268]  Now I'm not going to play those clips again, you won't hear them.
[00:36:16.049 --> 00:36:18.571]  And they have tech heads there going, what are you going to do?
[00:36:18.571 --> 00:36:20.732]  Paul Watson's story was top of Twitter.
[00:36:20.732 --> 00:36:23.754]  Infowars.com at lunch.
[00:36:23.754 --> 00:36:28.337]  They said, sir, we know, Congressman Quigley, we're going to get that banned.
[00:36:28.337 --> 00:36:33.800]  In fact, we banned it by the end of lunch.
[00:36:33.800 --> 00:36:35.061]  Quigley said, that's not good enough.
[00:36:35.061 --> 00:36:37.683]  I don't want their fake news up there at the top.
[00:36:37.683 --> 00:36:38.623]  What was the fake news?
[00:36:38.623 --> 00:36:39.464]  Just that one example.
[00:36:40.751 --> 00:36:44.152]  Was that a man had run over a crowd screaming Allah Akbar in New York.
[00:36:44.152 --> 00:36:44.632]  It was true.
[00:36:44.632 --> 00:36:52.134]  It was even on the local news, but nationally, they were able to suppress it was an Islamic attack.
[00:36:52.134 --> 00:36:58.096]  And so, the fake news litmus was, Congressman Quigley said it was fake.
