[00:00:16.519 --> 00:00:18.861]  It's Monday, September 7th.
[00:24:08.021 --> 00:24:11.183]  I would tell you that because I really have the sources and the research and the info.
[00:24:11.543 --> 00:24:13.564]  Now I told you that eight months ago, now it's all public.
[00:24:14.364 --> 00:24:14.824]  It's happening.
[00:24:15.545 --> 00:24:16.185]  And people aren't...
[00:24:17.739 --> 00:24:21.220]  Just moving to Texas and the Midwest and the South because they're sick of where they live.
[00:24:22.040 --> 00:24:22.740]  They don't have work.
[00:24:22.760 --> 00:24:23.520]  They don't have jobs.
[00:24:23.840 --> 00:24:24.740]  It's all shut down.
[00:24:25.280 --> 00:24:25.940]  It's ghost towns.
[00:24:26.360 --> 00:24:27.541]  These are refugees.
[00:24:28.241 --> 00:24:30.761]  And the third world is collapsing and more refugees are coming.
[00:24:31.101 --> 00:24:33.002]  This is the organized collapse of the West.
[00:24:33.062 --> 00:24:34.242]  The globalists don't want wealth.
[00:24:34.862 --> 00:24:35.562]  They don't want choice.
[00:24:35.582 --> 00:24:36.302]  They don't want independence.
[00:24:36.322 --> 00:24:39.783]  They want vertical, consolidated integration for a technocracy.
[00:24:39.863 --> 00:24:47.004]  So... But I tell you... But I tell you that
[00:24:48.399 --> 00:24:53.001]  You need to get ready, and you need to be very busy telling folks about Infowars.com.
[00:24:53.041 --> 00:24:59.204]  It's because being prepared is key, and spreading the word about the broadcast that is the antidote to the globalist poison is key.
[00:25:00.084 --> 00:25:11.550]  And I know you know that, but I'm telling you, we have seven major suppliers and a couple of smaller suppliers of high-quality organic and wild harvested, top-of-the-line supplements that we get
[00:25:12.455 --> 00:25:12.935]  We're good to go.
[00:25:28.374 --> 00:25:37.120]  Of the 7, now 5 are 2, 3, 4, 5, 6 months behind, and now they're just saying, hey, we're going to have to give you back the money you put as a down payment on that.
[00:25:37.660 --> 00:25:39.101]  We just can't open.
[00:25:39.161 --> 00:25:40.022]  Nothing's coming in.
[00:25:40.482 --> 00:25:42.984]  It's not being produced in the raw areas.
[00:25:43.784 --> 00:25:47.046]  If one person gets COVID, nobody dies, but the whole plant has to shut down.
[00:25:47.066 --> 00:25:49.908]  And it's happening to food distribution centers.
[00:25:49.948 --> 00:25:51.049]  It's happening to warehouses.
[00:25:52.110 --> 00:25:57.013]  It's why you can't get a lot of furniture you want to order, or just all sorts of things you want aren't there anymore.
[00:25:59.085 --> 00:26:03.728]  And so the globalists want a global depression, whether Trump gets in or out.
[00:26:03.928 --> 00:26:05.509]  He's trying to prop it up, he's trying to save it.
[00:26:05.709 --> 00:26:06.909]  We want to elect Trump, that's great.
[00:26:08.310 --> 00:26:20.196]  But all of this COVID lockdown and going after the dollar and all the media attacking the dollar and attacking the stock market, that's part of a larger plan to bring us into a depression for four or five years, to bring in contact tracing.
[00:26:20.457 --> 00:26:21.617]  It's the Marshall Law cover.
[00:26:21.637 --> 00:26:26.200]  They're not going to give you a depression and say, we're going to track you now, where you go and what you do for political reasons.
[00:26:27.442 --> 00:26:29.524]  It's been done for COVID, but don't leave your house.
[00:26:29.804 --> 00:26:32.145]  You can't have a rally unless it's one of our rallies.
[00:26:32.946 --> 00:26:35.648]  Whether it's Europe or Australia or the U.S., you know, this is the same.
[00:26:36.929 --> 00:26:41.492]  This is how they freeze the opposition, the nationalists, the patriots, the counter-revolution with COVID.
[00:26:42.312 --> 00:26:43.413]  And they freeze your businesses.
[00:26:43.493 --> 00:26:44.154]  You're not essential.
[00:26:45.740 --> 00:26:48.081]  While they destroy your currency and bring you to your knees.
[00:26:48.121 --> 00:26:50.482]  So horrible times are coming.
[00:26:51.362 --> 00:26:52.522]  Absolute hell on earth.
[00:26:53.243 --> 00:26:56.064]  And maybe if Trump gets elected we can have a soft landing.
[00:26:56.424 --> 00:26:57.864]  But I don't think so.
[00:26:58.004 --> 00:26:59.365]  And I just have to tell you the truth.
[00:26:59.685 --> 00:27:02.666]  I just can't soften stuff for you and I can't lie to you.
[00:27:03.226 --> 00:27:05.808]  That's why the enemy wants you to think everything's handled, everything's great.
[00:27:06.169 --> 00:27:06.769]  It's not great.
[00:27:07.149 --> 00:27:09.491]  They purposely collapsed all the blue cities and blue states.
[00:27:10.032 --> 00:27:10.973]  It is hell on earth.
[00:27:11.433 --> 00:27:13.595]  There are thousands of suicides a day.
[00:27:14.696 --> 00:27:17.979]  There are tens of thousands a week of drug overdoses.
[00:27:18.779 --> 00:27:20.801]  The media has pedophilia all over it.
[00:27:21.081 --> 00:27:22.743]  They are breaking our will right now.
[00:27:22.843 --> 00:27:24.144]  I don't believe they're going to win in the end.
[00:27:24.784 --> 00:27:27.407]  God promised that, but you have to know that
[00:27:28.868 --> 00:27:33.753]  People are in for a rude awakening, so you need to get your storable food at InfoWareStore.com right now.
[00:27:33.813 --> 00:27:35.554]  They have the food one to two weeks.
[00:27:35.674 --> 00:27:36.975]  They built their supply chain up.
[00:27:37.016 --> 00:27:39.778]  They expanded when others contracted in the last eight months.
[00:27:40.339 --> 00:27:46.144]  But I guarantee you, when people figure this out, they're going to end up at eight weeks, ten weeks, twelve weeks, and stop sales again like they did.
[00:27:46.805 --> 00:27:54.592]  They believe, and I believe, that by January of next year, even though Trump will hopefully be inaugurated, that the global depression is going to be so evident
[00:27:56.072 --> 00:27:59.985]  And the left's going to keep the riots going, and the breakdown of supply chains is going to be so evident, and the...
[00:28:01.869 --> 00:28:09.552]  You know, people think in the world's ending, because it kind of is in a way, not having the infrastructure operate, the supply chain is going to break down massively, as it already has, but even worse.
[00:28:10.052 --> 00:28:19.736]  So, I'm telling you, if you want to get the supplements, and you want to get the t-shirts, and the books, the films, there could very easily come a point where we can't get any of these items.
[00:28:19.756 --> 00:28:25.439]  Because a lot of them, you notice of our catalog of 60 plus items, like 9 or 10 are already gone.
[00:28:25.959 --> 00:28:27.139]  And a lot of them were big sellers.
[00:28:27.360 --> 00:28:28.180]  You can't get it.
[00:28:29.801 --> 00:28:30.561]  You can't get it.
[00:28:31.869 --> 00:28:32.990]  Especially complex formulas.
[00:28:33.010 --> 00:28:35.051]  There's something like 8-Pak PowerSec that became very popular.
[00:28:35.271 --> 00:28:36.132]  It's got 13 pills.
[00:28:36.632 --> 00:28:37.092]  13 different things.
[00:28:37.133 --> 00:28:38.694]  Four or five of them we can't get.
[00:28:38.734 --> 00:28:42.356]  So that product, what we've got is what we've got.
[00:28:42.796 --> 00:28:43.737]  This is bad, folks.
[00:28:43.937 --> 00:28:45.378]  I have to run my own infrastructure.
[00:28:45.398 --> 00:28:46.259]  I'm not just a talk show host.
[00:28:46.359 --> 00:28:47.339]  I know business.
[00:28:47.379 --> 00:28:48.540]  I know infrastructure.
[00:28:48.600 --> 00:28:49.361]  I'm involved in everything.
[00:28:50.081 --> 00:28:50.982]  That's just the way God had it.
[00:28:51.002 --> 00:28:53.423]  I was trained by necessity in all of this.
[00:28:54.144 --> 00:28:56.305]  Pulled myself up by my bootstraps with your help together.
[00:28:56.365 --> 00:29:01.789]  But I'm telling you, you need to get the supplements because I don't even know how long we can operate it in the future.
[00:29:18.493 --> 00:29:22.656]  InfoWars, the most banned network in the world.
[00:29:23.377 --> 00:29:31.583]  So everything InfoWars has done for 26 years, everything you've done in your life of being informed and being involved, is building towards this point, and this isn't a normal time.
[00:29:31.804 --> 00:29:32.664]  And I know you know that.
[00:29:33.345 --> 00:29:34.486]  And I salute you and I thank you.
[00:29:35.547 --> 00:29:40.871]  But when you call in thanking me for trying to self-preserve myself and you, we're in the same boat, brother.
[00:29:42.261 --> 00:29:57.426]  So I get it, I appreciate you just as much as you appreciate me, but I'm telling you, now is the time, because I need to know, I gotta decide the next week, with what we've got in our coffers, with only enough to operate, if I sold both my houses to pay for this place, it would not operate us for a month and a half.
[00:29:57.866 --> 00:30:00.387]  I don't, I'm not rich, I don't have all this money the media says I have, okay?
[00:30:01.307 --> 00:30:06.709]  Got a nice truck, a nice car, stuff like that, I got insurance for my kids, I'm doing well, I don't care, I don't need more, I'm happy.
[00:30:07.650 --> 00:30:11.191]  But if you go to InfoWareStore.com, you see the Support Us,
[00:30:12.250 --> 00:30:14.011]  Link over on the right-hand side.
[00:30:15.551 --> 00:30:19.312]  And if you click on that, you'll find the different websites and the donation page.
[00:30:19.532 --> 00:30:20.513]  They're there to support us.
[00:30:21.273 --> 00:30:22.833]  Right there, click on that on the right-hand side.
[00:30:23.473 --> 00:30:26.254]  But you need a four-stage ion filter.
[00:30:26.414 --> 00:30:28.895]  We have the best at the lowest price, because that's what I do!
[00:30:28.915 --> 00:30:34.217]  We have the best tolerable food, highest quality you're gonna get, unless you pay five times more.
[00:30:35.177 --> 00:30:36.198]  InfoWarsTore.com.
[00:30:36.939 --> 00:30:37.640]  The best prices.
[00:30:37.700 --> 00:30:38.541]  It's all there.
[00:30:38.962 --> 00:30:41.325]  But we've only got the ability to do business now.
[00:30:42.146 --> 00:30:43.507]  We're not going to have it much longer.
[00:30:44.288 --> 00:30:45.329]  If the enemy has their way.
[00:30:45.470 --> 00:30:47.032]  I'm telling you.
[00:30:47.572 --> 00:30:48.954]  I used to say support InfoWars.
[00:30:49.394 --> 00:30:50.275]  Rescue InfoWars.
[00:30:50.376 --> 00:30:51.016]  Save yourself.
[00:30:51.377 --> 00:30:52.018]  Save the world.
[00:30:52.338 --> 00:30:53.199]  We're in this together.
[00:30:53.499 --> 00:30:54.801]  Because let me tell you something.
[00:30:54.921 --> 00:30:55.901]  Communism's up here.
[00:30:56.122 --> 00:30:59.083]  Infowars is the damn blocking it, which is all of us together supporting.
[00:30:59.463 --> 00:31:01.284]  And you and I are all down here with our families.
[00:31:01.504 --> 00:31:03.025]  My children are right here!
[00:31:03.745 --> 00:31:09.307]  With pedophiles and devil worshippers and forced inoculations and FEMA camps coming for us and war!
[00:31:10.248 --> 00:31:12.268]  If we don't fix this now, we're gonna have to fight.
[00:31:14.349 --> 00:31:15.830]  You know, I really need to repent.
[00:31:15.970 --> 00:31:16.750]  It's a sick part of me.
[00:31:16.770 --> 00:31:17.931]  I just hope it goes down.
[00:31:22.659 --> 00:31:32.722]  Because all you devil worshippers and trash that have been pushing and pushing and pushing forever, you better hope you fail in your operation and you don't push us into the fire.
[00:31:32.742 --> 00:31:37.703]  Because I swear on the altar of God, you will pay.
[00:31:37.723 --> 00:31:40.764]  And quite frankly, I'm so alive right now.
[00:31:40.804 --> 00:31:45.685]  I'm so glad Soros and Bill Gates hate me.
[00:31:45.765 --> 00:31:48.746]  That's the greatest honor in my life.
[00:31:49.346 --> 00:31:51.767]  It's the greatest thing in my life next to my children.
[00:31:52.759 --> 00:31:57.281]  That I'm real, I'm all in, and you know me by my enemies, and I know our audience of activists.
[00:31:57.861 --> 00:32:02.843]  It's you they hate, because they don't have your will, they don't have your soul, they don't have your heart.
[00:32:03.083 --> 00:32:04.604]  They don't control your destiny!
[00:32:05.124 --> 00:32:06.845]  They sure as hell don't control mine!
[00:32:08.063 --> 00:32:11.807]  So we're trying to hold the dam against the Satanists and the armies of hell.
[00:32:12.008 --> 00:32:17.614]  We pray to Jesus Christ and our Heavenly Father for the lead God to direct us against this enemy!
[00:32:18.255 --> 00:32:19.977]  But I need money to fight a war!
[00:32:20.197 --> 00:32:21.218]  And I need word of mouth!
[00:32:21.459 --> 00:32:22.320]  And I need prayer!
[00:32:22.500 --> 00:32:23.441]  And I need action!
[00:32:23.861 --> 00:32:25.383]  Because that dam's gonna come down!
[00:32:26.244 --> 00:32:27.764]  That dam's already got holes in it.
[00:32:28.265 --> 00:32:32.266]  And the enemy's telling you, don't stick your fingers in it, don't block it, everything's fine.
