[00:00:15.512 --> 00:00:15.992]  We are live.
[00:24:31.683 --> 00:24:35.665]  Babies can't even get sick in the first six months if they get mother's milk.
[00:24:35.705 --> 00:24:36.245]  That's on record.
[00:24:36.425 --> 00:24:38.026]  They don't want you knowing any of this.
[00:24:38.547 --> 00:24:40.148]  Most of the births are now cesarean.
[00:24:40.628 --> 00:24:41.849]  The diving boards are gone.
[00:24:42.129 --> 00:24:43.670]  Dodgeball's been banned for 20 years.
[00:24:44.430 --> 00:24:45.671]  We're being put into bubbles.
[00:24:45.811 --> 00:24:48.513]  And now we'll be forcing our homes to work from home
[00:24:49.813 --> 00:24:56.595]  Not just for controlling our movements, but then bombarding us and forcing us into virtual reality systems.
[00:24:59.736 --> 00:25:01.977]  Humanity doesn't want to give up, it's humanity.
[00:25:03.137 --> 00:25:09.379]  And so we're being forced out of our humanity into digital cages, into digital reservations.
[00:25:09.839 --> 00:25:18.562]  And if you think the Iron Horse showing up for the Midwestern and Western Native Americans was the end of their world,
[00:25:20.578 --> 00:25:29.968]  This is the end of humanity period and we better not do a ghost dance and go out and dance around a pole hoping our ancestors come back to save us.
[00:25:30.188 --> 00:25:38.597]  And that was archetypally them reaching back to their ancestors and their humanity and their strength and begging for them to give them the instincts to defeat it.
[00:25:40.499 --> 00:25:43.062]  But they didn't have it and they also did not have
[00:25:44.460 --> 00:25:53.424]  A transmission, and the big guy getting into a human body, and you see it from a science fiction perspective, it's amazing, isn't it?
[00:25:53.544 --> 00:26:01.928]  Jacking in, coming down here, experiencing it, warning people, and then John the Revelator lays it all out.
[00:26:02.048 --> 00:26:12.493]  World government, mark to buy and sell, giant metal ships flying around, dropping bombs, explosions as big as mountains, billions dying, the ocean dying.
[00:26:15.862 --> 00:26:17.204]  Part of the moon gets blown up?
[00:26:17.784 --> 00:26:18.946]  Oh, it's going to get bad, folks.
[00:26:21.529 --> 00:26:25.033]  Because by the end of this, humans are going to figure out it's an AI takeover.
[00:26:25.053 --> 00:26:26.795]  There's going to be a huge AI war.
[00:26:27.255 --> 00:26:28.136]  Billions are going to die.
[00:26:28.857 --> 00:26:30.279]  There's going to be bio-plagues.
[00:26:30.799 --> 00:26:34.263]  Gates and all these globalists are going to be burrowed down in their underground bunkers.
[00:26:34.784 --> 00:26:36.526]  I mean, you're going to see everything.
[00:26:39.039 --> 00:26:43.845]  And they're going to have trucks rolling by with drones going, just take your pills, just take your pills.
[00:26:44.165 --> 00:26:52.736]  And they'll drop by and say, if you simply opt out and transition now, die, we will take care of your children.
[00:26:53.376 --> 00:26:55.179]  It's all going to be just phased, phased, phased.
[00:26:55.399 --> 00:26:56.660]  Resources are not enough.
[00:26:57.181 --> 00:26:58.503]  Please, please.
[00:27:00.503 --> 00:27:00.663]  I don't
[00:27:20.097 --> 00:27:22.879]  It's not like some psychic thing, though there's that, all of us have that.
[00:27:22.979 --> 00:27:28.642]  It's that I've already read everything they've done, and how they're proposing it, and now how they're rolling it out.
[00:27:28.722 --> 00:27:35.266]  Washington State's already said they're using dead people for fertilizer on crops, and now they want to make it the law that you have to be put on crops.
[00:27:38.787 --> 00:27:39.088]  You see?
[00:27:40.609 --> 00:27:43.510]  So it's a total revolution against everything.
[00:27:43.770 --> 00:27:46.512]  We're gonna get Dr. Francis Boyle on here, go through all the news.
[00:27:48.203 --> 00:27:50.545]  Henry Kissinger saying world government is here.
[00:27:52.646 --> 00:27:55.068]  You've got to stay in your house but the borders will stay wide open.
[00:27:58.110 --> 00:28:05.175]  But first I want to play some of these clips because Fauci came out on Monday and since he said this, he goes, I've talked to the other global leaders in health.
[00:28:06.176 --> 00:28:09.478]  We're not going to relax this till no one's dying and there's no new infections.
[00:28:11.837 --> 00:28:16.640]  Well, this is the cold virus that has been weaponized.
[00:28:17.261 --> 00:28:18.481]  It is a deadly cold.
[00:28:18.922 --> 00:28:19.822]  It has been manipulated.
[00:28:22.364 --> 00:28:24.705]  It appears to mutate and be more deadly in some areas.
[00:28:28.848 --> 00:28:31.930]  And most viruses target children because their immune system hasn't stabilized yet.
[00:28:31.970 --> 00:28:32.551]  This one doesn't.
[00:28:33.011 --> 00:28:35.212]  It targets men and old people.
[00:28:36.733 --> 00:28:37.534]  It eats your testicles.
[00:28:38.435 --> 00:28:38.915]  It's designed
[00:28:40.452 --> 00:28:40.952]  Of course it does.
[00:28:41.112 --> 00:28:41.973]  They want to reduce population.
[00:28:43.133 --> 00:28:49.857]  And the idea that they've got a vaccine when no vaccine for a cold bug's ever been done because it mutates too much doesn't work.
[00:28:50.057 --> 00:28:50.657]  Just like the flu.
[00:28:50.677 --> 00:28:52.398]  They admit that.
[00:28:52.658 --> 00:28:57.041]  They never create one that then by the time it's mutated it works because it's totally different.
[00:28:58.143 --> 00:28:59.604]  So what's in that vaccine?
[00:29:00.144 --> 00:29:06.949]  This is going to be about you don't leave your house, you don't have the app to be able to travel unless you've been vaccinated.
[00:29:07.149 --> 00:29:09.310]  And you notice eight weeks ago I said they'll have apps.
[00:29:10.411 --> 00:29:13.733]  They'll say first it's a holiday for two weeks, now it's a month, now it's three months.
[00:29:14.033 --> 00:29:18.736]  They're just getting you with the handcuffs on like Ted Bundy.
[00:29:18.756 --> 00:29:21.818]  Remember he had the yellow Volkswagen, non-threatening, you get teenage girls in the car with him.
[00:29:22.824 --> 00:29:25.144]  And he'd pull a gun on him and say, look, just put the handcuffs on him and be nice.
[00:29:25.545 --> 00:29:29.025]  You put them on, he goes, just be quiet while I drive you to this place and I'm going to let you go.
[00:29:29.805 --> 00:29:32.686]  He'd take them down there, tie them up and rape them and torture them to death for a couple of days.
[00:29:33.446 --> 00:29:34.646]  Now, that's the same thing here.
[00:29:35.107 --> 00:29:41.088]  They're just getting everybody to do this and everybody to accept it and to put the handcuffs on and they're never going off.
[00:29:41.108 --> 00:29:46.529]  They're going to lead you down into a globalist New World Order basement and they're going to rape the hell out of you.
[00:29:47.708 --> 00:29:50.289]  Your money, your future, your health, your children, everything.
[00:29:50.329 --> 00:29:51.049]  It's all over.
[00:29:51.869 --> 00:29:55.431]  If you get into this and if you bow to it, it doesn't mean you don't protect yourself from the virus.
[00:29:55.671 --> 00:29:57.211]  Notice, they don't want you to know about zinc.
[00:29:57.511 --> 00:30:00.773]  They don't want you to know about vitamin D3.
[00:30:00.793 --> 00:30:03.774]  They don't want you to know about vitamin C. They don't want you to know about chloroquine.
[00:30:03.994 --> 00:30:07.355]  They don't want you to know about any of this.
[00:30:07.435 --> 00:30:09.195]  They want you helpless and desperate.
[00:30:09.375 --> 00:30:10.456]  They don't want mother's milk.
[00:30:10.816 --> 00:30:12.116]  They don't want vaginal birth.
[00:30:12.377 --> 00:30:14.517]  They don't want contact sports.
[00:30:14.577 --> 00:30:16.338]  They want domesticated slaves.
[00:30:17.708 --> 00:30:18.909]  That they can enslave.
[00:30:19.730 --> 00:30:21.851]  And they send you messages, news for you!
[00:30:21.871 --> 00:30:25.614]  Off of where you surf, and what you do, and what it's listening to you doing.
[00:30:26.915 --> 00:30:27.435]  And look it up!
[00:30:29.116 --> 00:30:30.477]  They're on right- bring it on over, dude, thank you.
[00:30:30.938 --> 00:30:32.399]  Look it on up for yourself, folks.
[00:30:32.839 --> 00:30:38.744]  All these companies admit that they're turning on the web cameras, and they're turning on the audio, and they're getting everything on you.
[00:30:41.666 --> 00:30:42.086]  Report!
[00:30:42.126 --> 00:30:45.048]  Scientists fear rushing coronavirus vaccine could make disease worse.
[00:30:45.208 --> 00:30:45.749]  Oh, think so?
[00:30:47.264 --> 00:30:48.605]  Coronavirus, Australian update.
[00:30:48.645 --> 00:30:50.447]  PM says vaccine is key to easing restrictions.
[00:30:50.467 --> 00:30:51.468]  Gotta take that shot first.
[00:30:51.488 --> 00:30:54.531]  Coronavirus expert says virus could have leaked from Wuhan lab.
[00:30:57.794 --> 00:30:59.256]  So we'll get our guest on here in a moment.
[00:30:59.356 --> 00:31:01.118]  Let's go ahead and start getting Dr. Boyle on.
[00:31:01.378 --> 00:31:02.459]  But let's go to a clip.
[00:31:04.352 --> 00:31:09.136]  of this giant globalist terrorization campaign to bring in their next phase of control.
[00:31:09.196 --> 00:31:09.716]  Just boom!
[00:31:09.756 --> 00:31:10.357]  Suddenly it's there.
[00:31:10.537 --> 00:31:10.877]  Drones.
[00:31:11.137 --> 00:31:11.518]  Robots.
[00:31:11.978 --> 00:31:12.178]  5G.
[00:31:12.398 --> 00:31:12.679]  All of it.
[00:31:13.059 --> 00:31:16.242]  And oh, all of a sudden they're announcing, you know, more 5G went in than we'd said.
[00:31:16.702 --> 00:31:18.443]  It's suddenly turning on in all the big cities.
[00:31:20.225 --> 00:31:22.427]  You're not allowed to leave your house and no complain or protest about it.
[00:31:23.627 --> 00:31:26.069]  People said, I see them installing 5G at my school.
[00:31:26.450 --> 00:31:28.211]  They go over and ask the cops, go get out of here.
[00:31:28.231 --> 00:31:29.112]  You're not allowed to be out.
[00:31:30.711 --> 00:31:36.956]  We went and checked, damn right they're putting it in that school and almost every other one.
[00:31:36.996 --> 00:31:43.961]  Our 18 wheelers are all over the place with 5G pallets and they're just putting them up all over with cameras and microphones to watch you as well.
[00:31:46.183 --> 00:31:47.784]  Yeah, let's zoom out and show folks Austin.
[00:31:49.645 --> 00:31:53.108]  There you go, ladies and gentlemen, there you go.
[00:31:53.128 --> 00:31:54.449]  Isn't that nice?
[00:31:54.529 --> 00:31:56.730]  All the red areas have 5G, everything else has 4G.
[00:31:59.411 --> 00:32:01.452]  And the purple's where they're putting in 6G.
[00:32:01.932 --> 00:32:02.693]  Oh, you didn't know that?
[00:32:02.913 --> 00:32:03.293]  Oh, yeah.
[00:32:05.334 --> 00:32:07.256]  That's just AT&T, not all the other companies.
[00:32:08.736 --> 00:32:17.922]  And remember, fiber optics is hundreds of times faster and just as good, but see, it can't surveil you like this can.
[00:32:19.520 --> 00:32:20.040]  Doesn't hurt you.
[00:32:20.060 --> 00:32:20.841]  There's no radiation.
[00:32:20.901 --> 00:32:21.982]  It's light radiation.
[00:32:22.042 --> 00:32:22.622]  Doesn't hurt you.
[00:32:22.662 --> 00:32:23.323]  All the studies show.
[00:32:23.603 --> 00:32:24.283]  Perfectly clean.
[00:32:24.524 --> 00:32:25.044]  Perfectly good.
[00:32:25.324 --> 00:32:26.805]  Instead, this just fries everything.
[00:32:27.065 --> 00:32:29.587]  And I've got stacks of news admitting that in the studies.
[00:32:30.908 --> 00:32:31.789]  But here's Fauci.
[00:32:33.630 --> 00:32:39.955]  Social distancing will continue until vaccination isn't that nice.
[00:32:40.015 --> 00:32:42.056]  And then next, Bill Gates says the same thing.
