[00:00:01.101 --> 00:00:04.602]  It's Sunday, October 18th.
[01:27:05.649 --> 01:27:07.190]  My children are right here!
[01:27:07.910 --> 01:27:09.671]  But I need money to fight a war!
[01:27:09.871 --> 01:27:10.931]  And I need word of mouth!
[01:27:11.151 --> 01:27:12.052]  And I need prayer!
[01:27:12.192 --> 01:27:13.152]  And I need action!
[01:27:13.532 --> 01:27:15.133]  Because that dam's gonna come down!
[01:27:15.813 --> 01:27:17.774]  Trump's told you, hell's coming!
[01:27:21.926 --> 01:27:22.226]  Hey!
[01:27:23.027 --> 01:27:23.428]  You there!
[01:27:23.928 --> 01:27:25.830]  The battle for the Republic is on!
[01:27:26.271 --> 01:27:29.714]  The American Revolution 2.0 is happening right now!
[01:27:30.135 --> 01:27:35.260]  But the corrupt establishment doesn't want you to know, and they certainly don't want you to get involved.
[01:27:35.641 --> 01:27:38.323]  But you can at Banned.Video.
[01:27:38.544 --> 01:27:41.467]  The truth lives at Banned.Video.
[01:27:41.707 --> 01:27:46.111]  The information they don't want you to see is at Band.Video.
[01:27:46.571 --> 01:27:47.732]  This is your destiny.
[01:27:48.072 --> 01:27:50.534]  This is the epic battle for the future of humanity.
[01:27:50.974 --> 01:27:53.777]  America will survive as long as you fight.
[01:27:54.677 --> 01:27:55.138]  I've gotta go.
[01:28:18.502 --> 01:28:24.824]  I've talked to the EMS and I've talked to medical doctors, and what makes you nauseated, it's not just the smell of piss, but we call the smell of bum piss.
[01:28:24.864 --> 01:28:26.825]  It has this sweet nauseating smell.
[01:28:27.165 --> 01:28:32.027]  What it does, it's a sweet stench, like you want to throw up, like rotten meat.
[01:28:32.107 --> 01:28:33.768]  It is the crap of dust mites.
[01:28:34.128 --> 01:28:38.270]  Have you noticed the stench of bum piss in your leftist-run neighborhoods?
[01:28:38.650 --> 01:28:45.172]  The crap of dust mites in bum piss is a real thing, and InfoWars Store has the solution.
[01:28:45.392 --> 01:28:57.837]  InfoWars has created the most powerful herbal lung cleanse and respiratory support product on the market, with over a thousand types of mold and mildew, toxic chemicals, and yes, dust mites.
[01:28:58.277 --> 01:29:11.648]  Our Lung Cleanse Plus, made with organic and wild cultivated herbs, is just what you need to survive the unprecedented surge of bum piss and other toxic substances in liberal leftist cities everywhere.
[01:29:11.949 --> 01:29:16.873]  Order the Infowars Life Lung Cleanse Plus supplement today at InfowarsStore.com.
