[00:00:00.409 --> 00:00:03.751]  They're actually admitting day one up front, that's it.
[01:23:47.381 --> 01:23:49.062]  We'll make sure you're safe from your neighbor.
[01:23:49.422 --> 01:23:50.363]  Do they have the chip?
[01:23:50.383 --> 01:23:50.683]  They don't.
[01:23:50.743 --> 01:23:51.503]  Call us, please.
[01:23:51.523 --> 01:23:53.724]  Mayor D'Eustassio will make sure.
[01:23:53.744 --> 01:23:55.345]  She's upset that people are rallying.
[01:23:55.465 --> 01:23:56.365]  I'm sure that she is.
[01:24:06.070 --> 01:24:14.234]  of themselves and their families and their loved ones is what is important and that's why you have seen such a overwhelming... Oh, they bought off the ACLU's.
[01:24:14.374 --> 01:24:18.455]  I love how she's like, oh but you love your family, stay inside for your family.
[01:24:18.495 --> 01:24:19.576]  Yes.
[01:24:20.176 --> 01:24:24.198]  Because really it is the key to how we will open up our economy.
[01:24:24.718 --> 01:24:26.799]  The health issue is the key to opening up the economy.
[01:24:26.819 --> 01:24:30.241]  We can only give you a job if you give up your rights.
[01:24:31.434 --> 01:24:36.237]  What you see there is, you know, gun, unrespectful, whatever people think that they should say.
[01:24:36.657 --> 01:24:44.503]  But the fact is, this has to be science-based, evidence-based, data-based, and evidence- All of it was based off models, you fraud!
[01:24:44.523 --> 01:24:53.008]  ...shelter-in-place, testing, contact tracing... She's forgot her, like, memory points.
[01:24:53.028 --> 01:24:54.569]  I mean, look at that face, though.
[01:24:54.829 --> 01:24:56.050]  That's the face of a fraud.
[01:24:56.170 --> 01:24:58.652]  It was like a Westworld, uh, sort of disconnect there.
[01:24:58.672 --> 01:25:00.173]  She forgot what her lines were.
[01:25:01.015 --> 01:25:09.438]  I just may add, I do think focusing on that is a major distraction from testing, testing, testing.
[01:25:09.478 --> 01:25:11.298]  Does it serve as a distraction?
[01:25:11.638 --> 01:25:11.898]  Yes.
[01:25:12.318 --> 01:25:13.919]  But that's not what this is about.
[01:25:13.959 --> 01:25:19.000]  We're supposed to be focusing on... This is supposed to be about putting chips inside of you.
[01:25:19.180 --> 01:25:20.041]  What's wrong with you?
[01:25:20.241 --> 01:25:22.221]  ...open up our economy the sooner the better.
[01:25:22.682 --> 01:25:23.202]  Yeah, sure.
[01:25:23.382 --> 01:25:26.783]  And I'm proud of American people because by and large they have embraced that.
[01:25:27.683 --> 01:25:32.865]  So here she is, promoting the tracing, promoting the testing, promoting the shelter-in-place.
[01:25:32.925 --> 01:25:43.930]  It's genius, really, to use the pandemic as the pretext to get people to accept a chip, to get a digital monitoring of their physical body that can impact their body, that ultimately can translate into digital currency down the road with other chips.
[01:25:44.330 --> 01:25:47.892]  It's genius, because it says, hey, if you want to feel safe, you need to have a chip.
[01:25:47.932 --> 01:25:49.993]  If you want a job, you have to have a chip.
[01:25:50.293 --> 01:25:53.014]  And you better make sure everyone else has a chip, too, or they might be a threat.
[01:25:53.134 --> 01:25:54.354]  Giving up your freedom for safety?
[01:25:54.374 --> 01:25:57.115]  You won't be able to look on your phone to see whether that person has been prosecuted.
[01:25:57.135 --> 01:25:58.396]  Oh my gosh, does my neighbor have coronavirus?
[01:25:58.696 --> 01:25:59.556]  Oh okay, he's good, he's good.
[01:25:59.596 --> 01:26:01.297]  It's the Chinese social credit system.
[01:26:01.337 --> 01:26:03.898]  By the way guys, let's just do this as a practice on air.
[01:26:04.618 --> 01:26:07.439]  There's a conspiracy theory going around, but let's just do this as a practice on air.
[01:26:07.479 --> 01:26:07.859]  I don't know.
[01:26:08.299 --> 01:26:09.580]  Just search patent 060606.
[01:26:13.473 --> 01:26:14.513]  Let's just search that patent.
[01:26:14.573 --> 01:26:14.713]  Oh!
[01:26:15.034 --> 01:26:15.894]  Oh, they got it right here.
[01:26:15.954 --> 01:26:16.554]  Patent 060606.
[01:26:17.995 --> 01:26:21.656]  Cryptocurrency system using body activity data.
[01:26:22.036 --> 01:26:25.217]  Filed for by Bill Gates Microsoft.
[01:26:25.277 --> 01:26:27.438]  Well, I mean, certainly there's nothing to see here.
[01:26:28.447 --> 01:26:29.027]  I mean, it's extraordinary.
[01:26:29.067 --> 01:26:42.675]  I mean, to be able to have, I mean, people have been talking about them needing to move the digital currency because they're going to collapse all the currencies around the world due to their high-risk exposure that's happening right now because we have so much dollar-denominated debt internationally.
[01:26:42.695 --> 01:26:43.956]  I mean, you're talking about
[01:26:44.952 --> 01:26:47.334]  Trillion, there's about four trillion in currency.
[01:26:47.554 --> 01:26:53.678]  You're talking about foreign debt that may be over a hundred trillion when you add it all up in commercial transactions and banks and the rest.
[01:26:54.158 --> 01:26:55.699]  And that's money that can't be met.
[01:26:56.299 --> 01:26:59.782]  And as the dollar rises, it makes those debts impossible to repay.
[01:27:00.282 --> 01:27:04.566]  So the general talk, and that doesn't even deal with dollar-denominated debt inside the United States.
[01:27:04.626 --> 01:27:06.407]  Corporate bond debt, highest level it's ever been.
[01:27:06.687 --> 01:27:08.969]  Municipal bond debt is going to have to skyrocket.
[01:27:09.250 --> 01:27:09.450]  U.S.
[01:27:09.470 --> 01:27:11.071]  government debt is currently skyrocketing.
[01:27:11.712 --> 01:27:15.495]  They were using corporate debt to buy back their corporate stocks, to inflate the stock market.
[01:27:15.815 --> 01:27:17.777]  So it's all interrelated and interdependent.
[01:27:17.797 --> 01:27:19.058]  The Fed is just pouring money.
[01:27:19.098 --> 01:27:24.142]  They put trillions of dollars on their balance sheet, increased it by almost 50% in three weeks.
[01:27:24.162 --> 01:27:25.383]  They're going to do it again, by the way.
[01:27:25.583 --> 01:27:26.904]  Oh, they're going to keep going.
[01:27:26.924 --> 01:27:28.326]  They've committed to quantitative easing.
[01:27:28.546 --> 01:27:34.251]  They've created 12 different special vehicle units that are intended to get around the law that restricts the Fed.
[01:27:34.731 --> 01:27:46.943]  What Trump did for the Democrats, and you know the Republicans are in there too, I want to be clear about this, but really all of D.C., when he gave them that $2 trillion stimulus bill, that was like giving a crackhead an unlimited source of crack.
[01:27:46.983 --> 01:27:48.904]  So immediately the next day they're like, oh my god!
[01:27:49.885 --> 01:27:50.125]  Oh my gosh!
[01:27:50.285 --> 01:27:50.926]  I can get more money?
[01:27:51.106 --> 01:27:51.406]  Oh my gosh!
[01:27:51.806 --> 01:27:52.846]  We're ready for the next stimulus!
[01:27:53.446 --> 01:27:54.247]  $4 trillion this time!
[01:27:54.887 --> 01:27:55.327]  $7 trillion!
[01:27:55.547 --> 01:27:56.888]  Give everybody a dollar now!
[01:27:57.228 --> 01:28:03.410]  Well, and what people are not even seeing is that on top of the $2 trillion, the Fed has already printed an additional $2 trillion.
[01:28:03.690 --> 01:28:07.712]  The Fed is committed to its balance sheet has gone from $4 trillion to $6 trillion.
[01:28:08.112 --> 01:28:10.435]  And the Fed is committed to increasing however much it needs.
[01:28:10.695 --> 01:28:19.144]  It's created 12 different units, special vehicles, to buy up municipal bonds, to buy equities directly, to buy mortgage-backed securities, to buy U.S.
[01:28:19.704 --> 01:28:20.145]  Treasuries.
[01:28:20.185 --> 01:28:23.789]  So it's basically like Trump is either intentionally breaking the Fed...
[01:28:24.289 --> 01:28:26.152]  Or this bubble is going to burst, folks.
[01:28:26.212 --> 01:28:28.575]  And that's why we're selling emergency food.
[01:28:28.615 --> 01:28:30.238]  Look, we're not telling you this is over a virus.
[01:28:30.338 --> 01:28:31.319]  Hey, it's for anything.
[01:28:31.379 --> 01:28:32.661]  Maybe it is a deadly plague.
[01:28:33.302 --> 01:28:36.387]  Because of all the illegal immigration, like tuberculosis breaking out in California.
[01:28:36.407 --> 01:28:37.949]  A bubonic plague breaking out in California.
[01:28:37.969 --> 01:28:39.211]  They don't quarantine for that, though.
[01:28:39.671 --> 01:28:43.813]  But, folks, economic collapse, the collapse of society, it's all happening.
[01:28:43.853 --> 01:28:46.074]  We still have storable food at InfoWarsStore.com.
[01:28:46.094 --> 01:28:52.318]  It's one of the last places you can still order storable food, emergency food supplies, is at InfoWarsStore.com.
[01:28:52.358 --> 01:28:53.698]  Most people can't deliver right now.
[01:28:53.798 --> 01:28:55.139]  We have the stock.
[01:28:55.199 --> 01:28:55.999]  We're ready to ship.
[01:28:56.320 --> 01:29:03.683]  It's available at InfoWarsStore.com, and that's how you keep us on air to keep these ever-important transmissions going.
[01:29:03.723 --> 01:29:05.684]  For Robert Barnes, for the crew, I'm Owen Stroyer.
[01:29:05.724 --> 01:29:06.845]  You stay classy, InfoWarriors.
[01:29:22.449 --> 01:29:23.190]  InfoWars.
[01:29:23.550 --> 01:29:24.451]  Tomorrow's news.
[01:29:24.751 --> 01:29:25.112]  Today.
[01:29:25.132 --> 01:29:31.458]  And I'm here to tell you I don't need you to thank me and tell me I've done a good job.
[01:29:31.558 --> 01:29:33.641]  I've done nothing but my duty!
[01:29:34.181 --> 01:29:43.791]  I discovered a bunch of bloodthirsty scum coming after innocent people and I've been fighting them for 13 years and I'll never stop while I'm drunk!
[01:29:45.694 --> 01:29:52.179]  For 24 years, Alex Jones and InfoWars have been sounding the alarm for patriots worldwide.
[01:29:52.920 --> 01:30:10.573]  Waking people up to the New World Order, Bohemian Grove, the American Deep State, the rise of Communist China, the plan for global depopulation, and global elite pedophiles who prey off of our young.
[01:30:11.849 --> 01:30:17.595]  The enemy has done their best to destroy us, but because of your support, our fight continues.
[01:30:18.276 --> 01:30:23.301]  Join us, support the Info War, and together, we will slay the dragon.
[01:30:23.862 --> 01:30:25.804]  Keep fighting Alex, you're the gladiator.
[01:30:27.623 --> 01:30:48.353]  Everywhere I go, I'm now mobbed by people apologizing to me, saying, Alex, you talked about government pedophile rings and blackmail rings, you talked about GMO poisoning people, you talked about engineered bioweapons that would be used to bring down the world economy and bring in tyranny, you told us decades ago that drones would fly around policing us, shouting orders, and now it's all happening.
[01:30:48.753 --> 01:30:49.414]  How did you know this?
[01:30:50.253 --> 01:30:53.756]  Because the globalist think tanks are very public about their plans.
[01:30:54.257 --> 01:30:55.338]  They think you're animals.
[01:30:55.418 --> 01:30:56.319]  They think you're stupid.
[01:30:56.579 --> 01:30:59.922]  So they talk about all this stuff in their reports to each other.
[01:31:00.262 --> 01:31:01.203]  The end of the family.
[01:31:01.503 --> 01:31:04.146]  How they could sterilize kids in the name of transgenderism.
[01:31:04.726 --> 01:31:06.328]  How they're going to bring in world government.
[01:31:06.348 --> 01:31:10.111]  How they're not going to let us leave our houses without smartphones that give us authorization.
[01:31:10.151 --> 01:31:11.052]  That was 20 years ago.
[01:31:11.713 --> 01:31:14.215]  And now, it's all rolling out at once.
[01:31:14.275 --> 01:31:15.216]  That's how wars happen.
[01:31:15.496 --> 01:31:20.918]  The enemy builds up the big corporate globalist system, and then it launches its attack all of a sudden.
[01:31:21.458 --> 01:31:22.959]  It's called a lightning war.
[01:31:23.499 --> 01:31:24.539]  It's called a blitzkrieg.
[01:31:25.140 --> 01:31:27.240]  And so, now we're under globalist attack.
[01:31:27.280 --> 01:31:28.181]  Their weapon is fear.
[01:31:28.341 --> 01:31:29.241]  Their weapon is panic.
[01:31:29.441 --> 01:31:32.202]  Their weapon is economic collapse.
[01:31:32.282 --> 01:31:39.585]  Their weapon is giant third world populations they've already exploited, using them as weapons to come in and bankrupt the countries even further.
[01:31:39.845 --> 01:31:40.605]  Cloward and Pivot.
[01:31:41.005 --> 01:31:42.626]  But we know their battle plan.
[01:31:43.226 --> 01:31:45.207]  We understand their globalist operations.
[01:31:45.648 --> 01:31:53.333]  And when you go anywhere on the internet where comments are allowed, almost everyone knows that Bill Gates is a eugenicist, depopulation operative, and is behind a lot of this.
[01:31:53.613 --> 01:31:55.674]  And people know that the UN is lying and evil.
[01:31:55.934 --> 01:31:59.757]  And they know that the CDC purposely brought in people that had the coronavirus.
[01:31:59.877 --> 01:32:02.278]  And it's just exploding, the awakening right now.
[01:32:02.699 --> 01:32:04.680]  The globalists did this because they were desperate.
[01:32:05.120 --> 01:32:06.101]  Not because they're strong.
[01:32:06.481 --> 01:32:15.566]  And if we speak out and expose the agenda and how they're behind most of this and using the crisis to take more of our freedoms, it will blow up in their face.
[01:32:16.146 --> 01:32:21.790]  InfoWars.com, NewsWars.com, Band.Video is the modern Paul Revere system.
[01:32:21.970 --> 01:32:24.731]  And when you spread the word, you are the modern Paul Revere.
[01:32:24.891 --> 01:32:25.692]  So take action!
