[00:00:08.916 --> 00:00:11.279]  No, he's corrupt.
[00:24:21.884 --> 00:24:24.546]  You go, I didn't drink it, the Russians did.
[00:24:24.546 --> 00:24:31.410]  Or maybe your wife catches you out at a movie with your girlfriend.
[00:24:31.410 --> 00:24:37.734]  You go, oh no honey, this isn't my girlfriend that you caught us with our arms around each other, it's the Russians put that in your head.
[00:24:37.734 --> 00:24:38.335]  Here's Ratcliffe.
[00:24:39.616 --> 00:24:40.521]  That's fake.
[00:24:40.521 --> 00:24:42.715]  Is this Russian disinformation, Director?
[00:24:44.815 --> 00:24:53.818]  So Maria, it's funny that some of the people that complain the most about intelligence being politicized are the ones politicizing intelligence.
[00:24:53.818 --> 00:25:10.685]  And unfortunately, in this case, it is Adam Schiff, the chairman of the House Intelligence Committee, who, as you pointed out on Friday, said that the intelligence community believes that Hunter Biden's laptop and the emails on it are part of some Russian disinformation campaign.
[00:25:10.845 --> 00:25:11.626]  Let me be clear.
[00:25:11.626 --> 00:25:17.030]  The intelligence community doesn't believe that because there's no intelligence that supports that.
[00:25:17.030 --> 00:25:25.537]  And we have shared no intelligence with Chairman Schiff or any other member of Congress that Hunter Biden's laptop is part of some Russian disinformation campaign.
[00:25:25.537 --> 00:25:27.239]  It's simply not true.
[00:25:27.239 --> 00:25:32.443]  And this is exactly what I said I would stop when I became the Director of National Intelligence.
[00:25:32.443 --> 00:25:33.064]  And that's people
[00:25:33.744 --> 00:25:37.765]  Using the intelligence community to leverage some political narrative.
[00:25:37.765 --> 00:25:44.968]  And in this case, apparently Chairman Schiff wants anything against his preferred political candidate to be deemed as not real.
[00:25:44.968 --> 00:25:45.228]  That's right.
[00:25:45.228 --> 00:25:46.969]  I want to explain something to the listeners here.
[00:25:46.969 --> 00:25:49.650]  Because listeners always call in and say, oh, you have incredible sources.
[00:25:49.650 --> 00:25:51.270]  Oh, you're this and that.
[00:25:51.270 --> 00:25:55.592]  No, I'm a regular guy just like you that got pissed off, started an organization that you believed in.
[00:25:55.592 --> 00:25:56.252]  We built this.
[00:25:56.252 --> 00:25:57.772]  You built this.
[00:25:57.772 --> 00:25:59.873]  This is our thing.
[00:25:59.873 --> 00:26:01.394]  Just like a guy at a Mac shop.
[00:26:01.394 --> 00:26:01.974]  He's the owner.
[00:26:03.260 --> 00:26:04.401]  That's the form you sign?
[00:26:04.401 --> 00:26:09.123]  When I've signed forms, if you don't come back and pay for this, we get to keep it after three to six months.
[00:26:09.123 --> 00:26:10.423]  His was three months.
[00:26:10.423 --> 00:26:13.144]  He calls up dozens of times, come get your laptop.
[00:26:13.144 --> 00:26:16.065]  He goes, Hunter Biden, wait, that's Vice President's son.
[00:26:16.065 --> 00:26:19.527]  He goes and looks on it, his right to do it, before he resells it.
[00:26:19.527 --> 00:26:22.408]  And it's all this child porn and torture porn.
[00:26:22.408 --> 00:26:23.729]  He's like, what the hell?
[00:26:24.980 --> 00:26:26.501]  So he calls the FBI.
[00:26:26.501 --> 00:26:27.622]  They do nothing.
[00:26:27.622 --> 00:26:29.603]  After almost a year, he gets scared.
[00:26:29.603 --> 00:26:31.504]  Starts calling Biden.
[00:26:31.504 --> 00:26:34.526]  Finally, Biden's lawyer starts emailing him saying, yeah, we want that.
[00:26:34.526 --> 00:26:35.547]  He goes, you want it?
[00:26:35.547 --> 00:26:36.407]  It's too late.
[00:26:36.407 --> 00:26:38.268]  What the hell did you get me this for?
[00:26:38.268 --> 00:26:38.949]  I'm scared.
[00:26:40.520 --> 00:26:41.962]  Because normal people aren't like that.
[00:26:41.962 --> 00:26:43.984]  They don't want to be in possession of stuff like this.
[00:26:43.984 --> 00:26:45.105]  But that's who the left is.
[00:26:45.105 --> 00:26:46.266]  It's what they traffic in.
[00:26:46.266 --> 00:26:48.709]  But it's regular little people.
[00:26:48.709 --> 00:26:52.613]  Like that laptop discoverer at that Mac shop.
[00:26:52.613 --> 00:26:53.514]  That's the power!
[00:26:55.859 --> 00:27:01.982]  Vitamin Mineral Fusion and Ultra 12 are now back in stock after being sold out for months.
[00:27:01.982 --> 00:27:12.006]  They're sold out because people know that high-quality B12 and a good mix of vitamins, minerals, especially zinc, boost your body's natural defenses and are critical to your immune system.
[00:27:12.006 --> 00:27:24.611]  Well, both products are back in stock at InfoWarsTore.com, just two weeks out from the election, and we're offering them both at 50% off, free shipping, and triple Patriot points in your next order.
[00:27:25.131 --> 00:27:28.574]  Also, if you sign up for auto-ship, you get an additional 10% off.
[00:27:28.574 --> 00:27:31.175]  That makes many of the things we're selling lost liters.
[00:27:31.175 --> 00:27:34.238]  Now, we have had a big clearance sale going, so a lot of stuff sold out.
[00:27:34.238 --> 00:27:40.602]  A lot of the other stuff is close to selling out, but some of our best sellers are still there, and some of them have actually come back into stock.
[00:27:40.602 --> 00:27:47.807]  And because of your support, we've had the money to reorder and get the other things that have actually sold out, so those should be back in stock as well soon.
[00:27:47.807 --> 00:27:50.369]  Thank you so much for keeping InfoWars on the air.
[00:27:50.369 --> 00:27:53.852]  Obviously, we're critical of the fight, and you've helped win the war against the global so far.
[00:27:56.249 --> 00:28:03.574]  InfoWars is a archetypal classic example of free, independent, organic resistance against tyranny.
[00:28:03.574 --> 00:28:05.015]  You built InfoWars.
[00:28:05.015 --> 00:28:06.516]  You spread the word.
[00:28:06.516 --> 00:28:07.717]  You prayed for us.
[00:28:07.717 --> 00:28:09.098]  You bought the products.
[00:28:09.098 --> 00:28:10.258]  You called in.
[00:28:10.258 --> 00:28:11.619]  You made recommendations.
[00:28:11.619 --> 00:28:14.281]  InfoWars is as much yours as it is mine.
[00:28:14.281 --> 00:28:22.767]  And that's why the enemy is so upset that under the deplatforming, under all the DNC lawsuits, under all the attack, in many ways, we've become stronger.
[00:28:22.767 --> 00:28:25.949]  With Band.Video, the redesigned InfoWars, with all of our great crew,
[00:28:26.429 --> 00:28:27.430]  We're good to go.
[00:28:56.524 --> 00:28:59.006]  2020ElectionsCenter.com.
[00:28:59.006 --> 00:29:01.707]  Just type it in one time, and you've got it saved right there in your browser.
[00:29:01.707 --> 00:29:15.714]  And then you can share it on Twitter, Facebook, YouTube, Apple platforms, but most importantly, via text message, email, or by word of mouth, because they have banned the links to ban.video.
[00:29:15.714 --> 00:29:24.538]  But 2020ElectionsCenter.com is a clone of the site, the exact same links, the exact same videos, where you can comment, you can share them, everything.
[00:29:24.538 --> 00:29:25.079]  The system
[00:29:26.019 --> 00:29:30.763]  He's censoring because the power of the people overrode them four years ago.
[00:29:30.763 --> 00:29:35.607]  Trump has finally figured this out, since he's going to take action once re-elected against Big Tech.
[00:29:35.607 --> 00:29:37.088]  I mean, he's moderating the situation.
[00:29:37.088 --> 00:29:41.552]  Well, we know the president's overwhelmed right now, so we're going to sit here and cry because he has to take an action.
[00:29:41.552 --> 00:29:52.400]  We the people are taking action now, and you can do it very, very easily by sharing 2020ElectionsCenter.com, 2020ElectionsCenter.com, and checking out the new, redesigned InfoWars.com and sharing that link.
[00:29:52.400 --> 00:29:54.102]  Oh, that really upsets them, oh yeah!
[00:29:57.845 --> 00:30:00.452]  You're listening to The Alex Jones Show.
[00:30:13.950 --> 00:30:25.877]  Fourteen days, ladies and gentlemen, until all the craziness you've already seen gets turned up from ten to eleven, as they say in Spinal Tap.
[00:30:25.877 --> 00:30:28.779]  Welcome to the October 19th Monday Transmission.
[00:30:28.779 --> 00:30:30.700]  I am your host, Alex Jones.
[00:30:30.700 --> 00:30:32.001]  Alright, I'm gonna give the number out.
[00:30:32.964 --> 00:30:35.565]  Here in a moment, I'll start taking some calls next segment.
[00:30:35.565 --> 00:30:37.526]  I've got huge COVID news.
[00:30:37.526 --> 00:30:41.607]  It's absolutely got to be hit so far with some new big developments next segment.
[00:30:41.607 --> 00:30:46.489]  But right now, this segment is all about me, which I don't do on purpose.
[00:30:47.833 --> 00:30:54.120]  It just comes up all over the news and it ties into everything we're talking about and so we're going to hit it because it's also about you.
[00:30:54.120 --> 00:30:55.241]  What happens to you happens to me.
[00:30:55.241 --> 00:30:56.642]  What happens to me happens to you.
[00:30:56.642 --> 00:30:58.264]  This is all crazy.
[00:30:58.264 --> 00:31:01.227]  Remember this New York Post headline?
[00:31:01.227 --> 00:31:02.588]  August 9th, 2018.
[00:31:02.588 --> 00:31:07.894]  It was indicative and it was a good case example of what was going on at the time.
[00:31:09.847 --> 00:31:14.893]  Why the Alex Jones ban is no reason to break up big tech and they go on to say it's a great thing.
[00:31:14.893 --> 00:31:18.717]  Their accounts are all still shut down across the internet right now.
[00:31:18.717 --> 00:31:21.360]  Same New York Post.
[00:31:21.360 --> 00:31:27.367]  That Thomas Jefferson started.
[00:31:27.367 --> 00:31:30.150]  Here's the headline, Twitter still refuses to unlock New York Post account.
[00:31:32.794 --> 00:31:35.757]  And even though Jack Dorsey apologized, he said he did the right thing.
[00:31:35.757 --> 00:31:37.638]  He just said it could have been done better.
[00:31:37.638 --> 00:31:39.480]  Nice double think, Tom.
[00:31:39.480 --> 00:31:41.922]  And we love being gaslit, so why not?
[00:31:41.922 --> 00:31:46.626]  So they've got Senate Judiciary votes to subpoena Facebook CEO.
[00:31:46.626 --> 00:31:47.186]  They won't care.
[00:31:47.186 --> 00:31:55.994]  They'll steal the election by then, declare Trump's the loser, and put Biden in, because you guys are a bunch of amateurs, man.
[00:31:55.994 --> 00:32:00.818]  You let those big tech guys lie to your face while they're working with Communist China and others to literally blackmail most of the government?
[00:32:02.927 --> 00:32:09.349]  They need to blackmail you because you're a bunch of stuff suit lawyers that think you know everything.
[00:32:09.349 --> 00:32:09.809]  You don't.
[00:32:09.809 --> 00:32:11.510]  You got your asses handed to you.
[00:32:11.510 --> 00:32:16.211]  And Brad Parscale thought he could make Trump win again and he blew all the money and screwed up.
[00:32:16.211 --> 00:32:17.492]  I've got the inside baseball.
[00:32:17.492 --> 00:32:20.973]  We're in a lot of trouble!
[00:32:20.973 --> 00:32:24.774]  Because people won't recognize how much trouble we're in and get out of it.
[00:32:27.383 --> 00:32:31.366]  Twitter removes mask guidelines from White House COVID-19 advisor.
[00:32:31.366 --> 00:32:37.771]  Medical prestigious doctors come out with statistics that masks don't protect you and actually cause more harm.
[00:32:37.771 --> 00:32:39.653]  And Twitter says, that's not what the UN says.
[00:32:39.653 --> 00:32:42.195]  You're not allowed to!
[00:32:42.195 --> 00:32:43.636]  You'll wake up in a total tyranny.
[00:32:43.636 --> 00:32:52.843]  This Facebook suspends user Jamie Allman's account after shows a huge rally of black Americans for Trump in DC.
[00:32:52.843 --> 00:32:54.845]  But that gets banned because it's hateful.
[00:32:55.902 --> 00:33:02.383]  This is the election meddling and Biden's transition team basically runs Facebook and Twitter.
[00:33:02.383 --> 00:33:05.824]  That's even Fox News.
[00:33:05.824 --> 00:33:06.884]  Oh, but remember the old days?
[00:33:06.884 --> 00:33:10.625]  Alex Jones in full war site accuses big tech of censorship.
[00:33:10.625 --> 00:33:11.425]  Remember?
[00:33:11.425 --> 00:33:12.385]  Oh, that was in 2018.
[00:33:12.385 --> 00:33:15.466]  Oh, Jones claims there's a thing called shadow banning.
[00:33:15.466 --> 00:33:19.887]  He claims, I remember like New York Times articles, he claims it's called deplatforming.
[00:33:19.887 --> 00:33:21.267]  We had the damn documents!
[00:33:23.595 --> 00:33:28.636]  In 2017, the plan to de-platform everyone.
[00:33:28.636 --> 00:33:33.437]  A digital gulag.
[00:33:33.437 --> 00:33:36.918]  New York Times, free speech scholars, Alex Jones, you're not protected.
[00:33:36.918 --> 00:33:39.119]  New York Times.
