[00:00:00.209 --> 00:00:01.549]  It was all pre-planned.
[00:26:35.697 --> 00:26:40.080]  I've always told you folks at the top, the eugenicists have taken over the medical system.
[00:26:40.100 --> 00:26:40.920]  That's the real power.
[00:26:41.460 --> 00:26:45.243]  That's why 10 years ago, 15 years ago, they got rid of the Hippocratic Oath in Europe and the U.S.
[00:26:46.463 --> 00:26:47.184]  of do no harm.
[00:26:49.185 --> 00:26:54.028]  I mean, I remember I was on Joe Rogan last year, and I said, no, they actually keep babies alive.
[00:26:54.188 --> 00:26:55.269]  And then it's a legal term.
[00:26:55.369 --> 00:26:57.730]  And they simply say, we keep them comfortable.
[00:26:58.390 --> 00:27:00.772]  And we asked the mother, do you want to resuscitate?
[00:27:01.837 --> 00:27:06.378]  And if he doesn't want to resuscitate, well then we keep the baby comfortable, and then the mother just goes home.
[00:27:06.858 --> 00:27:07.458]  What does that mean?
[00:27:08.058 --> 00:27:08.878]  They keep it alive.
[00:27:10.399 --> 00:27:11.359]  Then they harvest its organs.
[00:27:12.419 --> 00:27:16.020]  And Joe watched the clip, read about it, and got totally freaked out.
[00:27:16.520 --> 00:27:29.002]  But he's not a psychotic killer, so for him it was hard to believe until he found out they tried to pass a bill in Congress to say you can't keep a baby alive after it's born and harvest its organs, and the bill did not pass.
[00:27:30.323 --> 00:27:31.543]  And it became a big national news story.
[00:27:33.866 --> 00:27:35.027]  Why would they want to do that?
[00:27:35.347 --> 00:27:37.089]  Because it's about power!
[00:27:40.212 --> 00:27:44.055]  And what you do to the least of us, you do to me, Christ said.
[00:27:45.056 --> 00:27:45.917]  Start with the little children.
[00:27:47.398 --> 00:27:48.980]  Or God said, I will kill your ass.
[00:27:51.222 --> 00:27:52.163]  In a very horrible way.
[00:27:53.524 --> 00:27:55.846]  Tie a big ass rock around your neck and throw yourself in the ocean.
[00:27:56.306 --> 00:27:59.910]  That's a better place to be than what God says he'll do to you when you attack
[00:28:02.674 --> 00:28:03.154]  The little ones.
[00:28:03.335 --> 00:28:04.215]  Suffer the little ones.
[00:28:04.235 --> 00:28:12.802]  Alright, let's start getting into it.
[00:28:13.723 --> 00:28:14.784]  Let's start getting to the clips.
[00:28:15.985 --> 00:28:16.905]  Here's the documentary.
[00:28:17.105 --> 00:28:19.848]  It's up on YouTube for now.
[00:28:20.028 --> 00:28:25.032]  They've already taken a bunch of Journeyman Pictures interviews with medical doctors and others down.
[00:28:25.612 --> 00:28:29.896]  And the former head virologist at Rockefeller Hospital and all the rest of it.
[00:28:30.592 --> 00:28:33.975]  Perspectives on Pandemic, the Undercover Epicenter Nurse.
[00:28:35.076 --> 00:28:35.937]  Episode 9.
[00:28:36.017 --> 00:28:39.380]  I mean... Project Veritas is amazing.
[00:28:39.640 --> 00:28:43.844]  These journeyman pitchers just... I probably spent 20 hours on their site.
[00:28:45.282 --> 00:28:47.263]  And it's all public interest.
[00:28:47.323 --> 00:28:48.004]  I didn't even ask them.
[00:28:48.024 --> 00:28:50.205]  I've just been posting their stuff that I know is going to get taken down.
[00:28:50.245 --> 00:28:53.086]  And sure enough, whatever we end up posting at Bandot Video gets taken down.
[00:28:53.126 --> 00:28:54.847]  I mean, they're going to take this down.
[00:28:55.468 --> 00:28:58.950]  Or maybe it's too obvious now, but this nurse has all the video.
[00:28:58.970 --> 00:29:01.371]  She has all the proof of the total criminal activity.
[00:29:03.092 --> 00:29:05.213]  So let's go ahead and go to the intro of the film.
[00:29:05.954 --> 00:29:08.035]  Again, it's at Bandot Video as well.
[00:29:08.695 --> 00:29:12.798]  Our headline is New York undercover nurse confirms COVID-19 is criminal hoax.
[00:29:13.962 --> 00:29:15.483]  Share that link now, ladies and gentlemen.
[00:29:16.764 --> 00:29:17.624]  Expose the murderers.
[00:29:17.664 --> 00:29:18.484]  Bring down the criminals.
[00:29:18.585 --> 00:29:19.545]  They think you're weak.
[00:29:19.605 --> 00:29:21.086]  They think you won't hand-share it.
[00:29:21.126 --> 00:29:22.507]  They think they can dominate you.
[00:29:22.687 --> 00:29:24.568]  And they're still killing people all over the U.S.
[00:29:24.868 --> 00:29:25.448]  in hospitals.
[00:29:25.468 --> 00:29:28.650]  And they're going to keep jacking up the death numbers forever, calling it COVID.
[00:29:29.730 --> 00:29:33.693]  Incentivizing the hospitals to be part of the bounty on people.
[00:29:34.653 --> 00:29:36.354]  So here's a part of the documentary.
[00:29:39.676 --> 00:29:41.497]  Perspective from the Pandemic, Episode 9.
[00:29:43.097 --> 00:29:44.838]  The Epicenter Nurse conversation.
[00:29:51.403 --> 00:29:52.404]  John Kirby does the interview.
[00:29:55.607 --> 00:29:56.668]  This is May of this year.
[00:29:58.569 --> 00:29:59.530]  Projects Against Censorship.
[00:29:59.550 --> 00:30:01.451]  Please share, download, and replatform.
[00:30:01.752 --> 00:30:02.172]  Which we've done.
[00:30:05.111 --> 00:30:17.704]  Almost from the onset of the coronavirus epidemic in the United States, New York has been described as the epicenter of the outbreak, and Elmhurst Hospital in Queens, the epicenter of the epicenter.
[00:30:18.084 --> 00:30:22.689]  Obviously, Elmhurst Hospital in Queens is right now the epicenter within the epicenter.
[00:30:22.729 --> 00:30:25.812]  Elmhurst Hospital is the epicenter of the epicenter
[00:30:26.172 --> 00:30:37.619]  Elmhurst Hospital is really at the center of this crisis here in the city and in the country with doctors desperately trying to keep up with the growing number of patients as supplies dwindle.
[00:30:37.659 --> 00:30:39.120]  You see the black body bags?
[00:30:39.580 --> 00:30:40.660]  You say, what's in there?
[00:30:40.740 --> 00:30:41.821]  It's Elmhurst Hospital?
[00:30:42.501 --> 00:30:43.362]  Must be supplies?
[00:30:43.442 --> 00:30:44.803]  It's not supplies, it's people.
[00:30:45.623 --> 00:30:53.468]  Also from the beginning of the crisis, ventilators were described as essential life-saving equipment, initially in short supply.
[00:30:54.195 --> 00:30:59.577]  You picked the 26,000 people who were going to die because you only sent 400 ventilators.
[00:30:59.937 --> 00:31:04.899]  I knew that every person who needed a ventilator and didn't get one would die.
[00:31:05.619 --> 00:31:12.402]  But why does New York, and Elmhurst in particular, appear to have been hit so much harder than other places in the United States?
[00:31:13.702 --> 00:31:23.086]  And were ventilators ever the right approach to treating COVID-19, especially once we realized that 60 to 90 percent of those vented do not survive?
[00:31:24.110 --> 00:31:41.106]  The experience and observations of Nurse Erin Olszewski seem to offer some answers to these pressing questions, while simultaneously providing frontline information about a number of other hot-button topics, including the disproportionate number of COVID deaths among Americans of color,
[00:31:41.727 --> 00:32:00.957]  The distortions surrounding do not resuscitate orders, the disregard for personal protective equipment standards and the clustering of COVID positive with COVID negative patients, which he witnessed again and again, and the tremendous amount of nosocomial or hospital acquired infections that resulted.
[00:32:00.977 --> 00:32:04.038]  Aaron Olszewski.
[00:32:04.058 --> 00:32:09.401]  We're going to come back and go through the documentary, ladies and gentlemen, some of the key clips, but
[00:32:10.643 --> 00:32:11.884]  Pre-meditated.
[00:32:12.744 --> 00:32:14.445]  Same policy, every blue state.
[00:32:15.486 --> 00:32:20.589]  Bring in people that have it, or have pneumonia, or have the flu, stick them with old people.
[00:32:21.529 --> 00:32:25.332]  I mean, this is like you grow magic mushrooms on cow manure.
[00:32:27.853 --> 00:32:32.176]  Or you grow corn on a certain type of black soil, or you put milk in your coffee.
[00:32:32.216 --> 00:32:34.517]  I mean, this is standard procedure.
[00:32:37.619 --> 00:32:38.700]  This is 100% to kill people.
[00:32:42.074 --> 00:32:43.495]  And it's done premeditatedly.
[00:32:43.876 --> 00:32:47.079]  And again, the moral doctors and people said, you can't do this.
[00:32:47.119 --> 00:32:50.502]  Just like until 10 years ago, you didn't give premature babies vaccines.
[00:32:50.862 --> 00:32:52.043]  You didn't give pregnant women vaccines.
[00:32:52.183 --> 00:32:53.384]  It's well known it causes miscarriages.
[00:32:53.644 --> 00:32:56.847]  Now they say, oh, give a pregnant woman two flu shots.
[00:32:58.729 --> 00:33:00.751]  They just want to get you used to them killing you.
[00:33:00.791 --> 00:33:01.612]  Do you understand that?
[00:33:02.052 --> 00:33:03.353]  And having everybody follow orders.
[00:33:03.713 --> 00:33:06.316]  My dad owned a hospital in Dallas.
[00:33:08.356 --> 00:33:19.121]  with a group of doctors and he learned the hospital he was a small hospital he owned in Garland slash Rowlett in Mesquite.
[00:33:20.362 --> 00:33:24.944]  They weren't killing people but he was told through the grapevine they were killing people in Dallas for their organs.
[00:33:25.244 --> 00:33:27.245]  It later came out on 60 Minutes what my dad told me.
[00:33:27.606 --> 00:33:28.326]  They'll kill you.
[00:33:28.346 --> 00:33:29.006]  Do you understand that?
[00:33:29.407 --> 00:33:30.747]  Welcome back ladies and gentlemen.
[00:33:31.147 --> 00:33:37.551]  I was just talking to the crew about the Democratic Party and all these sick murderers trying to bring down Infowars.
[00:33:38.997 --> 00:33:52.049]  And how Letitia James up there in New York, their evil, evil, evil Attorney General, ordered the nursing homes under criminal penalty to bring in COVID-19 patients so they could just devastate those people.
[00:33:53.230 --> 00:34:01.557]  It's a badge of honor that that criminal is trying to get me indicted up in New York and running around lying about us and saying we have a COVID-19 cure.
[00:34:01.657 --> 00:34:02.278]  That's a damn lie.
[00:34:02.318 --> 00:34:04.780]  I've been exposing COVID-19 as a hoax from the beginning.
[00:34:07.901 --> 00:34:12.284]  It's a badge of honor that criminals like Newsom and Cuomo hate my guts.
[00:34:12.485 --> 00:34:15.887]  They are serial killer scum.
[00:34:16.568 --> 00:34:22.833]  They are premeditated mafias that run by a playbook that makes Jeffrey Dahmer look like he wasn't premeditated.
[00:34:23.253 --> 00:34:30.679]  These are premeditated, premeditated people following a globalist handbook and playbook
[00:34:33.217 --> 00:34:35.899]  You literally have life and death power over everyone.
[00:34:35.959 --> 00:34:36.760]  It's what they want.
[00:34:37.040 --> 00:34:37.760]  It's who they are.
[00:34:38.020 --> 00:34:39.662]  They're anti-human exterminists.
[00:34:40.222 --> 00:34:41.243]  But they've got a problem.
[00:34:41.803 --> 00:34:44.425]  There are all these doctors and nurses that aren't evil.
[00:34:46.186 --> 00:34:49.569]  And they're not going to follow what the bioethics boards tell them to kill preemies.
[00:34:52.517 --> 00:34:59.103]  You always hear about crazy nurses and doctors that are killing kids, and you always see old movies and stuff about the mad scientist doctor doing experiments.
[00:34:59.363 --> 00:35:00.965]  That's because that really goes on!
[00:35:01.325 --> 00:35:04.448]  The highest level of psychotics is in the medical field.
[00:35:04.889 --> 00:35:06.410]  There's also a high degree of good people.
[00:35:07.271 --> 00:35:08.592]  That's why it used to all be charity.
[00:35:08.872 --> 00:35:16.139]  Ron Paul used to do a third of his work for $2 a night, and the media
[00:35:17.130 --> 00:35:27.535]  Tried to cover that up, but up until the time he was retiring in the 80s, doctors did at least a third of their work for about $2 a day.
[00:35:28.415 --> 00:35:30.896]  A third of the time you'd go into the hospital, the dentist's office, wherever.
