[00:00:05.264 --> 00:00:07.305]  Careful what you wish.
[00:26:39.809 --> 00:26:43.113]  He went and got in a super dangerous ultralight and crashed it and killed himself.
[00:26:43.113 --> 00:26:46.436]  And family said, well, he thought he was invincible because he had 80 billion dollars.
[00:26:46.436 --> 00:26:49.940]  No, you're not invincible.
[00:26:49.940 --> 00:26:53.043]  That's what I'm getting at here, is these people are crazy.
[00:26:53.043 --> 00:26:56.046]  What do they call small planes and small jet planes?
[00:26:56.046 --> 00:26:57.288]  They call them doctor killers.
[00:26:59.684 --> 00:27:10.292]  There's so many doctors and lawyers go get their license, they learn to fly, they get arrogant, they get confident, and then they drive their planes right into the ground.
[00:27:10.292 --> 00:27:17.937]  It's that same delusion, that megalomania, as they get more power, they feel more and more invincible.
[00:27:17.937 --> 00:27:18.958]  And so they came out and said,
[00:27:20.734 --> 00:27:24.957]  Nobody can have Trump, and all these foreign leaders agree, and so we're going to just take it away from them.
[00:27:24.957 --> 00:27:26.759]  People said, no you're not.
[00:27:26.759 --> 00:27:29.941]  So it caused the numbers to get even stronger for Trump, so now they've backed off.
[00:27:29.941 --> 00:27:32.964]  And I said last week with Stone, I said, you watch.
[00:27:32.964 --> 00:27:33.724]  They're arrogant.
[00:27:33.724 --> 00:27:35.486]  They're not going to back off now.
[00:27:35.486 --> 00:27:39.449]  They think they're invincible.
[00:27:39.449 --> 00:27:46.374]  They're just waiting so that Trump stops talking about how they're stealing it from him, and then they're going to basically scuttle it or
[00:27:48.188 --> 00:28:09.694]  Take the money or do something, and that's exactly what they're doing, is they're claiming because the RNC, the money goes to the RNC first, it's a clearing house, that they're going to keep the money, and that Trump's supposed to make a deal with them, and then they're going to basically run the ship aground and let Hillary get in, which Paul Ryan has said and Mitch McConnell have said, again, the arrogance level.
[00:28:10.626 --> 00:28:16.434]  That they get up there and say, we're the party, we run this country, we'll do what we want, we're working with Hillary.
[00:28:16.434 --> 00:28:20.880]  They've totally uncloaked themselves.
[00:28:20.880 --> 00:28:27.289]  Just like John Kerry comes out, and Obama in the same weekend at commencement speeches and says we're going to have a borderless world, get used to it.
[00:28:30.489 --> 00:28:53.319]  Just like they say, hey UK, you've got to stay in the European Union, even though you never got to vote 20 years ago to enter it, and even though it now makes almost all your laws and is ordering the UK to bring in hundreds of thousands every few months of unvetted people from Syria and other areas, or they're going to fine them a quarter million euros per person.
[00:28:53.319 --> 00:28:57.061]  Unelected bureaucracy says quarter million for each person you refuse.
[00:28:59.608 --> 00:29:01.710]  And you're a nation-state and you go, I don't want to pay for this.
[00:29:01.710 --> 00:29:02.230]  I don't want to do this.
[00:29:02.230 --> 00:29:03.811]  They go, that's the way it is.
[00:29:03.811 --> 00:29:04.752]  You're going to go under it.
[00:29:04.752 --> 00:29:06.293]  That's world government.
[00:29:06.293 --> 00:29:09.856]  It's not just like they're building some Star Trek Federation.
[00:29:09.856 --> 00:29:17.943]  We're all going to be lovey-dovey and, you know, walk around and, you know, cool one-piece outfits and fly around and battle the aliens and whatever.
[00:29:17.943 --> 00:29:20.585]  That's all UN programming, the UN symbol.
[00:29:20.585 --> 00:29:21.165]  They admit that.
[00:29:21.165 --> 00:29:23.347]  The symbol of the
[00:29:26.522 --> 00:29:28.782]  Starfleet and all the rest of it, it's just in your face.
[00:29:28.782 --> 00:29:37.784]  No, it's big giant megabanks above the law and armored fortresses, controlling everything we do and dictating what we do.
[00:29:37.784 --> 00:29:45.046]  And then you look at the media and the propaganda, the culture they're pushing is pure death, anti-family, anti-free market, eugenics.
[00:29:45.046 --> 00:29:46.946]  These people are pure evil.
[00:29:46.946 --> 00:29:49.347]  They're committed to evil.
[00:29:49.347 --> 00:29:53.267]  We're on the march, the empire's on the run.
[00:29:53.267 --> 00:29:55.948]  Alex Jones and the GCN Radio Network.
[00:30:00.100 --> 00:30:09.327]  The Constitutional Convention of 1787 was held in strict secrecy, and at the end of the proceedings, citizens gathered outside Independence Hall to learn what had been produced behind closed doors.
[00:30:09.327 --> 00:30:13.511]  While Benjamin Franklin was leaving the hall, a lady asked him, Well, Doctor, what have we got?
[00:30:13.511 --> 00:30:15.112]  A republic or a monarchy?
[00:30:15.112 --> 00:30:18.074]  To which he responded, A republic, if you can keep it.
[00:30:18.074 --> 00:30:22.838]  But today, not only have we lost a republic, but most people don't even know what a republic even is.
[00:30:22.838 --> 00:30:25.380]  For one thing, a republic is not a democracy.
[00:30:25.520 --> 00:30:31.545]  The republic operates under the rule of law which protects individual liberties so that the majority cannot take away the rights of the minority.
[00:30:31.545 --> 00:30:37.090]  Under a republic, the government and its citizens all abide by the same laws regardless of political power or lack thereof.
[00:30:37.090 --> 00:30:41.214]  Democracy, on the other hand, only leads to mob rule fueled by the unrestrained whims of the public.
[00:30:41.434 --> 00:30:48.117]  In a democracy, the individual or any groups of individuals composing the minority have no protection against the unlimited power of the majority.
[00:30:48.117 --> 00:30:50.017]  It is a case of majority over man.
[00:30:50.017 --> 00:30:53.519]  In other words, under a democracy, two wolves can vote to eat the sheep for dinner.
[00:30:53.519 --> 00:30:57.060]  But under a republic, the sheep's right to life is protected by the rule of law.
[00:30:57.060 --> 00:30:59.441]  This is Kit Daniels with InfoWars.com.
[00:30:59.821 --> 00:31:06.326]  More than two years ago, InfoWars first told you about our research into what has been called the Iodine Conspiracy.
[00:31:06.326 --> 00:31:19.095]  I've told you about how scientists have known for decades that iodine deficiencies can devastate IQ, and how the government knowingly started taking iodine out of the food and adding fluoride, the bad member of the halogen family, into the water.
[00:31:19.295 --> 00:31:22.956]  They took the good halogen out and put the deadly halogen in.
[00:31:22.956 --> 00:31:29.938]  And when the Fukushima crisis worsened, as it still is worsening today, I was there telling you how to prepare yourself and your family.
[00:31:29.938 --> 00:31:42.802]  Now, in 2016, even more information has been revealed concerning the connection between iodine and the gut, which many experts are now saying could be the biggest revelation ever concerning iodine.
[00:31:42.802 --> 00:31:44.362]  You can pull these studies up for yourself.
[00:31:44.642 --> 00:31:51.046]  This is the real deal, folks, and the truth is that iodine is essential, in my view, to any optimum health regimen.
[00:31:51.046 --> 00:31:55.970]  Stock up on Survival Shield X2 today at Infowarslife.com or by calling 888-253-3139.
[00:31:59.768 --> 00:32:00.409]  Uh, yeah, Alex.
[00:32:00.409 --> 00:32:06.232]  First of all, I want to say, take the 12X2, Supermail, Brain Force, Prostagart, Silver Bullet.
[00:32:06.232 --> 00:32:07.193]  I use them all.
[00:32:07.193 --> 00:32:08.173]  They're phenomenal.
[00:32:08.173 --> 00:32:08.934]  They work.
[00:32:08.934 --> 00:32:09.754]  Buy them, folks.
[00:32:09.754 --> 00:32:10.395]  Thank you, brother.
[00:32:10.395 --> 00:32:12.496]  Thank you, guys, for putting those out there.
[00:32:12.496 --> 00:32:18.379]  I am a relatively short-time listener, and I'm quite a supporter of your fine, fine products.
[00:32:18.379 --> 00:32:20.381]  Welcome to the InfoWar.
[00:32:20.381 --> 00:32:25.784]  It's so easy to get these incredible nutraceuticals that support your health and the InfoWar at the same time.
[00:32:26.244 --> 00:32:26.944]  I'm a nine-year listener.
[00:32:26.944 --> 00:32:30.845]  I buy all the nutraceuticals, PASCO FX, uh, nascent iodine.
[00:32:30.845 --> 00:32:31.626]  Let me ask you a question.
[00:32:31.626 --> 00:32:32.666]  Have they worked for you?
[00:32:32.666 --> 00:32:35.527]  They're the most unbelievable products I've ever had in my life.
[00:32:35.527 --> 00:32:36.867]  What products are you taking?
[00:32:36.867 --> 00:32:42.889]  Everything from, uh, Super Male to, uh, Brain Force to Winter Sun, uh, X2.
[00:32:42.889 --> 00:32:44.889]  Even got a little, uh, DNA Force.
[00:32:44.889 --> 00:32:48.370]  So, and I just re-upped everything and I just went to Autofill.
[00:32:48.530 --> 00:32:53.572]  Visit Infowarslife.com to read the information and research and to see the reviews for yourself.
[00:32:53.572 --> 00:32:55.593]  That's Infowarslife.com or call 888-253-3139.
[00:33:10.675 --> 00:33:16.220]  Before America can be great again, she must be free again.
[00:33:16.220 --> 00:33:22.625]  You're listening to the Alex Jones Show!
[00:33:22.625 --> 00:33:25.388]  Our job should be pretty easy now.
[00:33:25.388 --> 00:33:28.871]  A private world corporate government has openly announced planetary rule.
[00:33:29.989 --> 00:33:40.191]  A planetary tax on all carbon is being established to fund 100 trillion per decade in strategic drawing rights for the central banks.
[00:33:40.191 --> 00:33:44.132]  It's all been announced the last four Davos meetings in a row.
[00:33:44.132 --> 00:33:51.653]  John Kerry is telling students at commencement speeches that's coming up that we're in a borderless world and sovereignty is gone.
[00:33:51.653 --> 00:33:55.614]  This is 21st century warfare we're witnessing and that's why Donald J. Trump is under such attack.
[00:33:56.502 --> 00:33:57.623]  Because he is a nationalist.
[00:33:57.623 --> 00:33:58.984]  He said globalism is the problem.
[00:33:58.984 --> 00:33:59.524]  It's not fair.
[00:33:59.524 --> 00:34:02.827]  It's a bunch of special interests screwing over the nation-state.
[00:34:02.827 --> 00:34:06.830]  They've used America's openness to come in and buy us off.
[00:34:06.830 --> 00:34:09.292]  It wasn't the communists that were the big threat, say, in Russia.
[00:34:09.292 --> 00:34:14.676]  It was the globalists within using collectivism to domesticate our people.
[00:34:14.676 --> 00:34:15.817]  So it was the sneak attack.
[00:34:15.817 --> 00:34:18.879]  We're going to Roger Stone with probably the biggest news he's ever broken here.
[00:34:18.879 --> 00:34:20.440]  I keep saying that each week when he comes on.
[00:34:20.440 --> 00:34:21.281]  It just gets bigger and bigger.
[00:34:21.281 --> 00:34:22.161]  But this is huge.
[00:34:22.161 --> 00:34:23.522]  The story's up on InfoWars.com.
[00:34:25.214 --> 00:34:26.695]  It is an exclusive.
[00:34:26.695 --> 00:34:27.376]  It's red-linked.
[00:34:27.376 --> 00:34:29.137]  It needs to go viral everywhere.
[00:34:29.137 --> 00:34:34.921]  Roger Stone, Ryan, and Priebus planning to extort Trump at RNC.
[00:34:34.921 --> 00:34:37.863]  Now, are they looking to openly take over the money?
[00:34:37.863 --> 00:34:38.243]  Yes.
[00:34:38.243 --> 00:34:39.884]  Are they looking to scuttle the campaign for Hillary?
[00:34:39.884 --> 00:34:40.505]  They've admitted that.
[00:34:42.076 --> 00:34:44.317]  He needs to be removed as speaker now.
[00:34:44.317 --> 00:34:48.440]  The arrogance is just dumbfounding.
[00:34:48.440 --> 00:34:52.322]  They're like villains out of a Shakespeare play.
[00:34:52.322 --> 00:34:55.404]  We're going to Mr. Stone here in just a moment of StoneZone.com.
[00:34:55.404 --> 00:35:00.907]  Before I go any further, we've had a storable food special that ran for two weeks.
