[00:00:04.676 --> 00:00:05.897]  It's October 30th, 2016.
[01:29:09.390 --> 01:29:19.677]  Despite spending trillions of dollars in health care, nearly $10,000 per man, woman, and child in this country, obesity, diabetes, cancer, heart disease, and autoimmune illnesses are rampant.
[01:29:19.677 --> 01:29:25.661]  One out of three or four people is dealing with some kind of health challenge, and everyone knows at least one person with a degenerative disease.
[01:29:26.121 --> 01:29:40.978]  If you're dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity, and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino
[01:29:41.078 --> 01:29:41.639]  I think so.
[01:30:01.266 --> 01:30:10.613]  You know, in the coming election, no matter who gets in, one of the biggest issues nobody's talking about in the debates or anywhere is the vulnerability of the power grid.
[01:30:10.613 --> 01:30:13.515]  The potential for power grid chaos.
[01:30:13.515 --> 01:30:21.682]  EMP, cyber warfare, not to mention dangerous weather, hurricanes, ice storms, all a very real threat to our grid.
[01:30:21.682 --> 01:30:24.624]  My friends, chaos is already here, and it's gonna get a lot worse.
[01:30:24.864 --> 01:30:30.929]  That's why I believe that all my listeners need to have a way to produce their own supply of backup electricity.
[01:30:30.929 --> 01:30:34.852]  Now I've got the perfect power solar generator system at my house.
[01:30:34.852 --> 01:30:36.734]  The Solutions from Science system.
[01:30:36.734 --> 01:30:39.236]  Simply put, this thing is amazing.
[01:30:39.236 --> 01:30:41.738]  Solutions from Science only makes the best equipment.
[01:30:41.738 --> 01:30:44.501]  Go to powergridchaos.com.
[01:30:44.501 --> 01:30:47.543]  That's powergridchaos.com to check it out.
[01:30:47.543 --> 01:30:48.284]  Now this is key.
[01:30:48.604 --> 01:30:54.227]  Right now, get 70% off their top-of-the-line Perfect Power Solar Generator.
[01:30:54.227 --> 01:30:56.208]  This is the one I use in my home.
[01:30:56.208 --> 01:31:01.070]  Go to PowerGridChaos.com and get 70% off.
[01:31:01.070 --> 01:31:04.292]  A clean, toxic-free body is the foundation of true health.
[01:31:04.292 --> 01:31:06.353]  Deep Cleanse by InfoWarsLife.com
[01:31:06.633 --> 01:31:13.640]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[01:31:13.640 --> 01:31:18.965]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[01:31:18.965 --> 01:31:27.974]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites and others, Deep Cleanze doesn't hold back.
[01:31:28.374 --> 01:31:37.257]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[01:31:37.257 --> 01:31:44.339]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spike G-Rex herbal processing technique.
[01:31:44.339 --> 01:31:49.721]  We use only the highest quality organic herbs, backed by serious research, and we still bring it to you at the best.
[01:31:50.001 --> 01:31:55.624]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit Infowarslife.com.
[01:31:55.624 --> 01:31:57.565]  That's Infowarslife.com or call 888-253-3139.
[01:32:00.899 --> 01:32:02.779]  You developed Living Defense for us.
[01:32:02.779 --> 01:32:04.080]  It took you over a year to do it.
[01:32:04.080 --> 01:32:05.300]  Why is this so good?
[01:32:05.300 --> 01:32:10.581]  Because people are actually waking up to the problem that pretty much scares me the most.
[01:32:10.581 --> 01:32:24.124]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[01:32:24.124 --> 01:32:25.484]  Right now with all the refugees,
[01:32:26.244 --> 01:32:27.905]  Uh, spreading disease around.
[01:32:27.905 --> 01:32:30.486]  We have biological warfare going on everywhere.
[01:32:30.486 --> 01:32:31.786]  These are all parasites.
[01:32:31.786 --> 01:32:32.907]  Tell us about all the stuff that's in it.
[01:32:32.907 --> 01:32:34.227]  There's so many things that are in it.
[01:32:34.227 --> 01:32:38.729]  You have the neem in there, you have the organic clove bug, the organic wormwood.
[01:32:38.729 --> 01:32:41.891]  I recommend doing a parasite cleanse at least twice a year.
[01:32:41.891 --> 01:32:45.092]  Alright, well, I'm glad we've got some back in because I'm going back on it today.
[01:32:45.092 --> 01:32:46.132]  It just came back in yesterday.
[01:32:46.132 --> 01:32:46.953]  Living Defense.
[01:32:46.953 --> 01:32:48.053]  Infowarslife.com.
[01:32:48.053 --> 01:32:49.074]  And folks, you can't lose.
[01:32:49.074 --> 01:32:51.795]  It's full of stuff that's great for your body, period.
[01:32:51.795 --> 01:32:51.995]  And, uh,
[01:32:52.655 --> 01:32:53.675]  You support the broadcast.
[01:32:53.675 --> 01:32:55.036]  Infowarslive.com.
[01:32:55.036 --> 01:32:57.276]  Thank you Dr. Group from the Global Healing Center.
[01:32:57.276 --> 01:33:04.498]  Thank you so much for all your work, sir, on this great product.
[01:33:04.498 --> 01:33:12.480]  You're listening to the Alex Jones Show.
[01:33:12.480 --> 01:33:18.522]  In this present crisis, government is not the solution to our problem.
[01:33:18.522 --> 01:33:20.042]  Government is the problem.
[01:33:23.001 --> 01:33:30.724]  From time to time, we've been tempted to believe that society has become too complex to be managed by self-rule.
[01:33:30.724 --> 01:33:38.786]  That government by an elite group is superior to government for, by, and of the people.
[01:33:38.786 --> 01:33:40.907]  The Alex Jones Show.
[01:33:40.907 --> 01:33:43.808]  Because there is a war on for your mind.
[01:33:45.385 --> 01:33:49.848]  All right, we've got two segments left, and I'll be back tomorrow, Lord willing.
[01:33:49.848 --> 01:33:50.168]  11 a.m.
[01:33:50.168 --> 01:33:50.789]  to 3 p.m.
[01:33:50.789 --> 01:33:52.090]  Central, 12 noon to 4 p.m.
[01:33:52.090 --> 01:33:52.930]  Eastern.
[01:33:52.930 --> 01:33:55.812]  Roger Stone of StoneColdTruth.com is our guest.
[01:33:55.812 --> 01:33:57.554]  Former head of the Trump campaign.
[01:33:57.554 --> 01:34:02.137]  One of the main fighters out there is the WikiLeaks show that they're most afraid of.
[01:34:02.137 --> 01:34:05.700]  That's why we love having him on, because his info is so on target.
[01:34:05.700 --> 01:34:10.143]  We have the Chicago Tribune, big supporters of Hillary, saying Democrats should ask Hillary
[01:34:11.425 --> 01:34:21.650]  They'll step aside, because the contested election, the corruption, all the baggage, they've been caught lying in WikiLeaks, she's gonna get removed from office.
[01:34:21.650 --> 01:34:24.592]  Well, Hillary doesn't care, she's going forward.
[01:34:24.592 --> 01:34:28.513]  Roger Stone, globalist, deserting Hillary.
[01:34:28.513 --> 01:34:32.916]  Hillary has too much baggage for globalists, says Stone.
[01:34:32.916 --> 01:34:35.837]  I've really psychoanalyzed this, tell me if I'm wrong, Roger.
[01:34:35.837 --> 01:34:39.179]  Comey was in trouble with his wife, the FBI is in mutiny,
[01:34:40.503 --> 01:34:42.945]  They're moving towards press conferences.
[01:34:42.945 --> 01:34:46.027]  That's the intel I got coming up this week.
[01:34:46.027 --> 01:34:47.228]  More WikiLeaks.
[01:34:47.228 --> 01:34:48.649]  He wants to save his legacy.
[01:34:48.649 --> 01:34:52.871]  He goes with this, whether it's meat, potatoes or not.
[01:34:52.871 --> 01:34:57.174]  The other FBI folks are saying, oh, it's a diversion because they're sick of Comey.
[01:34:57.174 --> 01:35:00.657]  They're ready to put his head politically on a stick.
[01:35:00.657 --> 01:35:08.842]  And so there's almost like a fervor of the villagers trying to storm Frankenstein's castle.
[01:35:08.842 --> 01:35:09.423]  Is that accurate?
[01:35:10.216 --> 01:35:11.157]  Well, it may be.
[01:35:11.157 --> 01:35:13.138]  I mean, this is kind of like criminology.
[01:35:13.138 --> 01:35:15.399]  We've got to try to figure out what's happening on.
[01:35:15.399 --> 01:35:31.889]  But an alternative narrative would be that Comey put this to bed for the Clintons, just as he put the Sandy Berger affair away for them when he was at the Justice Department, just as he put the Mark Rich pardon scandal away from them.
[01:35:31.889 --> 01:35:34.110]  No one indicted in either one of those scandals.
[01:35:34.110 --> 01:35:37.452]  No one charged, despite the egregious violation of law.
[01:35:38.861 --> 01:35:43.764]  And the uprising at the FBI has no doubt caught his attention.
[01:35:43.764 --> 01:35:51.909]  And then into his lap drops new information that makes his previous position unsustainable.
[01:35:51.909 --> 01:35:55.091]  So he makes this announcement.
[01:35:55.091 --> 01:36:05.977]  I suspect, I would have thought that the veteran agents at the FBI would have been pleased with the fact that he's finally taken a position that seems to conform
[01:36:06.909 --> 01:36:08.270]  With the facts.
[01:36:08.270 --> 01:36:12.151]  So I'm not sure any of us can tell exactly what has happened.
[01:36:12.151 --> 01:36:19.875]  It's still having spent almost 40 years in Washington and spent some time in government and the entire time in politics.
[01:36:19.875 --> 01:36:30.179]  It's hard for me to believe that the FBI director makes an announcement of this import without the approval of his boss, the President of the United States.
[01:36:30.179 --> 01:36:33.741]  I just find that very hard to believe.
[01:36:33.741 --> 01:36:35.602]  Now, the Clinton-Spain outrage
[01:36:37.034 --> 01:36:42.236]  That he's taking this position, but they didn't have much outrage when Bill met with the U.S.
[01:36:42.236 --> 01:36:47.918]  Attorney General completely inappropriately days before this decision was announced.
[01:36:47.918 --> 01:36:54.321]  That's why they're saying it's inappropriate for him to tell Congress, but then they're meeting secretly on an airplane getting caught.
[01:36:54.321 --> 01:36:56.142]  Looking at this then, Roger Stum.
[01:36:56.142 --> 01:36:58.123]  Yes.
[01:36:58.123 --> 01:37:03.685]  Isn't it really just that Comey does want to cover his butt and that the Clintons are upset about this?
[01:37:05.711 --> 01:37:16.974]  Well, that's probably what it is, but it does, in a race this close, with an electorate this volatile, it does have the potential to change the race.
[01:37:16.974 --> 01:37:21.575]  Now, I argued on here yesterday that the momentum had already shifted to Trump.
[01:37:21.575 --> 01:37:24.675]  There was evidence that he was coming on.
[01:37:24.675 --> 01:37:27.436]  This, I think, continues to be true.
[01:37:27.436 --> 01:37:32.297]  If anything, this announcement accelerates that trend.
[01:37:32.297 --> 01:37:33.818]  New poll in Florida today.
[01:37:33.818 --> 01:37:35.218]  Trump up four.
[01:37:36.633 --> 01:37:51.208]  As I said yesterday in Pennsylvania, where I mentioned David Urban, the hard driving, very well organized and shrewd organizer heading the Trump campaign in the Keystone State.
[01:37:51.208 --> 01:37:58.956]  In Florida, Susan Wiles, one of the most accomplished and experienced political operators, not only in the state,
[01:37:59.653 --> 01:38:13.401]  But nationally, heads the Trump campaign, knows what she's doing, is supremely well organized, probably needs more resources, but I have enormous confidence in Susan Wiles.
[01:38:13.401 --> 01:38:18.703]  Again, a standout in the Trump campaign in terms of knowing what she's doing.
[01:38:18.703 --> 01:38:26.888]  So I think that although they are in a catch-up mode, the Trump campaign will never be the well-oiled machine that the Clintons have.
[01:38:27.537 --> 01:38:32.741]  But they'll more than make up for it in enthusiasm and intensity.
[01:38:32.741 --> 01:38:37.324]  Unlike several days ago, I'm feeling better and better about Florida.
[01:38:37.324 --> 01:38:49.532]  I wish that the campaign would spend some money on Spanish language media, highlighting Trump's economic program and what it would mean to the Hispanic community.
[01:38:49.532 --> 01:38:56.617]  But all of that said, I think Trump is on track to carry a state that Alex, he must carry to win this race.
[01:38:58.024 --> 01:39:01.066]  So where would you put the race right now?
[01:39:01.066 --> 01:39:10.130]  It's still a toss-up, but momentum is what's important, because the race is going to be in a different place tomorrow than it was today and than it was yesterday.
[01:39:10.130 --> 01:39:12.932]  That's how volatile and close this is.
[01:39:12.932 --> 01:39:16.593]  Sure, well we're now eight days and a few hours out from this.
[01:39:16.593 --> 01:39:17.634]  Other wild cards?
[01:39:17.634 --> 01:39:18.694]  Are the Clintons out of ammo?
[01:39:18.694 --> 01:39:20.035]  What else could happen?
[01:39:20.035 --> 01:39:23.597]  Well, one thing I do want to clarify, because there's been a lot of comment on it,
[01:39:24.432 --> 01:39:26.512]  And I am interested in being accurate.
[01:39:26.512 --> 01:39:36.654]  And I think you would admit that everything I have predicted or said since we met and I began doing these broadcasts has turned out to be true.
[01:39:36.654 --> 01:39:48.417]  Yesterday, I said that I had intelligence that Hillary Clinton had met with the Broward County Supervisor of Elections and that that wasn't on her schedule.
[01:39:48.417 --> 01:39:50.597]  There was no media presence.
[01:39:50.597 --> 01:39:54.118]  And I believe that there was video and photos existing.
[01:39:54.989 --> 01:39:57.370]  I was incorrect about that.
[01:39:57.370 --> 01:40:00.711]  In fact, I was off by a county.
[01:40:00.711 --> 01:40:11.053]  The Clinton entourage pulled up behind the West Palm Beach office of the Palm Beach County Supervisor of Elections.
[01:40:11.053 --> 01:40:18.755]  Hillary Clinton was physically seen by at least three witnesses meeting with officials from the building.
[01:40:18.755 --> 01:40:20.556]  These observers were shooed away.
[01:40:21.951 --> 01:40:25.714]  I am trying to determine whether there is existing video.
[01:40:25.714 --> 01:40:27.435]  I'm told that there is.
[01:40:27.435 --> 01:40:29.316]  So I want to clarify.
[01:40:29.316 --> 01:40:37.120]  Our information came from a very well-intentioned woman, two women really, who are active in Citizens for Trump.
[01:40:37.120 --> 01:40:40.982]  There was some language barrier because they are Spanish speakers.
[01:40:40.982 --> 01:40:42.963]  I do not speak Spanish.
[01:40:42.963 --> 01:40:49.067]  The information came through a Citizens for Trump official and I was incorrect.
[01:40:49.067 --> 01:40:50.768]  I have now clarified it.
[01:40:51.621 --> 01:40:59.443]  Other than to say, Palm Beach is, of course, ground zero of the Democrats' vote-stealing operation.
[01:40:59.443 --> 01:41:00.883]  More on this tomorrow.
[01:41:18.662 --> 01:41:22.385]  Well, first of all, as you know, voting has started across the country.
[01:41:22.385 --> 01:41:26.388]  Early voting in a number of states and the volume of irregularities already is deeply concerning.
[01:41:46.991 --> 01:41:48.673]  Today, wouldn't you call the level historic?
[01:41:48.673 --> 01:41:50.256]  I mean, I've never seen anything like this.
[01:41:50.256 --> 01:41:51.538]  I call it hysterical.
[01:41:51.538 --> 01:42:02.534]  I mean, the Huffington Post today attacking the Stop the Steal project, insisting again that we seek to intimidate people, that this is about thugs.
[01:42:02.950 --> 01:42:05.912]  Roving bands of thugs imitating voters.
[01:42:05.912 --> 01:42:07.292]  This is irresponsible?
[01:42:07.292 --> 01:42:12.775]  Sure, I'm saying the level of admitted vote flipping and fraud and dead people voting, mainstream news admits it.
[01:42:12.775 --> 01:42:15.036]  I've never seen any admission this big.
[01:42:15.036 --> 01:42:20.319]  Then they go, oh it's insane, Trump's insane, Roger Stone's insane, Alex Jones is insane.
[01:42:20.319 --> 01:42:21.659]  There's zero fraud.
[01:42:21.659 --> 01:42:24.501]  When Drudge has like 30 links a day, the mainstream news admitting it.
[01:42:25.134 --> 01:42:26.075]  Yeah, it's extraordinary.
[01:42:26.075 --> 01:42:28.756]  People voting twice, people voting in other people's names.
[01:42:28.756 --> 01:42:33.700]  No, I think it is the precursor to what is going to happen.
[01:42:33.700 --> 01:42:40.524]  You're going to see massive voter fraud, but you're also going to see, in my opinion, machine manipulation.
[01:42:40.524 --> 01:42:41.265]  Sure, that's the big one.
[01:42:41.265 --> 01:42:45.588]  Let's talk about that straight ahead and also how they're trying to control the media, which Wicked Leaks totally shows.
[01:42:45.588 --> 01:42:46.989]  And my final point I want to ask Stone.
[01:42:47.952 --> 01:42:53.574]  Look, even if she steals and gets in, I mean, all the corruption that's come out, there's gotta be no way she can stay in.
[01:42:53.574 --> 01:43:04.497]  Even if they have the control of the courts, control of the Justice Department, just in public opinion, she is convicted.
[01:43:04.497 --> 01:43:09.158]  Charlie Daniels, he's always loved America, he's always defended the Second Amendment.
[01:43:09.358 --> 01:43:12.121]  Let me just read a little thing here from Agenda 21.
[01:43:12.121 --> 01:43:16.285]  The American system of justice must be changed to conform to the rest of the world.
[01:43:16.285 --> 01:43:20.249]  Individual rights will have to take a back seat to the collective.
[01:43:20.249 --> 01:43:21.871]  Well, you know what this expo's gonna be, don't you?
[01:43:21.871 --> 01:43:23.833]  It's gonna be coming after you, Gunn.
[01:43:23.833 --> 01:43:24.614]  Oh, yeah.
[01:43:24.614 --> 01:43:26.176]  I tell you, it ain't gonna sit well down my way.
[01:43:26.716 --> 01:43:27.697]  At all.
[01:43:27.697 --> 01:43:28.737]  It ain't gonna sit well.
[01:43:28.737 --> 01:43:30.959]  Do you ever wonder what happened to America?
[01:43:30.959 --> 01:43:32.100]  It's time to ride, boys.
[01:43:32.100 --> 01:43:33.821]  We need a thousand Paul Revere's.
[01:43:33.821 --> 01:43:40.165]  When I was a boy, it was okay to be proud of the flag, heritage, mom, and apple pie.
[01:43:40.165 --> 01:43:42.026]  And beef was for supper.
[01:43:42.746 --> 01:43:45.210]  Revelation, dawn of global government.
[01:43:45.210 --> 01:43:47.192]  Theatrical screenings on demand.
[01:43:47.192 --> 01:43:48.734]  DVDs now available.
[01:43:48.734 --> 01:43:53.440]  Starring Alex Jones, Charlie Daniels, Special Ops General Jerry Boykin.
[01:43:53.440 --> 01:43:56.804]  Wanna shed some tears over the red, white, and blue?
[01:43:56.804 --> 01:43:59.147]  Revelation, the movie, dot info.
[01:43:59.147 --> 01:43:59.948]  Let's fix it.
[01:44:00.248 --> 01:44:02.311]  Brainforce, it's completely different.
[01:44:02.311 --> 01:44:03.532]  Try a bottle of it.
[01:44:03.532 --> 01:44:05.134]  Rob Dew joins us.
[01:44:05.134 --> 01:44:08.238]  You worked, I guess, like 20 plus hours.
[01:44:08.238 --> 01:44:09.339]  Tell us what Brainforce did.
[01:44:09.339 --> 01:44:10.261]  I've been working all day.
[01:44:10.261 --> 01:44:12.784]  I took a couple hours off coaching basketball.
[01:44:12.784 --> 01:44:14.205]  I get in here at 830.
[01:44:14.205 --> 01:44:16.108]  I was kind of run down.
[01:44:16.108 --> 01:44:17.830]  You know, I just didn't feel like I was going to make it.
[01:44:18.030 --> 01:44:19.911]  And I really wanted to do a good job on the interview.
[01:44:19.911 --> 01:44:21.751]  I got my bottle of Brain Force right there.
[01:44:21.751 --> 01:44:22.792]  I popped two of them.
[01:44:22.792 --> 01:44:25.073]  And about 20 minutes later, it's like, bing!
[01:44:25.073 --> 01:44:26.973]  Everything just kind of clears up.
[01:44:26.973 --> 01:44:28.534]  It's got four and a half stars.
[01:44:28.534 --> 01:44:29.854]  People really love it.
[01:44:29.854 --> 01:44:30.475]  Read about it.
[01:44:30.475 --> 01:44:34.296]  Find out why third-party nutraceutical sites give it such high praise.
[01:44:34.296 --> 01:44:39.578]  Because it really does have the best organic-based systems that will blow your socks off.
[01:44:39.758 --> 01:44:43.802]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without Brain Force.
[01:44:43.802 --> 01:44:49.949]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more Brain Force and came in.
[01:44:49.949 --> 01:44:55.856]  You will find Brain Force and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[01:45:01.568 --> 01:45:03.869]  Electrify your day with Secret 12.
[01:45:03.869 --> 01:45:05.430]  It's like lightning in a bottle.
[01:45:05.430 --> 01:45:09.333]  We all have days in which we just can't seem to perform at the level we'd like to.
[01:45:09.333 --> 01:45:17.278]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[01:45:17.278 --> 01:45:22.241]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[01:45:22.241 --> 01:45:27.704]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[01:45:28.044 --> 01:45:35.828]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[01:45:35.828 --> 01:45:40.551]  It pairs two forms of vitamin B12 into one explosive formula.
[01:45:40.551 --> 01:45:46.414]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[01:45:46.414 --> 01:45:49.576]  But it also assists with many other functions of the body.
[01:45:49.576 --> 01:45:52.818]  Electrify your mind and body and take your health to the next level.
[01:45:53.118 --> 01:45:57.007]  Experience the power of Secret 12 at InfoWarsLife.com.
[01:45:57.007 --> 01:45:58.430]  That's InfoWarsLife.com.
[01:46:01.149 --> 01:46:09.391]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the info war.
[01:46:09.391 --> 01:46:10.611]  A 360 win.
[01:46:10.611 --> 01:46:17.172]  Number one, when you choose AutoShip before checkout, we give you 10% off on your order at infowarshore.com.
[01:46:17.172 --> 01:46:24.694]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip because we hold back a surplus for AutoShip customers.
[01:46:25.094 --> 01:46:29.776]  Number three, we're giving you free shipping on all orders above $50.
[01:46:29.776 --> 01:46:36.279]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[01:46:36.279 --> 01:46:44.063]  Just go to InfoWarsTore.com, select your favorite product or products, click on auto ship, and choose how often you want us to send you another order.
[01:46:44.063 --> 01:46:51.287]  As you know, I coined the term 360 win, and with the new auto ship feature at InfoWarsLife.com, this is a sure win.
[01:46:51.287 --> 01:46:52.087]  10% off on auto ship.
[01:46:52.247 --> 01:46:54.669]  Win-win-win at Infowarslife.com.
[01:46:54.669 --> 01:46:56.651]  Free shipping on orders above 50 bucks.
[01:46:56.651 --> 01:47:05.017]  And all out-of-stock items are never out-of-stock when you sign up for AutoShip.
[01:47:05.017 --> 01:47:19.009]  You're listening to the Alex Jones Show.
[01:47:19.009 --> 01:47:20.110]  You want to stop Theron?
[01:47:21.707 --> 01:47:25.133]  So does every other red-blooded human.
[01:47:25.133 --> 01:47:26.715]  Oh yeah, he found the tip of the spear.
[01:47:30.550 --> 01:47:32.252]  You want to stop tyranny?
[01:47:32.252 --> 01:47:33.893]  Well, so does he.
[01:47:33.893 --> 01:47:38.557]  Live from the InfoWars.com studios, it's Alex Jones.
[01:47:38.557 --> 01:47:40.458]  Hey, I'm not bashing other talk show hosts.
[01:47:40.458 --> 01:47:41.679]  They got to do what they got to do.
[01:47:41.679 --> 01:47:43.621]  Talk radio, the rest of the media is collapsing.
[01:47:43.621 --> 01:47:45.042]  It's a brutal depression.
[01:47:45.042 --> 01:47:47.364]  Thanks to the globalists, they admit that's their plan.
[01:47:47.364 --> 01:47:53.269]  But other talk shows plug every segment, because that's where the real ads are happening now, is during the actual segment.
[01:47:53.269 --> 01:47:54.289]  They're like, hey, you got to plug, Alex.
[01:47:54.289 --> 01:47:55.791]  We got to pay the bills.
[01:47:55.791 --> 01:47:56.691]  And you know what?
[01:47:56.691 --> 01:47:58.072]  Tune into the show tomorrow, 11 to 3 p.m.
[01:47:58.072 --> 01:47:58.373]  Central.
[01:48:01.787 --> 01:48:02.487]  12 noon to 4 p.m.
[01:48:02.487 --> 01:48:02.948]  Eastern.
[01:48:02.948 --> 01:48:05.349]  Tell folks about the articles, the videos.
[01:48:05.349 --> 01:48:09.911]  We've got articles up where the LA Times says we don't know why all these kids are getting paralyzed.
[01:48:09.911 --> 01:48:12.493]  They admit it's the vaccines.
[01:48:12.493 --> 01:48:15.394]  The insert says it can cause it.
[01:48:15.394 --> 01:48:21.417]  Really, for me, it's the public service announcement against collectivism and against tyranny that's my payday.
[01:48:21.417 --> 01:48:25.179]  That's why I skip breaks and don't plug, because I really don't care.
[01:48:25.179 --> 01:48:28.341]  I'm a free market guy, but there'll be no free market if we don't beat these people.
[01:48:29.747 --> 01:48:33.913]  So, I've got a successful family.
[01:48:33.913 --> 01:48:35.896]  I've got a lot of opportunities.
[01:48:35.896 --> 01:48:37.619]  I never used my family for those opportunities.
[01:48:37.619 --> 01:48:39.201]  I'm a home man.
[01:48:39.201 --> 01:48:42.526]  That's why I see these collectivists that want to live through some big giant state.
[01:48:42.526 --> 01:48:43.869]  I've never even used my family.
[01:48:44.911 --> 01:48:46.893]  And their success to be successful.
[01:48:46.893 --> 01:48:49.955]  I've got my own stuff going on that's going to be bigger than anything they ever did.
[01:48:49.955 --> 01:48:51.577]  That's how this works.
[01:48:51.577 --> 01:48:58.703]  And I am sick and tired of watching all the dumbass collectivists that don't know how to build a country sit here and piss on what made this country great.
[01:48:58.703 --> 01:49:02.546]  This country isn't perfect, but compared to other nations, it's amazing.
[01:49:02.546 --> 01:49:07.510]  This is a referendum against cronies and insiders and cabals and mafias.
[01:49:08.737 --> 01:49:14.061]  And every American that bleeds red blood, and people all over the world know, Donald Trump stands for that.
[01:49:14.061 --> 01:49:15.822]  It's an exciting time to be alive.
[01:49:15.822 --> 01:49:19.825]  Now, I want to get to this clip from the latest Project Veritas video.
[01:49:19.825 --> 01:49:25.208]  It's on StoneColdTruth.com, Infowars.com, and of course, Project Veritas' site.
[01:49:25.208 --> 01:49:28.971]  Because it goes to the way they're trying to shut down our information.
[01:49:28.971 --> 01:49:30.112]  Not because we're discrediting.
[01:49:30.112 --> 01:49:32.453]  If we were discrediting, they'd want us on there.
[01:49:32.453 --> 01:49:34.635]  Because it's scary to them.
[01:49:34.635 --> 01:49:35.775]  They know we know the truth.
[01:49:37.014 --> 01:49:49.398]  What else do we do in the next eight days, Roger, to make sure the crime syndicate, because even mainstream news is calling Hillary a crime family, what do we do to make sure this crime family is fully discredited?
[01:49:49.398 --> 01:49:53.340]  Because once we get them out, the door is so open to change the world.
[01:49:53.340 --> 01:49:54.180]  That's why they're so scared.
[01:49:55.438 --> 01:50:09.556]  Well, Alex, I've got to keep going back to Election Day and implore those who believe in a fair and honest election to please go to StopTheSteal.org and sign up as a volunteer to work on Election Day.
[01:50:09.556 --> 01:50:14.322]  We're trying to cover 7,000 specific precincts in the swing states.
[01:50:14.969 --> 01:50:19.994]  These are precincts that are not selected on the basis of racial makeup.
[01:50:19.994 --> 01:50:30.485]  They are based on reports of fraud in the past or one party government, one party controlling the entire electoral process.
[01:50:30.485 --> 01:50:34.610]  If this election is hijacked, it will not be appealable.
[01:50:35.109 --> 01:50:38.090]  Unless there is admissible proof.
[01:50:38.090 --> 01:50:44.991]  That is the purpose of running a completely neutral, scientifically based exit poll.
[01:50:44.991 --> 01:50:50.213]  We're only interested in this project and talking to people after they vote.
[01:50:50.213 --> 01:50:53.713]  So we need your elbow grease.
[01:50:53.713 --> 01:50:55.674]  We need your boots on the ground.
[01:50:56.175 --> 01:50:58.417]  We need your shoe leather to help us.
[01:50:58.417 --> 01:50:59.738]  We will train you.
[01:50:59.738 --> 01:51:00.538]  We will help you.
[01:51:00.538 --> 01:51:01.779]  We will assign you.
[01:51:01.779 --> 01:51:03.520]  You've got over 2,200 right now.
[01:51:03.520 --> 01:51:05.742]  Thousands more getting trained in the next eight days.
[01:51:05.742 --> 01:51:07.684]  We're not in competition with each other, folks.
[01:51:07.684 --> 01:51:12.647]  Vote at Infowars.com is where you send evidence of fraud, videos, articles, photos.
[01:51:12.647 --> 01:51:13.368]  We'll post it.
[01:51:13.368 --> 01:51:15.229]  We'll send it to other journalists.
[01:51:15.229 --> 01:51:16.610]  We're giving leads to other journalists.
[01:51:16.610 --> 01:51:18.992]  If we got one person on at midnight, they'll overwhelm.
[01:51:18.992 --> 01:51:19.913]  We just send it on to
[01:51:20.393 --> 01:51:25.636]  World Net Daily or Breitbart or Drugs, we're all on the same team for the integrity of this Republic.
[01:51:25.636 --> 01:51:27.417]  By the way, we catch any fraud for Trump.
[01:51:27.417 --> 01:51:28.457]  We're going to report it.
[01:51:28.457 --> 01:51:29.858]  It's a default, folks.
[01:51:29.858 --> 01:51:31.479]  We just tell the truth.
[01:51:31.479 --> 01:51:32.600]  We're seat of our pants.
[01:51:32.600 --> 01:51:36.582]  We're not cold and calculating and organized like Hillary.
[01:51:36.582 --> 01:51:38.963]  Alex, I think you raise a very good point.
[01:51:38.963 --> 01:51:47.948]  The Stop the Steal Project has targeted a number of precincts in the state of Ohio where there is total and complete Republican control.
[01:51:48.726 --> 01:51:53.371]  Because I want to make sure that the Republican machine under the control of Governor John Kasich.
[01:51:53.371 --> 01:51:54.792]  Oh, they're the ones that are going to say that.
