[00:00:00.370 --> 00:00:03.884]  And your support is helping us defend liberty worldwide.
[00:27:18.844 --> 00:27:21.246]  I'm not saying that's necessarily what I believe.
[00:27:21.906 --> 00:27:23.447]  I'm telling you what they believe.
[00:27:24.127 --> 00:27:26.088]  They believed it since the time of Charles Darwin.
[00:27:27.270 --> 00:27:31.071]  And then they teach you some pop garbage that they don't even believe.
[00:27:31.091 --> 00:27:32.911]  But let me digress out of that.
[00:27:34.832 --> 00:27:49.595]  The reason I was going down this road for this short segment is that whether you believe there are other entities in other dimensions, aliens, other worlds, whatever you want to call it,
[00:27:55.967 --> 00:27:57.208]  Take the movie Pacific Rim.
[00:27:57.368 --> 00:27:59.770]  Cheesy, fun movie to take ten-year-old kids to.
[00:28:00.691 --> 00:28:12.722]  But at least the preface that we always thought life would come from space, not from a interdimensional fracture in the Pacific Rim.
[00:28:16.245 --> 00:28:20.669]  That just shows how we have to think outside the limited little box that we've been put in.
[00:28:21.912 --> 00:28:23.333]  I'm not even saying that's what's going on.
[00:28:23.673 --> 00:28:33.659]  The elite, in their own words, from Ray Kurzweil to you name it, say that they believe they're merging with machines to create the new Superman, the Ubermension.
[00:28:33.919 --> 00:28:48.088]  And of course, every time we start hearing about Superman and Ubermension, every time we start seeing that and hearing that, look out, governments start massacring people because you're a profane, ugly, stunted,
[00:28:49.088 --> 00:29:18.182]  Animals anyways according to them, you know, I love the 1940s and 50s because almost everything you see in comic books at that time Wasn't plagiarized But to a great extent was basically taken from Norse and Germanic legend and then superimposed on to Mutant Superman Man of Steel Superman uber mention over race super race master race
[00:29:19.142 --> 00:29:22.683]  By the time, you know, World War II rolls around, Superman is battling Hitler.
[00:29:25.563 --> 00:29:36.065]  And, of course, they admit all this to you in a general public propaganda piece in the first new Superman, Man of Steel, where he's against eugenics, but Zod is for it.
[00:29:36.105 --> 00:29:46.007]  He wants to kill everybody on Krypton and rebuild, but then the planet blows up before he can do that, so he comes to Earth and he's going to kill everybody and then repopulate the Earth with the Ubermensch.
[00:29:46.767 --> 00:29:51.811]  And the establishment is just in your face telling you what they're going to do to you and your family.
[00:29:52.312 --> 00:29:54.553]  So, I'm just here warning you, okay?
[00:29:54.593 --> 00:29:55.714]  That's all I'm getting at here.
[00:29:56.095 --> 00:29:56.615]  We'll be back.
[00:29:56.655 --> 00:29:57.816]  I'm going to get into the election and more.
[00:29:57.836 --> 00:29:58.276]  Stay with us.
[00:29:58.316 --> 00:29:59.197]  We're on the march.
[00:29:59.698 --> 00:30:01.299]  The empire's on the run.
[00:30:02.220 --> 00:30:04.902]  Alex Jones and the GCN Radio Network.
[00:30:08.636 --> 00:30:12.037]  Thousands of years ago, there was a basic form of chivalry.
[00:30:12.397 --> 00:30:19.558]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[00:30:20.138 --> 00:30:28.540]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[00:30:28.740 --> 00:30:32.861]  But in the 21st century, there are silent weapons for quiet war.
[00:30:33.181 --> 00:30:38.322]  Pathogens added to the food and water, to the lining of plastics that destroy our vitality,
[00:30:38.762 --> 00:30:42.584]  Turn off our hormones and accelerate our journey towards death.
[00:30:43.004 --> 00:30:46.086]  I personally counter this onslaught with AnthroPlex.
[00:30:46.426 --> 00:30:57.492]  AnthroPlex is designed with known organic concentrated herbs to create the basic foundation to normal metabolic activity inside the human body.
[00:30:57.552 --> 00:31:00.234]  Discover why AnthroPlex is turning so many heads today.
[00:31:00.454 --> 00:31:06.417]  It's time for us to take our bodies back into our own hands and it starts at InfoWarsLife.com with AnthroPlex.
[00:31:07.037 --> 00:31:08.558]  My name is Alex Jones.
[00:31:08.958 --> 00:31:14.881]  Most of you know me from my syndicated radio program and my documentary films, as well as InfoWars Nightly News.
[00:31:15.101 --> 00:31:29.267]  When I got on air 20 years ago, I had discovered the Globalist program, their plan to take over the world, and my focus went from running six miles every other day, swimming two, three miles a couple times a week, and lifting weights,
[00:31:29.847 --> 00:31:31.788]  You're focusing on fighting the globalists.
[00:31:32.189 --> 00:31:39.994]  I've gone from 279 pounds all the way down to 235 pounds and the weight's going off even faster.
[00:31:40.214 --> 00:31:47.339]  And it wasn't just that my weight loss accelerated, my muscle mass increased, my stamina, my energy levels exploded.
[00:31:47.639 --> 00:31:53.363]  Super Male has the key concentrated natural compounds that my body needed to go to the next level.
[00:31:53.503 --> 00:31:59.667]  Today is the day to take the InfoWarsLife.com challenge and to secure your bottle of Super Male or Super Female Vitality.
[00:31:59.907 --> 00:32:04.989]  Check them out today at Infowarslife.com or give our crew a call at 888-253-3139.
[00:32:05.529 --> 00:32:07.650]  BrainForce is here.
[00:32:08.170 --> 00:32:10.451]  Ladies and gentlemen, I've been on this the last few months.
[00:32:10.732 --> 00:32:18.535]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of BrainForce.
[00:32:19.335 --> 00:32:22.898]  One of the worst things with most energy products is it's not sustainable, right?
[00:32:22.918 --> 00:32:25.260]  You're gonna crash and gonna feel really bad afterwards.
[00:32:25.640 --> 00:32:29.163]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:32:29.183 --> 00:32:32.325]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:32:32.825 --> 00:32:37.629]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:32:38.170 --> 00:32:40.011]  For example, the L-theanine inside of it.
[00:32:40.351 --> 00:32:44.775]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[00:32:44.935 --> 00:32:46.956]  This just increases the compounds you already have.
[00:32:47.577 --> 00:32:49.038]  This is what you're actually designed to run on.
[00:32:49.178 --> 00:32:49.418]  Exactly.
[00:32:49.438 --> 00:32:53.260]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[00:32:53.740 --> 00:33:01.003]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com.
[00:33:01.283 --> 00:33:03.824]  Or call 888-253-3139.
[00:33:04.565 --> 00:33:08.106]  Of incredible products.
[00:33:09.607 --> 00:33:14.649]  From the front lines of the information war, it's Alex Jones.
[00:33:17.290 --> 00:33:22.975]  From the front lines of the information war, I'm your host Alex Jones.
[00:33:23.135 --> 00:33:25.056]  Thank you so much for joining us.
[00:33:26.858 --> 00:33:32.623]  Again, finishing up with what I was covering last segment, I'm not trying to be negative, but I've made films on the subject.
[00:33:33.003 --> 00:33:36.226]  They're free online, like Blueprint for Global Enslavement.
[00:33:37.720 --> 00:33:38.300]  Endgame.
[00:33:38.320 --> 00:33:39.981]  Lutheran for global enslavement.
[00:33:40.522 --> 00:33:42.943]  And so many others, in their own words, their own admissions.
[00:33:43.564 --> 00:33:50.328]  You go back to documentaries I made 17, 18 years ago and watch them, and like 90% of it's come true.
[00:33:52.829 --> 00:33:56.271]  And it didn't come true, they had already beta tested it, they already had it.
[00:33:57.272 --> 00:33:59.853]  They were announcing that they were going to be rolling it out.
[00:34:02.715 --> 00:34:03.896]  And the
[00:34:05.248 --> 00:34:07.252]  End of the story tells you they mean business.
[00:34:08.494 --> 00:34:10.658]  So now I see what they said they want to do next.
[00:34:12.221 --> 00:34:14.365]  And I know they mean business and so I'm freaked out.
[00:34:14.385 --> 00:34:17.231]  I mean it's like five years ago when Petraeus was head of the CIA.
[00:34:20.612 --> 00:34:29.139]  He did an interview with Wired Magazine and admitted, no, all new tech, from washing machines to dryers to refrigerator to your smart watch, will be tracked in real time.
[00:34:29.159 --> 00:34:35.385]  We're going to watch and listen to you, but don't worry, it's AI computers doing it, so if you're not a terrorist, it won't flag it for a human.
[00:34:36.653 --> 00:34:38.415]  Don't worry about you having sex with your wife.
[00:34:38.975 --> 00:34:40.036]  Don't worry what it is.
[00:34:40.156 --> 00:34:43.619]  We're not going to look at you with the algorithms unless you're a terrorist.
[00:34:43.720 --> 00:34:45.942]  Folks, they fund Al Qaeda and ISIS.
[00:34:46.342 --> 00:34:47.783]  They are using all the data.
[00:34:47.803 --> 00:34:55.691]  They're selling it to corner markets and to be ahead of trends where only select corporations can compete.
[00:34:56.952 --> 00:34:57.752]  You go, well that's fine.
[00:34:57.793 --> 00:34:59.114]  They'll know what we really want and give it to us.
[00:34:59.194 --> 00:34:59.414]  No.
[00:34:59.894 --> 00:35:02.437]  They know what you want and figure out how to not give it to you.
[00:35:05.074 --> 00:35:09.097]  It's mind control, it's future prediction technology, it's on record.
[00:35:09.437 --> 00:35:13.100]  We told folks about Stingray 16 years ago by name.
[00:35:15.582 --> 00:35:28.272]  Three years ago, Mikhail Thelen made international news when he got the secret documents from the city there in Washington State, Seattle.
[00:35:29.659 --> 00:35:46.136]  Where it was their own telephone towers everywhere, calling it police communications, what was really Homeland Security, grabbing everyone's info, cracking into your phone's live time, video, audio, fake transformers, fake power poles, fake light poles.
[00:35:48.178 --> 00:35:49.880]  They were putting those up in 1998 in Austin, Texas.
[00:35:52.256 --> 00:35:55.738]  A listener sent us the Federal Register, where they were spending millions to put it in.
[00:35:56.418 --> 00:35:58.059]  It's in my film, Police Take to the Takeover.
[00:35:58.579 --> 00:36:02.302]  What I'm getting at is, we are far down this road.
[00:36:03.362 --> 00:36:03.802]  Far down it.
[00:36:05.984 --> 00:36:08.525]  And next, they're coming with forced inoculations.
[00:36:08.885 --> 00:36:15.509]  Next, they're coming with an economic collapse so bad, most families have to live in government-run dormitories, like North Korea or Cuba.
[00:36:16.383 --> 00:36:19.285]  North Korea and Cuba could have food and water and jobs.
[00:36:19.905 --> 00:36:23.448]  Humans are incredibly organized and ingenious and hard-working.
[00:36:24.368 --> 00:36:28.211]  Most Cubans now live in dormitories because they won't let you fix your house or have one.
[00:36:28.431 --> 00:36:32.814]  They want you in a dormitory with a cot so your kids can't be kids.
[00:36:33.794 --> 00:36:34.775]  They're raised by the state.
