[00:00:11.814 --> 00:00:12.714]  June 7th, 2016.
[00:27:51.001 --> 00:27:55.987]  And I'll just tell you, there is rape that goes on on campus, there are people that get roofied, it is a problem.
[00:27:59.951 --> 00:28:05.937]  But I personally, in high school and going to college parties, I don't like it.
[00:28:06.418 --> 00:28:08.881]  Back when I was more promiscuous, I might say that's a good thing, I'm just being honest.
[00:28:12.749 --> 00:28:17.171]  I ran to this thing where women would call you into a room and then lay down and act like they were passed out.
[00:28:17.631 --> 00:28:21.713]  So I guess somehow they didn't have to feel guilty that they were having sex.
[00:28:21.753 --> 00:28:25.654]  And I just was like, hey, I'm not having sex with a sack of potatoes.
[00:28:26.155 --> 00:28:26.555]  Get up!
[00:28:27.415 --> 00:28:28.376]  And they go, okay.
[00:28:28.496 --> 00:28:30.596]  Oh, and then, I mean, I was like, just forget it.
[00:28:31.317 --> 00:28:31.957]  You're a screwball.
[00:28:32.517 --> 00:28:33.318]  I ran into that.
[00:28:33.838 --> 00:28:34.958]  I don't want to exaggerate.
[00:28:34.978 --> 00:28:38.580]  I was promiscuous.
[00:28:38.660 --> 00:28:41.401]  I'm not proud of it, but I didn't have any problem with the ladies.
[00:28:44.966 --> 00:28:45.306]  I don't know.
[00:28:45.326 --> 00:28:46.788]  I don't even want to tell you.
[00:28:48.049 --> 00:28:48.850]  I ran into this.
[00:28:50.151 --> 00:28:54.416]  Women playing possum probably 30, 40 times.
[00:28:55.797 --> 00:29:00.522]  And I learned it was just something that they did, so it was like a denial that they'd done something bad.
[00:29:00.883 --> 00:29:06.849]  Some type of weird... The new thing is women say, and I don't want to get graphic if kids are listening to it, but this is scientific fact.
[00:29:06.889 --> 00:29:07.470]  This is in the news.
[00:29:08.604 --> 00:29:14.188]  Young women will tell people, oh, I just have anal sex, I'm waiting for marriage for the other, as birth control.
[00:29:15.369 --> 00:29:17.471]  And the big joke is that's what Catholic girls do.
[00:29:18.351 --> 00:29:21.674]  And then the other thing is oral sex.
[00:29:23.375 --> 00:29:35.644]  There's news articles about this, and the CDC is concerned about it as well, where a young, say, 16, 17-year-old girl has given oral sex to maybe 50, 100 boys, young men at the school, but it's okay because it's oral.
[00:29:37.082 --> 00:29:38.882]  So, again, it's one of those games.
[00:29:39.563 --> 00:29:42.703]  And then there's all this feminist thing, hate the men, all sex is rape.
[00:29:43.103 --> 00:29:46.204]  You know, if you don't give them a contract, they can't have sex with you.
[00:29:46.824 --> 00:29:50.365]  Or if you wake up because you were drunk and now didn't want to do it, say it's rape.
[00:29:50.705 --> 00:29:54.226]  I mean, the courts know there is a jihad against men.
[00:29:54.266 --> 00:29:58.847]  Even the courts know, the police know, that about half the rape case claims they get are fake!
[00:29:59.927 --> 00:30:00.828]  We're on the march.
[00:30:01.308 --> 00:30:02.928]  The empire's on the run.
[00:30:03.848 --> 00:30:06.529]  Alex Jones and the GCN Radio Network.
[00:30:11.254 --> 00:30:13.215]  We're here with Roger Stone in studio.
[00:30:13.456 --> 00:30:15.557]  Again, a Trump insider, former head of his campaign.
[00:30:16.658 --> 00:30:21.802]  And he's taken on an incredibly dangerous task of stopping the silence.
[00:30:23.103 --> 00:30:28.707]  We're talking about stopping the silence of the fact that Bill Clinton is a serial predator against women.
[00:30:28.987 --> 00:30:37.634]  And as a man, as a father of two daughters, nothing makes me more angry than men that prey on women.
[00:30:40.199 --> 00:30:43.800]  Biggest fault is putting women like a little kitty up on a pink pillow and spoiling them.
[00:30:44.840 --> 00:30:46.341]  It just goes against my grain.
[00:30:46.441 --> 00:30:47.541]  And you look at the history of this.
[00:30:47.601 --> 00:30:48.241]  It's sickening.
[00:30:48.301 --> 00:30:48.941]  It's documented.
[00:30:48.981 --> 00:30:51.362]  He has settled cases where women reported rape.
[00:30:51.422 --> 00:30:52.082]  What does that tell you?
[00:30:52.442 --> 00:30:58.524]  And they got the nerve then attack Donald Trump and act like he's against women because he dated women when he wasn't married.
[00:30:58.884 --> 00:31:02.345]  Roger Stone, his longtime confidant friend, is here to break this down.
[00:31:02.905 --> 00:31:04.848]  Alex, I think you just hit it on the head.
[00:31:04.868 --> 00:31:07.451]  Bill Clinton is a Bill Cosby type sexual predator.
[00:31:07.491 --> 00:31:09.553]  In fact, if Jesse Jackson were here right now, he would say,
[00:31:22.368 --> 00:31:27.230]  The white man campaigns, but the black man is arraigned.
[00:31:27.830 --> 00:31:40.994]  So we have set up a petition at iPetition.com called Stop the Silence that demands that Bill and Hillary Clinton hold a town meeting, an open town meeting, and address these questions.
[00:31:41.054 --> 00:31:41.474]  That's right.
[00:31:41.534 --> 00:31:42.134]  Address them.
[00:31:42.194 --> 00:31:42.854]  Respond.
[00:31:43.174 --> 00:31:43.995]  Stop the silence.
[00:31:44.015 --> 00:31:45.355]  If it isn't true, respond.
[00:31:45.655 --> 00:31:50.117]  So all we're asking here, and it's simple, which is go online, sign the petition.
[00:31:50.137 --> 00:31:56.540]  We want hundreds of thousands of people to demand the truth from Bill and Hillary Clinton.
[00:31:56.560 --> 00:31:57.600]  And by the way, let's go further.
[00:31:57.880 --> 00:32:04.083]  You've been banned on CNN, MSNBC, and let's just say it, you've been told on other networks, don't bring this up.
[00:32:04.103 --> 00:32:06.624]  You've been told all over, don't bring this up.
[00:32:06.664 --> 00:32:07.985]  They are scared to death of this.
[00:32:08.005 --> 00:32:08.985]  You've written the book on it.
[00:32:10.706 --> 00:32:11.747]  The Clinton's war on women.
[00:32:12.107 --> 00:32:16.290]  They're trying to suppress this, folks, because it is high noon to vampires.
[00:32:16.850 --> 00:32:25.056]  This is the single most potent issue regarding Hillary because it undermines her phony claim that she's an advocate for women.
[00:32:25.196 --> 00:32:27.337]  She is an abuser of women.
[00:32:27.397 --> 00:32:38.304]  So folks, go to the petition, sign up, help us bring the Clintons to justice and help us defeat the mainstream media effort to suppress this issue.
[00:32:38.465 --> 00:32:40.466]  The Clintons always have the exact same tactic.
[00:32:40.926 --> 00:32:42.147]  Attack the women!
[00:32:42.467 --> 00:32:45.488]  It's time for us to stop the silence.
[00:32:45.668 --> 00:32:48.790]  And while claiming they support women, now again, there's an iPetition.
[00:32:49.070 --> 00:32:49.750]  What's the website?
[00:32:49.790 --> 00:32:50.170]  One more time.
[00:32:50.210 --> 00:32:55.492]  You go to iPetition.com and sign up to help us stop the silence.
[00:32:55.632 --> 00:33:00.294]  We particularly, of course, want the signatures of women and girls.
[00:33:00.415 --> 00:33:01.115]  So, please.
[00:33:01.295 --> 00:33:03.416]  Stop the silence there at iPetition.
[00:33:03.436 --> 00:33:05.237]  We'll put the URL here on screen.
[00:33:05.257 --> 00:33:06.917]  Thank you, Roger Stone, for standing up for women.
[00:33:07.137 --> 00:33:07.558]  Many thanks.
[00:33:07.578 --> 00:33:08.018]  Appreciate that.
[00:33:12.276 --> 00:33:14.337]  Science of the Information War.
[00:33:14.857 --> 00:33:16.338]  It's Alex Jones.
[00:33:32.705 --> 00:33:37.447]  Alright, I've got to hurry because we've got Rob Do.
[00:33:39.079 --> 00:33:42.821]  We've got Josh Owens, Paul Watson's landing as we speak.
[00:33:42.861 --> 00:33:45.402]  He's got to drive out and meet him outside Dresden.
[00:33:46.262 --> 00:33:47.723]  There's no direct flights into Dresden.
[00:33:49.364 --> 00:33:51.345]  And we've got our three reporters there on the ground.
[00:33:51.365 --> 00:33:53.486]  They're going to be joining us coming up in the next hour.
[00:33:53.986 --> 00:33:58.648]  We also have LeeAnn McAdoo and Joe Biggs out in California for the big final primaries today.
[00:34:00.869 --> 00:34:02.430]  We've got that whole battle going on.
[00:34:04.241 --> 00:34:10.506]  There is just so much to cover here, but I've got an amazing New York Times article here from 2009.
[00:34:10.987 --> 00:34:19.674]  A judge's view of judging is on the record, is the New York Times article.
[00:34:20.915 --> 00:34:25.840]  And she said, I would hope that as a wise Latin woman with the richness of her experiences
[00:34:27.472 --> 00:34:31.074]  Hey, I think it'd be great to have a Hispanic woman on the Supreme Court.
[00:34:31.094 --> 00:34:34.075]  But let me tell you something about Sotomayor and Kagan.
[00:34:34.095 --> 00:34:34.815]  These penguin-like women.
[00:34:53.146 --> 00:34:58.228]  Are anti-gun, anti-republic, anti-free market, globalist slimes.
[00:35:01.570 --> 00:35:07.992]  And I am sick and tired of the media and the system and the culture.
[00:35:10.413 --> 00:35:20.798]  Look, growing up in Dallas, Texas, I experienced territorial gang-like activity from white people and from black people about equally, and it was bad.
[00:35:23.112 --> 00:35:25.273]  Any excuse to fight each other.
[00:35:25.313 --> 00:35:28.074]  Blacks wanted to fight blacks, blacks wanted to fight whites, vice versa.
[00:35:28.434 --> 00:35:31.096]  Rednecks would just pull up and they didn't know you'd start a fight with you.
[00:35:31.256 --> 00:35:31.956]  It was horrible!
[00:35:34.197 --> 00:35:35.278]  Most cities aren't like that.
[00:35:35.298 --> 00:35:38.399]  I had no idea until I moved to Austin that most places weren't completely insane.
[00:35:38.839 --> 00:35:40.480]  And it was super male, super macho.
[00:35:40.680 --> 00:35:44.062]  Hey, I kind of like the whole liberal side of let's not beat each other's brains out.
[00:35:45.522 --> 00:35:48.904]  And I'll say it, I didn't run into a lot of trouble with Mexicans and racial stuff.
[00:35:50.307 --> 00:35:53.550]  Though five of them were there, four of them broke my leg once.
[00:35:55.011 --> 00:35:59.235]  So I've only had Mexicans attack me racially pretty much, you know, once.
[00:35:59.315 --> 00:36:03.198]  It was not like the rednecks because they didn't know me or the blacks, you know, constantly.
[00:36:04.159 --> 00:36:07.542]  But I was talking to a guy last night from Houston.
[00:36:07.582 --> 00:36:10.845]  He was Hispanic and white, which is kind of an oxymoron.
[00:36:10.865 --> 00:36:12.907]  Hispanics are Native American and white.
[00:36:13.307 --> 00:36:13.867]  That's what it is.
[00:36:15.108 --> 00:36:17.410]  But he gets the name from Hispaniola, which is
[00:36:18.322 --> 00:36:20.924]  Dominican Republic to the East and Haiti to the West.
[00:36:21.865 --> 00:36:23.827]  But again, the public doesn't have any of this information.
[00:36:23.847 --> 00:36:24.367]  It's just crazy.
[00:36:24.507 --> 00:36:27.670]  I could argue I'm Hispanic because I'm 13% Native American.
[00:36:28.070 --> 00:36:28.991]  It's just ridiculous.
[00:36:29.471 --> 00:36:30.812]  All it means is I get a better tan.
[00:36:31.653 --> 00:36:32.293]  I don't care.
[00:36:32.414 --> 00:36:33.314]  I'm proud of my heritage.
[00:36:33.855 --> 00:36:36.717]  It's just such mental illness that I can't handle it anymore.
[00:36:38.639 --> 00:36:46.085]  And the way they push race-based garbage and the way they're doing it with Hispanic groups in the media and the universities is a travesty.
