[00:00:15.544 --> 00:00:20.526]  If you are receiving this transmission, you are the resistance.
[01:37:24.425 --> 01:37:27.547]  He's still trying to do the same thing that Rubio did.
[01:37:27.547 --> 01:37:30.549]  He's still going back to his talking points.
[01:37:30.549 --> 01:37:31.869]  I won the lottery with my mother.
[01:37:37.148 --> 01:37:38.209]  Yeah, okay.
[01:37:38.209 --> 01:37:42.471]  Go back to your little tired sound bites that you've rehearsed, Jeb.
[01:37:42.471 --> 01:37:47.233]  Let me read you a story from Politico that I thought was very interesting, came out last week.
[01:37:47.233 --> 01:37:53.897]  Jeb Bush, the un-candidate, behind the would-be juggernaut lay a candidate who'd never won a competitive election.
[01:37:53.897 --> 01:37:55.457]  This is from Politico.
[01:37:55.457 --> 01:37:55.998]  And, of course,
[01:37:56.678 --> 01:38:03.943]  If you were to listen to the commentators last night and listen to the pundits, Jeb Bush did a great job in that exchange and the rest of it.
[01:38:03.943 --> 01:38:04.844]  I mean, really?
[01:38:04.844 --> 01:38:05.364]  Really?
[01:38:05.364 --> 01:38:09.127]  He just doubled down on the lies of his brother?
[01:38:09.127 --> 01:38:16.132]  Everybody admits that they lied to the public about WND being in Iraq.
[01:38:16.132 --> 01:38:17.373]  But anyway, this is what happened.
[01:38:17.933 --> 01:38:24.078]  Last year, this guy says, this is a reporter from Politico, Michael J. Myshak, if I'm pronouncing his last name correctly.
[01:38:24.078 --> 01:38:26.940]  He said, Jeb Bush banned me from the bus.
[01:38:26.940 --> 01:38:31.803]  It was October 2014, two months before he would announce he was exploring a run for president.
[01:38:31.803 --> 01:38:36.307]  He said, I had come to West Texas as an AP reporter to ask about his plans.
[01:38:36.747 --> 01:38:44.070]  And he was there enjoying a victory lap with his son, George P., who was going to be elected as Texas Land Commissioner.
[01:38:44.070 --> 01:38:50.492]  And he says, I was told that neither I nor my questions about the 2016 presidential race would be allowed.
[01:38:50.492 --> 01:38:51.773]  So he wasn't able to get on the bus.
[01:38:51.773 --> 01:38:54.153]  But his colleague did get on the bus.
[01:38:54.153 --> 01:39:01.396]  And he says, as my colleague turned his questioning toward the upcoming campaign, Jeb stopped him and said, you're about to get ready.
[01:39:01.396 --> 01:39:04.377]  You're about to get a 15-yard penalty and a loss of down here.
[01:39:04.377 --> 01:39:06.158]  It's OK, but the flag is out.
[01:39:06.578 --> 01:39:12.181]  In other words, shut up, don't talk about what I don't want to talk about, or I'm going to throw you out of the bus as well.
[01:39:12.181 --> 01:39:25.128]  He says, Jeb would boldly declare that he could upend the 2016 nomination process, he could avoid being drawn into the conservative gamesmanship of a primary, and winnow the field with an unprecedented fundraising operation.
[01:39:25.128 --> 01:39:28.590]  He called his campaign technique, shock and awe.
[01:39:28.590 --> 01:39:30.290]  Where did we hear that from?
[01:39:30.290 --> 01:39:33.872]  That phrase, that came from the other Bushes, okay?
[01:39:35.745 --> 01:39:38.448]  Who's in a shock and awe campaign right now?
[01:39:38.448 --> 01:39:39.249]  It's Jeb Bush.
[01:39:39.249 --> 01:39:47.438]  I think the shock and awe is the fact that he can't get beyond single digits, pretty much anywhere except in New Hampshire.
[01:39:47.438 --> 01:39:55.747]  And if you look at where he's polling nationally, if you look at where he polled in these online polls that happened last night, again, as I pointed out in the Drudge Report,
[01:39:57.114 --> 01:40:05.923]  When it was about 153,000 votes, Trump was at 60%, Cruz at 20, Rubio at 10, Jeb was barely even showing up.
[01:40:05.923 --> 01:40:07.084]  He was basically a flat line.
[01:40:07.084 --> 01:40:11.728]  It's now at nearly 600,000 and Trump is holding still at 54%.
[01:40:11.728 --> 01:40:15.772]  If you look at these other polls, it's also interesting.
[01:40:15.772 --> 01:40:18.695]  None of them have the kind of numbers that the Drudge Report poll has.
[01:40:19.235 --> 01:40:29.362]  But if you look at Time Magazine, you still got Donald Trump at 70%, you got Kasich at 8, Rubio at 11, and that was about 11,000 at the time they took a snapshot on that.
[01:40:29.362 --> 01:40:35.346]  Same thing with Right Scoop, 75% for Trump, he had Cruz at 10%.
[01:40:35.346 --> 01:40:42.752]  The Blaze, even The Blaze, where Glenn Beck has pulled out all the stops for his buddy Ted Cruz, even on The Blaze.
[01:40:42.752 --> 01:40:44.113]  People who listen to that rag.
[01:40:44.913 --> 01:40:49.016]  45% for Trump and 34% for Cruz.
[01:40:49.016 --> 01:40:52.599]  So he's 11% higher even on the blazes polls.
[01:40:52.599 --> 01:40:55.141]  And again, look at another Fox 5 report.
[01:40:55.141 --> 01:41:03.968]  It's 80% for Trump, 8% for Rubio, and Kasich comes up in third place on some of these more liberal news media outlets.
[01:41:03.968 --> 01:41:05.029]  The bottom line is this.
[01:41:06.283 --> 01:41:08.745]  Jeb Bush is getting desperate.
[01:41:08.745 --> 01:41:10.746]  Jeb Bush is getting angry.
[01:41:10.746 --> 01:41:14.609]  And you can see it coming out repeatedly.
[01:41:14.609 --> 01:41:20.112]  And I thought it was also interesting to see his comments about what should happen with the Scalia replacement.
[01:41:20.112 --> 01:41:22.114]  This is an article on WND.
[01:41:22.114 --> 01:41:25.916]  He was interviewed this morning with CNN anchor Dana Bash.
[01:41:25.916 --> 01:41:33.882]  And she said, Senator Cruz, Rubio, GOP leader Mitch McConnell all say the next president should replace Scalia, not President Obama.
[01:41:34.582 --> 01:41:36.463]  At the debate, it sounded like you disagreed.
[01:41:36.463 --> 01:41:37.304]  What's your position?
[01:41:37.304 --> 01:41:44.929]  He says, well, I think Obama's going to submit a nominee, and he goes on to say, well, it's really up to Mitch McConnell.
[01:41:44.929 --> 01:41:47.430]  It's not really important to me.
[01:41:47.430 --> 01:41:49.632]  Not really important to me.
[01:41:49.632 --> 01:41:50.853]  Oops.
[01:41:50.853 --> 01:41:52.934]  This is what we continue to see from Jeb Bush.
[01:41:52.934 --> 01:41:54.155]  All that's important to Jeb Bush.
[01:41:54.835 --> 01:41:56.275]  Is that it's his turn.
[01:41:56.275 --> 01:42:01.677]  And when you look at this Politico article, they go on to talk about the fact that he's only been in one competitive race.
[01:42:01.677 --> 01:42:07.098]  And that was in Florida, where he lost to Governor Lawton Childs.
[01:42:07.098 --> 01:42:11.999]  It was the only time he's had a situation where he didn't run essentially unopposed.
[01:42:11.999 --> 01:42:15.100]  And he got very bully-ish about that, too.
[01:42:15.100 --> 01:42:16.920]  It made him very, very angry.
[01:42:16.920 --> 01:42:20.001]  As they pointed out, Jeb had never been punched in the nose before.
[01:42:20.501 --> 01:42:29.324]  Lawton Childs put him in a headlock, gave him the longest noogie ever, and with his hair messed up, his face red, he wasn't sure what to do.
[01:42:29.324 --> 01:42:31.545]  Isn't that what he looks like today?
[01:42:31.545 --> 01:42:35.746]  Isn't that exactly what we see happening with Jeb Bush in this campaign?
[01:42:35.746 --> 01:42:37.967]  He's been put in a headlock by Donald Trump.
[01:42:38.447 --> 01:42:45.550]  He's been, uh, he's had his hair mussed up, he's been punched in the nose, and he's been given a long, long moogie.
[01:42:45.550 --> 01:42:46.631]  So sorry, Jeb.
[01:42:46.631 --> 01:42:56.315]  Looks like that exclamation point changed to a question mark, and now it's just Jeb and W. Maybe we should just say, duh, duh, duh bushes.
[01:42:56.315 --> 01:42:57.756]  We'll be right back with more debate clips.
[01:42:57.776 --> 01:43:01.038]  Feds push new plan for home visits to check on parents.
[01:43:01.038 --> 01:43:04.960]  Government-appointed monitors will assess the upbringing of children.
[01:43:04.960 --> 01:43:05.380]  The U.S.
[01:43:05.380 --> 01:43:15.546]  Department of Education and the Department of Health and Human Services has published a draft document outlining a plan that will treat families as equal partners in the raising of children.
[01:43:15.546 --> 01:43:18.968]  This opens the door for government intrusion at all levels.
[01:43:18.968 --> 01:43:26.052]  As defined in the document, family means all the people who play a role in a child's life and early childhood development.
[01:43:26.212 --> 01:43:32.175]  Government employees will intervene to provide monitoring goals for children at home and the classroom.
[01:43:32.175 --> 01:43:41.701]  If parents fail to meet the standards set, evidence-based parenting interventions will be made to ensure that children's social, emotional, and behavioral needs are met.
[01:43:41.701 --> 01:43:48.245]  The program will undoubtedly increase the likelihood of teenagers being given dangerous antidepressant drugs.
[01:43:48.245 --> 01:43:54.208]  A common theme of collectivist thinking is the idea that children belong not just to their parents, but to the state.
[01:43:54.528 --> 01:44:00.752]  Leanne McAdoo reporting for InfoWars.com.
[01:44:00.752 --> 01:44:10.479]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[01:44:10.479 --> 01:44:13.181]  All of our children are hit with modern mind control.
[01:44:13.181 --> 01:44:16.743]  Television, music, fast food, GMOs, sugars, you name it.
[01:44:16.743 --> 01:44:19.485]  Young humans have not yet developed their nervous system.
[01:44:19.645 --> 01:44:20.405]  We're good to go.
[01:44:42.310 --> 01:44:49.861]  Introducing ChildEase with herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great.
[01:44:49.861 --> 01:44:53.466]  Obtain your ChildEase today at InfoWarsLife.com.
[01:44:53.466 --> 01:44:56.391]  That's ChildEase exclusively at InfoWarsLife.com.
[01:44:58.453 --> 01:45:03.516]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[01:45:03.516 --> 01:45:12.180]  Longevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[01:45:12.180 --> 01:45:16.302]  Longevity also offers you an ingenious way to augment your income.
[01:45:16.302 --> 01:45:17.103]  And the best part?
[01:45:17.103 --> 01:45:19.964]  You'll be helping your friends and family along the way.
[01:45:19.964 --> 01:45:22.585]  Visit InfoWarsTeam.com today.
[01:45:22.585 --> 01:45:23.366]  Become a member.
[01:45:23.366 --> 01:45:27.428]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[01:45:27.648 --> 01:45:34.371]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[01:45:34.371 --> 01:45:35.331]  Another win-win.
[01:45:35.331 --> 01:45:39.072]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[01:45:39.072 --> 01:45:40.313]  And you can be too.
[01:45:40.313 --> 01:45:40.853]  It's simple.
[01:45:40.853 --> 01:45:43.794]  Just go to Infowarsteam.com today.
[01:45:43.794 --> 01:45:45.895]  Complete a short sign-up and you're part of the team.
[01:45:45.895 --> 01:45:49.156]  That's Infowarsteam.com or Infowarshealth.com.
[01:45:49.156 --> 01:45:55.458]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[01:45:55.458 --> 01:45:56.759]  Check it out for yourself today.
[01:45:58.403 --> 01:46:02.385]  Secret 12, InfoWars Life's Vitamin B12 formulation.
[01:46:02.385 --> 01:46:08.688]  Most forms of Vitamin B12 are highly processed and synthetic, and cannot be properly absorbed by the body.
[01:46:08.688 --> 01:46:15.671]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[01:46:15.971 --> 01:46:25.096]  Infowarslife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive, perfected process.
[01:46:25.096 --> 01:46:31.258]  Secret 12 is a binary of nutrimedical-grade, bioavailable, coenzyme forms of B12.
[01:46:31.258 --> 01:46:33.940]  Methylcobalamin, the same kind used in B12 injections.
[01:46:34.640 --> 01:46:34.960]  We're good.
[01:47:01.731 --> 01:47:20.098]  You're listening to the Alex Jones Show.
[01:47:20.098 --> 01:47:24.780]  Live from the Infowars.com studios, it's Alex Jones.
[01:47:28.635 --> 01:47:29.876]  Welcome back to the Alex Jones Show.
[01:47:29.876 --> 01:47:38.041]  I'm David Knight and we're going to play for you in this segment a back and forth between Marco Rubio and Ted Cruz about immigration and open borders.
[01:47:38.041 --> 01:47:45.987]  And you're going to see the normally cold as ice Ted Cruz really lose it in this particular exchange.
[01:47:45.987 --> 01:47:50.209]  Before we do, real quickly, I want to let you know about the sales that are going to be expiring tonight.
[01:47:50.209 --> 01:47:53.612]  We have again the new introductory offer of AnthroPlex.
[01:47:53.612 --> 01:47:57.915]  That's our twice daily pill formulation that works synergistically with super male vitality.
[01:47:58.755 --> 01:48:01.396]  That is available in conjunction with Supermail Vitality.
[01:48:01.396 --> 01:48:02.857]  Get those two together.
[01:48:02.857 --> 01:48:05.098]  Get 15% off free shipping.
[01:48:05.098 --> 01:48:08.579]  And if you sign up for auto ship, you get an additional 10% off.
[01:48:08.579 --> 01:48:10.020]  That sale is ending tonight.
[01:48:10.020 --> 01:48:12.161]  Also, Silver Bullet, 15% off.
[01:48:12.161 --> 01:48:15.822]  And again, you can get auto ship for an additional 10% off.
[01:48:15.822 --> 01:48:19.864]  And we have a huge sale on InfoWars Select Foods.
[01:48:19.864 --> 01:48:20.564]  30 to 40% off.
[01:48:23.125 --> 01:48:28.230]  30 to 40 percent off plus free shipping if you get $50 or more.
[01:48:28.230 --> 01:48:37.538]  It's a great time to stock up on foods in these uncertain days because that food will be fresh for 25 years.
[01:48:37.538 --> 01:48:38.899]  It's all made in the U.S.
[01:48:38.899 --> 01:48:42.543]  as well as all the packaging and it will stay fresh for 25 years.
[01:48:44.264 --> 01:48:46.286]  Those specials are ending tonight.
[01:48:46.286 --> 01:48:47.647]  We've extended those through the weekend.
[01:48:47.647 --> 01:48:51.170]  They were going to end last Thursday, but we extended it through the weekend.
[01:48:51.170 --> 01:48:54.594]  For our listeners, we really appreciate your support.
[01:48:54.594 --> 01:49:05.203]  Now, we've been talking about the death of Scalia, what that will mean, and of course, Ted Cruz weighed in and says, yes, I will filibuster any attempt by Obama to replace Scalia.
[01:49:05.203 --> 01:49:07.706]  But then he went on, that's good, but then he went on and said this.
[01:49:09.133 --> 01:49:17.877]  If Donald Trump becomes President, the Second Amendment will be written out of the Constitution because it's abundantly clear Donald Trump is not a conservative.
[01:49:17.877 --> 01:49:20.678]  The Second Amendment will go away, said Ted Cruz.
[01:49:20.678 --> 01:49:23.240]  Now see, that's the problem with Ted Cruz.
[01:49:23.240 --> 01:49:25.000]  He is such a transparent liar.
[01:49:26.201 --> 01:49:27.402]  As a matter of fact, it was interesting.
[01:49:27.402 --> 01:49:37.408]  I saw on the Daily Mail there was a back and forth going on between, well, Piers Morgan talked about the number of years that he's known Donald Trump in private correspondence over the years.
[01:49:37.408 --> 01:49:38.989]  Of course, he was a celebrity apprentice.
[01:49:38.989 --> 01:49:40.130]  He won celebrity apprentice.
[01:49:40.130 --> 01:49:41.651]  He became a close friend of Donald Trump.
[01:49:42.558 --> 01:49:51.244]  And he was talking about how Donald Trump had mentioned politics and how he could kind of see this coming for a long time, but he wasn't sure.
[01:49:51.244 --> 01:50:02.611]  And the things that were important to Donald Trump, but one of the things that he said that I thought was interesting, because you know when Piers Morgan came to the United States and had his show, his primary object was to overthrow the Second Amendment.
[01:50:03.351 --> 01:50:07.492]  And privately, Donald Trump and Piers Morgan had words about that.
[01:50:07.492 --> 01:50:13.993]  And Donald Trump told Piers Morgan, but Piers, guns protect us from the bad guys.
[01:50:13.993 --> 01:50:15.214]  He understands that.
[01:50:15.214 --> 01:50:16.094]  He has said that.
[01:50:16.094 --> 01:50:18.494]  And he's been consistent about that over the years.
[01:50:18.494 --> 01:50:24.336]  And so for Ted Cruz to say the Second Amendment is going to be written out of the Constitution is very disturbing on a number of levels.
[01:50:24.336 --> 01:50:30.697]  First of all, let's understand the Supreme Court does not have the authority to write things out of the Constitution.
[01:50:31.357 --> 01:50:31.557]  I think?
[01:50:48.499 --> 01:50:58.309]  And we don't have a dictatorship of a president, we don't have a dictatorship of Supreme Court justices, unless we have a president and a Congress who bow down to that.
[01:50:58.309 --> 01:51:01.352]  So there needs to be an understanding of what's going on with that.
[01:51:01.352 --> 01:51:09.020]  But I want to play this exchange that happened with Marco Rubio and Ted Cruz last night over the border.
[01:51:09.020 --> 01:51:11.882]  And it kind of reminded me, I guess you could introduce this as a joke.
[01:51:12.643 --> 01:51:19.048]  You could say, an anchor baby and a Canadian walked into a presidential debate, and this is what happened.
[01:51:19.048 --> 01:51:21.249]  Let's play it.
[01:51:21.249 --> 01:51:26.453]  First of all, I don't know how he knows what I said on Univision because he doesn't speak Spanish.
[01:51:26.453 --> 01:51:35.779]  And second of all, the other point that I was making... Look, this is a disturbing pattern now.
[01:51:35.779 --> 01:51:38.822]  Because for a number of weeks now, Ted Cruz has just been telling lies.
[01:51:38.822 --> 01:51:40.923]  He lied about Ben Carson in Iowa.
[01:51:40.923 --> 01:51:42.164]  He lies about Planned Parenthood.
[01:51:42.664 --> 01:51:46.985]  He lies about marriage, he's lying about all sorts of things and now he makes things up.
[01:51:46.985 --> 01:51:52.086]  The bottom line is this is a campaign and people are watching it and they see the truth behind all these issues and here's the truth.
[01:51:52.086 --> 01:51:59.088]  Ted Cruz supported legalizing people that were in this country legally and only now does he say he won't.
[01:51:59.088 --> 01:52:02.649]  Okay, and so Rubio's got his own lies there.
[01:52:02.649 --> 01:52:09.831]  Does anybody see the irony there of an anchor baby and a Canadian running for president debating illegal immigration?
[01:52:11.468 --> 01:52:12.809]  That's where we are right now.
[01:52:12.809 --> 01:52:33.860]  And so as this is coming out, you know, he tries to shame Ted Cruz for not speaking Spanish, and so Ted Cruz takes the debate and what roughly translates to, according to CBS, Marco, if you want, right now, say it right now, in Spanish if you want, and says, so we're going to be frank and tell you, tell those of you who don't speak Spanish, that what Cruz said was kind of grammatically an unorthodox thing.
[01:52:33.860 --> 01:52:36.782]  You might say when you're flustered, when non-fluent,
[01:52:37.202 --> 01:52:39.384]  Or when trying intentionally to sound tough.
[01:52:39.384 --> 01:52:41.907]  And so it really got under his skin.
[01:52:41.907 --> 01:52:44.269]  He really lost his cool with it.
[01:52:44.269 --> 01:52:49.295]  And I guess really now, you know, we don't really have to worry about citizenship eligibility.
[01:52:49.295 --> 01:52:52.958]  We don't have to worry about the meaning of natural born citizen and whether or not we're eligible.
[01:52:52.958 --> 01:52:56.983]  Now it's just really important as to whether or not you can speak Spanish for your bona fides, right?
[01:52:58.001 --> 01:53:04.527]  See, the thing about Ted Cruz is, he says he's going to appoint an originalist judge like Scalia, for example.
[01:53:04.527 --> 01:53:09.992]  And yet, he will not give us, he says, I've argued before the Supreme Court and I know what an actual born citizen is.
[01:53:09.992 --> 01:53:12.574]  Well, then tell us what your interpretation of it is.
[01:53:12.574 --> 01:53:15.357]  You have the right and the responsibility to do that.
[01:53:15.877 --> 01:53:23.960]  But I want to play for you what Alex Jones said about the upcoming visit for the Pope, because of course the Pope is coming here to sell open borders.
[01:53:23.960 --> 01:53:30.603]  Open borders, a global commission to manage our economy, the TPP, and also a global tax regime and carbon taxes.
[01:53:30.603 --> 01:53:33.244]  That's what the climate change regime is about.
[01:53:33.244 --> 01:53:43.108]  All three of those are being pushed on us and one of the key salesmen of that is the Pope.
[01:53:43.108 --> 01:53:44.029]  And finally tonight,
[01:53:45.404 --> 01:53:47.165]  The hypocrisy of hypocrisy.
[01:53:47.165 --> 01:53:48.585]  It truly takes the cake.
[01:53:48.585 --> 01:53:58.929]  Pope Francis is down in Mexico City today and he's traveling up to be in Juarez across from the Texas border and El Paso.
[01:53:58.929 --> 01:54:07.192]  And he is criticizing Juarez and other cities for their drug trafficking and their money laundering and working with El Diablo.
[01:54:07.412 --> 01:54:15.159]  The head of the Catholic Church met with Mexican President Enrique Peña Nieto and delivered a message.
[01:54:15.159 --> 01:54:29.771]  Each time we seek the path of privilege or benefit for the few, society becomes fertile ground for corruption, the drug trade, the exclusion of different cultures, the violence, and also human trafficking, kidnapping, and killing.
[01:54:31.246 --> 01:54:43.234]  Vatican City has been connected to, implicated, and proven to be involved in massive money laundering and massive drug dealing in the last hundred years.
[01:54:43.234 --> 01:54:47.958]  They were involved in helping ship out 30-plus thousand Nazis to the U.S.
[01:54:47.958 --> 01:54:50.600]  in the Rat Line, an Operation Paperclip.
[01:54:51.360 --> 01:55:02.984]  When he was a Cardinal down in South America, the parties he was involved in were involved in all sorts of death squads and disappearances of people and corruption and narcotics trafficking.
[01:55:02.984 --> 01:55:10.726]  I mean, it's like watching Don Corleone in The Godfather sit in judgment over a capo that did something.
[01:55:10.726 --> 01:55:15.548]  It'd be like watching Hitler run the Nuremberg Trials and convicting Hermann Goring to death.
[01:55:17.355 --> 01:55:26.384]  Western governments and mega banks on record made drugs illegal in the 30s because worldwide they didn't have alcohol prohibition in the US and other similar things.
[01:55:26.384 --> 01:55:34.251]  They wanted to jack up the prices, have a black market they controlled to corrupt the police, and then control the sex trade and everything else.
[01:55:34.251 --> 01:55:36.694]  And to have this Pope, the king of hypocrisy,
[01:55:38.493 --> 01:55:41.975]  Sit there and also say that you must let the immigrants in.
[01:55:41.975 --> 01:55:43.456]  It's so horrible you don't let them in.
[01:55:43.456 --> 01:55:46.838]  He didn't tell Mexico to let immigrants in from Guatemala to Mexico South.
[01:55:46.838 --> 01:55:50.220]  They have some of the strictest controls in the world in Mexico.
[01:55:50.220 --> 01:55:58.184]  No, he said America isn't letting in enough, even though we've let in 40 million in the last 20 years conservatively and let them have their babies for free, everything.
[01:55:58.184 --> 01:56:01.546]  He sits there and uses racial politics for divide and conquer.
[01:56:01.546 --> 01:56:05.469]  When we were just at Vatican City last year, some of their walls
[01:56:06.209 --> 01:56:09.031]  Are 200 plus feet tall.
[01:56:09.031 --> 01:56:11.474]  And they have armed guards with machine guns.
[01:56:11.474 --> 01:56:16.978]  How about, he says, everybody from Latin America, go to Vatican City and be there.
[01:56:16.978 --> 01:56:22.583]  It's all about class warfare, it's all about globalism, it's all about world government that he's been calling for.
[01:56:22.583 --> 01:56:24.985]  And that's what this comes down to, and that's what's so disgusting.
[01:56:26.368 --> 01:56:29.771]  So Pope Francis is truly a piece of work.
[01:56:29.771 --> 01:56:37.438]  The media criticized Donald Trump last week for just saying, Pope Francis is very political, that was the quote, and he doesn't understand our problems in America and all the crime coming over.
[01:56:37.438 --> 01:56:44.083]  And the media's like, how dare him get, with CNN, how dare Trump get political when the Pope didn't get political?
[01:56:44.083 --> 01:56:47.947]  So everything is lies, and you know when the mainstream media starts backing a Pope?
[01:56:47.947 --> 01:56:51.110]  So you can say what you want about the Vatican, they used to really criticize it.
[01:56:51.940 --> 01:56:57.766]  They are after anybody now that doesn't go along with getting rid of our borders and bringing in world government.
[01:56:57.766 --> 01:56:59.568]  It is a truly sick joke.
[01:56:59.568 --> 01:57:07.816]  If the Pope wanted to end the poverty in Mexico and the big problems down there, he would speak out against the big land barons and the colonialism they still have in place.
[01:57:07.816 --> 01:57:14.983]  And he would more importantly say we should decriminalize drugs, not legalize, but decriminalize to take the profit motive out of it.
[01:57:14.983 --> 01:57:15.704]  Pope Francis
[01:57:18.118 --> 01:57:26.025]  is a incredible politician and so we have a right to now criticize him because he's not a religious leader.
[01:57:26.025 --> 01:57:34.854]  He is a pimp selling the world government agenda and the EU takeover of the planet 110% and wealth redistribution to help the poor.
[01:57:34.854 --> 01:57:39.098]  Another scam like Obamacare that only gives the bankers trillions more.
[01:57:39.098 --> 01:57:40.679]  You want to get screwed over?
[01:57:40.679 --> 01:57:41.680]  Sit on Papa's leg.
[01:57:41.680 --> 01:57:42.581]  He'll take good care of you.
[01:57:43.706 --> 01:57:48.448]  Join us again tomorrow at 11 Central, Noon Eastern for the Alex Jones Radio.
[01:58:02.173 --> 01:58:03.534]  I was kind of run down.
[01:58:03.534 --> 01:58:05.474]  You know, I just didn't feel like I was going to make it.
[01:58:05.474 --> 01:58:07.335]  And I really wanted to do a good job on the interview.
[01:58:07.335 --> 01:58:09.176]  I got my bottle of Brain Force right there.
[01:58:09.176 --> 01:58:10.236]  I popped two of them.
[01:58:10.236 --> 01:58:14.497]  And about 20 minutes later, it's like everything just kind of clears up.
[01:58:14.497 --> 01:58:15.978]  It's got four and a half stars.
[01:58:15.978 --> 01:58:17.298]  People really love it.
[01:58:17.298 --> 01:58:17.899]  Read about it.
[01:58:17.899 --> 01:58:21.740]  Find out why third party nutraceutical sites give it such high praise.
[01:58:21.740 --> 01:58:27.022]  Because it really does have the best organic based systems that will blow your socks off.
[01:58:27.202 --> 01:58:31.247]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without Brain Force.
[01:58:31.247 --> 01:58:37.394]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more Brain Force and came in.
[01:58:37.394 --> 01:58:43.301]  You will find Brain Force and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[01:58:50.663 --> 01:58:54.387]  Thousands of years ago, there was a basic form of chivalry.
[01:58:54.387 --> 01:59:03.816]  Our ancestors would hear the drums of war as the enemy approached, giving the warriors of the tribe a chance to organize and prepare a defense.
[01:59:03.816 --> 01:59:12.144]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[01:59:12.504 --> 01:59:16.886]  But in the 21st century, there are silent weapons for quiet war.
[01:59:16.886 --> 01:59:26.632]  Pathogens added to the food and water, and to the lining of plastics that destroy our vitality, turn off our hormones, and accelerate our journey towards death.
[01:59:26.632 --> 01:59:32.314]  I personally counter this onslaught with Entroplex, the latest product from Infowarslife.com.
[01:59:32.314 --> 01:59:35.176]  It's time for us to take our bodies back into our own hands.
[01:59:35.356 --> 01:59:38.618]  And it starts at Infowarslife.com with Anthroplex.
[01:59:38.618 --> 01:59:46.683]  And finally, for a limited time, when you buy the synergistic duo of Anthroplex and Super Metal Vitality together at Infowarslife.com, you'll get 15% off and free shipping.
[01:59:46.683 --> 01:59:47.624]  That's a limited time.
