[00:00:02.040 --> 00:00:03.181]  All right, folks, we're live.
[00:25:32.682 --> 00:25:34.924]  That'll be a separate feed of the day's show.
[00:25:34.924 --> 00:25:42.510]  And then another YouTube backup feed where we run our nightly news feed over YouTube in live time.
[00:25:42.510 --> 00:25:43.752]  And that's more important than ever.
[00:25:43.752 --> 00:25:51.519]  I hope folks start using it because the bandwidth charges when you get 16 million people in a month tuning into just one of our video feeds.
[00:25:52.486 --> 00:25:55.908]  That's been a small part of our audience, that feed, but it's just growing and growing.
[00:25:55.908 --> 00:25:59.030]  We're 16 million times people log in and watch it.
[00:25:59.030 --> 00:26:00.971]  They watch like 20-something minutes on average apiece.
[00:26:00.971 --> 00:26:03.352]  Just the bandwidth costs are incredible.
[00:26:03.352 --> 00:26:14.659]  So we obviously would love to do a Facebook Mentions and send out a three-hour show, four-hour show, but in their contract it says you basically can't do that.
[00:26:14.659 --> 00:26:18.041]  YouTube lets us do it, so we're going to email out that feed too.
[00:26:18.041 --> 00:26:20.743]  InfoWars Live Republican Debate coverage.
[00:26:21.698 --> 00:26:24.941]  When you probably need to add in the headline, copy this link and share it.
[00:26:24.941 --> 00:26:28.404]  Because folks send us constant emails, what's this feed?
[00:26:28.404 --> 00:26:29.785]  I don't see the debate yet.
[00:26:29.785 --> 00:26:33.969]  The general public out there literally doesn't think, well, it's a link to the live show.
[00:26:33.969 --> 00:26:38.233]  It needs to be, save this live link for the debate and coverage.
[00:26:39.099 --> 00:26:50.522]  And then we're going to email that out to everybody in multiple emails today for folks that are signed up for the free newsletter at InfoWars.com forward slash newsletter.
[00:26:50.522 --> 00:27:00.885]  You can obviously go to InfoWars.com forward slash show and find the free links to all of the different feeds and also the free video cast, the podcast, all of it for the daytime show.
[00:27:01.385 --> 00:27:11.552]  If you're a subscriber, generally, of the Nightly News at PrisonPlanet.tv, then you get that when it's on every night, but it's always free during special events like the debates.
[00:27:11.552 --> 00:27:24.862]  And, of course, the daytime radio slash TV show that you're watching and listening to right now is obviously free as well, 24-7, not just when it's live, six days a week when we put out shows at InfoWars.com forward slash show.
[00:27:26.226 --> 00:27:29.668]  And I spent some time on that today because we get so many emails, so many comments.
[00:27:29.668 --> 00:27:31.089]  How do I find it?
[00:27:31.089 --> 00:27:51.701]  Last debate a few weeks ago, I was at home doing it via video Skype into the studio and I got five text messages from friends within 30 seconds of seven o'clock coming around because they were looking around for the feed of the live nightly news.
[00:27:53.033 --> 00:27:58.559]  And they were finding the feed of this show that was already over.
[00:27:58.559 --> 00:28:00.621]  And so these are smart friends and family.
[00:28:00.621 --> 00:28:04.165]  They just didn't know to go click the top link and, you know, find the sub feed right there.
[00:28:04.165 --> 00:28:11.353]  So it's all about making it easy for people, making it easy for folks to find it, labeling the names right, making it clear to people.
[00:28:12.372 --> 00:28:19.536]  And it's up to you if you want to further help devastate mainstream media, further help rip their arms out of their sockets.
[00:28:19.536 --> 00:28:28.482]  We've had debate coverage before and election coverage before that had 3 million viewers just on YouTube and our stream in 24 hours.
[00:28:28.482 --> 00:28:29.363]  Now again, we have
[00:28:30.383 --> 00:28:34.528]  3, 4, 5 million people a day on terrestrial radio, internet feeds, video, the rest of it.
[00:28:34.528 --> 00:28:37.712]  But that's taken us years to build up that audience every day.
[00:28:37.712 --> 00:28:45.942]  To be able to just a few times a year have a live feed and have 3 million people tune in is CNN level and beyond.
[00:28:45.942 --> 00:28:48.665]  It's approaching Fox News and that's why they pay attention.
[00:28:49.705 --> 00:29:02.060]  And so it shows how the Patriots, folks exposing Bilderberg Group, the vaccines, the Zika virus, other population control operations, electronic hacking of elections, all of it.
[00:29:02.060 --> 00:29:04.322]  We're here, hardcore, for real.
[00:29:05.393 --> 00:29:11.136]  Getting into the top contending heavyweight championship big leagues.
[00:29:11.136 --> 00:29:14.998]  I mean, we're getting to the point where we're on the field with Goliath.
[00:29:14.998 --> 00:29:17.999]  We're getting to the point where we're going to take Goliath politically out, folks.
[00:29:17.999 --> 00:29:19.380]  Goliath is scared.
[00:29:19.380 --> 00:29:20.160]  He's already bloody.
[00:29:20.160 --> 00:29:22.161]  We just gotta chop his head off.
[00:29:22.161 --> 00:29:23.502]  He's already on the ground.
[00:29:23.502 --> 00:29:25.763]  We're just in amazement that he's been knocked out.
[00:29:25.763 --> 00:29:27.784]  We gotta finish the deed before he gets back up.
[00:29:28.544 --> 00:29:33.948]  We gotta go in there and just fully discredit these people, savage them with the truth, and hit them where it hurts.
[00:29:33.948 --> 00:29:35.069]  And that's in the ratings.
[00:29:35.069 --> 00:29:36.730]  And take their listeners and viewers.
[00:29:36.730 --> 00:29:43.715]  And we do that by you emailing and posting on Facebook and Twitter our free feeds and taking everybody over to InfoWars.
[00:29:43.715 --> 00:29:46.317]  It'll be a savage death blow to the enemy.
[00:29:46.317 --> 00:29:48.118]  So crush their skulls!
[00:29:48.118 --> 00:29:49.519]  We're on the march.
[00:29:49.519 --> 00:29:52.041]  The Empire's on the run.
[00:29:52.041 --> 00:29:54.723]  Alex Jones and the GCN Radio Network.
[00:29:59.964 --> 00:30:00.244]  U.S.
[00:30:00.244 --> 00:30:09.452]  scientists have urged the World Health Organization to take urgent action over the Zika virus, which they say has explosive pandemic potential.
[00:30:09.452 --> 00:30:16.158]  Zika is linked to shrunken brains in children, and it's causing panic in Brazil where thousands of people have already been infected.
[00:30:16.798 --> 00:30:23.059]  Some countries are urging women of childbearing age to wait until more is known about the virus to become pregnant.
[00:30:23.059 --> 00:30:26.940]  Microcephaly can cause brain damage in babies or even death.
[00:30:26.940 --> 00:30:37.682]  Health officials said 23 countries are affected by mosquitoes that are spreading the virus locally, while some people are transporting the virus after traveling to affected countries.
[00:30:37.682 --> 00:30:39.102]  The CDC said the U.S.
[00:30:39.102 --> 00:30:42.423]  has 31 confirmed cases in 11 states and D.C.
[00:30:43.823 --> 00:30:45.504]  There is no cure for Zika.
[00:30:45.504 --> 00:30:52.510]  For now, officials urge wearing mosquito repellent and absolutely leave no standing water on your property.
[00:30:52.510 --> 00:30:55.712]  Stay tuned to InfoWars.com for more updates.
[00:30:55.712 --> 00:30:57.574]  Leanne McAdoo for InfoWars.com
[00:30:58.835 --> 00:31:03.199]  Use since before the days of the Roman Empire to support the body's natural systems.
[00:31:03.199 --> 00:31:07.362]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:31:07.362 --> 00:31:12.306]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:31:12.306 --> 00:31:16.950]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:31:16.950 --> 00:31:20.453]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:31:20.453 --> 00:31:23.895]  Now available in our limited first run at Infowarslife.com.
[00:31:23.895 --> 00:31:25.717]  That's Infowarslife.com or call 888-253-3139.
[00:31:28.539 --> 00:31:29.660]  BrainForce is here.
[00:31:29.660 --> 00:31:31.881]  Ladies and gentlemen, I've been on this the last few months.
[00:31:31.881 --> 00:31:36.865]  You probably noticed I've been more focused, less brain fog, more energy, and it's because of BrainForce.
[00:31:36.865 --> 00:31:40.167]  There's always hidden additives in your food, even organic food has hidden additives.
[00:31:40.167 --> 00:31:43.650]  Staring at the computer all day, working, doing good, you're still damaging your brain.
[00:31:43.650 --> 00:31:45.631]  Ultimately, we've all been dumbed down to some degree.
[00:31:45.631 --> 00:31:47.733]  It doesn't have stimulants, it doesn't have garbage in it.
[00:31:47.733 --> 00:31:49.734]  It has natural things that do it clean.
[00:31:49.734 --> 00:31:55.338]  You will find BrainForce and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:31:58.260 --> 00:31:58.900]  I want my candy!
[00:31:58.900 --> 00:32:00.021]  I want my baby again!
[00:32:00.021 --> 00:32:00.241]  Mine!
[00:32:00.241 --> 00:32:00.762]  Mine!
[00:32:00.762 --> 00:32:01.622]  Mine!
[00:32:28.200 --> 00:32:28.560]  I think so.
[00:33:14.264 --> 00:33:19.245]  If you are receiving this transmission, you are the resistance.
[00:33:19.245 --> 00:33:25.446]  Live from the InfoWars.com studios, it's Alex Jones.
[00:33:25.446 --> 00:33:31.087]  Revolution in their hearts, the children start to march.
[00:33:31.087 --> 00:33:34.768]  Monday through Friday, 11am to 3pm Central, we're here live.
[00:33:34.768 --> 00:33:43.210]  Ron Paul's coming up on Election 2016, on the martial law powers the Republicans are openly trying to hand Obama, and more.
[00:33:50.583 --> 00:33:55.147]  One of the biggest stories here is one that's been hiding in plain view for a long time.
[00:33:55.147 --> 00:33:57.729]  But it's unprecedented this time.
[00:33:57.729 --> 00:34:07.458]  MSNBC headline, top-linked on DrugsReport.com, Sanders camp suspicious of Microsoft's influence in Iowa caucuses.
[00:34:09.790 --> 00:34:19.576]  Kurt Demme has a more detailed article at InfoWars.com, in my view, that actually goes into the background of this, because Microsoft is at the top of the pyramid of shadow government.
[00:34:19.576 --> 00:34:22.617]  I'm going to give you the rest of the story here in a moment.
[00:34:22.617 --> 00:34:26.460]  But Sanders camps suspicious of Microsoft's influence in Iowa caucuses.
[00:34:26.460 --> 00:34:27.520]  Here's the InfoWars headline.
[00:34:27.520 --> 00:34:32.023]  Sanders campaign worried Microsoft's app will misrepresent Iowa caucus vote.
[00:34:33.172 --> 00:34:35.312]  Yeah, we'll hack the vote, is the real headline.
[00:34:35.312 --> 00:34:39.373]  In fact, I would tweet that out in my name, folks, crew in there.
[00:34:39.373 --> 00:34:46.494]  It's hard to tweet while you talk on air, so they just take the transcripts constantly.
[00:34:46.494 --> 00:34:54.216]  I would shoot this out and just basically say, Sanders is worried about Microsoft hacking Iowa caucuses.
[00:34:54.216 --> 00:34:55.256]  I mean, that's what it is.
[00:34:55.256 --> 00:34:57.956]  When you cheat something, it's a hack.
[00:34:57.956 --> 00:34:59.276]  People think it's always breaking in.
[00:34:59.276 --> 00:35:02.357]  No, it's also engaging in a fraud using computers, period.
[00:35:04.598 --> 00:35:10.000]  And Microsoft is probably one of the most evil companies in history after IBM.
[00:35:10.000 --> 00:35:12.481]  I'm going to talk about that in a moment.
[00:35:12.481 --> 00:35:20.244]  And absolutely, that's why you see such weird results in Iowa, famously, is there's been so much black box manipulation.
[00:35:20.244 --> 00:35:22.185]  They've caught hackers getting in.
[00:35:22.185 --> 00:35:26.826]  I mean, they caught Diebold.
[00:35:26.826 --> 00:35:31.348]  It's admitted that JFK stole Chicago, Illinois, to win the presidency in 1961.
[00:35:35.851 --> 00:35:39.252]  It's known that LBJ stole his first congressional seat in Texas.
[00:35:39.252 --> 00:35:41.813]  That was the stuff in the ballot box.
[00:35:41.813 --> 00:35:45.714]  It's well established there's a lot of hanky-panky.
