[00:00:14.375 --> 00:00:17.197]  Hard to believe!
[00:27:16.058 --> 00:27:25.323]  They know it's just classic nationalism where we want economic systems that are good for us as countries and as individuals, not good for the globalists and their big world government project!
[00:27:27.383 --> 00:27:38.027]  We don't want to be ruled by secret TPP and WTO and all these unlawful treaties that don't even get ratified most of the time, but we live under them.
[00:27:38.807 --> 00:27:44.169]  Just like the UK never voted in the 80s and the 90s under the different treaties, like Lisbon, to enter it.
[00:27:44.489 --> 00:27:51.371]  And people are like, we didn't vote to enter, and it makes over 90% of our laws, and it's flooding us with unskilled, dangerous jihadists?
[00:27:51.611 --> 00:27:52.732]  We don't want to be part of this!
[00:27:53.112 --> 00:27:54.112]  And they say, shut up!
[00:27:54.172 --> 00:27:54.892]  You are under it!
[00:27:55.052 --> 00:27:56.313]  We don't care how you voted!
[00:27:58.200 --> 00:28:00.301]  People say, well Alex, gee, what did it matter?
[00:28:00.341 --> 00:28:01.001]  They're ignoring it.
[00:28:01.141 --> 00:28:01.621]  Good!
[00:28:01.701 --> 00:28:03.281]  That'll blow up in their face bigger!
[00:28:03.962 --> 00:28:06.662]  You mean the UK says, we vote to get out, you say no?
[00:28:08.163 --> 00:28:09.543]  We have the moral high ground.
[00:28:09.683 --> 00:28:10.924]  We're going to win.
[00:28:11.184 --> 00:28:12.224]  That's why they're panicking.
[00:28:12.404 --> 00:28:13.404]  It's why they're freaking out.
[00:28:13.624 --> 00:28:14.845]  It's why they're pulling their hair out.
[00:28:15.025 --> 00:28:20.706]  When we come back, I have a clip of him on 60 Minutes saying he did what he had to working with the Nazis.
[00:28:23.527 --> 00:28:25.728]  That'd be like if somebody said, kill your family or we'll kill you.
[00:28:25.768 --> 00:28:26.848]  I'd say, pull the frickin' trigger!
[00:28:28.251 --> 00:28:30.133]  But I'd try to take you out before I did that.
[00:28:30.794 --> 00:28:33.797]  But it's this attitude to lay down and give up.
[00:28:34.758 --> 00:28:43.167]  Only one Jewish neighborhood stood up against the Nazis in the Warsaw Ghetto in Poland, and they killed, it's estimated, over 5,000 of them in just a year.
[00:28:44.557 --> 00:28:48.540]  And it took them months and months and months to even take the ghetto finally.
[00:28:49.381 --> 00:28:54.806]  One group of Jews, maybe a thousand, stood up with a couple firearms and held the Nazis off for months.
[00:28:55.146 --> 00:28:57.608]  What would have happened if people would have stood up against Hitler in Europe?
[00:28:57.788 --> 00:28:59.129]  We wouldn't have had this crap.
[00:28:59.670 --> 00:29:03.133]  And now we have this little monster running around.
[00:29:05.743 --> 00:29:19.012]  Overthrowing countries, destabilizing the Middle East, backing jihadists, overthrowing Ukraine, trying to start a war with Russia, and he's financing the Democratic Party to try to start a war with Russia and a war with Israel because he's throwing a temper tantrum.
[00:29:19.192 --> 00:29:20.012]  There he is in the news.
[00:29:20.273 --> 00:29:23.314]  Billionaire globalist pins panicked rant.
[00:29:23.715 --> 00:29:31.460]  We have a dangerous, psychopathic demon in control of the Democratic Party and MSM trying to start a frickin' world war.
[00:29:33.407 --> 00:29:34.988]  And I get the fact he's a Rothschild agent.
[00:29:35.168 --> 00:29:36.129]  That's why he's so powerful.
[00:29:36.509 --> 00:29:37.890]  And you guys think you're invincible?
[00:29:38.090 --> 00:29:38.610]  You're not!
[00:29:39.370 --> 00:29:43.353]  The Rothschilds sued British newspapers for saying they were behind the New World Order.
[00:29:43.753 --> 00:29:45.354]  They lost in court five years ago.
[00:29:46.502 --> 00:29:50.665]  And the court said, no, this finds you were behind the Russian oligarchs and sucking that country dry.
[00:29:51.425 --> 00:29:56.909]  I'm telling Soros, the Rockefellers, the Rothschilds, everybody else, you're not going to pull this off in the dark this time.
[00:29:57.249 --> 00:29:59.530]  You understand we got a big old spotlight on your butt.
[00:29:59.811 --> 00:30:02.792]  We're on the march, the empire's on the run.
[00:30:03.713 --> 00:30:06.395]  Alex Jones and the GCN Radio Network.
[00:30:10.467 --> 00:30:21.636]  Would it surprise you to know that ISIS and Hezbollah are operating freely in Latin America and these Islamic terrorists, they can raise money and they're all planning to attack the United States while in Latin America.
[00:30:21.656 --> 00:30:25.199]  Now, this part of the world has become a hotbed for Islamic terrorism.
[00:30:25.239 --> 00:30:29.482]  Groups like ISIS operate freely, they're able to raise large sums of money to finance
[00:30:29.582 --> 00:30:29.822]  I think?
[00:30:49.701 --> 00:30:50.742]  I'm gonna lay it out short and sweet.
[00:31:14.239 --> 00:31:19.903]  I got so dedicated to fighting the globalists and their program for world government that I stopped working out.
[00:31:20.603 --> 00:31:24.586]  I was a total fitness nut 20 years ago.
[00:31:25.467 --> 00:31:27.688]  About 15 years ago, I just stopped working out.
[00:31:27.768 --> 00:31:28.929]  I gained close to 100 pounds.
[00:31:28.949 --> 00:31:33.512]  I have lost 50, 60 pounds of fat, or more.
[00:31:33.592 --> 00:31:35.294]  I've gained 20 pounds of muscle.
[00:31:36.014 --> 00:31:40.937]  I'm stronger than I was when I was 22, when I could bench press close to 400 pounds and squat 600.
[00:31:41.037 --> 00:31:42.799]  It's actually scary.
[00:31:43.679 --> 00:31:53.766]  And it's because I take products that our researchers developed that block the estrogen mimickers that basically feminize men.
[00:31:54.766 --> 00:32:07.575]  We've produced these products with top scientists and researchers like Dr. Group to help you counteract the globalist onslaught and at the same time support Infowars in our fight to promote human liberty and freedom.
[00:32:10.385 --> 00:32:15.646]  If you look at Bill Clinton, far worse, minor words, and his was action.
[00:32:16.226 --> 00:32:17.747]  His was what he's done to women.
[00:32:17.787 --> 00:32:23.468]  There's never been anybody in the history of politics in this nation that's been so abusive to women.
[00:32:23.688 --> 00:32:26.008]  Bill Clinton was abusive to women.
[00:32:26.348 --> 00:32:32.549]  Hillary Clinton attacked those same women and attacked them viciously, four of them here tonight.
[00:32:32.670 --> 00:32:37.971]  So much of what he's just said is not right, but he gets to run his campaign any way he chooses.
[00:32:48.820 --> 00:32:51.563]  There is an information warfare happening right now.
[00:32:52.424 --> 00:32:53.866]  It's a fight for our minds.
[00:32:54.547 --> 00:32:56.469]  And InfoWars.com is on the front lines.
[00:32:56.789 --> 00:33:01.014]  Download our free multimedia app at InfoWars.com forward slash app.
[00:33:01.134 --> 00:33:04.498]  It's free, it's on Droid, it's on Apple, you name it.
[00:33:04.578 --> 00:33:06.100]  InfoWars.com forward slash app.
[00:33:28.974 --> 00:33:30.414]  You want to stop tyranny?
[00:33:30.675 --> 00:33:31.835]  Well, so does he.
[00:33:32.315 --> 00:33:36.876]  Live from the InfoWars.com studios, it's Alex Jones.
[00:33:43.378 --> 00:33:46.719]  It was Albert Pike who was the head of the Illuminati after the Civil War.
[00:33:46.739 --> 00:33:47.840]  He's also the founder of the KKK.
[00:33:49.810 --> 00:33:55.077]  That famously wrote in the 1870s that there would be three world wars to bring in world government.
[00:33:55.337 --> 00:33:59.883]  And the final would be between Christians with Jews against the Muslims.
[00:34:00.744 --> 00:34:07.272]  And that out of that would come such a hatred of religion that we would accept a one world religion and the one true God, Lucifer.
[00:34:08.444 --> 00:34:14.825]  Now, whether you believe they're following that plan or not, today, this is the plan being manifested on our planet.
[00:34:15.425 --> 00:34:18.946]  And the Rothschilds, you'd ask, why did they help found Israel?
[00:34:19.706 --> 00:34:24.747]  And then why are Rothschild institutions today funding movements against Israel?
[00:34:25.627 --> 00:34:29.808]  As we see in the WikiLeaks through one of their operatives, that's come out in court, George Soros.
[00:34:32.308 --> 00:34:36.689]  Because it's the chaos that has to be brought in to establish the world government.
[00:34:38.720 --> 00:34:55.408]  It's just like there were a lot of powerful Jewish institutions and groups that wouldn't let Jews get out of Europe and they had to pay on average over a million dollars equivalent to different organizations to be able to get out of the country and they were only allowed to go to Palestine.
[00:34:56.188 --> 00:34:57.549]  That's why FDR refused
[00:35:00.845 --> 00:35:04.649]  So many Jews trying to come into New York and sent them back to Nazi Germany.
[00:35:05.390 --> 00:35:07.552]  And I'm not even attacking FDR, it's just a historic fact.
[00:35:07.913 --> 00:35:11.356]  That's people like Dr. Steve Pachinik, who was part Catholic, part Jewish.
[00:35:12.257 --> 00:35:18.103]  He had to come into Cuba when he was a little kid during World War II because the United States wouldn't take him.
[00:35:18.323 --> 00:35:19.805]  The ships got diverted to Cuba.
[00:35:21.066 --> 00:35:22.127]  That's where a bunch of Jews went.
[00:35:22.848 --> 00:35:23.329]  And that's why
[00:35:24.537 --> 00:35:33.224]  People like Pachinik, you know, don't like the ADL and organizations like that because Jews that are actually well-read know what I'm saying is absolutely historical fact.
[00:35:33.745 --> 00:35:36.647]  That's why it isn't just, are you for the Jews or are you against the Jews?
[00:35:36.867 --> 00:35:38.949]  Are you clear-cut for Israel or are you against Israel?
[00:35:39.269 --> 00:35:42.672]  I got a lot of problems with different political parties in Israel, stuff that goes on.
[00:35:43.193 --> 00:35:44.333]  I'm a big human rights advocate.
[00:35:45.154 --> 00:35:48.377]  But the Israelis aren't sending their kids to be suicide bombers.
[00:35:48.657 --> 00:35:53.381]  They're not flooding us with 5 million people in Europe, hundreds of thousands here that say they want to overthrow us.
[00:35:54.122 --> 00:35:56.104]  The globalists have pivoted to Islam.
[00:35:56.404 --> 00:35:58.586]  This is a real triple cross, folks.
[00:35:59.126 --> 00:36:00.988]  They're not just doing a clash of civilizations.
[00:36:01.368 --> 00:36:04.611]  That's what they sold a lot of the military and insiders on with 9-11.
[00:36:05.612 --> 00:36:07.874]  That was supposed to be some excuse to crush Islam.
[00:36:08.494 --> 00:36:16.981]  It was actually to put Saudi Arabia in charge, knock out the countries that were blocking radical Islam, like Saddam in Iraq, Assad in Syria.
[00:36:17.402 --> 00:36:18.743]  So this is the grand chessboard.
[00:36:20.064 --> 00:36:24.067]  And they're panicking because Trump understands this, the military brass understand this.
[00:36:24.968 --> 00:36:33.715]  They're making deals with Russia, they're making deals with Japan, they're making deals to double-cross all the double-crossers like China and others.
[00:36:34.983 --> 00:36:37.825]  And it's not been clear where Israel was going to side in all of this.
[00:36:38.286 --> 00:36:40.007]  And the Likudniks and Netanyahu.
[00:36:40.408 --> 00:36:42.609]  They didn't really give any overt support to Trump.
[00:36:44.111 --> 00:36:46.473]  Well now, the globalists have miscalculated and...
[00:36:48.243 --> 00:36:53.145]  They think holding the world hostage to nuclear warfare is going to bully everybody into acceptance.
[00:36:53.205 --> 00:36:56.747]  In fact, they say, you better accept globalism or there's going to be a big war.
[00:36:56.867 --> 00:37:04.090]  And now they're hitting the dominoes that will chain reaction into a giant regional war that will probably get bigger.
[00:37:04.370 --> 00:37:09.213]  Because if any NATO forces or others hit Russian forces in Syria, it's off to the races.
[00:37:09.933 --> 00:37:11.514]  That's why you notice they just did a deal.
[00:37:12.967 --> 00:37:17.094]  To begin the process of splitting Syria in three pieces, which was the older plan.
[00:37:17.715 --> 00:37:22.664]  Again, going back to Eisenhower, everything Trump's doing is an older pro-America
[00:37:23.783 --> 00:37:29.166]  Stabilize the world, promote freedom plan that got killed in the mid-60s with LBJ.
[00:37:29.786 --> 00:37:31.467]  Everything's going back to that plan.
[00:37:32.167 --> 00:37:34.528]  That's why, I mean, they've literally taken these plans off the shelves.
[00:37:35.148 --> 00:37:38.030]  And again, no one else knows this, no one else talks about this but insiders.
[00:37:38.330 --> 00:37:41.511]  You're getting the inside scoop here, which I've already reverse-engineered.
