[00:00:09.994 --> 00:00:11.735]  Really important for us to remember our history.
[00:27:43.154 --> 00:27:46.735]  And now, you know, we have New Yorker magazine saying Ted Cruz's Goldman Sachs problem.
[00:27:47.255 --> 00:27:54.837]  And so Trump has got his people bringing in Goldman Sachs people and Soros connected people to run his finance system.
[00:27:55.477 --> 00:28:00.118]  My biggest issue, I guess, is the optics of that.
[00:28:01.198 --> 00:28:05.579]  If Trump's going to criticize Cruz for that and Hillary, then what's he thinking?
[00:28:06.179 --> 00:28:08.400]  And the word is Trump does not know.
[00:28:09.847 --> 00:28:18.276]  And did not know, and there were scrabbling phone calls last night and this morning over this, and it came down to Lewandowski.
[00:28:19.057 --> 00:28:28.247]  But then no one wants to actually burn him, so there's an investigation, and while the investigation's going on this morning, an hour ago, this press release shoots out.
[00:28:29.571 --> 00:28:32.072]  And if you just tuned in and you're saying, OK, then what is it, Alex?
[00:28:32.132 --> 00:28:33.193]  Is it a big deal or isn't it?
[00:28:33.473 --> 00:28:34.673]  I war game openly.
[00:28:34.813 --> 00:28:36.334]  I wear my brain on my sleeve.
[00:28:37.114 --> 00:28:39.055]  Quite frankly, I don't know what's going on.
[00:28:39.135 --> 00:28:39.676]  It smells.
[00:28:39.756 --> 00:28:40.316]  I don't like it.
[00:28:40.336 --> 00:28:41.296]  I have a nauseous feeling.
[00:28:41.376 --> 00:28:41.617]  OK?
[00:28:43.838 --> 00:28:45.458]  And not that Trump's betraying anybody.
[00:28:45.538 --> 00:28:48.240]  It's just that these people are everywhere.
[00:28:48.280 --> 00:28:49.260]  They run the system.
[00:28:50.761 --> 00:28:57.444]  And you've got so many of these campaign managers who will make deals with the system, like Jesse Benton and the Senate Majority Leader.
[00:28:58.595 --> 00:29:08.300]  From Kentucky having deals, when he supposedly has been working for Senator Paul, and now see where Senator Paul is, being betrayed by the Republican Party.
[00:29:09.680 --> 00:29:15.223]  So these campaign managers, nine times out of ten, are double-minded in my view.
[00:29:16.384 --> 00:29:27.049]  And I'm going to just stop right there, but we need to see what Trump does now with the optics of this, because he definitely doesn't want to start taking Goldman Sachs money.
[00:29:28.479 --> 00:29:30.902]  It's one thing if you hire somebody that's been Soros-connected.
[00:29:31.403 --> 00:29:32.664]  Soros knows how to run campaigns.
[00:29:33.786 --> 00:29:34.567]  And Goldman Sachs.
[00:29:34.947 --> 00:29:37.410]  That, that, that, that starts ringing alarm bells.
[00:29:37.771 --> 00:29:41.956]  But if you take Goldman Sachs money, I think I'm gonna have a heart attack.
[00:29:42.779 --> 00:29:43.319]  All right.
[00:29:43.940 --> 00:29:45.020]  We'll open phones later.
[00:29:45.040 --> 00:29:46.361]  You can give me your view on this.
[00:29:46.381 --> 00:29:47.722]  It's a complex issue, obviously.
[00:29:48.002 --> 00:29:49.203]  But I'm going to get into Hillary.
[00:29:49.783 --> 00:29:52.145]  Boy, you talk about lying with the coal miners and more.
[00:29:52.165 --> 00:29:53.866]  We're going to play these clips coming up.
[00:29:53.886 --> 00:29:58.189]  Some of the great things Trump's been saying about Obamacare and the open borders and a lot more.
[00:29:58.209 --> 00:29:59.169]  He's been doubling down there.
[00:29:59.210 --> 00:30:00.230]  That's very encouraging.
[00:30:00.730 --> 00:30:02.331]  The Empire's on the run.
[00:30:03.252 --> 00:30:05.954]  Alex Jones and the GCN Radio Network.
[00:30:09.810 --> 00:30:20.120]  It was Thomas Jefferson who once said that our country is now taking so steady a course as to show by what road it will pass to destruction to wit, by consolidation of power first and then corruption its necessary consequence.
[00:30:20.280 --> 00:30:27.526]  Jefferson was warning us about the global elite, the 1% of the 1%, consolidating the world's wealth and subverting the people's voice in government.
[00:30:27.667 --> 00:30:29.488]  Unfortunately, we didn't heed his advice.
[00:30:29.628 --> 00:30:35.674]  We now live in a neo-feudalistic society in which we're treated as indentured servants who only exist to serve the needs of the establishment.
[00:30:35.874 --> 00:30:43.246]  Political office no longer represents the voice of the people, but rather the initiation process politicians go through to gain acceptance into the aristocracy.
[00:30:43.386 --> 00:30:50.978]  Simply put, we the people are responsible for civilization and culture, yet we're suppressed by a tiny elite who have organized into criminal gangs that operate governments around the world.
[00:30:51.198 --> 00:30:59.326]  We falsely believe that everything is simply black and white, one extreme against the other, conservative versus liberal, but things will change once more of us realize this truth.
[00:30:59.486 --> 00:31:06.773]  As Thomas Jefferson also said, enlighten the people generally and tyranny and oppressions of the body and mind will vanish like evil spirits at the dawn of day.
[00:31:06.913 --> 00:31:09.256]  This is Kit Daniels with InfoWars.com
[00:31:09.796 --> 00:31:13.018]  Globalist social engineers are not just targeting us with propaganda.
[00:31:13.158 --> 00:31:15.419]  They are manipulating our genetics.
[00:31:15.579 --> 00:31:23.963]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:31:24.223 --> 00:31:28.945]  The key is to be aware of this attack and to fight back against it after consulting top doctors.
[00:31:29.145 --> 00:31:45.629]  Nutritionist, pharmacist and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula sourced from powerful organic herbs harvested around the planet and then concentrated for maximum potency.
[00:31:45.849 --> 00:31:47.729]  I've always believed in nutrition and herbs.
[00:31:48.069 --> 00:31:55.631]  Super male vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[00:31:56.011 --> 00:32:02.173]  Super Mel Vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:32:02.494 --> 00:32:09.436]  Visit InfoWarsLife.com today to secure your Super Mel Vitality and other powerful products from InfoWars Life.
[00:32:09.736 --> 00:32:11.097]  Clean, pure drinking water.
[00:32:11.117 --> 00:32:12.677]  You can't survive without it.
[00:32:12.857 --> 00:32:13.778]  But where do you get it?
[00:32:14.058 --> 00:32:19.800]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:32:20.040 --> 00:32:25.786]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:32:25.966 --> 00:32:42.823]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:32:43.203 --> 00:32:45.343]  Filter capacity up to 5,000 gallons.
[00:32:45.703 --> 00:32:46.884]  Stainless steel construction.
[00:32:47.164 --> 00:32:47.864]  Easy assembly.
[00:32:48.204 --> 00:32:48.824]  Low maintenance.
[00:32:49.124 --> 00:32:50.944]  Replacement filters are simple to install.
[00:32:51.225 --> 00:32:58.326]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:32:58.486 --> 00:33:03.207]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:33:03.227 --> 00:33:06.247]  Go to InfowarsStore.com or call 888-253-3139.
[00:33:15.235 --> 00:33:21.818]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:33:41.380 --> 00:33:46.845]  I don't just half-bake my political views, my geopolitical views, my cultural views.
[00:33:47.106 --> 00:33:48.187]  I really try to research.
[00:33:49.068 --> 00:34:00.280]  That's why when I spent a few hours with Paul Watson working on this exclusive story at InfoWars.com, Koch, Soros, and Sadler's attempt to take over Trump campaign from within,
[00:34:02.017 --> 00:34:14.661]  I basically got up here on air the first 30 minutes and just war-gamed in my mind because I was so busy just putting the facts down on the article that afterwards I was trying to come to my conclusion on air as to what I thought about it.
[00:34:15.442 --> 00:34:28.126]  And I think despite all of my inherent and incoherent babbling sometimes, that's why this broadcast is so popular because it inherently is real and is totally honest down to my guts.
[00:34:29.278 --> 00:34:31.339]  Now, going over the news, it's all just over the top.
[00:34:31.740 --> 00:34:33.781]  I somehow have to cover all of this today.
[00:34:34.401 --> 00:34:36.242]  We also have two really informative guests.
[00:34:36.282 --> 00:34:40.645]  James O'Keefe with the Veritas Project has had some new amazing coups.
[00:34:40.965 --> 00:34:42.146]  ProjectVeritas.com.
[00:34:42.506 --> 00:34:44.628]  Wayne Madsen was on yesterday for 10 minutes.
[00:34:44.668 --> 00:34:53.413]  He's on for a full hour today to break down all the big developments in campaign 2016 that he continues to be one of the main
[00:34:54.454 --> 00:34:59.578]  Investigative journalist with more big breaking stories nationwide than pretty much anybody else.
[00:34:59.998 --> 00:35:04.802]  We're very proud that he works as a correspondent for InfoWars.com.
[00:35:04.822 --> 00:35:05.583]  So he's gonna be joining us.
[00:35:05.923 --> 00:35:07.685]  We'll also have open phones as well.
[00:35:08.956 --> 00:35:12.277]  Detmer James O'Keefe leaves us, and then into the Wayne Madsen interview.
[00:35:12.918 --> 00:35:20.581]  Rob Doom, InfoWars News Director, will be on showing the fourth hour today on this Thursday transmission.
[00:35:21.321 --> 00:35:22.061]  Good old 5-5, May 5th, 2016.
[00:35:26.004 --> 00:35:30.345]  I want to get into the Trump situation where he says total disaster, repeal Obamacare.
[00:35:30.405 --> 00:35:32.326]  Again, again, not backing off on that.
[00:35:32.386 --> 00:35:32.826]  Wonderful.
[00:35:33.406 --> 00:35:48.030]  Also continuing to say again and again that we should not have the disaster that Europe's had flooding this country with massive Muslim immigration from the most radical countries in the world.
[00:35:48.450 --> 00:35:49.670]  But there's a whole bunch of clips.
[00:35:49.690 --> 00:35:52.911]  I guess there's five of them dealing with Hillary and the coal miners.
[00:35:54.625 --> 00:35:58.389]  And coal mining is what built the British Empire in its last hundred years.
[00:35:58.830 --> 00:36:01.333]  It's what funded and powered the Industrial Revolution.
[00:36:02.114 --> 00:36:05.077]  It's what drove our Industrial Revolution.
[00:36:05.498 --> 00:36:08.501]  And it's now the cleanest burning fuel there is with technology.
[00:36:08.521 --> 00:36:10.604]  It's the cheapest form as well.
[00:36:11.485 --> 00:36:12.987]  And I harp on this constantly.
[00:36:14.730 --> 00:36:17.852]  I have no coal stocks, no energy stocks, not involved in it.
[00:36:18.573 --> 00:36:24.497]  I just know my power bill has more than doubled the last eight years because they've shut down more than a thousand coal power plants.
[00:36:26.238 --> 00:36:26.998]  And it's a big deal.
[00:36:28.840 --> 00:36:39.447]  And it's a bigger deal when she comes out and says, we're gonna bankrupt coal, we're gonna shut down the coal miners, just like Obama said, to audiences that support that, that get off on shutting the country down.
[00:36:39.987 --> 00:36:42.209]  The post-industrial, nihilistic,
[00:36:44.093 --> 00:36:45.434]  Transhumanist eugenicist.
[00:36:47.334 --> 00:36:49.475]  They love China having all the plants they want, or Mexico.
[00:36:49.515 --> 00:36:50.896]  They just don't want us to.
[00:36:50.956 --> 00:36:53.537]  It's a sick cult of control freaks.
[00:36:55.097 --> 00:36:57.658]  You know, the folks that want you to have a 200 square foot coffin apartment.
