[00:00:00.089 --> 00:00:01.450]  We fight the Globals!
[00:29:47.644 --> 00:29:52.749]  I remember when America was great and, um, I had been praying for days for this.
[00:29:53.170 --> 00:29:55.152]  And I mean, maybe one guy
[00:29:55.899 --> 00:29:57.460]  I'm glad that he got to see this.
[00:29:57.540 --> 00:29:59.782]  I'm glad that he got to see this happen.
[00:29:59.802 --> 00:30:01.964]  I'm glad he was so spot on in all his
[00:30:25.077 --> 00:30:27.117]  All his points that he made.
[00:30:27.658 --> 00:30:31.998]  I just want to tell Larry Nichols, I really appreciate his service to the country.
[00:30:32.539 --> 00:30:34.419]  I'm going to get choked up if I say any more.
[00:30:35.219 --> 00:30:36.299]  Lastly, two things.
[00:30:38.040 --> 00:30:40.520]  I'm very concerned about Donald Trump's safety.
[00:30:41.140 --> 00:30:43.501]  There's a long way between now and January.
[00:30:43.521 --> 00:30:45.301]  We all need to pray for him for his safety.
[00:30:46.081 --> 00:30:47.762]  Somebody doesn't try to take him out or something.
[00:30:48.162 --> 00:30:50.362]  That's in the back of everybody's mind, I know.
[00:30:50.382 --> 00:30:53.163]  That was a tragedy.
[00:30:54.238 --> 00:30:58.861]  I think if he mentioned those 28 pages, there's so much work to be done, so much that has to be done.
[00:30:58.901 --> 00:31:02.123]  Those 28 pages are kind of minuscule compared to everything.
[00:31:02.163 --> 00:31:08.807]  But Alex always says, and you all always say, you know, come out with stuff to protect yourself.
[00:31:08.867 --> 00:31:10.688]  You know, Saudi Arabia could be a threat.
[00:31:11.329 --> 00:31:15.791]  And I think the sooner those 28 pages come out, the better for him and his safety.
[00:31:16.232 --> 00:31:19.634]  And lastly, I'm in Tennessee now, but I'm a Floridian.
[00:31:19.974 --> 00:31:21.535]  I'm proud of my state down there.
[00:31:22.065 --> 00:31:24.607]  Like you said, I don't know why it took them so long to call it.
[00:31:24.647 --> 00:31:29.491]  They were actually trying to call it for Gore back in the Bush campaign, when Bush was clearly ahead.
[00:31:30.012 --> 00:31:31.793]  So, um, that doesn't surprise me here.
[00:31:31.813 --> 00:31:34.376]  But my daughter at Virginia is in Palm Beach County, Florida.
[00:31:34.916 --> 00:31:38.339]  One of the, uh, the big three down there that always go Democrat.
[00:31:39.240 --> 00:31:41.161]  Um, she called me in tears yesterday.
[00:31:41.562 --> 00:31:42.983]  Um, after your, your, um,
[00:31:43.772 --> 00:31:51.575]  Your show had announced that a poll worker was attacked in Palm Beach County by a raving maniac who threw her down, grabbed her neck and threw her down.
[00:31:51.595 --> 00:31:54.477]  My daughter was going down to Lake Worth to vote.
[00:31:55.017 --> 00:31:56.197]  She's in North Palm Beach now.
[00:31:57.238 --> 00:32:03.821]  And when she got to go in to vote, she saw a bus pull up and there were people getting off the bus.
[00:32:04.421 --> 00:32:09.223]  And they were yelling at a couple of people holding signs, Mother Effer, this and that, you know, all kinds of obscenities.
[00:32:09.978 --> 00:32:13.539]  And she went in the boat and she came out and there were police trying to break up a scuffle.
[00:32:14.059 --> 00:32:16.700]  There were fisted cuffs and all kind of stuff.
[00:32:17.220 --> 00:32:22.501]  And yet when she lifted up in the news story, the official news story today, it was totally different.
[00:32:22.861 --> 00:32:31.044]  She said it was talking about an old guy that supposedly pulled a gun on a Clinton supporter and she said that wasn't anything like it.
[00:32:31.344 --> 00:32:32.224]  She said that I was there.
[00:32:32.264 --> 00:32:35.325]  Guys were getting off a bus, you know, like in a hurry.
[00:32:36.790 --> 00:32:39.892]  And they started, as soon as they got off, they were shouting obscenities and everything.
[00:32:39.912 --> 00:32:44.255]  So, just one more thing that the mainstream news is skewed, you know?
[00:32:44.935 --> 00:32:48.857]  Well, last night we were watching images of riots going on in California.
[00:32:48.877 --> 00:32:51.399]  You know, people aren't happy.
[00:32:51.419 --> 00:32:55.981]  There's probably going to be riots at the inauguration in January.
[00:32:58.143 --> 00:32:58.643]  And who knows?
[00:32:58.703 --> 00:33:00.224]  What if we don't make it to inauguration?
[00:33:00.244 --> 00:33:03.406]  What if things drastically change in this country for the worse?
[00:33:06.869 --> 00:33:11.733]  Doing your job and putting the truth out there, and I'm sure more and more people are going to be looking.
[00:33:11.773 --> 00:33:14.475]  I mean, you've vindicated yourselves over the mainstream media.
[00:33:15.196 --> 00:33:18.759]  Like Owen said earlier, you know, everybody else was wrong.
[00:33:19.340 --> 00:33:21.942]  And what you guys were saying has been the fact all along.
[00:33:22.022 --> 00:33:26.245]  So maybe, maybe people will even look more than twice at you now.
[00:33:26.926 --> 00:33:28.147]  Thank you guys for the great job.
[00:33:28.227 --> 00:33:28.988]  Thank Larry Nichols.
[00:33:29.008 --> 00:33:29.608]  Thank all of you.
[00:33:30.729 --> 00:33:34.913]  Well, thank you, Darren, for getting out there and spreading the word and helping support us.
[00:33:36.437 --> 00:33:41.679]  And if you're listening to this right now, watching, this is part of our 52-hour broadcast.
[00:33:43.099 --> 00:33:47.121]  We've got some pretty good sales going on.
[00:33:47.641 --> 00:33:54.543]  Maybe somebody sent you the link, you've just tuned in.
[00:33:55.203 --> 00:33:56.064]  Who is this InfoWars?
[00:33:56.084 --> 00:34:01.645]  Who is this elder gentleman with a suit and tie on at 8.35 in the morning?
[00:34:05.441 --> 00:34:07.963]  Reading tweets from pissed off celebrities.
[00:34:11.225 --> 00:34:25.756]  Well, InfoWars.com is a organization that started off one man and his passion to tell the truth and has grown into a very large organization.
[00:34:29.438 --> 00:34:31.380]  And we're TV and radio based.
[00:34:33.461 --> 00:34:34.162]  Internet based.
[00:34:35.421 --> 00:34:36.581]  Got a big presence out there.
[00:34:36.601 --> 00:34:44.825]  And we try to give people the news unfiltered from a mainstream media bias.
[00:34:47.066 --> 00:34:55.489]  And that bias is usually predicated by what the sponsors want the people to say or whatever war needs to be promoted.
[00:34:55.509 --> 00:34:59.431]  We're a little different.
[00:35:01.874 --> 00:35:04.135]  And we want to see everybody prosper in this country.
[00:35:04.936 --> 00:35:11.359]  Not just blacks, not just whites, not just Asians, not just Latinos, everybody.
[00:35:12.220 --> 00:35:13.200]  And we can all prosper.
[00:35:16.182 --> 00:35:17.163]  We can all prosper.
[00:35:18.744 --> 00:35:20.325]  We can all reach our potential.
[00:35:22.066 --> 00:35:24.367]  We can all hand our children a better life.
[00:35:30.652 --> 00:35:31.793]  And I think we can do it now.
[00:35:34.095 --> 00:35:36.837]  Instead of running around and playing defense and running for cover.
[00:35:38.218 --> 00:35:39.479]  With the Clinton administration.
[00:35:40.940 --> 00:35:45.683]  I hope and pray a Trump administration does the things they say they're going to do.
[00:35:45.744 --> 00:35:47.445]  I think when you see the taxes cut.
[00:35:48.946 --> 00:35:49.426]  You see your.
[00:35:50.247 --> 00:35:54.070]  Find yourself having a lot more money to spend on the things you want to spend it on.
[00:35:54.090 --> 00:35:59.274]  Maybe takes because after government waste.
[00:36:02.987 --> 00:36:08.489]  Because can you argue that our government's inefficient and that we waste a lot of money?
[00:36:16.612 --> 00:36:17.432]  I can't argue with that.
[00:36:19.313 --> 00:36:23.894]  So once again, we're having a 52-hour live election broadcast Supercell fundraiser.
[00:36:25.535 --> 00:36:27.195]  And this is going to go to about 3 p.m.
[00:36:27.235 --> 00:36:27.535]  today.
[00:36:27.555 --> 00:36:31.517]  30% off Supermail Vitality.
[00:36:33.027 --> 00:36:34.168]  30% off DNA Force.
[00:36:34.188 --> 00:36:37.290]  30 to 40% off InfoWars Select Storable Foods.
[00:36:39.012 --> 00:36:40.513]  30% off Survival Shield X2.
[00:36:42.374 --> 00:36:43.475]  What is Survival Shield X2?
[00:36:43.495 --> 00:36:44.636]  That's nascent iodine.
[00:36:50.601 --> 00:36:52.883]  And it's a lot different than the iodine you get in salt.
[00:36:54.424 --> 00:36:56.125]  They used to put in salt in bread.
[00:36:56.145 --> 00:36:58.387]  They used to do that.
[00:37:01.186 --> 00:37:04.808]  It's been mandated that you had to get a certain amount of iodine in your food supply.
[00:37:09.330 --> 00:37:10.291]  And now they don't do that.
[00:37:10.611 --> 00:37:12.012]  So now we have to supplement with it.
[00:37:15.254 --> 00:37:19.576]  Well, you get another halogen in there.
[00:37:19.616 --> 00:37:21.137]  You get fluoride a lot in your water.
[00:37:24.979 --> 00:37:26.640]  This is how screwed up our system is.
[00:37:29.653 --> 00:37:31.074]  They put fluoride in our water.
[00:37:32.054 --> 00:37:35.235]  They say it's for your teeth, but you drink it.
[00:37:39.637 --> 00:37:41.478]  I don't know, a lot of people have teeth in their stomach.
[00:37:44.099 --> 00:37:54.863]  And to help get that fluoride out, which is also one of the main ingredients in rat poison, and Prozac,
[00:37:56.826 --> 00:37:58.767]  We have the ProPure King water filters.
[00:37:58.807 --> 00:38:07.233]  They take out the fluoride that water municipalities across the country pay to put in.
[00:38:08.894 --> 00:38:10.075]  Where do they get their fluoride?
[00:38:11.576 --> 00:38:16.760]  Well, they get it from phosphate fertilizer companies.
[00:38:20.302 --> 00:38:22.684]  Back in the olden days, in the 50s, 60s,
[00:38:26.880 --> 00:38:31.463]  And blow fluorides out of their smokestacks.
[00:38:32.703 --> 00:38:35.705]  And then go over to the next field and kill a farmer's cows.
[00:38:36.366 --> 00:38:37.366]  Or destroy orchards.
[00:38:40.588 --> 00:38:53.796]  So the government made these companies put water scrubbers, basically just sprayers that would spray the smoke down as it comes up and it would hit the fluoride-infused smoke and react with the fluoride and it would drop down.
[00:38:57.185 --> 00:39:00.728]  And it makes this interesting compound called hydrofluorosilicic acid.
[00:39:03.510 --> 00:39:10.875]  And so these companies were forced with, what do we do with this stuff that's a toxic waste dump that we're just literally creating?
[00:39:10.895 --> 00:39:13.917]  And their solution was, you know what?
[00:39:14.298 --> 00:39:17.400]  We're going to tell people this is for their teeth and we're going to sell it back to them.
[00:39:21.067 --> 00:39:34.596]  Because in the 1940s, some guy looked at a population that had naturally fluoridated water from natural fluoride deposits, said, hey, these people have better teeth than other people I've looked at.
[00:39:34.616 --> 00:39:37.739]  So it was automatically fluoride in the water supply.
[00:39:40.821 --> 00:39:42.282]  But you're not getting fluoride.
[00:39:42.422 --> 00:39:44.743]  They don't even put fluoride in your water supplies.
[00:39:45.324 --> 00:39:46.905]  Hydrofluorosilicic acid.
[00:39:48.533 --> 00:39:50.813]  Spell that, look it up, see what's in it.
[00:39:50.833 --> 00:39:53.554]  Look at the MSDS of hydrofluorosilicic acid.
[00:39:55.454 --> 00:39:57.735]  And ask yourself, why do they put this in our water?
[00:40:00.416 --> 00:40:01.456]  And tell us it's good for us.
[00:40:01.476 --> 00:40:05.016]  A lot of things our government does that they say is good for us.
[00:40:07.817 --> 00:40:09.397]  They make us get health insurance now.
[00:40:13.178 --> 00:40:16.639]  Don't forget we have free domestic shipping store-wide.
[00:40:17.745 --> 00:40:18.925]  That's on the Pro Pure Kings.
[00:40:20.146 --> 00:40:22.107]  And every other item in our store.
[00:40:22.327 --> 00:40:23.987]  Free shipping storewide.
[00:40:26.869 --> 00:40:33.151]  And go to Infowarslife.com and Infowarsstore.com and check out the deals we have there, because we have some great deals.
[00:40:36.172 --> 00:40:40.214]  Let's go to James in Washington, wants to talk about the poll numbers being rigged.
[00:40:40.234 --> 00:40:42.014]  Go ahead, James.
[00:40:42.074 --> 00:40:42.335]  Hey.
[00:40:42.615 --> 00:40:42.975]  Hey, buddy.
[00:40:43.035 --> 00:40:43.435]  How you doing, man?
[00:40:45.177 --> 00:41:11.793]  Yeah, I'm in Washington State, and I don't know, I just, um, stomach awful, I'm tired, sorry, but, uh, the polls, I was watching them, the live polls on the, uh, America, whatever, you Google search presidential polls and the main website pops up and you watch every 30 seconds the website update, you know?
[00:41:12.594 --> 00:41:14.355]  I was watching Trump ahead
[00:41:15.689 --> 00:41:26.559]  By 2030, maybe 40,000 people popular vote, and within a minute or two, I've never seen it like this.
[00:41:26.859 --> 00:41:31.263]  The polls just switched, and she was up over 100,000 on him, and I lived in.
[00:41:33.817 --> 00:41:43.424]  I'm very familiar with the corruption going on with Bill Gates, Melinda Gates, passing I-594, violating our gun rights up here in Washington State.
[00:41:43.964 --> 00:41:47.927]  There's just a lot of corruption up here in Sussex Poole, liberal Seattle.
[00:41:50.409 --> 00:41:56.173]  You know, I find it hard to believe that Trump got less votes than Mitt Romney in California.
[00:41:58.877 --> 00:42:01.980]  She got 5.4 million, Hillary Clinton.
[00:42:02.641 --> 00:42:04.322]  Donald Trump got 2.9 million.
[00:42:04.342 --> 00:42:05.163]  That's what they're saying.
[00:42:05.183 --> 00:42:11.168]  And you look here at results from Mitt Romney and Barack Obama.
[00:42:11.188 --> 00:42:15.172]  Barack Obama got 6.4 million and Mitt Romney 4.2 million.
