[00:00:00.029 --> 00:00:00.529]  Tip of the week.
[00:24:37.348 --> 00:24:44.351]  There are other people that are informed that are feeding on the groups that are not aware of what's happening.
[00:24:45.591 --> 00:24:54.574]  And it is the arrogance, it is the fact that so many ignorant people are willfully ignorant and like to be ignorant
[00:24:55.768 --> 00:24:57.449]  That really is our downfall overall.
[00:24:57.489 --> 00:25:05.716]  There's videos up on InfoWars.com where the majority of Americans out on the street in California think the United States is 2016 years old.
[00:25:06.316 --> 00:25:12.641]  They believe that years go forward from that point, not the birth and death of Christ.
[00:25:13.842 --> 00:25:19.767]  We have videos, 4th of July, where people don't know how many stars are on the American flag and they don't know why.
[00:25:19.787 --> 00:25:24.951]  And they don't know why they celebrate it.
[00:25:27.117 --> 00:25:35.462]  And understand something, we don't put these videos out with our correspondent Mark Deisch at Infowars.com because we want to feel elitist about this.
[00:25:35.502 --> 00:25:37.323]  Drudge doesn't link to them because of that.
[00:25:37.904 --> 00:25:42.627]  It's not, oh look at these morons, let's laugh at them like jaywalking and celebrating the ignorance.
[00:25:43.667 --> 00:25:45.388]  I don't even think Jay Leno was celebrating the ignorance.
[00:25:45.408 --> 00:25:48.991]  He was pointing out how scary, in fact he said that before, it was they were so stupid.
[00:25:49.391 --> 00:25:51.932]  And that's who Hillary is pitching things to.
[00:25:52.713 --> 00:25:54.214]  Saying don't be racist, vote for me.
[00:25:56.616 --> 00:25:59.639]  Do you have any idea how racist Hillary Clinton is against the human race?
[00:25:59.939 --> 00:26:00.699]  She's a psychopath.
[00:26:02.361 --> 00:26:04.182]  That means you're the opposite of a philanthropist.
[00:26:04.643 --> 00:26:08.546]  A philanthropist in its base term means a fan of humanity.
[00:26:11.854 --> 00:26:14.295]  The globalists are not fans of humanity.
[00:26:14.975 --> 00:26:15.975]  And Hillary is not a fan.
[00:26:16.236 --> 00:26:19.997]  But she virtue signals all day long and tells you she's a fan.
[00:26:20.217 --> 00:26:21.697]  But look at her charitable records.
[00:26:21.798 --> 00:26:22.758]  They're almost zero.
[00:26:23.038 --> 00:26:24.338]  Joe Biden's, Obama.
[00:26:24.759 --> 00:26:27.620]  Look at the studies from Europe, Canada, the US, Australia.
[00:26:28.100 --> 00:26:34.082]  Leftist are the most stingy, hateful people you will ever find.
[00:26:35.199 --> 00:26:48.447]  Because they're criminal minds, they're mentally ill, they want to be in charge, and they want you to think that they're virtuous like you are, and that they're so virtuous, you should be guilty, and then humbly follow their orders.
[00:26:48.787 --> 00:26:49.487]  They're bullies.
[00:26:51.448 --> 00:26:57.852]  I was talking to a doctor of psychology yesterday who got out of it.
[00:27:00.133 --> 00:27:02.515]  Because it's so corrupt.
[00:27:03.772 --> 00:27:05.433]  And he was already successful in other businesses.
[00:27:07.375 --> 00:27:16.282]  And he just said, no, it's totally now claiming someone's been a bully, so you can reverse roles and be a bully against them, but feel good about yourself.
[00:27:17.303 --> 00:27:17.984]  And that's what they did.
[00:27:18.984 --> 00:27:30.454]  And that's why Trump being aggressive and confident in these criminals' faces is the only way to go, because we need confidence in this country and this world to stand up against the thugs.
[00:27:32.304 --> 00:27:37.267]  And if you don't know that in Europe and the United States and other areas, the left are a bunch of thugs.
[00:27:37.868 --> 00:27:47.194]  Absolutely there's right-wing thugs and right-wing corruption because the same globalists are manipulating both political systems towards the same authoritarian end.
[00:27:47.254 --> 00:27:57.801]  It's just with the left, they're able to go so incredibly far because it's a cult.
[00:27:58.891 --> 00:28:07.135]  The constituents of the mindset just lazily want to feel good about themselves, decide they're the good guys, and everybody else outside of that is the bad guys.
[00:28:08.116 --> 00:28:14.379]  They're the most insular, believe-what-they-want-to-believe, ignorant group of people you could imagine.
[00:28:14.599 --> 00:28:16.340]  I mean, I really try to disprove my ideas.
[00:28:16.440 --> 00:28:21.403]  I really try to talk to other groups, and I really try to understand things, and I really am open-minded.
[00:28:22.003 --> 00:28:22.764]  I'm a libertarian.
[00:28:23.784 --> 00:28:24.565]  I'm a real liberal.
[00:28:25.105 --> 00:28:26.586]  And I'm very offended
[00:28:28.885 --> 00:28:30.326]  By the modern fascistic left.
[00:28:30.887 --> 00:28:31.587]  I really am.
[00:28:32.428 --> 00:28:36.331]  And I just wonder how bad it's going to get in the next administration, because I thought Bush was bad.
[00:28:36.351 --> 00:28:37.111]  Boy, I thought he was bad.
[00:28:37.151 --> 00:28:50.681]  And then every real liberal out there, whether it be somebody like, again, Jonathan Turley, constitutional lawyer, or whether it be somebody like Bill Paglia, I mean, countless others say, oh no, you know, the head of the Green Party.
[00:28:51.122 --> 00:28:52.102]  Oh, yeah.
[00:28:54.044 --> 00:28:58.067]  Obama's three to ten times, depending on who you hear from, three to ten times worse than Bush.
[00:28:59.212 --> 00:29:01.293]  And they have metrics and studies showing this, you know.
[00:29:01.733 --> 00:29:03.874]  Turley said it was three times worse like five, six years ago.
[00:29:04.874 --> 00:29:05.695]  Three times worse!
[00:29:06.455 --> 00:29:09.016]  That's a conservative estimate.
[00:29:09.036 --> 00:29:19.920]  Three times worse against the press, and against whistleblowers, and against the economy, and crony deals, and big corporations giving money, and then the government shuts down their competition as the country falls apart.
[00:29:19.940 --> 00:29:20.640]  I'm gonna go to break.
[00:29:21.060 --> 00:29:22.021]  I'm gonna come back and play
[00:29:24.212 --> 00:29:28.678]  The clip where the FBI director goes through all the bad things Hillary did, but said there's no evidence.
[00:29:28.938 --> 00:29:31.202]  Play a few other clips talking about how her server was hacked.
[00:29:31.322 --> 00:29:32.864]  And then we're going to go right to your phone calls.
[00:29:33.625 --> 00:29:37.810]  Jerry, Nick, Brady, Robert, Kenneth, and many others, toll free number to join us, 800-259-9231.
[00:29:37.871 --> 00:29:38.091]  By the way,
[00:29:42.537 --> 00:29:47.361]  People see the urgency, they understand what's going on, and they responded, so thank you for the support.
[00:29:47.461 --> 00:29:48.602]  Thank you for supporting yourselves.
[00:29:49.783 --> 00:30:00.973]  Big success with the July 4th mega-sale on all the different preparedness items, from storable foods, to survival shield, X2, nascent iodine, to heirloom seeds, to water filtrations, you name it, 20-40% off.
[00:30:01.313 --> 00:30:03.214]  I'm extending that right through the week.
[00:30:03.355 --> 00:30:04.155]  The Independence Sale.
[00:30:04.175 --> 00:30:05.096]  We're on the march.
[00:30:05.436 --> 00:30:06.878]  The Empire's on the run.
[00:30:06.898 --> 00:30:07.738]  Infolrestore.com.
[00:30:07.998 --> 00:30:10.661]  Alex Jones and the GCN Radio Network.
[00:30:25.529 --> 00:30:29.193]  He who controls the trends, controls the future.
[00:30:29.994 --> 00:30:34.118]  He who controls the future, controls the destiny of humanity.
[00:30:36.320 --> 00:30:47.692]  My friends, the globalist social engineers are obsessed with creating false memes, false trends that they control.
[00:30:50.259 --> 00:31:06.432]  to create a population of trendies from those false trends that don't have their own destiny who don't even have a basic organic human genetic drive to build something
[00:31:08.092 --> 00:31:14.817]  That is satisfying, trailblazing, and innately independent and human.
[00:31:15.798 --> 00:31:20.442]  And if you understand this paradigm, you understand all the others.
[00:31:20.982 --> 00:31:33.692]  One of hundreds of memes and trends we've been successfully able to launch and force into the consciousness is a Operation Against Hillary Clinton we launched 10 months ago with the Hillary for Prison T-shirt.
[00:31:34.652 --> 00:31:37.395]  It's now been duplicated by countless groups, and I think that's wonderful.
[00:31:38.348 --> 00:31:45.273]  Imitation is the greatest form of flattery, and now it's all over CNN, it's all over Fox, it's all over the Trump rallies, the Hillary rallies.
[00:31:45.634 --> 00:31:52.699]  The number one search term for a week straight, last week, and still continuing, one of the top search terms is, is Hillary going to jail?
[00:31:53.039 --> 00:31:55.161]  This has been incredibly successful.
[00:31:55.421 --> 00:31:59.785]  Because it shows, despite corporate control, and despite them trying to control the meme,
[00:32:00.365 --> 00:32:17.308]  We are able to synergistically wear our colors loud and proud against injustice, corruption, and oppression, and show that we, humans, not the globalist controllers, but the common little people, can set the trends, can set the memes.
[00:32:18.149 --> 00:32:20.451]  We've had three versions of the Hillary for Prison shirt.
[00:32:20.991 --> 00:32:24.413]  All of them have been collector's edition and have helped fund the InfoWar.
[00:32:24.994 --> 00:32:27.555]  We now have a third edition in.
[00:32:27.796 --> 00:32:29.096]  The second edition sold out.
[00:32:29.477 --> 00:32:46.008]  It's the same as the last, but on the right shoulder says InfoWars.com, on the back it says InfoWars.com, legalized freedom, be part of history, be part of supporting the InfoWar, be part of meeting like-minded friends and family.
[00:32:47.119 --> 00:33:02.452]  And be part of breaking out of their paradigm and setting the agenda, setting the trend, setting the true, organic, teleprompter-free reawakening of humanity.
[00:33:03.253 --> 00:33:11.119]  Get your Hillary for Prison 2016 third wave shirts at InfoWarsTore.com or call toll free 888-253-3139.
[00:33:33.991 --> 00:33:36.052]  Asia, Central Asia, the Middle East, Africa.
[00:33:36.072 --> 00:33:39.153]  They all got hit by ISIS this weekend.
[00:33:41.114 --> 00:33:43.715]  Waging war on corruption.
[00:33:43.755 --> 00:33:48.997]  It's Alex Jones coming to you live from the front lines of the Infowar.
[00:33:51.518 --> 00:33:56.099]  And nowhere in the news did they say that it was Islamic terror.
[00:33:56.660 --> 00:33:58.020]  Most places didn't even say ISIS.
[00:33:59.821 --> 00:34:02.502]  They report that Istanbul, formerly Constantinople,
[00:34:05.831 --> 00:34:07.732]  Basically has no tourists there now.
[00:34:10.373 --> 00:34:12.133]  And no one ever says it's Islam.
[00:34:12.193 --> 00:34:14.954]  It's Islam on a giant jihad march worldwide.
[00:34:17.395 --> 00:34:20.936]  When you look at what's happening in Europe, I've got stacks of news articles here.
[00:34:21.696 --> 00:34:28.558]  Mainstream news where they admit multi-thousand percent increases in rapes in Germany, Sweden, France and other areas.
[00:34:28.939 --> 00:34:33.600]  And the police on record are ordered to cover up that it's Islamic.
[00:34:36.747 --> 00:34:37.728]  Almost all of it.
[00:34:38.308 --> 00:34:48.476]  Then they have Swedish ministers come out, I have an article here, and say it's the fault of the Swedes that when the Muslims do it, it's not really a big deal.
[00:34:49.937 --> 00:34:54.160]  It's bad when Swedes do it, even though Swedes basically don't rape.
[00:34:56.212 --> 00:34:57.393]  Leftist politician.
[00:34:57.493 --> 00:35:01.175]  It's worse when Swedish men rape women than when migrants do.
[00:35:01.195 --> 00:35:02.616]  See, that's the upside-down world.
[00:35:03.036 --> 00:35:07.718]  Where, oh, we have a multi-thousand percent rape epidemic, the capital of rape now, in Europe.
