[00:00:00.572 --> 00:00:04.636]  Dr. Fauci, as you are aware, it is a crime to lie to Congress.
[00:26:29.252 --> 00:26:31.733]  But the good news is a federal judge in Germany ruled
[00:26:32.253 --> 00:26:46.561]  YouTube was fined 100,000 euros for blocking even news coverage of the protest, and now, as you said earlier, mainline YouTubers are being blocked from showing the protest because they're calling protesting lockdowns misinformation.
[00:26:46.802 --> 00:26:51.324]  So this is Soviet-level tyranny, all in the name of stopping medical disinfo.
[00:26:51.584 --> 00:26:53.906]  How is protesting a lockdown medical disinfo?
[00:26:54.106 --> 00:26:55.567]  It's just an outrageous power grab, Paul.
[00:26:56.636 --> 00:27:00.778]  No, they literally ban YouTube videos that just show protesters carrying placards.
[00:27:00.818 --> 00:27:10.324]  And what was funny about this yesterday was this media outlet called Guido Fawkes mocked all these conspiracy theorists for saying, why are you protesting when there's nothing left to protest?
[00:27:10.724 --> 00:27:17.168]  Then their video of the protest in London yesterday, within about two hours, got banned by YouTube.
[00:27:17.248 --> 00:27:22.191]  And they had to come back and say, well, I guess maybe the conspiracy theorists were right after all.
[00:27:24.076 --> 00:27:25.257]  This is such a tyranny.
[00:27:25.297 --> 00:27:28.078]  This has nothing to do with this virus.
[00:27:28.118 --> 00:27:32.561]  Klaus Schwab that runs it all admits it's about carbon taxes and now they want carbon lockdowns, Paul!
[00:27:34.588 --> 00:27:41.034]  Yeah, and they're exploiting these floods in Europe, which are as a result of the dams not being properly maintained in Germany and other countries.
[00:27:41.375 --> 00:27:48.802]  And they've openly said, you know, the World Economic Forum bragged, oh, the streets are so quiet during lockdown, we've reduced carbon emissions.
[00:27:49.162 --> 00:27:50.163]  We're going to do that again.
[00:27:50.263 --> 00:27:56.850]  So any justification, any excuse to include, expand state power and enslave the population.
[00:27:56.930 --> 00:27:57.911]  That's why we need to fight it.
[00:27:58.291 --> 00:27:59.712]  Submission leads to death.
[00:27:59.752 --> 00:28:01.413]  Resistance leads to a good life.
[00:28:01.513 --> 00:28:02.454]  Summit.News.
[00:28:02.754 --> 00:28:03.895]  Paul, you're hosting the fourth hour.
[00:28:03.915 --> 00:28:04.655]  We've got 30 seconds.
[00:28:04.675 --> 00:28:05.596]  What are you going to be covering?
[00:28:06.926 --> 00:28:11.147]  I'm going to be covering the latest out of France, the vaccine passports.
[00:28:11.387 --> 00:28:15.408]  Now, as I said before, these nightclub owners are saying they're going to resist it.
[00:28:15.448 --> 00:28:18.009]  They're not going to force people to show them upon entry.
[00:28:18.049 --> 00:28:21.009]  So the pushback, the backlash is raging.
[00:28:21.449 --> 00:28:21.790]  All right.
[00:28:21.870 --> 00:28:23.590]  See you in the fourth hour today.
[00:28:23.670 --> 00:28:25.650]  Thank you, Paul Joseph Watson, Summit.News.
[00:28:26.391 --> 00:28:30.192]  I'm Alex Jones with FreeWorldNews.TV.
[00:28:30.272 --> 00:28:31.652]  FreeWorldNews.TV.
[00:28:32.572 --> 00:28:33.692]  Welcome back, my friends.
[00:28:33.872 --> 00:28:36.113]  We got somebody on the line that I really admire.
[00:28:38.328 --> 00:28:49.455]  It's going to be whistleblowers, it's going to be insiders of every race, color, and creed that bleed red blood and love liberty that are going to bring down this global corporate tyranny that's trying to turn humanity against ourselves.
[00:28:50.175 --> 00:28:58.861]  David Johnson busted on the scene huge yesterday with Project Veritas and a big inside exposure of critical race theory being taught at Hasbro.
[00:29:00.575 --> 00:29:10.882]  Then he was on Sean Hannity last night laying it all out and I wanted to get him on to be able to, you know, at least have 20-30 minutes to talk about what he witnessed and what he saw.
[00:29:10.902 --> 00:29:14.785]  But it doesn't matter if it's Lockheed Martin or the Rand Corporation or the Pentagon.
[00:29:17.476 --> 00:29:21.181]  All these weapons groups are pushing this because Critical Race Theory is a weapon.
[00:29:21.922 --> 00:29:32.657]  It literally teaches people to not judge somebody off the character of them individually, or their deeds, which is totally common sense, and Martin Luther King was absolutely right, that's why everybody bought into it, because everybody knows it's true.
[00:29:33.778 --> 00:29:36.239]  Versus, judge somebody off of what color they are.
[00:29:37.039 --> 00:29:39.740]  And in fact, penalize people off of what color they are.
[00:29:40.160 --> 00:29:45.762]  That is a recipe of division and you dig deeper into the UN and others, they want to divide the world and control it.
[00:29:46.122 --> 00:29:47.983]  So this is the opposite of unity.
[00:29:48.083 --> 00:29:48.983]  This is division.
[00:29:49.383 --> 00:29:50.464]  This is segregation.
[00:29:51.064 --> 00:29:52.224]  And this is true slavery.
[00:29:54.005 --> 00:30:11.427]  David Johnson decided to speak out against Critical Race Theory, being pushed by Hasbro, recognizing that CRT directly opposes the dream of the late Dr. Martin Luther King, who died for it, who dreamt of a world where we would judge each other on our actions and character, not by the pigment of our skin, and that Critical Race Theory preaches.
[00:30:12.288 --> 00:30:17.270]  We should treat each other as members of a racial group in order to be quote anti-racist.
[00:30:17.330 --> 00:30:18.250]  It's total gaslighting.
[00:30:18.551 --> 00:30:29.035]  They refuse to sit back as this harmful ideology is being pushed onto children knowing that whistleblowers generally lose their jobs and sometimes have their identities attacked for or defamed.
[00:30:29.055 --> 00:30:41.320]  That's why we need to support him now that they're suspending and probably gonna lose his job and so that others will step forward and we'll find a home for them and hire folks like a Mr. Johnson who has a conscience and has courage.
[00:30:42.040 --> 00:30:43.940]  GiveSendGo.com.
[00:30:44.000 --> 00:30:47.221]  GiveSendGo.com forward slash support David.
[00:30:47.241 --> 00:30:50.862]  And I know I'm going to make a $100 donation myself for his courage.
[00:30:51.322 --> 00:30:58.983]  There's been some developments now and we're going to talk about what they've done, what they've said, because they don't want this information out because it's so damn racist.
[00:30:59.343 --> 00:31:01.024]  Thank you so much for coming on with us, sir.
[00:31:02.124 --> 00:31:03.304]  No, thank you for having me.
[00:31:03.364 --> 00:31:04.785]  My partner and I are big fans of you.
[00:31:04.805 --> 00:31:05.825]  Well, God bless you.
[00:31:07.743 --> 00:31:14.168]  I mean, you've got the floor here for the next 20 minutes, so just tell folks what you witnessed, what's happening, and why you spoke out.
[00:31:15.389 --> 00:31:15.669]  Sure.
[00:31:16.230 --> 00:31:31.121]  So, I'm an engineer at Hasbro, and one day they pulled me into a meeting for critical race theory and racial bias training in children, and when I saw it on my calendar, I'm like, I should probably record this, because
[00:31:32.566 --> 00:31:42.073]  I've seen critical race theory, intersectionality, wokeness, whatever you want to call it, spreading through our institutions and throughout our culture for the past few years.
[00:31:43.614 --> 00:31:57.605]  I didn't originally think the meeting was going to be too bad, but around two or three minutes in, they start saying things like, your three-year-old or your six-month-old is going to start exhibiting covert and
[00:31:59.670 --> 00:32:02.051]  This is some evil stuff and you see right through it.
[00:32:02.071 --> 00:32:04.912]  I mean, from your own perspective, why was this so shocking to you?
[00:32:28.632 --> 00:32:49.762]  Just because it's neo-segregation, they're trying to tell people through CRT that they're going to make the world better somehow, but if you're going to teach children that they should judge people based on race first and foremost, then you're not going to make a world where there's less racism, you're not going to make a world where there's
[00:32:50.422 --> 00:32:50.702]  Absolutely.
[00:32:50.742 --> 00:32:54.966]  The fact that it's in our government and then in our military is really scary to me.
[00:33:15.879 --> 00:33:20.745]  If they're going to push it on children, I figured that was the limit for me because if they can...
[00:33:21.736 --> 00:33:27.738]  indoctrinate an entire generation of children into believing that, then I don't know how America can come back from that.
[00:33:28.318 --> 00:33:36.861]  We've seen in the past through history what happens when these kind of diversive ideologies are able to just take hold of children.
[00:33:36.881 --> 00:33:40.503]  It's how you get like the Hitler Youth or the Young Turks.
[00:33:41.723 --> 00:33:44.104]  And we just, I don't want that in our country.
[00:33:44.144 --> 00:33:47.285]  I don't want my nieces and nephews to grow up thinking that that's right.
[00:33:48.479 --> 00:33:49.179]  Keep laying it out.
[00:33:49.219 --> 00:33:50.520]  You know the history better than others.
[00:33:51.700 --> 00:33:53.121]  Keep explaining to them why this is good.
[00:33:53.141 --> 00:33:58.683]  Because it's one thing to have a diverse country and we have an ethos of loving each other and having ideas and coming together.
[00:33:59.463 --> 00:34:00.304]  We can thrive.
[00:34:00.564 --> 00:34:04.585]  But if we're a diverse country with critical race theory taught, we will tear each other apart.
[00:34:04.846 --> 00:34:06.106]  So why would the Pentagon do that?
[00:34:06.386 --> 00:34:07.447]  To destroy the military.
[00:34:07.467 --> 00:34:08.247]  To destroy the country.
[00:34:10.289 --> 00:34:17.134]  Um, yeah, it seems to just be they want to sow division between people, um, based on things that don't matter, like race or by gender.
[00:34:17.794 --> 00:34:18.855]  Um, we're all American.
[00:34:18.875 --> 00:34:23.398]  We just need to come together and just stand by the principles that our country was founded upon.
[00:34:23.819 --> 00:34:28.642]  That we shouldn't be judging people based on race or by their sex or whatever.
[00:34:28.882 --> 00:34:32.685]  We need to judge people based on their character, by the actions that they take.
[00:34:32.705 --> 00:34:36.127]  Um, that's progress in the truest sense.
[00:34:36.648 --> 00:34:37.969]  That's what Martin Luther King dreamed of.
[00:34:37.989 --> 00:34:39.510]  And that's, those are the values that I grew up with.
[00:34:40.859 --> 00:34:51.465]  Like one of my favorite quotes from a children's movie that was like the biggest in my generation was, it's the circumstances of your birth are irrelevant.
[00:34:51.625 --> 00:34:53.926]  It's what you do with life that determines who you are.
[00:34:53.946 --> 00:34:55.847]  And that's from like the early 90s.
[00:34:56.688 --> 00:34:58.849]  So those are those are where my values come from.
[00:35:00.216 --> 00:35:04.760]  This is such a reversal of the entire Christian-American ethos and what we were striving for.
[00:35:04.780 --> 00:35:11.167]  This is such an outrageously evil thing that they dress up as the wonderful thing we all better adopt.
[00:35:12.605 --> 00:35:15.928]  Yeah, it's a Trojan horse.
[00:35:16.008 --> 00:35:21.273]  They come to you and say, hey, we're going to teach you to be diverse and we're going to teach you how to be inclusive.
[00:35:21.373 --> 00:35:28.679]  But what they're not saying is we're going to make sure that only our ideology is allowed and that ideology is discriminatory.
