[00:00:00.069 --> 00:00:00.870]  But who knows?
[01:29:27.802 --> 01:29:35.467]  Canada and the United States are going to work in lockstep to display the seriousness of our commitment at both home and abroad.
[01:29:35.767 --> 01:29:38.869]  Win, lose, or draw, you need to choose a side.
[01:29:39.850 --> 01:29:40.631]  But who knows?
[01:29:42.172 --> 01:29:42.912]  Who knows?
[01:29:43.833 --> 01:29:47.995]  I may even decide to beat them for a third time, okay?
[01:29:51.095 --> 01:29:51.515]  Yeah!
[01:29:51.535 --> 01:29:53.616]  He just came out and said it was a fraud again!
[01:29:53.656 --> 01:29:54.716]  Football spike, bitches!
[01:29:54.957 --> 01:29:55.397]  Boom!
[01:29:59.078 --> 01:29:59.518]  And pause.
[01:29:59.838 --> 01:30:02.800]  This is key, because, again, he started 10 minutes early.
[01:30:02.980 --> 01:30:04.020]  Trump never starts early.
[01:30:04.060 --> 01:30:05.100]  He usually starts 5-10 minutes late.
[01:30:05.541 --> 01:30:08.062]  So we were going to, the show's going to start at 4, 5 Eastern, right?
[01:30:08.102 --> 01:30:10.803]  We were going to carry it, but we're pausing it as we go.
[01:30:11.183 --> 01:30:16.705]  Again, his speech is ongoing, way towards the end right now, but we're going to play most of it here today, and of course a lot of it tomorrow, but
[01:30:17.836 --> 01:30:23.761]  I'm seeing this in live time right now, and I was saying to the crew earlier, he needs to come out and say the election was fraudulent.
[01:30:24.061 --> 01:30:34.129]  Because they were going to do a 25th Amendment, they were going to do the impeachment, they probably actually had the votes to convict him, and McConnell told him, you better shut up and say you lost or we're going to do this to you.
[01:30:34.650 --> 01:30:38.373]  But now they have no leverage over him, so he needs to double back and just expose it all!
[01:30:38.953 --> 01:30:39.854]  And so he's doing it!
[01:30:40.294 --> 01:30:42.776]  He beat him once, he beat him twice, he'll beat him three times!
[01:30:43.177 --> 01:30:43.937]  This is awesome!
[01:30:43.957 --> 01:30:44.518]  Let's continue.
