[00:00:19.286 --> 00:00:21.367]  It's Wednesday, August 25th.
[00:25:21.979 --> 00:25:45.397]  So the people who are getting vaccinated now have to be fearful of the next wave of genuine infections, whether it's COVID-19 relatives or not, or any other coronaviruses, because they're all related and they will all be subject to immune-dependent enhancement, obviously.
[00:25:46.872 --> 00:25:48.493]  And they knew exactly what they were doing.
[00:25:48.493 --> 00:25:51.576]  But instead, I didn't have time to watch it all last night or this morning.
[00:25:51.576 --> 00:25:52.557]  I just got sent the clips.
[00:25:52.557 --> 00:26:00.063]  I watched one half of a Young Turks clip where they literally call me a murderer and say, why won't he follow science?
[00:26:00.063 --> 00:26:02.544]  Why is he telling people don't take the shot?
[00:26:02.544 --> 00:26:02.905]  It's 100%.
[00:26:02.905 --> 00:26:08.049]  No, it's 39% Pfizer claims now.
[00:26:08.049 --> 00:26:11.432]  And then the majority of deaths are people in the hospital took to Pfizer.
[00:26:11.432 --> 00:26:12.793]  I have the damn graphs.
[00:26:12.793 --> 00:26:14.034]  I'll show them to you next segment.
[00:26:14.707 --> 00:26:17.550]  But see, they don't show you graphs on the Young Turks.
[00:26:17.550 --> 00:26:20.172]  They're just George Soros funded punks.
[00:26:20.172 --> 00:26:25.358]  They just sit up there and say I'm a murderer!
[00:26:25.358 --> 00:26:35.648]  I just showed you Fauci, I just showed you other medical doctors saying the same damn thing, and I've got all the articles and all the proof right here.
[00:26:35.648 --> 00:26:37.650]  They knew when they did this what was going to happen.
[00:26:39.531 --> 00:26:43.712]  And they're also going, oh, Jones said this wasn't a big threat and now everybody's getting sick.
[00:26:43.712 --> 00:26:44.032]  Really?
[00:26:44.032 --> 00:26:47.673]  Yeah, like I predicted after you take the injections.
[00:26:47.673 --> 00:26:49.254]  But it's worse than that.
[00:26:49.254 --> 00:26:50.714]  China and the globalists are making their move.
[00:26:50.714 --> 00:26:51.694]  They plan to bring the U.S.
[00:26:51.694 --> 00:26:52.395]  down.
[00:26:52.395 --> 00:26:59.397]  They want to get us all dependent on universal income, get rid of the rent so BlackRock and the Chinese can buy everything up.
[00:26:59.397 --> 00:27:00.897]  And this is the takedown.
[00:27:00.897 --> 00:27:04.038]  More lockdowns are coming.
[00:27:04.038 --> 00:27:07.059]  There's so much pressure on Biden, they haven't officially announced it yet, but that's the plan.
[00:27:09.380 --> 00:27:10.840]  This is the breaking of the country.
[00:27:10.840 --> 00:27:14.881]  And I don't sit up here and issue dire emergency warnings for no reason.
[00:27:14.881 --> 00:27:26.245]  I'm the one a year and a half ago telling you, this is overblown hype, this virus is man-made, and it does have gain of function, but it doesn't replicate very fast.
[00:27:26.245 --> 00:27:28.985]  And that's what I told you two months ago, well, everybody's sick, this is real.
[00:27:28.985 --> 00:27:30.666]  And we predicted all that.
[00:27:30.666 --> 00:27:31.826]  You heard us predict it.
[00:27:31.826 --> 00:27:33.647]  You heard the scientists we had on predicted.
[00:27:33.647 --> 00:27:34.967]  You just heard them predict why.
[00:27:36.027 --> 00:27:40.431]  It's the antibody-dependent enhancements, one of the big ones, but there's also the shedding.
[00:27:40.431 --> 00:27:44.234]  And then, by the way, I don't just have sources telling me this.
[00:27:44.234 --> 00:27:45.015]  I can see it.
[00:27:45.015 --> 00:27:46.816]  I read hundreds of articles a day.
[00:27:46.816 --> 00:27:48.598]  There's all these new weird viruses.
[00:27:48.598 --> 00:27:51.920]  They won't even, they're like, we don't know what, it's like polio, but it's not.
[00:27:51.920 --> 00:27:53.462]  Oh, there's some other thing killing babies.
[00:27:53.462 --> 00:27:57.906]  And we don't know, we don't know why suddenly everybody's dying.
[00:27:57.906 --> 00:27:59.287]  Because of the mutants.
[00:28:00.609 --> 00:28:08.451]  Because the mutant viruses that come off of this, and then Fauci goes on TV, Gerstein goes, oh, it's the unvaccinated creating mutants.
[00:28:08.451 --> 00:28:11.252]  All the literature says it's the vaccinated.
[00:28:11.252 --> 00:28:14.753]  They are going against mainline science because this is a war.
[00:28:14.753 --> 00:28:27.777]  We're under a bio-attack, and the enemies on TV, like Tokyo Rose or Baghdad Bob, telling us everything's fine, telling us they're taking care of us, when they're lying to us because they're an enemy force.
[00:28:29.480 --> 00:28:32.741]  You understand this?
[00:28:32.741 --> 00:28:39.163]  All I can say is boost your immune system, watch out, but what's going to get us is to collapse the economy.
[00:28:39.163 --> 00:28:46.725]  Because now it's just people get sick, then they get sick again, and they get sick again because they've got a cocktail of viruses they're hitting us with.
[00:28:46.725 --> 00:28:48.946]  God, help us.
[00:28:48.946 --> 00:28:52.107]  And God did give us the vitamins and minerals and nutrients that we need.
[00:28:52.107 --> 00:28:53.167]  We all got to boost them right now.
[00:28:57.332 --> 00:29:01.396]  Hey everybody, confused about staying healthy in a crazy COVID culture?
[00:29:01.396 --> 00:29:02.156]  Me too.
[00:29:02.156 --> 00:29:09.223]  But listen, after all the research, all the conflicting studies, after all the squabbling, there's one thing almost everyone agrees on.
[00:29:09.223 --> 00:29:13.187]  It's that immune system health can literally be the difference between life and death.
[00:29:13.587 --> 00:29:15.488]  You probably already believe that.
[00:29:15.488 --> 00:29:16.489]  I certainly do.
[00:29:16.489 --> 00:29:17.429]  So here's the thing.
[00:29:17.429 --> 00:29:26.334]  I wanted to get past the craziness and find out which plant-based substances actually have studies that demonstrate some efficacy in immune support.
[00:29:26.334 --> 00:29:31.757]  Now, you'll have to sign a waiver, but you can check out what I've discovered at StrongerDefense.com.
[00:29:31.757 --> 00:29:32.838]  No cures or treatments there.
[00:29:33.118 --> 00:29:42.322]  Instead, little known but shocking immune system research and a breakthrough immune support product based on that research called Immune 10X.
[00:29:42.322 --> 00:29:43.243]  And the best part?
[00:29:43.243 --> 00:29:49.966]  You can go to the Stronger Defense website right now and claim your own supply of Immune 10X without paying anything today.
[00:29:49.966 --> 00:29:50.806]  Crazy, right?
[00:29:50.806 --> 00:29:54.788]  Learn more about this unusual limited time offer at strongerdefense.com.
[00:29:54.788 --> 00:30:00.050]  That's strongerdefense.com.
[00:30:00.050 --> 00:30:01.591]  What are champions made of?
[00:30:03.468 --> 00:30:04.597]  Here's a man who can show you.
[00:30:11.167 --> 00:30:12.748]  AAA-253-3139, AAA-253-3139, AAA-253-3139 is the InfoWars store hotline.
[00:30:12.748 --> 00:30:14.248]  AAA-253-3139, AAA-253-3139, AAA-253-3139 is the InfoWars store hotline.
[00:30:14.248 --> 00:30:15.629]  AAA-253-3139 is the InfoWars store hotline.
[00:30:15.629 --> 00:30:17.110]  AAA-253-3139 is the InfoWars store... Wait!
[00:30:17.110 --> 00:30:18.410]  AAA-253-3139 is the InfoWars store hotline.
[00:30:18.410 --> 00:30:19.691]  AAA-253-3139 is the InfoWars store...
[00:30:37.379 --> 00:30:40.843]  InfoWarsStore.com is simply the best.
[00:30:40.843 --> 00:30:43.867]  InfoWarsStore.com beats out all the rest.
[00:30:43.867 --> 00:30:45.268]  888-253-3139, 888-253-3139, 888-253-3139 is the InfoWarsStore hotline.
[00:30:45.268 --> 00:30:45.468]  888-253-3139, 888-253-3139, 888-253-3139.
[00:30:45.468 --> 00:30:46.390]  That's InfoWarsStore.com.
[00:30:58.463 --> 00:31:02.206]  Not all vitamin and mineral supplements are equal.
[00:31:02.206 --> 00:31:03.307]  Many of them are synthetic.
[00:31:03.307 --> 00:31:05.269]  Many of them have fillers and additives.
[00:31:05.269 --> 00:31:08.271]  Many of them just pass right through the body and are not absorbed.
[00:31:08.271 --> 00:31:17.158]  Well, that's not the case with our incredibly popular, because it's so effective, product that has now been sold out for months, but it's finally back in stock.
[00:31:17.158 --> 00:31:19.660]  And that is Vitamin Mineral Fusion.
[00:31:19.660 --> 00:31:22.302]  All the essential vitamins, all the essential minerals,
[00:31:22.662 --> 00:31:26.784]  A bunch of key amino acids help it upload better into your body and your cells.
[00:31:26.784 --> 00:31:27.705]  It's in powder form.
[00:31:27.705 --> 00:31:28.926]  It's great for children.
[00:31:28.926 --> 00:31:29.846]  It's great for adults.
[00:31:29.846 --> 00:31:34.649]  It's really important for folks that are older because they don't absorb as well through their guts.
[00:31:34.649 --> 00:31:36.790]  This liquid formula really, really does.
[00:31:36.790 --> 00:31:44.575]  You can mix up a pitcher of it every couple days, put it in the refrigerator, or keep it out in the kitchen, and just remember to drink it in the morning and in the evening.
[00:31:44.575 --> 00:31:45.616]  It tastes great.
[00:31:45.616 --> 00:31:46.936]  It makes your body healthy.
[00:31:46.936 --> 00:31:49.518]  It boosts your immune system, and it funds the
[00:31:49.838 --> 00:31:50.559]  We're good.
[00:31:58.676 --> 00:32:21.681]  Let's go back in time, say to the mid-1990s, and then imagine a science fiction movie set in the year 2020, where a world government's being established, where members of Congress and former presidents are censored by big tech, and where if you don't take an experimental injection that grows blood clots and prions all over your body, then you're not allowed to fly on an airplane.
[00:32:22.341 --> 00:32:24.663]  Think about that, because that's where we are.
[00:32:24.663 --> 00:32:30.570]  Imagine just 20, 30 years ago, hell, just 5 years ago, if somebody told you this would be happening.
[00:32:31.417 --> 00:32:33.458]  But it is happening now.
[00:32:33.458 --> 00:32:40.041]  And then they tell you, oh sorry, it's not a vaccine, it's a gene therapy, and it doesn't really work, so you gotta take it every few months.
[00:32:40.041 --> 00:32:42.562]  And the people that have submitted say, great!
[00:32:42.562 --> 00:32:45.583]  I want to take it all the time so I can go outside and not get sick from COVID.
[00:32:45.583 --> 00:32:47.984]  Even though it gets you sick from COVID.
[00:32:47.984 --> 00:32:52.587]  And now there's record numbers of really sick people from the sloughing, the shedding of the virus.
[00:32:52.587 --> 00:32:54.768]  And that's in mainline studies.
[00:32:54.768 --> 00:32:56.448]  Bill Gates and Fauci did this.
[00:32:56.448 --> 00:32:57.769]  Need to go to prison for it right now.
[00:33:01.232 --> 00:33:03.954]  You're listening to the Alex Jones Show.
[00:33:03.954 --> 00:33:10.439]  As everyone...
[00:33:19.744 --> 00:33:23.045]  And see, we're not in normal times.
[00:33:23.045 --> 00:33:35.870]  A new world order, a new global system, based on carbon taxes, based on depopulation, based on pedophilia, based on Satanism, is being established as we speak.
[00:33:35.870 --> 00:33:42.472]  Megacorporations believe there's too many people, they believe they own and control the world, they believe they're doing an emergency action to protect the planet.
[00:33:42.472 --> 00:33:44.193]  That's what they say to their mid-level minions.
[00:33:45.208 --> 00:33:46.729]  In truth, they don't even care about the planet.
[00:33:46.729 --> 00:33:48.210]  They believe they're going to be AI gods.
[00:33:48.210 --> 00:33:49.770]  They're going to merge with machines.
[00:33:49.770 --> 00:33:52.012]  They'll be able to create all the planets they want.
[00:33:52.012 --> 00:33:57.374]  And they are in a rapid move to try to become a new species.
[00:33:57.374 --> 00:34:06.639]  If you actually study their writings, and again, I've been talking about this almost 30 years, Elon Musk is now, quote, warned of the globalists believing they're AI gods.
[00:34:06.639 --> 00:34:12.382]  He said that four years ago, but then two years ago said, actually, he's all for it now.
[00:34:12.382 --> 00:34:13.323]  So that's where we are.
