[00:00:12.657 --> 00:00:14.759]  It's Tuesday, March 23rd.
[00:26:23.875 --> 00:26:28.236]  As you can see, we're on the corner of South International and Rio Grande Streets.
[00:26:29.056 --> 00:26:31.217]  Just south of Donna, Texas.
[00:26:31.217 --> 00:26:32.758]  North of the Mexican border.
[00:26:32.758 --> 00:26:35.279]  We were just there at the bridge.
[00:26:35.279 --> 00:26:39.982]  We really appreciate the brave insider who worked with us on this story.
[00:26:39.982 --> 00:26:44.304]  The public has the right to know that we're going to create an army of whistleblowers and insiders.
[00:26:44.304 --> 00:26:46.285]  You can reach out to us at Veritas Tips.
[00:26:46.285 --> 00:26:50.527]  That's V-E-R-I-T-A-S Tips at Protonmail.com.
[00:26:50.527 --> 00:26:51.828]  Some extraordinary images here.
[00:26:56.548 --> 00:27:03.876]  I'm not going to sit here and waste your time or my time and rattle off the successes InfoWars has had.
[00:27:03.876 --> 00:27:07.160]  If you're paying attention, you know we've done together.
[00:27:07.160 --> 00:27:16.310]  But I'll tell you this, the technocrats are really upping their game and they are trying to destroy all independent forms of media.
[00:27:17.128 --> 00:27:19.509]  They're trying to shudder and silence the human resistance.
[00:27:19.509 --> 00:27:25.133]  So, now is the time to understand that everything we've talked about has been proven accurate.
[00:27:25.133 --> 00:27:28.294]  Everything you warned your friends and family about is going to be true.
[00:27:28.294 --> 00:27:31.076]  So it's now that your credibility is way up.
[00:27:31.076 --> 00:27:35.338]  The power structures are to silence those of us that they can.
[00:27:35.338 --> 00:27:40.061]  But it's up to all of us to not let them silence any of us.
[00:27:40.061 --> 00:27:41.782]  We have the power.
[00:27:41.782 --> 00:27:45.084]  But the sun is setting on humanity and setting on free speech.
[00:27:46.090 --> 00:27:51.255]  We have to make sure that we fight hard right now to make sure that a long, dark night doesn't come.
[00:27:51.255 --> 00:27:57.541]  So be the Paul Revere's you are.
[00:27:57.541 --> 00:28:01.284]  I don't like coming to you and saying this could be our last broadcast.
[00:28:01.284 --> 00:28:05.007]  Hell, I've been on there 27 years and only the last year or so have I said that.
[00:28:05.007 --> 00:28:07.610]  But let me tell you, the New World Order is breathing down our neck.
[00:28:08.254 --> 00:28:12.638]  The big globalist publications are coming after us, and they're doing everything they can to shut us down.
[00:28:12.638 --> 00:28:18.403]  So please pray to keep InfoWars on the air, and please support the local station you're listening to as well.
[00:28:18.403 --> 00:28:30.013]  At the same time, go to InfoWarsStore.com while you still can, and get a book, get a film, get a t-shirt, get some supplements, because it's that money that helps us stay on air in the face of this thing.
[00:28:30.613 --> 00:28:32.754]  I need your help more than ever now.
[00:28:32.754 --> 00:28:36.856]  I want to keep fighting the globalists, but I can't do it if you don't support us.
[00:28:36.856 --> 00:28:47.460]  So, pray for us, word of mouth, tell folks about the broadcast however you can, and buy great products that will enrich you and your family's lives every day at InfoWarsTour.com.
[00:28:47.460 --> 00:28:57.004]  Whether it's high quality coffee, or supplements, or books or films, all of it nurtures the soul, all of it empowers humanity, all of it is pro-human and pro-God.
[00:28:57.004 --> 00:28:57.664]  Thank you so much.
[00:29:02.367 --> 00:29:03.567]  Granny Do-Right.
[00:29:03.567 --> 00:29:04.367]  Granny Do-Right.
[00:29:04.367 --> 00:29:05.448]  Thanks for holding her on the air.
[00:29:05.448 --> 00:29:06.048]  Go ahead.
[00:29:06.048 --> 00:29:06.568]  Hey, Alex.
[00:29:06.568 --> 00:29:09.168]  First of all, let me say I love your products.
[00:29:09.168 --> 00:29:19.870]  I am a granny, and for all the senior citizens out there that may have spent a lifetime in the sun like me, I was loaded up with sunspots, or age spots, as they're lovingly called.
[00:29:19.870 --> 00:29:25.871]  But since taking Urex 2 for the last couple of years, my skin is just really gorgeous, actually.
[00:29:25.871 --> 00:29:26.892]  People think I'm 55 years old.
[00:29:29.152 --> 00:29:36.876]  And I was already taking your other supplements, but I thought, you know, well, maybe that's what I need to do, because I just thought it was a hopeless situation.
[00:29:36.876 --> 00:29:45.640]  But when I started taking it, I mean, it doesn't happen immediately, but, you know, over a period of time, I started noticing, okay, you know, this is a ticket.
[00:29:45.640 --> 00:29:46.460]  This is working.
[00:29:46.460 --> 00:29:47.461]  This is wonderful.
[00:29:47.461 --> 00:29:51.983]  You know, I don't, I don't have to put on Dermablend anymore, you know.
[00:29:51.983 --> 00:29:56.625]  So anyway, it worked wonderfully, and it really has totally cleared up my skin.
[00:29:59.548 --> 00:30:14.239]  The entire New World Order system is about making you feel pathetic, making you feel weak, making you play the part of a victim so you don't take your birthright as being made the image of God and the incredible mission and destiny we have being given free will.
[00:30:14.939 --> 00:30:23.144]  Being given free will, being given consciousness, is literally the seed of an entire universe, an entire system.
[00:30:23.144 --> 00:30:39.794]  And the fact that you're able to commune with God, the fact that you're able to see the beauty of the sunset, or the beauty of the waves in the ocean, or the beauty of your wife or your husband, or the beauty of your child learning knowledge, the beauty of music, the fact that you can commune with that and resonate with that is energetic.
[00:30:39.794 --> 00:30:43.216]  And that itself is what God teaches us is worship.
[00:30:43.816 --> 00:30:52.204]  So don't worship the globalists, don't worship the NFL, don't worship all the things of the system, but worship the things of God, because we're made by God.
[00:30:52.204 --> 00:31:00.292]  And appreciate your consciousness, and appreciate free speech, while you still have it, while you still have it.
[00:31:00.292 --> 00:31:02.954]  You're listening to the Alex Jones Show.
[00:31:29.042 --> 00:31:33.366]  Ladies and gentlemen, we are live inside the InfoWars World Headquarters.
[00:31:33.366 --> 00:31:34.948]  Here, Owen Sawyer sitting in studio.
[00:31:34.948 --> 00:31:38.712]  We're going to go back to Alex Jones here shortly.
[00:31:38.712 --> 00:31:42.395]  He's going to be joining us live here shortly as well.
[00:31:42.395 --> 00:31:50.143]  But I had to break in and report some of the latest that we know of the Boulder, Colorado shooter.
[00:31:50.143 --> 00:31:52.966]  Obviously, his name, Ahmad Al-Issa.
[00:31:53.929 --> 00:31:59.114]  It's now coming out he was an Islamic State Sympathizer, so an Islamist.
[00:31:59.114 --> 00:32:03.617]  He was a immigrant from Syria.
[00:32:03.617 --> 00:32:08.441]  He's been charged with 10 counts of murder.
[00:32:08.441 --> 00:32:11.164]  And we're also starting to get some information from the family.
[00:32:11.164 --> 00:32:14.206]  He was very anti-social.
[00:32:14.206 --> 00:32:17.049]  He was, it seems, maybe a paranoid schizophrenic.
[00:32:19.900 --> 00:32:39.353]  So who knows what kind of pharmaceutical drugs he had been prescribed potentially for for those mental problems and Then we also have a lot of his social media activity before it was deleted Before it was deleted showing that he was an anti-trumper.
[00:32:39.353 --> 00:32:43.775]  He was a leftist liberal progressive he was a
[00:32:45.695 --> 00:32:54.542]  One of those that pushed the leftist narrative to a tee with racism and everything else that they told him.
[00:32:54.542 --> 00:32:56.903]  Trump is bad.
[00:32:56.903 --> 00:32:59.825]  He would share PBS articles on his social media.
[00:32:59.825 --> 00:33:03.068]  He would share Washington Post articles.
[00:33:03.068 --> 00:33:07.291]  So the knee-jerk reaction
[00:33:08.587 --> 00:33:37.140]  from the liberal left in America to identify this as a white supremacist and another white supremacist hate crime is falling apart but that is not even stopping them from erasing their own comments like from CJ Werleman who still has this tweet up on his page and he promotes you know you donate to his PayPal everywhere saying it was a white domestic terrorist so it was a white domestic terrorist immigrant from Syria named
[00:33:38.906 --> 00:33:41.227]  Ahmad Al-Issa.
[00:33:41.227 --> 00:33:51.072]  And Twitter had a trend that was their top trend that also identified the shooter as a white extremist.
[00:33:51.072 --> 00:33:55.294]  That was a trend forced on Twitter.
[00:33:55.294 --> 00:33:59.556]  Of course, all fake news, all disinformation, all misinformation.
[00:33:59.556 --> 00:34:03.278]  So this is what we're learning about the shooter.
[00:34:03.278 --> 00:34:04.379]  So expect them to
[00:34:06.118 --> 00:34:21.437]  Twist the narrative away from the individual or his political leanings or anything like that or his heritage, which they love going to and it politically works for them, but now that it's not going to, expect them to switch that off onto something else or just blame the gun.
[00:34:21.437 --> 00:34:22.598]  Sometimes it's the white guy.
[00:34:22.598 --> 00:34:24.381]  Oh, it wasn't a white guy, then it's the gun.
[00:34:25.406 --> 00:34:28.448]  So expect the pretzels and the media to begin.
[00:34:28.448 --> 00:34:29.348]  But they can't hide it.
[00:34:29.348 --> 00:34:31.109]  They can't hide their hatred anymore.
[00:34:31.109 --> 00:34:32.390]  They can't hide their lies anymore.
[00:34:32.390 --> 00:34:36.472]  Just like they can't hide the disaster, the national emergency at the southern border.
[00:34:36.472 --> 00:34:42.054]  So we're going to be updating on this as more information is coming down.
[00:34:42.054 --> 00:34:44.476]  Alex Jones is going to be live in studio in 30 minutes.
[00:34:46.679 --> 00:34:53.763]  And we're about to go to this John Bowne report, but I have to remind you, ladies and gentlemen, InfoWarsStore.com has big specials going right now.
[00:34:53.763 --> 00:34:55.123]  This is how we stay on air.
[00:34:55.123 --> 00:35:07.510]  Obviously, you know about the censorship, you know about the wills out there to shut us down, but thanks to your support at InfoWarsStore.com, we're still here, live on air, ticking away, 10 hours a day at least.
[00:35:08.383 --> 00:35:11.385]  And bringing you the latest breaking news like nobody else will.
[00:35:11.385 --> 00:35:18.609]  So, InfoWarsStore.com, big specials, 50% off a lot of the top selling supplements right now, like Brain Force Plus, 50% off.
[00:35:18.609 --> 00:35:23.652]  These are selling out quick though, and if you get a supplement that's 50% off, there's also free shipping.
[00:35:23.652 --> 00:35:34.299]  This is all at InfoWarsStore.com, mega blowout sale, 50% off some of the top selling items like Prostagard, Brain Force Plus, CavaChill, and the list goes on.
[00:35:34.299 --> 00:35:37.241]  You get free shipping when you purchase those items.
[00:35:37.241 --> 00:35:37.721]  But get
[00:35:38.539 --> 00:35:42.200]  On to the store before it's too late and some of these sell out.
[00:35:42.200 --> 00:35:46.502]  It's InfoWarsStore.com and your support there makes everything we do here possible.
[00:35:46.502 --> 00:35:52.264]  Alex Jones is coming up, but first, a breaking report from John Bowne.
[00:35:52.264 --> 00:36:00.127]  Recent events concerning the current version of the President of the United States make the chaos at the border actually seem secondary.
[00:36:14.855 --> 00:36:31.743]  Now that Biden's homage to Gerald Ford and Hillary Clinton is begging for deeper analysis, regardless that there was a blanketed media blackout by the leftist media over his fall up the stairs to Air Force One due to what they clumsily described as wind-related,
