[00:00:00.000 --> 00:00:05.440]  [Sound Effects]
[01:28:25.304 --> 01:28:32.749]  That's just one of a couple stories that I have that shows the InfoWars progressing rather well despite everything that they throw at us.
[01:28:33.149 --> 01:28:34.210]  More of that on the other side.
[01:28:34.230 --> 01:28:34.570]  Stay with us.
[01:28:34.590 --> 01:28:34.970]  All right.
[01:28:34.991 --> 01:28:36.211]  Welcome back, ladies and gentlemen.
[01:28:36.592 --> 01:28:37.272]  Sunday Night Live.
[01:28:37.292 --> 01:28:38.133]  My name's Harrison Smith.
[01:28:38.733 --> 01:28:46.059]  I'm the morning host here at InfoWars, and I ask you to start your morning with InfoWars American Journal every day, 8 a.m.
[01:28:46.099 --> 01:28:46.740]  to 11 a.m.
[01:28:46.800 --> 01:28:47.720]  Central Standard Time.
[01:28:47.760 --> 01:28:53.184]  InfoWars.com, of course, is where you go to stream that, and I hope you tune in.
[01:28:53.565 --> 01:28:59.790]  I'm going to do a little week in review starting at 6 p.m., but for now, we have a lot of other stories to talk about.
[01:29:00.720 --> 01:29:07.524]  And interestingly, you know, in my Week in Review, I have an image or a screenshot of a headline, but I wanted to go find the link.
[01:29:07.944 --> 01:29:12.806]  And of course, this is one of the three hate crime hoaxes that were uncovered this weekend, this in particular one.
[01:29:13.106 --> 01:29:20.790]  I was looking for an article from the College Fix called, Black Man Arrested for Inward Graffiti Swastikas at Emory University.
[01:29:20.810 --> 01:29:22.831]  This, of course, is one of the three.
[01:29:23.232 --> 01:29:24.993]  And I couldn't find it on Google.
[01:29:25.993 --> 01:29:26.734]  Just wouldn't come up.
[01:29:27.114 --> 01:29:34.459]  I had to type the entire headline plus the name of the article all into Google and then hit the news tab for it to bring it up for me.
[01:29:34.919 --> 01:29:41.944]  You've got to wonder how smart are these algorithms or people going in and on an individual basis deleting these types of articles.
[01:29:43.245 --> 01:29:55.808]   It's just amazing and you would think that if In a perfect world, in a world full of people with intelligence and can think for themselves and can just see for themselves what's going on, InfoWars wouldn't have to be here.
[01:29:55.908 --> 01:29:56.949]  We wouldn't be necessary.
[01:29:57.049 --> 01:30:04.615]  Because everything that these people are engaged in, the Globalists, the Bilderberg Group, the Davos Group, World Economic Forum, it's so obvious.
[01:30:04.655 --> 01:30:05.816]  I mean, it's in your face.
[01:30:06.217 --> 01:30:08.418]  We shouldn't have to get up here and tell you about it.
[01:30:09.029 --> 01:30:11.269]  But my God, is this necessary?
[01:30:11.269 --> 01:30:14.629]   It's like the most important thing we could possibly be doing right now because, I don't
[01:30:14.629 --> 01:30:15.828]  know, people just don't seem to get it.
[01:30:15.828 --> 01:30:19.109]   They just don't seem to be able to like figure this stuff out for themselves.
[01:30:19.109 --> 01:30:23.589]   And so of course we know that the globalists are, you know, their machinations and their
[01:30:23.589 --> 01:30:27.429]   plans and their schemes are on a level that they've never reached before.
[01:30:27.429 --> 01:30:34.309]   And everything from just the sheer force by which they're trying to put these things in
[01:30:34.309 --> 01:30:38.469]   place to just the breadth and scale of everything that they're trying to bring about all at
[01:30:38.469 --> 01:30:43.748]   at once from the border to the vaccine mandates all that sort of stuff.
[01:30:41.724 --> 01:30:43.905]  It's, I mean, this is it, right?
[01:30:44.085 --> 01:30:45.485]  They're putting everything on the table.
[01:30:45.725 --> 01:30:46.305]  They're all in.
[01:30:47.746 --> 01:30:57.128]  And that's certainly a source of anxiety and aggravation for people here who don't want to be slaves of Klaus Schwab.
[01:30:58.007 --> 01:31:05.839]  But on the other hand, on the other hand, it's worth it to stop for a moment and think about how far the info war has come.
[01:31:05.899 --> 01:31:06.900]  Think about the fact that now...
[01:31:08.622 --> 01:31:12.003]  Millions of people on Twitter talk about this stuff every single day.
[01:31:12.323 --> 01:31:26.928]  It used to be 10 years ago, if you wanted to talk about the Bilderberg Group or Davos or this sort of stuff, you'd go to some forum somewhere, you know, with like a dozen people all sort of talking about this stuff and, you know, none of it was widespread or talked about a lot.
[01:31:27.268 --> 01:31:31.570]  Like, it was in the deep, dark corners of the, you know, not respectable internet.
[01:31:31.610 --> 01:31:32.290]  It was over there.
[01:31:32.310 --> 01:31:33.831]  Of course, they'd love to return to that.
[01:31:34.471 --> 01:31:39.174]   But how different is it now that you can make a tweet talking about Builderberg or Davos.
[01:31:40.396 --> 01:31:41.217]  10,000 likes, right?
[01:31:41.237 --> 01:31:42.739]  It gets shared over and over again.
[01:31:42.839 --> 01:31:46.385]  It's amazing how far the info war has come.
[01:31:46.405 --> 01:31:48.287]  And it's really impressive.
[01:31:48.308 --> 01:31:51.032]  And of course, then you, I get into the, the what ifs.
[01:31:51.352 --> 01:31:52.113]  That's like, man, what if.
[01:31:53.271 --> 01:31:56.817]  What if Alex Jones got like the Dr. Fauci treatment in like 2001?
[01:31:56.877 --> 01:32:07.493]  What if instead of in 2001, you know, everybody denigrating and telling Alex Jones he was a crazy conspiracy theorist for thinking that the Patriot Act would impinge on our liberties?
[01:32:09.201 --> 01:32:18.187]  What if instead he was like put on Oprah and then like interviewed him on CNN and actually gave credence and consideration to the things that he was saying?
[01:32:18.648 --> 01:32:21.530]  And what if this awakening had started 20 years ago?
[01:32:21.570 --> 01:32:24.692]  What if we avoided going into war in Afghanistan and Iraq?
[01:32:24.712 --> 01:32:28.815]  What if we avoided all of these civil liberties that we've lost because of the Patriot Act?
[01:32:29.775 --> 01:32:30.636]  What if, right?
[01:32:32.113 --> 01:32:33.974]  We'd be a very different world today.
[01:32:34.474 --> 01:32:41.516]  And I think that's a world that we can look forward to, because I really do think that InfoWars is making a massive difference, waking just an infinite number of people up.
[01:32:41.756 --> 01:32:42.917]  It's really incredible to see.
[01:32:43.377 --> 01:32:46.518]  And every day we're making major strides, which is why they're attacking us so much.
[01:32:46.998 --> 01:32:50.479]  And so I guess all this is to say, we wouldn't be here without you.
[01:32:50.519 --> 01:32:58.082]  And of course, as much as InfoWars does, we'd be shouting to the trees if it weren't for the audience out there helping to share this message, spread this message, spread the links.
[01:32:58.342 --> 01:33:00.023]  And of course, go to InfoWarsStore.com.
[01:33:01.523 --> 01:33:03.465]  No other support other than you.
[01:33:03.585 --> 01:33:19.737]  So thank you so much, sincerely, for supporting us and getting this word out here and helping to actually make a major change, a shift in the course of humanity itself by waking up to the machinations of the globalists and actually standing up and resisting it.
[01:33:20.457 --> 01:33:30.325]  Very, very honored to be a part of this and very thankful to everybody who goes to Infowars store and allows us to carry out this literal information war that we are now engaged in.
[01:33:31.476 --> 01:33:34.397]  I'm going to go to this video that Alex talked about a little bit earlier.
[01:33:35.217 --> 01:33:43.140]  The article from Gateway Pundit says, House Budget Committee Chairman says federal government can afford anything, anything at all.
[01:33:44.340 --> 01:33:46.621]  I haven't seen this yet, so I'll comment on the other side.
[01:33:46.681 --> 01:33:56.344]  Let's now go to this video of John Yarmuth, the House Budget Committee Chairman, lying to you about what the federal government can afford.
[01:33:57.455 --> 01:33:59.915]  I read Joe Manchin's statement, I've listened to him.
[01:34:00.236 --> 01:34:06.317]  He has no understanding of how the federal government monetary system works.
[01:34:06.697 --> 01:34:12.198]  When he compared it yesterday to his household income, that has no relevance to what we can do.
[01:34:12.618 --> 01:34:14.278]  It's not a question of what we can afford.
[01:34:14.338 --> 01:34:18.239]  The federal government can afford anything that it feels it needs to do.
[01:34:19.039 --> 01:34:21.499]  And right now, that's what we ought to be focused on.
[01:34:21.319 --> 01:34:25.639]  on. So even the CNN reporter looked up at that.
[01:34:25.639 --> 01:34:29.319]   In the budget committee, that's the position I will take going forward.
[01:34:29.319 --> 01:34:36.838]   Frankly, I think it's respectable of the man to wear the grade he got in civics on the
[01:34:36.838 --> 01:34:38.279]  front of his jacket.
[01:34:38.324 --> 01:34:39.764]  I think that's a respectable thing.
[01:34:40.185 --> 01:34:47.327]  You want to see the letter grade that he earned there on the lapel in civics class or perhaps economics.
[01:34:48.207 --> 01:34:50.688]  Here's the dirty little truth that everybody knows.
[01:34:52.128 --> 01:34:53.609]  The federal government has no money at all.
[01:34:54.010 --> 01:34:55.591]  The federal government doesn't have a dime.
[01:34:55.611 --> 01:35:04.840]  The only money that the federal government actually makes for itself, the money it generates, is when it sells missiles to Iran or drugs to the inner city.
[01:35:04.900 --> 01:35:06.421]  That's how the government makes money.
[01:35:06.481 --> 01:35:14.168]  If it's deep state operatives, you know, creating a slush fund to carry out their black ops in third world countries, that's their money.
[01:35:14.208 --> 01:35:15.550]  They've earned that, I think.
[01:35:16.110 --> 01:35:17.891]  Everything else, it's not their money.
[01:35:17.951 --> 01:35:20.073]  It's a credit card with your child's name on it.
[01:35:20.093 --> 01:35:21.914]  It's a credit card with your grandchildren's name on it.
[01:35:22.714 --> 01:35:23.535]  They don't own anything.
[01:35:23.555 --> 01:35:26.977]  They don't have anything except for what they can squeeze from you.
[01:35:27.017 --> 01:35:37.504]  And that seems like their primary or perhaps exclusive concern at this point as we continue on to hear all these discussions about the 3.5 trillion dollar bill.
[01:35:39.025 --> 01:35:42.788]  I'm sorry, the zero dollar bill if you listen to the Democrats.
[01:35:43.951 --> 01:35:46.773]  It's absurd, but there's always this, the government's going to run out of money.
[01:35:46.793 --> 01:35:48.013]  The government has no money.
[01:35:48.094 --> 01:35:49.114]  It has your money.
[01:35:49.134 --> 01:35:51.736]  It has what it can squeeze from you.
[01:35:51.816 --> 01:35:57.639]  So, just amazing they would say that, and of course it reflects the attitude that they all have.
[01:35:57.679 --> 01:36:07.025]  We can do whatever we want, we can demand whatever we desire, and we can steal it from whoever we want because we're the federal government, after all.
[01:36:07.665 --> 01:36:09.647]  It's amazing this mindset that they have.
[01:36:10.805 --> 01:36:14.450]  Some, I mean, so many statements these days are just, just baffling.
[01:36:14.470 --> 01:36:18.856]  I mean, you saw on that video, even the CNN reporter, when he's like, money's not an issue.
[01:36:18.976 --> 01:36:20.939]  Federal government can afford anything we want.
[01:36:20.979 --> 01:36:21.319]  She's like...
[01:36:23.379 --> 01:36:25.841]  Okay, like she's not gonna say anything, obviously, it's CNN.
[01:36:25.881 --> 01:36:32.345]  They believe that, but it's like, wow, that's just on its face an insane thing to say, an insane thing to think.
[01:36:32.926 --> 01:36:37.209]  But that's what they believe, and they're convincing you of it too, I guess.
[01:36:37.569 --> 01:36:40.731]  And it's amazing, I saw a statement from Bernie Sanders.
[01:36:42.112 --> 01:36:48.357]  It's obviously, I don't think I need to tell you folks, this is socialism, this is communism, this is what they're setting up, and it's what we can expect.
[01:36:49.687 --> 01:36:56.137]  And he says, you know, it's a shame that two senators can stand in the way when there are 48 senators who want this.
[01:36:58.440 --> 01:37:01.184]  Completely disregarding 50% of the Senate, right?
[01:37:01.565 --> 01:37:07.359]   Completely disregarding the 50 people That are Republicans that are against this.
[01:37:07.420 --> 01:37:09.361]  So, this is the mindset of these people, right?
[01:37:09.381 --> 01:37:11.042]  This is the mindset of the Democratic Socialists.
[01:37:11.062 --> 01:37:14.425]  It's like, well, Socialism's fine, as long as the majority is for it.
[01:37:14.505 --> 01:37:19.669]  As long as 50% or more people agree with this, then it's the right thing to do, because that's the majority.
[01:37:19.709 --> 01:37:21.971]  And if they want Socialism, then that's what they're going to get.
[01:37:22.031 --> 01:37:23.432]  That's Democratic Socialism.
[01:37:24.934 --> 01:37:27.896]  Except 52% of the representatives don't want it, and 48% do.
[01:37:27.936 --> 01:37:28.316]  So that means...
[01:37:30.694 --> 01:37:32.475]  We don't, we're not going to have it, right?
[01:37:32.495 --> 01:37:34.595]  Because that's what democratic socialism is all about.
[01:37:34.635 --> 01:37:36.056]  It's, well, it's whatever the majority wants.
[01:37:36.076 --> 01:37:45.119]  Well, in this case, the majority doesn't want your endless debt and your giveaways to foreign countries and your giveaways to everybody else in this country.
[01:37:45.659 --> 01:37:50.701]  Two senators cannot be allowed to defeat what 48 senators and 200 House members want.
[01:37:52.142 --> 01:37:54.883]  Like, it's just, it's just a glimpse into their mindset, isn't it?
[01:37:54.983 --> 01:37:56.123]  It's, you don't exist.
[01:37:56.303 --> 01:37:58.084]  Your representatives do not exist.
[01:38:00.506 --> 01:38:01.687]  It's just amazing.
[01:38:02.368 --> 01:38:03.510]  52% don't want this.
[01:38:03.590 --> 01:38:09.637]  So, under your own, uh, no, no, I'm not, I'm not going to call them a hypocrite because, uh, why would I?
[01:38:09.677 --> 01:38:10.278]  They don't care.
[01:38:10.338 --> 01:38:11.360]  They really don't care.
[01:38:11.380 --> 01:38:12.281]  They're not even hypocrites.
[01:38:12.301 --> 01:38:15.044]  They're just power hungry psychopaths.
[01:38:15.425 --> 01:38:17.908]  And that's, uh, and that's what we're doing here.
[01:38:20.282 --> 01:38:20.742]  There's so much.
[01:38:20.762 --> 01:38:28.568]  I mean, even just today, like forget this this last week, just today, J&J vaccine could be linked to another clotting condition, according to the EU.
[01:38:29.268 --> 01:38:30.869]  Rare blood clotting in deep veins.
[01:38:30.969 --> 01:38:32.610]  My God, we are almost out of time on this segment.
[01:38:33.151 --> 01:38:33.751]  Hey, time flies.
[01:38:33.771 --> 01:38:34.211]  You're having fun.
[01:38:34.251 --> 01:38:44.478]  I'll be here on the other side of this commercial break to break down the whole week of absurd insanity, of cacophonous madness that we experience when we read the headlines here.
[01:38:44.698 --> 01:38:46.099]  Go to Infowarsstore.com.
[01:38:46.139 --> 01:38:47.020]  Please do support us.
[01:38:47.200 --> 01:38:48.201]  You know we're under attack.
[01:38:48.241 --> 01:38:49.481]  You know they want us gone.
[01:38:50.702 --> 01:38:51.483]  Just don't let him win.
[01:38:51.683 --> 01:38:52.564]  Just don't let him win.
[01:38:53.505 --> 01:38:53.785]  You know what?
[01:38:53.845 --> 01:38:56.007]  If you want the globalists to win, don't go to InfoWars store.
[01:38:55.827 --> 01:39:08.707]  But please for the love of God and humanity, please.
[01:39:08.889 --> 01:39:17.492]  They've done it again and have just released an entire suite of bioremediation products, bringing industrial-level technology to the everyday consumer.
[01:39:17.792 --> 01:39:21.754]  They're literally changing the industry with a revolutionary patented delivery system.
[01:39:22.174 --> 01:39:31.477]  The BioPros are excited to release BioMarine Pro, a product specifically designed to create healthy black and or gray water holding tanks.
[01:39:32.588 --> 01:39:37.750]  Biomarine Pro digests grease, fats, oil, sludge, paper, and organic matter with ease.
[01:39:37.990 --> 01:39:41.511]  Get up to 20 treatments coupled with an easy application scoop.
[01:39:41.811 --> 01:39:42.772]  Just pour and flush.
[01:39:42.912 --> 01:39:43.632]  It's that simple.
[01:39:44.072 --> 01:39:49.954]  It contains no chemicals and no GMOs and is safe for black-gray holding tanks, sewer hoses, and plumbing.
[01:39:50.654 --> 01:39:52.175]  It is also human and animal safe.
[01:39:52.995 --> 01:39:56.776]  Say goodbye to holding tank problems, gas buildup, and odor.
[01:39:57.076 --> 01:39:58.137]  Guaranteed.
[01:39:58.877 --> 01:40:01.398]  Visit thebiopros.com and see for yourself.
