[00:00:09.943 --> 00:00:10.364]  We're here!
[00:24:46.317 --> 00:24:48.699]  That's why I figured they took him first.
[00:24:49.639 --> 00:24:54.441]  He wouldn't have to see what we're going to go through in the next few years, you know, because it's going to get worse.
[00:24:54.621 --> 00:24:56.002]  I don't see it getting better.
[00:24:56.702 --> 00:25:03.225]  Elaborate in the few minutes we have left, sir, about going from not trusting your government, because this is a globalist occupied government.
[00:25:03.925 --> 00:25:06.366]  Obviously, it's a corporate New World Order government.
[00:25:06.386 --> 00:25:12.929]  I mean, the process of trusting more and now not trusting this entity.
[00:25:14.030 --> 00:25:16.971]  Well, like I said, you know, I love my country.
[00:25:17.652 --> 00:25:18.652]  I'm ex-military.
[00:25:19.278 --> 00:25:21.199]  My son, he was in ROTC.
[00:25:21.519 --> 00:25:23.121]  He wanted to go into the Air Force.
[00:25:24.161 --> 00:25:30.766]  And, you know, so, I mean, like I said, I'm here for my country 100%.
[00:25:31.366 --> 00:25:34.108]  But then the government lied to us constantly.
[00:25:34.128 --> 00:25:41.553]  I mean, we're fighting for ourselves, our country, and this is not a war.
[00:25:41.633 --> 00:25:46.436]  I mean, it seems like, I'm sorry, I feel like it's population control.
[00:25:47.355 --> 00:25:52.258]  I mean, you're just dropping people left and right, and it's not for a good cause.
[00:25:53.399 --> 00:25:55.481]  You know, we're not at war.
[00:25:57.042 --> 00:26:06.468]  And it's our own occupied government directing it against us, and then covering it up, and then covering up treatments for COVID-19 so more die, and sending sick people with COVID-19 to nursing homes to kill them.
[00:26:06.769 --> 00:26:07.829]  Yeah, these are ghouls.
[00:26:07.869 --> 00:26:14.754]  These are evil people, and good people can't believe it when it happens to them historically, and it comes every three generations or so.
[00:26:14.834 --> 00:26:16.616]  And notice, three generations.
[00:26:17.363 --> 00:26:17.563]  Yes sir.
[00:26:17.583 --> 00:26:17.903]  That's true.
[00:26:17.923 --> 00:26:18.043]  It is.
[00:26:18.063 --> 00:26:18.403]  It's very true.
[00:26:35.649 --> 00:26:35.929]  All right.
[00:26:35.989 --> 00:26:37.370]  Well, thank you and God bless you.
[00:26:37.390 --> 00:26:40.451]  And I'd like to get you back on as things unfold.
[00:26:40.751 --> 00:26:52.935]  And I would like to get you on some of our other broadcasts so you can have a testimony and save others and, you know, continue to make sure that your son's memory lives on and has an effect to educate others.
[00:26:53.376 --> 00:26:56.197]  In the last couple minutes we have, any other comments, sir?
[00:26:57.257 --> 00:26:57.757]  No, sir.
[00:26:57.797 --> 00:27:04.980]  Like I said, if anybody decides to take their children, I mean, it's your choice, but please go first with a position.
[00:27:05.560 --> 00:27:06.741]  Have them checked thoroughly.
[00:27:08.142 --> 00:27:09.003]  I mean, it's not good.
[00:27:09.343 --> 00:27:10.564]  A doctor can't guarantee it.
[00:27:10.684 --> 00:27:13.486]  But still, I mean, these are your kids.
[00:27:13.706 --> 00:27:14.727]  Please take care of them.
[00:27:14.947 --> 00:27:15.747]  That was our job.
[00:27:17.208 --> 00:27:18.649]  You know, think twice.
[00:27:18.950 --> 00:27:22.072]  Really think on it over before you get the vaccine.
[00:27:22.572 --> 00:27:23.273]  Well, absolutely.
[00:27:23.333 --> 00:27:24.494]  Plus now, you know, they admit it.
[00:27:24.514 --> 00:27:27.596]  It has like 39% effectiveness and lowers their immune system.
[00:27:28.477 --> 00:27:28.877]  Yes, sir.
[00:27:29.497 --> 00:27:29.878]  Yes, sir.
[00:27:30.038 --> 00:27:33.040]  I mean, like I said, I mean, we got to protect our kids.
[00:27:33.635 --> 00:27:35.257]  One way or another, that's what we have to do.
[00:27:35.297 --> 00:27:36.077]  That's all we have left.
[00:27:37.939 --> 00:27:38.840]  Well, thank you, sir.
[00:27:39.080 --> 00:27:39.841]  And God bless you.
[00:27:39.861 --> 00:27:43.484]  If there's anything we can do, let us know.
[00:27:43.745 --> 00:27:44.946]  And again, I know this has been hard for you.
[00:27:44.966 --> 00:27:47.929]  We appreciate your strength and your son's strength as well.
[00:27:47.969 --> 00:27:48.449]  God bless you.
[00:27:49.370 --> 00:27:49.930]  Thank you, sir.
[00:27:50.471 --> 00:27:50.711]  Wow.
[00:27:53.674 --> 00:27:58.338]  The criminal puppet, Joe Biden, on Thursday
[00:27:59.235 --> 00:27:59.915]  September 9th.
[00:27:59.955 --> 00:28:09.321]  We're here on September 11th on this Saturday emergency transmission said this is a pandemic of the unvaccinated and that we're killing people trying to organize mobs to attack us.
[00:28:09.862 --> 00:28:10.402]  That's their plan.
[00:28:13.284 --> 00:28:17.006]  This is not a pandemic of the unvaccinated.
[00:28:17.026 --> 00:28:22.209]  This is a bioweapon created by Biden's controllers, Bill Gates and Fauci on record.
[00:28:22.429 --> 00:28:23.270]  We have all the documents.
[00:28:23.310 --> 00:28:24.471]  It's all come out the gain of function.
[00:28:24.911 --> 00:28:28.173]  They released it to get rid of Trump and other nationalists to empower the UN.
[00:28:29.537 --> 00:28:30.758]  And to create massive fear.
[00:28:32.618 --> 00:28:43.223]  And then they launch their program of control against every major nation on earth and put Africa and areas of Asia and Latin America on lockdown still, starving over 20 million people to death.
[00:28:43.783 --> 00:28:45.284]  This is depopulation.
[00:28:46.044 --> 00:28:49.606]  This is operational depopulation being carried out.
[00:28:50.166 --> 00:28:58.670]  And the facts are the most vaccinated countries with this deadly shot have the highest death rates and the highest illnesses and the highest hospitalizations like Israel compared to Sweden.
[00:28:59.721 --> 00:29:00.801]  And the list goes on and on.
[00:29:01.182 --> 00:29:02.182]  Israel compared to India.
[00:29:04.363 --> 00:29:04.863]  The U.S.
[00:29:04.883 --> 00:29:06.523]  compared to India.
[00:29:07.724 --> 00:29:10.405]  Or Sweden or other areas that aren't doing the shots at this level.
[00:29:10.965 --> 00:29:11.925]  India's at 10%.
[00:29:12.286 --> 00:29:13.066]  Same thing with Sweden.
[00:29:14.526 --> 00:29:15.647]  We're going to take a break here.
[00:29:17.307 --> 00:29:26.951]  And then we're going to come back with Dr. Richard Bartlett, who runs a hospital ER and who was a flight surgeon in the military before that.
[00:29:27.895 --> 00:29:28.196]  We're good.
[00:29:38.254 --> 00:29:41.797]  Yeah, and it saved my dad who was going to die.
[00:29:42.077 --> 00:29:43.878]  They'd have intubated him, he'd have died.
[00:29:44.479 --> 00:29:48.402]  We have a lot of crew, have friends and family that were healthy and got the Delta.
[00:29:48.762 --> 00:29:50.584]  The hospital wouldn't help them because they went to the hospital.
[00:29:51.204 --> 00:29:56.869]  The doctors wouldn't put them on any type of regimen and their lungs would fill with water and they would go and be intubated and they would die.
[00:29:57.809 --> 00:30:07.057]  So this is again the technocracy of the medical system by blocking treatments, by blocking supplements early on, by dumbing the public down, carrying out
[00:30:08.075 --> 00:30:13.017]  An institutional system where everybody's involved in the killing, so the killers get away with it at top.
[00:30:13.758 --> 00:30:16.739]  So we're gonna go to break, and we're gonna come back with Dr. Richard Bartlett.
[00:30:18.880 --> 00:30:29.105]  And then we're going to interview so many other amazing people, Robert Barnes, Steve Quayle, Joel Skousen, and more.
[00:30:29.705 --> 00:30:34.607]  And also at the end of the transmission today, I'm gonna talk some about 9-11, 20 years ago,
[00:30:37.231 --> 00:30:39.783]  And how they work with radical Islam at one level.
[00:30:40.555 --> 00:30:50.397]  But also had Globals on the other side and the CIA and other groups helping them carry out that coup against American freedom that is the foundation of the incredible tyranny we see today.
[00:30:51.017 --> 00:31:04.780]  So please stay with us and tell everybody you know, tune in because that's how you override the Globals, it's how you circumvent the censors, is you share the live feed, you share the archive of this later from Bandot Video in your email, your text message, and take clips of it and put it on Twitter and Facebook and Instagram, everywhere else.
[00:31:04.840 --> 00:31:06.700]  That's how you override the New World Order.
[00:31:06.960 --> 00:31:09.061]  This is a life and death fight, so don't let
[00:31:09.801 --> 00:31:11.505]  Ernest Ramirez Jr.
[00:31:11.806 --> 00:31:14.393]  die in vain and save others before it's too late.
[00:31:14.794 --> 00:31:15.435]  God's watching.
[00:31:21.300 --> 00:31:23.721]  I am cutting this ad on Thursday afternoon.
[00:31:43.670 --> 00:31:45.391]  Absorb it more when you drink the fruit punch.
[00:31:45.831 --> 00:31:53.273]  Then we also have, back in stock, this sale will continue through next week, Knockout Sleep Aid with 8 organic ingredients that help you sleep better.
[00:31:53.574 --> 00:31:56.375]  It's 50% off and Ultra 12 on our best sellers.
[00:31:56.655 --> 00:32:01.216]  High quality, vitamin B12 for your whole body, your stamina, your libido, your energy, your immune system.
[00:32:01.476 --> 00:32:03.017]  It's back in stock and it is
[00:32:03.717 --> 00:32:05.999]  50% off as well at infowarestore.com.
[00:32:06.239 --> 00:32:11.443]  So get your Vitamin Mineral Fusion while you still can at infowarestore.com for 33% off.
[00:32:11.703 --> 00:32:15.946]  And a bunch of the other supplements are 50% off as well throughout next week.
[00:32:16.106 --> 00:32:19.068]  But the sale of Vitamin Mineral Fusion ends Monday night, so get yours now.
[00:32:33.866 --> 00:32:36.467]  InfoWars, tomorrow's news today.
[00:32:51.044 --> 00:33:04.155]  He's been one of those first big prominent doctors to really put inhalable steroids and other things on the map and to go on Fox News and to go on Texas News and to really go out there and inform others.
[00:33:04.175 --> 00:33:13.443]  He's a very respected doctor, former top medical advisor to Rick Perry for seven years, Volunteer Service Merit Award, HHS Commission, Texas Leadership Medical Assistance.
[00:33:13.463 --> 00:33:14.584]  He's been on the big state boards.
[00:33:15.805 --> 00:33:21.608]  Monoclonal Antibody Infusion Center Advisor in Texas and COVID Texas Emergency Management.
[00:33:22.148 --> 00:33:25.910]  And of course, he's also been a flight surgeon and a lot more.
[00:33:26.790 --> 00:33:31.433]  And he joins us here and he said if I bring it up, he'll talk about it, but it's private medical stuff.
[00:33:32.386 --> 00:33:34.567]  He's helped dozens and dozens.
[00:33:34.587 --> 00:33:35.507]  Well, that's conservative.
[00:33:36.127 --> 00:33:40.048]  A lot of people that I've known, because this Delta thing just raged through.
[00:33:40.068 --> 00:33:47.331]  I got to enjoy it like a gorilla on my chest, but I got on what he recommended through a doctor's, and it was incredible.
[00:33:47.651 --> 00:33:51.292]  Within 24 hours, I was 90% better than I had just a nagging cough for a few weeks.
[00:33:51.612 --> 00:33:52.532]  Almost killed my dad.
[00:33:52.632 --> 00:33:53.293]  Dad didn't tell me.
[00:33:53.313 --> 00:33:54.413]  Mom didn't tell me I live in Austin.
[00:33:54.853 --> 00:33:59.995]  They're both exercising pretty good health at 71, 72 and I thought my dad was dead.
[00:34:00.035 --> 00:34:07.497]  He was like 82 oxygen within one day of what Dr. Bartlett put me in touch with local doctors and others and got him on this regimen.
[00:34:07.797 --> 00:34:11.659]  My dad again when I got there was all this mail piled up and I'm like what the hell is this?
[00:34:11.679 --> 00:34:12.639]  I heard he was sick.
[00:34:13.119 --> 00:34:19.001]  It was all these chairs he'd ordered from Amazon of all places and they were deck chairs, pool chairs he hadn't put together.
[00:34:20.336 --> 00:34:30.166]  The next morning, I get over there to make him get up and stuff like Dr. Bartlett told me to do, and he's up putting chairs together and like pink-skinned and like 80%, 90% better.
[00:34:30.626 --> 00:34:31.807]  This was incredible.
[00:34:32.208 --> 00:34:33.709]  If he'd have gone to a hospital, he'd be dead.
[00:34:35.030 --> 00:34:37.112]  Tim Inlow is a really good friend from the military.
[00:34:37.132 --> 00:34:37.653]  He's a nurse.
[00:34:37.793 --> 00:34:38.694]  Great shape, everything.
[00:34:38.714 --> 00:34:39.214]  She's dead now.
[00:34:40.035 --> 00:34:42.619]  She went into the hospital a month ago, said, I can't breathe.
[00:34:42.639 --> 00:34:43.440]  They said, go home.
[00:34:43.940 --> 00:34:46.944]  By the time she came in with 80 oxygen, they intubated her to death two days later.
[00:34:47.324 --> 00:34:48.806]  So that's the story you're going to hear over and over again.
[00:34:48.826 --> 00:34:49.908]  So I'm going to try to give him the floor.
[00:34:50.188 --> 00:34:57.137]  He's a gentleman, but I'm going to try to be quiet for him to not just have five minutes on Fox News or, you know, three minutes on local news to really
