[00:00:00.765 --> 00:00:02.506]  To inject everyone's children.
[00:24:35.983 --> 00:24:44.246]  But what happened right after the election was you saw host after host after host on MSNBC saying, oh, this is a victory for white supremacy, right?
[00:24:44.246 --> 00:24:45.567]  White supremacy wins again.
[00:24:45.567 --> 00:24:47.067]  Racism wins again.
[00:24:47.067 --> 00:24:52.929]  When, you know, the lieutenant governor that Youngkin won with will be the first black woman to hold that job.
[00:24:52.929 --> 00:24:56.531]  When Glenn Youngkin managed to flip majority black districts.
[00:24:58.407 --> 00:25:05.094]  Bakhtiyar Sargon is the Deputy Opinion Editor at Newsweek, also author of the new book, Bad News, How Woke Media is Undermining Democracy.
[00:25:05.094 --> 00:25:05.834]  She joins us.
[00:25:05.834 --> 00:25:07.296]  Bakhtiyar, thanks so much for coming on.
[00:25:07.296 --> 00:25:09.318]  I'm sorry to embarrass you, that clip was just too amusing.
[00:25:09.318 --> 00:25:11.540]  Oh my gosh, Tucker, thank you so much for having me.
[00:25:11.540 --> 00:25:13.202]  Oh, of course!
[00:25:13.202 --> 00:25:15.624]  So you say it's undermining democracy.
[00:25:15.624 --> 00:25:18.747]  What I think is interesting about your take on it is you take it to, I think, a deeper level.
[00:25:18.747 --> 00:25:19.848]  It's more than just annoying.
[00:25:19.848 --> 00:25:21.290]  There's a purpose to all this.
[00:25:21.290 --> 00:25:22.371]  What do you think the purpose is?
[00:25:24.505 --> 00:25:27.208]  Well, I think you really nailed it in your opening, Tucker.
[00:25:27.208 --> 00:25:41.885]  You know, you started out by saying that we have this deep class divide in America that separates the people who are really feeling, you know, the inflation at the gas pump from the people who live in, you know, coastal cities who maybe don't drive, maybe they take Uber, maybe they take the subway.
[00:25:42.365 --> 00:25:51.412]  And the history of journalism in the 20th century in America is the history of a class of people moving from one of those classes to the other, right?
[00:25:51.412 --> 00:26:06.923]  Journalism used to be a working class trade and throughout the 20th century journalists became part of the American elites and as they did so they abandoned the working class of all races and what we're seeing now with woke media is just the latest stage of that abandonment.
[00:26:08.783 --> 00:26:10.845]  I mean, I've seen it up close.
[00:26:10.845 --> 00:26:12.146]  I think you're exactly right.
[00:26:12.146 --> 00:26:15.249]  The composition of newsrooms is completely different.
[00:26:15.249 --> 00:26:18.131]  But that's a perversion of the core mission of journalism.
[00:26:18.131 --> 00:26:25.757]  We always heard when I was a kid, 30 years ago, when I started, you know, it's to afflict the comfortable and comfort the afflicted, to hold the powerful to account.
[00:26:25.757 --> 00:26:26.417]  You know what I mean?
[00:26:26.417 --> 00:26:28.519]  Be the eyes and ears of your readers and viewers.
[00:26:28.519 --> 00:26:31.521]  Like, it does seem like they're a Praetorian guard for the billionaire class.
[00:26:31.521 --> 00:26:33.343]  I'm sorry to overstate it, but it feels that way.
[00:26:35.649 --> 00:26:41.155]  Yeah, you really see a lot of class solidarity right now among liberal elites, and I'm saying this as a lefty, Tucker.
[00:26:41.155 --> 00:26:47.161]  I'm coming at this from the left and feeling like, how did we abandon the working class, again, of all races?
[00:26:47.161 --> 00:26:51.685]  How did we become the side that comforts the comfortable and afflicts the afflicted?
[00:26:52.913 --> 00:26:53.935]  So where does this go?
[00:26:53.935 --> 00:26:55.518]  I mean, we need a working media.
[00:26:55.518 --> 00:26:57.180]  We need a media people trust.
[00:26:57.180 --> 00:26:59.063]  It's an essential ingredient in democracy.
[00:26:59.063 --> 00:27:00.606]  I think everyone agrees with that.
[00:27:00.606 --> 00:27:03.010]  No one trusts the media anymore.
[00:27:03.010 --> 00:27:05.814]  So what's the next phase in this evolution, do you think?
[00:27:07.779 --> 00:27:15.845]  Honestly, Tucker, I think that every American has to relearn the work of learning to respect people that we disagree with.
[00:27:15.845 --> 00:27:21.570]  You're seeing a huge consumer boycott of mainstream media, of corporate media, and I think that's a good thing.
[00:27:21.570 --> 00:27:31.798]  They need to relearn how to get our trust back, and in the meantime, we need to start stitching back together the fabric of American society by respecting people we disagree with.
[00:27:31.798 --> 00:27:32.739]  That's all we can do.
[00:27:34.111 --> 00:27:44.368]  I just have to ask, since you are on the left, and I think you're articulating traditional left-wing concerns about economics, what do people on your side think of what you're saying right now?
[00:27:46.994 --> 00:27:51.376]  You know, honestly, the fact that I was on CNN, I take that as a really good sign.
[00:27:51.376 --> 00:28:04.403]  My book opens with a scene from CNN of two of their hosts, who are both millionaires, calling every single person who voted for Donald Trump racist, when we know that Donald Trump won the vast majority of people without a college degree, right?
[00:28:04.403 --> 00:28:12.748]  And to me, that was this primal scene of these people who had won by every metric, sneering and smearing the people who had lost, right?
[00:28:12.748 --> 00:28:16.150]  And so I think it's a really good sign that CNN had me on to talk about my work.
[00:28:19.170 --> 00:28:21.492]  That's... I could not have put it as well as you just did.
[00:28:21.492 --> 00:28:22.613]  I appreciate your coming on tonight.
[00:28:22.613 --> 00:28:24.814]  Bakshi Angarsogar, thank you very much.
[00:28:24.814 --> 00:28:25.295]  Thank you.
[00:28:25.295 --> 00:28:26.556]  All right, folks.
[00:28:26.556 --> 00:28:27.897]  Again, I can... Hey, click here.
[00:28:27.897 --> 00:28:28.997]  Yeah, go ahead and cut her off.
[00:28:28.997 --> 00:28:39.405]  I can play the clip for you guys, but everybody already knows that Saki said we could lower the gas prices, but we're not.
[00:28:39.405 --> 00:28:40.246]  They're the elite.
[00:28:40.246 --> 00:28:42.328]  They're waging war on you.
[00:28:42.328 --> 00:28:43.809]  They want to bankrupt you to get full.
[00:28:44.764 --> 00:28:48.547]  Control of you, ladies and gentlemen.
[00:28:48.547 --> 00:28:51.470]  That's the plan.
[00:28:51.470 --> 00:28:52.931]  We'll be right back.
[00:28:52.931 --> 00:28:57.214]  Drew Hernandez, the big star of the Rittenhouse trial, joins us next.
[00:28:57.214 --> 00:28:57.555]  Stay with us.
[00:28:58.919 --> 00:29:00.420]  I'm cutting this brief.
[00:29:00.420 --> 00:29:04.102]  It's Thursday, November 11th, 2021.
[00:29:04.102 --> 00:29:12.248]  And that means there's only a few days left until November 15th for you to take advantage of the biggest sale of the year at mfulworthstore.com.
[00:29:12.248 --> 00:29:16.510]  Black Friday comes early, ends on this coming Tuesday.
[00:29:16.510 --> 00:29:21.854]  You get store-wide free shipping, double Patreon points up to 60% off on best-selling items.
[00:29:21.854 --> 00:29:23.895]  Now, I'm not going to list them all here, but 60% off on Ultra 12,
[00:29:25.416 --> 00:29:26.877]  With free shipping, double-patria points.
[00:29:26.877 --> 00:29:29.080]  That's the best deal we've offered in years.
[00:29:29.080 --> 00:29:30.921]  Back in stock, RainForce Plus.
[00:29:30.921 --> 00:29:33.704]  50% off the amazing new Tropic.
[00:29:33.704 --> 00:29:35.245]  Sold out for more than two years.
[00:29:35.245 --> 00:29:37.788]  Now back in stock and improved and even stronger.
[00:29:37.788 --> 00:29:43.793]  Ultimate Bone Broth Paleo Formula with Chaga Mushroom, with Turmeric, with Bee Pollen and so much more.
[00:29:43.793 --> 00:29:45.395]  It's discounted as well with free shipping.
[00:29:45.635 --> 00:29:52.303]  And so many other items are up to 60% off with store-at-free shipping right now at InfoWarStore.com.
[00:29:52.303 --> 00:29:53.585]  It's a 360 win.
[00:29:53.585 --> 00:29:57.109]  We're fighting the globalists as hard as we can and selling great products to fund it.
[00:29:57.109 --> 00:29:58.892]  Please support us and make your life better.
[00:30:00.689 --> 00:30:08.099]  Ultimate Bone Broth is back and better than ever and 20% off plus free shipping and double Patriot points for our new sale.
[00:30:08.099 --> 00:30:15.249]  After years of being off the shelves, we're bringing back one of the biggest fan favorite formulas ever and it's now been reformulated and is even stronger.
[00:30:15.249 --> 00:30:17.112]  It's Ultimate Bone Broth Plus.
[00:30:17.772 --> 00:30:26.998]  It's got concentrated high-quality chicken broth protein, turmeric root that's so amazing, chaga mushroom, bee pollen, goji berry, alfalfa herb powder.
[00:30:26.998 --> 00:30:30.420]  Then it's got added magnesium and potassium for electrolytes.
[00:30:30.420 --> 00:30:36.965]  It's got real organic cocoa bean powder with natural chocolate flavor and a touch of sea salt.
[00:30:36.965 --> 00:30:38.906]  It even tastes better than the last formula.
[00:30:38.906 --> 00:30:41.387]  And what it does for your body is simply amazing.
[00:30:41.387 --> 00:30:44.970]  Again, it has that cutting-edge chicken broth protein.
[00:30:45.450 --> 00:30:45.931]  We're good.
[00:31:00.367 --> 00:31:04.550]  I never compromise the quality of ingredients we put in InfoWars Live products.
[00:31:04.550 --> 00:31:08.113]  And that's why for more than two years we've been sold out of Ultimate Bone Broth.
[00:31:08.113 --> 00:31:10.715]  And we could never get the ingredients again.
[00:31:10.715 --> 00:31:11.656]  Until now.
[00:31:11.656 --> 00:31:17.380]  And we have reformulated and not just used the same ingredients, we've boosted it and made them even stronger.
[00:31:17.740 --> 00:31:21.503]  So, out of all the bone broths out there, I'm telling you, this is next level.
[00:31:21.503 --> 00:31:22.744]  Listen to what it's got in it.
[00:31:22.744 --> 00:31:27.948]  Cutting-edge chicken bone broth protein isolate powder for better flavor and dissolvability.
[00:31:27.948 --> 00:31:37.456]  It's got turmeric root, chaga mushroom, bee pollen, goji berry, alfalfa herb powder, and a bunch of other amazing known berries that turbocharge your body with antioxidants.
[00:31:37.456 --> 00:31:41.600]  And then it's got a bunch of other incredible things like magnesium, potassium, and sodium added.
[00:31:41.600 --> 00:31:44.062]  I mean, this sucker has got everything for your electrolytes.
[00:31:44.062 --> 00:31:44.382]  It's got
[00:31:44.582 --> 00:31:44.862]  We're good.
[00:32:00.546 --> 00:32:08.772]  The CEO of Pfizer just came out and said that people talking bad about the vaccines are working for, quote, dark forces.
[00:32:08.772 --> 00:32:16.277]  That the FBI and CIA have been advising him on who these evil groups are.
[00:32:16.277 --> 00:32:21.141]  They know that all over the world their poison shot is being banned by major governments.
[00:32:21.141 --> 00:32:23.423]  And Moderna's in trouble as well.
[00:32:23.423 --> 00:32:27.406]  They know that the people are starting to get wise to this depopulation agenda.
[00:32:28.297 --> 00:32:40.050]  In fact, evidence is starting to mount that the shots were supposed to be soft kill weapons, but they're so deadly, they're killing a higher percentage up front, and so people are waking up.
[00:32:40.050 --> 00:32:43.274]  The weapons work a little too good.
[00:32:43.274 --> 00:32:48.059]  They're supposed to be silent weapons for quiet wars, but instead, they're making too big of a noise!
[00:32:48.780 --> 00:32:50.941]  But it's too late for them to turn back now.
[00:32:50.941 --> 00:32:52.682]  They're coming after our children.
[00:32:52.682 --> 00:32:57.783]  So it's up to us to protect our little children, or God will not look favorably on us.
[00:32:57.783 --> 00:33:03.005]  Remember, God is watching.
[00:33:03.005 --> 00:33:11.809]  You're listening to the Alex Jones Show!
[00:33:11.809 --> 00:33:12.249]  Big Brother
[00:33:19.216 --> 00:33:21.978]  Mainstream media.
[00:33:21.978 --> 00:33:24.580]  Government cover-ups.
[00:33:24.580 --> 00:33:26.321]  You want answers?
[00:33:26.321 --> 00:33:28.423]  Well, so does he.
[00:33:28.423 --> 00:33:35.808]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:33:35.808 --> 00:33:44.495]  So, I had intended on this live Friday, November 12th transmission to not have any guests today, but Drew Hernandez did such a great job yesterday.
[00:33:46.638 --> 00:33:48.479]  And it was such an interesting, amazing trial.
