[00:00:10.478 --> 00:00:12.300]  They're all alike.
[00:25:44.438 --> 00:25:46.398]  They were going to go back to primitive times.
[00:25:46.398 --> 00:25:52.000]  They themselves were going to live in castles with high technology, but keep everybody at a dumbed-down surf level.
[00:25:52.000 --> 00:25:58.042]  They had a plan that the general public would be reduced to animals and not be allowed to learn how to speak, or you would be killed.
[00:25:58.042 --> 00:26:02.883]  You know, you see Pol Pot telling folks that had a first-grade education or were wearing glasses.
[00:26:02.883 --> 00:26:05.744]  If you had glasses, that was a sign that you were an elitist.
[00:26:07.529 --> 00:26:16.433]  This is all an extension of the Jacobins, the French Revolution that grew into the Red Terror with Lenin, Stalin, Mao Zedong, and Pol Pot.
[00:26:16.433 --> 00:26:19.274]  But El Castro, you know, the rest is history.
[00:26:19.274 --> 00:26:21.435]  They destroy civilization for you.
[00:26:21.435 --> 00:26:24.557]  They live on a hill with electricity and caviar.
[00:26:24.557 --> 00:26:27.978]  You live in a mud hut.
[00:26:27.978 --> 00:26:30.740]  And so there's some articles you can read about this.
[00:26:30.740 --> 00:26:34.541]  Is a mass psychosis the greatest threat to humanity?
[00:26:34.541 --> 00:26:35.482]  Carl Jung on
[00:26:36.593 --> 00:26:38.234]  Mass psychosis.
[00:26:38.234 --> 00:26:44.296]  Mass psychosis is the most visible explanation for what we're seeing in America today.
[00:26:44.296 --> 00:26:53.060]  Mass psychogenic illness is the technical name for it.
[00:26:53.060 --> 00:26:56.021]  Mass psychosis.
[00:26:56.021 --> 00:27:02.384]  New York Times confirms a liberal mass call is here to stay and it's part of the mass psychosis.
[00:27:02.384 --> 00:27:04.145]  Mass madness and the depth of science.
[00:27:06.801 --> 00:27:19.048]  And so, if you get enough followers to get in the habit of being lied to, and reward them for lying, and reward them for going along with fantasies, perception becomes reality.
[00:27:19.048 --> 00:27:31.236]  Now again, if you have the perception you can fly an airplane, but you've never even flown a simulator, and you go and push the throttle down, and are going 100 miles an hour on the tarmac, you're probably going to die.
[00:27:31.236 --> 00:27:33.057]  The perception you can fly a plane is not real.
[00:27:34.767 --> 00:27:44.494]  The perception that you know how to climb a mountain, but you've never actually rock climbed, so you climb up a face 50 feet and fall off and kill yourself, that's... your perception you're a rock climber is not true.
[00:27:44.494 --> 00:27:50.599]  Your perception you're a heavyweight boxer, so you can get in the ring with the current heavyweight champion, is not true.
[00:27:50.599 --> 00:27:52.100]  You're gonna get your ass kicked.
[00:27:52.100 --> 00:27:57.524]  If you're on five hits of LSD and think you're a butterfly and jump off a 20-story building, you're gonna die.
[00:27:57.524 --> 00:27:59.285]  Even if your perception is you're flying.
[00:28:02.330 --> 00:28:20.136]  But they've created this perception and now people are disconnected from reality and they think they can argue or create their own psychotic break to believe whatever they want to believe that a man can have a baby.
[00:28:20.136 --> 00:28:24.157]  But then when Jen Psaki says, hey, don't you bring up abortion if you're a man?
[00:28:24.157 --> 00:28:25.877]  Men can't have babies.
[00:28:25.877 --> 00:28:27.098]  Then it's OK when she says it.
[00:28:27.098 --> 00:28:30.519]  See, or, oh, we're going to have convicted sex offenders
[00:28:31.414 --> 00:28:35.317]  In your elementary school girls shower for sports.
[00:28:35.317 --> 00:28:36.078]  That's normal.
[00:28:36.078 --> 00:28:37.639]  That's gaslighting.
[00:28:37.639 --> 00:28:48.548]  You know that's not true, but a lot of people that aren't leaders, you do that to them, they have mass psychosis, then they organize the mass psychosis group like the French Revolution to go kill the middle class.
[00:28:48.548 --> 00:28:51.370]  And that's what the megabanks offshore in Fiji and places,
[00:28:52.057 --> 00:28:56.400]  Like Larry Page are preparing for us a mass culling and collapse of society.
[00:28:56.400 --> 00:29:00.442]  Hey everybody, confused about staying healthy in a crazy COVID culture?
[00:29:00.442 --> 00:29:01.202]  Me too.
[00:29:01.202 --> 00:29:08.287]  But listen, after all the research, all the conflicting studies, after all the squabbling, there's one thing almost everyone agrees on.
[00:29:08.287 --> 00:29:12.269]  It's that immune system health can literally be the difference between life and death.
[00:29:12.669 --> 00:29:14.570]  You probably already believe that.
[00:29:14.570 --> 00:29:15.591]  I certainly do.
[00:29:15.591 --> 00:29:16.512]  So here's the thing.
[00:29:16.512 --> 00:29:25.378]  I wanted to get past the craziness and find out which plant-based substances actually have studies that demonstrate some efficacy in immune support.
[00:29:25.378 --> 00:29:30.782]  Now, you'll have to sign a waiver, but you can check out what I've discovered at StrongerDefense.com.
[00:29:30.782 --> 00:29:32.143]  No cures or treatments there.
[00:29:32.143 --> 00:29:35.485]  Instead, little-known but shocking immune system research.
[00:29:35.925 --> 00:29:41.308]  And a breakthrough immune support product based on that research called Immune 10X.
[00:29:41.308 --> 00:29:42.228]  And the best part?
[00:29:42.228 --> 00:29:48.932]  You can go to the Stronger Defense website right now and claim your own supply of Immune 10X without paying anything today.
[00:29:48.932 --> 00:29:49.772]  Crazy, right?
[00:29:49.772 --> 00:29:53.734]  Learn more about this unusual limited time offer at StrongerDefense.com.
[00:29:53.734 --> 00:29:54.935]  That's StrongerDefense.com.
[00:29:57.066 --> 00:30:01.931]  I've been fighting as hard as I can for almost 28 years against the globalists.
[00:30:01.931 --> 00:30:03.972]  I wanted to stop their agenda.
[00:30:03.972 --> 00:30:09.458]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[00:30:09.458 --> 00:30:10.579]  But we failed.
[00:30:10.579 --> 00:30:12.220]  Yes, a lot of people are awake.
[00:30:12.220 --> 00:30:14.082]  Yes, we're not getting caught flat-footed.
[00:30:14.082 --> 00:30:19.687]  But they are going ahead with their full operational de-industrialization Great Reset.
[00:30:20.067 --> 00:30:28.954]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[00:30:28.954 --> 00:30:34.478]  So we've got to information warfare the enemy and try to stop their agenda, but we've also got to get personally prepared.
[00:30:34.478 --> 00:30:37.020]  And one of the number one things to do is high-quality, storable food.
[00:30:37.020 --> 00:30:41.803]  We've got the best food ready to ship at very affordable prices at infowarestore.com.
[00:30:41.803 --> 00:30:46.947]  So whether it's a month or a six-month or a year supply or specialty diets, it's ready to ship right now.
[00:30:47.327 --> 00:30:52.229]  Lock your orders in before food prices go up and before there are long lines in wait.
[00:30:52.229 --> 00:30:54.549]  Because believe me, serious times are coming.
[00:30:54.549 --> 00:30:56.970]  Get ready at infowarestore.com.
[00:30:56.970 --> 00:31:00.391]  In these insane times, I wouldn't mess around.
[00:31:00.391 --> 00:31:03.512]  I wouldn't screw around with your health and your immune system.
[00:31:03.512 --> 00:31:13.375]  I would do everything you can to boost your body's natural defenses and at the same time support those that are fighting the globalists and fighting to stop new lockdowns and tyranny.
[00:31:13.895 --> 00:31:16.878]  Well, you find all of that perfect storm at one place.
[00:31:16.878 --> 00:31:18.400]  InfoWarsTore.com.
[00:31:18.400 --> 00:31:24.366]  And great products that boost your body's natural defenses that have been sold out for months are back in stock discounted 33 to 50% off.
[00:31:27.040 --> 00:31:30.241]  Vitamin Mineral Fusion with all the vitamins, minerals, amino acids.
[00:31:30.241 --> 00:31:31.082]  It's essential.
[00:31:31.082 --> 00:31:32.022]  Back in stock.
[00:31:32.022 --> 00:31:33.703]  Our Concentrated Turmeric Formula.
[00:31:33.703 --> 00:31:36.504]  So good for your immune system and your body and for inflammation.
[00:31:36.504 --> 00:31:37.124]  Back in stock.
[00:31:37.124 --> 00:31:37.924]  Discounted.
[00:31:37.924 --> 00:31:38.785]  We have X2.
[00:31:38.785 --> 00:31:39.485]  Back in stock.
[00:31:39.485 --> 00:31:40.165]  Discounted.
[00:31:40.165 --> 00:31:41.046]  We have Living Defense.
[00:31:41.046 --> 00:31:41.846]  Back in stock.
[00:31:41.846 --> 00:31:42.446]  Discounted.
[00:31:42.446 --> 00:31:43.466]  We have Pollen Block.
[00:31:43.466 --> 00:31:44.087]  Back in stock.
[00:31:44.087 --> 00:31:44.767]  Discounted.
[00:31:44.767 --> 00:31:48.288]  And of course we have our Concentrated Activated Charcoal Toothpaste.
[00:31:48.288 --> 00:31:49.249]  Sold out for months.
[00:31:49.249 --> 00:31:53.690]  So boost your body's natural defenses and help fight the globalists all at one place.
[00:31:53.690 --> 00:31:54.771]  InfoWarsTore.com
[00:31:57.407 --> 00:32:04.333]  There is very little contemporary study in the world of the planet's ruling class.
[00:32:04.333 --> 00:32:13.481]  Not in Communist China, not in Mexico, not in the United States, not anywhere is there a real study of the planet's ruling class.
[00:32:13.481 --> 00:32:15.423]  And that's done by design.
[00:32:15.423 --> 00:32:20.608]  The large central banks that basically control the planet will penalize and target any academics
[00:32:21.511 --> 00:32:31.319]  that look into, say, the Anglo-American establishment that founded the Bilderberg Group, the Trilateral Commission of the United Nations, the whole project of the Rothschilds and the Rockefellers.
[00:32:31.319 --> 00:32:37.043]  Until ten years ago, the media said, the controlled corporate media, that the Bilderberg Group didn't exist.
[00:32:37.043 --> 00:32:46.190]  Well, now the Bilderberg Group is public, and its former head, shown on the steering committee, is Klaus Schwab, and he has set up the great reset of global government.
[00:32:46.190 --> 00:32:49.913]  And if, as a liberty movement worldwide, we don't address the globalists head-on,
[00:32:50.745 --> 00:32:54.046]  About the fact that they're a worldwide, authoritarian, corporate takeover?
[00:32:54.046 --> 00:32:54.706]  We don't have a shot.
[00:32:54.706 --> 00:32:59.847]  If we do expose them, we can beat them easily.
[00:32:59.847 --> 00:33:02.487]  You're listening to the Alex Jones Show.
[00:33:20.487 --> 00:33:25.393]  Defending the Republic from enemies, foreign and domestic.
[00:33:25.393 --> 00:33:34.245]  It's Alex Jones, live from Austin, Texas, broadcasting worldwide from the InfoWars.com studios.
[00:33:42.553 --> 00:33:47.254]  Welcome back to the most attacked Lineabout broadcast in the world.
[00:33:47.254 --> 00:33:49.495]  Because we're on the enemy's tail.
[00:33:49.495 --> 00:33:50.656]  And we know their game.
[00:33:50.656 --> 00:33:53.537]  We know how to stop them.
[00:33:53.537 --> 00:33:58.098]  And there's a lot of other great people out there that think just like we do.
[00:33:58.098 --> 00:34:04.060]  And they aren't crawling into our graves and giving the planet over to Klaus Schwab, Bill Gates and Prince Charles.
[00:34:04.955 --> 00:34:08.436]  If they want it, they're going to have to fight for it.
[00:34:08.436 --> 00:34:14.657]  I tell you, Prince Charles and his long history with Jimmy Savelle and Jeffrey Epstein, not just his brother.
[00:34:14.657 --> 00:34:24.918]  It leaked last week they're planning to make him the King of England when Queen Elizabeth dies and not Prince Charles' son.
[00:34:24.918 --> 00:34:28.019]  And Prince Charles, he wants to be the ruler of the Earth.
[00:34:28.019 --> 00:34:30.019]  Prince Charles wants carbon taxes for us.
[00:34:30.019 --> 00:34:34.160]  He agrees with his father that he wants 80% of the world's population reduced.
[00:34:35.842 --> 00:34:44.606]  How about the people of the UK and the world discover that and realize what a monster that individual is?
