[00:00:13.634 --> 00:00:22.982]  Yeah, we're in Chevy.
[00:24:38.413 --> 00:24:48.616]  The British, former British top ambassador come out and said that he was at a meeting with the US government just a few weeks ago and we have the clip coming up and they said no and he was told who did it actually.
[00:24:49.437 --> 00:24:57.699]  Here's the deal, they know who did it, they don't want to go bust them because they can show it's espionage against our country and that they were doing this as patriots and then they can't blame the Russians.
[00:24:57.739 --> 00:25:00.300]  They don't want to go grab the people.
[00:25:00.580 --> 00:25:02.081]  And let me tell you what's very close to happening.
[00:25:03.041 --> 00:25:04.942]  There's very close to a press conference
[00:25:07.062 --> 00:25:11.386]  Being held with members of the FBI, NSA, CIA, Defense Intelligence, you name it.
[00:25:12.667 --> 00:25:17.913]  With people like General Flynn there, who was the head of Defense Intelligence two years ago, when they kicked him out of there because he wouldn't work for Al-Qaeda.
[00:25:19.154 --> 00:25:20.155]  You understand what you're hearing right now?
[00:25:22.108 --> 00:25:31.735]  They're very close to a press conference and just coming out and saying, this is who did it, blah, blah, blah, did it for America, these people are traitors, they're communist Chinese agents, they're Saudi agents, here's even more.
[00:25:32.075 --> 00:25:32.415]  Boom!
[00:25:32.455 --> 00:25:33.456]  You're going down!
[00:25:33.796 --> 00:25:38.099]  And all of you that work for this are the scum of the earth and weak-minded filth.
[00:25:40.141 --> 00:25:42.903]  Now let's go ahead and play Dr. Steve Pachink, never shown his face in 25 years.
[00:25:44.624 --> 00:25:45.985]  Breaking down, ladies and gentlemen.
[00:25:47.227 --> 00:25:53.576]  For the first time ever, what's really happened with the soft coup, and it is going, and we haven't completely won, because Hillary's launched a coup.
[00:25:54.077 --> 00:25:55.639]  They're effectively in control of the U.S.
[00:25:55.779 --> 00:25:56.240]  right now.
[00:25:56.941 --> 00:25:59.544]  America is battling for its life right now.
[00:25:59.584 --> 00:26:00.205]  You understand that?
[00:26:00.425 --> 00:26:00.746]  Here it is.
[00:26:02.051 --> 00:26:12.414]  On November 1, 2016, Hillary and Bill Clinton and their entourage of assistants affected a civilian coup.
[00:26:13.214 --> 00:26:29.699]  In contrast to the usual concept of a coup where the military is involved and takes over the White House and communication centers, very much like the scenarios you see in a movie, this coup was done silently and very effectively through two methods, corruption and co-optation.
[00:26:30.299 --> 00:26:45.812]  The Clintons have been involved in co-opting our White House, our Judiciary, our CIA, our Federal Bureau of Investigation, our Attorney General, Loretta Lynch, and our Director of the FBI, James Comey, for some time now.
[00:26:46.272 --> 00:26:54.239]  What they've done is to make sure that they were part and parcel of a group of people who were interrelated through political cronyism.
[00:26:55.059 --> 00:26:57.681]  However, in order to stop this coup,
[00:26:58.582 --> 00:27:12.672]  We in the intelligence community and others involved have informally gotten together and with their permission I am beginning to announce that we've initiated a counter coup through Julian Assange and Wikileaks.
[00:27:13.312 --> 00:27:19.897]  What has happened in effect when Comey had to open up the case of Hillary Clinton
[00:27:20.417 --> 00:27:25.682]  And discuss the emails that were involved with the Anthony Weiner case.
[00:27:26.262 --> 00:27:36.932]  It was not the case itself that was as important as the fact that this was the entree for many of us in the counter coup to say to the administration, we have your number.
[00:27:37.492 --> 00:27:43.355]  Not only do we have your number, we're going to stop you from making Hillary the President of the United States.
[00:27:43.655 --> 00:27:56.540]  And at the same time, we will convict and indict the President of the United States, Loretta Lynch, and many others who were involved in the cover-up of the massive corruption that occurred under the Clinton Foundation.
[00:27:57.220 --> 00:28:03.183]  Now, in both cases, their coup was silent, and our counter-coup was silent, and it was all
[00:28:04.364 --> 00:28:07.087]  Transgressed or occurred on the Internet.
[00:28:07.247 --> 00:28:17.060]  And this is probably the first time in the history of any country where a coup was initiated on through the Internet and a counter coup was initiated through the Internet.
[00:28:17.861 --> 00:28:21.105]  I am just a small part of something far bigger than myself.
[00:28:21.705 --> 00:28:45.481]  It was the brave men and women who were in the FBI, the CIA, the Director of Intelligence, the military intelligence, and men and women in 15 other intelligence organizations who were sick and tired of seeing this corruption in the White House, in the Justice Department, and in the intelligence system, and we decided that there was something we had to do in order to save the Republic.
[00:28:46.181 --> 00:29:05.144]  So we initiated a counter-coup through Julian Assange, who's been very brave and really quite formidable in his ability to come forth and provide all the necessary emails that we gave to him in order to undermine Hillary and Bill Clinton.
[00:29:06.085 --> 00:29:12.751]  Again, America, we're going through a major, major transition and, quite frankly, a second American Revolution.
[00:29:13.331 --> 00:29:14.412]  We do not have guns.
[00:29:14.672 --> 00:29:15.813]  We do not have weapons.
[00:29:15.913 --> 00:29:18.155]  We do not intend to kill anybody.
[00:29:18.215 --> 00:29:19.976]  We do not intend to harm anybody.
[00:29:20.497 --> 00:29:32.747]  But we, the American public, and those of us who serve as veterans and in the intelligence service, like myself, will stop the Clintons from assuming power that they don't deserve.
[00:29:33.007 --> 00:29:42.974]  At the same time, we will make certain that Obama leaves without any trail of a pardon or any other act of treason.
[00:29:43.014 --> 00:29:44.856]  All right, ladies and gentlemen, that's Dr. Steve Pucinich.
[00:29:44.896 --> 00:29:47.898]  The full video is at stevepucinich.com, infowars.com.
[00:29:47.978 --> 00:29:52.101]  It's got millions of views right now with the different versions that he's posted that we've posted.
[00:29:52.541 --> 00:29:55.143]  He's going to join us via video Skype for the first time ever.
[00:29:56.104 --> 00:29:58.425]  He hadn't been seen again in public in 25 years.
[00:29:58.445 --> 00:29:58.886]  We'll be back.
[00:30:00.103 --> 00:30:01.707]  The Empire's on the run.
[00:30:02.629 --> 00:30:05.336]  Alex Jones and the GCN Radio Network.
[00:30:09.730 --> 00:30:25.634]  Former Attorney General Eric Holder, who's now an attorney that works for the protection of Wall Street clients at Covington Burling, has written a nasty op-ed scolding FBI Director James Comey for his handling of the investigation into Clinton's emails and the use of a private server.
[00:30:25.754 --> 00:30:34.896]  He writes an op-ed in the Washington Post and says, quote, I fear he has unintentionally and negatively affected public trust in both the Justice Department and the FBI.
[00:30:35.396 --> 00:30:42.241]  As he has allowed, again, without improper motive, misinformation to be spread by partisans with less than pure intentions.
[00:30:42.361 --> 00:30:55.569]  He goes on to accuse Comey of violating long-standing policies and traditions when the FBI director wrote to members of Congress on Friday and informed them that the FBI was in fact reviewing a fresh batch of emails related to Clinton.
[00:30:55.789 --> 00:30:59.192]  I guess that long-standing policy is never to question Hillary Clinton.
[00:30:59.252 --> 00:31:03.975]  While some of us feel that confidence was restored in the DOJ and the FBI, Mr. Holder,
[00:31:04.215 --> 00:31:05.976]  As they appear to finally be doing their job.
[00:31:06.236 --> 00:31:09.017]  I'm Margaret Hall reporting for Infowars.com.
[00:31:09.638 --> 00:31:12.999]  If you look at Bill Clinton, far worse.
[00:31:13.220 --> 00:31:14.900]  Minor words and his was action.
[00:31:15.481 --> 00:31:17.001]  His was what he's done to women.
[00:31:17.042 --> 00:31:22.724]  There's never been anybody in the history of politics in this nation that's been so abusive to women.
[00:31:22.944 --> 00:31:25.246]  Bill Clinton was abusive to women.
[00:31:25.606 --> 00:31:30.528]  Hillary Clinton attacked those same women and attacked them viciously.
[00:31:30.608 --> 00:31:31.769]  Four of them here tonight.
[00:31:31.909 --> 00:31:37.224]  So much of what he's just said is not right, but he gets to run his campaign any way he chooses.
[00:31:48.069 --> 00:31:50.811]  There is an information warfare happening right now.
[00:31:51.672 --> 00:31:53.113]  It's a fight for our minds.
[00:31:53.793 --> 00:31:55.715]  And InfoWars.com is on the front lines.
[00:31:56.035 --> 00:32:00.258]  Download our free multimedia app at InfoWars.com forward slash app.
[00:32:00.378 --> 00:32:03.741]  It's free, it's on Droid, it's on Apple, you name it.
[00:32:03.821 --> 00:32:05.362]  InfoWars.com forward slash app.
[00:32:09.631 --> 00:32:20.154]  If you ever wanted to live off the grid and produce your own clean energy in a silent, reliable way, this is a message you want to pay very close attention to.
[00:32:20.514 --> 00:32:31.097]  Thanks to a new development in solar generator technology, it's now possible for my listeners and viewers to produce their own source of emergency backup electricity.
[00:32:31.537 --> 00:32:34.539]  And even more importantly, it's now extremely affordable.
[00:32:34.939 --> 00:32:40.862]  Thanks to the guys at Solutions for Science, you can get one of these $6,000 solar generators for less than $1,500.
[00:32:43.323 --> 00:32:45.665]  We have these units at the office and at my home.
[00:32:46.025 --> 00:32:51.388]  I can run my sump pumps, my shortwave radios, all of my devices, and even keep our food from spoiling.
[00:32:51.808 --> 00:32:56.631]  Go to powergridchaos.com and get 70% off for a limited time.
[00:32:56.991 --> 00:33:00.693]  Folks, there has never been a better time to get off the grid.
[00:33:00.993 --> 00:33:05.335]  It's gonna be crucial in 2017, maybe even life-saving.
[00:33:05.675 --> 00:33:09.137]  Powergridchaos.com for 70% off.
[00:33:13.819 --> 00:33:19.181]  The globalists' great error is to believe that as they collapse humanity, they end up on top.
[00:33:20.682 --> 00:33:27.185]  The truth is, humanity is coming down fast, but we're miles above them, on our journey to hell.
[00:33:29.602 --> 00:33:33.544]  You're listening to the Alex Jones Show.
[00:33:33.564 --> 00:33:38.086]  We're only five days out from probably the most historic election since the founding of our country in 1776.
[00:33:38.146 --> 00:33:41.347]  We're going to go on to Dr. Steve Pchenik here in just a moment.
[00:33:41.387 --> 00:33:42.648]  First time ever video Skype.
[00:33:43.548 --> 00:33:51.052]  Amazing, huge developments that I can confirm to you are going on at the highest levels of the Pentagon, 15 intelligence agencies, you name it.
[00:33:51.832 --> 00:33:55.135]  We have the British ambassador coming out confirming that he's been at the meetings.
[00:33:55.975 --> 00:33:58.397]  This is the US government releasing the stuff on Hillary.
[00:33:59.258 --> 00:34:00.879]  They've been all through Trump stuff.
[00:34:00.919 --> 00:34:02.781]  The FBI admits no connection to Russia.
[00:34:03.261 --> 00:34:06.084]  The average FBI agent knows what's happening, wants to save this country.
[00:34:06.944 --> 00:34:09.046]  China, to a great extent, is walking all over us.
[00:34:09.426 --> 00:34:13.149]  The Philippines, I mean, we are a joke because we've been so penetrated.
[00:34:13.169 --> 00:34:18.314]  They announced today that Communist China intends to take over all six Hollywood studios.
[00:34:19.392 --> 00:34:23.255]  I've already seen the incredible pro-communist Chinese propaganda in almost every movie I go see now.
[00:34:23.315 --> 00:34:24.216]  It's getting crazy.
[00:34:25.077 --> 00:34:28.299]  And it's so ham-fisted is why it was obvious, but now it's admitted.
[00:34:29.620 --> 00:34:30.441]  So that's coming up.
[00:34:30.501 --> 00:34:39.429]  We're going to be talking to Dr. Steve Pucinich with the biggest news ever about the Hillary globalist coup, and now the counter-coup to that that's taking place in the viral video he put out yesterday.
