[00:00:00.169 --> 00:00:01.050]  and get free shipping.
[00:25:34.401 --> 00:26:01.582]  uh... now like the last captain america and and and so many others action-adventure films uh... thriller films you name it that the directors and writers gather a lot of information directly from the show i've been told that by hollywood folks as well and i can just see it quotes i've made you know in major films and i know there's some other big films being produced and things where they want the rights
[00:26:03.089 --> 00:26:06.931]  To actually have an Alex Jones type character, but they want to use my actual quotes.
[00:26:07.571 --> 00:26:14.275]  So I've been reached out to in several big films that are about to go into production where there is an Alex Jones character.
[00:26:15.255 --> 00:26:21.338]  But I got up this morning and I'll cover this more in the next segment because it ties into how successful the InfoWars is.
[00:26:21.958 --> 00:26:26.801]  And Chris Carter of the X-Files is in an Entertainment Weekly story.
[00:26:27.321 --> 00:26:29.222]  It's linked right in the middle of DrugsReport.com.
[00:26:29.262 --> 00:26:30.823]  It's also up on InfoWars.com.
[00:26:31.923 --> 00:26:32.584]  X-Files
[00:26:34.369 --> 00:26:38.090]  Reveal has controversial new theories.
[00:26:39.190 --> 00:26:48.012]  Chris Carter on his hit Fox Return, which warns of UN takeover and links to 9-11 and other things, chemtrails, you name it.
[00:26:48.052 --> 00:26:55.134]  And then they just go on to say that it's based on Alex Jones.
[00:26:56.536 --> 00:27:04.381]  And then it goes on to say that the topics are, but also the talk show host character, and they say, well, why are you going to have a right winger on the show?
[00:27:04.421 --> 00:27:06.043]  He says, well, Alex Jones really isn't a right winger.
[00:27:06.063 --> 00:27:06.743]  He's a libertarian.
[00:27:07.423 --> 00:27:08.924]  So I've never talked to Chris Carter.
[00:27:09.405 --> 00:27:14.768]  I know Dean Hagelin, one of the characters in the X-Files and also the spinoff, The Lone Gunman.
[00:27:15.409 --> 00:27:19.231]  He's a listener, and he said that Carter was familiar and did follow the show.
[00:27:19.271 --> 00:27:22.694]  I was told that about seven, eight years ago, but we never even really reached out to Carter.
[00:27:22.714 --> 00:27:25.576]  I'm kind of already covering this now, but I'll cover it more later.
[00:27:27.594 --> 00:27:36.721]  But the main reason was the CIA approached Carter and implanted with him topics they wanted covered on the show.
[00:27:38.243 --> 00:27:45.929]  And one of them was a group hijacking a jumbo jet by remote control to fly in the World Trade Center to blame Afghanistan and bring in martial law in America.
[00:27:50.322 --> 00:27:59.747]  And I know Carter was reportedly freaked out about it, but then, well, I did reach out to Carter through a publicist, but now I think about it, but no response back.
[00:28:00.048 --> 00:28:07.812]  But I think if they're basing the new series, they say on topics I cover and basically Alex Jones and somewhat Glenn Beck.
[00:28:07.832 --> 00:28:10.274]  Well, Glenn Beck bases himself on me, and that's well known.
[00:28:10.354 --> 00:28:18.919]  I've talked to former Beck insiders where they, when he was at CNN and Fox, they would have like five people listening and watching the show and then taking the material, which is fine.
[00:28:19.779 --> 00:28:27.004]  I just don't want to be attacked on top of it then by the guy that takes everything I do and basically twists it around a little bit.
[00:28:27.724 --> 00:28:28.425]  I mean, I don't care.
[00:28:28.485 --> 00:28:29.586]  I want to just beat the globalists.
[00:28:29.606 --> 00:28:33.088]  The most sincere form of flattering is imitation.
[00:28:33.848 --> 00:28:35.189]  And I just want to beat the globalists.
[00:28:36.130 --> 00:28:42.114]  And if folks have a better delivery than I or a different delivery, then you can take everything I say and do, folks,
[00:28:43.407 --> 00:28:45.148]  If you're other talk show host, I don't care.
[00:28:45.548 --> 00:28:52.852]  But so many people want to one-up it and say Alex Jones is bad because that's like mounting a big head on their wall in fantasy land.
[00:28:52.872 --> 00:28:54.513]  It's a plastic head, it's not my head.
[00:28:54.753 --> 00:28:56.934]  But they imagine that they've mounted my head on the wall.
[00:28:57.915 --> 00:29:01.177]  And all it does is make us more successful.
[00:29:02.757 --> 00:29:11.262]  I'll be honest with you though, there are some downsides to becoming so successful and popular that you get mainstreamed.
[00:29:13.538 --> 00:29:20.063]  I told Politico years ago when Rand Paul won the Senate, I said he won because he was an underdog and anti-establishment.
[00:29:20.403 --> 00:29:32.072]  The only way he won't be successful is if he becomes establishment or if you're even more sophisticated and if the media embraces him, you are so discredited that will destroy Rand Paul.
[00:29:33.687 --> 00:29:36.970]  And Rand Paul still does great things, still tells the truth.
[00:29:37.290 --> 00:29:38.391]  I respect him.
[00:29:38.431 --> 00:29:39.412]  He does a great job.
[00:29:39.953 --> 00:29:45.598]  But in rhetoric, he's embraced the mainstream and been so gentlemanly and gone after Trump and things.
[00:29:48.087 --> 00:29:50.908]  That people have taken him now as establishment and he's in trouble.
[00:29:51.488 --> 00:29:54.669]  Because he listens to his beltway advisors that are dumbasses.
[00:29:55.709 --> 00:29:57.690]  See, we're changing the culture here at InfoWars.
[00:29:57.910 --> 00:29:59.470]  You're following the fake culture.
[00:29:59.930 --> 00:30:00.850]  We're on the march.
[00:30:01.331 --> 00:30:02.931]  The Empire's on the run.
[00:30:03.851 --> 00:30:06.552]  Alex Jones and the GCN Radio Network.
[00:30:11.317 --> 00:30:19.464]  The Arizona Senate is poised to pass a bill that will outlaw citizens from taking videos of police, even on their own private property.
[00:30:20.445 --> 00:30:28.132]  SB1054 reads, it is unlawful for a person to knowingly make a video recording of law enforcement activity.
[00:30:28.732 --> 00:30:37.555]  If the person making the recording does not have the permission of the law enforcement officer and is within 20 feet of where the law enforcement activity is occurring.
[00:30:38.195 --> 00:30:46.038]  Which is to say, if you are involved in a traffic stop, you cannot film the encounter without the express permission of the officer.
[00:30:46.798 --> 00:30:51.240]  The legislation represents another encroachment on private property by the state.
[00:30:52.060 --> 00:30:57.367]  If police can tell you what to do on your own property, you no longer have property rights.
[00:30:57.968 --> 00:31:04.757]  And we've previously seen people arrested or worse in other parts of the country for filming their encounters with law enforcement.
[00:31:05.398 --> 00:31:09.464]  You can find more reports on InfoWars.com
[00:31:10.532 --> 00:31:16.579]  Again, ladies and gentlemen, you can get six months free at PrisonPlanet.TV, but only for one more week.
[00:31:16.759 --> 00:31:26.770]  We've never offered six months free before, but I really want to get more people to join and to be able to watch the nightly news, live reports, the special reports, all my films, e-books, and so much more.
[00:31:27.371 --> 00:31:30.134]  One person can share their membership with 20 people.
[00:31:31.015 --> 00:31:35.677]  We have to have our own platform that is harder for them to censor, harder for the system to shut down.
[00:31:35.837 --> 00:31:37.497]  PrisonPlanet.tv.
[00:31:37.577 --> 00:31:43.220]  We put out the daily radio show free with a video and audio feeds at Infowars.com forward slash show.
[00:31:43.440 --> 00:31:50.702]  But it is the members that are paying it forward and helping so many other people see the truth.
[00:31:50.862 --> 00:31:57.525]  And it's PrisonPlanet.tv that finances so much of the cameras, the equipment, the crew, the reporters.
[00:31:57.925 --> 00:32:03.509]  You get exclusive HD higher quality, get it first, and then you can download it, share it with friends and family.
[00:32:03.749 --> 00:32:07.932]  It's a win-win, and then you're helping finance to put it out for free to everybody.
[00:32:08.092 --> 00:32:10.053]  PrisonPlanet.TV.
[00:32:10.453 --> 00:32:13.636]  When cells become toxic, they die early, and aging sets in.
[00:32:13.936 --> 00:32:18.899]  No one has put together a formula that focuses directly on brain health, nerve growth factors.
[00:32:18.899 --> 00:32:19.239]  I don't know.
[00:32:40.473 --> 00:32:44.677]  Used since before the days of the Roman Empire to support the body's natural systems.
[00:32:44.857 --> 00:32:48.820]  Introducing the new Infowarslife.com Oil of Oregano Formulation.
[00:32:49.000 --> 00:32:53.784]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:32:53.944 --> 00:32:58.488]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:32:58.608 --> 00:33:01.930]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:33:02.091 --> 00:33:05.433]  Now available in our limited first run at Infowarslife.com.
[00:33:05.553 --> 00:33:07.375]  That's Infowarslife.com or call 888-253-3139.
[00:33:32.503 --> 00:33:37.625]  He aligns himself with the truth, and it's time for you to choose a side.
[00:33:38.166 --> 00:33:40.487]  You're listening to Alex Jones.
[00:33:44.988 --> 00:33:54.833]  I want to get into the leftist globalist plan, not just here, but across the Western world, from Australia to the United States, from Canada to Germany.
[00:33:56.269 --> 00:33:58.150]  To balkanize and break up society.
[00:33:58.550 --> 00:34:01.051]  Hillary and other Democrats are out all over the news.
[00:34:01.491 --> 00:34:03.432]  I mean, I see several clips a day now.
[00:34:03.452 --> 00:34:06.093]  We don't even play them most days.
[00:34:06.793 --> 00:34:09.334]  Saying white terrorists, white people are the problem.
[00:34:10.815 --> 00:34:12.015]  Just out of a clear blue sky.
[00:34:12.035 --> 00:34:15.117]  I mean, we say radical islamicists.
[00:34:15.137 --> 00:34:18.198]  We don't say brown people that happen to be Arab are the problem.
[00:34:19.178 --> 00:34:20.499]  It's incredibly racist.
[00:34:21.869 --> 00:34:23.689]  But that's where this agenda is going.
[00:34:24.410 --> 00:34:30.051]  And then we'll tie it into the latest on Syria, and so much more, and then get into what's happening in the culture wars.
[00:34:30.731 --> 00:34:44.575]  But, you've got the Thursday debate on Fox Business coming up, with Trump in the first place, Cruz in second place, on down to people like Jeb Bush in sixth place.
[00:34:45.075 --> 00:34:46.335]  So the field is narrowing.
[00:34:47.055 --> 00:34:49.856]  Rand Paul was going to be number one at the
[00:34:51.320 --> 00:34:55.062]  Junior debate, or the kid table debate as it's called by the media.
[00:34:55.082 --> 00:35:02.947]  You know like at Thanksgiving you have the big adult table and then there's not enough room for the kids so they're all over there throwing food at each other or whatever they're doing.
[00:35:03.427 --> 00:35:06.369]  At the smaller table, they're begging to go outside and play football.
[00:35:06.389 --> 00:35:09.851]  Well I guess that was when I was a kid, now they want to go watch TV or play video games.
[00:35:10.972 --> 00:35:12.213]  And Rand Paul came out and said,
[00:35:14.855 --> 00:35:17.896]  Please sign a petition to get me in the main debate.
[00:35:18.516 --> 00:35:27.478]  And I think the things he's saying, the things he's doing, the polls he's shown, and the fact that he was the frontrunner previously, says that they should take Jeb Bush out and put him in.
[00:35:30.459 --> 00:35:37.760]  So he's skipping the debate, which might be a good move to then make it a big deal that he's not there and then he gets more attention than if he did.
[00:35:38.341 --> 00:35:40.081]  I'm not judging that, it might be a good move.
[00:35:41.468 --> 00:35:48.392]  What was not a good move, and I say this because I've known Rand Paul 20 years, I know his father well, I respect him, I believe he'd make a great president.
[00:35:50.314 --> 00:36:03.922]  But I know for a fact he's got people at his senatorial office who do not like me, do not like the libertarian movement, who tell him he needs to distance himself from his father, and that tell him he needs to act like a Kentucky gentleman all day.
[00:36:06.924 --> 00:36:08.105]  And that's just not working.
[00:36:10.435 --> 00:36:23.320]  I mean, you notice Donald Trump's main advisor that's helping him win and stay at the front for six months under withering attacks is saying, come on my show, align with Alex Jones.
