[00:00:10.973 --> 00:00:11.673]  And they are panicking.
[00:21:57.105 --> 00:22:03.209]  Get Brain Force at 25% off for a limited time at Infowarslife.com and we thank you for your support.
[00:22:03.589 --> 00:22:07.971]  We have the new product at Infowarslife.com, BioTrue Selenium.
[00:22:08.072 --> 00:22:18.998]  We've had so many requests over the years for selenium and just recently we were able to source a certified organic bioavailable selenium from mustard seed extract.
[00:22:19.158 --> 00:22:24.102]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[00:22:24.202 --> 00:22:26.724]  It helps balance the thyroid gland.
[00:22:26.784 --> 00:22:28.285]  It helps detoxify.
[00:22:28.485 --> 00:22:31.328]  Selenium is another one of those absolute must-haves.
[00:22:31.388 --> 00:22:36.131]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[00:22:36.152 --> 00:22:40.295]  As a matter of fact, there's 25 genes in the body that are directly
[00:22:40.715 --> 00:22:42.376]  ...dependent upon selenium.
[00:22:42.416 --> 00:22:47.720]  So it really is a all-around nutrient that everybody really needs.
[00:22:47.840 --> 00:22:49.261]  I'm taking it now, every day.
[00:22:49.461 --> 00:22:50.201]  This is so key.
[00:22:50.441 --> 00:22:54.724]  BioTrue Selenium is the product, the best selenium that we could bring you.
[00:22:54.764 --> 00:22:56.866]  We believe it's the best out there at a very, very low price.
[00:22:57.006 --> 00:23:00.448]  Exclusively available at InfowarsLive.com or by calling toll-free 888-253-3139.
[00:23:03.710 --> 00:23:05.091]  Clean, pure drinking water.
[00:23:05.372 --> 00:23:06.653]  You can't survive without it.
[00:23:06.853 --> 00:23:07.754]  But where do you get it?
[00:23:08.054 --> 00:23:13.819]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:23:14.039 --> 00:23:19.764]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:23:19.944 --> 00:23:36.819]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:23:37.219 --> 00:23:39.340]  Filter capacity up to 5,000 gallons.
[00:23:39.700 --> 00:23:40.881]  Stainless steel construction.
[00:23:41.161 --> 00:23:41.941]  Easy assembly.
[00:23:42.201 --> 00:23:42.841]  Low maintenance.
[00:23:43.122 --> 00:23:44.922]  Replacement filters are simple to install.
[00:23:45.202 --> 00:23:52.325]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:23:52.485 --> 00:23:57.508]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:23:57.688 --> 00:24:00.249]  Go to InfowarsStore.com or call 888-253-3139.
[00:24:04.350 --> 00:24:09.472]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:24:10.173 --> 00:24:12.413]  Because there's a war on for your mind.
[00:24:16.115 --> 00:24:23.818]  Coming up, I want to talk about why Western civilization is under attack, and why the globalists are hell-bent on destroying it.
[00:24:24.966 --> 00:24:30.429]  I also want to open the phones up and see if you agree with me or disagree because I'm not setting people up here for Trump to lose.
[00:24:30.889 --> 00:24:34.551]  The media keeps saying that he points out it's rigged because he's getting ready to lose.
[00:24:34.651 --> 00:24:36.772]  No, they tried to steal the nomination from Trump.
[00:24:38.733 --> 00:24:39.274]  He fought.
[00:24:39.394 --> 00:24:40.454]  He got the nomination.
[00:24:40.995 --> 00:24:41.775]  Sanders didn't.
[00:24:41.795 --> 00:24:42.395]  He lost it.
[00:24:44.877 --> 00:24:48.118]  But I'm telling you, this isn't like the nomination.
[00:24:49.099 --> 00:24:52.621]  This is going head on against Hillary in the general election and the fix is in.
[00:24:54.488 --> 00:24:58.129]  So I want people to understand, we're going to fight for this, legally and lawfully.
[00:24:59.410 --> 00:25:02.851]  But regardless, them stealing it is a huge victory as well.
[00:25:03.351 --> 00:25:04.851]  It'll even further discredit them.
[00:25:06.992 --> 00:25:08.412]  They're losing the info war.
[00:25:08.472 --> 00:25:09.853]  They are totally discredited.
[00:25:11.273 --> 00:25:15.715]  And it's come out, the FBI director is in bed getting paid off by the Clintons.
[00:25:16.555 --> 00:25:19.316]  It's coming out, Project Veritas, in about one hour.
[00:25:23.095 --> 00:25:25.817]  Offshore bank accounts and the Clintons taking the bait.
[00:25:25.897 --> 00:25:26.898]  I'm just going to stop right there.
[00:25:28.199 --> 00:25:31.261]  Stuff that is just huge.
[00:25:33.362 --> 00:25:34.463]  And it's not going to stop.
[00:25:36.344 --> 00:25:41.308]  So time is on our side, make no mistake, and Donald Trump has savaged them.
[00:25:41.768 --> 00:25:44.330]  He's blown their operation wide open.
[00:25:45.660 --> 00:25:52.225]  And they may crawl across the finish line and steal it, but that'll be in front of God and the world, and that'll blow up even bigger.
[00:25:52.325 --> 00:25:53.326]  We cannot lose.
[00:25:53.406 --> 00:25:56.889]  I've always said this, because history shows it, and I've experienced it.
[00:25:57.630 --> 00:25:59.792]  Resistance is victory.
[00:26:00.512 --> 00:26:11.181]  If you're in the right, and you stand up, and you never back down, and you never give in, just like King George in the Revolutionary War, with an army 20 times the size of ours, still ended up giving up.
[00:26:11.541 --> 00:26:12.322]  Look at Vietnam.
[00:26:15.336 --> 00:26:19.817]  Fighting a military with hundreds of times the firepower, wouldn't give up, we finally had to give up.
[00:26:21.558 --> 00:26:27.180]  Resistance is victory and they want to teach you you have no power because you do have power.
[00:26:27.620 --> 00:26:36.302]  Now coming up, CBS News, Denver, investigation finds people voting twice, Democrats of course.
[00:26:37.603 --> 00:26:38.043]  Dead people.
[00:26:39.696 --> 00:26:42.698]  More reports of votes flipping from Trump to Clinton in Texas.
[00:26:43.298 --> 00:26:47.681]  I personally have gotten calls from friends that say it happened to them.
[00:26:48.762 --> 00:26:51.204]  One of them got in trouble trying to take photos of it in the booth.
[00:26:52.093 --> 00:26:53.834]  Folks, you're allowed to take a photo of your vote.
[00:26:53.854 --> 00:26:55.796]  I don't care what some pinhead election official says.
[00:26:55.836 --> 00:26:56.556]  Give me a break.
[00:26:57.337 --> 00:26:58.337]  You people make me sick.
[00:26:59.098 --> 00:27:00.719]  So, this isn't yesterday's story.
[00:27:00.739 --> 00:27:01.640]  This is today's story.
[00:27:02.240 --> 00:27:03.321]  Up on InfoWars.com.
[00:27:03.681 --> 00:27:07.764]  DMV computer outage raises fears of election day cyber attacks.
[00:27:08.224 --> 00:27:09.585]  Los Angeles CBS.
[00:27:11.266 --> 00:27:14.708]  Because that's how they check it through the DMV when you go to check the ID.
[00:27:15.913 --> 00:27:17.595]  They don't even have IDs to vote, so it doesn't even matter.
[00:27:17.855 --> 00:27:19.857]  So that'll just be whatever names they want, period, voting.
[00:27:20.397 --> 00:27:22.759]  I mean, clearly some hardcore stuff's going on.
[00:27:23.080 --> 00:27:27.624]  Republicans accuse the ATF of covering up political motives behind GOP office firebombing.
[00:27:30.226 --> 00:27:33.910]  And that ties into the anti-Trump violence sweeping the nation that we're going to be getting into.
[00:27:34.050 --> 00:27:37.633]  And by the way, we're doing 30 to 40 percent off swearable food.
[00:27:37.653 --> 00:27:38.654]  We normally do that once a year.
[00:27:38.674 --> 00:27:39.755]  I'm doing it every few months now.
[00:27:39.775 --> 00:27:41.537]  I'm the highest quality swearable food out there.
[00:27:43.046 --> 00:27:48.535]  We already had this set up months ago to do this special this week, but people are going crazy on the special.
[00:27:50.270 --> 00:27:54.672]  We're selling the most food we've ever sold, and I'm not even saying get it for civil unrest.
[00:27:54.992 --> 00:28:01.876]  People are doing it because they can see where the economy's going, where Deutsche Bank is going bigger than Lehman Brothers, with all the attempts to start war with Russia.
[00:28:02.416 --> 00:28:04.117]  Boy, there's a bunch of news on that now today.
[00:28:04.757 --> 00:28:09.300]  Russia has now announced it's got a missile that the United States calls, or NATO calls, Satan 2.
[00:28:10.400 --> 00:28:18.865]  Believe me, we've got plenty of Satan missiles ourselves, that is supersonic, goes, what, four plus miles a second.
[00:28:19.747 --> 00:28:22.168]  Basically can't be shot down even by particle beam lasers.
[00:28:24.109 --> 00:28:33.514]  And it holds 14, 40 megaton bombs that would destroy the entire surface of Texas with one re-entry device.
[00:28:33.674 --> 00:28:46.241]  So it comes back into orbit, comes back into the atmosphere, pops open with the re-entry devices, the multiple re-entry devices, and then fires 14 warheads down onto Texas.
[00:28:48.431 --> 00:28:55.477]  And we've got the head of intelligence saying, yes, we think Russia's gonna try to shoot our planes down now in Syria, so we better get ready for war.
[00:28:56.097 --> 00:28:57.638]  Do what we want or we'll start a big war!
[00:28:58.839 --> 00:29:03.263]  Russia unveils Satan 2 missile could wipe out France or Texas, report says.
[00:29:05.205 --> 00:29:06.045]  So, there you go.
[00:29:06.065 --> 00:29:18.810]  What's important about the Satan 2, not their name, ours, is that it, again, goes reportedly at Mach 5 or Mach 6, and so you can't shoot it down with a range of 6,000 plus miles.
[00:29:19.230 --> 00:29:20.971]  What they do is they fire it right over the Arctic.
[00:29:22.452 --> 00:29:23.172]  Right over the Arctic.
[00:29:23.192 --> 00:29:26.313]  It's a short trip out of their silos in northern Russia.
[00:29:27.414 --> 00:29:27.934]  Over the pole.
[00:29:29.155 --> 00:29:30.316]  In fact, we've got a globe around here.
[00:29:30.617 --> 00:29:32.079]  Will somebody grab me a globe during the break?
[00:29:32.099 --> 00:29:34.121]  I want to show people just a little short hop for the missile.
[00:29:34.141 --> 00:29:36.384]  Just a little, oh, 4,000 miles.
[00:29:38.627 --> 00:29:41.290]  And this is what we have with Queen Hillary.
[00:29:41.530 --> 00:29:45.455]  And Trump's warning of World War III, by the way, saying Hillary wants to start it.
[00:29:46.377 --> 00:29:47.498]  It's all coming up straight ahead.
[00:29:47.538 --> 00:29:48.139]  I'm Alex Jones.
[00:29:52.662 --> 00:29:55.624]  We're on the march, the empire's on the run.
[00:29:55.644 --> 00:29:59.347]  Alex Jones and the GCN Radio Network.
[00:30:03.551 --> 00:30:05.932]  Obamacare is so unaffordable for the U.S.
[00:30:05.992 --> 00:30:06.373]  family.
[00:30:06.433 --> 00:30:10.916]  Reports have surfaced that individuals are choosing between groceries and affording health care.
[00:30:10.976 --> 00:30:17.161]  Premiums for a mid-level benchmark plan will increase on average by 25% across the board in 39 states.
[00:30:17.341 --> 00:30:21.945]  And about 1 in 5 consumers will have plans from only a single insurer to pick from.
[00:30:22.165 --> 00:30:30.630]  In Arizona, for example, unsubsidized premiums for a hypothetical 27-year-old buying a benchmark second lowest silver plan will jump by 116% from $196 to $422 each and every month.
[00:30:30.650 --> 00:30:32.091]  This according to the Department of Health and Human Services.
[00:30:37.654 --> 00:30:44.598]  Well, former New York City Mayor Rudy Giuliani pointed out today, when Obamacare was doing well, Hillary went around saying, it was really Hillarycare.
[00:30:44.738 --> 00:30:45.498]  It's democratic, 100%.
[00:30:45.758 --> 00:30:49.440]  He went on to add that Obamacare is really Obama fraud.
[00:30:49.500 --> 00:30:57.285]  Well, this coincides with its architect, who said that the greatest advantage of Obamacare was that it was so untransparent, no one questioned it when it was passed.
[00:30:57.405 --> 00:31:00.086]  No one questioned what it would really do to American families.
[00:31:00.246 --> 00:31:02.808]  I'm Margaret Hall reporting for InfoWars.com.
[00:31:03.488 --> 00:31:14.017]  If you ever wanted to live off the grid and produce your own clean energy in a silent, reliable way, this is a message you want to pay very close attention to.
[00:31:14.357 --> 00:31:25.006]  Thanks to a new development in solar generator technology, it's now possible for my listeners and viewers to produce their own source of emergency backup electricity.
[00:31:25.406 --> 00:31:28.369]  And even more importantly, it's now extremely affordable.
[00:31:28.789 --> 00:31:34.714]  Thanks to the guys at Solutions for Science, you can get one of these $6,000 solar generators for less than $1,500.
[00:31:37.176 --> 00:31:39.518]  We have these units at the office and at my home.
[00:31:39.858 --> 00:31:45.262]  I can run my sump pumps, my shortwave radios, all of my devices, and even keep our food from spoiling.
[00:31:45.643 --> 00:31:50.467]  Go to powergridchaos.com and get 70% off for a limited time.
[00:31:50.847 --> 00:31:54.550]  Folks, there has never been a better time to get off the grid.
[00:31:54.910 --> 00:31:59.213]  It's going to be crucial in 2017, maybe even life-saving.
[00:31:59.533 --> 00:32:02.896]  Powergridchaos.com for 70% off.
[00:32:03.416 --> 00:32:05.337]  Dr. Grip, you developed Living Defense for us.
[00:32:05.377 --> 00:32:06.458]  It took you over a year to do it.
[00:32:06.718 --> 00:32:07.619]  Why is this so good?
[00:32:07.919 --> 00:32:13.163]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:32:13.243 --> 00:32:18.647]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but
