[00:00:12.901 --> 00:00:14.126]  Ladies and gentlemen, we're live.
[00:27:51.554 --> 00:27:53.156]  And we'll just skip down the road happily.
[00:27:53.376 --> 00:27:55.137]  That is the most racist out of control statement.
[00:27:55.358 --> 00:27:57.139]  But you sit there and say this guy's racist.
[00:27:57.560 --> 00:27:58.320]  Oh, I'm sorry.
[00:27:58.400 --> 00:27:59.141]  He's black.
[00:27:59.541 --> 00:28:00.362]  He's protected.
[00:28:00.422 --> 00:28:01.563]  You're taking off the internet.
[00:28:03.205 --> 00:28:05.747]  Because these are protected groups, but they're not really protected.
[00:28:05.767 --> 00:28:06.868]  They're just being used.
[00:28:08.868 --> 00:28:14.192]  So let's go out to break with this warning from last year with Matt Drudge here in studio.
[00:28:14.893 --> 00:28:16.814]  You thought Obamacare was shocking.
[00:28:17.175 --> 00:28:18.996]  You thought some of these other decisions were shocking.
[00:28:19.056 --> 00:28:29.785]  Wait until these copyright laws work their way up and the Supreme Court decides you cannot have a website with news headlines linking across the board.
[00:28:30.365 --> 00:28:31.806]  Then that will end for me.
[00:28:32.066 --> 00:28:33.728]  Fine, I've had a hell of a run.
[00:28:33.788 --> 00:28:36.310]  It's 20 years next year or 20 years about now.
[00:28:36.530 --> 00:28:37.171]  Hell of a run.
[00:28:37.311 --> 00:28:39.633]  I couldn't have gone any further.
[00:28:40.093 --> 00:28:45.037]  I feel completely I have gone as far out of the galaxy as I can on this.
[00:28:45.137 --> 00:28:50.382]  I still want to stay out here, but I've gone pretty damn far for what one individual can do in this culture.
[00:28:50.802 --> 00:28:52.103]  But I'm talking about the future.
[00:28:52.383 --> 00:28:57.748]  So I don't know why they've been successful in pushing everybody into these little ghettos.
[00:28:58.428 --> 00:29:03.149]  Of these Facebooks, and these Tweets, and these Instagrams, these Instas.
[00:29:03.789 --> 00:29:05.010]  This is ghetto!
[00:29:05.390 --> 00:29:06.150]  This is ghetto!
[00:29:06.170 --> 00:29:07.070]  This is corporate!
[00:29:07.090 --> 00:29:09.651]  They're taking your energy!
[00:29:10.131 --> 00:29:12.431]  They're taking your energy and you're getting nothing in return!
[00:29:12.812 --> 00:29:13.172]  Nothing!
[00:29:13.192 --> 00:29:14.452]  They're dumbing the language down!
[00:29:14.652 --> 00:29:17.353]  Twitter's designed to reduce the language directly out of 1984!
[00:29:17.413 --> 00:29:17.713]  It's Ingsoc!
[00:29:19.699 --> 00:29:28.924]  Right, ultimately it's boring and the kids are always off to something new, except for the something new is owned by the same freaking company or financed by the same banking system.
[00:29:29.445 --> 00:29:40.351]  So I'm here to say, and this is the reason why I came to see you, Alex, is you are one of the very few who are operating under this theory to be an independent American.
[00:29:41.371 --> 00:29:43.292]  In a big way.
[00:29:44.033 --> 00:29:45.734]  If your calling is media, fine.
[00:29:45.774 --> 00:29:47.615]  If your calling is sports, whatever it is.
[00:29:48.155 --> 00:29:49.776]  But you've got to be the greatest you can be.
[00:29:49.796 --> 00:29:49.856]  Now.
[00:29:50.397 --> 00:29:50.777]  Now.
[00:29:50.797 --> 00:29:59.001]  And we're going to come back and play where he warned about the Supreme Court Justice coming to him and saying next year... We're on the march.
[00:29:59.042 --> 00:29:59.702]  They're coming after us.
[00:29:59.722 --> 00:30:01.243]  The Empire's on the run.
[00:30:02.163 --> 00:30:04.845]  Alex Jones and the GCN Radio Network.
[00:30:09.258 --> 00:30:12.580]  I've been covering the news on radio and TV for more than 21 years.
[00:30:13.641 --> 00:30:20.846]  And as each year begins, you tend to see a theme that's developing with the social engineers, with the global architects.
[00:30:20.986 --> 00:30:28.190]  And undoubtedly, they're making their move to destabilize the Western world right now, from Australia to Europe to the United States to Canada.
[00:30:28.450 --> 00:30:29.231]  And they're bringing in
[00:30:29.531 --> 00:30:35.835]  Millions and millions of radical Islamic Muslims, unvetted, so that they will carry out terror attacks.
[00:30:36.055 --> 00:30:43.120]  And then when they do carry out terror attacks, we lose our liberties and freedoms, and are told to comply with Islam, and they'll stop bombing and shooting us.
[00:30:43.360 --> 00:30:45.402]  This is the crazy world of political correctness.
[00:30:45.942 --> 00:30:54.410]  That said, they allow Muslims, especially in the United States and Europe, keep women as slaves chained up, beat them, pour acid on their faces, and they don't even really get in trouble.
[00:30:54.430 --> 00:30:58.014]  It's like, UN diplomats are always being caught with slaves from Africa and stuff.
[00:30:58.034 --> 00:31:01.057]  And they'll say, well, that's their culture in this African country.
[00:31:01.257 --> 00:31:03.980]  But if it's Western culture, it's evil and it's bad.
[00:31:04.620 --> 00:31:28.701]  And going over some of these articles, recently the Pope and the top imam, the head imam in the world over Sunni Muslims, that's what Al Qaeda is, met with the Pope at the Vatican, and you've got all this going on for the first time ever, when the Pope came out in a major Catholic newspaper, LaCroix said that he dreads talking about Christian roots of Europe, and colonialist overtones, and Jesus was like ISIS sending people out in the fields.
[00:31:29.690 --> 00:31:37.432]  Kind of the four corners of the earth and that we must have the Muslims read with us and that they're our new culture and this is what we deserve because we've been bad.
[00:31:37.592 --> 00:31:40.833]  This is freakazoid to be told white people are bad, you're bad.
[00:31:40.853 --> 00:31:46.054]  I mean this is what multiculturalism leads into with the supposed leader of Christendom saying this.
[00:31:46.455 --> 00:31:50.476]  With Islamic States saying target the US, target Europe, start bombing us.
[00:32:00.930 --> 00:32:01.610]  Incredible threat.
[00:32:01.630 --> 00:32:05.711]  Now ISIS wants to attack the Olympics coming up in Brazil.
[00:32:06.431 --> 00:32:09.752]  Hungary's Prime Minister gets it and says Clinton is George Soros' puppet.
[00:32:10.172 --> 00:32:15.013]  Warns that they want to overrun the EU with millions of Muslims.
[00:32:15.554 --> 00:32:20.355]  Radical ones that are wedded to the left.
[00:32:20.375 --> 00:32:25.396]  22% of resettled refugees in Minnesota have tested positive for tuberculosis and then they go on to report
[00:32:26.036 --> 00:32:28.838]  That they're letting them in when they have tuberculosis.
[00:32:29.158 --> 00:32:31.760]  This is unprecedented attack on our country.
[00:32:31.980 --> 00:32:34.282]  This is a government at war with the people.
[00:32:34.582 --> 00:32:37.805]  This is a government savaging the population, and it goes on and on.
[00:32:38.065 --> 00:32:45.290]  The open borders are the key to globalism, destroy national sovereignty, and radical Islamists that can't even live with each other in peace are not compatible here.
[00:32:45.730 --> 00:32:46.071]  Period.
[00:32:46.551 --> 00:32:50.154]  We should never submit to their backwards culture of oppression.
[00:32:50.854 --> 00:33:02.954]  We are the true liberals who promote free speech across the board in Europe and the United States and Canada and we must stand for it and not be bullied into a new dark age of oppression and tyranny.
[00:33:14.650 --> 00:33:15.951]  The answer to 1984 is 1776.
[00:33:16.291 --> 00:33:22.596]  You're listening to the Alex Jones Show.
[00:33:25.397 --> 00:33:38.407]  Long time ago, patriots, mainly from the military, the FBI, the CIA, who were let in on the plans in the 50s to bring in a world government, destroy American sovereignty,
[00:33:39.815 --> 00:33:41.075]  They went public, they warned people.
[00:33:41.475 --> 00:33:43.616]  They got attacked, they got laughed at, they got killed.
[00:33:44.236 --> 00:33:47.117]  But it built a core of people that were aware of what was happening.
[00:33:47.877 --> 00:33:53.558]  And the last 60 years we have tried to educate as many people as we can, not just here, but across the world.
[00:33:55.098 --> 00:33:58.439]  And now we've got a fighting chance to defeat the World Government Project.
[00:33:59.639 --> 00:34:03.420]  Because the World Government Project is only the means to the end.
[00:34:04.340 --> 00:34:07.961]  The end game is planetary eugenics.
[00:34:09.076 --> 00:34:11.177]  Planetary forced population reduction.
[00:34:12.978 --> 00:34:14.958]  And many people say, good, there's too many folks.
[00:34:15.579 --> 00:34:18.700]  I don't like standing in line, you know, to get my Starbucks coffee.
[00:34:19.280 --> 00:34:25.663]  You have Starbucks in complex civilization and choices because of large human masses.
[00:34:26.143 --> 00:34:27.483]  That's why you go to the cities.
[00:34:27.883 --> 00:34:30.785]  But when you're in the cities, it creates the illusion of overcrowding.
[00:34:32.005 --> 00:34:33.866]  And the more prosperous a city there is,
[00:34:35.799 --> 00:34:40.923]  The more overcrowded and dirty it is because there's more people and more opportunity and more energy.
[00:34:41.524 --> 00:34:49.110]  But you go up in an airplane and you figure out that 90% of the land is not being used or more in places like North America.
[00:34:50.271 --> 00:34:58.057]  Now there are some areas in the South Pacific where fathers are living off government welfare and having up to 20 children.
[00:34:59.538 --> 00:35:01.720]  The children then basically become miscreant
[00:35:02.927 --> 00:35:08.432]  They get filled full of leftist globalist ideology worldwide, and they get trans-shipped into the West.
[00:35:09.153 --> 00:35:19.062]  They have no culture, and they then adopt CIA-produced gangster culture, weaponized in 1986 in a government project partially declassified.
[00:35:19.915 --> 00:35:25.479]  Yes, inner-city black gangster culture didn't exist in the 60s and 70s.
[00:35:25.859 --> 00:35:32.983]  It was completely manufactured, weaponized, put into media, and now has been exported with a devastating effect.
[00:35:33.904 --> 00:35:40.028]  White Russians, Asiatic Chinese, it doesn't matter what group it is, Arabs.
[00:35:41.669 --> 00:35:49.214]  You go to Brazil, it's hip-hop music, gangster culture, thugs about being scummy and dishonorable and just being horrible.
[00:35:50.353 --> 00:35:52.454]  That was weaponized to bring down culture.
[00:35:53.114 --> 00:35:55.776]  Now you see the attacks on the father, the attacks on the mother.
[00:35:56.216 --> 00:36:03.240]  You see everything that's been beta tested in the inner city communities being used worldwide.
[00:36:04.441 --> 00:36:06.862]  First tested in the laboratory, then deployed.
[00:36:08.373 --> 00:36:11.475]  Just like, you don't just think they shot black people up with syphilis, do you?
[00:36:12.196 --> 00:36:14.797]  They were just so sloppy about it in Tuskegee, they got caught.
[00:36:15.118 --> 00:36:21.482]  In a 47-year project, they kept secret with more than, what was the number of people that they know they did it to?
[00:36:22.102 --> 00:36:23.043]  Tens of thousands?
[00:36:23.663 --> 00:36:30.208]  And again, I talk about Tuskegee all the time because that's one little thing everybody knows about, even with a dumbed-down population.
