[00:00:00.149 --> 00:00:00.969]  What is a globalist?
[00:24:36.831 --> 00:24:37.692]  They've been exposed.
[00:24:38.092 --> 00:24:39.293]  We were close to kicking them out.
[00:24:39.573 --> 00:24:42.815]  We almost defeated globalism five, six years ago around the world.
[00:24:42.855 --> 00:24:43.396]  It was in trouble.
[00:24:43.716 --> 00:24:49.500]  And so now they're just saying, yeah, we are authoritarians.
[00:24:49.520 --> 00:24:50.681]  Yeah, we don't care.
[00:24:51.502 --> 00:24:55.865]  Yeah, we got private security, but you're not going to have police and you're not going to have your own guns.
[00:24:58.137 --> 00:25:01.260]  But while you're at it, watch the NBA, while this collapse happens.
[00:25:02.100 --> 00:25:07.685]  Tech CEO, NBA co-owner, nobody cares about what's happening to the Uyghurs in China.
[00:25:09.086 --> 00:25:15.091]  Up to 5 million of them in camps, millions killed over the years, mass executions just because they're Muslims.
[00:25:15.111 --> 00:25:17.113]  And they're not radical Muslims that are attacking the government.
[00:25:17.914 --> 00:25:22.538]  But because China wants that area for living space, Lebensraum.
[00:25:24.622 --> 00:25:27.843]  There's Laura Logan, famous reporter, husband, high-level CIA.
[00:25:28.344 --> 00:25:30.024]  She's trying to join humanity.
[00:25:30.064 --> 00:25:32.725]  I didn't even know she was at the event I was at a few months ago in San Antonio.
[00:25:33.006 --> 00:25:33.886]  Missed her just by minutes.
[00:25:34.546 --> 00:25:35.787]  But she's obviously red-pilled.
[00:25:36.987 --> 00:25:38.128]  And she knows we're in trouble.
[00:25:40.429 --> 00:25:43.870]  And she doesn't want things to go to black pill, where there's no hope.
[00:25:44.170 --> 00:25:45.991]  But we're going from red pill to black pill.
[00:25:46.351 --> 00:25:51.253]  But that's okay, because we're going to have to finally call out to God to save us, and to intervene, and God will show us.
[00:25:51.594 --> 00:25:52.214]  That's how it works.
[00:25:53.783 --> 00:25:57.565]  So get your soul pointed at God, at Jesus Christ, and do it fast.
[00:25:57.605 --> 00:25:59.145]  And I'm telling myself that every millisecond.
[00:26:01.006 --> 00:26:05.028]  So here's Laura Logan, what they don't want you to hear, said over a month ago.
[00:26:05.848 --> 00:26:10.050]  Gonna get her taken off television, but that's okay, because she's now on the right side of history.
[00:26:10.150 --> 00:26:10.470]  Here it is.
[00:26:11.684 --> 00:26:13.445]  Well, it's very simple, Pete, right?
[00:26:13.525 --> 00:26:14.965]  You just have to look at Africa.
[00:26:15.285 --> 00:26:18.546]  They didn't have the death rates from COVID that were predicted.
[00:26:18.866 --> 00:26:28.729]  And what is happening over time is that the entire response to COVID and everything that we were told about it from the beginning is being exposed and it's falling apart.
[00:26:28.809 --> 00:26:30.150]  The lies are coming apart.
[00:26:30.530 --> 00:26:39.913]  And really now there's no justification for putting people out of their jobs or forcing vaccine mandates for a disease that ultimately is very treatable.
[00:26:40.393 --> 00:26:41.333]  It's cheap to treat.
[00:26:41.693 --> 00:26:47.515]  Medicines are available all over the world, and it has death rates that compare very much to seasonal flu.
[00:26:47.955 --> 00:26:54.336]  And so in that moment, what you see on Dr. Fauci, this is what people say to me, that he doesn't represent science to them.
[00:26:54.637 --> 00:27:03.619]  He represents Joseph Mengele, Dr. Joseph Mengele, the Nazi doctor who did experiments on Jews during the Second World War and in the concentration camps.
[00:27:04.019 --> 00:27:18.329]  And I am talking about people all across the world are saying this, because the response from COVID, what it has done to countries everywhere, what it has done to civil liberties, the suicide rates, the poverty, it has obliterated economies.
[00:27:18.689 --> 00:27:27.176]   The level of suffering that has been created because of this disease ...is now being seen in the cold light of day, i.e.
[00:27:27.236 --> 00:27:27.697]  the truth.
[00:27:28.037 --> 00:27:31.281]  And people see that there's no justification for what is being done.
[00:27:31.621 --> 00:27:37.107]  So as they're being exposed and the control is slipping away, lo and behold, another variant surfaces.
[00:27:37.487 --> 00:27:42.553]  And nobody should be surprised by that, because there will be more variants until the end of time.
[00:27:42.593 --> 00:27:43.594]  We'll never be free of them.
[00:27:44.324 --> 00:27:49.590]  And next hour, I'm going to go through over 30 articles, mainstream saying it's wonderful.
[00:27:49.931 --> 00:27:54.396]  We're finally going to arrest people that don't take the shot and take their children and forcibly inject them.
[00:27:55.057 --> 00:27:58.321]  CNN, MSNBC, ABC News, London Telegraph.
[00:27:59.002 --> 00:28:02.486]  You see, suddenly we're not partway into the New World Order.
[00:28:03.487 --> 00:28:04.168]  We are deep.
[00:28:04.790 --> 00:28:05.992]  Deep, deep.
[00:28:06.412 --> 00:28:09.756]  Just suddenly, oh, yeah, Australia's going to start taking the children.
[00:28:09.777 --> 00:28:12.740]  They're already going to arrest old ladies outside walking their dog.
[00:28:13.341 --> 00:28:16.986]  Oh, the police are out with six foot poles to keep people apart in the streets.
[00:28:17.867 --> 00:28:53.435]   I mean, this is real harassment by the state, by the system, using the pretext that They're protecting you from a virus their boss has cooked up and released for control and all these useful idiots don't understand morals or common sense so they're all the nanny state taking your rights away to keep you safe but Australia has the highest numbers of illnesses and deaths ever supposedly and of course it's the vaccinated they admit that account for 90% of the sick and dying their answer is more shots Australia suffers deadliest day of pandemic as Omicron drives up hospital cases that's all coming up
[00:28:54.738 --> 00:29:07.957]   But first, let's go to this really sickening evil owner of the Warriors saying, Genocide is not happening, says CCP isn't a dictatorship, and that the U.S.
[00:29:07.997 --> 00:29:08.718]  is, quote, no better.
[00:29:08.758 --> 00:29:14.681]  Well, we're becoming no better with our leadership, you're right, because of people like you that have no morals, you little demon, preaching to us and not care.
[00:29:14.701 --> 00:29:16.942]  So see, oh yeah, they got death camps, so what?
[00:29:17.462 --> 00:29:18.403]  We're building them too here.
[00:29:19.263 --> 00:29:20.724]  Oh, all right, see, that's globalism.
[00:29:20.924 --> 00:29:27.148]  Discredit America, bring down our rights, our freedoms, our basic liberties, and then say, oh, it's all bad, just get rid of it.
[00:29:27.408 --> 00:29:29.149]  In fact, liberty was the vice.
[00:29:30.570 --> 00:29:36.042]   So here's a well-known basketball player, I'm telling you a very hard, ugly truth.
[00:29:36.322 --> 00:29:56.642]  countering this BS last night.
[00:29:56.940 --> 00:29:57.660]  We're glad he was.
[00:29:58.121 --> 00:30:00.783]  So the Golden State Warriors issued a statement that read this way.
[00:30:00.883 --> 00:30:03.505]  Mr. Polyepithia does not speak on behalf of our franchise.
[00:30:03.545 --> 00:30:08.488]  And of course, the billionaire himself issued a statement saying, well, my family came from a country with mean people.
[00:30:08.508 --> 00:30:10.570]  And by the way, the United States has human rights abuses too.
[00:30:12.271 --> 00:30:15.093]  Even more repulsive than you would ever imagine.
[00:30:15.294 --> 00:30:18.436]  Of course, the Golden State Warriors didn't even mention the Uyghurs in their statement.
[00:30:18.456 --> 00:30:19.877]  You wouldn't want to upset China.
[00:30:20.297 --> 00:30:21.318]  Say the word Taiwan.
[00:30:21.418 --> 00:30:22.059]  We dare you!
[00:30:23.410 --> 00:30:26.032]  Enos Cantor Freedom knows a lot about how this all works.
[00:30:26.072 --> 00:30:27.393]  He plays for the Boston Celtics.
[00:30:27.413 --> 00:30:28.855]  He recently became an American citizen.
[00:30:28.875 --> 00:30:29.735]  He's very proud of that.
[00:30:29.755 --> 00:30:32.017]  It's the second time he's joined us, and we're glad he's here.
[00:30:32.518 --> 00:30:35.080]  Mr. Freedom, thank you very much for coming on tonight.
[00:30:35.660 --> 00:30:38.443]  So, to hear someone say it... Oh, I like your shirt.
[00:30:38.563 --> 00:30:45.128]  To hear someone say that as clearly as this owner just did, like, I don't care if they're murdered by the government of China.
[00:30:45.288 --> 00:30:46.850]  How do you feel when you see that?
[00:30:48.251 --> 00:30:54.237]  I remember we had a game today at 1230 and my manager texted me this video right before the game.
[00:30:54.858 --> 00:30:56.840]  And first of all, I couldn't believe it.
[00:30:57.060 --> 00:31:00.764]  I was very angry, very disgusted and very disappointed.
[00:31:01.564 --> 00:31:03.346]  And you know, his comments were so...
[00:31:04.988 --> 00:31:08.852]  I was like, I couldn't focus on the game because of his comments.
[00:31:09.372 --> 00:31:18.342]  I mean, you look at the Uyghur people, what's happened to the Uyghurs is one of the worst human rights abuses in the world today and there is a genocide happening while we are talking right now.
[00:31:18.782 --> 00:31:23.187]  And him going out there and saying, I could care less, is a shame and it is disgusting.
[00:31:24.471 --> 00:31:35.921]  I mean, so you just became an American citizen to see the most privileged, the richest people in our society, some of them anyway, just say out loud, like, I don't care about anybody but myself making money, having power over this country.
[00:31:35.941 --> 00:31:39.364]  I mean, that must be kind of discouraging, as someone who just got here.
[00:31:40.549 --> 00:31:55.641]  You know, the funny thing is, this guy owns a company called, actually I have it right here, called Social Capital, where they pretend to care about social values, and this is a virtue signal, and I have all those recordings here with me.
[00:31:56.021 --> 00:32:02.206]  He pretends to care about the others, but the only thing he cares about is money and promoting the CCP propaganda.
[00:32:02.787 --> 00:32:08.191]  And it makes me sick how he's using social justice to make money for a forex company.
[00:32:08.592 --> 00:32:10.093]  And I want to ask him one question.
[00:32:10.493 --> 00:32:11.494]  You know, one question.
[00:32:12.074 --> 00:32:20.020]  If your mother, if your daughter, if your sister was in those concentration camps and getting tortured and getting raped every day, would you still think about money?
[00:32:20.340 --> 00:32:22.061]  Would you still remain silent?
[00:32:22.481 --> 00:32:24.023]  So, I want them to answer that question.
[00:32:24.883 --> 00:32:26.344]  Yeah, I mean, greed is a sin.
[00:32:26.404 --> 00:32:27.865]  People used to say that out loud.
[00:32:27.925 --> 00:32:31.868]  No one ever says that out loud now, but you obviously understand it.
[00:32:32.028 --> 00:32:35.290]  And I'm so glad you said that, and I'm so glad you're in this country.
[00:32:36.651 --> 00:32:41.274]  The system only lets you become this rich and powerful in almost all cases unless you're totally evil and corrupt.
[00:32:41.814 --> 00:32:47.537]  That's why the middle class and the independently wealthy out there have to pour your money and energy into fighting this, or you're going to lose everything.
[00:32:47.837 --> 00:32:50.919]  I mean, it's now down to the wire.
[00:32:51.499 --> 00:33:00.804]  And people inside the Chinese government leaked hours and hours of footage of them being loaded on trains, taken and executed, bags over their heads, thousands a day.
