[00:00:00.149 --> 00:00:04.870]  Ted Cruz coming out and saying that the people that attacked the Capitol were terrorists.
[00:25:11.608 --> 00:25:15.790]  Well, they're busy repeating the talking points that Merrick Garland has written for them.
[00:25:16.150 --> 00:25:16.931]  Here's one example.
[00:25:18.932 --> 00:25:39.719]   We are approaching a solemn anniversary this week, and it is an anniversary of a violent terrorist attack on the Capitol, where we saw the men and women of law enforcement demonstrate incredible courage, incredible bravery, Let's be honest.
[00:25:42.000 --> 00:25:44.321]  Everyone who's conservative appreciates Ted Cruz.
[00:25:44.341 --> 00:25:45.802]  You may not like him, but you gotta appreciate him.
[00:25:45.822 --> 00:25:47.242]  He's legitimately smart.
[00:25:47.282 --> 00:25:49.643]  He's one of the more articulate people to serve in the Congress.
[00:25:49.663 --> 00:25:50.484]  Maybe the most articulate.
[00:25:50.504 --> 00:25:52.185]  He doesn't use a single word by accident.
[00:25:52.625 --> 00:25:56.326]  Every word Ted Cruz uses is used intentionally.
[00:25:56.887 --> 00:25:57.427]  He's a lawyer!
[00:25:59.099 --> 00:26:02.600]  He described January 6th as a violent terrorist attack.
[00:26:03.340 --> 00:26:07.562]  Of all the things that January 6th was, it was definitely not a violent terrorist attack.
[00:26:07.622 --> 00:26:08.842]  It wasn't an insurrection.
[00:26:09.002 --> 00:26:09.543]  Was it a riot?
[00:26:09.703 --> 00:26:09.923]  Sure.
[00:26:10.603 --> 00:26:11.843]  It was not a violent terrorist attack.
[00:26:12.244 --> 00:26:12.564]  Sorry.
[00:26:13.304 --> 00:26:16.385]  So why are you telling us that it was, Ted Cruz?
[00:26:16.945 --> 00:26:21.707]  And why are none of your Republican friends are supposed to be representing us and all the people who have been arrested?
[00:26:22.728 --> 00:26:24.569]  During this purge, saying anything.
[00:26:24.989 --> 00:26:26.149]  What the hell's going on here?
[00:26:26.730 --> 00:26:30.391]  You're making us think maybe the Republican Party is as worthless as we suspected it was.
[00:26:30.671 --> 00:26:33.432]  And people say, hey that happened a year ago, why are you harping on January 6th?
[00:26:33.452 --> 00:26:38.634]  Well there's hundreds of people still in solitary confinement being tortured like they're in North Korea, some of which are completely unviolent.
[00:26:39.454 --> 00:26:44.417]  While the Democrats burned down three billion dollars of equipment and killed dozens of people, but that's called mostly peaceful.
[00:26:44.817 --> 00:26:47.838]  And now they're building on the back of this the new anti-terror apparatus.
[00:26:48.138 --> 00:26:49.459]  Is it for the Taliban or Al Qaeda?
[00:26:49.599 --> 00:26:53.101]  They say the main threat is conservatives and Christians and gun owners.
[00:26:53.201 --> 00:26:54.641]  Waco on a mass scale.
[00:26:54.721 --> 00:26:58.823]  Joining us is Ted Nugent to talk about Ted Cruz and more in the year 2022.
[00:27:00.604 --> 00:27:02.505]  So Mr. Nugent, thank you so much for coming on with us.
[00:27:03.593 --> 00:27:16.822]  Well, greetings to you, Alex, and I got to tell you, I sincerely wish everyone a happy New Year 2022, but it's going to be quite a challenge to remain happy with all the toxicity and the treason, the dishonesty.
[00:27:19.103 --> 00:27:21.564]  I guess I can start off by saying two things.
[00:27:21.644 --> 00:27:25.545]  A big salute to you for being the cockroach spotlighter.
[00:27:25.945 --> 00:27:39.969]  You're doing the job that the Founding Fathers wanted all Americans to do, to be suspicious of everything, especially the government and the media, and to stand up for the self-evident, truth-based, constitutional Bill of Rights, God-given individual gifts.
[00:27:40.029 --> 00:27:44.190]  But I salute you, Alex, and I also salute the great Tucker Carlson.
[00:27:44.230 --> 00:27:53.697]   But boy, does that guy have a cockroach spotlight that Deserves an award, and especially as we salute those who are standing up for good over evil.
[00:27:54.298 --> 00:28:27.067]   I sent a text condemning, absolutely condemning the otherwise great Ted Cruz, who I helped get elected in every instance because he is a constitutionalist, but my God, talking about entering the dark side Every word out of Ted Cruz's mouth that you just played from the Tucker Carlson Show was an absolute lie and a viciously treasonous misrepresentation of what actually took place on January 6th.
[00:28:27.247 --> 00:28:29.108]  What happened to Ted Cruz?
[00:28:30.709 --> 00:28:35.393]  And set the record straight, Ted Nugent, about what really happened on January 6th.
[00:28:37.076 --> 00:28:54.222]  Well, and again, you know, I often repeat the obvious that I'm just a guitar player, but I'm actually a We The People experimenter and self-government guitar player, which means I'm tuned in to the world around me, especially the only experiment in self-government, the sacred United States of America.
[00:28:54.562 --> 00:28:56.803]  And here's what happened on January 6th.
[00:28:57.924 --> 00:29:09.431]  President Trump did a speech and a presentation and had a rally with good conservative families supporting God, family, country, Constitution, Bill of Rights, Declaration of Independence.
[00:29:09.632 --> 00:29:14.375]  That man in the arena work ethic that has created the greatest quality of life in the history of the world.
[00:29:14.714 --> 00:29:21.394]   than Ray Epps and a bunch of other saboteurs, a bunch of other provocateurs,
[00:29:21.394 --> 00:29:29.233]   federal protected provocateurs organized a rally, well, it was supposed to be a peaceful protest,
[00:29:29.233 --> 00:29:34.753]   but those that created violence, those that turned it into a riot,
[00:29:34.753 --> 00:29:39.875]   those were Black Lives Matter punks, those were Antifa punks,
[00:29:39.875 --> 00:29:46.073]   and those were Federal Bureau of Investigation, James Comey, J. Edgar Hoover, punks,
[00:29:46.073 --> 00:29:52.473]   that perpetrated all the violence, all the violent activity,
[00:29:52.473 --> 00:29:54.793]  dressed in Trump regalia.
[00:29:55.007 --> 00:29:58.451]  Who the hell doesn't know this?
[00:30:00.410 --> 00:30:01.010]  Absolutely.
[00:30:01.110 --> 00:30:19.259]  I got up this morning and more than 50 publications, I couldn't even keep track of it all, MSN, Newsweek, the New York Times, they all ran the same type of headlines that Alex Jones and Rush Limbaugh, here's some of the headlines, that Alex Jones and Rush Limbaugh are the cause of January 6th.
[00:30:19.299 --> 00:30:23.682]  So Limbaugh was barely alive then and they were blaming Rush Limbaugh.
[00:30:23.702 --> 00:30:24.342]  This is incredible.
[00:30:25.501 --> 00:30:32.647]  Well, again, the First Amendment guarantees the self-evident truth and God-given right that we the people experiment in self-government.
[00:30:32.667 --> 00:30:42.736]  The only example of that in the history of humankind, a King George bite me, and anybody who wants to play King George, you're in for a Concord Bridge, you dirtbags.
[00:30:43.097 --> 00:31:03.944]   And the point is, we had a peaceful protest, but when you have real terrorists, When you have real treasonous Marxists like Black Lives Matter and Antifa, and God help us all, Alex, actual agents of the Federal Bureau of Investigation, no wonder they don't wince, no wonder they don't cringe.
[00:31:04.705 --> 00:31:12.787]  Sure, violently when they enter a building that says J. Edgar Hoover over the front and then allow a punk like James Comey to be their director.
[00:31:12.967 --> 00:31:20.808]  And I know there's some great FBI agents out there that are angry at me for saying that, but the reason you're angry is because you're guilty.
[00:31:21.248 --> 00:31:54.942]   And the fact that you are taking some heat, Alex, along with the great Rush Limbaugh and myself and President Trump and the good conservative families of America, Proves that Uncle Sam is the most dangerous threat to the United States of America because the enemies of America turned a peaceful protest as ushered in by law enforcement, as ushered in by the provocateurs of the FBI undercover, as orchestrated by the re-eps federal punks of the world
[00:31:56.203 --> 00:31:58.024]  And then people are still in jail?
[00:31:58.204 --> 00:32:01.025]  What, are we going to get on the trains and go to our showers next?
[00:32:01.406 --> 00:32:02.726]  This is unbelievable.
[00:32:03.067 --> 00:32:06.449]  January 6th is not like Pearl Harbor.
[00:32:06.729 --> 00:32:09.210]  January 6th is not like 9-11.
[00:32:09.250 --> 00:32:14.774]  You lying, dishonest, treasonous, America-hating punks on the left.
[00:32:16.015 --> 00:32:18.136]  You're heading for a bruising, my friends.
[00:32:18.656 --> 00:32:22.839]  Well, as Tucker Carlson said, as you said, Ted Cruz is very smart.
[00:32:22.859 --> 00:32:24.200]  He doesn't just say stuff for no reason.
[00:32:24.760 --> 00:32:35.808]  He knows they're getting ready to frame America with more false flags and demonize the populist pro-America Ted Nugent, Second Amendment type, Alex Jones type movement.
[00:32:37.410 --> 00:32:40.075]  He's trying to get ahead of that, I believe, before the midterms.
[00:32:40.415 --> 00:32:49.070]  My spidey sense, plus all the pre-programming I see, Ted, tells me that the next 306 days, the deep state's going to try to pull something off bigger than January 6th and blame it on us.
[00:32:50.501 --> 00:32:52.523]  Well, that's their modus operandi, isn't it?
[00:32:52.563 --> 00:33:07.561]  But I gotta tell you, if I could take a deep breath, because it's difficult with all this horrible evil running amok at the hands of the media, and not just the Democrats, but the Republicans that haven't found their balls yet.
[00:33:08.081 --> 00:33:13.465]  And academia and the unions are the worst that I've ever seen in my 73 years.
[00:33:14.046 --> 00:33:35.163]   America, take a deep breath and be sure you let your mayor, your senator, your congressman, your governor, and the White House know on a regular basis, I would say at this point during these tragic times, on a weekly basis, communicate with your elected employees and let them know that you know January 6th Was not an insurrection.
[00:33:35.503 --> 00:33:39.145]  It was not Pearl Harbor and it was not 9-11.
[00:33:39.446 --> 00:33:42.668]  It had nothing to do with any of those horrific events.
[00:33:43.028 --> 00:33:48.432]  And to allow this lie to continue is really the responsibility of people that know the truth.
[00:33:48.672 --> 00:33:52.295]  And if we don't demand the truth, especially from a guy like Ted Cruz.
[00:33:52.335 --> 00:34:00.781]  Last night I immediately texted Ted because he's been an ally for conservative values and constitutional rights all of his life.
[00:34:01.201 --> 00:34:07.085]  And for him to turn like he did last night, I'm hoping Ted Cruz will take a deep breath.
[00:34:07.105 --> 00:34:08.627]  And he's going on Tucker tonight.
[00:34:08.687 --> 00:34:14.431]  I got word from both entities that Ted Cruz will be on Tucker Carlson tonight to try to explain himself.
[00:34:14.671 --> 00:34:17.213]  But the only... Hold on, Ted Nugent, I know you gotta go soon.
[00:34:17.453 --> 00:34:21.396]  Do five more minutes with another side to finish up with this and hit on the forced inoculations.
[00:34:21.636 --> 00:34:22.056]  Stay with us.
[00:34:22.197 --> 00:34:23.958]  And we've got Ted Nugent.
[00:34:24.438 --> 00:34:28.220]  Who I think has the rock and roll anthem, Stranglehold, but you gotta hear him.
[00:34:28.240 --> 00:34:30.741]  If you haven't played the Star Spangled Banner, it's even better.
