[00:00:00.290 --> 00:00:00.791]  It's here.
[00:28:54.182 --> 00:28:56.063]  You do not own your body, we do.
[00:28:56.383 --> 00:28:57.504]  We will put chips in you.
[00:28:58.504 --> 00:29:00.705]  You will live in Medivac, not to leave home.
[00:29:00.725 --> 00:29:01.966]  These are quotes.
[00:29:04.507 --> 00:29:06.488]  Outrageously evil.
[00:29:06.748 --> 00:29:11.250]  Outrageously, fabulously, over-the-top dangerous.
[00:29:13.703 --> 00:29:28.011]  And now their minion, Justin Trudeau, who says he admires dictatorships, and wants a dictatorship for Canada, and who said people that hold unacceptable views, that don't want lockdowns, you will be arrested!
[00:29:29.992 --> 00:29:37.617]  And are we surprised that Pretty Boy is following the WEF's orders to set the example to take the guns?
[00:29:38.377 --> 00:29:43.474]   The Democratic Party The WEF, the ADL, the Southern Poverty Law Center.
[00:29:44.254 --> 00:29:51.135]  They've all said in the last month, we must follow the directives and examples of the European Union when it comes to censorship.
[00:29:51.575 --> 00:29:52.735]  And they threatened Elon Musk.
[00:29:52.995 --> 00:29:54.256]  You go ahead and try to buy Twitter.
[00:29:54.476 --> 00:29:56.896]  We'll arrest you if you let people talk.
[00:29:59.057 --> 00:30:01.337]  We're not going down the road to tyranny.
[00:30:01.437 --> 00:30:02.457]  We have arrived.
[00:30:03.538 --> 00:30:04.618]  We're not almost there.
[00:30:04.738 --> 00:30:05.158]  We're here.
[00:30:06.127 --> 00:30:11.950]  And like quicksand, we're sinking into it faster and faster and faster.
[00:30:11.970 --> 00:30:13.451]  The good news is there's a global awakening.
[00:30:13.831 --> 00:30:15.512]  The good news is evil always falls.
[00:30:16.292 --> 00:30:22.515]  But ladies and gentlemen, this is going to get so bad if our leaders don't start identifying the takeover that's happening.
[00:30:23.075 --> 00:30:27.617]  And finally, some Republican leaders like Rand Paul and Ron DeSantis are doing that.
[00:30:29.378 --> 00:30:34.602]   But we better see A lot more of it, and we better see it fast.
[00:30:35.383 --> 00:30:37.084]  And we're not going to see it come from the top.
[00:30:37.144 --> 00:30:46.590]  It's going to come from the grassroots, calling your congressmen and women, going to their events, sending them information, calling talk radio, getting online and speaking up.
[00:30:46.990 --> 00:30:50.293]  You need to start your own Facebook show, your own YouTube show, until they ban you.
[00:30:51.093 --> 00:30:52.694]  You need to start your own independent sites.
[00:30:52.954 --> 00:30:59.537]  Everybody, whether you're a business owner or a preacher, need to start your own pro-freedom, anti-New World Order movement.
[00:30:59.957 --> 00:31:04.420]  And whether you get a thousand people to listen or a million, together we will defeat them.
[00:31:05.420 --> 00:31:07.321]  The answer is mobilizing the people.
[00:31:07.421 --> 00:31:11.823]  They would not be trying to censor and silence everyone if we were weak.
[00:31:12.424 --> 00:31:18.807]  They would not be doing all this outrageous stuff out in the open that is so classically bonafide totalitarian.
[00:31:20.729 --> 00:31:23.330]  If we didn't have power and if we couldn't stop them.
[00:31:24.490 --> 00:31:30.871]  The only way this can succeed is that if you advocate your authority and hand it over to these criminals.
[00:31:30.911 --> 00:31:38.333]  Now, I want to play a clip of Biden here in a moment where he tips his hand on the plan.
[00:31:38.353 --> 00:31:40.633]  And we know it's a formula that's been used around the world.
[00:31:41.734 --> 00:31:42.754]  We already know the formula.
[00:31:44.554 --> 00:31:49.256]  We're going to be laying it out here in a moment, but this is a formula or steps towards disarming you.
[00:31:49.636 --> 00:31:51.758]  And if you don't think they'll do it here, you're wrong.
[00:31:52.078 --> 00:32:02.523]  Let me say this very slowly to sink in to the board members of the NRA and others that listen to this show daily, who I know already understand this.
[00:32:03.423 --> 00:32:05.304]  But people like Ted Nugent, daily listener.
[00:32:08.265 --> 00:32:09.166]  Ted, you're a major leader.
[00:32:11.989 --> 00:32:21.733]  And Ted was asking me on the phone, I guess it was this Monday morning, how bad is it going to get?
[00:32:23.354 --> 00:32:26.135]  Because the American people aren't going to put up with gun confiscation.
[00:32:27.056 --> 00:32:28.576]  And I said, that's exactly the plan.
[00:32:32.358 --> 00:32:34.419]  They know it'll cause a civil war.
[00:32:34.719 --> 00:32:36.140]  That's why they're going to try it.
[00:32:37.420 --> 00:32:39.081]  They know they've already lost politically.
[00:32:40.020 --> 00:32:45.185]  That's why they're going to dictatorship with the illusion of freedom through staged elections.
[00:32:45.585 --> 00:32:46.726]  The Venezuelan model.
[00:32:47.547 --> 00:32:48.788]  The Joseph Stalin model.
[00:32:48.828 --> 00:32:49.588]  They had elections.
[00:32:50.509 --> 00:32:52.151]  But he said, I don't care who cast the ballot.
[00:32:53.412 --> 00:32:55.994]  All that matters is who counts the votes.
[00:32:57.635 --> 00:33:00.998]  And so we're at a very dangerous crossroads right now.
[00:33:02.540 --> 00:33:13.675]   And if you think things are bad now, ladies and gentlemen, They are not going to stop until 90% of us are dead, and that's their public goal, because they tell their collaborators, oh, we're still going to leave some people.
[00:33:14.155 --> 00:33:16.936]  Obviously, the idiots that go along with this are going to get killed, too.
[00:33:19.517 --> 00:33:25.080]  It was Julius Caesar that said, I love treason, but I hate traitors.
[00:33:26.621 --> 00:33:34.865]  And the rule is, the traitors that help bring down a society are the first people the new rulers kill.
[00:33:37.150 --> 00:33:39.971]  And we the people were the rulers to a certain extent for a while.
[00:33:40.492 --> 00:33:43.393]  That's all being swept away.
[00:33:43.453 --> 00:33:49.736]  So we're going to come back in a long segment of the hour and get into this Biden statement and give you some powerful examples.
[00:33:50.416 --> 00:33:51.157]  But I want to say this.
[00:33:51.737 --> 00:33:53.878]  There is a massive unprecedented attack.
[00:33:56.411 --> 00:34:00.333]  On free speech, as I was just saying, and InfoWars is the front lines.
[00:34:00.393 --> 00:34:01.213]  We are the heart.
[00:34:01.773 --> 00:34:02.574]  We are the brain.
[00:34:02.614 --> 00:34:04.314]  We are the soul of the human awakening.
[00:34:04.775 --> 00:34:07.236]  You are the heart, and the guts, and the mind, and the will.
[00:34:08.116 --> 00:34:09.437]  And thank you for standing with us.
[00:34:09.457 --> 00:34:10.237]  You know who you are.
[00:34:10.537 --> 00:34:21.662]  Those that have bought product, those that have spread the word, those that have prayed for us, those that have made donations in Bitcoin, thank you so much at InfoWars.com forward slash crypto and other cryptocurrencies.
[00:34:22.893 --> 00:34:28.915]  And we have a coin that we've already sold 65% of, and it's going to sell out very, very quickly.
[00:34:28.935 --> 00:34:37.957]  It's the third and final coin the founding member set at 1776coin.com or patriotcollectibles.com.
[00:34:39.378 --> 00:34:47.380]  And when you order it and leave your email, you will get a lot of special benefits and things into the future and new things we're going to be launching.
[00:34:47.860 --> 00:34:49.381]  So this is something very, very special.
[00:34:51.027 --> 00:34:51.948]  It's your last chance.
[00:34:51.988 --> 00:34:53.649]  There won't be any other founding member coins.
[00:34:54.630 --> 00:35:08.139]  To go to 1776coin.com and secure the second amendment coin that we designed six months ago, that was minted over a month ago, that was delivered... I guess on Monday we went to sell right when it got here.
[00:35:09.280 --> 00:35:11.782]  And it's available now.
[00:35:12.562 --> 00:35:13.923]  I guess last Monday is what I meant to say.
[00:35:15.384 --> 00:35:17.166]  And so, the 1776 coin is here.
[00:35:20.362 --> 00:35:22.328]  And I want to thank Ollie that got the first two coins.
[00:35:23.711 --> 00:35:27.221]  This is the third and final Freeman Bear Arms on the front.
[00:35:28.564 --> 00:35:28.984]  On the back.
[00:35:29.524 --> 00:35:29.945]  On the front.
[00:35:30.445 --> 00:35:31.365]  Come and take it.
[00:35:31.985 --> 00:35:34.066]  It is powerful.
[00:35:34.746 --> 00:35:39.288]  1776coin.com or 888-253-3139.
[00:35:39.688 --> 00:35:40.669]  You are our boosters.
[00:35:40.789 --> 00:35:41.789]  You are our sponsors.
[00:35:41.829 --> 00:35:43.250]  The viewers and listeners like you.
[00:35:43.830 --> 00:35:44.710]  And you're changing the world.
[00:35:44.791 --> 00:35:46.431]  I want to thank you and I want to encourage everybody.
[00:35:46.771 --> 00:35:50.573]  Be part of this at 1776coin.com or call toll free 888-253-3139.
[00:35:50.633 --> 00:35:55.015]  We also have the big Memorial Day special running right now.
[00:35:55.335 --> 00:35:58.076]  Up to 60% off at double patriot points at InfoWarStore.
[00:35:59.384 --> 00:36:00.906]  And they showed me an x-ray.
[00:36:01.306 --> 00:36:05.130]  It said a .22 caliber bullet will lodge in the lung.
[00:36:05.870 --> 00:36:08.393]  And we can probably get it out.
[00:36:08.473 --> 00:36:12.277]  We may be able to save a life.
[00:36:12.497 --> 00:36:15.400]  A 9mm bullet blows the lung out of the body.
[00:36:16.678 --> 00:36:26.245]  So a nine millimeter round, he says, is a high powered round.
[00:36:26.485 --> 00:36:32.485]   about self-protection, hunting, I mean, I just, I remember it.
[00:36:32.485 --> 00:36:36.485]  The Constitution, the Second Amendment, was never absolute.
[00:36:36.485 --> 00:36:44.485]  So, a 9mm round, he says, is a high-powered round.
[00:36:44.485 --> 00:36:52.625]   Now, of course, this is a false dichotomy, a false debate, that a bullet shouldn't be designed for self-defense to
[00:36:52.625 --> 00:36:54.485]  stop somebody or kill somebody.
[00:36:55.320 --> 00:36:57.922]  If that's the case, the Secret Service, I guess, should use BB guns?
[00:37:00.003 --> 00:37:01.344]  Or how about Nerf guns?
[00:37:01.364 --> 00:37:04.987]  Because you don't need something that actually has force to protect yourself, right?
[00:37:09.270 --> 00:37:10.471]  But then the lie goes further.
[00:37:11.252 --> 00:37:22.245]   Anybody that knows anything about guns knows that the 9mm Is a very weak round compared to almost all other rounds.
[00:37:23.005 --> 00:37:29.709]  But the Germans popularized it in their Lugers, in World War II, and it got picked up because it has a low recoil.
[00:37:30.169 --> 00:37:33.191]  The magazines can fill a lot of rounds.
[00:37:34.932 --> 00:37:38.214]  The police like them in MP5s, H&Ks.
[00:37:39.935 --> 00:38:00.950]   But you can see on screen there, a .22 caliber of your TV viewer, Next to it, a 9mm, then a 10mm, then a .357 Magnum, a 5.7,
[00:38:00.950 --> 00:38:08.870]   a 5.56, the .223 they demonize so much, a 6.5 Creedmoor,
[00:38:11.510 --> 00:38:21.510]   a .308, and a .50 Cal BMG. How many people are murdered each year with .50 Cal BMGs?
[00:38:21.665 --> 00:38:25.188]  In the last several decades, it's three people?
[00:38:28.972 --> 00:38:30.394]  It's ridiculous, ladies and gentlemen.
[00:38:33.056 --> 00:38:34.678]  Absolutely ridiculous.
[00:38:35.619 --> 00:38:39.723]  Now, what really matters is not even so much the size of the round, but the velocity.
[00:38:43.413 --> 00:38:49.597]  And I'm not going to get into all the ballistics, because I wouldn't call myself an expert, but I know which gun to use and which rifle to use when I'm doing what.
[00:38:49.617 --> 00:38:58.984]  But if you take that Creedmoor around, it's a very flat-shooting, long-range bullet, but it's very small.
[00:39:00.385 --> 00:39:03.647]  .308's what NATO used, very accurate, but has a drop to it.
[00:39:05.648 --> 00:39:14.679]   The .556 or .223, Deployed in Vietnam is lightweight, low recoil, and it's high velocity, so it causes a lot of damage.
[00:39:17.280 --> 00:39:24.063]  And I can tell you the difference between a 10mm and a 9mm is massive.
[00:39:24.524 --> 00:39:37.793]   Because I've got 10 millimeter rifles, the same brand, and the power when you're shooting anything is just
