[00:00:00.149 --> 00:00:00.549]  It's on.
[00:26:37.000 --> 00:26:56.566]  Gas stations, this is Daily Mail, in Washington reprogrammed pumps, this is on record, to prepare for, wait for it, gas stations in Washington reprogrammed pumps to prepare for $10 a gallon fuel as Bidenflation sends average price soaring $4.57 almost twice the $2.41 during Trump's final month.
[00:26:59.387 --> 00:27:01.768]  And again, what's the lie in that headline?
[00:27:02.799 --> 00:27:12.862]  As much as it's fun to make fun of Biden, the joke's on us, he's a placeholder for the globalists and Obama so that he gets the blame when this all goes down.
[00:27:12.902 --> 00:27:17.203]  Because if they get the blame, they will have to stop their lockdowns, which they've done for now.
[00:27:17.443 --> 00:27:18.984]  They'll have to stop all this inflation.
[00:27:19.064 --> 00:27:21.685]  It's all artificial economic warfare.
[00:27:24.626 --> 00:27:28.987]  So it's not like I'm here just saying, oh, you need to get angry and call Congress and call talk radio.
[00:27:29.247 --> 00:27:32.168]  You better do it or they will bankrupt you to control you.
[00:27:33.180 --> 00:27:41.662]  And the next phases of this thing are way worse than it is now, and that's why I'm so desperate to try to mitigate this before it gets too bad.
[00:27:43.322 --> 00:27:48.543]  Mark my words, everybody serving the system that thinks they're on the winning team are fools.
[00:27:50.364 --> 00:27:55.885]  This is going to destroy the globalists in the process of destroying us.
[00:27:57.864 --> 00:28:06.812]  I've got a stack of news all over the world where the Pfizer, Moderna and J&J shots were given with children's livers liquefying, many of them dying.
[00:28:07.293 --> 00:28:12.577]  And it's specifically known that the J&J is the one that does it the worst, but they all create the same spike protein.
[00:28:13.618 --> 00:28:15.340]  And I've had medical doctors on to lay that out.
[00:28:15.600 --> 00:28:17.962]  These people are so damn sick.
[00:28:18.945 --> 00:28:22.188]  Record miscarriages, record babies being born stillborn.
[00:28:22.828 --> 00:28:26.191]  They're not just aborting our children before they're born.
[00:28:26.571 --> 00:28:27.732]  They're aborting all of us.
[00:28:28.372 --> 00:28:29.694]  That's what the New World Order is.
[00:28:30.134 --> 00:28:31.215]  I've got a bunch of these clips.
[00:28:32.055 --> 00:28:39.101]  Here is Congress yesterday in a Biden administration abortion testimony with a Biden administration official.
[00:28:41.163 --> 00:28:42.424]  And they say, what is a man?
[00:28:43.124 --> 00:28:44.085]  Can a man have a baby?
[00:28:44.105 --> 00:28:45.266]  And I go, yeah, a man can have a baby.
[00:28:46.550 --> 00:28:48.371]  This is the people that say they're all about science.
[00:28:48.951 --> 00:28:57.393]  Bill Nye, the science guy a few years ago, went back and re-edited his 1980s and 90s TV shows where they had shows about X and Y chromosomes in male and female.
[00:28:57.953 --> 00:29:00.974]  And they went and took that out and said, oh no, everybody's male and female.
[00:29:02.234 --> 00:29:14.578]  And there's new big studies out where many frog populations have completely died and become extincted because of atrazine alone making the frogs all, quote, feminine.
[00:29:16.134 --> 00:29:19.477]  It's just the endgame.
[00:29:19.637 --> 00:29:30.686]  We are entering the endgame, their blueprint for global enslavement and extermination, and it's just incredible.
[00:29:30.806 --> 00:29:46.018]   I mean, it's moving faster and faster and faster and faster, and you see the delusional people that either don't want to know what's going on, or are part of it, pretending like they're going to win, and they're all going to be consumed In the flames of tyranny.
[00:29:50.299 --> 00:29:59.381]  If I thought violence would help, we've certainly passed the point of the Declaration of Independence, our right, our duty, to throw off the bonds of tyranny and to remake a new government.
[00:30:00.342 --> 00:30:10.664]  But the way they've set up the brainwashing and the control, any violence, even against globalists themselves, will just give them more power and control because it's an evil system that's thousands of deep.
[00:30:11.687 --> 00:30:14.248]  It's like a football coach saying, you gotta take out that wide receiver.
[00:30:14.268 --> 00:30:15.368]  He just scored two touchdowns.
[00:30:15.708 --> 00:30:17.489]  I don't care if you get thrown out of the game.
[00:30:17.729 --> 00:30:19.450]  I want you to spear him in the kidneys.
[00:30:20.970 --> 00:30:25.151]  What if they had a thousand more wide receivers just as good as that guy or better?
[00:30:26.872 --> 00:30:32.854]  Well then, you can't send in your linebacker to break their ribs.
[00:30:34.807 --> 00:30:36.048]  This is not traditional war.
[00:30:36.869 --> 00:30:39.251]  So violence isn't just not the answer.
[00:30:39.831 --> 00:30:42.674]  Violence is absolutely what we don't want.
[00:30:43.354 --> 00:30:46.917]  I've been criticized by some for saying there shouldn't have been violence at the Capitol that day.
[00:30:46.978 --> 00:30:47.778]  Sure, it's overblown.
[00:30:48.038 --> 00:30:49.239]  Most people are totally innocent.
[00:30:49.580 --> 00:30:51.562]  Others are in solitary confinement, should have already been out of jail.
[00:30:51.582 --> 00:30:56.406]  Kamala Harris is bailing out people that, you know, burned down federal buildings and firebombed things.
[00:30:59.053 --> 00:31:02.916]  But I get criticized by callers saying, hey, you should have helped storm it that day.
[00:31:02.976 --> 00:31:03.916]  We could have taken the government.
[00:31:04.157 --> 00:31:05.798]  That capital's not the government.
[00:31:06.818 --> 00:31:09.220]  The military government is in Cheyenne Mountain.
[00:31:10.321 --> 00:31:11.282]  And Colorado Springs.
[00:31:12.382 --> 00:31:16.185]  And Site R. And that's not even the government.
[00:31:16.225 --> 00:31:18.066]  The government is the global corporations.
[00:31:19.267 --> 00:31:22.970]  And so, it's not a cowardice issue that I don't want violence.
[00:31:24.361 --> 00:31:30.104]  Blowing up a federal building does nothing but turn the instrument of the globalist into a victim, the last thing we want.
[00:31:32.005 --> 00:31:46.373]  So I tell you now, there will come points if we don't stop this where they're coming to take you to FEMA camps under the guise of viruses, and you will know that at that point it's a decision you've got to make between you and God and your family.
[00:31:48.474 --> 00:32:00.396]   But before we get to that point, you need to make the decision That you're going to speak out and stand up and engage in civil disobedience in a legal and lawful way.
[00:32:00.416 --> 00:32:14.724]  The Pentagon has a report they put out in the 60s, I think it's titled 198 or 199 Ways to Peacefully Resist Civil Disobedience.
[00:32:15.324 --> 00:32:16.625]  And I've read the report on there before.
[00:32:18.232 --> 00:32:25.077]  And it's a report you should really go read, because you'll see we've put most of that into action here, but we can't do all of it.
[00:32:25.377 --> 00:32:26.678]  You're going to have to put it into action.
[00:32:27.819 --> 00:32:46.253]  And you're going to have to decide whether you want to be a soldier of truth and justice to peacefully resist this, or whether you want to try to go hide and wait it out, or, as if you could ride it out, or whether or not you want to take the right course, and that is total political action, prayer, and civil action.
[00:32:47.435 --> 00:32:48.276]  There it is.
[00:32:48.476 --> 00:32:50.057]  198 Methods of Nonviolent Action.
[00:32:51.278 --> 00:32:52.018]  Now go read it.
[00:32:52.038 --> 00:32:56.261]  In fact, I'm going to post it in full under the live show feed today.
[00:32:56.301 --> 00:33:00.444]  Ben, our great writer and researcher in there, posts the whole thing.
[00:33:00.464 --> 00:33:06.389]  Not just the link, but he can post the text under the live show feed today.
[00:33:06.409 --> 00:33:12.174]   We can put the live show feed on air so I give folks the Headline of the day, so that everybody can share it.
[00:33:12.254 --> 00:33:13.455]  Emergency broadcast.
[00:33:14.096 --> 00:33:20.280]  The UN Davos Group have openly announced a planetary technocracy-based dictatorship.
[00:33:22.321 --> 00:33:22.921]  As U.S.
[00:33:23.021 --> 00:33:27.104]  is engulfed by record inflation, collapsing border, and a proxy war with Russia.
[00:33:28.825 --> 00:33:37.371]  And the globalists do intend to have this go from a proxy war to a full war with Russia as their great reset, their build back better, you'll have nothing, you'll own nothing, you'll like it.
[00:33:38.846 --> 00:33:41.668]  I got a bunch of abortion clips that we'll get to when we come back.
[00:33:42.148 --> 00:33:45.269]  Then we have a special guest on the First Amendment, this pastor in this big federal win.
[00:33:45.810 --> 00:34:00.687]   And then in the third hour, I'm going to cover The UN Treaty and the world finally waking up to it and now they're leaking what's in it, they're writing it in secret, and they're making public announcements that the Davos Group is in command of the UN, so the corporate technocrats are now in full command of this takeover.
[00:34:01.087 --> 00:34:19.919]   That is all coming up as well today, and I beg you, for the sake of your children, your grandchildren, your neighbors, your friends, and your own life, to realize This audience is the tip of the spear, and you have initiated the chain reaction already.
[00:34:20.599 --> 00:34:31.781]  We've got a fighting chance, but sharing InfoWars.com forward slash show, or telling everybody you know about that local radio station, or TV station, or cable station that picks us up, is so critical.
[00:34:31.861 --> 00:34:37.063]  Sharing the articles and videos from Man.Video is so critical, and buying products at InfoWars.com.
[00:34:37.103 --> 00:34:43.944]  And we've had a lot of big support, and a lot of big donations that have really helped us, and we want to thank all of you that have done that, and you know who you are.
[00:34:48.594 --> 00:34:49.675]  What do you say a woman is?
[00:34:51.696 --> 00:34:54.258]  I believe that everyone can identify for themselves.
[00:34:57.821 --> 00:35:01.163]  Do you believe then that men can become pregnant and have abortions?
[00:35:02.845 --> 00:35:03.845]  Yes.
[00:35:03.845 --> 00:35:13.684]   Well, that's the Biden administration official over abortion.
[00:35:13.684 --> 00:35:15.764]  (laughs)
[00:35:16.323 --> 00:35:23.665]  Let's play this clip of the New York mayor doubles down on abortion up to the time children are born.
[00:35:23.705 --> 00:35:26.185]  A woman should determine what they're going to do with their bodies.
[00:35:26.725 --> 00:35:29.346]  And so a baby coming out of the womb nine months old is her body.
[00:35:29.406 --> 00:35:29.706]  Kill it.
[00:35:30.666 --> 00:35:32.427]  Overwhelming number of people on the Supreme Court.
[00:35:32.547 --> 00:35:34.427]  I don't believe they can deliver a baby.
[00:35:35.827 --> 00:35:36.327]  Oh, that's right.
[00:35:36.367 --> 00:35:37.208]  It's the medical system.
[00:35:37.248 --> 00:35:38.428]  It's their decision what to do.
[00:35:39.728 --> 00:35:43.429]  And now they have got bills introduced all over the country to kill babies after they're born for weeks after.
[00:35:44.692 --> 00:35:46.692]  Here are these monsters.
[00:35:46.692 --> 00:35:51.641]   ...debate in this country. You've been an ardent supporter of abortion rights, and I want to play an exchange where
[00:35:51.641 --> 00:35:53.592]  you talked about this. Let's listen.
[00:35:53.592 --> 00:35:58.092]   "Mayor Adams, do you think there should be any limitation on abortion?"
[00:35:58.092 --> 00:36:00.692]  "No, I do not."
[00:36:00.692 --> 00:36:02.692]  "None? Day of birth? Totally fine?"
[00:36:02.692 --> 00:36:06.952]   "No, I do not think. I think women should have a right to choose their bodies.
[00:36:06.952 --> 00:36:10.751]   Men should not have that right to choose how women should treat their bodies."
