[00:00:00.309 --> 00:00:04.113]  The COVID crisis was the beginning of the collapse of civilization by design.
[00:24:50.770 --> 00:24:57.373]  Well, the menstrual thing is something that seems to be quite transient and temporary.
[00:24:57.573 --> 00:24:58.294]  That's the point.
[00:24:58.314 --> 00:24:59.094]  That's one of the points.
[00:24:59.434 --> 00:25:00.635]  We need to study it more.
[00:25:01.926 --> 00:25:02.947]  Oh, we need to study it more.
[00:25:03.788 --> 00:25:04.989]  We need to study it more.
[00:25:05.009 --> 00:25:11.694]  It's just like human fertility, reproducing the species, the most important event in most people's lives.
[00:25:12.235 --> 00:25:13.176]  We need to study it more.
[00:25:13.356 --> 00:25:14.056]  Oh, but it's too late.
[00:25:15.097 --> 00:25:19.521]  We just forced millions of women to take that drug.
[00:25:19.961 --> 00:25:20.402]  Sorry!
[00:25:21.783 --> 00:25:29.770]  So how did they release a vaccine and then make it mandatory when they didn't understand the long-term effects of the drug?
[00:25:30.865 --> 00:25:32.426]  That's a very good question.
[00:25:33.227 --> 00:25:34.208]  Here's Deborah Birx.
[00:25:34.648 --> 00:25:37.971]  She's the former White House COVID response director, again on Fox News.
[00:25:39.312 --> 00:25:50.642]  I knew these vaccines were not gonna protect against infection, and I think we overplayed the vaccines, and it made people then worry that it's not gonna protect against severe disease and hospitalization.
[00:25:50.782 --> 00:25:52.684]  It will, but let's be very clear.
[00:25:52.704 --> 00:25:58.189]  50% of the people who died from the Omicron surge were older, vaccinated.
[00:26:00.531 --> 00:26:00.891]  What?!
[00:26:02.212 --> 00:26:07.816]  Quote, I knew these vaccines were not going to protect against infection.
[00:26:07.916 --> 00:26:09.016]  Really, Deborah Birx?
[00:26:09.557 --> 00:26:16.921]  But somehow you forgot to mention that as people were being fired from their jobs for not taking this on the premise that if they took it, they would never be infected?
[00:26:17.261 --> 00:26:18.782]  When do you get criminally charged?
[00:26:19.042 --> 00:26:19.523]  Soon, we hope.
[00:26:20.816 --> 00:26:24.879]  And then there's the effect of the COVID vaccines on the elderly, the population most at risk.
[00:26:25.459 --> 00:26:37.628]  According to the Lancet, no less than, vaccinated people around Joe Biden's age are 80% more likely to become sick after taking the COVID shot as compared to unvaccinated people.
[00:26:37.688 --> 00:26:38.409]  Wait, what?
[00:26:39.550 --> 00:26:43.733]  80% more likely to become sick after taking the shot that was supposed to prevent them from getting sick?
[00:26:44.713 --> 00:26:46.835]  How is this not the banner headline?
[00:26:47.615 --> 00:26:48.236]  It's being ignored.
[00:26:50.882 --> 00:26:54.023]  You don't even need to put two plus two together to understand.
[00:26:54.063 --> 00:26:56.703]  We told you it would attack the menstrual cycle.
[00:26:56.743 --> 00:26:58.664]  We told you it attacked the ovaries.
[00:26:58.704 --> 00:27:03.305]  The top scientist that headed up Pfizer, who just retired a year before they launched this, said that.
[00:27:03.885 --> 00:27:05.305]  They've done rat studies secretly.
[00:27:05.585 --> 00:27:06.285]  That's all come out.
[00:27:07.666 --> 00:27:08.906]  They did this on purpose.
[00:27:10.126 --> 00:27:14.327]  And it has nanotech in it that starts reproducing in the body.
[00:27:15.347 --> 00:27:16.227]  You can't make that up.
[00:27:16.307 --> 00:27:25.495]   This, when I say an alien takeover, The globalists believe they're becoming a new species and are going to use us as the guinea pigs for it, and that they're building a new species here on the planet.
[00:27:26.435 --> 00:27:35.699]  And you can pull up hundreds of headlines, scientists create new life forms on space station, scientists create new life forms in mineshaft, scientists create new chimeric creatures.
[00:27:37.419 --> 00:27:39.600]  That's what they're doing, and then we try to have a discussion about it.
[00:27:40.480 --> 00:27:46.327]   They say, shut up, nothing's happening, or get used to it, it's a wonderful Transition we're all in.
[00:27:46.567 --> 00:27:47.027]  Look at this.
[00:27:48.168 --> 00:28:06.899]  So many top scientists in Spain, in Germany, in New Zealand, in England, this is just a shorter version of ours I've seen, have looked at this with electron microscopes and it's on record and then you see the ingredients patented to grow a graphite oxide nano matrix in the body.
[00:28:07.179 --> 00:28:10.501]  These things replicate out of what's in your tissue.
[00:28:11.622 --> 00:28:13.463]  They grow in you, they colonize you.
[00:28:15.911 --> 00:28:17.932]  And it turns out Gates had all these patents to do it.
[00:28:18.872 --> 00:28:23.113]  They've just attacked us, and people can't admit the horror they're under.
[00:28:23.133 --> 00:28:29.314]  Twice you see national news going, Alex Jones found guilty, now a jury decides how much money he pays.
[00:28:30.154 --> 00:28:32.375]  They just slip that in, like, oh, the end of juries.
[00:28:32.835 --> 00:28:33.655]  Decide if you're guilty.
[00:28:34.675 --> 00:28:35.276]  Same thing here.
[00:28:35.716 --> 00:28:37.696]  The end of the FDA doing testing.
[00:28:38.436 --> 00:28:41.217]  In fact, after this clip, cue up the Fauci clip again from the 1980s.
[00:28:41.237 --> 00:28:45.178]  Saying, oh, we couldn't approve this vaccine, we'd kill a bunch of people.
[00:28:47.305 --> 00:28:49.087]  But now he says we don't need any studies.
[00:28:49.908 --> 00:28:52.031]  But they've already done the secret studies.
[00:28:53.272 --> 00:28:59.560]  But first, let's go to this little compilation of scientists, prestigious scientists, documenting what's in these poison shots.
[00:29:01.692 --> 00:29:30.531]  We were contacted early in the week by a group of scientists who've been doing some scientific analysis and microscopy work on the Pfizer vaccine, which had been stimulated by some overseas reports by groups of very credible and credentialed experts, chemists and pathologists, who were reporting finding what appears to be very, very, very, very tiny, but very complex sort of nanoscale technology.
[00:29:32.012 --> 00:29:35.776]  And the group in New Zealand have found exactly the same thing.
[00:29:36.377 --> 00:29:49.031]  So I was asked to go and have a look and I have certainly satisfied myself that these are not fakes and that these are real people and this is real work having been done in New Zealand.
[00:29:49.608 --> 00:29:51.569]  Have you ever come across anything like this before?
[00:29:51.829 --> 00:29:55.190]  Well, we've been aware of reports that I mentioned.
[00:29:55.770 --> 00:29:56.550]  From the IBCs?
[00:29:56.730 --> 00:29:57.050]  Yes.
[00:29:57.910 --> 00:30:06.253]  So there's a Spanish group, so Orwell.city is the website, and they've been publishing work steadily.
[00:30:07.593 --> 00:30:20.903]   And there's a group in Germany, very eminent pathologists, Who reported their findings on post-mortems of people who died post-vaccination, and they reported seeing things that they'd never seen before in their very long careers.
[00:30:21.083 --> 00:30:26.609]  They also reported finding unexpected ingredients, shall I say, in the vaccines.
[00:30:26.629 --> 00:30:30.292]  In fact, there were a number of other scientists and health professionals on that.
[00:30:30.853 --> 00:30:33.573]  press conference also reported the same thing.
[00:30:33.573 --> 00:30:37.731]   So, you know, it's still very shocking when you see it yourself.
[00:30:37.731 --> 00:30:41.173]   You know, it's important to remember when you're looking at the pictures and the videos
[00:30:41.173 --> 00:30:45.893]   that, you know, this is nano-scale, which means, you know, extremely small.
[00:30:45.893 --> 00:30:52.052]   And some of the sort of the behavior of what seems to be machinery or circuitry,
[00:30:52.052 --> 00:30:56.052]   router's chips, that type of thing, you know, is very hard to explain.
[00:30:56.052 --> 00:31:00.773]   But scientists tell me that at that sort of scale, things like gravity and magnetism,
[00:31:00.773 --> 00:31:01.731]  behave rather differently.
[00:31:01.731 --> 00:31:04.373]  And I certainly am no expert at all in this area.
[00:31:04.373 --> 00:31:09.493]  But having spent a very hurried few days really trying to...
[00:31:09.625 --> 00:31:17.933]  You just heard on Tucker Carlson, the former head of these programs, saying, oh, we knew it wouldn't help you, but we still went ahead and did it.
[00:31:17.752 --> 00:31:19.752]  investigators who are charged with protecting the public.
[00:31:19.752 --> 00:31:25.511]   You just heard on Tucker Carlson, the former head of these programs, saying,
[00:31:25.511 --> 00:31:28.072]   "Oh, we knew it wouldn't help you, but we still went ahead and did it."
[00:31:28.072 --> 00:31:30.072]  Oh, it'll help you, all right.
[00:31:30.072 --> 00:31:32.072]  And these colonies are only one part of this.
[00:31:32.233 --> 00:31:38.117]  It also makes your body grow the poisonous, cancer-causing, sterilizing, spike protein.
[00:31:38.878 --> 00:31:43.442]  Here's Fauci explaining why you have to have testing of vaccines.
[00:31:43.462 --> 00:31:44.442]  Those were traditional vaccines.
[00:31:44.462 --> 00:31:45.984]  With these, it's a thousand times worse.
[00:31:46.244 --> 00:31:46.684]  Here he is.
[00:31:47.085 --> 00:31:54.811]  Many scientists are beginning to believe that a vaccine against AIDS may be impossible to make and too dangerous to test.
[00:31:55.782 --> 00:31:59.884]  If you take it and then a year goes by and everybody's fine.
[00:32:00.384 --> 00:32:01.644]  Then you say, okay, that's good.
[00:32:01.684 --> 00:32:04.065]  Now let's give it to 500 people.
[00:32:04.105 --> 00:32:06.066]  And then a year goes by and everything's fine.
[00:32:06.086 --> 00:32:08.447]  Say, well, now let's give it to thousands of people.
[00:32:08.807 --> 00:32:13.830]  And then you find out that it takes 12 years for all hell to break loose.
[00:32:13.850 --> 00:32:15.030]  And then what have you done?
[00:32:16.491 --> 00:32:17.531]  What have you done?
[00:32:17.551 --> 00:32:23.334]  Oh, but the head of the UN says, don't question the new rollout, the new lockdowns, the new fear.
[00:32:24.673 --> 00:32:32.420]  Here is a German member of the EU Parliament, Christina Anderson, saying the vaccine campaign will go down as the biggest scandal in medical history.
[00:32:33.241 --> 00:32:49.657]  This vaccine campaign, it will go down as the biggest scandal in medical history, and moreover, it will be known as the biggest crime ever committed on humanity.
[00:32:52.648 --> 00:32:56.471]  Oh yeah, mass sterilization, mass death, record numbers of young people dying.
[00:32:57.432 --> 00:33:00.855]  All the insurance company numbers are coming in, the actuaries.
[00:33:01.516 --> 00:33:02.156]  They really did it.
[00:33:03.337 --> 00:33:13.165]  And so it's not isolated that they're getting rid of all of our freedoms and cutting off our infrastructure and our food and getting rid of our borders and defunding the police and putting Soros criminals in every position of power.
[00:33:13.666 --> 00:33:15.467]  This is just the beginning.
[00:33:17.349 --> 00:33:19.110]  Until we really wake up that we're under attack.
[00:33:20.697 --> 00:33:33.564]  Half the population roughly took the poison shots and folks are so trained to never admit they're wrong under the mass hypnosis Stockholm paradigm that they will continue to defend it even as they mutate and even as they die.
[00:33:34.025 --> 00:33:49.314]  But the globalists believe some will mutate and become this new creature, this super sapien, but most of us will die in the process as we're just randomly injected with super high-tech, super science replication systems that take over every damn cell in our body.
[00:33:50.143 --> 00:33:50.823]  It's here, folks.
[00:33:51.464 --> 00:33:52.064]  It's going down.
[00:33:52.864 --> 00:33:57.347]  Most people just get sick and have blood clots and slowly die, but others, a lot of weird stuff's happening to them.
[00:33:58.127 --> 00:33:59.768]  And of course, it sterilizes you as well.
