[00:00:00.029 --> 00:00:01.270]  That's who these people are.
[00:26:37.305 --> 00:26:56.179]  China is one of the other powerful, very superior cultures when it comes to organization and history, 5,000 plus years old, and they're celebrating their system, and that's why George Soros was pissed, because, oh no, you've got a culture, you aren't run by me, and the globalists.
[00:26:56.839 --> 00:27:08.393]   So that's all this is, and I just had whiplash last segment, because last year they changed the definition of it, And again, the ADL is the boss, so they say it.
[00:27:08.413 --> 00:27:10.694]  If they say the moon's made of cheese, it is.
[00:27:13.795 --> 00:27:31.262]  They came out and changed it again and said, and I've got the quotes right here, racism, the marginalization and opposition and oppression of people of color based on socially constructed racial hierarchy that privileges white people.
[00:27:31.282 --> 00:27:31.822]  I'll read that again.
[00:27:32.662 --> 00:27:43.067]  The marginalization and or oppression of people of color based on a societal constructed racial hierarchy that privileges white people.
[00:27:44.668 --> 00:27:45.989]  Now, let's talk about that.
[00:27:46.829 --> 00:27:50.291]  That's the new definition that got all the attention the last few weeks after we covered it.
[00:27:51.071 --> 00:27:52.112]  And here's the then and now.
[00:27:53.385 --> 00:28:06.554]  Before a few weeks ago, racism is the belief that a peculiar race is superior or inferior to another, and that a person's social and moral traits are predominated by his or her own inborn biological characteristics.
[00:28:06.975 --> 00:28:15.421]  Racial separatism is the belief, most of the time based on racism, that different races should remain segregated and apart from one another.
[00:28:17.082 --> 00:28:18.583]  Which is really a definition of tribalism.
[00:28:19.454 --> 00:28:24.598]  Which is what they call racism invented by the communists 80 years ago as a way to create social disorder in the West.
[00:28:25.278 --> 00:28:27.640]  Now, here's the new definition that they just changed back.
[00:28:28.600 --> 00:28:35.385]  The marginalization and or oppression of people of color based on societal constructed racial hierarchy that privileges white people.
[00:28:36.886 --> 00:28:38.807]  Racism is only white people.
[00:28:38.947 --> 00:28:42.510]  Then, they changed it again.
[00:28:44.341 --> 00:28:48.022]  Ladies and gentlemen, and I just read that definition earlier.
[00:28:48.542 --> 00:28:50.243]  Racism, interim definition.
[00:28:50.283 --> 00:28:51.643]  Now they're telling you they're going to change it all the time.
[00:28:52.183 --> 00:28:53.264]  The goalposts always move.
[00:28:53.604 --> 00:29:00.186]  Racism occurs when individuals or institutions show more favorable evaluation or treatment to an individual or group based on race or ethnicity.
[00:29:00.666 --> 00:29:02.827]  Professor Robert Livingston, The Conversation.
[00:29:03.087 --> 00:29:04.487]  For more about the definition, click here.
[00:29:06.388 --> 00:29:10.189]  So it's a little too much for the ADL to come out and say whiteness is evil.
[00:29:10.969 --> 00:29:12.590]  Now, let's just talk reality here.
[00:29:14.028 --> 00:29:16.309]  There are good Catholics and there are bad Catholics.
[00:29:16.329 --> 00:29:18.030]  There are good Baptists and there are bad Baptists.
[00:29:18.431 --> 00:29:20.192]  There are good Jews and there are bad Jews.
[00:29:20.512 --> 00:29:22.853]  We've all met people that are great that are Catholic.
[00:29:22.873 --> 00:29:24.114]  We've met Catholics that aren't so great.
[00:29:24.374 --> 00:29:25.515]  We've met Jews that are wonderful people.
[00:29:25.535 --> 00:29:26.836]  We've met Jews that aren't wonderful people.
[00:29:27.296 --> 00:29:32.659]  So to try to say that you're part of a group, that's really mindless to say we're going to judge you off that group.
[00:29:33.080 --> 00:29:41.745]  But the only group in the world as ethno-pure as the Chinese is the Jews.
[00:29:43.231 --> 00:29:47.033]  I mean, the Chinese genetically select 99% of their Chinese.
[00:29:48.093 --> 00:29:49.694]  The Chinese are proud of their ancient culture.
[00:29:49.954 --> 00:29:51.274]  The Jews are proud of their ancient culture.
[00:29:51.294 --> 00:30:01.218]  The Jews have a big 100-foot wall around their little country because they have tribal ancient enemies, you can pick any side you want, that do want to displace them and kill them.
[00:30:03.459 --> 00:30:07.081]  And so, you can call that an apartheid state if you want.
[00:30:08.499 --> 00:30:19.705]  I'm not defending the apartheid state of South Africa, but now they replace one bad system with one ten times worse, communism, and the big corporations totally looting everybody because the big banks don't want a middle class.
[00:30:21.526 --> 00:30:27.970]  And so Israel has an ethnostate more intense than the most intense South African system.
[00:30:28.230 --> 00:30:28.430]  Okay?
[00:30:28.450 --> 00:30:30.071]  In fact, put that back on screen.
[00:30:30.471 --> 00:30:40.017]   Those are conservative Ultra-Orthodoxes are called Jews, and they choose to like their system and their culture, and they want to keep it that way, and that's their right.
[00:30:41.078 --> 00:30:43.460]  Now, do I call that an SS Nazi meeting?
[00:30:43.620 --> 00:30:51.506]  Because they're wearing uniforms, they're one racial group, and they believe that they have gotten divine direction from God that makes them special.
[00:30:51.906 --> 00:30:53.107]  Which I don't have a problem with.
[00:30:54.031 --> 00:30:57.056]  I think all humans have their own special traits and special things and groups.
[00:30:57.296 --> 00:31:01.682]  And I think celebrating our connection to God consciousness and the divine is a good thing.
[00:31:01.742 --> 00:31:07.270]  And I have learned a lot from the Old Testament and Judaism and the writings of rabbis and people.
[00:31:07.330 --> 00:31:09.674]  I think it's very rich, very powerful stuff.
[00:31:10.673 --> 00:31:15.337]  But are there some really evil, wicked Jews and wicked Jewish Mafia out there?
[00:31:15.417 --> 00:31:15.997]  Absolutely!
[00:31:16.197 --> 00:31:20.340]  The Jewish Mafia created the ADL in 1913 when a pedophile raped and killed a little girl.
[00:31:20.540 --> 00:31:24.563]  And they didn't like the fact that he got in trouble, so they said, we're founding this organization to do this.
[00:31:26.404 --> 00:31:27.705]  And that's who the ADL is!
[00:31:29.226 --> 00:31:39.714]  And it's an evil organization that's very anti-American, who gives awards to George Soros, a Nazi collaborator, and awards to Arnold Schwarzenegger, who on record told Rolling Stone he loves Hitler!
[00:31:41.599 --> 00:31:42.540]  I don't love Hitler.
[00:31:42.660 --> 00:31:43.940]  I researched Hitler.
[00:31:44.000 --> 00:31:45.021]  I don't think Hitler's cool.
[00:31:45.321 --> 00:31:47.622]  I know Hitler killed a bunch of people, including a bunch of Jews.
[00:31:47.842 --> 00:31:48.683]  And I think that's wrong.
[00:31:49.043 --> 00:32:00.809]  But I will not now take on the identity of Hitler because the official terrorism perspective of the FBI and Joe Biden is, I think the election was stolen, and I don't like open borders, and I don't like forced inoculations.
[00:32:01.089 --> 00:32:03.210]  You say I am a white supremacist.
[00:32:03.470 --> 00:32:07.152]  That is the definition of that, is someone that doesn't turn my body over to you.
[00:32:09.423 --> 00:32:17.247]  When I look around and I try to find something that's ghoulish and un-American and authoritarian, the ADL fits the bill.
[00:32:19.909 --> 00:32:21.670]  The Southern Poverty Law Center fits the bill.
[00:32:22.210 --> 00:32:30.555]  So I don't care if the Southern Poverty Law Center is a bunch of liberal lawyers of every group, or I don't care if the ADL is a bunch of weird, power-hungry leftists.
[00:32:30.715 --> 00:32:33.276]  I don't care where you go to church or synagogue.
[00:32:33.676 --> 00:32:34.757]  I'm not your slave!
[00:32:34.997 --> 00:32:36.418]  And I'm not associated with Hitler!
[00:32:36.878 --> 00:32:53.291]  And I almost don't exist because both my grandfathers almost died in World War II in the Army Air Corps, and I'm pissed off at you for you trying to put the identity of Hitler onto me when your leader, George Soros, literally suckled at the tits of Adolf Hitler!
[00:32:54.332 --> 00:32:56.254]  Rounding up and killing your people!
[00:32:56.274 --> 00:33:00.597]  And then you project your sick, freakish New World Order evil on me?
[00:33:00.617 --> 00:33:00.657]  No!
[00:33:02.532 --> 00:33:03.993]  How dare you divide people?
[00:33:04.173 --> 00:33:05.573]  How dare you try to hurt people?
[00:33:05.733 --> 00:33:07.194]  How dare you become Hitler?
[00:33:07.414 --> 00:33:11.156]  The ADL is Adolf A. Louis Hitler incarnate!
[00:33:11.496 --> 00:33:13.937]  I get mad at the social engineers.
[00:33:13.997 --> 00:33:23.741]  I get mad when I sit there and I read the WikiLeaks documents five, six years ago, where they talk about how they're going to use social engineering and social division and racism to control us.
[00:33:23.801 --> 00:33:24.601]  I mean, it's cold-blooded.
[00:33:25.802 --> 00:33:39.786]  Whether it's CNN, or whether it's ABC News, or whether it's NBC News, or whether it's the ADL, or whether it's the colleges, it's all the Carnegie Endowment, it's the Ford Foundation, it's the Rockefeller Foundation, it's Bill and Melinda Gates, they want division.
[00:33:40.166 --> 00:33:50.609]  And then they pose as the warden of the prison, once they've divided us into racial groups, and they quote, take control of our lives as the arbiter, as the referee.
[00:33:51.810 --> 00:33:54.010]  And we need to wake up to it, and say no.
[00:33:54.071 --> 00:33:55.391]  But you know, it's pretty offensive.
[00:33:58.123 --> 00:34:01.366]  To sit there and say the ADL is Adolf A. Louis Hitler.
[00:34:02.647 --> 00:34:13.275]  But Hitler censored, and Hitler tried to take people's bank accounts away, and Hitler called the rest of his opposition, and Hitler based things on race, and that's what the ADL does now.
[00:34:14.176 --> 00:34:24.564]  I mean, if you actually take the policies and things they stand for, and what they want, man, they're closer to Hitler than they are to the average American.
[00:34:26.095 --> 00:34:29.457]  Think about how they teach in schools that being white is inherently evil.
[00:34:29.497 --> 00:34:32.099]  We have the manuals, we have the training, you see it all over the news.
[00:34:33.560 --> 00:34:36.422]  That is the opposite of what Martin Luther King said.
[00:34:37.163 --> 00:34:47.730]  Martin Luther King was over here, here's a diagram, on one side saying, don't judge somebody according to what color they are, but according to their deeds.
[00:34:48.951 --> 00:35:00.870]   And then on the opposite side over here, you've got Hitler saying, only judge somebody off of Their background, what color they are, what their genetic makeup is.
[00:35:01.711 --> 00:35:06.272]  Don't give somebody the potential to try to do greater things.
[00:35:06.552 --> 00:35:08.133]  Just say they're subhuman.
[00:35:09.073 --> 00:35:10.234]  So Martin Luther King Jr.
[00:35:10.254 --> 00:35:12.875]  said, judge people on the character of their deeds and what they stand for.
[00:35:13.455 --> 00:35:14.995]  Again, I've used this analogy a thousand times.
[00:35:15.075 --> 00:35:15.435]  It's true.
[00:35:16.036 --> 00:35:22.078]  I don't care who owns a restaurant or what color they are, as long as the food's delicious and healthy.
[00:35:23.467 --> 00:35:30.309]  I don't care who's playing the music, whether they're an Arab, or whether they are a Jew, or whether they're black, or white, or Asian.
