[00:00:00.269 --> 00:00:02.130]  The power structure is not completely unified.
[00:25:09.987 --> 00:25:35.746]   And then we told you this over a decade ago, but it's now come out mainstream news that The CIA and FBI here domestically, and their counterparts in places like the UK and the EU, directly involve surveilling populists, conservatives, liberals, they don't care, anti-war folks, people that question the Afghan withdrawal, people that question election fraud, lockdowns, forced injections.
[00:25:36.667 --> 00:25:40.088]  As Biden said in that report he put out as the new U.S.
[00:25:40.108 --> 00:26:00.733]   directive for law enforcement and the military and the CIA, That anyone questioning elections, anyone questioning open borders, anyone questioning lockdowns, anyone questioning forced injections, now they've added the list, questioning the withdrawal, questioning the Ukraine war, that's in the news last week, is a terrorist.
[00:26:03.295 --> 00:26:05.897]  And now I have a big stack of articles here we'll go over.
[00:26:09.105 --> 00:26:23.939]  In major publications with CIA officers saying we need to take the gloves off, just like we did with radical Islam, that they actually fund, and go after people domestically as terrorists for their views.
[00:26:26.381 --> 00:26:27.042]  Overhead shot?
[00:26:27.382 --> 00:26:30.405]  I'll show some people some of the documents, then we'll go to David Icke, it just happened to him.
[00:26:31.843 --> 00:26:35.104]  I've been patient zero for de-platforming, de-banking, loss of demonization.
[00:26:35.984 --> 00:26:42.406]  Now, David Icke's been singled out for the next level, declaring someone a terrorist in an official EU document.
[00:26:44.566 --> 00:26:44.967]  U.S.
[00:26:45.067 --> 00:26:48.768]  COVID response tampered by National Security Council, run by the Pentagon.
[00:26:48.948 --> 00:26:49.768]  Mainstream news.
[00:26:52.649 --> 00:26:55.509]  We're going to be getting to all of that coming up.
[00:26:55.569 --> 00:26:57.590]  It ties into Operation Lockstep.
[00:26:58.766 --> 00:27:02.008]  From 2011, run by the Rockefeller Foundation.
[00:27:03.329 --> 00:27:06.911]  And here's even the NIH saying the U.S.
[00:27:06.931 --> 00:27:09.273]  Department of State is policing the population.
[00:27:10.053 --> 00:27:11.694]  They're going to use viruses for control.
[00:27:11.754 --> 00:27:13.075]  That's the government itself.
[00:27:15.256 --> 00:27:18.178]  And it goes on and on and on.
[00:27:18.218 --> 00:27:22.858]   And that ties in To the big event that just happened to David Icke.
[00:27:23.198 --> 00:27:26.680]  David Icke, banned from European Union countries for two years.
[00:27:27.601 --> 00:27:29.462]  That's how terrified the cult is of him.
[00:27:29.963 --> 00:27:31.844]  They went on to list him as a Level 3 terrorist.
[00:27:31.904 --> 00:27:34.506]  There's a transcript at davidicke.com of it.
[00:27:35.027 --> 00:27:36.408]  We went and transcribed it ourselves.
[00:27:36.428 --> 00:27:37.989]  We believe David, but we wanted to have it ourselves.
[00:27:38.509 --> 00:27:43.053]  And indeed, from the EU via the Netherlands, they say, you question government.
[00:27:43.953 --> 00:27:45.294]  You say that we are tyrants.
[00:27:45.474 --> 00:27:46.235]  That's not allowed.
[00:27:46.275 --> 00:27:47.416]  You're a Level 3 terrorist.
[00:27:49.383 --> 00:27:54.964]  Deep State Operative Argues to Use Shame Technologies Using as Radical Islam to Take Down Conservative Americans.
[00:27:55.325 --> 00:27:56.025]  Gateway Pundit.
[00:27:56.205 --> 00:27:57.325]  And here's the actual article.
[00:27:57.725 --> 00:28:02.726]  Fox News, Former CIA Intelligence Officer Suggests Using Counterterrorism Strategies Against Right-Wing Americans.
[00:28:03.106 --> 00:28:05.947]  It's already been going on.
[00:28:07.548 --> 00:28:12.249]  Remember Domesticate Parents at the School Board Meetings over Critical Race Theory and Transgenderism?
[00:28:14.069 --> 00:28:15.490]  Turned out the Justice Department ran that.
[00:28:15.510 --> 00:28:16.810]  It wasn't a request of the schools.
[00:28:18.284 --> 00:28:19.450]  That's what we're talking about!
[00:28:21.175 --> 00:28:27.760]  With David Icke, and how it ties in to the Disinformation Governance Board, they claim that they shut down.
[00:28:27.840 --> 00:28:35.145]  No, it's still operating, and they say in their own documents that we covered last week, it's illegal what they're doing, but they've got to keep it secret.
[00:28:35.826 --> 00:28:41.610]  And so, the think tanks, it says the ADL, they name them, give them the government order.
[00:28:42.211 --> 00:28:55.946]   Then the government creates a secret government order that's illegal, and then has the ADL tell, along with a handful of other think tanks, And watchdog groups and fact checkers, what big tech and the media does.
[00:28:56.346 --> 00:29:00.127]  I mean, this is Chinese Communist level.
[00:29:00.527 --> 00:29:03.428]  So David Icke joins us to talk about this historic event.
[00:29:04.148 --> 00:29:11.550]  And I don't want to say I'm envious or jealous, but he's I mean, you know how dangerous somebody is to the cult, as he calls them, by how much they're attacked.
[00:29:11.570 --> 00:29:12.911]  Well, this is a new level.
[00:29:14.011 --> 00:29:16.754]  Three years ago, Zuckerberg said, I'm the most banned person in the world.
[00:29:17.034 --> 00:29:24.641]  He said, I'm now what you call a dangerous person, and that violence is allowed to be called for against me, but no one is allowed to say anything positive.
[00:29:24.681 --> 00:29:26.083]  That's the actual rules of Facebook.
[00:29:26.483 --> 00:29:28.685]  Well, David Icke has now reached a level above that.
[00:29:29.026 --> 00:29:30.527]  He's listed as a terrorist, a Type 1.
[00:29:31.912 --> 00:29:40.016]  ...tries to blow up or shoot people for political aims, and Type 2 supports them, but Type 3 just says bad things about the system and encourages terrorists.
[00:29:40.397 --> 00:29:44.058]  Well, under that rubric, all of us are terrorists, aren't we?
[00:29:44.379 --> 00:29:46.480]  David Icke of DavidIcke.com, the iconic...
[00:29:47.140 --> 00:29:57.523]  A long-time top broadcaster in the UK, until he had his epiphany in the early 90s, then became the greatest challenger of the cult, along with myself, since then, but he's been around longer than I have.
[00:29:57.543 --> 00:30:01.744]  We're kind of the two-headed monster, according to the New World Order, and he joins us now.
[00:30:01.844 --> 00:30:11.707]  David, you are now officially listed as a Type 3 terrorist, because you said the government is authoritarian, which they're proving they are.
[00:30:11.947 --> 00:30:12.667]  Thank you for joining us.
[00:30:13.973 --> 00:30:14.873]  Hello Alex.
[00:30:14.954 --> 00:30:27.640]  Well the thing is that what kind of level of moron does it take for you to say things about what's happening and what the plan is?
[00:30:28.580 --> 00:30:37.505]  For those things to then unfold in front of people's eyes and they then say it's a conspiracy theory.
[00:30:37.765 --> 00:30:46.154]   I mean the level of moron needed to process that into a conclusion Is just beyond my imagination.
[00:30:46.854 --> 00:30:57.921]  What happened, Alex, is that I was asked to go and speak, wait for it, at a peace rally in Amsterdam, which I was very happy to do.
[00:30:58.762 --> 00:31:00.903]  And this is the sequence that happens.
[00:31:00.923 --> 00:31:05.967]  It's the same sequence that led to me being banned from Australia in 2019.
[00:31:07.428 --> 00:31:10.650]  First of all, you're invited to speak, okay?
[00:31:11.582 --> 00:31:19.946]  And then you get usually an ultra-Zionist organization, in this case an organization called CIDI.
[00:31:20.666 --> 00:31:24.668]  In Australia it was one called the Anti-Defamation Commission.
[00:31:25.208 --> 00:31:35.013]  These are man-and-a-dog organizations and they start kicking off that you're going to say this and you're going to say that when you're actually not going to say it and they bloody well know it.
[00:31:35.813 --> 00:31:45.263]   And what happens then is the media pick it up and in the Netherlands The entirety of the media went absolutely off their heads.
[00:31:45.283 --> 00:31:57.519]  It was everywhere, television, radio, national newspapers, that this anti-Semite was going to come and speak in Amsterdam.
[00:31:58.643 --> 00:32:01.004]  What happens then is the morons kick in.
[00:32:01.224 --> 00:32:02.865]  These are the WOKER morons.
[00:32:03.445 --> 00:32:06.986]  These are the anti-fascist fascists and the anti-hate haters.
[00:32:07.606 --> 00:32:13.148]  They kick off and they say, we've got to stop this because we're anti-fascist.
[00:32:13.608 --> 00:32:16.269]  Right, OK, look in the mirror if you want to see a fascist mate.
[00:32:16.909 --> 00:32:22.931]  And then the government come in and the politicians, of course, desperate to virtue signal.
[00:32:23.743 --> 00:32:28.173]  They say, oh yes, we mustn't have this man, he's spewing hatred of evidence.
[00:32:28.334 --> 00:32:28.614]  Evidence?
[00:32:28.634 --> 00:32:30.599]  We don't need evidence, you're spewing hatred.
[00:32:31.309 --> 00:32:41.717]  And then the government in general, the Netherlands government, and this happened in Australia, they said we've got to stop this man in some way or other.
[00:32:41.877 --> 00:32:42.777]  David, stay there.
[00:32:42.837 --> 00:32:44.478]  I went to you late because I wanted to set this up.
[00:32:44.498 --> 00:32:46.780]  You'll have plenty of time next hour and next segment.
[00:32:46.800 --> 00:32:47.280]  Stay there.
[00:32:48.021 --> 00:32:49.002]  Give me the floor when we come back.
[00:32:49.022 --> 00:32:52.804]  But I want to just preface it because what you just said is exactly what they do here and everywhere else.
[00:32:53.405 --> 00:32:56.646]   The ADL group Really runs the government, literally.
[00:32:56.846 --> 00:32:57.587]  It's in the documents.
[00:32:58.087 --> 00:33:02.208]  They then go create the complaint in the media and the government responds.
[00:33:02.468 --> 00:33:06.088]  But in the documents, it's really the ADL ordering the government to do it.
[00:33:06.108 --> 00:33:09.049]  Then they have the ADL make the complaint and the government makes the order.
[00:33:09.329 --> 00:33:10.749]  We'll be right back with David Icke.
[00:33:10.769 --> 00:33:11.930]  I mean, it's in the documents, folks.
[00:33:12.390 --> 00:33:13.270]  It's the ADL.
[00:33:13.330 --> 00:33:15.950]  I mean, they literally are the thought police.
[00:33:16.070 --> 00:33:16.791]  So dangerous.
[00:33:17.131 --> 00:33:19.191]  Closest things to Nazis in our lifetimes.
[00:33:19.431 --> 00:33:19.911]  We'll be right back.
[00:33:20.971 --> 00:33:23.292]  Welcome back to live coverage.
[00:33:25.031 --> 00:33:36.675]  Going through past midnight tonight with Steve Bannon, Roger Stone, Owen Schroyer, Robert Barnes, so many others, Ali Alexander in studio right through midnight tonight.
[00:33:36.695 --> 00:33:38.695]  I'm going to be up here from like 6.30 on through midnight.
[00:33:38.755 --> 00:33:42.036]  I'm going to be here obviously till past two o'clock today.
[00:33:42.276 --> 00:33:45.377]  Mike Adams is going to be coming in as well, so much more.
[00:33:45.417 --> 00:33:49.999]  But what David Icke is telling you is the future under the Global Social Credit score for everybody.
[00:33:50.359 --> 00:33:52.820]  He's been listed as a quote level three terrorist of the EU.
[00:33:53.988 --> 00:33:56.510]  Banned from going to a peace rally.
[00:33:57.451 --> 00:33:59.793]  Obviously he's not anti-Semitic, he's not anti-human in any way.
[00:34:00.274 --> 00:34:01.235]  All completely made up.
[00:34:01.275 --> 00:34:07.880]  So how this works is, globalist bodies create the policy, the WEF says we're going to censor all opposition, puts out policy papers.
