[00:00:00.333 --> 00:00:01.674]  So it's all official.
[00:28:06.699 --> 00:28:08.382]  Degenerate pedophile society.
[00:28:08.542 --> 00:28:11.706]  I mean, this is modern warfare, ladies and gentlemen.
[00:28:12.366 --> 00:28:17.086]   And it is psychic and it is chemical and it is biological and it is economic and it is spiritual.
[00:28:17.086 --> 00:28:29.486]   I want to get back into what's currently happening and how I think we can stop it
[00:28:29.486 --> 00:28:31.807]  and what's going to happen if we don't stop it.
[00:28:32.000 --> 00:28:55.906]   And the indescribable hell that I'm going to try to lay out for you when I talk about this Is really hard for me to say because you folks know that I've told you a lot of things that came true exactly like I told you and I can see very very clearly what this is gonna look like and It's it's hard for a full-grown pretty tough man to deal with okay So I want but I want you to understand.
[00:28:55.986 --> 00:28:56.406]  It's better.
[00:28:56.446 --> 00:29:01.428]  You know about all this and better you be ready for this They're gonna hit the US with bioweapons.
[00:29:01.448 --> 00:29:13.564]   They're gonna basically try to kill everybody and And the people that have taken the shot have been given the binary weapon where they'll be basically knocked completely over and almost all of them will die when they get hit with the next phase.
[00:29:14.385 --> 00:29:16.368]  And man, it's really sad to know that.
[00:29:16.408 --> 00:29:18.330]  And I don't like to even say stuff like that on air.
[00:29:19.511 --> 00:29:21.193]  Because it's so horrible, but it's true.
[00:29:22.657 --> 00:29:24.117]  There might be some mitigating factors.
[00:29:24.137 --> 00:29:27.699]  There's some science on that about why people can detox from the spike proteins.
[00:29:27.759 --> 00:29:33.220]  But the spike protein prions, the crystals growing in your body, the mad cow growing in your body, it's what it is.
[00:29:33.460 --> 00:29:35.641]  It's an AIDS splice with mad cow.
[00:29:36.901 --> 00:29:38.322]  HIV with mad cow.
[00:29:40.182 --> 00:29:41.023]  Who could come up with that?
[00:29:41.082 --> 00:29:52.402]   these people. But hell, we abort babies and say they're not humans and then keep
[00:29:52.402 --> 00:29:55.681]  them alive now and harvest their organs.
[00:29:53.739 --> 00:29:55.781]  So I guess this is just judgment.
[00:29:56.742 --> 00:29:59.044]  But you know, my four-year-old daughter, she doesn't deserve this.
[00:29:59.064 --> 00:30:04.109]  I'm going to do everything I can to try to stop this or try to do whatever I can.
[00:30:04.129 --> 00:30:06.111]  But let me talk about staying on air.
[00:30:07.418 --> 00:30:10.020]  We can stop this dollar collapse if there's a global awakening.
[00:30:10.040 --> 00:30:11.720]  We understand how we've been maneuvering towards collapse.
[00:30:11.921 --> 00:30:15.343]  And we can stop the race war they're trying to start by exposing it, which we've been doing.
[00:30:15.363 --> 00:30:23.847]  And we can stop and get the majority of folks not to take the deadly shot if we keep exposing that whole program, which we've done a great job, you've done a great job of fighting.
[00:30:24.068 --> 00:30:26.969]  And their whole COVID rollout did not go half as well as they wanted.
[00:30:27.309 --> 00:30:28.110]  Still devastating.
[00:30:28.550 --> 00:30:33.153]  But we gave them a good run for their money and we're in the fight.
[00:30:34.417 --> 00:30:42.164]  And I can't forget as serious and as bad as things are to remind you that you've got to spread the word to people and that's more important than ever.
[00:30:42.244 --> 00:30:50.491]  So spreading the word so people know what's about to hit them and what's happening so they don't get manipulated to serve the globalists against us is key.
[00:30:51.171 --> 00:30:55.435]  Plus God wants you to tell the truth and help people towards the knowledge and the light.
[00:30:56.516 --> 00:30:59.539]  You've got to get ready with your family and friends and others for what's going down.
[00:30:59.599 --> 00:31:00.399]  You've got to get prepared.
[00:31:01.040 --> 00:31:01.841]  That's number two.
[00:31:03.126 --> 00:31:13.929]  And then, again, you've got to keep outlets on air that have built an independent system better than anybody else's out there, more redundant than anybody else's out there, because we've been on the front lines.
[00:31:13.949 --> 00:31:16.209]  We had to, by necessity, as Infowars.
[00:31:16.689 --> 00:31:18.710]  And that doesn't mean they can't shut us down just like that.
[00:31:19.710 --> 00:31:23.191]  But we're in the best position, and there's not just evil in the world.
[00:31:23.551 --> 00:31:24.111]  God's there.
[00:31:24.171 --> 00:31:25.171]  God's real as well.
[00:31:25.571 --> 00:31:27.612]  And God's more powerful than this evil, infinitely.
[00:31:27.652 --> 00:31:31.353]  But we have to take a step in the right direction, and God's going to lead us the rest of the way.
[00:31:33.168 --> 00:31:33.729]  Here's where we are.
[00:31:35.150 --> 00:31:39.253]  If you hadn't bought the last 1776 coin, I would have had to lay off like 20 people.
[00:31:39.714 --> 00:31:45.059]  That last coin funded us and our underages of the last four or five months.
[00:31:45.919 --> 00:31:46.640]  Well, three or four months.
[00:31:47.841 --> 00:31:51.945]  And we've done a lot of other stuff with sponsors and things to be almost breaking even.
[00:31:51.965 --> 00:31:54.267]  We're a couple hundred thousand a month behind right now.
[00:31:55.871 --> 00:32:04.718]  And so I'd ask everybody to go to infowarestore.com and get t-shirts, get books, get films, buy some of the supplements, particularly those that have never supported the broadcast, but tune in routinely.
[00:32:05.039 --> 00:32:06.280]  You need to get skin in the game.
[00:32:06.640 --> 00:32:08.041]  And really, God wants to see that.
[00:32:08.061 --> 00:32:15.528]  Whether you go to a demonstration, or whether you start praying more, or whether you support us financially, you need to not just be a spectator, you need skin in the game.
[00:32:15.868 --> 00:32:17.129]  That's how this metaphysically works.
[00:32:17.149 --> 00:32:21.753]  So I'm challenging those that have been on the fence about going to infowarestore.com and buying products to do it.
[00:32:23.214 --> 00:32:41.114]  Also, we have the second coin in a three-part series, and if we're still on the air in a year or even a few months, we're going to do a lot of special things for folks that are members that sign up, and if you want to give us the email or not, you want to just support us and keep us on air, that's fine, but founding members are helping fund, obviously, other infrastructure and things we're doing.
[00:32:41.895 --> 00:32:43.836]  That I'm not going to give out so the enemy's aware of it.
[00:32:44.436 --> 00:32:49.558]  So we need all three coins to be sold at the cost they're at to complete this mission.
[00:32:49.998 --> 00:32:51.879]  So this is your mission if you choose to accept it.
[00:32:52.399 --> 00:32:54.720]  This is a real piece of history no matter what happens to us.
[00:32:55.120 --> 00:33:03.823]  These are beautiful coins that I designed with a great designer and again there are only a few hundred as we held back of the George Washington coin and we've now offered those at 1776coin.com.
[00:33:03.843 --> 00:33:15.933]   Those are selling out and We have this new coin that we've already sold 2,500 of in one day, and we'll sell out by next week of this coin.
[00:33:15.993 --> 00:33:16.574]  Praise God.
[00:33:17.295 --> 00:33:26.725]  So if you want the Tree of Liberty, Thomas Jefferson quote coin, Tree of Liberty on one side, a skull on the other, symbolizing those that paid with their lives for freedom right now.
[00:33:28.337 --> 00:33:38.396]  You need to get the coin at 1776coin.com and that will keep us in attack formation in the InfoWar to give it 110% straight into this operation.
[00:33:38.436 --> 00:33:45.948]   So, InfoWarStore.com Or 888-253-3139 or 1776coin.com.
[00:33:45.968 --> 00:33:54.074]  And I want to thank all of you for coming through again and keeping us on air, because without you we would have already been shut down.
[00:33:54.134 --> 00:33:57.937]  But your strength is just incredible, and so I salute you from the bottom of my heart.
[00:33:58.638 --> 00:34:04.682]  America betrayed the process of the destruction of the U.S.
[00:34:04.722 --> 00:34:25.697]   dollar, the last real power this country had, the most important economic The only card we had left, the Ace of Spades, the most powerful card you can have in the world, is not nuclear weapons, not biological weapons, not chemical weapons.
[00:34:25.797 --> 00:34:30.100]  It's your currency being the currency of the world.
[00:34:31.440 --> 00:34:35.883]  Because then you can print basically almost unlimited amounts of money.
[00:34:37.321 --> 00:34:52.033]  And it will cause slow inflation over time, but it will give the people that can issue that fiat currency power to use that money to buy up infrastructure, and to buy up academia, and to buy up media, and to totally control society.
[00:34:53.374 --> 00:35:04.816]   But, the Federal Reserve takeover by private families in Europe, the US, and England, It was 100 years old in 2013.
[00:35:04.856 --> 00:35:11.221]  Now it's well over 100 years old.
[00:35:11.241 --> 00:35:48.734]   It's 109 years old and so it's time for that system to go away as the very same banking families accelerate the devaluation, buying up real infrastructure, passing on to us the inflation, passing on to us the devaluation, Passing on to us the crime and poverty that they think they're insulated from, as they prepare to move to the new global digital currency based on the communist Chinese social credit score that was actually built by Google and the globalists.
[00:35:50.015 --> 00:36:09.051]   And so to make people go to that, they've got to get China and Russia and India and others, which has now happened in just the last month, officially today, signing on to buy oil, not in dollars, but in an exchange
[00:36:09.051 --> 00:36:22.122]  of rupees, yon, rubles.
[00:36:22.122 --> 00:36:24.602]  And that is the globalist takeover.
[00:36:24.662 --> 00:36:29.626]  That is America completely crippled down to its knees.
[00:36:30.643 --> 00:36:33.584]  Have you tried to describe what the end of dollar hegemony means?
[00:36:33.684 --> 00:36:36.624]  I mean, it's just, it's unspeakable.
[00:36:37.384 --> 00:36:39.004]  Bare minimum hyperinflation.
[00:36:42.465 --> 00:36:44.425]  Loss of confidence in US companies.
