[00:00:00.409 --> 00:00:01.650]  So I am in anguish.
[00:27:31.543 --> 00:27:36.185]   My pain It's not being with my family and fishing and hiking and hunting.
[00:27:37.086 --> 00:27:38.767]  My pain is seeing innocent people hurt.
[00:27:39.347 --> 00:27:47.554]  My pain is seeing our beautiful world destroyed and taken over by the biochemical, alchemical scientists of the New World Order.
[00:27:48.174 --> 00:27:59.182]  And seeing our fellow humans who've fallen to this demonic evil, snickering and laughing at us like gremlins, because we dare try to save them and save ourselves in the process.
[00:28:00.942 --> 00:28:06.246]  If the New World Order thinks it's getting to me with all these fake lawsuits and rigged courts, they are.
[00:28:07.067 --> 00:28:14.052]  In that it distracts me from the work we're doing here on air and the world-changing things we've done together.
[00:28:14.732 --> 00:28:15.593]  You're not an audience.
[00:28:16.194 --> 00:28:25.741]  You are the energy and you are the arms and legs and guts and blood and bone and mind and eyes and intellect and spirit and soul and will of the pro-human resistance.
[00:28:27.540 --> 00:28:28.781]  So I am in anguish.
[00:28:29.081 --> 00:28:29.982]  I am in torture.
[00:28:30.423 --> 00:28:31.364]  I am in pain.
[00:28:32.164 --> 00:28:32.965]  I am upset.
[00:28:33.225 --> 00:28:36.528]  I am having nightmares over the destruction of our species.
[00:28:37.009 --> 00:28:44.035]  Not over the fact that I am trying to fight these people and they know they just kill me outright or put me in prison outright.
[00:28:44.456 --> 00:28:45.757]  That would turn me into a bigger martyr.
[00:28:45.977 --> 00:28:52.904]  So they think setting me against dead kids in a rigged trial of lies where we can't even defend ourselves and where the judge already says we're guilty.
[00:28:53.504 --> 00:29:01.946]  They think that's the only way they can then demonize the archetypal resistor, the archetypal populist who's fighting them.
[00:29:02.406 --> 00:29:08.328]  But the result is the vast majority of people have absolutely seen through it.
[00:29:08.888 --> 00:29:33.208]   So the Democrats and their lawyers and their controlled corrupt judges can sit there and pretend in their little rotting bubbles of the collapsing dinosaur media and the collapsing judiciary and the collapsing economy that they're beating me When I have already made the decision to do this mission, whether I get killed, put in prison, tortured, made homeless, that means nothing to me!
[00:29:34.858 --> 00:29:40.641]  People that love football or basketball or baseball like I did growing up, I would get so upset when my team lost.
[00:29:40.721 --> 00:29:48.966]  I would get so upset when things like... And then finally as I learned about the world and history, I was like, I'm a fool to care about this.
[00:29:49.486 --> 00:29:52.108]  Not that it's bad to watch sports, but it's bad to make it your top thing.
[00:29:52.968 --> 00:30:06.596]   And so when I see unborn children being killed, and six-month-old babies being given experimental shots, and five-year-olds being tricked by public schools that they're really a girl and signing up when they're 10 to have their testicles chopped off, And their penis is cut off.
[00:30:08.477 --> 00:30:12.979]  I take that personally, because I have empathy, because I know it's happening to all of us.
[00:30:13.119 --> 00:30:14.380]  I'm connected to everyone.
[00:30:15.580 --> 00:30:17.661]  So if the New World Order wants to hurt me, you have.
[00:30:19.202 --> 00:30:32.649]  And I can see that the horrible things that have been done to me, that I haven't even talked about on air, horrible, horrible things, I'm not a victim, I asked for this, I got in the arena, are hundreds of times worse than taking every dime I've got away.
[00:30:34.398 --> 00:30:37.541]  I don't want to be totally destroyed and not be able to keep our operation going.
[00:30:37.581 --> 00:30:41.765]  I want to keep our great crew employed, and we're doing such great work.
[00:30:42.226 --> 00:30:44.288]  But whatever happens, it's in God's plan.
[00:30:45.849 --> 00:30:49.293]  But I want people to really get their priorities straight right now.
[00:30:50.632 --> 00:30:52.433]  And ask yourselves, what are your priorities?
[00:30:52.473 --> 00:31:05.298]  Because there is a corporate, world government, anti-human, transhumanist, AI takeover happening of the planet right now that sees all of us as obsolete and says that their plan is to get rid of 90% of us at least.
[00:31:06.519 --> 00:31:08.080]  So to me, that's front and center.
[00:31:10.261 --> 00:31:18.444]  If aliens were attacking and blowing up our major cities, would I care if I lost money in the stock market?
[00:31:18.624 --> 00:31:19.365]  And the answer is no.
[00:31:20.339 --> 00:31:21.100]  That's the same thing.
[00:31:21.160 --> 00:31:27.469]  So the people in the system are what I call suicide bankers.
[00:31:28.070 --> 00:31:29.231]  And that happened on 9-11.
[00:31:29.251 --> 00:31:30.013]  We've talked about it a lot.
[00:31:30.053 --> 00:31:30.573]  It's on record.
[00:31:30.613 --> 00:31:30.974]  It happened.
[00:31:31.575 --> 00:31:35.620]  Hundreds of men and women, mainly men, stayed in the towers as they burned smoking.
[00:31:36.536 --> 00:31:42.057]  Because there was such a panic going on, they were making millions of dollars, in some cases, a minute, individually.
[00:31:42.117 --> 00:31:50.159]  Some people, one guy made $45 million while he stayed in the tower for 30 minutes before it collapsed, and his wife got the money, but he died!
[00:31:52.540 --> 00:32:06.082]   Well, I'm not one of these lawyers or bankers or FBI people or media people that That go along with all of this feeling like they're on a winning team.
[00:32:06.362 --> 00:32:08.827]  You're not on a winning team serving the enemy.
[00:32:10.350 --> 00:32:14.914]  I know InfoWars' greatest work is now in hand, but I can't continue to do without your support.
[00:32:14.934 --> 00:32:27.385]  So thank you for your word of mouth, thank you for your prayer, and you should go to InfoWarsTore.com to get really high-quality supplements and products that boost your immune system and make you a healthier, better person and fund our operation.
[00:32:27.665 --> 00:32:31.048]  They attack us in court over, he sells supplements, yeah, so does Whole Foods.
[00:32:31.869 --> 00:32:33.291]  So does every other major grocery store.
[00:32:33.311 --> 00:32:34.512]  Because they work.
[00:32:35.253 --> 00:32:38.877]  But the point is, is that they're mad that we set up our own economy.
[00:32:39.118 --> 00:32:43.102]  They're so threatened by independent media that's pro-human, having its own infrastructure.
[00:32:43.523 --> 00:32:47.087]  So please continue to support that infrastructure at InfoWarsTore.com.
[00:32:47.728 --> 00:32:49.370]  Bottom Mineral Fusion's back in stock.
[00:32:49.670 --> 00:32:50.732]  Body's back in stock.
[00:32:51.889 --> 00:33:02.695]  Get an Alex Jones Was Right t-shirt while you're there.
[00:33:03.495 --> 00:33:07.137]  Get a book, get a film, get Alex's War that starts shipping today.
[00:33:07.177 --> 00:33:11.560]  By the way, that hits theaters in 20-something cities tonight, including Austin, Texas.
[00:33:12.220 --> 00:33:13.141]  Showing up in North Austin.
[00:33:14.269 --> 00:33:15.051]  One showing per night.
[00:33:15.071 --> 00:33:17.996]  If it sells out, they'll book it every day and then it'll spread from there.
[00:33:18.517 --> 00:33:19.679]  All of this is activism.
[00:33:19.799 --> 00:33:23.907]  All of this is the choices you make and what you decide to do in this fight.
[00:33:24.935 --> 00:33:28.558]  Infowarsstore.com or 888-253-3139.
[00:33:29.919 --> 00:33:38.906]  But all God wants from me is that I give it a hundred percent, do the best job I can, and then that will, in God's plan, be part of the larger mission.
[00:33:39.366 --> 00:33:46.212]  And I humbly accept that commission, and your commission as well as yours and listeners, and commit to you that we'll fight harder than we ever have.
[00:33:46.552 --> 00:33:48.394]  But right back with human supremacy.
[00:33:49.955 --> 00:33:54.716]   All right, yesterday, I did a impromptu.
[00:33:56.056 --> 00:33:59.017]  rant about how I'm a human supremacist.
[00:33:59.137 --> 00:34:00.397]  Now I believe in humanity.
[00:34:01.237 --> 00:34:03.437]  And how I love everyone of every race, color, and creed.
[00:34:03.457 --> 00:34:04.998]  We're one race made by God.
[00:34:05.578 --> 00:34:08.238]  Part of a larger plan that God has.
[00:34:08.258 --> 00:34:12.719]  And I read out of Genesis where God says we've been given dominion over the earth.
[00:34:12.799 --> 00:34:18.200]  And if you don't decide you have dominion, someone else is going to decide you're an animal and they have dominion over you.
[00:34:18.220 --> 00:34:19.200]  And that's what the globalists say.
[00:34:19.240 --> 00:34:20.020]  You don't have free will.
[00:34:20.360 --> 00:34:20.940]  You're an animal.
[00:34:20.980 --> 00:34:22.101]  But they know that's not true.
[00:34:22.401 --> 00:34:24.521]  They want you to subserve your will.
[00:34:25.041 --> 00:34:26.482]  And subserve your destiny to them.
[00:34:27.822 --> 00:34:28.803]  There are some of the headlines.
[00:34:28.843 --> 00:34:29.523]  It's all over the place.
[00:34:29.943 --> 00:34:33.025]  Alex Jones lies himself to Jesus in wild dystopian rant.
[00:34:35.486 --> 00:34:37.587]  Same type article headlines everywhere.
[00:34:39.988 --> 00:34:41.669]  This had nothing to do with court or any of it.
[00:34:42.029 --> 00:34:45.030]  InfoWars host begs judge to drop riot charges.
[00:34:45.050 --> 00:34:47.732]  I don't have any riot charges.
[00:34:48.552 --> 00:34:49.973]  Daily Beast is totally made up.
[00:34:50.553 --> 00:34:51.493]  I'm like Jesus.
[00:34:52.174 --> 00:34:52.354]  What?
[00:34:55.401 --> 00:34:57.842]  Go see the actual speech for yourself on Infowars.com.
[00:34:58.603 --> 00:35:01.924]  Alex Jones, the human supremacist legendary speech.
[00:35:01.944 --> 00:35:02.865]  Hear what I actually said.
[00:35:05.066 --> 00:35:12.029]  And that ties in to this whole transhumanist world that's being established.
[00:35:12.069 --> 00:35:31.251]   But the reason I went into this yesterday, and I'm going to explain more details of it right now, is because There is an organized design collapse of the infrastructure, the globalists admit, to force you onto their new system, they claim will be more sustainable and better, but it's not even a new system, it is extermination.
[00:35:31.832 --> 00:35:32.873]  This is a big deal.
[00:35:33.273 --> 00:35:34.334]  This is the biggest deal.
[00:35:34.654 --> 00:35:35.634]  This is the New World Order.
[00:35:35.915 --> 00:35:37.135]  This is their takeover plan.
[00:35:37.456 --> 00:35:45.221]  This is everything we've warned about, now writ large, now unfolding.
[00:35:47.267 --> 00:35:50.609]  And what prompted me to talk about this was a tweet a few days ago by Elon Musk.
[00:35:51.629 --> 00:35:53.730]  He said, a new philosophy of the future is needed.
[00:35:54.570 --> 00:35:57.432]  I believe it should be curiosity about the universe.
[00:35:58.452 --> 00:36:04.795]  Expanded humanity to become a multi-planet, an interstellar species to see what's out there.
[00:36:05.136 --> 00:36:08.137]  Yes, I totally agree with that statement.
[00:36:12.401 --> 00:36:14.263]  He said, this is compatible with existing religion.
[00:36:14.323 --> 00:36:16.907]  Surely God would want us to see creation.
