[00:00:00.289 --> 00:00:01.830]  End-of-the-world alert!
[00:27:00.544 --> 00:27:02.964]  And that's now completely out in the open.
[00:27:03.644 --> 00:27:14.208]  And so Ted Anderson is going to be joining us, the owner of the GCN Radio Network, that is one of the providers that puts us out on satellite, to tell you some of the stuff that's been going on the last few years behind the scenes you didn't know about.
[00:27:15.928 --> 00:27:17.408]  And this is the tip of the iceberg, folks.
[00:27:17.448 --> 00:27:18.229]  This is a war.
[00:27:20.563 --> 00:27:24.664]  I want to hit some news right now that dovetails with what's happening behind the scenes to us.
[00:27:25.805 --> 00:27:27.905]  And I want you to understand what's happened.
[00:27:27.925 --> 00:27:44.191]  They've weaponized the courts, they've weaponized all the different government bureaucracies and agencies, and they've weaponized the university students, and now even some high school students, into what you'd call a Soviet-style or Maoist-style spy grid.
[00:27:45.529 --> 00:27:48.591]  With fake companies and infiltrators and everything.
[00:27:48.832 --> 00:27:50.953]  And I've been up here trying to explain to you, this is a total war.
[00:27:52.034 --> 00:27:53.295]  What just broke in Politico?
[00:27:53.315 --> 00:27:55.416]  And they're very proud of it, like it's a good thing.
[00:27:56.357 --> 00:27:59.059]  You've heard how they're setting up capital police units all over the country.
[00:27:59.079 --> 00:28:02.061]  And with billions, two million dollars in funding.
[00:28:02.081 --> 00:28:02.982]  And you ask, how do they do that?
[00:28:03.002 --> 00:28:04.183]  It's not constitutional.
[00:28:04.623 --> 00:28:09.447]  Congress now creates its own executive agency, separate from the executive power of the presidency.
[00:28:10.123 --> 00:28:23.372]  That is operating now in all 50 states with $2 billion and sets up fake construction companies and home repair companies, that's what spies do, to get into your houses.
[00:28:25.433 --> 00:28:25.934]  Of course.
[00:28:26.454 --> 00:28:31.017]  And this is what I've had to enjoy.
[00:28:31.377 --> 00:28:32.878]  It's not the Capitol Police.
[00:28:32.898 --> 00:28:33.939]  I haven't had any issues with them yet.
[00:28:34.599 --> 00:28:36.561]  It's the other weaponized universities.
[00:28:36.841 --> 00:28:39.763]  The CIA through Georgetown University.
[00:28:41.354 --> 00:28:53.563]  Literally has sicked an army of over 10,000 Muslims that they brought in over the last few decades, run through the school and given degrees, and had intelligence badges enter after us.
[00:28:54.084 --> 00:28:55.525]  Brigades of Muslims!
[00:28:57.846 --> 00:28:59.868]  I mean, they've got their secret armies.
[00:29:00.008 --> 00:29:00.528]  They're ready.
[00:29:00.929 --> 00:29:01.249]  Okay?
[00:29:02.029 --> 00:29:04.932]  And they are targeting and preparing.
[00:29:04.972 --> 00:29:07.558]   They've got They've got a list of judges.
[00:29:07.618 --> 00:29:09.839]  They've got a list of good police captains.
[00:29:10.159 --> 00:29:12.020]  They've got all our numbers, folks.
[00:29:12.280 --> 00:29:14.220]  We're in a lot more trouble than you know, okay?
[00:29:14.240 --> 00:29:15.881]  A lot more trouble than you know.
[00:29:17.961 --> 00:29:26.583]  And they, like a military, have said, surrender and, you know, set things supposedly off the record that I don't think it's protected because I believe it's criminal.
[00:29:28.624 --> 00:29:29.084]  But we'll see.
[00:29:30.364 --> 00:29:33.105]  But they've certainly been off a lot more than they can shoot.
[00:29:34.833 --> 00:29:36.618]  But this is a real takeover.
[00:29:36.638 --> 00:29:38.323]  This country has bad cancer.
[00:29:39.265 --> 00:29:41.171]  This country has criminal authoritarianism.
[00:29:42.879 --> 00:29:45.421]  And the FBI is not going to do a damn thing about it.
[00:29:45.661 --> 00:29:47.042]  In fact, it's heavily involved in it.
[00:29:47.062 --> 00:29:59.171]  So this is just a criminal group working with multinational corporations, muscling in, using classic intelligence agency infiltration, disruption, espionage tactics against America.
[00:29:59.852 --> 00:30:01.493]  That's what cutting off the pipelines are.
[00:30:01.693 --> 00:30:03.014]  That's what imploding the borders are.
[00:30:03.034 --> 00:30:04.655]  That's what demoralizing the children are.
[00:30:04.855 --> 00:30:06.216]  That's what defunding the police is.
[00:30:06.457 --> 00:30:09.339]  This is what you do when you're taking a country down.
[00:30:11.812 --> 00:30:15.076]  And they want their people in before the big cyber attack they're going to launch.
[00:30:15.357 --> 00:30:17.339]  They want their people in before they launch big wars.
[00:30:17.980 --> 00:30:21.224]  And all of this is so they can emerge after the big war in control.
[00:30:23.307 --> 00:30:24.509]  We're a cursed nation now.
[00:30:25.570 --> 00:30:26.792]  We've lost the blessing of God.
[00:30:27.432 --> 00:30:28.434]  Let's just be honest about it.
[00:30:29.816 --> 00:30:40.885]   And The vast majority of people serving this system believe they're about to get this wonderful paycheck and positions of power in this new North America, Venezuela-style system.
[00:30:41.105 --> 00:30:42.405]  And of course, that's not what they're going to get.
[00:30:43.085 --> 00:30:48.085]   The group that always brings this thing to power is then the group that's actually put in prison or killed.
[00:30:48.085 --> 00:30:55.085]  Very, very sad, ladies and gentlemen.
[00:30:54.708 --> 00:30:56.469]  So I'll cover this next segment.
[00:30:57.666 --> 00:31:11.817]  Oh, the Inspector General opens an investigation into spying allegations against Capitol Police running around setting up fake companies around the country and infiltrating and spying on members of Congress.
[00:31:11.837 --> 00:31:25.398]   So we're going to come back and cover all of that in the next segment, but That's how this works, ladies and gentlemen, and that's where we are.
[00:31:25.699 --> 00:31:34.291]  We're going to go to break, come back with all of that, and we're going to have the latest with a special guest who's there with a convoy of truckers who's a reporter and a former Special Forces officer.
[00:31:35.436 --> 00:31:37.478]  Who has sources inside the military and police.
[00:31:38.179 --> 00:31:52.230]  And he said this weeks ago and now it's confirmed that they're planning to use the military Tiananmen Square style with riot police coming up in the next 48 hours against the peaceful convoy there that's trying to end the blockade of the COVID lockdowns.
[00:31:52.551 --> 00:31:53.972]  So they're blockade busters.
[00:31:54.012 --> 00:31:56.314]  They're not a blockade as Trudeau is saying.
[00:31:56.334 --> 00:31:59.036]  Everything Trudeau says is they're cutting off our medicine and our food.
[00:31:59.296 --> 00:32:00.397]  They're destroying our economy.
[00:32:00.597 --> 00:32:03.520]  That's what they've done for two years and now they don't like honking.
[00:32:04.918 --> 00:32:05.559]  That's coming up.
[00:32:05.619 --> 00:32:10.823]  But separately, here's a report out of the UK where it's even worse than it is here, but it's now starting here.
[00:32:11.123 --> 00:32:13.566]  Not its inflation, but the scarcity that comes with it.
[00:32:14.386 --> 00:32:24.135]  The people who go and shop at that Tesco, they rely on their petrol, they rely on their food, they rely on a lot of hardware goods for around the house and things as well.
[00:32:24.495 --> 00:32:28.579]  And these rises we're talking about right across the board.
[00:32:31.320 --> 00:32:32.781]  Yeah, absolutely, Eamon.
[00:32:32.801 --> 00:32:47.827]  Yeah, sorry to be the bearer of bad news on a Monday morning, but when the chairman of Tesco says something, it really matters because it's Britain's biggest supermarket and it employs around 300,000 people, making it Britain's biggest private sector employer.
[00:32:47.887 --> 00:32:54.669]  Now, John Allen has said the worst is yet to come in an interview yesterday with the BBC.
[00:32:54.789 --> 00:32:57.511]   He said that heating or eating Troubles them.
[00:32:57.531 --> 00:33:10.259]  He also pushed back at Jack Munro, the food poverty campaigner's claim that the basic goods in supermarkets, the basic staples like rice and pasta, are rising faster than inflation.
[00:33:10.299 --> 00:33:17.584]  He says that he can't speak for other supermarkets, but at Tesco, food inflation has remained at around 1% for the past three months.
[00:33:17.925 --> 00:33:23.088]  Food inflation, according to the British Retail Consortium, for all supermarkets, currently running at around about 2.7%.
[00:33:23.208 --> 00:33:26.891]   That's up 0.3% That's enough.
[00:33:26.991 --> 00:33:28.312]  Total BS.
[00:33:28.392 --> 00:33:31.935]  So the stores are empty, the prices are going up, but there's no inflation.
[00:33:33.676 --> 00:33:35.537]  But the worst is yet to come, but everything's okay.
[00:33:35.618 --> 00:33:37.579]  That's called double-think, that's called mind control.
[00:33:38.780 --> 00:33:40.942]  And it's happening all over the world right now.
[00:33:40.962 --> 00:33:42.303]  And the third world's starving to death.
[00:33:42.803 --> 00:33:46.346]  They're being organized by the UN to flood the United States.
[00:33:46.966 --> 00:33:54.032]  But we've got high-quality, storable food ready to ship to you right now at the lowest price you're going to find anywhere for quality food.
[00:33:55.194 --> 00:33:57.155]  Even the cheap crappy stuff isn't this inexpensive.
[00:33:57.175 --> 00:33:58.675]  People are greedy and put huge markups on it.
[00:33:59.455 --> 00:34:00.736]  Preparewithalex.com.
[00:34:01.316 --> 00:34:03.937]  Preparewithalex.com.
[00:34:04.757 --> 00:34:06.458]  Or you can simply call toll free, 888-253-3139.
[00:34:06.478 --> 00:34:06.758]  That's 888-253-3139.
[00:34:06.577 --> 00:34:17.177]   888-253-3139. That's 888-253-3139. PrepareWithAlex.com. And withalex.com.
[00:34:17.177 --> 00:34:20.296]   And when you go to preparewithalex.com, you can also find everything else.
[00:34:20.296 --> 00:34:25.337]   That's just a sublink to our main shopping cart, info or store.com.
[00:34:25.576 --> 00:34:27.978]  So find it all at InfowarsStore.com, PrepareWithAlex.com.
[00:34:28.419 --> 00:34:33.422]  The 25% off deal is unprecedented, haven't done it in four years, and it ends on February 13th.
[00:34:34.003 --> 00:34:38.186]  And unlike other big food sellers that make you wait weeks or months, no, these folks ship right out to you.
[00:34:38.466 --> 00:34:39.647]  PrepareWithAlex.com.
[00:34:39.687 --> 00:34:40.508]  Get ready while you still can.
[00:34:41.128 --> 00:34:46.473]  Again, you remember two years ago, I started telling you over and over again, you need to get storable food because of inflation.
[00:34:46.993 --> 00:34:57.826]   That's one way to beat inflation, is to get high quality storable food that lasts decades, but is really delicious and healthy, so that you could Beat inflation.
[00:34:57.906 --> 00:35:02.067]  That's one of the best ways to do it, is storable food if you know you're going into an inflationary period.
[00:35:02.407 --> 00:35:07.628]  Plus you've got the food lines, you've got the breakdowns of the supply chain that are only getting worse around the world.
[00:35:08.208 --> 00:35:10.929]  It is a no-brainer to do that at preparewithalex.com.
[00:35:11.269 --> 00:35:15.910]  But I'm just thinking back to how dead-on we've been about all this, and how I wish this wasn't the case.
[00:35:15.970 --> 00:35:19.430]  Now, here's a great example of how the media dials things back.
[00:35:20.170 --> 00:35:23.731]  When it's having to report on something the establishment has done.
[00:35:25.879 --> 00:35:28.561]  Look at this Daily Mail headline, and almost no one else picked this up.
[00:35:30.983 --> 00:35:37.529]  Russia makes a fool of Macron by denying that Putin agreed on Ukraine deal despite claims.
