[00:00:00.229 --> 00:00:01.151]  Welcome to GCN.
[00:23:25.541 --> 00:23:26.542]  That's 70% less than our competitors.
[00:23:29.164 --> 00:23:32.346]  You could buy three Survival Seed Vaults for less than one of theirs.
[00:23:32.567 --> 00:23:39.031]  The Survival Seed Vault from MyPatriotSupply.com includes detailed planting and seed saving instructions and ships same day.
[00:23:39.192 --> 00:23:41.834]  Plus, all orders over $49 ship free.
[00:23:42.034 --> 00:23:45.676]  MyPatriotSupply.com is American owned by patriots like you.
[00:23:45.917 --> 00:23:47.658]  Passionate about freedom and preparedness.
[00:23:47.918 --> 00:23:51.620]  Call now 866-229-0927.
[00:23:51.780 --> 00:23:53.100]  That's 866-229-0927.
[00:23:53.281 --> 00:23:59.784]  Or discover more emergency preparedness items when you order at MyPatriotSupply.com.
[00:23:59.924 --> 00:24:00.884]  Choose the original.
[00:24:01.004 --> 00:24:04.566]  Choose the Survival Seed Vault at MyPatriotSupply.com.
[00:24:14.266 --> 00:24:15.867]  Monday through Friday, 12 noon to 3 p.m.
[00:24:15.887 --> 00:24:16.288]  We're here.
[00:24:16.828 --> 00:24:19.751]  Back weeknights, 7 o'clock central, in Full Wars Nightly News.
[00:24:19.791 --> 00:24:21.873]  Back Sundays, 4 to 6, with a live radio show.
[00:24:21.893 --> 00:24:22.813]  We'll be live this Sunday.
[00:24:23.814 --> 00:24:25.336]  Okay, um, wow.
[00:24:27.748 --> 00:24:29.269]  I mentioned this report yesterday.
[00:24:29.369 --> 00:24:45.974]  Al-Qaeda link grouped Syrian rebels once denied now key to anti-Assad victories and it goes on to admit that it's real Al-Qaeda and they say that they are going to attack America with missiles that they've been given by America after they bring down Assad.
[00:24:46.215 --> 00:24:47.175]  And that's part of the plan.
[00:24:47.615 --> 00:24:48.375]  They'll be let in.
[00:24:48.775 --> 00:24:49.836]  They'll blow up aircraft.
[00:24:50.536 --> 00:24:56.342]  And the TSA will show up on highways everywhere and grope your wife and beat the living daylights out of you and drag you to a FEMA camp.
[00:24:56.803 --> 00:24:57.624]  That's the next phase.
[00:24:57.664 --> 00:24:59.786]  I told you ten years ago they'd be on the highways everywhere.
[00:25:00.407 --> 00:25:02.209]  Told you they'd be in the malls, because they said they would.
[00:25:02.629 --> 00:25:04.311]  So I'm not just saying this is going to happen.
[00:25:04.551 --> 00:25:05.252]  I really believe it.
[00:25:05.632 --> 00:25:12.800]  If I say something and it's not satire, which I'll tell you when it's satire occasionally, I mean, I really am saying this is going to happen, okay?
[00:25:14.349 --> 00:25:15.810]  But let's get into Bob Costas here.
[00:25:16.750 --> 00:25:19.451]  Bob Costas won't back down from anti-gun remarks.
[00:25:19.491 --> 00:25:22.973]  That's out of Market Watch and the Wall Street Journal.
[00:25:23.773 --> 00:25:26.894]  He says that he will not back off.
[00:25:27.595 --> 00:25:32.697]  And boy, we have a clip of him on NBC that is about 7-8 minutes long.
[00:25:32.717 --> 00:25:34.077]  We're going to play some excerpts.
[00:25:34.218 --> 00:25:36.719]  It is unbelievable.
[00:25:37.079 --> 00:25:39.240]  See, he's got the backing of the NFL and NBC.
[00:25:40.200 --> 00:25:42.843]  And he says, you know, we shouldn't be anti-gun during the NFL.
[00:25:42.883 --> 00:25:43.563]  We understand.
[00:25:43.583 --> 00:25:47.027]  Because like 80% of NFL players, we estimate, are probably gun owners.
[00:25:48.908 --> 00:25:53.312]  And he goes on, Costas doesn't back down from gun comments.
[00:25:53.372 --> 00:25:53.793]  That's right.
[00:25:53.833 --> 00:25:54.814]  Blame the Second Amendment.
[00:25:55.996 --> 00:25:59.338]  Not the thug culture in the NFL, not the spoiled brat steroid culture.
[00:25:59.699 --> 00:26:06.483]  I mean, I look at that guy, he looks like he has the chin of somebody who's taken gallons of growth hormone.
[00:26:06.924 --> 00:26:08.545]  Oh, but I bet we'll never hear the autopsy.
[00:26:09.045 --> 00:26:10.706]  Guaranteed, he was seeing a psychologist.
[00:26:11.147 --> 00:26:13.248]  They said he was on painkillers and other prescription drugs.
[00:26:13.368 --> 00:26:16.771]  Guaranteed on serotonin, reuptake inhibitor, Prozac class.
[00:26:17.371 --> 00:26:18.112]  They always are.
[00:26:18.132 --> 00:26:19.713]  It always comes out later, a year later.
[00:26:20.613 --> 00:26:22.253]  So he fires back at his critics.
[00:26:22.273 --> 00:26:37.117]  We're going to be playing a disgusting clip of that in a moment, and then an amazing video I saw from a YouTube channel, Mr. Colin Knorr, and it's a Bob Costas gun control speech response.
[00:26:37.317 --> 00:26:38.597]  One minute, 32 seconds.
[00:26:38.977 --> 00:26:39.618]  Very eloquent.
[00:26:39.658 --> 00:26:40.978]  That's coming up in the next segment.
[00:26:41.578 --> 00:26:48.900]  But right now, first off, he says it's disproportionate that 65 out of 80 Colts players he talked to own guns.
[00:26:50.221 --> 00:26:52.262]  Number one, that's about the national average.
[00:26:52.302 --> 00:26:55.164]  It's a little over 60% in the country own guns, punk.
[00:26:56.285 --> 00:26:57.646]  I say 150 million gun owners.
[00:26:57.867 --> 00:26:59.468]  That was a number five, six years ago.
[00:26:59.488 --> 00:27:05.553]  It's more like 170 million people own guns, okay?
[00:27:06.073 --> 00:27:08.555]  Most households have firearms.
[00:27:08.875 --> 00:27:09.396]  It's closer to 70%.
[00:27:09.516 --> 00:27:15.841]  And they have Justice Department numbers that say it's over 55, but our intel is a lot of folks just are quiet about it.
[00:27:17.170 --> 00:27:24.498]  Now, rich people or wealthy high-profile folks, they've pretty much all got guns or they've got bodyguards.
[00:27:25.219 --> 00:27:32.066]  If you don't have guns and you are known to have tens of millions of dollars, you better have guns or you're going to be robbed.
[00:27:32.086 --> 00:27:32.687]  Okay?
[00:27:33.746 --> 00:27:34.106]  I don't know.
[00:27:56.502 --> 00:27:59.404]  I mean, how many military we have that have guns at 18, much less 25?
[00:27:59.924 --> 00:28:01.685]  How many police are 25 years old?
[00:28:01.825 --> 00:28:02.245]  A lot.
[00:28:02.785 --> 00:28:03.946]  Oh, you're going to have trouble?
[00:28:04.146 --> 00:28:05.347]  You're going to have trouble, period.
[00:28:05.587 --> 00:28:09.549]  So don't you take my rights, because there's people that have bad behavior out there.
[00:28:10.590 --> 00:28:11.770]  That's how the Soviet Union worked.
[00:28:11.810 --> 00:28:16.513]  If somebody on your street did something bad, they'd randomly shoot three or four people.
[00:28:16.553 --> 00:28:18.374]  The Nazis did that too in occupied areas.
[00:28:18.634 --> 00:28:20.996]  You shot an SS officer, they'd kill 100 people.
[00:28:21.496 --> 00:28:23.117]  Shot a regular German soldier, they'd kill 10.
[00:28:24.810 --> 00:28:31.732]  Somebody on the street killed somebody, they would burn the whole street down or bring in bulldozers.
[00:28:33.613 --> 00:28:34.793]  And that's how this works.
[00:28:34.813 --> 00:28:36.194]  This is pure authoritarianism.
[00:28:36.734 --> 00:28:38.034]  Oh, there's criminals with guns.
[00:28:38.054 --> 00:28:38.855]  We're going to take yours.
[00:28:38.895 --> 00:28:39.355]  How's that sound?
[00:28:41.183 --> 00:28:44.885]  Let's just go to break so we have a long segment to play this to come back and analyze this cost us clip.
[00:28:45.805 --> 00:28:56.931]  He said, even if all those guns were obtained legally, you can't have 65 guys in their 20s and 30s, aggressive young men, subject to impulses without something bad happening.
[00:28:57.632 --> 00:28:57.872]  Really?
[00:28:58.212 --> 00:29:00.773]  I've been super aggressive my whole life and you've had guns everywhere.
[00:29:00.933 --> 00:29:01.514]  Never thought.
[00:29:02.214 --> 00:29:05.898]  I was arguing with my girlfriend or my wife, and I had girlfriends before my wife.
[00:29:06.458 --> 00:29:09.141]  My experience is it's usually women that start punching you or whatever.
[00:29:09.501 --> 00:29:11.663]  You know, if there's an argument or you say you're leaving them.
[00:29:11.723 --> 00:29:16.207]  I mean, we've all been through this and slap and they hit you or they throw something at you.
[00:29:16.628 --> 00:29:22.613]  I mean, I never thought about I just like I'm out of here or if they're jumping on you, slam them down on the bed, you know, and say, stop it.
[00:29:23.194 --> 00:29:27.118]  But the point is that that I would never think of that.
[00:29:28.786 --> 00:29:34.750]  What has people have breaks is steroids and pain pills and antidepressants.
[00:29:35.070 --> 00:29:39.614]  I mean, I look at those NFL guys when they're out there playing and they look like space aliens.
[00:29:39.694 --> 00:29:41.595]  White, black, hispanic, you name it, doesn't matter.
[00:29:41.775 --> 00:29:42.916]  They look totally screwed up.
[00:29:43.136 --> 00:29:50.001]  They're obviously on steroids and growth hormone and a bunch of other exotic stuff out of their minds.
[00:29:50.361 --> 00:29:52.943]  You know that mother on Prozac ground her little children?
[00:29:53.083 --> 00:29:54.164]  Do we get to ban bathtubs?
[00:29:55.612 --> 00:29:58.600]  We're on the march, the empire's on the run.
[00:29:59.543 --> 00:30:02.230]  Alex Jones and the GCN Radio Network.
[00:30:06.520 --> 00:30:11.983]  Sodium fluoride in the body reduces IQ and increases cancers.
[00:30:12.283 --> 00:30:19.366]  Unfortunately, fluoride and its derivatives are only one of hundreds of toxins being added to our drinking water.
[00:30:19.666 --> 00:30:22.108]  We're battling the globalists on so many fronts.
[00:30:22.388 --> 00:30:28.451]  Health is an area where we can all take control of our lives, and it all starts with that basic building block of water.
[00:30:29.111 --> 00:30:31.874]  It is time to purify our family's water.
[00:30:32.154 --> 00:30:38.801]  The ProPure filtration system with added fluoride filters is the best system from my research to protect you and your family.
[00:30:39.041 --> 00:30:44.127]  Infowarstore.com already has the lowest prices on ProPure water filtration.
[00:30:44.347 --> 00:30:50.013]  But until December 10th, we are going to offer 15% off the already lowest price.
[00:30:50.373 --> 00:30:52.417]  I know what I'm giving my family this Christmas.
[00:30:52.677 --> 00:30:53.238]  ProPure.
[00:30:53.418 --> 00:30:59.388]  Go to InfowarStore.com and get 15% off the already lowest price out there with the code WATER15.
[00:30:59.408 --> 00:31:01.732]  WATER15 and you get 15% off at InfowarStore.com.
[00:31:08.271 --> 00:31:15.937]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:31:16.377 --> 00:31:20.000]  Alex and his staff have used these pure soap products for years.
[00:31:20.460 --> 00:31:27.265]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:31:27.746 --> 00:31:30.568]  See them on the web at 5starsoap.com.
[00:31:30.788 --> 00:31:35.272]  Or call 800-340-7091 for a free catalog.
[00:31:35.612 --> 00:31:41.276]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:31:41.557 --> 00:31:46.661]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:31:46.961 --> 00:31:48.602]  This is an amazing deal.
[00:31:48.943 --> 00:31:53.566]  You can save thousands of dollars and you will love the way Real Soap makes you feel.
[00:31:54.187 --> 00:31:56.649]  See them on the web at 5starsoap.com
[00:31:56.909 --> 00:31:58.353]  Or call 800-340-7091 for a free catalog.
[00:32:05.734 --> 00:32:08.496]  Have you ever wanted to generate your own supply of electrical power?
[00:32:08.777 --> 00:32:10.478]  Even save money on your electric bill?
[00:32:10.758 --> 00:32:14.081]  If so, this could be one of the most important messages you will ever hear.
[00:32:14.382 --> 00:32:16.463]  Solar power generators are now available.
[00:32:16.603 --> 00:32:20.026]  These emergency backup systems provide life-saving electrical power.
[00:32:20.227 --> 00:32:26.052]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[00:32:26.312 --> 00:32:29.695]  It's like having an electrical power plant running quietly in your own home.
[00:32:30.015 --> 00:32:34.620]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling.
[00:32:34.760 --> 00:32:40.486]  Whether it's hurricanes, ice storms, brownouts or blackouts, you'll never suffer through painful power outages again.
[00:32:40.747 --> 00:32:41.788]  And here's the best news.
[00:32:42.028 --> 00:32:44.911]  A remarkable fall truckload sale is going on right now.
[00:32:45.171 --> 00:32:48.973]  It gets you $1,700 in bonuses when you buy a solar generator.
[00:32:49.093 --> 00:32:56.796]  To find out why these solar generators are the best generators and get $1,700 in bonuses for doing so, go to falltruckloadsale.com.
[00:32:56.936 --> 00:32:58.776]  That's falltruckloadsale.com.
[00:32:59.017 --> 00:33:01.057]  Generate your own supply of electricity.
[00:33:01.177 --> 00:33:03.118]  Go to falltruckloadsale.com.
[00:33:03.238 --> 00:33:04.739]  That's falltruckloadsale.com.
[00:33:31.775 --> 00:33:33.596]  Monday through Friday, we're here.
