[00:00:00.129 --> 00:00:01.929]  It's Alex Jones.
[01:28:27.180 --> 01:28:34.424]  But as you and I both know, these variants continue to be out there and we are all worried that there could be a variant in the future that could be dangerous.
[01:28:34.484 --> 01:28:43.308]  But all that being said, in the end, what I am standing for is that there's no challenge being allowed.
[01:28:43.547 --> 01:28:47.627]   that the NIH, when it's telling us it's objectively looking at a virus they're telling us they
[01:28:47.627 --> 01:28:53.466]   don't know much about, is pushing out top people in their field who are trying to get
[01:28:53.466 --> 01:28:54.466]  to the table.
[01:28:54.466 --> 01:28:56.987]   They're trying to say there's something you're not looking at.
[01:28:56.987 --> 01:29:02.067]   And this, and when you want to talk about a problem, how about not funding to do that
[01:29:02.067 --> 01:29:03.188]  study again?
[01:29:03.188 --> 01:29:08.226]   How about not allowing into the room people with great perspective?
[01:29:08.226 --> 01:29:11.426]  Alright, and I sent them that clip, the full clip.
[01:29:11.409 --> 01:29:12.969]  He says, I need you to back up science.
[01:29:13.009 --> 01:29:13.930]  I need you to stop this.
[01:29:13.990 --> 01:29:14.370]  I need you.
[01:29:14.630 --> 01:29:16.431]  We'll post the full interview to InfoWars.com.
[01:29:16.451 --> 01:29:23.253]  We're going to come back with Judy Mikovits and, of course, our kid, Heckin Lively, here to talk about this.
[01:29:23.333 --> 01:29:25.214]  But we're going to break right now.
[01:29:25.614 --> 01:29:26.134]  Stay with us.
[01:29:26.234 --> 01:29:28.635]  Hour number three and four are coming up.
[01:29:28.915 --> 01:29:37.902]   We're going to talk a few minutes in the next hour, put a bookend on this, and then air The Great Awakening, Plandemic 3, next hour.
[01:29:38.003 --> 01:29:38.823]  Share the live links.
[01:29:38.943 --> 01:29:41.144]  Infowars.com forward slash show.
[01:29:41.604 --> 01:29:42.744]  Share the live links to Twitter.
[01:29:43.065 --> 01:29:44.005]  Get clips of this out.
[01:29:44.325 --> 01:29:45.365]  Hour number three straight ahead.
[01:29:45.204 --> 01:29:47.204]  The Great Awakening is live.
[01:29:47.204 --> 01:29:49.784]  (upbeat music)
[01:29:49.784 --> 01:29:56.925]  The great Dr. Judy Minkovitz is our guest.
[01:29:57.108 --> 01:30:00.150]  Be sure to check out her website, TheRealDrJudy.com at True Hero.
[01:30:00.711 --> 01:30:02.812]  Best-selling author, researcher, and science teacher.
[01:30:02.932 --> 01:30:04.313]  Kent Heckin-Lively's here.
[01:30:04.473 --> 01:30:06.094]  KentHeckinLivelyBooks.com.
[01:30:07.475 --> 01:30:13.635]   All right, we're gonna be able to air about 90% of this new film, "The Great Awakening,"
[01:30:13.635 --> 01:30:16.355]  "Pandemic 3," the most powerful in the series.
[01:30:16.355 --> 01:30:20.914]   The full thing's posted at Infowars.com to share, to link to, to download.
[01:30:20.914 --> 01:30:22.314]  It's also on the High Wire.
[01:30:22.314 --> 01:30:25.275]  It's also on Mickey Willis' site.
[01:30:25.275 --> 01:30:27.275]  But all they care about is it gets out.
[01:30:27.275 --> 01:30:32.395]   So a lot of folks who are watching right now, go to Infowars.com, watch "The Great Awakening,"
[01:30:32.395 --> 01:30:33.755]  share the link.
[01:30:33.755 --> 01:30:34.954]  You are the resistance.
[01:30:34.885 --> 01:30:36.627]  You could overpower their AI systems.
[01:30:37.028 --> 01:30:37.849]  They're scared of you.
[01:30:37.909 --> 01:30:45.722]  But Kent, you wanted to say something in closing, and so did Judy, because we went up to break with that ridiculous Niels deGrasse Tyson.
[01:30:46.002 --> 01:30:47.825]  You were saying it's just crazy.
[01:30:47.885 --> 01:30:48.867]  That's what I'll close with.
[01:30:49.187 --> 01:30:55.371]  The interesting thing about that is Robert Malone discovered the mRNA technologies.
[01:30:55.851 --> 01:30:58.653]  And it was data that said they were bad.
[01:30:59.033 --> 01:31:04.016]  So he won't even listen to, he said they, highfalutin titles, only consensus.
[01:31:04.336 --> 01:31:09.879]  You can't have consensus unless you have the same education and the same perspective.
[01:31:10.139 --> 01:31:10.820]  Well, exactly.
[01:31:10.840 --> 01:31:12.801]  You have a consensus by the mRNA experts.
[01:31:12.821 --> 01:31:13.661]  By the data.
[01:31:13.862 --> 01:31:15.763]  And the father says we did it, it's bad.
[01:31:15.983 --> 01:31:19.345]   But expanding on that, They know it's not a consensus.
[01:31:19.366 --> 01:31:21.708]  That's why they censure all of us to create a false consensus.
[01:31:21.728 --> 01:31:24.030]  But consensus of data is validation.
[01:31:24.818 --> 01:31:26.679]  Validation is what you do with science.
[01:31:27.160 --> 01:31:29.081]  In a cult, you have consensus.
[01:31:29.941 --> 01:31:31.062]  You validate data.
[01:31:31.122 --> 01:31:32.303]  You replicate data.
[01:31:32.583 --> 01:31:34.904]  You replicate it using the same methods.
[01:31:35.505 --> 01:31:37.366]  It's not data otherwise.
[01:31:37.766 --> 01:31:38.647]  That's science.
[01:31:38.887 --> 01:31:42.089]  It's not an opinion and it's not a consensus.
[01:31:42.349 --> 01:31:45.691]  And new technology sometimes proves it ultimately wrong.
[01:31:46.192 --> 01:31:49.674]  But that's what we found out about making synthetic virus-like particles.
[01:31:50.274 --> 01:31:52.836]  And making them go through the air like normal viruses.
[01:31:53.196 --> 01:31:55.637]  The immune system can't cut them up and respond.
[01:31:55.977 --> 01:32:00.060]  So they become immune compromised because of the synthetic nature.
[01:32:00.480 --> 01:32:04.182]  So the vaccines didn't work because they were injected.
[01:32:04.422 --> 01:32:05.503]  And it didn't matter what it was.
[01:32:05.723 --> 01:32:08.667]  And we know that now, and thanks to your trailblazing and Kent's trailblazing.
[01:32:08.707 --> 01:32:11.591]  Literally, you were the first at the whole start of this to warn it was coming.
[01:32:12.192 --> 01:32:14.776]  Publishing a book right as it began that had been written over a year.
[01:32:15.257 --> 01:32:17.480]  But then what was their master plan then?
[01:32:17.500 --> 01:32:18.381]  Because these are criminals.
[01:32:18.922 --> 01:32:19.883]  They had a larger plan.
[01:32:19.923 --> 01:32:21.025]  What were they planning to do?
[01:32:21.725 --> 01:32:24.946]  Well, God caught them.
[01:32:25.026 --> 01:32:27.347]  Science, data, never lie.
[01:32:27.507 --> 01:32:29.667]  COVID-19 was premeditated murder.
[01:32:29.988 --> 01:32:31.288]  Drive that other narrative.
[01:32:31.468 --> 01:32:32.048]  Cremate.
[01:32:32.368 --> 01:32:35.189]  Cremate the victims and call it something else.
[01:32:35.229 --> 01:32:36.690]  You've created your genocide.
[01:32:36.930 --> 01:32:38.590]  You've weakened our immune system.
[01:32:38.850 --> 01:32:41.511]  You've made us dependent on the poisons and the toxins.
[01:32:41.531 --> 01:32:44.732]  That's what Mickey and Dell and this collaboration show you.
[01:32:44.872 --> 01:32:47.374]  And you set yourself up as God that you control people's bodies.
[01:32:47.554 --> 01:32:47.834]  Correct.
[01:32:47.974 --> 01:32:49.275]  And that's the Great Awakening.
[01:32:49.535 --> 01:32:52.237]  When he saw it from his avenue, we saw it from ours.
[01:32:52.537 --> 01:32:56.961]  Kent, the historian in sixth grade science... All of us together combined are unstoppable.
[01:32:57.101 --> 01:32:57.541]  That's it.
[01:32:58.221 --> 01:33:05.567]   You know, for me, when I finished watching The Great Awakening, I just felt so incredibly humbled.
[01:33:05.587 --> 01:33:14.254]  Now, you've been great on talking about all the books that I've written, but I found myself going, like, I am so inadequate to the tasks before us.
[01:33:14.334 --> 01:33:18.838]  But, you know, I am inadequate to the task, but with God's help, we're going to do it.
[01:33:19.298 --> 01:33:28.226]  I just wanted to say something was absolutely terrifying to me about Neil deGrasse Tyson, and I want people to think about this.
[01:33:28.906 --> 01:33:34.952]  Neil deGrasse Tyson said, the individual scientist doesn't matter.
[01:33:35.994 --> 01:33:41.110]   What I heard Is anathema to science.
[01:33:41.170 --> 01:33:54.280]  What immediately came to my mind is what would Neil deGrasse Tyson have done to Galileo when he was under the control of the Catholic Church?
[01:33:54.300 --> 01:33:55.420]  When he said it moves.
[01:33:55.460 --> 01:33:56.361]  Take your time.
[01:33:56.401 --> 01:33:58.763]  Describe what happened to Galileo for those of us who don't know.
[01:33:58.803 --> 01:34:06.529]  So, Galileo was imprisoned by the Catholic Church for saying that the earth moved around the sun.
[01:34:07.341 --> 01:34:11.864]  Galileo was threatened with burning at the stake.
[01:34:12.725 --> 01:34:29.420]   When I hear Neil deGrasse Tyson say the individual scientist doesn't matter, I think that Neil deGrasse Tyson is the kind of tyrant who would have put Galileo At the stake and burned him.
[01:34:30.080 --> 01:34:36.145]  That is what I hear when Neil deGrasse Tyson says the individual scientist doesn't matter.
[01:34:36.485 --> 01:34:39.648]  The individual scientist doesn't, does matter.
[01:34:40.108 --> 01:34:42.911]  The individual matters so much.
[01:34:43.431 --> 01:34:46.013]  He discredits himself.
[01:34:46.293 --> 01:34:47.534]  He's an individual scientist.
[01:34:47.634 --> 01:34:48.995]  Why do we listen to you?
[01:34:49.696 --> 01:34:50.377]  Where does it start?
[01:34:51.077 --> 01:34:52.578]  The individuals make up the collective.
[01:34:52.678 --> 01:34:55.000]  And Ken, how did they carry that out?
[01:34:55.381 --> 01:35:07.405]   What did John Coffin At PNAS, in the National Academies of Science, who reviewed our 2009 science paper, and then destroyed it, and turned it into science.
[01:35:07.485 --> 01:35:09.506]  What did he say he was going to do to me?
[01:35:09.806 --> 01:35:18.867]  He said her faithful followers will canonize her, and the scientists, the consensus, will burn her at the stake.
[01:35:18.988 --> 01:35:20.428]  Wow, they said that about you!
[01:35:20.448 --> 01:35:23.929]  So they even know, they're literally an inquisition!
[01:35:27.726 --> 01:35:29.246]  They literally called you a witch!
[01:35:29.486 --> 01:35:30.647]  It's in our first book!
[01:35:30.747 --> 01:35:32.707]  You can't make that up!
[01:35:32.767 --> 01:35:34.827]  She's Joan of Arc.
[01:35:35.868 --> 01:35:38.288]  That's what I was saying.
[01:35:38.508 --> 01:35:44.429]  These people are so freaking stupid and arrogant that they think they're going to get away with it.
[01:35:44.809 --> 01:35:46.410]  Now, they're not confessing.
[01:35:46.810 --> 01:35:49.150]  They're bragging about their power.
[01:35:49.610 --> 01:35:51.290]  And that is what brings them down.
[01:35:51.610 --> 01:35:54.151]  That is how God brings them down.
[01:35:54.511 --> 01:35:59.511]  own arrogance brings them down.
[01:35:59.511 --> 01:36:04.511]   I've noticed anytime I have an arrogant thought when I'm hiking or back when I jogged, I have
[01:36:04.511 --> 01:36:07.311]   this weird thought of how great I am, I always trip and fall down.
[01:36:07.311 --> 01:36:10.990]   I've always noticed, "Rodney, you think you've got it all covered, you're screwed."
[01:36:10.990 --> 01:36:11.990]  Yeah, exactly.
[01:36:11.990 --> 01:36:13.311]  You know, be humble.
[01:36:13.299 --> 01:36:18.462]  I mean, you know, it's been a great experience working with Judy because she is so incredibly God-centered.
[01:36:18.502 --> 01:36:21.083]  She just says, you know, am I doing God's will?
[01:36:21.143 --> 01:36:23.564]  That's all I need to be thinking about it.
[01:36:23.784 --> 01:36:37.672]  And, you know, doing these books, it's been an exploration of my own spirituality because I see God moving through the world in positive ways, giving power to the truth-tellers and disempowering the liars.
[01:36:38.132 --> 01:36:41.674]  Well, look, a lot of folks are going to like it from this film, but people also need to read books.
[01:36:42.174 --> 01:36:46.256]  So tell us about Ending Plague, because this is how you counter the enemy, and where do people get Ending Plague?
[01:36:46.716 --> 01:36:52.559]  Well, Ending Plague you can get at therealdrjudy.com in our Get Healthy store.
[01:36:53.260 --> 01:36:55.201]  Of course, you can try to get it on Amazon.
[01:36:55.261 --> 01:36:56.161]  It often gets censored.
[01:36:56.181 --> 01:36:56.661]  Don't bother.
[01:36:57.742 --> 01:36:59.143]  But major booksellers.
[01:36:59.183 --> 01:37:03.605]  But more importantly, what Ending Plague is, and you said, what's the next thing that's going to happen?
[01:37:04.440 --> 01:37:08.002]  We already told you and so it won't if we stand up.
[01:37:08.302 --> 01:37:10.363]  This is what Mickey knows.
[01:37:10.703 --> 01:37:12.484]  This is what... But look at their propaganda.
[01:37:12.624 --> 01:37:14.105]  What do they plan to release?
[01:37:14.185 --> 01:37:20.708]  They already told us and they already injected us and God already won and we're already healing them and they've already... I was about to say SV40.
[01:37:20.748 --> 01:37:27.572]  I saw big articles, mainstream news this week that they're finding in the Pfizer shot SV40, the monkey virus, monkey cancer virus.
[01:37:27.672 --> 01:37:29.793]  Of course, they grew them in monkey kidney cell lines.
[01:37:30.093 --> 01:37:33.607]   We've injected these viruses In polio vaccines since 1962.
[01:37:33.767 --> 01:37:34.748]  We've already won.
[01:37:34.768 --> 01:37:37.851]  So, they're going to read the book, people ship it out.
[01:37:38.131 --> 01:37:43.036]  For people that are out there, how do we counter the spike protein, the cancer virus, what do we do?
[01:37:43.897 --> 01:37:45.198]  That's what everything is right here.
[01:37:45.238 --> 01:37:46.438]  We've already done it.
[01:37:46.458 --> 01:37:47.519]  We cured AIDS.
[01:37:47.739 --> 01:37:49.780]  No, not one thing.
[01:37:49.840 --> 01:37:51.380]  Not one off.
[01:37:51.680 --> 01:37:52.481]  That's right.
[01:37:52.741 --> 01:37:54.301]  We don't ever give another shot.
[01:37:54.622 --> 01:37:55.582]  We neutrify.
[01:37:55.622 --> 01:37:56.723]  We detoxify.
[01:37:56.763 --> 01:37:58.203]  We stop eating glyphosate.
[01:37:58.243 --> 01:37:59.144]  We stop everything.
[01:37:59.424 --> 01:38:03.145]  Their poisons can't penetrate us if we don't inject them.
[01:38:03.425 --> 01:38:04.586]  The most important thing?
[01:38:04.926 --> 01:38:05.806]  Never another shot.
[01:38:05.906 --> 01:38:08.468]  We have alternative systems set up for wellness.
[01:38:08.848 --> 01:38:09.588]  New academies.
[01:38:09.628 --> 01:38:10.388]  New education.
[01:38:10.448 --> 01:38:11.709]  Academy of Abiding Wellness.
[01:38:12.029 --> 01:38:13.450]  It's all on the real, Dr. Judy.
[01:38:13.550 --> 01:38:15.472]  We've been building the alternate system.
[01:38:15.752 --> 01:38:20.156]  When they fall apart, we will welcome everyone, and we will all heal our land.
[01:38:22.798 --> 01:38:24.160]  Alright, that was powerful.
[01:38:24.620 --> 01:38:26.061]  Kent, no pressure.
[01:38:26.081 --> 01:38:28.303]  You gonna stay tomorrow and do the show tomorrow, or you gotta go?
[01:38:28.964 --> 01:38:29.784]  I gotta go, Alex.
[01:38:30.085 --> 01:38:30.425]  I understand.
[01:38:30.465 --> 01:38:31.786]  Hey, you got exciting stuff you told me about.
[01:38:31.806 --> 01:38:32.607]  Yep, absolutely.
[01:38:32.627 --> 01:38:33.628]  Super exciting stuff.
[01:38:34.008 --> 01:38:35.489]  Maybe somebody will be able to tell that story on air.
[01:38:35.649 --> 01:38:36.790]  Yep, happy to do it.
[01:38:36.810 --> 01:38:38.332]  Alright, The Great Awakening.
[01:38:39.269 --> 01:38:43.210]  The new book, Defeating the Globalists and Launching the Next Great Renaissance.
[01:38:43.250 --> 01:38:44.351]  Be the first to get the book.
[01:38:44.711 --> 01:38:46.272]  Pre-orders now on Amazon.
[01:38:46.672 --> 01:38:47.712]  We want to push it to number one.
[01:38:47.732 --> 01:38:48.852]  We want to thank you all for your support.
[01:38:49.173 --> 01:38:50.333]  All right, great job to the crew.
[01:38:50.413 --> 01:38:51.613]  Great job to Judy.
[01:38:52.214 --> 01:38:53.034]  Great job to Ken.
[01:38:53.394 --> 01:39:02.797]  We're going to now just go right to it, and we're going to air the new film, The Great Awakening, that's got Dr. Judy in it and so much more.
[01:39:02.817 --> 01:39:04.898]  And I'll be back tomorrow, Lord willing, 11 a.m.
[01:39:04.938 --> 01:39:06.399]  Central for the Alex Jones Show.
[01:39:06.219 --> 01:39:18.179]   show. Here it is. Iodine is naturally acquired through the soil, which is at the foundation
[01:39:18.179 --> 01:39:19.818]  of our entire food supply.
[01:39:20.541 --> 01:39:29.146]  Modern farming techniques have stripped the soil of this essential trace element, which has caused an iodine deficiency in about half the population.
[01:39:29.526 --> 01:39:31.728]  And there are two things we need to do about it.
[01:39:32.368 --> 01:39:35.150]  We need to practice more regenerative farming.
[01:39:35.670 --> 01:39:43.656]  There are plenty of proven technologies in permaculture and biodynamics that will naturally keep the soil rich with iodine.
[01:39:44.176 --> 01:39:48.379]  And we need to ensure that we get the sufficient amount of iodine every day.
[01:39:49.019 --> 01:39:59.947]  Derived from ancient sea salts found thousands of feet below the Earth's surface, our InfoWars Life Survival Shield X3 is hands down the best.
[01:40:00.507 --> 01:40:02.169]  Pure nascent iodine.
[01:40:02.550 --> 01:40:06.075]  Stabilized in an activated triiodine form.
[01:40:06.575 --> 01:40:09.319]  For a healthy thyroid and a healthy metabolism.
[01:40:09.720 --> 01:40:12.003]  Get yours now at InfoWarsTore.com
